,https://roic.ai/company/NLOK,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000091205795004482/0000912057-95-004482-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000089161800003551/0000891618-00-003551-index.html,https://www.sec.gov/Archives/edgar/data/849399/000089161801501315/0000891618-01-501315-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000095013409011638/0000950134-09-011638-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000095012310052086/0000950123-10-052086-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/0000950123-11-052609-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/0001193125-12-241997-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312513226119/0001193125-13-226119-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312514202922/0001193125-14-202922-index.htm,- -,https://www.sec.gov/Archives/edgar/data/849399/000084939916000022/0000849399-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939917000009/0000849399-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312518309091/0001193125-18-309091-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939919000005/0000849399-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939920000004/0000849399-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939921000010/0000849399-21-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,22800000,41800000,95800000,139000000,153900000,431550000,557027000,- -,1705658000,2410331000,1091433000,2315622000,2559034000,1890225000,1793000000,3029000000,2950000000,3162000000,4685000000,3707000000,2874000000,5983000000,4247000000,1774000000,1791000000,2177000000,933000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2115154000,550180000,428619000,536728000,199000000,15000000,8000000,49000000,62000000,377000000,1017000000,1017000000,- -,388000000,252000000,86000000,18000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,22800000,41800000,95800000,139000000,153900000,431550000,557027000,- -,1705658000,2410331000,3206587000,2865802000,2987653000,2426953000,1992000000,3044000000,2958000000,3211000000,4747000000,4084000000,3891000000,7000000000,4247000000,2162000000,2043000000,2263000000,951000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,54000000,72300000,47700000,65200000,76400000,47266000,116661000,- -,149664000,259152000,285325000,670937000,666968000,758200000,837000000,856000000,1013000000,940000000,1031000000,1007000000,993000000,556000000,649000000,809000000,838000000,349000000,244000000
35,Inventory,- -,- -,- -,- -,- -,- -,4200000,7900000,4500000,3200000,6400000,5675000,5855000,- -,5912000,15134000,19118000,48687000,42183000,34138000,27000000,25000000,30000000,28000000,24000000,14000000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,98600000,114900000,90200000,121100000,79800000,61046000,102358000,- -,126912000,157517000,177252000,322506000,374243000,510627000,441000000,426000000,485000000,454000000,614000000,547000000,538000000,-597000000,428000000,522000000,305000000,467000000,343000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,179600000,236900000,238200000,328500000,316500000,545537000,781901000,- -,1988146000,2842134000,3688282000,3907932000,4071047000,3729918000,3297000000,4351000000,4486000000,4633000000,6416000000,5652000000,5422000000,6959000000,5324000000,3493000000,3186000000,3079000000,1538000000
38,PP&E,- -,- -,- -,- -,- -,- -,28900000,51700000,51600000,50000000,52900000,51905000,93219000,- -,333275000,378367000,382689000,946217000,1092240000,1001750000,973000000,949000000,1050000000,1100000000,1122000000,1116000000,1205000000,957000000,937000000,778000000,790000000,326000000,154000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,713550000,- -,- -,- -,- -,10331045000,10340348000,11207357000,4561000000,4605000000,5494000000,5826000000,5841000000,5858000000,5847000000,3148000000,8627000000,8319000000,8450000000,2585000000,2867000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,8300000,500000,- -,- -,111400000,117042000,104287000,- -,906574000,1201697000,1523571000,2679384000,2155516000,1892474000,1639000000,1179000000,1511000000,1337000000,977000000,768000000,628000000,443000000,3004000000,2643000000,2250000000,1067000000,1116000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,8300000,500000,- -,- -,111400000,117042000,817837000,- -,906574000,1201697000,1523571000,13010429000,12495864000,13099831000,6200000000,5784000000,7005000000,7163000000,6818000000,6626000000,6475000000,3591000000,11631000000,10962000000,10700000000,3652000000,3983000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96938000,58000000,27000000,- -,- -,- -,- -,157000000,158000000,309000000,216000000,187000000,185000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,- -,7986000,- -,- -,- -,- -,- -,181000000,195000000,296000000,288000000,409000000,425000000,- -,1235000000,- -,592000000,577000000,149000000,355000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,4500000,8800000,51900000,98000000,82700000,131543000,94724000,- -,29749000,34300000,19679000,48605000,91719000,260595000,-109938000,-105000000,-145000000,-164000000,-257000000,-280000000,131000000,-1132000000,124000000,-375000000,469000000,342000000,146000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,41700000,61000000,103500000,148000000,247000000,300490000,1009680000,- -,1277584000,1614364000,1925939000,14005251000,13679823000,14362176000,7341000000,6881000000,8233000000,8387000000,8092000000,7887000000,7811000000,4808000000,12850000000,12266000000,12752000000,4656000000,4823000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,221300000,297900000,341700000,476500000,563500000,846027000,1791581000,- -,3265730000,4456498000,5614221000,17913183000,17750870000,18092094000,10638000000,11232000000,12719000000,13020000000,14508000000,13539000000,13233000000,11767000000,18174000000,15759000000,15938000000,7735000000,6361000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,17900000,23400000,30300000,34200000,45900000,43030000,66109000,- -,67720000,71654000,74685000,167135000,149131000,169631000,190000000,214000000,260000000,324000000,334000000,282000000,213000000,175000000,180000000,168000000,165000000,87000000,52000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,500000,100000,- -,8300000,- -,- -,- -,- -,- -,- -,- -,512800000,- -,200000000,- -,- -,- -,- -,- -,- -,350000000,- -,1310000000,- -,- -,28000000,339000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43894000,35000000,24000000,619000000,412000000,282000000,- -,941000000,- -,378000000,446000000,1310000000,193000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183256000,- -,589629000,878716000,1215537000,1915179000,2387733000,2661515000,165556000,2835000000,3321000000,3444000000,3496000000,3322000000,3109000000,2279000000,2353000000,2368000000,2320000000,149000000,1210000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,66200000,78700000,78300000,110500000,171000000,183487000,163352000,- -,237275000,336670000,410801000,882453000,781225000,768440000,3157444000,722000000,1312000000,737000000,1737000000,702000000,781000000,1579000000,779000000,634000000,1281000000,2358000000,535000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,84600000,102200000,108600000,153000000,216900000,226517000,412717000,- -,894624000,1287040000,1701023000,3477567000,3318089000,3799586000,3513000000,3771000000,4893000000,4505000000,5567000000,4306000000,4453000000,4033000000,4622000000,3170000000,3766000000,2622000000,2136000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,25400000,15400000,15100000,6000000,1500000,1553000,2363000,- -,599998000,599987000,- -,- -,2100000000,2100000000,1766000000,1871000000,1987000000,2039000000,2094000000,2095000000,1746000000,2207000000,6876000000,5026000000,3961000000,3465000000,3354000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498000000,529000000,521000000,581000000,555000000,359000000,434000000,735000000,736000000,- -,55000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88613000,493956000,343848000,219341000,7867000,195000000,296000000,288000000,403000000,425000000,308000000,1235000000,2401000000,592000000,577000000,- -,137000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6729000,143263000,119132000,273189000,387420000,999984000,1204133000,847000000,517000000,565000000,447000000,335000000,236000000,257000000,354000000,1213000000,1160000000,1638000000,1179000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,25400000,15400000,15100000,6000000,1500000,1553000,2363000,- -,606727000,743250000,207745000,767145000,2831268000,3319325000,2978000000,2913000000,3298000000,3421000000,3465000000,3436000000,2845000000,4058000000,10065000000,7566000000,6434000000,5103000000,4725000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,92000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,110000000,117600000,123700000,159000000,218400000,228070000,415080000,- -,1501351000,2030290000,1908768000,4244712000,6149357000,7118911000,6491000000,6684000000,8191000000,7926000000,9032000000,7742000000,7298000000,8091000000,14687000000,10736000000,10200000000,7725000000,6861000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,603000,720000,- -,1488000,3119000,7105000,10409000,8994000,8393000,8000000,8000000,8000000,7000000,7000000,7000000,7000000,4309000000,4236000000,4691000000,4812000000,3356000000,2229000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-63500000,-92000000,-66400000,18700000,48100000,210099000,106291000,- -,397742000,724139000,1114533000,1128157000,1348442000,1665914000,-5336000000,-4609000000,-4012000000,-2859000000,-2046000000,-1148000000,-270000000,-270000000,-761000000,-761000000,328000000,-3330000000,-2776000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-49000000,-65800000,-85300000,-108100000,-138100000,-149300000,-170343000,- -,30121000,125484000,170868000,103215000,182933000,159792000,186000000,159000000,171000000,173000000,202000000,194000000,104000000,22000000,12000000,4000000,-7000000,-16000000,47000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,223800000,338100000,369700000,406900000,435100000,556555000,1439833000,- -,- -,- -,- -,- -,- -,- -,9089988000,8990000000,8361000000,7773000000,7258000000,6744000000,- -,-385000000,- -,1089000000,605000000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,111300000,180300000,218000000,317500000,345100000,617957000,1376501000,- -,1764379000,2426208000,3705453000,13668471000,11601513000,10973183000,3947988000,4548000000,4528000000,5094000000,5421000000,5797000000,5935000000,3676000000,3487000000,5023000000,5738000000,10000000,-500000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,221300000,297900000,341700000,476500000,563500000,846027000,1791581000,- -,3265730000,4456498000,5614221000,17913183000,17750870000,18092094000,10438988000,11232000000,12719000000,13020000000,14453000000,13539000000,13233000000,11767000000,18174000000,15759000000,15938000000,7735000000,6361000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199012000,- -,- -,- -,55000000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,221300000,297900000,341700000,476500000,563500000,846027000,1791581000,- -,3265730000,4456498000,5614221000,17913183000,17750870000,18092094000,10638000000,11232000000,12719000000,13020000000,14508000000,13539000000,13233000000,11767000000,18174000000,15759000000,15938000000,7735000000,6361000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/849399/000091205795004482/0000912057-95-004482-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000089161800003551/0000891618-00-003551-index.html,https://www.sec.gov/Archives/edgar/data/849399/000089161801501315/0000891618-01-501315-index.html,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000095013409011638/0000950134-09-011638-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000095012310052086/0000950123-10-052086-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/0000950123-11-052609-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/0001193125-12-241997-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312513226119/0001193125-13-226119-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312514202922/0001193125-14-202922-index.htm,- -,https://www.sec.gov/Archives/edgar/data/849399/000084939916000022/0000849399-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939917000009/0000849399-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312518309091/0001193125-18-309091-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939919000005/0000849399-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939920000004/0000849399-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939921000010/0000849399-21-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6700000,9400000,18700000,-11500000,-11100000,28500000,-39800000,26000000,85100000,50200000,170148000,63936000,-28151000,248438000,370619000,536159000,156852000,404380000,463850000,-6786000000,714000000,597000000,1187000000,755000000,898000000,878000000,2488000000,-106000000,1138000000,31000000,3887000000,554000000
74,Depreciation and Amortization,- -,2500000,4200000,5200000,14900000,25300000,19800000,38900000,33200000,26700000,36200000,50614000,120841000,272867000,95728000,117226000,131958000,623616000,811443000,824109000,837358000,837000000,647000000,656000000,638000000,491000000,439000000,299000000,530000000,640000000,615000000,361000000,150000000
75,Deferred Income Tax,- -,-1300000,-700000,-8000000,-4400000,-1200000,8100000,-1000000,- -,-6900000,-8500000,-26263000,-18333000,13482000,-4393000,27181000,60861000,-202677000,11173000,-180215000,-89224000,-41000000,5000000,7000000,44000000,47000000,-23000000,1082000000,-168000000,-1848000000,-70000000,16000000,42000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157464000,155000000,145000000,164000000,164000000,156000000,195000000,161000000,440000000,610000000,352000000,312000000,81000000
77,Change in Working Capital,- -,4200000,- -,- -,- -,- -,95000000,- -,39700000,-5100000,45900000,-75900000,219420000,50164000,724338000,461572000,432165000,-1556894000,322593000,-822626000,-146332000,796000000,-987000000,535000000,721000000,497000000,-377000000,1957000000,-2224000000,-379000000,-903000000,1037000000,-1055000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84958000,-14000000,-88000000,89000000,-107000000,30000000,-38000000,38000000,45000000,-170000000,113000000,583000000,3000000
79,Inventory,- -,-200000,-2400000,-1400000,2300000,3000000,3900000,1500000,3400000,1000000,-3000000,-150000,-390000,-1638000,2223000,-8303000,-3621000,-29828000,10324000,10791000,5813000,3000000,-4000000,2000000,4000000,10000000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48994000,4000000,2000000,30000000,33000000,-75000000,-65000000,-69000000,-67000000,-4000000,6000000,-61000000,-44000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,95000000,95000000,134700000,129600000,175500000,99600000,319020000,369184000,1093522000,1555094000,1987259000,430365000,752958000,-69668000,-216000000,580000000,-407000000,128000000,849000000,1346000000,969000000,2926000000,702000000,323000000,-580000000,457000000,-598000000
82,Other Non-Cash Items,- -,-600000,-7800000,2600000,9100000,-11700000,-101300000,12900000,-4500000,31100000,-300000,105625000,-61341000,202835000,-480206000,-73993000,46316000,2515999000,116646000,1533535000,7697332000,-768000000,1387000000,-648000000,-729000000,-808000000,200000000,-5191000000,1308000000,789000000,1470000000,-6474000000,934000000
83,Cash Provided by Operating Activities,- -,11500000,5100000,18500000,8100000,1300000,50100000,11000000,94400000,130900000,123500000,224224000,324523000,511197000,583905000,902605000,1207459000,1536896000,1666235000,1818653000,1670598000,1693000000,1794000000,1901000000,1593000000,1281000000,1312000000,796000000,-220000000,950000000,1495000000,-861000000,706000000
84,CAPEX,- -,-2800000,-5500000,-12700000,-15400000,-10300000,-21900000,-36200000,-27900000,-27300000,-105400000,-28455000,-61172000,-140857000,-194394000,-111210000,-91536000,-274421000,-433049000,-273807000,-272240000,-248000000,-268000000,-286000000,-336000000,-260000000,-381000000,-272000000,-70000000,-142000000,-207000000,-89000000,-6000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42100000,37414000,-8672000,-375311000,-286862000,-424212000,540604000,-33373000,-1162455000,-1063367000,-31000000,-1537000000,22000000,-28000000,-17000000,-39000000,6531000000,-6729000000,532000000,-180000000,11298000000,-344000000
86,Purchases of Investments,- -,- -,-5400000,-800000,- -,-72100000,-116800000,-154500000,-227400000,-242800000,-157000000,-580239000,-609776000,-1361476000,-2397394000,-4729249000,-3860433000,-1732616000,-226905000,-1383954000,-351043000,-23000000,-7000000,-57000000,- -,-492000000,-1758000000,-378000000,- -,-436000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4000000,46700000,62000000,168700000,203100000,174100000,238500000,290877000,670014000,642802000,2202636000,4675161000,3713822000,5085038000,349408000,1189283000,685000000,192000000,20000000,3000000,46000000,186000000,1024000000,1355000000,31000000,49000000,139000000,167000000,68000000
