,https://roic.ai/company/EQIX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,32437000,28890000,- -,12543000,64499000,52105000,48831000,63301000,42112000,248508000,147192000,635721000,166492000,369808000,529395000,12875000,3409000,28271000,4540000,10362000,4532000,- -
33,Cash and Short-Term Investments,- -,207210000,87721000,41216000,72971000,90437000,171372000,131394000,353934000,262319000,594564000,590033000,914544000,418705000,631702000,1140312000,2241713000,751885000,1440788000,610706000,1879939000,1609401000,1536358000
34,Net Receivables,- -,4925000,6909000,9152000,10178000,11919000,17237000,26864000,60089000,69840000,74429000,116358000,139057000,176097000,210605000,281965000,327868000,545056000,695071000,750753000,858340000,860219000,934548000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,25841000,8588000,13127000,3139000,4726000,3103000,8003000,12738000,47352000,58894000,71657000,182156000,44949000,46353000,68666000,689699000,170585000,113269000,154223000,134337000,139535000,486195000
37,Total Current Assets,- -,237976000,103218000,63495000,86288000,107082000,191712000,166261000,426761000,379511000,727887000,778048000,1235757000,639751000,888660000,1490943000,3259280000,1467526000,2249128000,1515682000,2872616000,2609155000,2957101000
38,PP&E,- -,410274000,325226000,390048000,343554000,343361000,438790000,546395000,1162720000,1488402000,1808115000,2650953000,3225912000,3918999000,4591650000,4998270000,5606436000,7199210000,9394602000,11026020000,13627964000,15978141000,16728193000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,16919000,442926000,342829000,381050000,774365000,866495000,1042564000,1042153000,1002129000,1063200000,2986064000,4411762000,4836388000,4781858000,5472553000,5372071000
40,Intangible Assets,- -,- -,- -,24981000,21228000,22018000,21654000,- -,67207000,50918000,51015000,150945000,148635000,201562000,184182000,147527000,224565000,719231000,2384972000,2333296000,2102389000,2170945000,1935267000
41,Intangible Assets,- -,- -,- -,24981000,21228000,22018000,21654000,16919000,510133000,393747000,432065000,925310000,1015130000,1244126000,1226335000,1149656000,1287765000,3705295000,6796734000,7169684000,6884247000,7643498000,7307338000
42,Investments,- -,- -,- -,- -,- -,- -,17000000,25000000,30000000,45626000,9803000,2806000,161801000,127819000,398390000,439000,4584000,10042000,9243000,- -,59737000,163071000,245049000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,82066000,5171000,16955000,- -,85232000,229975000,45134000,61152000,62308000,66031000,58300000,35806000,66424000,59816000
44,Other Non-Current Assets,- -,35235000,146610000,13479000,13462000,29337000,11841000,17257000,52254000,58914000,55109000,73937000,146724000,117037000,157349000,132991000,137478000,163990000,175719000,474952000,485245000,546552000,621201000
45,Total Non-Current Assets,- -,445509000,471836000,428508000,378244000,394716000,489285000,605571000,1755107000,2068755000,2310263000,3669961000,4549567000,5493213000,6603699000,6326490000,7097415000,11140845000,16442329000,18728956000,21092999000,24397686000,24961597000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,683485000,575054000,492003000,464532000,501798000,680997000,771832000,2181868000,2448266000,3038150000,4448009000,5785324000,6132964000,7492359000,7817433000,10356695000,12608371000,18691457000,20244638000,23965615000,27006841000,27918698000
48,Accounts Payable,- -,13717000,17499000,20347000,18052000,21028000,22557000,27269000,14816000,18325000,14874000,- -,23268000,27659000,30291000,30221000,49892000,60211000,101744000,96980000,52232000,77705000,84084000
49,Short-Term Debt,- -,4426000,7206000,7572000,14689000,675000,30000000,4127000,20389000,75703000,65364000,27966000,345297000,67366000,70722000,80828000,956478000,168974000,143196000,451972000,941672000,524365000,324957000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,8640000,14508000,- -,43539000,47477000,32047000,41295000,37004000,133562000,130272000,118818000,135099000,153804000,117061000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,20106000,27698000,29411000,- -,- -,60024000,63326000,69078000,92246000,93997000,103898000,93573000,92900000,118373000,126116000
52,Other Current Liabilities,- -,93156000,38624000,18252000,5785000,10535000,38866000,46957000,136151000,168267000,205810000,290149000,356689000,384240000,382165000,463630000,557738000,705513000,893896000,872546000,1071059000,1304307000,1070797000
53,Total Current Liabilities,- -,111299000,63329000,46171000,38526000,32238000,91423000,78353000,191462000,289993000,315459000,318115000,725254000,539289000,546504000,643757000,1656354000,1028695000,1242734000,1515071000,2157863000,2024750000,1605954000
54,Long-Term Debt,- -,192414000,299226000,147424000,83907000,156603000,145091000,182996000,992151000,1032432000,1265028000,1766674000,2363564000,2397528000,3173902000,3430539000,4277403000,5179857000,8316967000,9439448000,9599107000,10305531000,14667569000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,50857000,57676000,- -,- -,37652000,68034000,81807000,95006000,104198000,132106000,56312000,9306000,1088000,1534000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,25955000,12083000,25937000,103717000,- -,62292000,69812000,69212000,100624000,274341000,252287000,247849000,247179000,290366000,340287000
57,Other Non-Current Liabilities,- -,4656000,8978000,14214000,22022000,39251000,155810000,155455000,157868000,170186000,191567000,378988000,676693000,760930000,1175043000,1321987000,1481922000,1655451000,1897573000,1766679000,3111778000,3750988000,421590000
58,Total Non-Current Liabilities,- -,197070000,308204000,161638000,105929000,195854000,300901000,338451000,1175974000,1265558000,1540208000,2249379000,3040257000,3258402000,4486791000,4903545000,5954955000,7213847000,10598933000,11510288000,12967370000,14347973000,15430980000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,94653000,92722000,93604000,137530000,161029000,261933000,401811000,561059000,931246000,1189404000,1327260000,1511788000,1698961000,1518921000,2967383000,3385333000,3388718000
61,Total Liabilities,- -,308369000,371533000,207809000,144455000,228092000,392324000,416804000,1367436000,1555551000,1855667000,2567494000,3765511000,3797691000,5033295000,5547302000,7611309000,8242542000,11841667000,13025359000,15125233000,16372723000,17036934000
62,Preferred Stock,- -,- -,- -,2000,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,77000,80000,8000,15000,19000,27000,29000,37000,38000,39000,46000,48000,49000,50000,57000,62000,72000,79000,81000,86000,89000,91000
64,Retained Earnings,- -,-141600000,-330015000,-351633000,-435804000,-504435000,-547047000,-553444000,-558632000,-427094000,-385980000,-349099000,-255095000,-110429000,-36443000,-295990000,-108216000,18584000,252689000,889948000,1391425000,1760302000,-3904647000
65,Other Comprehensive Income/Loss,- -,-15415000,-56601000,-2248000,166000,1997000,-3804000,3870000,-3888000,-152800000,-97238000,-112018000,-143698000,-101042000,-113767000,-332443000,-509059000,-949142000,-785189000,-945702000,-934613000,-913368000,-1085751000
66,Other Total Stockholders Equity,- -,532054000,590057000,638065000,755698000,776123000,839497000,904573000,1376915000,1472571000,1665662000,2341586000,2350957000,2546695000,2609224000,2898507000,3362599000,5296315000,7382211000,7274952000,8383708000,9786965000,15872389000
67,Total Stockholders Equity,- -,375116000,203521000,284194000,320077000,273706000,288673000,355028000,814432000,892715000,1182483000,1880515000,1952212000,2335273000,2459064000,2270131000,2745386000,4365829000,6849790000,7219279000,8840606000,10633988000,10882082000
68,Total Liabilities And Stockholders Equity,- -,683485000,575054000,492003000,464532000,501798000,680997000,771832000,2181868000,2448266000,3038150000,4448009000,5717723000,6132964000,7492359000,7817433000,10356695000,12608371000,18691457000,20244638000,23965839000,27006711000,27919016000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67601000,- -,- -,- -,- -,- -,- -,- -,-224000,130000,-318000
70,Total Liabilities & Equity,- -,683485000,575054000,492003000,464532000,501798000,680997000,771832000,2181868000,2448266000,3038150000,4448009000,5785324000,6132964000,7492359000,7817433000,10356695000,12608371000,18691457000,20244638000,23965615000,27006841000,27918698000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1101239/000101287001001327/0001012870-01-001327-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101239/000089843003002107/0000898430-03-002107-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312504035568/0001193125-04-035568-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312505046552/0001193125-05-046552-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312506056358/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312507042470/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312508040053/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312509038875/0001193125-09-038875-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312510036420/0001193125-10-036420-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312511047157/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312512077943/0001193125-12-077943-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312513076572/0001193125-13-076572-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312514076710/d649985d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312515073042/d854432d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000162828016011802/0001628280-16-011802-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828017001774/0001628280-17-001774-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828018002212/0001628280-18-002212-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828019001771/0001628280-19-001771-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828020001947/0001628280-20-001947-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828021002563/0001628280-21-002563-index.htm,https://www.sec.gov/Archives/edgar/data/1101239/000162828022003171/0001628280-22-003171-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-20790600,-119790000,-188415000,-21618000,-84171000,-68631000,-42612000,-6397000,-5188000,131538000,69431000,36881000,94004000,144666000,94685000,-259547000,187774000,126800000,232982000,365359000,507450000,369777000,500191000
74,Depreciation and Amortization,8246000,53154000,75884000,66937000,74401000,66133000,74964000,72778000,103307000,158907000,173530000,260176000,347674000,398291000,432471000,481691000,525580000,837207000,1042480000,1227489000,1284837000,1423369000,1656290000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,55085000,53056000,67489000,71532000,84158000,102940000,117990000,132443000,155567000,175500000,180716000,236539000,294952000,363774000
77,Change in Working Capital,2636600,126677000,-86788000,-22565000,30438000,27082000,25445000,-12381000,147391000,-145781000,322910000,47505000,50570000,-410041000,241694000,505030000,755740000,-1164095000,567563000,-1005783000,714142000,-130348000,-132734000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9152000,2277000,-39886000,-23061000,-26601000,-27956000,-101966000,-44583000,-100230000,-161774000,-52931000,-26909000,25412000,-1873000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31282000,7242000,10681000,109125000,61565000,74488000,35495000,-27928000,57801000,- -
81,Other Working Capital,- -,126677000,39889000,17324000,47762000,74844000,100289000,87908000,235299000,89518000,412428000,459933000,510503000,100462000,342156000,847186000,1602926000,438831000,1006394000,611000,714753000,584405000,-16602000
82,Other Non-Cash Items,- -,-128114000,130465000,-50263000,-37934000,12328000,9798000,21412000,-125490000,67809000,-263435000,-19179000,23829000,414952000,-267182000,-155744000,-706744000,1061101000,-579292000,1047645000,-750240000,352076000,159685000
83,Cash Provided by Operating Activities,-9908000,-68073000,-68854000,-27509000,-17266000,36912000,67595000,75412000,120020000,267558000,355492000,392872000,587609000,632026000,604608000,689420000,894793000,1016580000,1439233000,1815426000,1992728000,2309826000,2547206000
84,CAPEX,-42386500,-370768000,-57791000,-6508000,-7750000,-22934000,-45412000,-162291000,-537341000,-471128000,-369542000,-594258000,-713741000,-24656000,-74332000,-16791000,-38282000,-28118000,-95083000,-182418000,-169153000,-2282504000,-2751512000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-88507000,-9766000,-541792000,-23241000,-28176000,-113289000,-41954000,-233034000,-49337000,- -,-245553000,-1766907000,-3963280000,-829687000,-34143000,-1180272000,-158498000
86,Purchases of Investments,-22812300,-114968000,-168411000,-14662000,-12539000,-220769000,-107932000,-88422000,-114322000,-240556000,-379644000,-744798000,-1268574000,-442870000,-968971000,-545997000,-359031000,-42325000,-57926000,-65180000,-60909000,-127763000,-107533000
87,Sales/Maturities of Investments,8017800,102253000,172047000,43536000,2265000,184629000,120133000,84917000,96221000,245992000,206986000,852714000,621539000,942121000,489835000,785548000,873139000,53164000,46421000,85777000,40386000,29352000,4057000
88,Other Investing Activites,-29088800,81325000,-98859000,-29894000,2404000,2209000,12996000,17092000,42509000,10893000,12198000,-1338000,-96714000,55410000,-68434000,-15187000,-535362000,1277278000,-47316000,-170264000,189620000,134215000,6748000
89,Cash Used for Investing Activites,-86269800,-302158000,-153014000,-7528000,-15620000,-56865000,-108722000,-158470000,-1054725000,-478040000,-558178000,-600969000,-1499444000,-442873000,-1169313000,-435839000,-1134927000,-1592155000,-5400826000,-3075528000,-1944567000,-3426972000,-3006738000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23128000,-56397000,-574140000,-33255000,-591496000,-842633000,-951016000,-743933000,-1577324000,-2871268000,-551247000,-2406002000,-5308515000,-2873199000
91,Common Stock Issued,86171600,348913000,1918000,537000,106564000,7289000,12989000,38836000,376264000,- -,- -,- -,38893000,- -,- -,- -,829496000,- -,2481421000,388172000,1660976000,1981375000,497870000
92,Common Stock Repurchased,-10000,-28000,-18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86666000,-13364000,-48799000,-297958000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83266000,-521461000,-499463000,-621497000,-738600000,-836164000,-947933000,-1042909000
94,Other Financing Activites,209016700,-9038000,105899000,16387000,-54276000,11950000,121622000,7271000,768749000,168234000,379995000,883826000,829756000,382139000,1466339000,1439641000,2309080000,1182495000,5619204000,1372587000,2783272000,5090599000,3832003000
95,Cash Used/Provided by Financing Activities,295178300,339847000,107799000,16924000,52288000,19239000,134611000,46107000,1145013000,145106000,323598000,309686000,748728000,-222721000,574907000,107401000,1873182000,-894292000,4607860000,470912000,1202082000,815526000,413765000
96,Effect of Forex Changes on Cash,- -,1992000,-1873000,498000,-190000,-217000,-155000,247000,-2238000,-5050000,4937000,-4804000,-911000,6958000,-521000,-11959000,-15127000,-10495000,31187000,-33907000,8766000,40702000,-30474000
97,Net Change In Cash,199000500,-28392000,-115942000,-17615000,19212000,-931000,93329000,-36704000,208070000,-70426000,125849000,96785000,-164018000,-26610000,9681000,349023000,1617921000,-1480362000,677454000,-823097000,1259009000,-260918000,-76241000
98,Cash at the End of Period,203165000,174773000,58831000,41216000,60428000,25938000,119267000,82563000,290633000,220207000,346056000,442841000,278823000,252213000,261894000,610917000,2228838000,748476000,1450701000,627604000,1886613000,1625695000,1549454000
99,Cash at the Beginning of Period,4164500,203165000,174773000,58831000,41216000,26869000,25938000,119267000,82563000,290633000,220207000,346056000,442841000,278823000,252213000,261894000,610917000,2228838000,773247000,1450701000,627604000,1886613000,1625695000
100,Free Cash Flow,-52294500,-438841000,-126645000,-34017000,-25016000,13978000,22183000,-86879000,-417321000,-203570000,-14050000,-201386000,-126132000,-132474000,32202000,29217000,26673000,-96785000,60508000,-280748000,-86793000,27322000,-204306000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1101239/000101287001001327/0001012870-01-001327-index.html,- -,https://www.sec.gov/Archives/edgar/data/1101239/000089843003002107/0000898430-03-002107-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312504035568/0001193125-04-035568-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312505046552/0001193125-05-046552-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312506056358/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312507042470/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312508040053/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312509038875/0001193125-09-038875-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312510036420/0001193125-10-036420-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312511047157/d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312512077943/0001193125-12-077943-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312513076572/0001193125-13-076572-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000119312514076710/d649985d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000119312515073042/d854432d10k.htm,https://www.sec.gov/Archives/edgar/data/1101239/000162828016011802/0001628280-16-011802-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828017001774/0001628280-17-001774-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828018002212/0001628280-18-002212-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828019001771/0001628280-19-001771-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828020001947/0001628280-20-001947-index.html,https://www.sec.gov/Archives/edgar/data/1101239/000162828021002563/0001628280-21-002563-index.htm,https://www.sec.gov/Archives/edgar/data/1101239/000162828022003171/0001628280-22-003171-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
