,https://roic.ai/company/DGX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1206705000,578500000,550400000,734200000,1135739000,1064787000,1083214000,1173901000,1234449000,1278265000,1444646000,1643723000,1770915000,1774657000,1756143000,2120109000,1817066000,1819000000,1815000000,1771000000,1740000000,1825000000,1500000000,1458000000,1662000000,1828000000
11,COGS and Expenses,2217580000,1454000000,1364300000,2053200000,3103345000,3216381000,3515602000,3942524000,4225161000,4535600000,5140652000,5613571000,6027071000,6096132000,6073390000,6515442000,6181765000,6145000000,6452000000,6428000000,6356000000,6544000000,6426000000,6495000000,7466000000,8407000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5712000,2518000,1414000,2766000,2999000,3000000,3000000,1000000,1000000,2000000,2000000,5000000,3000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185476000,146586000,147502000,173349000,167688000,162000000,167000000,154000000,144000000,153000000,169000000,180000000,166000000,151000000
14,Depreciation and Amortization,99098000,76400000,68800000,90800000,134296000,147727000,131391000,153903000,168726000,176124000,197398000,237879000,264593000,256687000,253964000,281102000,286596000,283000000,314000000,304000000,249000000,270000000,309000000,329000000,361000000,408000000
15,EBITDA,-577104000,57300000,122700000,103100000,332381000,458722000,673768000,891701000,1003852000,1086578000,1191400000,936392000,1418327000,1592858000,1547891000,1274018000,1411902000,1794000000,1299000000,1540000000,1467000000,1436000000,1396000000,1614000000,2418000000,3151000000
16,EBITDA ratio,-0.3571,0.0375,0.0841,0.0468,0.0972,0.1264,0.1640,0.1882,0.1958,0.1974,0.1901,0.1397,0.1956,0.2137,0.2101,0.1696,0.1912,0.2510,0.1747,0.2055,0.1952,0.1863,0.1854,0.2089,0.2562,0.2921
17,Operating Income,-601284000,74700000,94300000,152000000,317817000,411390000,592449000,795434000,901440000,968111000,1128007000,1091336000,1222376000,1359111000,1295535000,995048000,1200797000,1475000000,983000000,1399000000,1277000000,1165000000,1101000000,1231000000,1971000000,2381000000
18,Operating Income ratio,-0.3720,0.0489,0.0647,0.0689,0.0929,0.1134,0.1442,0.1679,0.1758,0.1759,0.1799,0.1628,0.1686,0.1823,0.1758,0.1325,0.1627,0.2064,0.1322,0.1867,0.1699,0.1511,0.1462,0.1593,0.2089,0.2207
19,Total Other Income Expenses (Gains),-74918000,-93800000,-40400000,-137600000,-116836000,-78786000,-50072000,-57636000,-66314000,-57657000,-94734000,-178934000,-203424000,-131179000,-111200000,-138816000,-132402000,-127000000,-134000000,-296000000,-191000000,-135000000,-175000000,-155000000,-87000000,218000000
20,Income Before Tax,-676202000,-19100000,53900000,14400000,200981000,332604000,542377000,737798000,835126000,910454000,1033273000,912402000,1018952000,1227932000,1184335000,856232000,1068395000,1348000000,849000000,1103000000,1086000000,1030000000,926000000,1076000000,1884000000,2599000000
21,Income Before Tax Ratio,-0.4184,-0.0125,0.0370,0.0065,0.0587,0.0917,0.1320,0.1557,0.1629,0.1654,0.1648,0.1361,0.1406,0.1647,0.1607,0.1140,0.1447,0.1886,0.1142,0.1472,0.1445,0.1336,0.1230,0.1393,0.1996,0.2409
22,Income Tax expense (Gain),-50242000,3200000,27000000,15700000,96033000,148692000,220223000,301081000,335931000,364177000,407581000,358574000,386768000,460474000,425531000,349000000,401897000,500000000,262000000,373000000,429000000,241000000,182000000,247000000,460000000,597000000
23,Net Income,-625960000,-22300000,26900000,-3400000,102052000,162303000,322154000,436717000,499195000,546277000,586421000,339939000,581490000,729111000,720894000,470567000,555721000,849000000,556000000,709000000,645000000,772000000,736000000,858000000,1431000000,1995000000
24,Net Income ratio,-0.3873,-0.0146,0.0184,-0.0015,0.0298,0.0447,0.0784,0.0922,0.0974,0.0993,0.0935,0.0507,0.0802,0.0978,0.0978,0.0627,0.0753,0.1188,0.0748,0.0946,0.0858,0.1001,0.0977,0.1111,0.1516,0.1849
25,EPS,-5.33,-0.19,0.23,-0.03,0.57,0.87,1.67,2.11,2.45,2.71,2.98,1.76,2.99,3.91,4.08,2.95,3.49,5.58,3.83,4.92,4.58,5.63,5.39,6.36,10.62,16.91
26,EPS Diluted,-5.33,-0.19,0.22,-0.03,0.54,0.83,1.61,2.06,2.35,2.66,2.94,1.74,2.97,3.87,4.05,2.92,3.46,5.54,3.81,4.87,4.51,5.50,5.29,6.28,10.47,16.64
27,Weighted Average Shares Outstanding,117451992,115844156,119555556,136000000,179038596,186555172,192906587,206832000,203920000,201833000,196985000,193241000,194300000,185900000,175700000,158700000,158600000,152000000,145000000,144000000,140000000,137000000,136000000,134000000,134000000,123000000
28,Weighted Average Shares Outstanding Diluted,117451992,116153846,120898876,136000000,188985185,195545783,199476161,211864000,214144000,205530000,199542000,195262000,196000000,187800000,177300000,160200000,160100000,153000000,145000000,145000000,142000000,140000000,139000000,136000000,136000000,125000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1022079/000095014697000404/0000950146-97-000404-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095014698000451/0000950146-98-000451-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095014699000670/0000950146-99-000670-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022079/000095012301500486/0000950123-01-500486-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022079/000095011703000883/0000950117-03-000883-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095011704000798/0000950117-04-000798-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095011705000922/0000950117-05-000922-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095011706000951/0000950117-06-000951-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041307001855/0000930413-07-001855-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041308001152/0000930413-08-001152-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041309000848/0000930413-09-000848-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041310000862/0000930413-10-000862-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041311001115/0000930413-11-001115-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041312000949/0000930413-12-000949-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207913000014/0001022079-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207914000013/0001022079-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207915000034/0001022079-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207916000195/0001022079-16-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207917000032/0001022079-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207918000038/0001022079-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207919000030/0001022079-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207920000017/0001022079-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207921000029/0001022079-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207922000027/0001022079-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,41960000,161700000,202900000,27300000,171477000,122332000,96777000,154958000,73302000,92130000,149640000,167594000,253946000,534256000,449301000,164886000,295586000,187000000,192000000,133000000,359000000,137000000,135000000,1192000000,1158000000,872000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,41960000,161700000,202900000,27300000,171477000,122332000,96777000,154958000,73302000,92130000,149640000,167594000,253946000,534256000,449301000,164886000,295586000,187000000,192000000,133000000,359000000,137000000,135000000,1192000000,1158000000,872000000
34,Net Receivables,297743000,238400000,220900000,539300000,485573000,508340000,522131000,609187000,649281000,732907000,774414000,881967000,832873000,827343000,845299000,906455000,867010000,852000000,932000000,901000000,926000000,924000000,1012000000,1063000000,1520000000,1438000000
35,Inventory,28524000,30400000,31200000,52300000,44274000,49906000,60899000,72484000,75327000,77939000,78564000,95234000,102125000,91386000,76572000,89132000,93050000,91000000,110000000,84000000,82000000,95000000,99000000,123000000,223000000,208000000
36,Other Current Assets,142738000,141400000,123200000,253800000,279365000,195936000,144636000,159157000,133170000,166521000,188400000,229562000,307875000,226440000,234245000,240787000,305351000,253000000,369000000,383000000,164000000,150000000,144000000,112000000,157000000,223000000
37,Total Current Assets,510965000,571900000,578200000,872700000,980689000,876514000,824443000,995786000,931080000,1069497000,1191018000,1374357000,1496819000,1679425000,1605417000,1401260000,1560997000,1383000000,1603000000,1501000000,1531000000,1306000000,1390000000,2490000000,3058000000,2741000000
38,PP&E,287749000,250200000,240400000,428000000,449856000,508619000,570149000,607305000,619485000,753663000,752357000,912000000,879687000,825946000,834376000,799771000,755831000,805000000,933000000,925000000,1029000000,1145000000,1288000000,1971000000,2231000000,2304000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3391046000,5220104000,5054926000,5083944000,5101938000,5795765000,5535848000,5649000000,6032000000,5905000000,6000000000,6335000000,6563000000,6619000000,6873000000,7095000000
40,Intangible Assets,- -,513800000,494700000,1435900000,1261603000,1379143000,1810933000,2535853000,2518412000,3344610000,193346000,886733000,827403000,823665000,796405000,1035612000,872172000,896000000,1071000000,984000000,949000000,1119000000,1207000000,1121000000,1167000000,1167000000
41,Intangible Assets,546457000,513800000,494700000,1435900000,1261603000,1379143000,1810933000,2535853000,2518412000,3344610000,3584392000,6106837000,5882329000,5907609000,5898343000,6831377000,6408020000,6545000000,7103000000,6889000000,6949000000,7454000000,7770000000,7740000000,8040000000,8262000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,473000000,443000000,462000000,436000000,482000000,521000000,141000000
43,Tax Assets,20420000,- -,- -,- -,- -,52678000,29756000,49635000,29374000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,29475000,65000000,46900000,141900000,172388000,113601000,88916000,112839000,105437000,138345000,133715000,172499000,144995000,150663000,189494000,280971000,559015000,215000000,192000000,174000000,148000000,136000000,119000000,160000000,176000000,163000000
45,Total Non-Current Assets,884101000,829000000,782000000,2005800000,1883847000,2054041000,2499754000,3305632000,3272708000,4236618000,4470464000,7191336000,6907011000,6884218000,6922213000,7912119000,7722866000,7565000000,8274000000,8461000000,8569000000,9197000000,9613000000,10353000000,10968000000,10870000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1395066000,1400900000,1360200000,2878500000,2864536000,2930555000,3324197000,4301418000,4203788000,5306115000,5661482000,8565693000,8403830000,8563643000,8527630000,9313379000,9283863000,8948000000,9877000000,9962000000,10100000000,10503000000,11003000000,12843000000,14026000000,13611000000
48,Accounts Payable,206701000,244900000,242300000,626500000,689582000,657219000,609945000,649850000,668987000,764453000,215721000,205067000,191219000,207327000,212494000,215340000,203547000,258000000,257000000,279000000,261000000,224000000,222000000,263000000,446000000,- -
49,Short-Term Debt,20785000,32600000,51400000,45400000,265408000,1404000,26032000,73950000,374801000,336839000,316874000,163581000,5142000,170507000,348996000,654395000,9404000,212000000,518000000,159000000,6000000,107000000,562000000,1037000000,296000000,153000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77846000,7000000,63000000,4000000,3000000,9000000,17000000,27000000,43000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,21946000,17600000,15800000,29300000,- -,- -,- -,- -,- -,- -,618275000,919649000,1028400000,681378000,652778000,691424000,834652000,662000000,934000000,735000000,714000000,726000000,701000000,690000000,1034000000,1600000000
53,Total Current Liabilities,249432000,295100000,309500000,701200000,954990000,658623000,635977000,723800000,1043788000,1101292000,1150870000,1288297000,1224761000,1059212000,1214268000,1561159000,1047603000,1132000000,1709000000,1173000000,981000000,1057000000,1485000000,1990000000,1776000000,1753000000
54,Long-Term Debt,515008000,482200000,413400000,1171400000,760705000,820337000,796507000,1028707000,724021000,1255386000,1239105000,3377212000,3078089000,2936792000,2641160000,3370522000,3354173000,3120000000,3244000000,3492000000,3728000000,3748000000,3429000000,3966000000,4512000000,4504000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,91907000,81900000,69400000,142800000,117046000,115608000,122850000,154217000,147328000,186453000,252336000,575942000,306510000,556175000,618077000,666699000,696358000,723000000,594000000,584000000,731000000,743000000,822000000,1200000000,929000000,871000000
58,Total Non-Current Liabilities,606915000,564100000,482800000,1314200000,877751000,935945000,919357000,1182924000,871349000,1441839000,1491441000,3953154000,3574173000,3492967000,3259237000,4037221000,4050531000,3843000000,3838000000,4076000000,4459000000,4491000000,4251000000,5166000000,5441000000,5375000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558000000,640000000,645000000
61,Total Liabilities,856347000,859200000,792300000,2015400000,1832741000,1594568000,1555334000,1906724000,1915137000,2543131000,2642311000,5241451000,4798934000,4552179000,4473505000,5598380000,5098134000,4975000000,5547000000,5249000000,5440000000,5548000000,5736000000,7156000000,7217000000,7128000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,288000,- -,- -,400000,465000,960000,980000,1068000,1068000,2137000,2138000,2137000,2141000,2141000,2142000,2146000,2151000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,-627892000,-650300000,-623500000,-627000000,-525111000,-362926000,-40772000,380559000,818734000,1292510000,1800255000,2057744000,2561679000,3216639000,3867420000,4263599000,4690378000,5358000000,5723000000,6199000000,6613000000,7138000000,7602000000,8174000000,9303000000,7649000000
65,Other Comprehensive Income/Loss,- -,-326200000,-349100000,-367500000,-383697000,-463408000,-8856000,3601000,3855000,-9526000,-65000,25279000,-68068000,-20961000,10626000,-8067000,14320000,-8000000,-27000000,-38000000,-72000000,-48000000,-59000000,-39000000,-21000000,-14000000
66,Other Total Stockholders Equity,1166323000,1518200000,1540500000,1857200000,1940138000,2161361000,1817511000,2009466000,1464994000,1477863000,1216843000,1239082000,1109144000,791820000,153292000,-564806000,-543802000,-1404000000,-1397000000,-1479000000,-1915000000,-2171000000,-2329000000,-2496000000,-2525000000,- -
67,Total Stockholders Equity,538719000,541700000,567900000,863100000,1031795000,1335987000,1768863000,2394694000,2288651000,2762984000,3019171000,3324242000,3604896000,3989639000,4033480000,3692872000,4163047000,3948000000,4301000000,4684000000,4628000000,4921000000,5216000000,5641000000,6759000000,6444000000
68,Total Liabilities And Stockholders Equity,1395066000,1400900000,1360200000,2878500000,2864536000,2930555000,3324197000,4301418000,4203788000,5306115000,5661482000,8565693000,8403830000,8541818000,8506985000,9291252000,9261181000,8923000000,9848000000,9933000000,10068000000,10469000000,10952000000,12797000000,13976000000,13572000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21825000,20645000,22127000,22682000,25000000,29000000,29000000,32000000,34000000,51000000,46000000,50000000,39000000
70,Total Liabilities & Equity,1395066000,1400900000,1360200000,2878500000,2864536000,2930555000,3324197000,4301418000,4203788000,5306115000,5661482000,8565693000,8403830000,8563643000,8527630000,9313379000,9283863000,8948000000,9877000000,9962000000,10100000000,10503000000,11003000000,12843000000,14026000000,13611000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1022079/000095014697000404/0000950146-97-000404-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095014698000451/0000950146-98-000451-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095014699000670/0000950146-99-000670-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022079/000095012301500486/0000950123-01-500486-index.html,- -,https://www.sec.gov/Archives/edgar/data/1022079/000095011703000883/0000950117-03-000883-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095011704000798/0000950117-04-000798-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095011705000922/0000950117-05-000922-index.html,https://www.sec.gov/Archives/edgar/data/1022079/000095011706000951/0000950117-06-000951-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041307001855/0000930413-07-001855-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041308001152/0000930413-08-001152-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041309000848/0000930413-09-000848-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041310000862/0000930413-10-000862-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041311001115/0000930413-11-001115-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000093041312000949/0000930413-12-000949-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207913000014/0001022079-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207914000013/0001022079-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207915000034/0001022079-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207916000195/0001022079-16-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207917000032/0001022079-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207918000038/0001022079-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207919000030/0001022079-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207920000017/0001022079-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207921000029/0001022079-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1022079/000102207922000027/0001022079-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-625960000,-22300000,26900000,-3400000,102052000,162303000,322154000,436717000,499195000,546277000,586421000,339939000,581490000,729111000,720894000,470567000,555721000,849000000,556000000,709000000,645000000,772000000,736000000,858000000,1431000000,1995000000
74,Depreciation and Amortization,99098000,76400000,68800000,90800000,134296000,147727000,131391000,153903000,168726000,176124000,197398000,237879000,264593000,256687000,253964000,281102000,286596000,283000000,314000000,304000000,249000000,270000000,309000000,329000000,361000000,408000000
75,Deferred Income Tax,-4472000,-1100000,12300000,-29500000,33837000,-560000,90401000,33853000,52451000,661000,-46280000,-1575000,549000,83120000,-18878000,28624000,6535000,19000000,23000000,112000000,37000000,9000000,73000000,15000000,85000000,-57000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70581000,75059000,53927000,71906000,50332000,28000000,51000000,52000000,69000000,79000000,61000000,56000000,97000000,79000000
77,Change in Working Capital,-337492000,15267000,-8100000,-97200000,-145801000,192192000,-29425000,83520000,-384694000,80913000,71943000,45912000,185998000,348155000,-229064000,-551048000,673293000,-262394000,-357000000,434000000,222000000,-301000000,-344000000,595000000,782000000,87000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-282634000,-314102000,-309932000,-306652000,-243019000,-247000000,-312000000,-262000000,-343000000,-298000000,-65000000,-63000000,-455000000,81000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13156000,-21000000,68000000,-31000000,56000000,-8000000,-19000000,73000000,452000000,35000000
81,Other Working Capital,261533000,276800000,268700000,171500000,25699000,217891000,188466000,271986000,-112708000,-31795000,40148000,86060000,272058000,620213000,391149000,-159899000,513394000,251000000,-106000000,328000000,550000000,249000000,-95000000,500000000,1282000000,-9000000
82,Other Non-Cash Items,780340000,108033000,41500000,288800000,245071000,-35859000,81850000,-45194000,463102000,47608000,142414000,304769000,-40162000,-494714000,337204000,594323000,-385309000,-264606000,351000000,-801000000,-153000000,346000000,365000000,-610000000,-751000000,-279000000
83,Cash Provided by Operating Activities,-88486000,176300000,141400000,249500000,369455000,465803000,596371000,662799000,798780000,851583000,951896000,926924000,1063049000,997418000,1118047000,895474000,1187168000,652000000,938000000,810000000,1069000000,1175000000,1200000000,1243000000,2005000000,2233000000
84,CAPEX,-70396000,-46800000,-40500000,-1101000000,-116450000,-148986000,-155196000,-174641000,-176125000,-224270000,-193422000,-219101000,-212681000,-166928000,-205400000,-161556000,-182234000,-231000000,-308000000,-263000000,-293000000,-252000000,-383000000,-400000000,-418000000,-403000000
85,Acquisitions Net,- -,- -,- -,- -,92225000,-152864000,-333512000,-237610000,- -,-814219000,-236543000,-1535826000,8066000,-18295000,- -,-1298624000,-50574000,83000000,-728000000,-100000000,131000000,-555000000,-419000000,-58000000,-330000000,424000000
86,Purchases of Investments,- -,- -,-2200000,-2300000,-27415000,-20428000,- -,- -,- -,- -,- -,-4266000,- -,-10681000,-11100000,- -,- -,- -,- -,- -,- -,- -,- -,-44000000,-27000000,-3000000
87,Sales/Maturities of Investments,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,15563000,- -,5732000,- -,- -,216745000,15669000,2000000,11000000,1000000,10000000,2000000,1000000,- -,- -,- -
88,Other Investing Activites,-63674000,10400000,3000000,-4700000,3625000,25662000,11496000,-4799000,2425000,-41304000,- -,- -,-212681000,-166928000,-205410000,-161556000,-182234000,243000000,-308000000,-263000000,-293000000,-252000000,-383000000,-309000000,-415000000,-400000000
89,Cash Used for Investing Activites,-63674000,-35100000,-39700000,-1108000000,-48015000,-296616000,-477212000,-417050000,-173700000,-1079793000,-414402000,-1759193000,-198883000,-195904000,-216510000,-1243435000,-217139000,328000000,-1025000000,-362000000,-152000000,-805000000,-801000000,-411000000,-772000000,21000000
90,Debt Repayment,-538859000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-481870000,-1230632000,-169491000,-1710308000,-1369410000,-900000000,-1647000000,-2537000000,-1724000000,-182000000,-1966000000,-1449000000,-1554000000,-2000000
91,Common Stock Issued,- -,- -,100000,4400000,22147000,25631000,27034000,29887000,109116000,98335000,102324000,80928000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-13000000,-1100000,- -,-1000000,- -,-257548000,-734577000,-390163000,-472325000,-145660000,-253997000,-499991000,-750000000,-934994000,-199996000,-1037000000,-132000000,-224000000,-590000000,-465000000,-322000000,-353000000,-325000000,-2199000000
93,Dividends Paid,-1172000,-100000,-100000,-100000,-6900000,-8954000,- -,- -,-61387000,-69673000,-77135000,-77327000,-110895000,-110272000,-108060000,-64662000,-108136000,-185000000,-187000000,-212000000,-223000000,-247000000,-266000000,-286000000,-297000000,-309000000
94,Other Financing Activites,697705000,-21400000,-47400000,679600000,-192494000,-234009000,-171748000,40093000,-19888000,608539000,-32848000,992282000,68948000,1319691000,41059000,2773510000,855447000,1016000000,2058000000,2466000000,1846000000,302000000,2153000000,2313000000,909000000,-30000000
95,Cash Used/Provided by Financing Activities,157674000,-21500000,-60400000,682800000,-177247000,-218332000,-144714000,-187568000,-706736000,247038000,-479984000,850223000,-777814000,-521204000,-986492000,63546000,-822095000,-1106000000,92000000,-507000000,-691000000,-592000000,-401000000,225000000,-1267000000,-2540000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5514000,-21500000,-60400000,-175600000,144193000,-49145000,-25555000,58181000,-81656000,18828000,57510000,17954000,86352000,280310000,-84955000,-284415000,130700000,-109000000,5000000,-59000000,226000000,-222000000,-2000000,1057000000,-34000000,-286000000
98,Cash at the End of Period,41960000,- -,- -,27300000,171477000,122332000,96777000,154958000,73302000,92130000,149640000,167594000,253946000,534256000,449301000,164886000,295586000,187000000,192000000,133000000,359000000,137000000,135000000,1192000000,1158000000,872000000
99,Cash at the Beginning of Period,36446000,42000000,161700000,202900000,27284000,171477000,122332000,96777000,154958000,73302000,92130000,149640000,167594000,253946000,534256000,449301000,164886000,296000000,187000000,192000000,133000000,359000000,137000000,135000000,1192000000,1158000000
