,https://roic.ai/company/IDCC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-7900000,-9600000,-10800000,-21400000,-19100000,-12000000,-6200000,-22600000,-34700000,-14100000,34600000,-11600000,-34300000,37000000,26706000,-48183000,-19284000,2511000,34465000,155000,54685000,225222000,20004000,26207000,87256000,153616000,89468000,271804000,38165000,104342000,119225000,309001000,174293000,63868000,20928000,44801000,55295000
24,Net Income ratio,-26.3333,-6.0000,-4.5000,-4.9767,-4.2444,-0.6452,-0.1834,-0.5305,-2.1159,-0.2820,0.4071,-0.2160,-0.6888,0.3730,0.3779,-0.8471,-0.3669,0.0286,0.3008,0.0015,0.3352,0.4688,0.0854,0.1147,0.2934,0.3893,0.2965,0.4099,0.1173,0.2509,0.2701,0.4641,0.3270,0.2078,0.0656,0.1248,0.1300
25,EPS,-0.96,-0.95,-1.06,-1.96,-1.55,-0.81,-0.39,-0.95,-1.11,-0.38,0.74,-0.26,-0.72,0.76,0.55,-0.91,-0.36,0.04,0.62,0.00,1.01,4.22,0.42,0.58,1.98,3.48,1.97,6.31,0.93,2.65,3.31,8.95,5.04,1.85,0.66,1.46,1.80
26,EPS Diluted,-0.96,-0.95,-1.06,-1.96,-1.55,-0.81,-0.39,-0.95,-1.11,-0.38,0.74,-0.26,-0.72,0.75,0.52,-0.91,-0.36,0.04,0.58,0.00,0.96,4.04,0.40,0.57,1.95,3.48,1.94,6.26,0.92,2.62,3.27,8.78,4.87,1.81,0.66,1.44,1.77
27,Weighted Average Shares Outstanding,8229167,10315789,11132075,11581633,14193548,16666667,19743590,24105263,31531532,37894737,46503000,46462000,48166000,48289474,48357000,52855000,53446000,52981000,55271000,55264000,54058000,53426000,47766000,44928000,43295000,44084000,45411000,43070000,41115000,39420000,36048000,34526000,34605000,34491000,31546000,30776000,30764000
28,Weighted Average Shares Outstanding Diluted,8229167,10315789,11132075,11581633,14193548,16666667,19743590,24105263,31531532,37894737,46503000,47500000,48166000,48933333,50495000,57306000,53446000,56099000,59691000,59075000,57161000,55778000,49489000,45964000,44080000,44084000,46014000,43396000,41424000,39879000,36463000,35189000,35779000,35307000,31785000,31058000,31253000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1405495/000119312508043723/d10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000089322009000448/0000893220-09-000448-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000095012310018213/0000950123-10-018213-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000095012311019854/w80945e10vk.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549512000009/0001405495-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549513000010/0001405495-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549514000010/idcc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549515000010/idcc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549516000047/0001405495-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549517000005/0001405495-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549518000015/0001405495-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549519000008/0001405495-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549520000007/0001405495-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549521000013/0001405495-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549522000010/0001405495-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4600000,7300000,14500000,4800000,6700000,4900000,5500000,9800000,8800000,6300000,9400000,12000000,17800000,20100000,14592000,12343000,17892000,22337000,20877000,15737000,27877000,166385000,92018000,100144000,210863000,215451000,342211000,349843000,497714000,428567000,510207000,404074000,433014000,475056000,745491000,473474000,706282000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68550000,76644000,72471000,65229000,85050000,116081000,77831000,97581000,85449000,41516000,198943000,326218000,335783000,227436000,200737000,275361000,423501000,548687000,724981000,470724000,179204000,453173000,235345000
33,Cash and Short-Term Investments,4600000,7300000,14500000,4800000,6700000,4900000,5500000,9800000,8800000,6300000,9400000,12000000,17800000,20100000,83142000,88987000,90363000,87566000,105927000,131818000,105708000,263966000,177467000,141660000,409806000,541669000,677994000,577279000,698451000,703928000,933708000,952761000,1157995000,945780000,924695000,926647000,941627000
34,Net Receivables,- -,900000,1700000,900000,1000000,2100000,5200000,9900000,4700000,20900000,3200000,13900000,3100000,15000000,10884000,16928000,14479000,53486000,37839000,11612000,19534000,131852000,130880000,33892000,212905000,33632000,28079000,169874000,92830000,51702000,53868000,228464000,216293000,35032000,28272000,86417000,88240000
35,Inventory,200000,100000,3500000,6700000,4400000,3300000,2500000,7000000,10000000,5000000,4900000,13900000,12300000,5100000,3092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,300000,200000,2100000,1900000,3200000,1000000,900000,2100000,1500000,5100000,56500000,46900000,13400000,35200000,11625000,10066000,6385000,7627000,8628000,13187000,50473000,57984000,63066000,65469000,79611000,44255000,62814000,67194000,66233000,87549000,23391000,39894000,21506000,43438000,63365000,13815000,20418000
37,Total Current Assets,5100000,8500000,21800000,14300000,15300000,11300000,14100000,28800000,25000000,37300000,74000000,86700000,46600000,75400000,108743000,115981000,111227000,148679000,152394000,156617000,175715000,453802000,371413000,241021000,702322000,619556000,768887000,814347000,857514000,843179000,1010967000,1221119000,1395794000,1024250000,1016332000,1026879000,1050285000
38,PP&E,300000,700000,1700000,2200000,1700000,1800000,4000000,6400000,7500000,2300000,4500000,10500000,11400000,9700000,7393000,11302000,14402000,14091000,12137000,10716000,10660000,16682000,24594000,20974000,10399000,8344000,7997000,7824000,9535000,12546000,12148000,12626000,10673000,10051000,10217000,16630000,31228000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16172000,- -,- -,- -,- -,22421000
40,Intangible Assets,300000,700000,900000,1300000,1800000,1900000,9500000,10500000,10300000,2600000,2400000,9800000,9300000,9900000,9723000,10102000,11334000,15016000,32246000,40972000,59516000,70496000,87092000,125539000,119170000,130305000,137963000,177557000,206371000,265540000,277579000,313068000,327471000,456394000,436339000,418343000,363585000
41,Intangible Assets,300000,700000,900000,1300000,1800000,1900000,9500000,10500000,10300000,2600000,2400000,9800000,9300000,9900000,9723000,10102000,11334000,15016000,32246000,40972000,59516000,70496000,87092000,125539000,119170000,130305000,137963000,177557000,206371000,265540000,277579000,329240000,327471000,456394000,436339000,418343000,386006000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21280000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27164000,48681000,6418000,14834000,7724000,31652000,71754000,54110000,30687000,36626000,71783000,160572000,149532000,84582000,77225000,73168000,80380000,98408000
44,Other Non-Current Assets,1000000,6400000,9900000,7500000,5900000,5600000,2400000,700000,1500000,1600000,2300000,5600000,2100000,4500000,712000,4240000,11418000,13392000,8388000,6451000,4965000,16678000,36952000,10510000,42242000,44684000,28011000,26194000,3137000,1543000,13219000,15336000,35900000,58638000,76026000,74043000,40949000
45,Total Non-Current Assets,1600000,7800000,12500000,11000000,9400000,9300000,15900000,17600000,19300000,6500000,9200000,25900000,22800000,24100000,17828000,25644000,37154000,42499000,52771000,85303000,123822000,110274000,163472000,164747000,203463000,255087000,228081000,242262000,255669000,351412000,463518000,506734000,458626000,602308000,595750000,589396000,577871000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6700000,16300000,34300000,25300000,24700000,20600000,30000000,46400000,44300000,43800000,83200000,112600000,69400000,99500000,126571000,141625000,148381000,191178000,205165000,241920000,299537000,564076000,534885000,405768000,905785000,874643000,996968000,1056609000,1113183000,1194591000,1474485000,1727853000,1854420000,1626558000,1612082000,1616275000,1628156000
48,Accounts Payable,- -,- -,- -,- -,600000,1900000,5000000,5700000,5600000,9500000,4300000,15200000,8200000,6000000,2454000,4482000,4412000,5412000,6435000,6758000,7163000,21913000,40850000,9127000,6284000,7572000,7110000,9600000,24504000,34654000,19002000,14050000,10260000,19367000,13393000,10979000,7155000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,193000,212000,350000,369000,1311000,1608000,584000,288000,180000,- -,- -,- -,227174000,- -,- -,- -,94170000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33825000,3675000,3265000,3960000,7056000,- -,1405000,10660000,14881000,1508000,51000,360000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10490000,17087000,22381000,28075000,20055000,70709000,78899000,78646000,193409000,134804000,134087000,106305000,60176000,124695000,106229000,360192000,307142000,111672000,146654000,219935000,291673000
52,Other Current Liabilities,2500000,1700000,5300000,13800000,14300000,7200000,14900000,12800000,14700000,17600000,10700000,14400000,15500000,14700000,10791000,20933000,8629000,14146000,11060000,14788000,22966000,28237000,36124000,37156000,52283000,35896000,31776000,57008000,41758000,45820000,47568000,51238000,59039000,48356000,51341000,64848000,72733000
53,Total Current Liabilities,2500000,1700000,5300000,13800000,14900000,9100000,19900000,18500000,20300000,27100000,15000000,29600000,23700000,20700000,13245000,25415000,23531000,36834000,40069000,49833000,50534000,121228000,157184000,126537000,252560000,178560000,173153000,172913000,126438000,205169000,399973000,425480000,376441000,179395000,305558000,295762000,371561000
54,Long-Term Debt,- -,100000,200000,300000,200000,300000,8200000,8100000,8700000,500000,600000,4200000,3600000,3000000,2559000,2234000,2158000,1970000,1777000,1672000,1572000,1203000,2406000,1321000,468000,180000,192529000,200391000,208813000,217835000,259595000,272021000,285126000,317377000,350588000,367992000,422745000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181056000,474844000,332174000,153953000,161820000,243864000,293342000,289039000,261013000,309671000,157634000,123653000,108069000,19463000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,700000,5700000,7900000,7200000,7200000,14200000,100000,500000,500000,- -,1300000,6300000,3600000,- -,1260000,40066000,62418000,73583000,65834000,74756000,73117000,166169000,238228000,9194000,8376000,10613000,5651000,2780000,248000,2568000,3983000,14971000,10034000,34139000,46002000,47886000,61470000
58,Total Non-Current Liabilities,700000,5800000,8100000,7500000,7400000,14500000,8300000,8600000,9200000,500000,1900000,10500000,7200000,3000000,3819000,42300000,64576000,75553000,67611000,76428000,74689000,167372000,240634000,191571000,483688000,342967000,352133000,364991000,452925000,513745000,552617000,548005000,604831000,509150000,520243000,523947000,503678000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3200000,7500000,13400000,21300000,22300000,23600000,28200000,27100000,29500000,27600000,16900000,40100000,30900000,23700000,17064000,67715000,88107000,112387000,107680000,126261000,125223000,288600000,397818000,318108000,736248000,521527000,525286000,537904000,579363000,718914000,952590000,973485000,981272000,688545000,825801000,819709000,875239000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,510000,538000,544000,563000,585000,597000,605000,644000,653000,659000,668000,686000,691000,695000,696000,698000,701000,703000,707000,711000,712000,714000,717000
64,Retained Earnings,-23300000,-33200000,-45400000,-69300000,-91300000,-104700000,-112500000,-135400000,-170300000,-184700000,-150300000,-162200000,-196800000,-160000000,-133588000,-181899000,-201320000,-198945000,-164613000,-164524000,-109839000,115383000,133308000,159515000,246771000,395799000,466727000,659235000,680718000,757050000,847033000,1120766000,1249091000,1426266000,1412779000,1413969000,1441105000
65,Other Comprehensive Income/Loss,-400000,-500000,-1000000,-1700000,-2100000,-2800000,-3600000,-4900000,-6300000,-7300000,-6000000,-8400000,-11500000,-15000000,-17603000,-18915000,-23548000,-628000,-992000,-3342000,-6038000,-46000,206000,245000,277000,111000,-439000,864000,-14000,118000,-178000,-514000,-2083000,-2471000,-74000,-184000,-571000
66,Other Total Stockholders Equity,27200000,42500000,67300000,75000000,95800000,104500000,117900000,159600000,191400000,208200000,222600000,243100000,246800000,250800000,260188000,274186000,284598000,277796000,262500000,282928000,289586000,159495000,2900000,-72759000,-78179000,-43480000,4703000,-142089000,-152750000,-289538000,-337037000,-381246000,-392448000,-497481000,-651860000,-641130000,-696012000
67,Total Stockholders Equity,3500000,8800000,20900000,4000000,2400000,-3000000,1800000,19300000,14800000,16200000,66300000,72500000,38500000,75800000,109507000,73910000,60274000,78791000,97485000,115659000,174314000,275476000,137067000,87660000,169537000,353116000,471682000,518705000,528650000,468328000,510519000,739709000,855267000,927025000,761557000,773369000,745239000
68,Total Liabilities And Stockholders Equity,6700000,16300000,34300000,25300000,24700000,20600000,30000000,46400000,44300000,43800000,83200000,112600000,69400000,99500000,126571000,141625000,148381000,191178000,205165000,241920000,299537000,564076000,534885000,405768000,905785000,874643000,996968000,1056609000,1108013000,1187242000,1463109000,1713194000,1836539000,1615570000,1587358000,1593078000,1620478000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5170000,7349000,11376000,14659000,17881000,10988000,24724000,23197000,7678000
70,Total Liabilities & Equity,6700000,16300000,34300000,25300000,24700000,20600000,30000000,46400000,44300000,43800000,83200000,112600000,69400000,99500000,126571000,141625000,148381000,191178000,205165000,241920000,299537000,564076000,534885000,405768000,905785000,874643000,996968000,1056609000,1113183000,1194591000,1474485000,1727853000,1854420000,1626558000,1612082000,1616275000,1628156000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1405495/000119312508043723/d10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000089322009000448/0000893220-09-000448-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000095012310018213/0000950123-10-018213-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000095012311019854/w80945e10vk.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549512000009/0001405495-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549513000010/0001405495-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549514000010/idcc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549515000010/idcc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549516000047/0001405495-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549517000005/0001405495-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549518000015/0001405495-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549519000008/0001405495-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549520000007/0001405495-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549521000013/0001405495-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549522000010/0001405495-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-19100000,-12000000,-6200000,-22600000,-34700000,-14100000,34600000,-11600000,-34300000,37000000,26706000,-48183000,-19284000,2511000,34465000,155000,54685000,225222000,20004000,26207000,87256000,153616000,89468000,271804000,38165000,104342000,119225000,309001000,174293000,63868000,20928000,44801000,55295000
74,Depreciation and Amortization,- -,- -,- -,- -,2800000,3400000,3100000,3600000,2900000,2000000,1700000,3700000,4900000,4600000,4798000,6739000,9338000,11629000,9735000,9707000,11421000,14621000,21990000,28851000,22874000,22125000,23805000,26248000,33385000,42246000,47793000,52753000,57053000,66108000,77094000,81041000,78193000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37298000,40846000,-8630000,1842000,-43426000,-6738000,-1210000,40416000,4861000,-62979000,-34770000,13261000,64950000,-45426000,4123000,-7182000,-7503000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5101000,9789000,5801000,8115000,6495000,15940000,18494000,15139000,21840000,18062000,7089000,7603000,10442000,28736000
77,Change in Working Capital,- -,- -,- -,- -,-7000000,-8000000,16100000,-5600000,5500000,48800000,-1900000,-34200000,31800000,40798000,-4932000,-2870000,24149000,480000,-5541000,18397000,207393000,-118345000,-99745000,335278000,-8766000,154738000,45700000,89642000,-93066000,-27016000,184645000,223714000,-174498000,-134081000,20343000,-106683000,-6800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141795000,77044000,26128000,-2166000,-169927000,12171000,31615000,6742000,- -,- -
79,Inventory,- -,- -,- -,- -,900000,600000,900000,-5800000,-8100000,3400000,500000,-9000000,1600000,-800000,2010000,3092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30121000,-1506000,417000,-571000,2453000,14655000,-10396000,2503000,-5564000,-3789000,6203000,-638000,-2850000,-1803000
81,Other Working Capital,- -,- -,- -,- -,2200000,-5800000,10300000,4700000,10200000,59000000,57100000,22900000,54700000,95498000,90566000,87696000,111845000,112325000,106784000,125181000,332574000,214229000,114484000,449762000,440996000,595734000,641434000,731076000,638010000,610994000,795639000,1019353000,844855000,710774000,731117000,624434000,10106000
82,Other Non-Cash Items,- -,- -,- -,- -,1800000,14100000,-13400000,10600000,-2500000,-51800000,15000000,28800000,-26200000,-52298000,-2616000,48852000,-4636000,-17256000,20902000,19971000,-202527000,152467000,219108000,-311468000,252967000,-195619000,-200216000,-256997000,218890000,166926000,-217533000,-189791000,175940000,189234000,-40658000,141048000,-17529000
