,https://roic.ai/company/JOE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,99200000,102400000,108900000,111100000,114500000,114800000,213300000,200200000,199600000,76700000,45500000,65729000,83353000,48912000,50307000,172021000,80805000,86059000,168991000,134167000,104977000,125441000,78756000,71748000,43435000,38486000,51825000,42912000,31590000,29267000,29555000,31676000,35694000,41225000
11,COGS and Expenses,534000000,547900000,560600000,557700000,567900000,559800000,621300000,287600000,283000000,293400000,332500000,655317000,721956000,751335000,524936000,630639000,806950000,757403000,656549000,345099000,225096000,239548000,141044000,143220000,134711000,125399000,188623000,110006000,93784000,96461000,80872000,95762000,113470000,172539000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,884000,- -,- -,- -,- -,6061000,3388000,1470000,1130000,1219000,1498000,13364000,14811000,15152000,24965000,17804000,15885000,9645000,9109000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4483000,1157000,8612000,3921000,2820000,2040000,8608000,11429000,12295000,12145000,11840000,12302000,13564000,15854000
14,Depreciation and Amortization,46800000,50400000,53700000,55200000,59800000,62900000,62400000,28600000,28800000,32500000,38900000,49368000,51783000,29619000,23845000,31504000,36838000,40775000,40364000,23927000,17362000,16112000,13657000,15839000,- -,- -,- -,- -,- -,- -,- -,- -,12788000,18202000
15,EBITDA,182300000,160800000,123900000,103500000,90300000,117700000,138400000,127000000,287900000,108500000,103900000,197686000,208749000,142169000,287769000,150045000,180196000,231765000,116541000,64003000,-41022000,-193972000,-37444000,-366177000,9219000,6621000,530568000,10506000,35337000,53842000,43473000,48524000,85225000,133591000
16,EBITDA ratio,0.2804,0.2531,0.2030,0.1778,0.1526,0.1988,0.2018,0.3792,0.6677,0.3133,0.2649,0.2634,0.2370,0.1637,0.4452,0.1973,0.1894,0.2470,0.1558,0.1698,-0.1554,-1.4030,-0.3762,-2.5204,0.0661,0.0504,0.7559,0.1011,0.3691,0.5450,0.3942,0.3818,0.5308,0.5003
17,Operating Income,116100000,87400000,49600000,24500000,24000000,32200000,64500000,47300000,148200000,52900000,59700000,95095000,158874000,117076000,121416000,129991000,144553000,180789000,78227000,23057000,-25713000,-209342000,-51554000,-386807000,2134000,777000,513250000,-6135000,1960000,2335000,29404000,31323000,47085000,94457000
18,Operating Income ratio,0.1786,0.1376,0.0813,0.0421,0.0405,0.0544,0.0941,0.1412,0.3437,0.1528,0.1522,0.1267,0.1804,0.1348,0.1878,0.1709,0.1519,0.1927,0.1046,0.0612,-0.0974,-1.5142,-0.5179,-2.6624,0.0153,0.0059,0.7313,-0.0591,0.0205,0.0236,0.2666,0.2465,0.2933,0.3538
19,Total Other Income Expenses (Gains),19400000,23000000,20600000,23800000,6500000,2100000,11500000,6600000,26800000,23100000,2600000,6505000,-1908000,-4002000,120648000,-8729000,-9218000,-7687000,-15954000,-11074000,-36643000,4215000,-3892000,934000,4289000,3668000,8571000,4972000,20651000,39020000,1462000,4862000,12731000,5139000
20,Income Before Tax,135500000,110400000,70200000,48300000,30500000,34300000,76000000,53900000,175000000,76000000,62300000,101600000,156966000,113074000,242064000,121262000,135335000,173102000,62273000,11983000,-62356000,-205127000,-55446000,-385873000,6423000,4445000,521821000,-1163000,22611000,41355000,30866000,36185000,59816000,99596000
21,Income Before Tax Ratio,0.2084,0.1738,0.1150,0.0830,0.0515,0.0579,0.1108,0.1609,0.4058,0.2195,0.1588,0.1354,0.1782,0.1302,0.3745,0.1594,0.1422,0.1845,0.0832,0.0318,-0.2362,-1.4837,-0.5570,-2.6560,0.0461,0.0339,0.7435,-0.0112,0.2362,0.4186,0.2799,0.2847,0.3726,0.3730
22,Income Tax expense (Gain),52800000,43200000,28900000,20700000,14900000,22200000,33900000,24500000,83100000,40500000,36200000,23961000,56643000,42345000,89561000,42626000,53258000,64332000,25157000,869000,-26984000,-81222000,-23849000,-55658000,387000,-409000,115507000,808000,7147000,-17881000,-736000,9447000,13670000,24982000
23,Net Income,82700000,67200000,41300000,27600000,15600000,32600000,42100000,73900000,176000000,35500000,28800000,124357000,100323000,70205000,174363000,75915000,90100000,126658000,51020000,39207000,-35883000,-130019000,-35864000,-330279000,6012000,4990000,406453000,-1731000,15895000,59578000,32369000,26775000,45203000,74553000
24,Net Income ratio,0.1272,0.1058,0.0677,0.0474,0.0264,0.0551,0.0614,0.2207,0.4082,0.1025,0.0734,0.1657,0.1139,0.0808,0.2698,0.0998,0.0947,0.1350,0.0682,0.1040,-0.1359,-0.9404,-0.3603,-2.2733,0.0431,0.0380,0.5791,-0.0167,0.1660,0.6030,0.2935,0.2107,0.2815,0.2792
25,EPS,0.90,0.73,0.45,0.30,0.17,0.36,0.46,0.81,1.92,0.39,0.32,1.42,1.18,0.87,2.22,1.00,1.19,1.69,0.69,0.53,-0.40,-1.42,-0.39,-3.58,0.07,0.05,4.40,-0.02,0.21,0.84,0.52,0.45,0.77,1.25
26,EPS Diluted,0.90,0.73,0.45,0.30,0.17,0.36,0.46,0.81,1.92,0.38,0.31,1.40,1.15,0.83,2.14,0.98,1.17,1.66,0.69,0.53,-0.40,-1.42,-0.39,-3.58,0.07,0.05,4.40,-0.02,0.21,0.84,0.52,0.45,0.77,1.25
27,Weighted Average Shares Outstanding,91888889,92054795,91777778,92000000,91764706,73611111,91521739,91611570,91507799,91025641,90000000,87575352,85019492,80695402,78541892,75915000,75714286,74945562,73942029,73975472,89550637,91412398,91674346,92235360,92258110,92285888,92297467,87827869,74457541,70548411,62725954,59994527,59009865,58882549
28,Weighted Average Shares Outstanding Diluted,91888889,92054795,91777778,92000000,91764706,73611111,93200000,92187500,91507799,93421053,92903226,88826429,87237391,84584337,81478037,77464286,77008547,76300000,73942029,73975472,89550637,91412398,91674346,92235360,92258110,92285888,92297467,87827869,74457541,70548411,62725954,59994527,59009865,58882549
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745308/000074530895000001/0000745308-95-000001-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745308/000095014401003644/0000950144-01-003644-index.html,- -,https://www.sec.gov/Archives/edgar/data/745308/000095014403003823/g81116e10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013504001242/b48990sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013505001371/b53217sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013506001592/b58286sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013507001271/b63654sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013508001146/b68110sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013509001116/0000950135-09-001116-index.html,https://www.sec.gov/Archives/edgar/data/745308/000095012310015531/0000950123-10-015531-index.html,https://www.sec.gov/Archives/edgar/data/745308/000095012311021364/b83540e10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000119312512081993/0001193125-12-081993-index.html,https://www.sec.gov/Archives/edgar/data/745308/000119312513087844/0001193125-13-087844-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530814000003/joe-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/745308/000074530815000003/joe-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/745308/000074530816000033/0000745308-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530817000003/0000745308-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530818000004/0000745308-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837019001206/0001558370-19-001206-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837020001483/0001558370-20-001483-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837021001636/0001558370-21-001636-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837022001751/0001558370-22-001751-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,125200000,101600000,76500000,60400000,42100000,48300000,71900000,16800000,449000000,158600000,39100000,71987000,51605000,40940000,73273000,57403000,94816000,202605000,36935000,24265000,115472000,163807000,183827000,162391000,165980000,21894000,34515000,212773000,241111000,192083000,195155000,185716000,106794000,70162000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69174000,30101000,164775000,1131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,636900000,191200000,175700000,111300000,- -,- -,- -,88956000
33,Cash and Short-Term Investments,125200000,101600000,76500000,60400000,42100000,48300000,71900000,16800000,449000000,158600000,39100000,141161000,81706000,205715000,74404000,57403000,94816000,202605000,36935000,24265000,115472000,163807000,183827000,162391000,165980000,168894000,671415000,403973000,416811000,303383000,195155000,185716000,106794000,159118000
34,Net Receivables,86800000,86300000,72700000,75500000,71500000,74100000,88600000,44400000,57500000,58600000,38700000,38805000,45328000,27783000,48583000,75692000,89813000,58905000,25839000,65105000,50068000,11503000,5731000,4563000,- -,- -,2938000,5613000,2938000,2938000,2938000,5781000,30281000,36779000
35,Inventory,55900000,53200000,56000000,58800000,60000000,69400000,57700000,20600000,18700000,15600000,11000000,6360000,357000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321812000,313599000,314620000,332624000,- -,- -,2026000,2797000
36,Other Current Assets,17700000,72800000,103200000,70900000,59700000,92100000,82800000,415400000,105500000,69600000,78500000,11158000,13555000,86612000,90990000,91768000,94079000,95044000,100867000,109270000,- -,- -,- -,- -,- -,-28000,-317051000,-307710000,-308910000,-326031000,6751000,6592000,21211000,7175000
37,Total Current Assets,285600000,313900000,308400000,265600000,233300000,283900000,301000000,497200000,630700000,302400000,167300000,197484000,140946000,320110000,213977000,224863000,278708000,356554000,163641000,198640000,165540000,175310000,189558000,166954000,165980000,168866000,679114000,415475000,425459000,312914000,204844000,198089000,160312000,205869000
38,PP&E,788100000,837700000,885600000,927200000,983400000,1007700000,1026900000,805000000,834200000,859100000,358900000,384429000,56077000,49826000,42907000,36272000,33562000,40176000,44593000,23693000,19786000,15269000,13014000,14946000,12149000,11410000,10203000,10145000,8992000,11776000,12031000,19709000,21654000,31877000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35233000,18991000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123400000,138392000,138115000,143383000,55238000,86516000,99094000,83118000,32669000,2317000,1777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123400000,138392000,138115000,143383000,55238000,86516000,99094000,83118000,67902000,21308000,1777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,919493000,776605000,780673000,410501000,26818000,147000000,209857000,208785000,208590000,207989000,252474000,221654000,294788000,271816000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11715000,11957000,12866000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,116100000,129600000,148800000,180200000,171600000,199700000,224400000,228800000,341300000,385100000,954700000,1101322000,779883000,827240000,857765000,928079000,992265000,1112098000,1284259000,1020325000,111682000,130956000,68450000,57175000,428617000,329330000,403961000,350408000,384904000,388314000,401613000,469781000,560570000,698589000
45,Total Non-Current Assets,904200000,967300000,1034400000,1107400000,1155000000,1207400000,1251300000,1033800000,1175500000,1244200000,1437000000,1624143000,974075000,1020449000,955910000,1050867000,1124921000,1235392000,1396754000,1065326000,1052738000,922830000,862137000,494337000,479541000,500606000,624021000,569338000,602486000,608079000,666118000,711144000,877012000,1002282000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1189800000,1281200000,1342800000,1373000000,1388300000,1491300000,1552300000,1531000000,1806200000,1546600000,1604300000,1821627000,1115021000,1340559000,1169887000,1275730000,1403629000,1591946000,1560395000,1263966000,1218278000,1098140000,1051695000,661291000,645521000,669472000,1303135000,984813000,1027945000,920993000,870962000,909233000,1037324000,1208151000
48,Accounts Payable,- -,36200000,34500000,35100000,40000000,41500000,44800000,26000000,28500000,29700000,26500000,45697000,37662000,49290000,46409000,60343000,76916000,75309000,117131000,88555000,22594000,13781000,14977000,16450000,14773000,12083000,12554000,6159000,4376000,7524000,10148000,16207000,25376000,48597000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,19700000,- -,- -,- -,25000000,31250000,33041000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1772000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29859000,27158000,29996000,15309000,15222000,15289000,17864000,- -,- -,- -,- -
52,Other Current Liabilities,69000000,37400000,45700000,53300000,39900000,51900000,32300000,18500000,28500000,21000000,41900000,54641000,43740000,59213000,104806000,105524000,135425000,139087000,133480000,63750000,92636000,91250000,75005000,17632000,-17114000,-15121000,-7281000,-5867000,-7462000,-9829000,5410000,6127000,9742000,7657000
53,Total Current Liabilities,69000000,73600000,80200000,88400000,79900000,93400000,96800000,44500000,57000000,50700000,93400000,131588000,114443000,108503000,151215000,165867000,212341000,214396000,250611000,152305000,115230000,105031000,89982000,63941000,24817000,26958000,20582000,15514000,12203000,15559000,15558000,22334000,35118000,56254000
54,Long-Term Debt,39800000,42300000,45000000,42900000,41000000,38900000,37200000,- -,- -,- -,9900000,115974000,263807000,498015000,320915000,382176000,421110000,554446000,627056000,541181000,49560000,39508000,54651000,53458000,36062000,44217000,241145000,232639000,231350000,232167000,246149000,269555000,337328000,401712000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27158000,29996000,23735000,23000000,26092000,29036000,28717000,30820000,17976000,15497000
56,Deferred Tax Liabilities,176400000,178000000,183800000,182000000,185300000,205500000,215300000,192000000,254900000,275700000,289400000,278513000,155161000,211914000,212017000,232184000,264374000,315912000,211115000,83535000,61501000,58316000,34625000,- -,- -,- -,34824000,36847000,68846000,48983000,44315000,52808000,60915000,77259000
57,Other Non-Current Liabilities,198200000,11700000,10100000,14900000,18500000,11100000,14500000,11700000,18300000,14900000,12000000,17705000,9660000,- -,- -,- -,- -,- -,- -,328000,586000,- -,- -,- -,5150000,4776000,3148000,3366000,2655000,2664000,3112000,4046000,17817000,31329000
58,Total Non-Current Liabilities,414400000,232000000,238900000,239800000,244800000,255500000,267000000,203700000,273200000,290600000,311300000,412192000,428628000,709929000,532932000,614360000,685484000,870358000,838171000,625044000,111647000,97824000,89276000,53458000,68370000,78989000,302852000,295852000,328943000,312850000,322293000,357229000,434036000,525797000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,895000,1124000,1112000
61,Total Liabilities,483400000,305600000,319100000,328200000,324700000,348900000,363800000,248200000,330200000,341300000,404700000,543780000,543071000,818432000,684147000,780227000,897825000,1084754000,1088782000,777349000,226877000,202855000,179258000,117399000,93187000,105947000,323434000,311366000,341146000,328409000,337851000,379563000,469154000,582051000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13170000,31181000,83154000,122709000,199787000,263044000,300626000,- -,- -,914456000,921613000,- -,- -,891798000,892027000,892237000,892387000,572040000,424694000,331395000,305631000,296873000,296873000
64,Retained Earnings,697700000,758600000,794000000,815500000,825000000,851500000,887500000,955200000,1125200000,817700000,839200000,961819000,661500000,724832000,892622000,944000000,994172000,1074990000,1078312000,1081883000,1046000000,915981000,878498000,-336873000,-330861000,-325871000,80582000,78851000,94746000,154324000,187450000,214225000,255216000,310925000
65,Other Comprehensive Income/Loss,-371100000,-400500000,-434200000,-474400000,-522900000,-573900000,-618700000,-300500000,-322500000,-335000000,-267700000,-269089000,-54526000,-64456000,-512000,-18807000,-19649000,-19656000,-1033000,3275000,-42660000,-12558000,-10546000,-9880000,-8652000,-7517000,-1325000,-686000,2507000,-1461000,-674000,-335000,-1472000,-389000
66,Other Total Stockholders Equity,379800000,617500000,663900000,703700000,761500000,864800000,919700000,628100000,673300000,722600000,628100000,571947000,- -,- -,-534726000,-637665000,-742156000,-866962000,- -,- -,-929167000,-930124000,4939000,890765000,-260000,-285000,-285000,-305289000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,706400000,975600000,1023700000,1044800000,1063600000,1142400000,1188500000,1282800000,1476000000,1205300000,1199600000,1277847000,571950000,522127000,480093000,487315000,495411000,488998000,461080000,480341000,988629000,894912000,872124000,543561000,552025000,558354000,971209000,665263000,669293000,577557000,518171000,519521000,550617000,607409000
68,Total Liabilities And Stockholders Equity,1189800000,1281200000,1342800000,1373000000,1388300000,1491300000,1552300000,1531000000,1806200000,1546600000,1604300000,1821627000,1115021000,1340559000,1164240000,1267542000,1393236000,1573752000,1549862000,1257690000,1215506000,1097767000,1051382000,660960000,645212000,664301000,1294643000,976629000,1010439000,905966000,856022000,899084000,1019771000,1189460000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5647000,8188000,10393000,18194000,10533000,6276000,2772000,373000,313000,331000,309000,5171000,8492000,8184000,17506000,15027000,14940000,10149000,17553000,18691000
70,Total Liabilities & Equity,1189800000,1281200000,1342800000,1373000000,1388300000,1491300000,1552300000,1531000000,1806200000,1546600000,1604300000,1821627000,1115021000,1340559000,1169887000,1275730000,1403629000,1591946000,1560395000,1263966000,1218278000,1098140000,1051695000,661291000,645521000,669472000,1303135000,984813000,1027945000,920993000,870962000,909233000,1037324000,1208151000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745308/000074530895000001/0000745308-95-000001-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745308/000095014401003644/0000950144-01-003644-index.html,- -,https://www.sec.gov/Archives/edgar/data/745308/000095014403003823/g81116e10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013504001242/b48990sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013505001371/b53217sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013506001592/b58286sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013507001271/b63654sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013508001146/b68110sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013509001116/0000950135-09-001116-index.html,https://www.sec.gov/Archives/edgar/data/745308/000095012310015531/0000950123-10-015531-index.html,https://www.sec.gov/Archives/edgar/data/745308/000095012311021364/b83540e10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000119312512081993/0001193125-12-081993-index.html,https://www.sec.gov/Archives/edgar/data/745308/000119312513087844/0001193125-13-087844-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530814000003/joe-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/745308/000074530815000003/joe-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/745308/000074530816000033/0000745308-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530817000003/0000745308-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530818000004/0000745308-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837019001206/0001558370-19-001206-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837020001483/0001558370-20-001483-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837021001636/0001558370-21-001636-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837022001751/0001558370-22-001751-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,82700000,67200000,41300000,27600000,15600000,32600000,42100000,73900000,176000000,35500000,28800000,124357000,100323000,70205000,174363000,75915000,90100000,126658000,51020000,39207000,-35883000,-130019000,-35864000,-330279000,6012000,4990000,406453000,-1731000,15895000,59578000,32369000,26775000,45203000,74553000
74,Depreciation and Amortization,46800000,50400000,53700000,55200000,59800000,62900000,62400000,28600000,28800000,32500000,38900000,49368000,51783000,29619000,23845000,31504000,36838000,40775000,40364000,23927000,17362000,16112000,13657000,15839000,- -,- -,- -,- -,- -,- -,- -,- -,12788000,- -
75,Deferred Income Tax,- -,1500000,5800000,-1800000,3300000,8900000,12000000,18800000,52800000,11900000,12600000,-11506000,23750000,42799000,93449000,36238000,33427000,37575000,-96868000,-127581000,3973000,-20667000,-23990000,-53497000,-242000,-909000,46127000,2323000,29627000,-17375000,-4804000,8378000,8088000,15977000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11552000,7240000,5159000,8452000,898000,247000,210000,150000,131000,76000,263000,77000,45000,- -
77,Change in Working Capital,- -,23700000,-12100000,-51000000,-23800000,37100000,13700000,248500000,121000000,-322000000,-177800000,-8004000,-39393000,185104000,-148845000,-3766000,7371000,75791000,-229128000,133305000,3975000,19969000,29297000,3437000,38150000,745000,516624000,-258571000,13295000,-115901000,-108069000,-13531000,-50561000,1052000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,2700000,-2900000,-2700000,-1300000,-9400000,11700000,-800000,1900000,3100000,1400000,5046000,1903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5535000,-96000,4946000,-3330000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,216600000,240300000,228200000,177200000,153400000,190500000,204200000,452700000,573700000,251700000,73900000,65896000,26503000,211607000,62762000,58996000,66367000,142158000,-86970000,46335000,50310000,70279000,99576000,103013000,141163000,141908000,658532000,399961000,413256000,297355000,189286000,175755000,125194000,- -
82,Other Non-Cash Items,-129500000,-17800000,15300000,52000000,19500000,-61100000,-12700000,-215700000,-261300000,317900000,155400000,-118511000,-142643000,-271825000,-106048000,-13476000,-31901000,-88745000,90624000,-278202000,47480000,158100000,28053000,346209000,-21777000,11260000,-638379000,280247000,-46074000,129388000,121661000,8694000,21768000,20215000
83,Cash Provided by Operating Activities,- -,125000000,104000000,82000000,74400000,80400000,117500000,154100000,117300000,75800000,57900000,35704000,-6180000,55902000,36764000,126415000,135835000,192054000,-143988000,-209344000,48459000,50735000,16312000,-9839000,23041000,16333000,331035000,22418000,12874000,55766000,41420000,30393000,37331000,111797000
84,CAPEX,- -,-109700000,-103700000,-100300000,-120700000,-93000000,-86500000,-78800000,-64300000,-66600000,-135100000,-281756000,-253957000,-223364000,-16722000,-6909000,-9958000,-19909000,-14018000,-5583000,-2278000,-2538000,-1282000,-2426000,-475000,-3594000,-2483000,-3304000,-2899000,-3005000,-2615000,-9354000,-5689000,-153501000
