,https://roic.ai/company/SEB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,9600000,9700000,14300000,18800000,26100000,29600000,34400000,33400000,44900000,50900000,56900000,58600000,45600000,50383000,55800000,52636000,64203000,64620000,65106000,71258000,79221000,90381000,91841000,86802000,81223000,90216000,93077000,92385000,91000000,102000000,118000000,134000000,138000000,172000000,178000000
15,EBITDA,- -,252900000,16300000,55700000,46900000,61300000,53700000,73200000,77100000,82500000,73500000,54200000,101500000,143900000,50900000,174723000,144339000,42994000,110792000,294531000,377918000,387682000,270730000,229965000,195205000,457078000,532989000,467766000,342185000,645632000,349000000,513000000,575000000,162000000,458000000,477000000,826000000
16,EBITDA ratio,- -,1.0000,0.0457,0.1243,0.0904,0.1100,0.0613,0.0695,0.0675,0.0839,0.0626,0.0370,0.0570,0.0808,0.0405,0.1103,0.0800,0.0235,0.0559,0.1097,0.1405,0.1432,0.0843,0.0539,0.0542,0.1042,0.0927,0.0756,0.0513,0.0997,0.0624,0.0954,0.0990,0.0246,0.0670,0.0669,0.0895
17,Operating Income,- -,252900000,-3800000,27400000,14600000,26600000,17900000,39600000,21000000,47100000,31200000,19800000,77000000,68400000,12600000,48065000,114352000,47125000,68786000,251254000,320045000,296995000,169915000,121809000,23723000,321066000,407204000,309661000,204864000,423559000,126000000,222000000,232000000,209000000,104000000,245000000,458000000
18,Operating Income ratio,- -,1.0000,-0.0107,0.0611,0.0281,0.0477,0.0204,0.0376,0.0184,0.0479,0.0266,0.0135,0.0433,0.0384,0.0100,0.0303,0.0634,0.0258,0.0347,0.0936,0.1190,0.1097,0.0529,0.0285,0.0066,0.0732,0.0709,0.0500,0.0307,0.0654,0.0225,0.0413,0.0399,0.0317,0.0152,0.0344,0.0496
19,Total Other Income Expenses (Gains),- -,- -,10500000,18600000,18000000,15900000,9700000,4000000,1600000,2000000,-2600000,-19500000,-32400000,16900000,-20900000,-13762000,-25813000,-56767000,-25065000,-21343000,-7233000,19429000,21594000,2421000,65518000,42979000,35404000,57117000,34351000,110240000,115000000,162000000,195000000,-225000000,180000000,41000000,178000000
20,Income Before Tax,- -,- -,6700000,46000000,32600000,42500000,27600000,43600000,22600000,49100000,28600000,300000,44600000,85300000,-8300000,34303000,88539000,-9642000,43721000,229911000,312812000,316424000,191509000,124230000,89241000,364045000,442608000,366778000,239215000,533799000,241000000,384000000,427000000,-16000000,284000000,286000000,636000000
21,Income Before Tax Ratio,- -,- -,0.0188,0.1027,0.0628,0.0763,0.0315,0.0414,0.0198,0.0499,0.0244,0.0002,0.0251,0.0479,-0.0066,0.0217,0.0491,-0.0053,0.0221,0.0857,0.1163,0.1169,0.0596,0.0291,0.0248,0.0830,0.0770,0.0593,0.0359,0.0825,0.0431,0.0714,0.0735,-0.0024,0.0415,0.0401,0.0689
22,Income Tax expense (Gain),- -,- -,2000000,17900000,13900000,12500000,6400000,12500000,6800000,13900000,8400000,-2500000,14000000,32900000,5100000,25431000,35234000,-23149000,14747000,61815000,46150000,57735000,10177000,-22689000,-2276000,81033000,99051000,84190000,32450000,167799000,69000000,70000000,181000000,1000000,1000000,3000000,65000000
23,Net Income,- -,- -,4700000,28100000,18700000,30000000,21200000,31100000,35900000,35200000,20200000,5800000,30600000,52400000,200000,98909000,53305000,13507000,31842000,168096000,266662000,258689000,181332000,146919000,92482000,283611000,345847000,282311000,205236000,365270000,171000000,312000000,247000000,-17000000,283000000,283000000,570000000
24,Net Income ratio,- -,- -,0.0132,0.0627,0.0360,0.0538,0.0242,0.0295,0.0314,0.0358,0.0172,0.0040,0.0172,0.0294,0.0002,0.0625,0.0295,0.0074,0.0161,0.0626,0.0992,0.0955,0.0564,0.0344,0.0257,0.0647,0.0602,0.0456,0.0308,0.0564,0.0306,0.0580,0.0425,-0.0026,0.0414,0.0397,0.0618
25,EPS,- -,14.63,3.15,18.89,12.56,20.19,14.28,20.89,24.12,23.67,13.58,3.93,20.55,35.20,0.16,66.49,35.83,9.38,25.37,133.94,212.20,205.09,144.15,118.19,74.74,231.69,284.66,234.54,171.92,309.96,146.44,266.50,211.01,-14.61,242.78,244.21,603.90
26,EPS Diluted,- -,14.63,3.15,18.89,12.56,20.19,14.28,20.89,24.12,23.67,13.58,3.93,20.55,35.20,0.16,66.49,35.83,9.38,25.37,133.94,211.94,205.09,144.15,118.19,74.74,231.69,284.66,234.54,171.92,309.96,146.44,266.50,211.01,-14.61,242.78,244.21,603.90
27,Weighted Average Shares Outstanding,- -,1488000,1492063,1487560,1488854,1485884,1484594,1488751,1488391,1487114,1487482,1475827,1489051,1488636,1250000,1487577,1487720,1439753,1255054,1255054,1256645,1261367,1257901,1243087,1237452,1224092,1214934,1203698,1193801,1178441,1170550,1170550,1170550,1170501,1165758,1161526,1160779
28,Weighted Average Shares Outstanding Diluted,- -,1488000,1492063,1487560,1488854,1485884,1484594,1488751,1488391,1488971,1488783,1475827,1489051,1488636,1818182,1487577,1487720,1487520,1255054,1255054,1258202,1261367,1257901,1243087,1237452,1224092,1214934,1203698,1193801,1178441,1170550,1170550,1170550,1170501,1165758,1161526,1160779
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88121/0000088121-96-000013-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88121/000008812109000004/0000088121-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/88121/000008812110000002/0000088121-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/88121/000110465912014042/0001104659-12-014042-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465913015039/0001104659-13-015039-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465914013620/0001104659-14-013620-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465915014380/0001104659-15-014380-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000155837016003549/0001558370-16-003549-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812117000016/0000088121-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812118000012/0000088121-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812119000011/0000088121-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812120000010/0000088121-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812121000013/0000088121-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812122000017/0000088121-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,5500000,11500000,8600000,20700000,11000000,19760000,22997000,23242000,37377000,14620000,34622000,31369000,47346000,60594000,61857000,41124000,71510000,47651000,55055000,36459000,50000000,77000000,116000000,194000000,125000000,76000000,75000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91600000,91375000,126795000,30337000,58022000,119259000,377874000,478859000,286660000,312680000,407351000,332205000,323256000,313379000,290649000,490566000,1254000000,1277000000,1576000000,1336000000,1434000000,1465000000,1416000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,5500000,11500000,8600000,20700000,102600000,111135000,149792000,53579000,95399000,133879000,412496000,510228000,334006000,373274000,469208000,373329000,394766000,361030000,345704000,527025000,1304000000,1354000000,1692000000,1530000000,1559000000,1541000000,1491000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,113900000,117700000,184300000,175600000,181600000,171900000,243643000,187416000,201792000,190013000,246129000,223024000,277048000,359313000,360677000,270647000,359944000,477209000,521892000,651404000,633965000,510000000,627000000,482000000,551000000,646000000,532000000,762000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,73200000,112800000,185700000,211000000,214800000,200400000,218030000,205345000,243949000,276033000,301049000,331133000,341366000,392946000,508995000,498587000,533761000,644930000,756864000,698998000,736302000,739000000,762000000,780000000,815000000,1022000000,1178000000,1663000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,180100000,157800000,111900000,134000000,184200000,139000000,37892000,50309000,58377000,53391000,62381000,80557000,67927000,97268000,128908000,186860000,218378000,115137000,142977000,157843000,155700000,111000000,105000000,174000000,131000000,123000000,103000000,131000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,372000000,393800000,493400000,529200000,601300000,613900000,610700000,592862000,557697000,614836000,743438000,1047210000,1196569000,1183533000,1371854000,1425302000,1485412000,1632042000,1782763000,1853949000,2052992000,2664000000,2848000000,3128000000,3027000000,3350000000,3354000000,4047000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,255100000,438400000,466200000,486400000,559700000,480400000,611361000,556273000,621593000,643968000,603382000,626580000,637813000,730395000,763675000,691343000,701131000,796822000,843879000,863573000,846757000,831000000,1006000000,1077000000,1160000000,1877000000,1972000000,2388000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28372000,40628000,40628000,40628000,40628000,40628000,43218000,43218000,14846000,12000000,19000000,22000000,167000000,164000000,167000000,163000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58492000,28760000,30895000,22285000,20676000,19746000,19496000,19843000,18997000,3872000,3000000,3000000,- -,69000000,58000000,54000000,45000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58492000,57132000,71523000,62913000,61304000,60374000,60124000,63061000,62215000,18718000,15000000,22000000,22000000,236000000,222000000,221000000,208000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68091000,82232000,331322000,364840000,410542000,406900000,523063000,671000000,773000000,851000000,804000000,735000000,698000000,651000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48100000,45900000,45100000,108800000,62100000,191000000,90787000,86457000,101851000,66887000,89874000,84039000,69919000,108248000,64828000,76952000,155847000,152900000,247536000,231411000,235790000,250000000,106000000,83000000,80000000,101000000,154000000,209000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,303200000,484300000,511300000,595200000,621800000,671400000,702148000,642730000,723444000,710855000,693256000,769111000,764864000,910166000,959507000,911831000,1248674000,1374686000,1565018000,1564099000,1624328000,1767000000,1907000000,2033000000,2280000000,2935000000,3045000000,3456000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,675200000,878100000,1004700000,1124400000,1223100000,1285300000,1312848000,1235592000,1281141000,1325691000,1436694000,1816321000,1961433000,2093699000,2331361000,2337133000,2734086000,3006728000,3347781000,3418048000,3677320000,4431000000,4755000000,5161000000,5307000000,6285000000,6399000000,7503000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,42600000,75700000,72400000,78800000,73500000,61500000,59181000,61513000,67464000,61817000,83506000,112177000,103429000,135398000,122869000,141193000,146265000,151869000,217041000,175916000,181686000,200000000,194000000,256000000,218000000,368000000,276000000,404000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,40800000,157100000,164300000,177600000,232900000,114967000,92869000,131981000,132547000,62545000,154353000,126390000,97000000,224259000,83599000,80426000,57104000,53924000,79396000,75524000,145000000,138000000,215000000,187000000,308000000,388000000,695000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50252000,112889000,161063000,56953000,77942000,46192000,51158000,93000000,114000000,81000000,70000000,80000000,89000000,108000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45900000,58200000,59600000,117800000,114400000,130300000,144254000,126218000,156917000,149726000,162855000,152859000,159423000,190530000,194711000,180359000,250441000,295483000,327668000,313823000,326464000,328000000,339000000,266000000,309000000,433000000,323000000,345000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500000,174700000,289100000,360900000,365500000,424700000,318402000,280600000,356362000,344090000,308906000,419389000,389242000,422928000,592091000,518040000,638195000,561409000,676575000,615327000,634832000,766000000,785000000,818000000,784000000,1189000000,1076000000,1552000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,177700000,297400000,297700000,306700000,329500000,318000000,312418000,255819000,318746000,321555000,262544000,201063000,137817000,125532000,78560000,76532000,91407000,116367000,120825000,80480000,- -,518000000,499000000,482000000,739000000,730000000,1025000000,1068000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,14600000,22700000,27900000,44100000,41600000,107833000,131957000,71509000,85295000,125559000,124749000,119861000,105697000,81205000,59546000,75695000,66300000,33929000,73336000,95538000,41000000,77000000,112000000,127000000,76000000,103000000,99000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,25600000,25300000,29900000,28500000,51800000,33464000,33946000,40639000,46720000,44865000,57216000,72103000,84343000,115927000,137596000,150540000,183185000,208263000,168935000,226677000,224000000,219000000,341000000,328000000,736000000,367000000,350000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,216600000,337600000,345700000,364500000,402100000,411400000,453715000,421722000,430894000,453570000,432968000,383028000,329781000,315572000,275692000,273674000,317642000,365852000,363017000,322751000,322215000,783000000,795000000,935000000,1194000000,1542000000,1495000000,1517000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483000000,429000000,531000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,329100000,512300000,634800000,725400000,767600000,836100000,772117000,702322000,787256000,797660000,741874000,802417000,719023000,738500000,867783000,791714000,955837000,927261000,1039592000,938078000,957047000,1549000000,1580000000,1753000000,1978000000,2731000000,2571000000,3069000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1790000,1790000,1255000,1255000,1255000,1261000,1261000,1244000,1240000,1237000,1216000,1211000,1198000,1189000,1171000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,332100000,350900000,355200000,384300000,435200000,433900000,526089000,577907000,552760000,580837000,745168000,1008060000,1262965000,1431635000,1569818000,1655222000,1897897000,2233778000,2474896000,2655857000,2967364000,3153000000,3465000000,3750000000,3727000000,3983000000,4287000000,4847000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165900000,-212000000,-247100000,-284900000,-317900000,-254300000,-284641000,-310589000,-344414000,-411996000,-468521000,-53000000,-82000000,-79000000,-112000000,-115000000,-124000000,-156000000,-172000000,-182000000,-253000000,-278000000,-304000000,-354000000,-410000000,-440000000,-471000000,-432000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,179900000,226900000,261800000,299600000,332500000,267000000,297447000,258095000,277130000,350469000,414780000,21549000,21081000,349000,297000,214000,93000,-65000,456000,203000,363000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,346100000,365800000,369900000,399000000,449800000,448400000,540685000,527203000,486731000,520565000,692682000,977870000,1203307000,1354228000,1459355000,1541673000,1775206000,2078924000,2304550000,2475249000,2715898000,2876000000,3162000000,3397000000,3318000000,3544000000,3817000000,4416000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,675200000,878100000,1004700000,1124400000,1217400000,1284500000,1312802000,1229525000,1273987000,1318225000,1434556000,1780287000,1922330000,2092728000,2327138000,2333387000,2731043000,3006185000,3344142000,3413327000,3672945000,4425000000,4742000000,5150000000,5296000000,6275000000,6388000000,7485000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,800000,46000,6067000,7154000,7466000,2138000,36034000,39103000,971000,4223000,3746000,3043000,543000,3639000,4721000,4375000,6000000,13000000,11000000,11000000,10000000,11000000,18000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,675200000,878100000,1004700000,1124400000,1223100000,1285300000,1312848000,1235592000,1281141000,1325691000,1436694000,1816321000,1961433000,2093699000,2331361000,2337133000,2734086000,3006728000,3347781000,3418048000,3677320000,4431000000,4755000000,5161000000,5307000000,6285000000,6399000000,7503000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/88121/0000088121-96-000013-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88121/000008812109000004/0000088121-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/88121/000008812110000002/0000088121-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/88121/000110465912014042/0001104659-12-014042-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465913015039/0001104659-13-015039-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465914013620/0001104659-14-013620-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465915014380/0001104659-15-014380-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000155837016003549/0001558370-16-003549-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812117000016/0000088121-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812118000012/0000088121-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812119000011/0000088121-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812120000010/0000088121-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812121000013/0000088121-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812122000017/0000088121-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,30000000,21200000,31100000,35900000,35200000,20200000,5800000,30600000,52400000,200000,98909000,53305000,13507000,31842000,168096000,266662000,258689000,181332000,146919000,92482000,283611000,345847000,282311000,205236000,365270000,171000000,312000000,247000000,-17000000,283000000,283000000,570000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,18800000,26100000,29600000,34400000,33400000,44900000,50900000,56900000,58600000,45600000,50383000,55800000,52636000,64203000,64620000,65106000,71258000,79221000,90381000,91841000,86802000,81223000,90216000,93077000,92385000,91000000,102000000,118000000,134000000,138000000,172000000,178000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3700000,-1000000,-9900000,-25500000,-900000,-5600000,9200000,2700000,10900000,-3000000,57809000,26086000,-26244000,7773000,39566000,5371000,6358000,-26740000,-7602000,-15298000,12506000,-1558000,-24560000,30233000,25900000,-10000000,47000000,151000000,-6000000,-66000000,-45000000,-12000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,-4400000,- -,- -,- -,259500000,-40400000,-14800000,-36000000,67500000,-46600000,103098000,19964000,-110927000,69411000,163786000,193289000,179506000,-46722000,19158000,127499000,-60045000,223416000,35555000,132434000,179538000,479840000,165000000,247000000,-67000000,-82000000,117000000,-592000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-4600000,-15300000,-15400000,-200000,-2300000,-39600000,-72900000,-25300000,36200000,-48400000,-26477000,-8831000,-50917000,-28983000,-18744000,-46283000,-11349000,-52699000,-119859000,1552000,-40053000,-118731000,-64943000,35600000,-81280000,-35000000,6000000,-21000000,-34000000,-152000000,-99000000,-462000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99000000,117000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,259500000,219100000,204300000,168300000,235800000,189200000,292298000,312262000,201335000,270746000,434532000,627821000,807327000,760605000,779763000,907262000,847217000,1070633000,1106188000,1238622000,1418160000,1898000000,2063000000,2310000000,2243000000,2161000000,2278000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1000000,-24600000,-23900000,10200000,-276900000,23100000,-123900000,66900000,-88600000,-69700000,-310736000,4073000,98514000,-81538000,-241973000,-199296000,-232054000,-43212000,-138923000,-50167000,16938000,-428932000,-121819000,-335982000,-288991000,-315840000,-199000000,-518000000,194000000,-102000000,-236000000,-52000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,39700000,21700000,26900000,55000000,50300000,42200000,-72800000,121100000,100800000,-73500000,-537000,159228000,27486000,91691000,194095000,331132000,283757000,143879000,109933000,246357000,339812000,219996000,261703000,124998000,374102000,416000000,427000000,245000000,238000000,171000000,291000000,92000000
