,https://roic.ai/company/TTEK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,22000000,69400000,108600000,160700000,190500000,- -,278300000,210800000,254600000,159200000,158600000,180952000,221500000,319700000,394400000,569400000,635958000,722800000,714200000,601379000,717988000,740886000,798820000,924820000,993500000,1108500000
40,Intangible Assets,- -,- -,- -,4900000,14000000,- -,- -,- -,- -,- -,245019000,- -,- -,25400000,5700000,4500000,5166000,14600000,33800000,46000000,81100000,74231000,86900000,63100000,40332000,48962000,26688000,16123000,16440000,13943000,37990000
41,Intangible Assets,- -,- -,- -,4900000,14000000,22000000,69400000,108600000,160700000,190500000,245019000,278300000,210800000,280000000,164900000,163100000,186118000,236100000,353500000,440400000,650500000,710189000,809700000,777300000,641711000,766950000,767574000,814943000,941260000,1007443000,1146490000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3454000,3279000,2198000,2140000,1886000,2064000,2700000,3370000,6873000,7332000,3282000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,10800000,- -,- -,12342000,- -,4600000,12500000,25400000,- -,30500000,28800000,34759000,60348000,43781000,8607000,12971000,32052000,54413000
44,Other Non-Current Assets,900000,700000,300000,300000,200000,1600000,800000,2000000,3000000,3400000,5979000,8200000,52300000,27200000,60700000,67000000,51794000,38900000,13000000,4700000,-1954000,23940000,-2898000,-4340000,-7795000,-31838000,-10168000,38843000,67071000,57045000,53196000
45,Total Non-Current Assets,2500000,2700000,2800000,8700000,20600000,30600000,78600000,124300000,185400000,229100000,290934000,326600000,311400000,355800000,257200000,262100000,304631000,336400000,442000000,537000000,754900000,811717000,927500000,877800000,735467000,865351000,860722000,909041000,1067616000,1378775000,1510536000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3021150000
47,Total Assets,20100000,30100000,38600000,51600000,92900000,88500000,159500000,266600000,380500000,526000000,607221000,672000000,703200000,808500000,648100000,701700000,847487000,1056500000,1097900000,1381700000,1594000000,1671030000,1799100000,1776400000,1559242000,1800779000,1902745000,1959421000,2147408000,2378560000,2576562000
48,Accounts Payable,5000000,5600000,8200000,11000000,14800000,13400000,11600000,24000000,32600000,50300000,53977000,60000000,93300000,103500000,88500000,104600000,209732000,223300000,149400000,166500000,164800000,154003000,142800000,176000000,150284000,158773000,177638000,160222000,206609000,111804000,128767000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14328000,- -,11597000,59024000,17800000,17760000,3304000,3926000,4320000,5002000,2556000,2031000,4311000,10989000,11904000,15510000,15588000,12599000,12572000,118914000,79956000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18638000000,- -,4421000,8888000,12909000,- -,2316000,9645000,85221000,84754000,90909000,79507000,103343000,93989000,88223000,117499000,143270000,165611000,171905000,190403000
52,Other Current Liabilities,3700000,2500000,3900000,7100000,17600000,11800000,26700000,41300000,76200000,92300000,54991000,-18552300000,126103000,140855000,154112000,154031000,135445000,258358000,268835000,210477000,279590000,256851000,256482000,213568000,194265000,218580000,226943000,302002000,385162000,390833000,449357000
53,Total Current Liabilities,8700000,8100000,12100000,18100000,32400000,25200000,38300000,65300000,108800000,142600000,123296000,145700000,231000000,307800000,269300000,289300000,348481000,487900000,432200000,467200000,531700000,503794000,483100000,503900000,450442000,481086000,537668000,618093000,769954000,793456000,848483000
54,Long-Term Debt,8600000,- -,- -,- -,19000000,- -,- -,33500000,37300000,85500000,111779000,110000000,107500000,92100000,74100000,57600000,81080000,53300000,6500000,122500000,144900000,81047000,203400000,192800000,180972000,331501000,341283000,264712000,263949000,242395000,374285000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12506000,25394000,24268000,30525000,28786000,34759000,60348000,43781000,30166000,12971000,16316000,10563000
57,Other Non-Current Liabilities,- -,- -,100000,- -,- -,- -,- -,- -,-100000,- -,- -,- -,6500000,11100000,100000,- -,2223000,3800000,12700000,31394000,37306000,42054000,84275000,38814000,36744000,58585000,51560000,79350000,111248000,289018000,108940000
58,Total Non-Current Liabilities,8600000,- -,100000,- -,19000000,- -,- -,33500000,37200000,85500000,111779000,110000000,114000000,103200000,74200000,57600000,83303000,57100000,19200000,166400000,207600000,147369000,318200000,260400000,252475000,450434000,436624000,374228000,388168000,547729000,493788000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261605000,241737000
61,Total Liabilities,17300000,8100000,12200000,18100000,51400000,25200000,38300000,98800000,146000000,228100000,235075000,255700000,345000000,411000000,343500000,346900000,431784000,545000000,451400000,633600000,739300000,651163000,801300000,764300000,702917000,931520000,974292000,992321000,1158122000,1341185000,1342271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
