,https://roic.ai/company/SBH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0975,0.0929,0.0930,0.0798,0.0841,0.0759,0.0329,0.0467,0.0625,0.0782,0.1028,0.1024,0.1139,0.1041,0.0987,0.0896,0.0878,0.0835,0.0934,0.0455,0.0839
22,Income Tax expense (Gain),-53067000,57026000,62205000,62059000,73154000,69916000,38121000,46222000,65697000,84120000,122214000,127879000,151516000,144686000,143397000,131118000,130622000,70380000,90541000,46722000,85076000
23,Net Income,89289000,97784000,107513000,105310000,116461000,110193000,44492000,77577000,99117000,143828000,213725000,233064000,261151000,245993000,235087000,222942000,215076000,258047000,271623000,113245000,239858000
24,Net Income ratio,0.0612,0.0587,0.0589,0.0502,0.0517,0.0464,0.0177,0.0293,0.0376,0.0493,0.0654,0.0661,0.0721,0.0655,0.0613,0.0564,0.0546,0.0656,0.0701,0.0322,0.0619
25,EPS,0.50,0.54,0.60,0.58,0.18,0.61,0.25,0.43,0.55,0.79,1.17,1.27,1.52,1.54,1.50,1.51,1.56,2.09,2.27,0.99,2.13
26,EPS Diluted,0.50,0.54,0.60,0.58,0.18,0.61,0.24,0.42,0.54,0.78,1.14,1.24,1.48,1.51,1.49,1.50,1.56,2.08,2.26,0.99,2.10
27,Weighted Average Shares Outstanding,180104975,180104975,180104975,180104975,176207000,180104975,180392000,181189000,181691000,181985000,183020000,183420000,171682000,159933000,156353000,147179000,137533000,123190000,119636000,113881000,112653000
28,Weighted Average Shares Outstanding Diluted,180104975,180104975,180104975,180104975,178262000,180104975,182375000,182704000,183306000,184088000,188093000,188610000,176159000,163419000,158226000,148803000,138176000,123832000,120283000,114680000,114212000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368458/000104746907009602/0001047469-07-009602-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746908012451/0001047469-08-012451-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746909010313/0001047469-09-010313-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746910009883/0001047469-10-009883-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746911009618/0001047469-11-009618-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746912010611/0001047469-12-010611-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746913010533/0001047469-13-010533-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746914009151/0001047469-14-009151-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746915008573/0001047469-15-008573-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746916016713/0001047469-16-016713-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746917007074/0001047469-17-007074-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459018029551/0001564590-18-029551-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459019044262/0001564590-19-044262-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459020054910/0001564590-20-054910-index.htm,https://www.sec.gov/Archives/edgar/data/1368458/000119312521350866/0001193125-21-350866-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,45453000,38612000,107571000,38272000,99788000,54447000,59494000,63481000,240220000,47115000,106575000,140038000,86622000,63759000,77295000,71495000,514151000,400959000
32,Short-Term Investments,- -,- -,- -,22550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,68003000,38612000,107571000,38272000,99788000,54447000,59494000,63481000,240220000,47115000,106575000,140038000,86622000,63759000,77295000,71495000,514151000,400959000
34,Net Receivables,- -,- -,- -,55628000,59662000,66690000,73603000,67173000,67739000,84499000,95526000,125490000,101176000,98500000,91092000,83983000,92241000,90490000,104539000,56429000,66581000
35,Inventory,- -,- -,- -,483484000,525132000,574983000,569404000,598195000,559689000,604357000,665246000,735356000,808313000,828429000,885214000,907337000,930855000,944338000,952907000,814503000,871349000
36,Other Current Assets,- -,- -,- -,18455000,28034000,21045000,30908000,40490000,34043000,46425000,54895000,62841000,59213000,70645000,70758000,94885000,83648000,42960000,34612000,48014000,44686000
37,Total Current Assets,- -,- -,- -,625570000,651440000,770289000,712187000,805646000,715918000,794775000,879148000,1163907000,1015817000,1104149000,1187102000,1172827000,1170503000,1155083000,1163553000,1433097000,1383575000
38,PP&E,- -,81497000,93691000,125810000,149354000,142735000,154068000,156260000,151252000,168119000,182489000,202661000,229540000,238111000,270847000,319558000,313717000,308357000,319628000,840663000,845050000
39,Goodwill,- -,- -,- -,304782000,353525000,364693000,406623000,424963000,494135000,478240000,505873000,532331000,538278000,536341000,524369000,532714000,537791000,535925000,530786000,540038000,541209000
40,Intangible Assets,- -,- -,- -,17472000,48282000,53238000,70505000,85434000,78685000,109352000,129658000,128437000,130097000,114744000,98848000,92963000,80305000,72698000,62051000,58283000,55532000
41,Intangible Assets,- -,- -,- -,322254000,401807000,417931000,477128000,510397000,572820000,587592000,635531000,660768000,668375000,651085000,623217000,625677000,618096000,608623000,592837000,598321000,596741000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,28794000,22906000,7886000,61120000,54720000,50742000,38926000,31432000,38464000,36354000,36628000,13185000,14001000,20777000,25351000,22428000,23066000,21766000
45,Total Non-Current Assets,- -,- -,- -,476858000,574067000,568552000,692316000,721377000,774814000,794637000,849452000,901893000,934269000,925824000,907249000,959236000,952590000,942331000,934893000,1462050000,1463557000
46,Other Assets,656484000,838724000,932163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,656484000,838724000,932163000,1102428000,1225507000,1338841000,1404503000,1527023000,1490732000,1589412000,1728600000,2065800000,1950086000,2029973000,2094351000,2132063000,2123093000,2097414000,2098446000,2895147000,2847132000
48,Accounts Payable,- -,- -,- -,144968000,151101000,176623000,176660000,171962000,193592000,224931000,262114000,262209000,273456000,259463000,275917000,271376000,307752000,303241000,278688000,236333000,291632000
49,Short-Term Debt,- -,- -,- -,247000,13880000,503000,17147000,100601000,24517000,3045000,3004000,1908000,78018000,974000,755000,716000,96082000,5501000,1000,180000,156428000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2917000,14519000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,11209000,- -,- -,- -,- -,19000000,20890000,21506000,22674000,23220000,20588000,18450000,18165000,16728000,18543000
52,Other Current Liabilities,- -,- -,- -,102647000,103977000,114056000,152986000,165885000,156076000,179676000,194888000,194271000,170289000,181594000,192353000,193353000,150143000,163981000,159225000,310121000,198278000
53,Total Current Liabilities,- -,- -,- -,247862000,268958000,291182000,358002000,438448000,374185000,407652000,460006000,477388000,542653000,463537000,491699000,488665000,574565000,491173000,456079000,563362000,664881000
54,Long-Term Debt,- -,- -,- -,34872000,18828000,621000,1758594000,1724684000,1653013000,1559591000,1410111000,1615322000,1612685000,1810667000,1783969000,1783294000,1771853000,1768808000,1594542000,1796897000,1786677000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,10318000,16115000,21590000,30240000,37256000,33599000,41803000,51311000,63943000,73941000,74974000,85900000,114656000,120151000,75967000,80391000,92094000,85777000
57,Other Non-Current Liabilities,- -,- -,- -,23213000,21310000,19481000,25377000,29595000,45386000,41638000,26154000,24232000,24286000,27848000,30604000,21614000,20140000,30022000,27757000,427351000,29056000
58,Total Non-Current Liabilities,- -,- -,- -,68403000,56253000,41692000,1814211000,1791535000,1731998000,1643032000,1487576000,1703497000,1710912000,1913489000,1900473000,1919564000,1912144000,1874797000,1702690000,2316342000,1901510000
59,Other Liabilities,191460000,262856000,253997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2870000,- -,- -,- -,- -,547642000,560381000
61,Total Liabilities,191460000,262856000,253997000,316265000,325211000,332874000,2172213000,2229983000,2106183000,2050684000,1947582000,2180885000,2253565000,2377026000,2392172000,2408229000,2486709000,2365970000,2158769000,2879704000,2566391000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,58584000,- -,- -,1809000,1815000,1819000,1822000,1841000,1802000,1644000,1547000,1515000,1446000,1296000,1199000,1167000,1124000,1129000
64,Retained Earnings,- -,- -,- -,718355000,822980000,927512000,-1414554000,-1335975000,-1236858000,-1093030000,-879305000,-646241000,-385090000,-320052000,-218670000,-177561000,-283076000,-179764000,55797000,117109000,356967000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-159061000,-187089000,35000000,9000000,-16000000,-20000000,-23000000,-11000000,-10000000,-29000000,-78000000,-100000000,-82000000,-90000000,-117000000,-105000000,-94641000
66,Other Total Stockholders Equity,465024000,575868000,678166000,9224000,236377000,265544000,610035000,622200000,635588000,649936000,681482000,540354000,89967000,452000,-2666000,-51000,164000,9000,-287000,2210000,17286000
67,Total Stockholders Equity,465024000,575868000,678166000,786163000,900296000,1005967000,-767710000,-702960000,-615451000,-461272000,-218982000,-115085000,-303479000,-347053000,-297821000,-276166000,-363616000,-268556000,-60323000,15443000,280741000
68,Total Liabilities And Stockholders Equity,656484000,838724000,932163000,1102428000,1225507000,1338841000,1404503000,1527023000,1490732000,1589412000,1728600000,2065800000,1950086000,2029973000,2094351000,2132063000,2123093000,2097414000,2098446000,2895147000,2847132000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,656484000,838724000,932163000,1102428000,1225507000,1338841000,1404503000,1527023000,1490732000,1589412000,1728600000,2065800000,1950086000,2029973000,2094351000,2132063000,2123093000,2097414000,2098446000,2895147000,2847132000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368458/000104746907009602/0001047469-07-009602-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746908012451/0001047469-08-012451-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746909010313/0001047469-09-010313-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746910009883/0001047469-10-009883-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746911009618/0001047469-11-009618-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746912010611/0001047469-12-010611-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746913010533/0001047469-13-010533-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746914009151/0001047469-14-009151-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746915008573/0001047469-15-008573-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746916016713/0001047469-16-016713-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746917007074/0001047469-17-007074-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459018029551/0001564590-18-029551-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459019044262/0001564590-19-044262-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459020054910/0001564590-20-054910-index.htm,https://www.sec.gov/Archives/edgar/data/1368458/000119312521350866/0001193125-21-350866-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,105310000,116461000,110193000,44492000,77577000,99117000,143828000,213725000,233064000,261151000,245993000,235087000,222942000,215076000,258047000,271623000,113245000,239858000
74,Depreciation and Amortization,- -,- -,- -,24619000,33906000,38032000,50012000,57002000,47066000,51123000,59722000,64698000,72192000,79663000,89391000,99657000,112323000,108829000,107658000,106779000,102201000
75,Deferred Income Tax,- -,- -,- -,7121000,9706000,2360000,4441000,3057000,10271000,-662000,459000,2388000,10480000,-815000,7121000,21460000,14122000,-20538000,5532000,13691000,-7336000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,6476000,12818000,15560000,16852000,19201000,22107000,16778000,12580000,10507000,10519000,9180000,8426000,11656000
77,Change in Working Capital,- -,- -,- -,3833000,96625000,-124922000,13013000,-25465000,45390000,32019000,267377000,-213355000,167448000,54791000,-11241000,-88224000,67972000,43564000,162261000,-151041000,26719000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,3708000,-17000,-8134000,4288000,3053000,4020000,774000,936000,702000,-1949000,4399000,10031000,2923000
79,Inventory,- -,- -,- -,-33016000,-23123000,-40859000,40035000,-29527000,46208000,-34247000,-47930000,-55815000,-70282000,-27533000,-80321000,-31397000,-16343000,-16450000,-20272000,149845000,-52277000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16725000,-7059000,2726000,19575000,13621000,-19601000,4592000,-42719000,-26876000,79851000
81,Other Working Capital,- -,- -,- -,382482000,479107000,354185000,367198000,341733000,387123000,419142000,686519000,473164000,640612000,695403000,684162000,595938000,663910000,707474000,869735000,718694000,730000
82,Other Non-Cash Items,- -,- -,- -,18345000,-141243000,131058000,80378000,-1691000,15013000,-21880000,-265002000,193935000,-220018000,-85767000,-36349000,82590000,-75622000,-27760000,-235839000,335789000,8762000
83,Cash Provided by Operating Activities,- -,- -,- -,159228000,115455000,156721000,192336000,110480000,223333000,217246000,291841000,297582000,310454000,315972000,300787000,351005000,344378000,372661000,320415000,426889000,381860000
84,CAPEX,- -,- -,- -,-51963000,-52236000,-30342000,-53345000,-45576000,-37320000,-48702000,-59955000,-69086000,-84879000,-76814000,-106532000,-151220000,-89666000,-86507000,-107755000,-110858000,-73904000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-76000000,-53000000,-81000000,-36000000,-87000000,-44000000,-22000000,-5000000,-6000000,-26000000,- -,-9000000,-3000000,-12970000,-2350000
86,Purchases of Investments,- -,- -,- -,-81395000,-22050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,116345000,44600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-174869000,-96359000,-21816000,7981000,414000,-242000,-320000,220000,573000,-98000,60000,-286000,2390000,41000,194000,14888000,53000,235000
89,Cash Used for Investing Activites,- -,- -,- -,-139919000,-126045000,-52158000,-121364000,-98162000,-118562000,-85022000,-146735000,-112513000,-106977000,-81754000,-112818000,-174830000,-89625000,-95313000,-95867000,-123775000,-76019000
90,Debt Repayment,- -,- -,- -,-178000,- -,- -,- -,- -,-245299000,-461567000,-577911000,-1921284000,-291451000,-234103000,-1814000,-938537000,-1216643000,-558599000,-777538000,-882921000,-422258000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,576717000,935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-227000,-70000,- -,-200000000,-509704000,-333291000,-227559000,-207312000,-346051000,-166701000,-47434000,-61357000,- -
93,Dividends Paid,- -,- -,- -,- -,-11836000,-5661000,-2386559000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-33822000,15573000,-26544000,1667959000,47134000,96264000,335126000,437862000,2112602000,404380000,393660000,77418000,916819000,1284299000,462018000,595664000,1084039000,2290000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-34000000,3737000,-32205000,-141883000,48069000,-149262000,-126511000,-140049000,-8682000,-396775000,-173734000,-151955000,-229030000,-278395000,-263282000,-229308000,139761000,-419968000
96,Effect of Forex Changes on Cash,- -,- -,- -,-570000,12000,-3399000,1612000,1129000,-850000,-666000,-1070000,352000,193000,-1024000,-2551000,-561000,779000,-530000,-1040000,-219000,935000
97,Net Change In Cash,- -,- -,- -,-15261000,-6841000,68959000,-69299000,61516000,-45341000,5047000,3987000,176739000,-193105000,59460000,33463000,-53416000,-22863000,13536000,-5800000,442656000,-113192000
98,Cash at the End of Period,- -,- -,- -,45453000,38612000,107571000,38272000,99788000,54447000,59494000,63481000,240220000,47115000,106575000,140038000,86622000,63759000,77295000,71495000,514151000,400959000
99,Cash at the Beginning of Period,- -,- -,- -,60714000,45453000,38612000,107571000,38272000,99788000,54447000,59494000,63481000,240220000,47115000,106575000,140038000,86622000,63759000,77295000,71495000,514151000
100,Free Cash Flow,- -,- -,- -,107265000,63219000,126379000,138991000,64904000,186013000,168544000,231886000,228496000,225575000,239158000,194255000,199785000,254712000,286154000,212660000,316031000,307956000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368458/000104746907009602/0001047469-07-009602-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746908012451/0001047469-08-012451-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746909010313/0001047469-09-010313-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746910009883/0001047469-10-009883-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746911009618/0001047469-11-009618-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746912010611/0001047469-12-010611-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746913010533/0001047469-13-010533-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746914009151/0001047469-14-009151-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746915008573/0001047469-15-008573-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746916016713/0001047469-16-016713-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000104746917007074/0001047469-17-007074-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459018029551/0001564590-18-029551-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459019044262/0001564590-19-044262-index.html,https://www.sec.gov/Archives/edgar/data/1368458/000156459020054910/0001564590-20-054910-index.htm,https://www.sec.gov/Archives/edgar/data/1368458/000119312521350866/0001193125-21-350866-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
