,https://roic.ai/company/APA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.6016,0.3617,0.4139,0.5018,0.5192,0.6375,0.5041,0.5765,0.5140,0.5595,0.4468,0.5331,0.5476,0.5054,0.6093,0.8528,0.0857,0.6723,0.7495,0.7288,0.7579,0.7220,0.7036,0.7124,0.6790,0.7041,0.7382,0.2981,0.2906,-0.2342,-4.3874,-0.2372,0.2156,0.1700,-0.3876,-0.9682,0.4362
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1302780000,- -,- -,2043834000,- -,4376297000,4325026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5704,- -,- -,0.4878,- -,0.5770,0.5218,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-1600000,-16100000,-15100000,-14400000,-100000,- -,-23400000,2600000,-19600000,-19000000,-75500000,-55500000,-70400000,-66800000,-77200000,-106638000,-20188911000,-146673000,-121577000,-231290000,-170043000,-315431000,-316375000,-205472000,-297238000,-412000000,-178000000,-196000000,-606000000,-2270000000,-2351000000,-1538000000,71000000,-1011000000,-3418000000,-5013000000,-969000000
20,Income Before Tax,13500000,-21200000,-143600000,7000000,31900000,57500000,44100000,70500000,57900000,64400000,33100000,200200000,258600000,-187600000,344600000,1196142000,1199254000,898970000,1922257000,2663083000,4206254000,4009595000,4672612000,932392000,326391000,5206000000,8093000000,4877000000,4216000000,-2906000000,-28226000000,-1682000000,918000000,958000000,-3008000000,-4840000000,1891000000
21,Income Before Tax Ratio,0.1051,-0.1235,-1.4289,0.0495,0.1292,0.2103,0.1236,0.1666,0.1250,0.1197,0.0441,0.2051,0.2190,-0.2141,0.2650,0.5237,0.0527,0.3512,0.4587,0.4994,0.5546,0.4837,0.4683,0.0756,0.0379,0.4305,0.4792,0.2878,0.2570,-0.2114,-4.4221,-0.3134,0.1559,0.1304,-0.4763,-1.0913,0.2368
22,Income Tax expense (Gain),4100000,-11100000,-62100000,1600000,9800000,17200000,9500000,22700000,20600000,21600000,12900000,78800000,103700000,-58200000,143700000,483086000,475855000,344641000,827004000,993012000,1582524000,1457144000,1860254000,220438000,610789000,2174000000,3509000000,2876000000,1928000000,1637000000,-5469000000,-442000000,-585000000,672000000,674000000,64000000,578000000
23,Net Income,7900000,-10900000,-80900000,8000000,22100000,40300000,34600000,47800000,37300000,42800000,20200000,121400000,154900000,-129400000,200900000,713056000,723399000,554329000,1121885000,1668754000,2623730000,2552451000,2812358000,711954000,-284398000,3032000000,4584000000,2001000000,2232000000,-5403000000,-23119000000,-1405000000,1304000000,40000000,-3515000000,-4784000000,1135000000
24,Net Income ratio,0.0615,-0.0635,-0.8050,0.0565,0.0895,0.1474,0.0969,0.1130,0.0805,0.0796,0.0269,0.1244,0.1312,-0.1476,0.1545,0.3122,0.0318,0.2166,0.2677,0.3129,0.3459,0.3079,0.2819,0.0578,-0.0330,0.2507,0.2714,0.1181,0.1361,-0.3930,-3.6220,-0.2618,0.2215,0.0054,-0.5566,-1.0787,0.1421
25,EPS,0.15,-0.21,-1.57,0.13,0.25,0.35,0.30,0.40,0.26,0.30,0.12,0.61,0.74,-0.58,0.75,2.54,2.44,1.74,3.46,5.10,7.96,7.72,8.45,2.11,-0.87,8.53,11.75,4.95,5.53,-14.06,-61.20,-3.71,3.42,0.11,-9.43,-12.86,3.00
26,EPS Diluted,0.15,-0.21,-1.57,0.13,0.25,0.35,0.30,0.40,0.26,0.30,0.12,0.61,0.71,-0.58,0.74,2.45,2.37,1.71,3.43,5.03,7.84,7.64,8.39,2.09,-0.87,8.46,11.47,4.92,5.50,-14.06,-61.20,-3.71,3.41,0.11,-9.43,-12.86,3.00
27,Weighted Average Shares Outstanding,52858013,52289463,51680973,59824266,87796661,113848883,115751582,119149700,141546845,141642270,165839520,198144870,209250877,226517910,249026012,272740559,288104444,311852295,322602601,326092941,328900754,329892617,332151243,334727014,335852000,352000000,384000000,389000000,395000000,384000000,378000000,379000000,381000000,382000000,377000000,378000000,378000000
28,Weighted Average Shares Outstanding Diluted,52858013,52289463,51680973,59824266,87796661,113848883,115751582,119149700,141546845,156702400,174984670,220352124,216860000,226517910,250473837,282361037,297379437,317049833,325424198,330631014,333934949,333346990,334526579,337930144,335852000,359000000,400000000,391000000,406000000,384000000,378000000,379000000,383000000,384000000,377000000,378000000,378000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012995000141/0000950129-95-000141-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012996000468/0000950129-96-000468-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012997001291/0000950129-97-001291-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012901001592/0000950129-01-001592-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095013402002442/0000950134-02-002442-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012907001091/h43727e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000095012908001358/h54173e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000095012909000708/0000950129-09-000708-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012310018311/0000950123-10-018311-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012311019900/h78042e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312512086217/0001193125-12-086217-index.html,https://www.sec.gov/Archives/edgar/data/6769/000119312513085083/0001193125-13-085083-index.html,https://www.sec.gov/Archives/edgar/data/6769/000119312514077668/d647405d10k.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312515070388/d836834d10k.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312516481920/0001193125-16-481920-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337917000004/0001673379-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337918000008/0001673379-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/6769/000173303719000004/0001733037-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000173303720000004/0001733037-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337921000007/0001673379-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1841666/000178403122000009/0001784031-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,29100000,17700000,53300000,34900000,75200000,85200000,6400000,26100000,17100000,15100000,13600000,13200000,9700000,14500000,13200000,37173000,35625000,51886000,33503000,111093000,228860000,140524000,125823000,1181450000,2048117000,134000000,295000000,160000000,1906000000,769000000,1467000000,1377000000,1668000000,714000000,247000000,262000000,302000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102950000,- -,- -,- -,- -,- -,- -,791999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,29100000,17700000,53300000,34900000,75200000,85200000,6400000,26100000,17100000,15100000,13600000,13200000,9700000,14500000,13200000,37173000,138575000,51886000,33503000,111093000,228860000,140524000,125823000,1973449000,2048117000,134000000,295000000,160000000,1906000000,769000000,1467000000,1377000000,1668000000,714000000,247000000,262000000,302000000
34,Net Receivables,45800000,74900000,55900000,64100000,45400000,44800000,77600000,75800000,91800000,101800000,175900000,234600000,224000000,159800000,259500000,506723000,456638000,527687000,639055000,939736000,1444545000,1651664000,1936977000,1356979000,1545699000,2134000000,3079000000,3086000000,2952000000,2024000000,1253000000,1128000000,1345000000,1194000000,1062000000,908000000,1394000000
35,Inventory,12800000,75800000,9200000,9200000,9400000,4700000,4400000,6200000,7200000,8900000,9800000,14000000,36000000,40900000,45100000,54764000,102536000,109204000,125867000,157293000,209670000,320386000,461211000,498567000,533251000,564000000,655000000,908000000,891000000,708000000,570000000,476000000,368000000,401000000,502000000,492000000,473000000
36,Other Current Assets,10000000,8200000,2600000,1000000,2600000,3800000,2200000,5800000,6800000,9100000,9000000,6400000,78600000,11800000,25300000,31360000,- -,78004000,100647000,140660000,279002000,377697000,228240000,621979000,458782000,648000000,774000000,808000000,617000000,2914000000,462000000,260000000,344000000,378000000,150000000,184000000,211000000
37,Total Current Assets,97700000,176600000,121000000,109200000,132600000,138500000,90600000,113900000,122900000,134900000,208300000,268200000,348300000,227000000,343100000,630020000,697749000,766781000,899072000,1348782000,2162077000,2490271000,2752251000,4450974000,4585849000,3480000000,4803000000,4962000000,6366000000,6415000000,3752000000,3241000000,3725000000,2687000000,1961000000,1846000000,2380000000
38,PP&E,409600000,531600000,363300000,570900000,603600000,663400000,1071400000,1071900000,1436500000,1685400000,2401600000,3100100000,3733200000,3727500000,5115900000,6812462000,8013072000,8465585000,11260085000,13860359000,16791340000,21346252000,25231593000,23958517000,22900615000,38151000000,45448000000,53280000000,52421000000,48076000000,14119000000,18867000000,17759000000,18421000000,14158000000,8819000000,8335000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188812000,- -,- -,- -,- -,189252000,189252000,189252000,189252000,1032000000,1114000000,1289000000,1369000000,87000000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189252000,189252000,189252000,189252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188812000,189252000,189252000,189252000,189252000,189252000,189252000,189252000,189252000,1032000000,1114000000,1289000000,1369000000,87000000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1258000000,1555000000,1365000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,29100000,20700000,20000000,21600000,28200000,27700000,47300000,32900000,33000000,58700000,71600000,64100000,57100000,41600000,43500000,39468000,34023000,38233000,67717000,104087000,129127000,282400000,461555000,587742000,510027000,762000000,686000000,1206000000,1481000000,1374000000,971000000,411000000,438000000,474000000,730000000,526000000,1223000000
45,Total Non-Current Assets,438700000,552300000,383300000,592500000,631800000,691100000,1118700000,1104800000,1469500000,1744100000,2473200000,3164200000,3790300000,3769100000,5159400000,6851930000,8235907000,8693070000,11517054000,14153698000,17109719000,21817904000,25882400000,24735511000,23599894000,39945000000,47248000000,55775000000,55271000000,49537000000,15090000000,19278000000,18197000000,18895000000,16146000000,10900000000,10923000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,536400000,728900000,504300000,701700000,764400000,829600000,1209300000,1218700000,1592400000,1879000000,2681500000,3432400000,4138600000,3996100000,5502500000,7481950000,8933656000,9459851000,12416126000,15502480000,19271796000,24308175000,28634651000,29186485000,28185743000,43425000000,52051000000,60737000000,61637000000,55952000000,18842000000,22519000000,21922000000,21582000000,18107000000,12746000000,13303000000
48,Accounts Payable,- -,- -,- -,- -,72000000,86100000,79900000,82100000,118400000,87700000,138300000,174900000,178400000,115100000,148300000,259120000,179778000,214288000,300598000,542074000,714598000,644889000,617937000,570138000,396564000,779000000,1048000000,1092000000,1616000000,1210000000,618000000,585000000,641000000,709000000,695000000,444000000,731000000
49,Short-Term Debt,3600000,20800000,2500000,10900000,2500000,5200000,4700000,1100000,9000000,100000,3000000,2000000,17200000,15500000,6200000,25000000,342680000,- -,- -,- -,274000,1802094000,215074000,112598000,117326000,46000000,431000000,990000000,53000000,- -,1000000,- -,550000000,150000000,180000000,118000000,314000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000000,257000000,54000000,47000000,22000000,55000000,58000000,51000000,25000000,28000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,87900000,122500000,93400000,87300000,33500000,31500000,61100000,74400000,58000000,60000000,89000000,132800000,148200000,175200000,182300000,269227000,- -,317947000,519780000,740817000,1471692000,1364629000,1832005000,1932492000,1878668000,2699000000,3484000000,3454000000,3031000000,2454000000,1222000000,1258000000,1373000000,1342000000,980000000,746000000,1072000000
53,Total Current Liabilities,91500000,143300000,95900000,98200000,108000000,122800000,145700000,157600000,185400000,147800000,230300000,309700000,343800000,305800000,336800000,553347000,522458000,532235000,820378000,1282891000,2186564000,3811612000,2665016000,2615228000,2392558000,3524000000,4963000000,5536000000,4700000000,3664000000,1841000000,1843000000,2564000000,2201000000,1855000000,1308000000,2117000000
54,Long-Term Debt,110600000,275900000,236300000,309100000,195600000,194800000,491000000,454400000,453000000,657500000,1072100000,1235700000,1501400000,1343300000,1879700000,2193258000,2244357000,2158815000,2326966000,2588390000,2191954000,2019831000,4011605000,4808975000,4950390000,8095000000,6785000000,11355000000,9672000000,11245000000,8777000000,8544000000,7934000000,8054000000,8555000000,8770000000,7295000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,101300000,91600000,34400000,38700000,52800000,66100000,65300000,83200000,128600000,156200000,181600000,254800000,355600000,270500000,360300000,699833000,991723000,1120609000,1697238000,2146637000,2580629000,3618989000,- -,- -,2764901000,4249000000,7197000000,8024000000,8364000000,9499000000,1072000000,1710000000,545000000,391000000,346000000,215000000,148000000
57,Other Non-Current Liabilities,7000000,10700000,11900000,48800000,57700000,59100000,67400000,48300000,39500000,101300000,105700000,113700000,208600000,274700000,256300000,280872000,315952000,723912000,1038746000,1280141000,1771434000,1666690000,6580051000,5253561000,2299273000,3180000000,4113000000,4491000000,3508000000,3407000000,2924000000,2743000000,2088000000,2124000000,2886000000,3098000000,3748000000
58,Total Non-Current Liabilities,218900000,378200000,282600000,396600000,306100000,320000000,623700000,585900000,621100000,915000000,1359400000,1604200000,2065600000,1888500000,2496300000,3173963000,3552032000,4003336000,5062950000,6015168000,6544017000,7305510000,10591656000,10062536000,10014564000,15524000000,18095000000,23870000000,21544000000,24151000000,12773000000,12997000000,10567000000,10569000000,11787000000,12083000000,11191000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169000000,116000000,99000000
61,Total Liabilities,310400000,521500000,378500000,494800000,414100000,442800000,769400000,743500000,806500000,1062800000,1589700000,1913900000,2409400000,2194300000,2833100000,3727310000,4074490000,4535571000,5883328000,7298059000,8730581000,11117122000,13256672000,12677764000,12407122000,19048000000,23058000000,29406000000,26244000000,27815000000,14614000000,14840000000,13131000000,12770000000,13642000000,13391000000,13308000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98387000,98387000,98387000,98387000,98387000,98387000,98387000,- -,1227000000,1227000000,1227000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145500000,158126000,176465000,194331000,207818000,209320000,210623000,212365000,213326000,214221000,215048000,240000000,241000000,245000000,255000000,256000000,257000000,258000000,259000000,260000000,261000000,262000000,262000000
64,Retained Earnings,155800000,139200000,62500000,64800000,76500000,104300000,126100000,160800000,182200000,207900000,335400000,432600000,562000000,403100000,558700000,1226531000,1336478000,1427607000,2445698000,4017339000,6516863000,8898577000,11457592000,11929827000,11436580000,14223000000,18500000000,20161000000,22032000000,16249000000,-7153000000,-3385000000,-2088000000,-2048000000,-5601000000,-10461000000,-9488000000
65,Other Comprehensive Income/Loss,-11600000,-28400000,-475600000,-544100000,-639800000,-752800000,-888300000,-1057700000,-1248700000,-1486500000,-1975500000,-2281300000,-2647500000,-3255100000,-3711100000,-4282162000,-5135131000,-112936000,-151943000,-129482000,-365608000,-31332000,-520211000,21764000,-290502000,-141000000,-9000000,-131000000,-115000000,-116000000,-116000000,-112000000,4000000,4000000,16000000,14000000,22000000
66,Other Total Stockholders Equity,81800000,96600000,538900000,686200000,913600000,1035300000,1202100000,1372100000,1852400000,2094800000,2731900000,3367200000,3814700000,4653800000,5676300000,6652145000,8481354000,3316891000,3932838000,4008857000,4080950000,4013056000,4128885000,4244522000,4417495000,8828000000,9034000000,9829000000,11224000000,9548000000,9578000000,9477000000,9241000000,8914000000,8579000000,8546000000,- -
67,Total Stockholders Equity,226000000,207400000,125800000,206900000,350300000,386800000,439900000,475200000,785900000,816200000,1091800000,1518500000,1729200000,1801800000,2669400000,3754640000,4859166000,4924280000,6532798000,8204421000,10541215000,13191053000,15377979000,16508721000,15778621000,24377000000,28993000000,31331000000,33396000000,25937000000,2566000000,6238000000,7416000000,7130000000,3255000000,-1639000000,-1595000000
68,Total Liabilities And Stockholders Equity,536400000,728900000,504300000,701700000,764400000,829600000,1209300000,1218700000,1592400000,1879000000,2681500000,3432400000,4138600000,3996100000,5502500000,7481950000,8933656000,9459851000,12416126000,15502480000,19271796000,24308175000,28634651000,29186485000,28185743000,43425000000,52051000000,60737000000,59640000000,53752000000,17180000000,21078000000,20547000000,19900000000,16897000000,11752000000,11713000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1997000000,2200000000,1662000000,1441000000,1375000000,1682000000,1210000000,994000000,1590000000
70,Total Liabilities & Equity,536400000,728900000,504300000,701700000,764400000,829600000,1209300000,1218700000,1592400000,1879000000,2681500000,3432400000,4138600000,3996100000,5502500000,7481950000,8933656000,9459851000,12416126000,15502480000,19271796000,24308175000,28634651000,29186485000,28185743000,43425000000,52051000000,60737000000,61637000000,55952000000,18842000000,22519000000,21922000000,21582000000,18107000000,12746000000,13303000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012995000141/0000950129-95-000141-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012996000468/0000950129-96-000468-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012997001291/0000950129-97-001291-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012901001592/0000950129-01-001592-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095013402002442/0000950134-02-002442-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012907001091/h43727e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000095012908001358/h54173e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000095012909000708/0000950129-09-000708-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012310018311/0000950123-10-018311-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012311019900/h78042e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312512086217/0001193125-12-086217-index.html,https://www.sec.gov/Archives/edgar/data/6769/000119312513085083/0001193125-13-085083-index.html,https://www.sec.gov/Archives/edgar/data/6769/000119312514077668/d647405d10k.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312515070388/d836834d10k.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312516481920/0001193125-16-481920-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337917000004/0001673379-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337918000008/0001673379-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/6769/000173303719000004/0001733037-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000173303720000004/0001733037-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337921000007/0001673379-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1841666/000178403122000009/0001784031-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,22100000,40300000,34600000,47800000,37300000,42800000,20200000,121400000,154900000,-129400000,200900000,713056000,723399000,554329000,1121885000,1668754000,2623730000,2552451000,2812358000,711954000,-284398000,3032000000,4584000000,2001000000,2232000000,-5403000000,-23119000000,-1405000000,1304000000,40000000,-3515000000,-4784000000,1135000000
74,Depreciation and Amortization,- -,- -,- -,- -,96300000,116800000,135800000,173400000,180200000,236500000,302200000,320200000,387900000,630500000,447700000,583546000,753263000,822045000,1075449000,1224623000,1419430000,1816359000,2347791000,7850258000,5213224000,3083000000,4204000000,- -,410000000,410000000,324000000,158000000,144000000,140000000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,10100000,16600000,4200000,14000000,20600000,25400000,29400000,61300000,68300000,-81900000,77500000,350703000,305214000,137672000,546357000,444906000,598927000,751457000,889527000,-1235944000,-231110000,- -,- -,677000000,263000000,495000000,-5778000000,-833000000,-1180000000,-222000000,14000000,-112000000,-74000000
