,https://roic.ai/company/BRID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,10500000,11400000,12800000,14500000,17500000,20200000,23300000,26100000,27300000,28400000,30000000,33300000,36600000,39900000,42100000,43000000,45700000,48400000,48089000,47500000,47600000,47700000,44700000,46535000,42500000,41500000,38700000,40200000,42300000,43603000,38751000,44377000,48758000,43693000,53127000,54446000,60127000
11,COGS and Expenses,50000000,52800000,53600000,56000000,67100000,78000000,85600000,91400000,96100000,99000000,101900000,109200000,117200000,120800000,122600000,138600000,142400000,136900000,134300000,137800000,133100000,132800000,125800000,126858000,115600000,112100000,119400000,123300000,125900000,138347000,122330000,129227000,154395000,161444000,180248000,192898000,249173000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1214000
14,Depreciation and Amortization,900000,900000,1000000,1100000,1200000,1300000,1500000,1700000,1800000,1900000,1960000,2490000,3000000,2940000,3290000,3770000,4030000,4210000,4313000,4350000,4250000,3780000,3390000,3283000,2730000,2170000,1800000,1720000,2240000,2827000,3050000,3043000,3366000,3940000,4153000,5514,6669000
15,EBITDA,1200000,2000000,3900000,5300000,6700000,7600000,8800000,10400000,10800000,11800000,12560000,11690000,13600000,16940000,19390000,17970000,14030000,6410000,6264000,4365000,2039000,5237000,2709000,-2585000,9785000,7674000,731000,5785000,5309000,-1605000,11168000,13879000,16194000,16753000,12690000,5135514,601000
16,EBITDA ratio,0.0237,0.0370,0.0690,0.0880,0.0923,0.0902,0.0947,0.1039,0.1028,0.1084,0.1116,0.0988,0.1063,0.1257,0.1397,0.1176,0.0920,0.0460,0.0460,0.0317,0.0156,0.0390,0.0217,-0.0214,0.0797,0.0652,0.0062,0.0454,0.0412,-0.0120,0.0856,0.0991,0.0968,0.0961,0.0672,0.0259,0.0025
17,Operating Income,600000,1300000,2900000,4200000,5500000,6300000,7300000,8700000,9000000,9900000,10600000,9100000,10700000,14100000,16300000,14140469,10072000,2271000,1951000,-514000,-2254000,1391000,-673000,-5868000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8239000
18,Operating Income ratio,0.0119,0.0240,0.0513,0.0698,0.0758,0.0747,0.0786,0.0869,0.0856,0.0909,0.0942,0.0769,0.0837,0.1046,0.1174,0.0925,0.0660,0.0163,0.0143,-0.0037,-0.0172,0.0104,-0.0054,-0.0485,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0343
19,Total Other Income Expenses (Gains),-300000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,-40469,28000,29000,- -,- -,-46000,109000,-27000,- -,- -,- -,- -,- -,- -,514000,- -,- -,- -,- -,- -,- -,957000
20,Income Before Tax,300000,1100000,2900000,4200000,5500000,6300000,7300000,8700000,9000000,9900000,10600000,9100000,10600000,14100000,16200000,14100000,10100000,2300000,1951000,- -,-2300000,1500000,-700000,-5868000,7000000,5500000,-1100000,4000000,3100000,-4432000,8118000,10836000,12828000,12813000,8537000,5130000,-7282000
21,Income Before Tax Ratio,0.0059,0.0203,0.0513,0.0698,0.0758,0.0747,0.0786,0.0869,0.0856,0.0909,0.0942,0.0769,0.0829,0.1046,0.1167,0.0923,0.0662,0.0165,0.0143,- -,-0.0176,0.0112,-0.0056,-0.0485,0.0570,0.0467,-0.0093,0.0314,0.0240,-0.0332,0.0622,0.0774,0.0767,0.0735,0.0452,0.0259,-0.0303
22,Income Tax expense (Gain),100000,500000,1300000,1500000,2000000,2400000,2800000,3400000,3400000,3800000,4000000,3500000,4000000,5300000,6100000,5400000,3800000,1100000,741000,15000,-1311000,257000,-381000,6579000,255000,1204000,-669000,365000,169000,-88000,-7324000,3066000,3999000,6296000,2053000,-2193000,-1779000
23,Net Income,200000,600000,1600000,2700000,3500000,3900000,4500000,5300000,5600000,6100000,6600000,5700000,6600000,8700000,10000000,8800000,6200000,1100000,1210000,- -,-900000,1200000,-300000,-12447000,6800000,4300000,-400000,3700000,2900000,-4344000,15442000,7770000,8829000,6517000,6484000,7323000,-5503000
24,Net Income ratio,0.0040,0.0111,0.0283,0.0449,0.0482,0.0463,0.0484,0.0529,0.0533,0.0560,0.0587,0.0482,0.0516,0.0645,0.0720,0.0576,0.0407,0.0079,0.0089,- -,-0.0069,0.0089,-0.0024,-0.1029,0.0554,0.0365,-0.0034,0.0290,0.0225,-0.0326,0.1184,0.0555,0.0528,0.0374,0.0343,0.0370,-0.0229
25,EPS,0.02,0.05,0.14,0.23,0.31,0.35,0.40,0.46,0.49,0.54,0.58,0.50,0.58,0.77,0.88,0.80,0.59,0.11,0.12,0.00,-0.09,0.13,-0.03,-1.30,0.72,0.46,-0.05,0.40,0.32,-0.48,1.70,0.86,0.97,0.72,0.71,0.81,-0.61
26,EPS Diluted,0.02,0.05,0.14,0.23,0.31,0.35,0.40,0.46,0.49,0.54,0.58,0.50,0.58,0.77,0.88,0.80,0.59,0.11,0.12,0.00,-0.09,0.13,-0.03,-1.30,0.72,0.46,-0.05,0.40,0.32,-0.48,1.70,0.86,0.97,0.72,0.71,0.81,-0.61
27,Weighted Average Shares Outstanding,10000000,12000000,7568000,7568000,11290323,11142857,11250000,11521739,11428571,11296296,11379310,11400000,11343750,11298701,11363636,10907701,10538091,10448000,10381477,10132000,9994816,9966483,9928107,9577286,9411181,9334004,9277515,9182738,9151939,9123593,9098742,9077606,9076832,9076832,9076832,9076832,9076832
28,Weighted Average Shares Outstanding Diluted,10000000,12000000,7568000,7568000,11290323,11142857,11250000,11521739,11428571,11296296,11379310,11400000,11343750,11298701,11363636,10926630,10595105,10489000,10381477,10132000,9994816,9966483,9928107,9577286,9411181,9334004,9277515,9182738,9151939,9123593,9098742,9077606,9076832,9076832,9076832,9076832,9076832
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14177/000001417796000005/0000014177-96-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/14177/0000892569-98-000191-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14177/000089256904000076/a95729e10vk.htm,https://www.sec.gov/Archives/edgar/data/14177/000119312505013251/d10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000119312506012832/d10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000110465907006415/a07-2986_110k.htm,https://www.sec.gov/Archives/edgar/data/14177/000110465908006124/a08-3711_110k.htm,https://www.sec.gov/Archives/edgar/data/14177/000120677409000106/0001206774-09-000106-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774910000142/0001437749-10-000142-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774911000278/bridgford_10k-102910.htm,https://www.sec.gov/Archives/edgar/data/14177/000143774912000636/0001437749-12-000636-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774913000573/0001437749-13-000573-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774914000790/brid20131028_10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000143774915000786/brid20141031_10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000143774916023725/0001437749-16-023725-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774917000650/0001437749-17-000650-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315218000507/0001493152-18-000507-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315219000765/0001493152-19-000765-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315220001049/0001493152-20-001049-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315221001208/0001493152-21-001208-index.htm,https://www.sec.gov/Archives/edgar/data/14177/000149315222002433/0001493152-22-002433-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,400000,1700000,1400000,3200000,4000000,4000000,5600000,7300000,12600000,7400000,6300000,12400000,22300000,25000000,18300000,13000000,10300000,12196000,8000000,5900000,1200000,11300000,6092000,13900000,15700000,9300000,9700000,8300000,192000,5842000,6985000,12109000,8179000,3478000,4302,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,12200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,400000,1700000,1400000,3200000,4000000,4000000,5600000,7300000,12600000,7400000,6300000,12400000,22300000,25000000,18300000,13000000,10300000,12196000,8000000,10400000,13400000,11300000,6092000,13900000,15700000,9300000,9700000,8300000,192000,5842000,6985000,12109000,8179000,3478000,4302,- -
34,Net Receivables,3200000,3700000,3300000,4000000,5600000,6400000,6800000,8000000,8600000,9400000,10200000,10000000,11400000,12100000,13700000,13600000,15200000,14300000,12273000,11200000,10100000,10900000,9100000,9331000,9900000,9200000,10700000,12500000,12800000,10435000,14619000,16582000,19148000,20293000,21875000,23818,30540000
35,Inventory,4400000,4400000,4700000,7600000,8500000,8600000,10600000,12100000,12500000,12100000,13900000,15600000,15600000,14100000,16200000,18200000,19200000,17600000,18033000,22500000,21300000,19500000,18300000,16052000,15600000,16300000,16900000,17400000,18900000,21292000,19977000,24081000,23016000,23413000,26367000,29296,36771000
36,Other Current Assets,300000,300000,800000,600000,800000,1000000,2000000,3000000,4300000,5300000,6800000,2000000,1700000,2100000,2300000,3000000,3300000,4200000,3184000,2700000,1900000,2100000,2700000,442000,600000,300000,400000,600000,400000,346000,319000,937000,1550000,1331000,1048000,11334,2946000
37,Total Current Assets,8900000,8800000,10500000,13600000,18100000,20000000,23400000,28700000,32700000,39400000,38300000,33900000,41100000,50600000,57200000,53100000,50700000,46400000,45686000,44400000,43700000,45900000,41400000,31917000,40000000,41500000,37300000,40200000,40400000,32265000,40757000,48585000,55823000,53216000,52768000,68750,70257000
38,PP&E,4000000,4500000,4300000,4200000,4100000,4800000,5700000,6900000,6800000,7600000,14400000,17900000,16900000,16200000,17800000,19000000,19500000,19000000,17735000,16800000,14500000,13000000,11200000,9775000,8300000,7900000,7900000,9100000,11200000,12251000,10235000,10362000,18571000,32638000,54346000,73332,72886000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2731000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2338,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-100000,6500000,7700000,9000000,10500000,10600000,11000000,11800000,9775000,13700000,14700000,13900000,15000000,10263000,10600000,11100000,11600000,12300000,13200000,13660000,24310000,28307000,23151000,15640000,16342000,-2338,13647000
45,Total Non-Current Assets,4000000,4500000,4300000,4200000,4100000,4800000,5700000,6800000,6800000,7600000,14300000,24400000,24600000,25200000,28300000,29600000,30500000,30800000,30241000,30500000,29300000,27000000,26200000,20038000,18900000,19000000,19700000,21400000,24400000,25911000,34545000,38669000,41722000,48278000,70688000,73332,86533000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12900000,13300000,14800000,17800000,22200000,24800000,29100000,35500000,39500000,47000000,52600000,58300000,65700000,75800000,85500000,82700000,81200000,77200000,75927000,74900000,73000000,72900000,67600000,51955000,58900000,60500000,57000000,61600000,64800000,58176000,75302000,87254000,97545000,101494000,123456000,142082,156790000
48,Accounts Payable,- -,- -,- -,- -,4400000,3800000,3400000,4100000,3600000,4300000,4700000,4500000,5300000,5300000,5800000,7700000,5700000,4000000,4705000,3700000,3800000,3900000,3000000,3073000,4200000,3400000,4200000,4400000,4800000,5780000,6087000,4085000,5365000,7655000,7993000,10502,12388000
49,Short-Term Debt,900000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2867000,- -,- -,- -,- -,- -,- -,- -,- -,296000,231000,241000,162000,150000,424000,- -,2038000,4946000,1590000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000,321000,319000,326000,327000,452000,482000,666000,672000,610000,660000,674000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2329000,1598000,1821000,1490000,- -,- -,- -,- -,- -,- -,- -,10644000,14532000,10040000,4010000,4047000,2338,1676000
52,Other Current Liabilities,4300000,5500000,5900000,7100000,4400000,4600000,5800000,7300000,7700000,10300000,11100000,5100000,6200000,8000000,7700000,6900000,7000000,7800000,4917000,6671000,6402000,8479000,7410000,8405000,9000000,8300000,9100000,10204000,10569000,8384000,-2682000,-6545000,415000,6702000,5862000,-4932637,9965000
53,Total Current Liabilities,5200000,5800000,5900000,7100000,8800000,8400000,9200000,11400000,11300000,14600000,15800000,9600000,11500000,13300000,13500000,14600000,12700000,11800000,12489000,12700000,11800000,14200000,11900000,11478000,13200000,11700000,13300000,14900000,15600000,14405000,14211000,12222000,16244000,18367000,19940000,26203,25619000
54,Long-Term Debt,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1300000,- -,- -,404000,- -,- -,12164000,- -,36464000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,800000,700000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10644000,14532000,- -,2529000,360000,- -,4156000
57,Other Non-Current Liabilities,100000,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,8400000,9600000,11700000,13800000,11900000,11200000,11000000,11105000,13600000,12900000,8500000,5800000,7942000,13300000,12600000,18800000,25000000,14400000,18521000,14802000,21187000,25263000,14918000,24508000,- -,15573000
58,Total Non-Current Liabilities,1600000,800000,800000,300000,- -,- -,- -,- -,- -,- -,- -,8400000,9600000,11700000,13800000,11900000,11200000,11000000,11105000,13600000,12900000,8500000,5800000,7942000,13300000,12600000,18800000,26500000,15700000,18521000,25446000,36123000,25263000,17447000,37032000,- -,56193000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57834,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000,1559000,1345000,725000,554000,424000,- -,455000,1524000,985000
61,Total Liabilities,6800000,6600000,6700000,7400000,8800000,8400000,9200000,11400000,11300000,14600000,15800000,18000000,21100000,25000000,27300000,26500000,23900000,22800000,23594000,26300000,24700000,22700000,17700000,19420000,26500000,24300000,32100000,41400000,31300000,32926000,39657000,48345000,41507000,35814000,56972000,84037,81812000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,9500000,- -,11400000,11400000,10700000,10500000,10500000,10333000,10100000,10000000,10000000,9900000,9492000,9400000,9400000,9300000,9200000,9200000,9171000,9138000,9134000,9134000,9134000,9134000,9134,9134000
64,Retained Earnings,1700000,2300000,3800000,5500000,7500000,9200000,10600000,11600000,15700000,20000000,24400000,27800000,20300000,13100000,20400000,26100000,29400000,27800000,27321000,26800000,25900000,27100000,26800000,14298000,21100000,24500000,23100000,26700000,29200000,24861000,40303000,48073000,56902000,65948000,72432000,79755,74252000
65,Other Comprehensive Income/Loss,-9400000,-10100000,-11000000,-12100000,-13100000,-14400000,-15900000,-17100000,-18600000,-19500000,-21100000,-22600000,-25400000,-27900000,-30500000,-31600000,-35400000,-1366000,-1661000,-2733000,-2064000,-1193000,-603000,-2459000,-8720000,-8052000,-16727000,-24751000,-13689000,-17366000,-22130000,-26596000,-18296000,-17700000,-23380000,-25941000,-16706000
66,Other Total Stockholders Equity,13800000,14500000,15300000,17000000,19000000,21600000,25200000,29600000,31100000,31900000,24100000,25600000,49700000,54200000,56800000,51000000,52800000,17456000,16340000,14497000,14426000,14279000,13872000,11204000,10643000,10352000,9165000,8995000,8744000,8584000,8334000,8298000,8298000,8298000,8298000,97098111,8298000
67,Total Stockholders Equity,6100000,6700000,8100000,10400000,13400000,16400000,19900000,24100000,28200000,32400000,36900000,40300000,44600000,50800000,58100000,56200000,57300000,54390000,52333000,48664000,48262000,50186000,49969000,32535000,32423000,36200000,24838000,20144000,33455000,25250000,35645000,38909000,56038000,65680000,66484000,71246000,74978000
68,Total Liabilities And Stockholders Equity,12900000,13300000,14800000,17800000,22200000,24800000,29100000,35500000,39500000,47000000,52700000,58300000,65700000,75800000,85400000,82700000,81200000,77190000,75927000,74964000,72962000,72886000,67669000,51955000,58923000,60500000,56938000,61544000,64755000,58176000,75302000,87254000,97545000,101494000,123456000,71330037,156790000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,100000,- -,- -,10000,- -,-64000,38000,14000,-69000,- -,-23000,- -,62000,56000,45000,- -,- -,- -,- -,- -,- -,-71187955,- -
70,Total Liabilities & Equity,12900000,13300000,14800000,17800000,22200000,24800000,29100000,35500000,39500000,47000000,52600000,58300000,65700000,75800000,85500000,82700000,81200000,77200000,75927000,74900000,73000000,72900000,67600000,51955000,58900000,60500000,57000000,61600000,64800000,58176000,75302000,87254000,97545000,101494000,123456000,142082,156790000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14177/000001417796000005/0000014177-96-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/14177/0000892569-98-000191-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14177/000089256904000076/a95729e10vk.htm,https://www.sec.gov/Archives/edgar/data/14177/000119312505013251/d10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000119312506012832/d10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000110465907006415/a07-2986_110k.htm,https://www.sec.gov/Archives/edgar/data/14177/000110465908006124/a08-3711_110k.htm,https://www.sec.gov/Archives/edgar/data/14177/000120677409000106/0001206774-09-000106-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774910000142/0001437749-10-000142-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774911000278/bridgford_10k-102910.htm,https://www.sec.gov/Archives/edgar/data/14177/000143774912000636/0001437749-12-000636-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774913000573/0001437749-13-000573-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774914000790/brid20131028_10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000143774915000786/brid20141031_10k.htm,https://www.sec.gov/Archives/edgar/data/14177/000143774916023725/0001437749-16-023725-index.html,https://www.sec.gov/Archives/edgar/data/14177/000143774917000650/0001437749-17-000650-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315218000507/0001493152-18-000507-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315219000765/0001493152-19-000765-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315220001049/0001493152-20-001049-index.html,https://www.sec.gov/Archives/edgar/data/14177/000149315221001208/0001493152-21-001208-index.htm,https://www.sec.gov/Archives/edgar/data/14177/000149315222002433/0001493152-22-002433-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3500000,3900000,4500000,5300000,5600000,6100000,6600000,5700000,6600000,8700000,10000000,8800000,6200000,1100000,1210000,- -,-900000,1200000,-300000,-12447000,6800000,4300000,-400000,3700000,2900000,-4344000,15442000,7770000,8829000,6517000,6484000,7323000,-5503000
74,Depreciation and Amortization,- -,- -,- -,- -,1200000,1300000,1500000,1700000,1800000,1900000,1960000,2490000,3000000,2940000,3290000,3770000,4030000,4210000,4313000,4350000,4250000,3780000,3390000,3283000,2730000,2170000,1800000,1720000,2240000,2827000,3050000,3043000,3366000,3940000,4153000,5514,6669000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,- -,-300000,-600000,-500000,-800000,-700000,-1130000,-200000,-860000,-1060000,500000,330000,-1550000,1970000,-600000,-570000,1110000,-520000,-2107000,170000,400000,-3430000,-1120000,-1210000,- -,3171000,-1034000,-490000,4940000,1889000,6385,1063000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-1200000,2300000,2600000,3100000,4100000,3400000,-2300000,1800000,5300000,7700000,6400000,-5200000,-500000,-3400000,-1403000,-1497000,200000,-200000,-2200000,-9061000,6361000,3000000,-5800000,1300000,-500000,-6940000,8686000,9817000,3216000,-4730000,-2021000,-32785453,-8161000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,200000,- -,-700000,-1600000,100000,400000,600000,- -,-246000,-578000,-277000,-245000,- -,78000,-351000,-2219000,-1975000,-411000,1816000,-7090000,-2587000,-2326000,-1263000,-774000,-8,-1010000
79,Inventory,- -,- -,- -,- -,-900000,-100000,-2000000,-1500000,-500000,500000,-1800000,-1700000,- -,1500000,-2100000,-2000000,-1000000,1600000,-471000,-4445000,1154000,1780000,1211000,2281000,457000,-712000,-581000,-467000,-1564000,-2373000,1315000,-4104000,1065000,-397000,-2954000,-2929,-7475000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1154000,-863000,882000,168000,401000,965000,307000,-2002000,1280000,2291000,338000,2509000,1886000
81,Other Working Capital,- -,- -,- -,- -,9300000,11600000,14200000,17300000,21400000,24800000,22500000,24300000,29600000,37300000,43700000,38500000,38000000,34600000,33197000,31700000,31900000,31700000,29500000,20439000,26800000,29800000,24000000,25300000,24800000,17860000,26546000,36363000,39579000,34849000,32828000,42547,- -
