,https://roic.ai/company/FRD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,700000,- -,- -,-100000,-62710,-98500,-33494,-81184,-81354,743377,-46445,1326741,-52201,- -,- -,- -,-59200,42375,- -,- -,- -,- -,- -,- -,- -,19377
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-400000,-200000,-2600000,-500000,200000,-100000,-2600000,-2500000,-288548,-497763,-1278674,-685919,-902563,-210236,-2009700,-5582997,-4491252,-2057590,-432291,-571342,-380603,-519111,-1969231,-5937205,-2183649,-858331,-374084,-825906,-4952656,-4590240
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6654029,-54028,-13507,- -,- -,- -,- -,- -,- -,- -,- -,-49640,-100728
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,52687,31471,- -,- -,- -,485303,249321,105973,203493,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2767734,-2707179,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1727378
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-500000,-500000,-700000,-1100000,-1100000,-1300000,-1800000,-2000000,-1490107,-1196130,-1059704,-605782,-757398,-1702610,-2291096,-2271201,-2018872,-2515794,-679944,-5031588,-3399723,-6935433,-1767856,-543956,-271978,-274078,-280378,-1191605,-839933,-564190
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-2100000,-300000,3700000,3800000,-1600000,-800000,- -,100000,773370,-2967587,-2712812,-2872551,-62787,-60140,-2897,- -,6721563,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1690385
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-2600000,-800000,3000000,2700000,-2700000,-2000000,- -,-1900000,-664050,-4132246,-3772516,-3478333,-820185,-4045181,-4751851,-2165228,4906184,-9169823,-733972,-5045095,-3399723,-6935433,-1767856,-543956,-271978,-274078,-280378,-1191605,-889573,-701911
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-2600000,-800000,3000000,2700000,- -,- -,- -,- -,-3355117,225258,4014818,-4010767,1311636,-1779388,1777151,-943496,1604892,14236188,2932771,-12602591,4671258,4041746,-842270,-12855100,570838,-1335067,2590887,7614579,5390590,3134735
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443818,669076,4683894,673127,1984763,205375,1982526,1039030,2643922,16880110,19812881,7210290,11881548,15923294,15081024,2225924,2796762,1461695,4052582,11667161,17057751,20192486
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,3900000,1900000,1100000,300000,700000,600000,200000,1400000,3798935,443818,669076,4683894,673127,1984763,205375,1982526,1039030,2643922,16880110,19812881,7210290,11881548,15923294,15081024,2225924,2796762,1461695,4052582,11667161,17057751
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,700000,- -,-3700000,-2300000,1900000,1600000,1200000,4400000,-2628357,4456004,7820828,-451250,2213175,1522416,6575447,-105009,-3249091,23462010,3724743,-7501496,8130181,10996804,987586,-12250144,901816,-1001989,2896165,8824101,6297458,3817269
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39092/000095012900003495/0000950129-00-003495-index.html,https://www.sec.gov/Archives/edgar/data/39092/000095012901501659/0000950129-01-501659-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39092/000095012905006638/h26245e10vk.htm,https://www.sec.gov/Archives/edgar/data/39092/000095012906006840/h36357e10vk.htm,https://www.sec.gov/Archives/edgar/data/39092/000095012907003218/0000950129-07-003218-index.html,https://www.sec.gov/Archives/edgar/data/39092/000095012908003718/0000950129-08-003718-index.html,https://www.sec.gov/Archives/edgar/data/39092/000095012309018038/0000950123-09-018038-index.html,https://www.sec.gov/Archives/edgar/data/39092/000095012310061549/0000950123-10-061549-index.html,https://www.sec.gov/Archives/edgar/data/39092/000095012311062008/0000950123-11-062008-index.html,https://www.sec.gov/Archives/edgar/data/39092/000119312512275255/d359560d10k.htm,https://www.sec.gov/Archives/edgar/data/39092/000119312513257934/0001193125-13-257934-index.html,https://www.sec.gov/Archives/edgar/data/39092/000119312514233511/0001193125-14-233511-index.html,https://www.sec.gov/Archives/edgar/data/39092/000119312515220552/0001193125-15-220552-index.html,https://www.sec.gov/Archives/edgar/data/39092/000143774916034621/0001437749-16-034621-index.html,https://www.sec.gov/Archives/edgar/data/39092/000143774917012013/0001437749-17-012013-index.html,https://www.sec.gov/Archives/edgar/data/39092/000143774918012627/0001437749-18-012627-index.html,https://www.sec.gov/Archives/edgar/data/39092/000143774919013251/0001437749-19-013251-index.html,https://www.sec.gov/Archives/edgar/data/39092/000143774920014128/0001437749-20-014128-index.htm,https://www.sec.gov/Archives/edgar/data/39092/000143774921016577/0001437749-21-016577-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
