,https://roic.ai/company/JAKK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0992,0.0668,0.0750,0.1198,0.1135,0.0993,0.1009,0.0652,0.0759,0.0960,0.0946,0.1038,0.0842,-0.4797,0.0630,0.0125,-0.1572,-0.0852,0.0266,0.0312,0.0018,-0.1355,-0.0746,-0.0928,-0.0277,-0.0097
25,EPS,2.27,4.00,7.47,15.50,15.00,15.50,14.20,8.50,16.90,23.70,26.60,32.20,27.23,-140.20,15.20,3.20,-47.70,-23.78,7.00,12.00,0.80,-38.90,-18.30,-21.60,-4.27,-0.98
26,EPS Diluted,2.27,3.47,5.93,13.90,14.10,14.50,13.70,8.30,14.90,20.60,23.00,27.70,24.20,-140.20,15.20,3.20,-47.70,-24.30,7.00,7.10,0.70,-38.90,-18.30,-21.60,-4.27,-0.98
27,Weighted Average Shares Outstanding,525565,700000,857143,1419355,1909160,1821477,2202216,2424000,2577456,2673800,2722700,2766500,2752465,2750200,3451300,2689300,2196935,2266868,3984100,1943500,1654200,2134100,2310400,2598000,3634000,7498000
28,Weighted Average Shares Outstanding Diluted,525565,807692,1078652,1582734,2031021,1947097,2282588,2482410,2923423,3219300,3271400,3314900,3263700,2750200,3451300,2689300,2396300,2266868,3984100,4332100,1666500,2134100,2310400,2598000,3634000,7498000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009829/000095014800000576/0000950148-00-000576-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014801000545/0000950148-01-000545-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014802000871/0000950148-02-000871-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014803000692/0000950148-03-000692-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014804000601/0000950148-04-000601-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014805000037/0000950148-05-000037-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095012906002691/v09620e10vk.htm,https://www.sec.gov/Archives/edgar/data/1009829/000114420407013123/v068673_10k.htm,https://www.sec.gov/Archives/edgar/data/1009829/000114420408012758/v105444_10k.htm,https://www.sec.gov/Archives/edgar/data/1009829/000114420409011719/0001144204-09-011719-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000114420410013900/0001144204-10-013900-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752311001399/a6632499.htm,https://www.sec.gov/Archives/edgar/data/1009829/000115752312001404/0001157523-12-001404-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752313001430/0001157523-13-001430-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752314001096/a50823769.htm,https://www.sec.gov/Archives/edgar/data/1009829/000115752315000949/a51055556.htm,https://www.sec.gov/Archives/edgar/data/1009829/000115752316004933/0001157523-16-004933-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752317000818/0001157523-17-000818-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752318000578/0001157523-18-000578-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000162828019003040/0001628280-19-003040-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000162828020007624/jakk-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1009829/000118518521000348/0001185185-21-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1009829/000118518522000288/0001185185-22-000288-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6400000,2500000,12500000,57500000,29275424,25036203,68412826,118182000,176544000,240238000,184489000,241250000,169520000,254837000,278346000,257258000,189321000,117071000,71525000,102528000,86064000,64977000,53282000,61613000,87953000,44521000
32,Short-Term Investments,- -,- -,- -,39300000,13617912,37119071,- -,19345000,19047000,- -,210000,218000,195000,202000,207000,214000,218000,220000,220000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6400000,2500000,12500000,96800000,42893336,62155274,68412826,137527000,195591000,240238000,184699000,241468000,169715000,255039000,278553000,257472000,189539000,117291000,71745000,102528000,86064000,64977000,53282000,61613000,87953000,44521000
34,Net Receivables,2400000,8700000,11900000,38000000,47053699,52888452,59514460,86119000,102266000,87199000,153116000,174451000,169875000,164945000,141528000,127803000,129463000,125231000,258524000,187395000,174803000,144337000,122278000,117942000,102254000,151311000
35,Inventory,100000,1900000,2900000,19900000,30534826,32023960,38009747,44400000,50000000,66729000,76788000,75486000,87944000,34457000,43230000,47019000,59690000,46784000,78827000,60544000,75435000,58432000,53880000,54259000,38642000,83954000
36,Other Current Assets,1400000,1800000,1300000,2800000,8150507,6726847,10855936,16762000,24682000,31151000,37135000,34678000,47663000,53726000,48851000,65191000,27364000,31626000,28497000,31901000,17077000,14923000,20703000,26571000,21979000,7771000
37,Total Current Assets,10300000,14900000,28600000,157500000,128632368,153794533,176792969,284808000,372539000,425317000,451738000,526083000,475197000,508167000,512162000,497485000,406056000,320932000,437593000,382368000,353379000,282669000,250143000,260385000,250828000,287557000
38,PP&E,1200000,2900000,4300000,11500000,18983252,15752669,14825555,11722000,10940000,12695000,16883000,21407000,28498000,21214000,16946000,16186000,15826000,11096000,11096000,18435000,22841000,23227000,20902000,47340000,37904000,30099000
39,Goodwill,- -,- -,- -,- -,- -,- -,189335933,- -,- -,- -,337999000,353340000,438184000,3879000,6988000,24015000,48836000,44876000,44492000,44199000,43208000,35384000,35083000,35083000,35083000,35083000
40,Intangible Assets,2600000,25200000,24400000,60100000,88898414,104376169,19736847,231737000,303467000,305578000,60401000,45768000,33061000,40604000,25745000,24061000,69362000,59747000,51212000,44493000,35719000,22490000,17612000,3488000,5554000,4308000
41,Intangible Assets,2600000,25200000,24400000,60100000,88898414,104376169,209072780,231737000,303467000,305578000,398400000,399108000,471245000,44483000,32733000,48076000,118198000,104623000,95704000,88692000,78927000,57874000,52695000,38571000,40637000,36398000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,15000000,36000000,53184000,6727000,74000,2736000,10161000,7018000,7000000,7000000,7000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53502000,58848000,47081000,- -,- -,- -,446000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,600000,1400000,3800000,12208359,10117312,8118645,9097000,9816000,365000,-127000,90000,- -,- -,12643000,3670000,4584000,6175000,10389000,8959000,2156000,6579000,19101000,18926000,- -,2993000
45,Total Non-Current Assets,3900000,28700000,30100000,75400000,120090025,130246150,232016980,252556000,324223000,328638000,430156000,456605000,552927000,125926000,121244000,117749000,148769000,128912000,124189000,123532000,110924000,87680000,92698000,104837000,78541000,69490000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14200000,43600000,58700000,232900000,248722393,284040683,408809949,537364000,696762000,753955000,881894000,982688000,1028124000,634093000,633406000,615234000,554825000,449844000,561782000,505900000,464303000,370349000,342841000,365222000,329369000,357047000
48,Accounts Payable,1600000,4300000,3700000,10000000,14619519,12692826,14619001,25064000,53643000,50533000,65574000,52287000,57432000,37613000,35886000,26430000,37793000,25275000,56113000,34986000,51741000,49916000,57574000,61196000,79799000,113202000
49,Short-Term Debt,200000,2400000,100000,- -,400000,22560,17805,19000,- -,- -,- -,- -,417000,20417000,27000,- -,70710000,38098000,- -,- -,10000000,26075000,27211000,11356000,15875000,12581000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7190000,- -,6143000,2183000,12922000,20762000,23784000,21067000,- -,- -,- -,2492000,484000,1004000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,557000,123000,2510000
52,Other Current Liabilities,700000,4900000,11100000,34400000,26715876,24592577,32973382,27125000,89353000,73330000,105801000,118118000,92287000,97948000,88997000,96403000,110972000,121222000,135235000,95154000,55069000,59767000,59317000,79815000,42469000,44779000
53,Total Current Liabilities,2500000,11600000,14900000,44400000,41735395,37307963,47610188,52208000,142996000,123863000,171375000,170405000,150136000,155978000,124910000,122833000,219475000,184595000,191348000,130140000,116810000,135758000,144102000,152924000,138266000,173072000
54,Long-Term Debt,- -,6000000,5900000,- -,1000000,72510,59683,98042000,98000000,98000000,98000000,98000000,98000000,103516000,89458000,92188000,94918000,100000000,215000000,215000000,203007000,133497000,139792000,174962000,150410000,101454000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,100000,1000000,1456817,2256817,562948,1164000,4281000,6446000,2377000,5560000,30923000,- -,- -,- -,10180000,6946000,5980000,- -,2034000,783000,1431000,226000,123000,51000
57,Other Non-Current Liabilities,- -,-100000,- -,- -,- -,- -,-2,- -,- -,995000,854000,17726000,2112000,2490000,6630000,6622000,23032000,9618000,4370000,7354000,7252000,5798000,5867000,33089000,27632000,24571000
58,Total Non-Current Liabilities,- -,6000000,6000000,1000000,2456817,2329327,622629,99206000,102281000,105441000,101231000,121286000,131035000,106006000,96088000,98810000,128130000,116564000,225350000,222354000,212293000,140078000,147090000,208277000,178165000,126076000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000,27000,- -,- -,- -,- -,- -,- -,- -,- -,35083000,26808000,18516000
61,Total Liabilities,2500000,17600000,20900000,45400000,44192212,39637290,48232817,151414000,245277000,229304000,272606000,291691000,281171000,261984000,220998000,221643000,347605000,301159000,416698000,352494000,329103000,275836000,291192000,361201000,316431000,299148000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,19485,20320,24473,25000,26000,27000,28000,28000,28000,28000,28000,26000,22000,23000,23000,21000,20000,27000,30000,36000,6000,10000
64,Retained Earnings,1600000,4400000,58700000,32300000,60946836,89179737,120451199,141055000,176564000,240057000,312432000,382288000,458345000,72835000,119884000,123174000,8836000,-48154000,-26645000,-3391000,-2148000,-85233000,-127601000,-183149000,-197423000,-203431000
65,Other Comprehensive Income/Loss,-300000,-1100000,-2200000,-5300000,-10653467,-17762905,-24639593,-349000,-1747000,-2789000,-3427000,-3446000,-4229000,-4228000,-4288000,-4141000,-4215000,-3849000,-6835000,-10051000,-17207000,-13059000,-15847000,-14422000,-12446000,-12952000
66,Other Total Stockholders Equity,10400000,22700000,- -,160500000,154217327,172966241,264741053,245219000,276642000,287356000,300255000,312127000,292809000,303474000,296784000,274532000,202577000,200665000,178051000,166421000,153623000,191809000,194155000,200475000,221590000,272941000
67,Total Stockholders Equity,11700000,26000000,37800000,187500000,204530181,244403393,360577132,385950000,451485000,524651000,609288000,690997000,746953000,372109000,412408000,393591000,207220000,148685000,144594000,153000000,134288000,93544000,50737000,2940000,11727000,56568000
68,Total Liabilities And Stockholders Equity,14200000,43600000,58700000,232900000,248722393,284040683,408809949,537364000,696762000,753955000,881894000,982688000,1028124000,634093000,633406000,615234000,554825000,449844000,561292000,505494000,463391000,369380000,341929000,364141000,328158000,355716000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490000,406000,912000,969000,912000,1081000,1211000,1331000
70,Total Liabilities & Equity,14200000,43600000,58700000,232900000,248722393,284040683,408809949,537364000,696762000,753955000,881894000,982688000,1028124000,634093000,633406000,615234000,554825000,449844000,561782000,505900000,464303000,370349000,342841000,365222000,329369000,357047000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009829/000095014800000576/0000950148-00-000576-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014801000545/0000950148-01-000545-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014802000871/0000950148-02-000871-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014803000692/0000950148-03-000692-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014804000601/0000950148-04-000601-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095014805000037/0000950148-05-000037-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000095012906002691/v09620e10vk.htm,https://www.sec.gov/Archives/edgar/data/1009829/000114420407013123/v068673_10k.htm,https://www.sec.gov/Archives/edgar/data/1009829/000114420408012758/v105444_10k.htm,https://www.sec.gov/Archives/edgar/data/1009829/000114420409011719/0001144204-09-011719-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000114420410013900/0001144204-10-013900-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752311001399/a6632499.htm,https://www.sec.gov/Archives/edgar/data/1009829/000115752312001404/0001157523-12-001404-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752313001430/0001157523-13-001430-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752314001096/a50823769.htm,https://www.sec.gov/Archives/edgar/data/1009829/000115752315000949/a51055556.htm,https://www.sec.gov/Archives/edgar/data/1009829/000115752316004933/0001157523-16-004933-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752317000818/0001157523-17-000818-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000115752318000578/0001157523-18-000578-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000162828019003040/0001628280-19-003040-index.html,https://www.sec.gov/Archives/edgar/data/1009829/000162828020007624/jakk-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1009829/000118518521000348/0001185185-21-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1009829/000118518522000288/0001185185-22-000288-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,2800000,6400000,22000000,28637395,28232901,31271462,20604000,43559000,63493000,72375000,88991000,76057000,-385510000,47049000,8472000,-104800000,-53906000,21509000,23254000,1243000,-83085000,-42368000,-55548000,-14274000,-6008000
74,Depreciation and Amortization,300000,1600000,3000000,4600000,9272917,12219545,9193328,8747000,21518000,15527000,26166000,26663000,27566000,35964000,28657000,25931000,24628000,24599000,21883000,20902000,22944000,21003000,17081000,17634000,10936000,10251000
75,Deferred Income Tax,- -,100000,100000,900000,442983,800000,431667,525000,795000,-5292000,-1043000,2644000,14367000,-88663000,-10168000,-628000,82394000,-129000,-371000,-329000,-259000,-1251000,210000,-1205000,-103000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7302000,4352000,4395000,1594000,1122000,1085000,1473000,1562000,1621000,3112000,2434000,2868000,2303000,2093000
77,Change in Working Capital,-2200000,-4500000,10400000,99400000,-26203027,29589597,12696211,103417219,-3057000,71911000,-21091000,75315000,-30617000,27128000,35063000,-12600000,-188071000,-50244000,109908000,5983000,-15659000,-89658000,-40870000,1420000,5101000,-45825000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46204000,17657000,7454000,27816000,1249000,4232000,-133293000,71129000,-10212000,19339000,10593000,3472000,14069000,- -
79,Inventory,-100000,-1800000,-1000000,-16900000,-10671318,-1489134,-10996095,-2654000,784000,-13272000,-8352000,1329000,-6553000,50848000,-8773000,-3020000,-10666000,12906000,-32043000,18283000,-14891000,17003000,4552000,-379000,15617000,-45312000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31324000,-19819000,-5268000,-16700000,12173000,-12518000,30838000,-21127000,10558000,-380000,9517000,4873000,-20761000,25017000
81,Other Working Capital,7800000,3300000,13700000,113100000,86896973,116486570,129182781,232600000,229543000,301454000,280363000,355678000,325061000,352189000,387252000,374652000,186581000,136337000,246245000,252228000,236569000,146911000,106041000,107461000,112562000,4177000
82,Other Non-Cash Items,- -,3200000,-7900000,-157300000,17841187,-57477540,12636823,-126107219,68575000,-74578000,-12697000,-105953000,-33880000,505498000,-37531000,21490000,208910000,56105000,-233488000,14916000,6833000,161273000,62889000,56657000,39604000,39489000
83,Cash Provided by Operating Activities,-700000,3200000,12000000,-30400000,29991455,13364503,66229491,7186000,131390000,71061000,63710000,87660000,60795000,98769000,67465000,44259000,24183000,-22490000,-79086000,66288000,16723000,11394000,-624000,21826000,43567000,- -
84,CAPEX,-1100000,-2900000,-3900000,-10300000,-13787805,-4971185,-6593600,-4471000,-5917000,-8270000,-11204000,-18116000,-22274000,-16330000,-11605000,-12455000,-21066000,-10129000,-10453000,-18327000,-15065000,-14928000,-11770000,-9415000,-8268000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109845000,-15605000,-79598000,-12253000,-1875000,-21429000,-52144000,-1636000,332000,60000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,-210000,-7000,- -,-7000,-5000,-2703000,-5000,-2000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,967000,19047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-21500000,-200000,-36300000,-47032195,-14397354,-81207490,-42986000,-68301000,-20244000,-655000,11000,-3033000,-1905000,292000,297000,-7529000,1014000,-2766000,-4149000,-300000,145000,128000,12000,78000,32000
89,Cash Used for Investing Activites,-1100000,-24400000,-5100000,-46600000,-60820000,-19368539,-87801090,-47457000,-73251000,-9467000,-121914000,-33717000,-104905000,-30495000,-13193000,-36290000,-72744000,-10753000,-12887000,-22196000,-15065000,-14783000,-11642000,-9403000,-8190000,-8189000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81499000,-20391000,-27000,- -,-131710000,-39000000,- -,-8035000,-40614000,-18178000,-32893000,-16978000,- -
91,Common Stock Issued,7700000,9800000,5400000,122500000,1171243,3069745,64978436,1777000,1682000,3173000,1584000,1765000,- -,- -,- -,- -,- -,- -,490000,- -,500000,19311000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-6087000,- -,- -,- -,- -,-30001000,-1498000,-10372000,-25622000,-80103000,-34000,-24002000,-13194000,-14968000,-79000,-85000,-273000,-174000,-164000
93,Dividends Paid,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5182000,-9538000,-3084000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,300000,7600000,-2400000,- -,1386320,-1304930,-30214,94350000,-61000,- -,1509000,1053000,2381000,100040000,- -,1774000,70265000,95821000,108555000,-188000,10548000,- -,26244000,27399000,6206000,-32623000
95,Cash Used/Provided by Financing Activities,8000000,17400000,3000000,122100000,2557563,1764815,64948222,90040000,1621000,3173000,3093000,2818000,-27620000,17043000,-30763000,-29057000,-19376000,-39007000,46043000,-13382000,-11955000,-21382000,7981000,-5767000,-10946000,-32787000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1398000,-1073000,-638000,- -,- -,- -,- -,- -,- -,- -,384000,293000,-6167000,3684000,-2487000,1425000,1976000,-506000
97,Net Change In Cash,8000000,17400000,3000000,45000000,-28270982,-4239221,43376623,49769000,58362000,63694000,-55749000,56761000,-71730000,85317000,23509000,-21088000,-67937000,-72250000,-45546000,31003000,-16464000,-21087000,-6772000,8081000,26407000,-32787000
98,Cash at the End of Period,- -,- -,- -,57500000,29275424,25036203,68412826,118182000,176544000,240238000,184489000,241250000,169520000,254837000,278346000,257258000,189321000,117071000,71525000,102528000,86064000,64977000,58205000,66286000,92693000,45332000
99,Cash at the Beginning of Period,100000,6400000,2500000,12500000,57546406,29275424,25036203,68413000,118182000,176544000,240238000,184489000,241250000,169520000,254837000,278346000,257258000,189321000,117071000,71525000,102528000,86064000,64977000,58205000,66286000,- -
100,Free Cash Flow,-1800000,300000,8100000,-40700000,16203650,8393318,59635891,2715000,125473000,62791000,52506000,69544000,38521000,82439000,55860000,31804000,3117000,-32619000,-89539000,47961000,1658000,-3534000,-12394000,12411000,35299000,- -
