,https://roic.ai/company/ZBH,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,150000000,152300000,200000000,257600000,527700000,536000000,583700000,638300000,727800000,928300000,913200000,936400000,929800000,995300000,1074500000,1169000000,2254100000,1959400000,2081800000,2256500000,2385000000,2450700000,2394500000
36,Other Current Assets,- -,- -,84000000,78400000,108500000,124300000,247100000,345500000,234500000,216700000,216700000,304900000,315300000,363400000,284200000,272900000,379000000,512100000,538400000,465700000,414500000,352300000,357100000,377800000,607100000
37,Total Current Assets,- -,- -,430000000,419400000,508600000,612400000,1338700000,1560900000,1575600000,1746200000,2082700000,2178600000,2738000000,3009700000,3276600000,3708700000,4197700000,4289000000,5862900000,4663600000,4515300000,4427400000,4723900000,5083300000,4885000000
38,PP&E,- -,- -,114000000,118500000,148200000,157800000,525200000,628500000,708800000,807100000,971900000,1264100000,1221700000,1213800000,1207300000,1210700000,1224700000,1288800000,2062600000,2037900000,2038600000,2015400000,2077400000,2047700000,2016500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,2515600000,2621400000,2774800000,2783500000,2580800000,2626000000,2571800000,2611200000,2514200000,9934200000,10643900000,10668400000,9594400000,9599700000,9261800000,9192200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,3052300000,3323700000,3185400000,712600000,743800000,872100000,858000000,827100000,798500000,740700000,707700000,603500000,8746300000,8785400000,8353400000,7684600000,7257600000,7055500000,6299800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,3052300000,3323700000,3185400000,3228200000,3365200000,3646900000,3641500000,3407900000,3424500000,3312500000,3318900000,3117700000,18680500000,19429300000,19021800000,17279000000,16857300000,16317300000,15492000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,40000000,66800000,70100000,161200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,62000000,19500000,21400000,18600000,78600000,182400000,252100000,192900000,213900000,149400000,184300000,368500000,606900000,780500000,839300000,939200000,613500000,553600000,388800000,405000000,980100000,969400000,1062900000
45,Total Non-Current Assets,- -,- -,176000000,178000000,236400000,246500000,3817300000,4134600000,4146300000,4228200000,4551000000,5060400000,5047500000,4990200000,5238700000,5303700000,5382900000,5345700000,21356600000,22020800000,21449200000,19699400000,19914800000,19334400000,18571400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,606000000,597400000,745000000,858900000,5156000000,5695500000,5721900000,5974400000,6633700000,7239000000,7785500000,7999900000,8515300000,9012400000,9580600000,9634700000,27219500000,26684400000,25964500000,24126800000,24638700000,24417700000,23456400000
48,Accounts Payable,- -,- -,98000000,50100000,67400000,59800000,127600000,131600000,123600000,158000000,174100000,186400000,134600000,129600000,143300000,184100000,146300000,167100000,284800000,364500000,330200000,362600000,400900000,330000000,- -
49,Short-Term Debt,- -,- -,- -,- -,150000000,156700000,101300000,27500000,- -,- -,- -,- -,- -,- -,143300000,100100000,500000,- -,- -,575600000,1225000000,525000000,1500000000,500000000,1605100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,57500000,48900000,8600000,22800000,221200000,72400000,147200000,183500000,165200000,142400000,126700000,59500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000000,- -
