,https://roic.ai/company/SYY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0184,0.0169,0.0183,0.0157,0.0175,0.0189,0.0194,0.0201,0.0198,0.0208,0.0207,0.0210,0.0194,0.0208,0.0231,0.0274,0.0291,0.0298,0.0309,0.0317,0.0262,0.0286,0.0295,0.0287,0.0317,0.0293,0.0265,0.0223,0.0200,0.0141,0.0189,0.0206,0.0244,0.0279,0.0041,0.0102
25,EPS,0.09,0.09,0.12,0.15,0.19,0.21,0.24,0.27,0.29,0.34,0.38,0.43,0.43,0.55,0.68,0.90,1.03,1.20,1.41,1.51,1.38,1.62,1.83,1.77,1.99,1.96,1.91,1.68,1.59,1.16,1.66,2.10,2.74,3.24,0.42,1.03
26,EPS Diluted,0.09,0.09,0.12,0.15,0.19,0.21,0.24,0.27,0.29,0.34,0.38,0.43,0.43,0.54,0.67,0.88,1.01,1.18,1.37,1.47,1.36,1.60,1.81,1.77,1.99,1.96,1.90,1.67,1.58,1.15,1.64,2.08,2.70,3.20,0.42,1.02
27,Weighted Average Shares Outstanding,647777778,686666667,668333333,719333333,697368421,732380952,717500000,747407407,734915254,729855072,728684211,707602339,682068966,664770642,660130370,665551228,659987379,648573333,643414184,636726490,619800725,617948148,605905545,595127577,592157221,586526142,587726343,589397807,585988084,592072308,573057406,543496816,522926914,516890581,510121071,510696398
28,Weighted Average Shares Outstanding Diluted,647777778,686666667,668333333,719333333,697368421,732380952,717500000,747407407,734915254,729855072,728684211,729310345,690000000,670925926,670057143,677949351,673056436,659566102,662200000,654052381,628915441,625672500,610970783,596069204,593590042,588691546,588991441,592675110,590216220,596849034,577391406,548545027,529089854,523381124,514025974,513555088
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012994000711/0000950129-94-000711-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012995001268/0000950129-95-001268-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012900004742/0000950129-00-004742-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012907004350/0000950129-07-004350-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012908004642/0000950129-08-004642-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012309037707/0000950123-09-037707-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012310082514/0000950123-10-082514-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012311081150/0000950123-11-081150-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602112000062/0000096021-12-000062-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602113000073/0000096021-13-000073-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602114000040/0000096021-14-000040-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602115000057/0000096021-15-000057-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602116000275/syy201610-k.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602117000120/0000096021-17-000120-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602118000126/0000096021-18-000126-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602119000093/syy2019q410-k.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602120000100/0000096021-20-000100-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602121000093/0000096021-21-000093-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,87000000,134000000,108000000,118000000,110000000,149000000,159000000,135743000,230000000,337000000,200000000,192000000,201897000,207872000,552000000,1087000000,585000000,640000000,688867000,412000000,413000000,5130044000,3919300000,869502000,552325000,513460000,6059427000,3007123000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,87000000,134000000,108000000,118000000,110000000,149000000,159000000,135743000,230000000,337000000,200000000,192000000,201897000,207872000,552000000,1087000000,609000000,640000000,688867000,412000000,413000000,5130044000,3919300000,869502000,552325000,513460000,6059427000,3007123000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,856000000,933000000,1040000000,1065000000,1216000000,1334000000,1519000000,1658044000,1761000000,2010000000,2192000000,2284000000,2483720000,2610885000,2723000000,2469000000,2625000000,2947000000,2966624000,3201000000,3442000000,3444144000,3380971000,4029153000,4137835000,4201429000,3001557000,3790269000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,602000000,668000000,724000000,734000000,791000000,852000000,938000000,1061893000,1118000000,1230000000,1404000000,1466000000,1608233000,1714187000,1836000000,1651000000,1772000000,2074000000,2178830000,2396000000,2602000000,2691823000,2639174000,2995598000,3125413000,3216034000,3095085000,3695219000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,55000000,52000000,50000000,47000000,63000000,74000000,117000000,129202000,76000000,53000000,55000000,60000000,105844000,142602000,64000000,64000000,70000000,72000000,250487000,198000000,225000000,228293000,114454000,139185000,187880000,210582000,192163000,240956000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1600000000,1787000000,1922000000,1964000000,2180000000,2409000000,2733000000,2984882000,3185000000,3630000000,3851000000,4002000000,4399694000,4675546000,5175000000,5271000000,5076000000,5733000000,6084808000,6207000000,6682000000,11494304000,10053899000,8033438000,8003453000,8141505000,12348232000,10733567000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,817000000,896000000,991000000,1058000000,1151000000,1228000000,1345000000,1518593000,1698000000,1923000000,2167000000,2268000000,2464900000,2721233000,2890000000,2979000000,3204000000,3512000000,3883750000,3978000000,3986000000,3982143000,3880442000,4377302000,4521660000,4501705000,5062183000,5035226000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1302591000,1355313000,1413000000,1511000000,1550000000,1633000000,1665611000,1884000000,1951000000,1959817000,2121661000,3916128000,3955485000,3896226000,3732469000,3944139000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,266000000,258000000,250000000,247000000,308000000,302000000,503000000,768837000,922000000,1114000000,1219000000,1284000000,95651000,91366000,88000000,121000000,106000000,110000000,113571000,193000000,177000000,154808000,207461000,1037511000,979812000,857301000,780172000,746073000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,266000000,258000000,250000000,247000000,308000000,302000000,503000000,768837000,922000000,1114000000,1219000000,1284000000,1398242000,1446679000,1501000000,1632000000,1656000000,1743000000,1779182000,2077000000,2128000000,2114625000,2329122000,4953639000,4935297000,4753527000,4512641000,4690212000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124488000,- -,- -,- -,- -,- -,- -,163700000,- -,168400000,162900000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,186000000,205000000,231000000,237000000,232000000,244000000,246000000,- -,442000000,498000000,687000000,725000000,- -,- -,540000000,526000000,272000000,204000000,- -,266000000,122000000,81591000,26942000,161715000,83666000,172232000,86601000,352523000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-57000000,-51000000,-69000000,-69000000,-91000000,-86000000,-13000000,196209000,-257000000,-228000000,-76000000,-11000000,729189000,675473000,-24000000,-191000000,-18488000,194000000,347232000,136000000,250000000,316618000,431399000,66861000,526328000,229153000,455709000,602011000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1212000000,1308000000,1403000000,1473000000,1600000000,1688000000,2081000000,2483639000,2805000000,3307000000,3997000000,4266000000,4592331000,4843385000,4907000000,4946000000,5238000000,5653000000,6010164000,6457000000,6486000000,6494977000,6667905000,9723217000,10066951000,9825017000,10280034000,10679972000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,2812000000,3095000000,3325000000,3437000000,3780000000,4097000000,4814000000,5468521000,5990000000,6937000000,7848000000,8268000000,8992025000,9518931000,10082000000,10217000000,10314000000,11386000000,12094972000,12664000000,13168000000,17989281000,16721804000,17756655000,18070404000,17966522000,22628266000,21413539000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,632000000,708000000,779000000,828000000,849000000,1013000000,1187000000,1271817000,1349000000,1638000000,1743000000,1796000000,1891357000,1981190000,2049000000,1857000000,1953000000,2183000000,2209469000,2463000000,2831000000,2881953000,2935982000,3971112000,4136482000,4314620000,3447065000,4884781000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5000000,1000000,9000000,14000000,42000000,13000000,31000000,53907000,66000000,122769000,236667000,474931000,135565000,22468000,4896000,9163000,7970000,389006000,254650000,248933000,375752000,5050052000,98472000,534013000,786505000,41279000,1651561000,597582000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323983000,- -,- -,50316000,- -,- -,- -,110690000,14540000,56793000,17343000,2938000,22644000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178022000,146083000,- -,136211000,141225000,135254000,207320000,142472000,- -,80760000,194115000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,210000000,236000000,250000000,272000000,433000000,402000000,565000000,764171000,824000000,940231000,1147333000,1187069000,1199481000,1411431000,1445104000,1283837000,870008000,856911000,959460000,900856000,1020023000,1332356000,1192682000,1448289000,1665759000,1666524000,1425112000,1837481000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,847000000,945000000,1038000000,1114000000,1324000000,1428000000,1783000000,2089895000,2239000000,2701000000,3127000000,3458000000,3226403000,3415089000,3499000000,3150000000,3009000000,3575000000,3423579000,3749000000,4368000000,9399615000,4434456000,6095886000,6588746000,6103183000,6717853000,7319844000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,539000000,542000000,582000000,686000000,867000000,998000000,1024000000,961421000,1176000000,1249000000,1231000000,956000000,1627127000,1758227000,1975000000,2467000000,2473000000,2280000000,2763688000,2640000000,2384000000,2271825000,7336930000,7660877000,7540765000,8122058000,12902485000,11222665000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269685000,- -,- -,- -,- -,723349000,626695000,- -,- -,1014521000,204223000,115166000,266222000,121580000,81591000,26942000,161715000,319124000,172232000,86601000,147066000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,185000000,204000000,231000000,236000000,232000000,243000000,245000000,- -,442000000,789000000,925000000,1095000000,362862000,440520000,1199000000,1150000000,-10521000,620777000,1107499000,816778000,1027420000,976026000,1443868000,1456661000,1114812000,1066446000,1762714000,1171068000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,724000000,746000000,813000000,922000000,1099000000,1241000000,1269000000,1231106000,1618000000,2038000000,2156000000,2051000000,2713338000,2825442000,3174000000,3617000000,3477000000,3105000000,3986353000,3723000000,3533000000,3329442000,8807740000,9279253000,8974701000,9360736000,14751800000,12540799000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630663000,737140000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1571000000,1691000000,1851000000,2036000000,2423000000,2669000000,3052000000,3321001000,3857000000,4739000000,5283000000,5509000000,5939741000,6240531000,6673000000,6767000000,6486000000,6680000000,7409932000,7472000000,7901000000,12729057000,13242196000,15375139000,15563447000,15463919000,21469653000,19860643000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,191000000,191000000,191000000,191000000,383000000,383000000,383000000,765175000,765000000,765000000,765000000,765000000,765175000,765175000,765000000,765000000,765000000,765000000,765175000,765000000,765000000,765175000,765175000,765175000,765175000,765175000,765175000,765175000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1201000000,1379000000,1569000000,1772000000,1796000000,2032000000,2332000000,2462145000,2869000000,3374000000,3960000000,4552000000,4999440000,5544078000,6041000000,6540000000,7134000000,7682000000,8175230000,8513000000,8771000000,8751985000,9006138000,9447755000,10348628000,11229679000,10563008000,10151706000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-590000000,-673000000,-764000000,-874000000,-992000000,-1089000000,-1215000000,-1377105000,-130000000,-152381000,17640000,-13677000,84618000,-4061000,-68768000,-277986000,-480251000,-259958000,-662866000,-446937000,-642663000,-923197000,-1358118000,-1262737000,-1409269000,-1599729000,-1710881000,-1148764000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,439000000,507000000,479000000,311000000,170000000,101000000,262000000,297305000,- -,-1789088000,-2178134000,-2544484000,- -,-3026792000,-3328246000,-3577312000,-3591223000,-3481800000,-3592499000,-3639253000,-3626642000,-3333739000,-4933587000,-6568677000,-7197577000,-7892522000,-8458689000,-8215221000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1241000000,1404000000,1475000000,1400000000,1357000000,1427000000,1762000000,2147520000,2133000000,2197531000,2564506000,2758839000,3052284000,3278400000,3408986000,3449702000,3827526000,4705242000,4685040000,5191810000,5266695000,5260224000,3479608000,2381516000,2506957000,2502603000,1158613000,1552896000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,2812000000,3095000000,3326000000,3436000000,3780000000,4096000000,4814000000,5468521000,5990000000,6936531000,7847506000,8267839000,8992025000,9518931000,10081986000,10216702000,10313526000,11385242000,12094972000,12663810000,13167695000,17989281000,16721804000,17756655000,18070404000,17966522000,22628266000,21413539000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,- -,1000000,- -,- -,- -,469000,494000,161000,- -,- -,14000,298000,474000,758000,- -,190000,305000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,2812000000,3095000000,3325000000,3437000000,3780000000,4097000000,4814000000,5468521000,5990000000,6937000000,7848000000,8268000000,8992025000,9518931000,10082000000,10217000000,10314000000,11386000000,12094972000,12664000000,13168000000,17989281000,16721804000,17756655000,18070404000,17966522000,22628266000,21413539000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/96021/000095012994000711/0000950129-94-000711-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012995001268/0000950129-95-001268-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012900004742/0000950129-00-004742-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012907004350/0000950129-07-004350-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012908004642/0000950129-08-004642-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012309037707/0000950123-09-037707-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012310082514/0000950123-10-082514-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012311081150/0000950123-11-081150-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602112000062/0000096021-12-000062-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602113000073/0000096021-13-000073-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602114000040/0000096021-14-000040-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602115000057/0000096021-15-000057-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602116000275/syy201610-k.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602117000120/0000096021-17-000120-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602118000126/0000096021-18-000126-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602119000093/syy2019q410-k.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602120000100/0000096021-20-000100-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602121000093/0000096021-21-000093-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,107900000,132500000,153800000,172200000,201800000,217000000,252000000,277000000,303000000,297000000,362000000,446000000,596909000,680000000,778000000,907000000,961000000,855325000,1001076000,1106000000,1056000000,1180000000,1152000000,1121585000,992000000,932000000,686773000,949622000,1142503000,1430766000,1674271000,215475000,524209000
74,Depreciation and Amortization,- -,- -,- -,76800000,84400000,92200000,99500000,107700000,120000000,130800000,144700000,160300000,181200000,205000000,220661000,248240000,278251000,273142000,283595000,316743000,345062000,362559000,372529000,382339000,389976000,402588000,416943000,512548000,556062000,553021000,662710000,901992000,765498000,763935000,914141000,851822000
75,Deferred Income Tax,- -,- -,- -,5800000,23700000,22500000,13900000,13300000,23300000,23400000,16100000,11100000,-15100000,5700000,-25528000,6199000,263492000,481330000,608152000,554850000,482111000,545971000,643480000,-294162000,-121865000,-165239000,-177906000,-28129000,-30665000,-4705000,93871000,-51846000,187908000,-126719000,-191317000,-157864000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56030000,66358000,59235000,70319000,70147000,74328000,73766000,79466000,83883000,93841000,104904000,42234000,95815000
77,Change in Working Capital,- -,- -,- -,-57200000,- -,- -,- -,- -,753000000,89000000,42000000,-34000000,6000000,125000000,-31000000,-55013000,51013000,-17000000,-205000000,-180000000,629291000,87166000,415543000,445000000,-54000000,91000000,503229000,-203229000,-144000000,-219311000,3524754000,-3681891000,-522845000,623615000,3592057000,-2216656000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-49600000,1100000,-21100000,-27200000,-38100000,-58300000,-65900000,-56100000,-6900000,-48500000,-61500000,-56943000,-54119000,-17804000,-69959000,-162502000,-35014000,-119392000,-95932000,-110925000,177590000,-106172000,-254738000,-99218000,-180277000,-195845000,-125232000,66937000,-113647000,-89737000,-114667000,114563000,-551405000
