,https://roic.ai/company/GS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,2708000000,3067000000,2310000000,2114000000,3005000000,4553000000,5626000000,9537000000,11599000000,2322000000,13385000000,8354000000,4442000000,7475000000,8040000000,8477000000,6083000000,7398000000,4286000000,10459000000,8466000000,9459000000,21635000000
24,Net Income ratio,0.1068,0.0929,0.1461,0.0925,0.1272,0.1526,0.1297,0.1375,0.2522,0.0433,0.3122,0.2133,0.1542,0.2339,0.2523,0.2647,0.1947,0.2637,0.1451,0.3130,0.2317,0.2123,0.3646
25,EPS,5.69,6.33,4.53,4.27,6.15,9.30,11.73,20.93,26.34,4.67,23.74,14.15,4.71,14.63,16.34,17.55,12.35,16.53,9.12,25.53,21.18,24.94,60.70
26,EPS Diluted,5.57,6.00,4.26,4.03,5.87,8.92,11.21,19.69,24.73,4.47,22.13,13.18,4.51,14.13,15.46,17.07,12.14,16.29,9.01,25.27,21.03,24.74,60.70
27,Weighted Average Shares Outstanding,475883756,484600000,509700000,495600000,488400000,489500000,478100000,449000000,433000000,437000000,512300000,542000000,524600000,496200000,471300000,458900000,448900000,427400000,401600000,385400000,371600000,356400000,346600000
28,Weighted Average Shares Outstanding Diluted,485803960,511500000,541800000,525100000,511900000,510500000,500200000,477400000,461200000,456200000,550900000,585300000,556900000,516100000,499600000,473200000,458600000,435100000,409100000,390200000,375500000,360300000,352300000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/886982/000095012302001815/y57552e10-k405.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012303002099/y83718e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012304002239/y94357e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012305001271/e05053e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012306001208/y16720e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012307001332/y29219e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012308000857/y46519e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012309001278/0000950123-09-001278-index.html,- -,https://www.sec.gov/Archives/edgar/data/886982/000095012311020067/y88213e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/0001193125-12-085822-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312513085474/0001193125-13-085474-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312514073792/d655877d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312515056785/d840464d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/0001193125-16-470289-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312517056804/0001193125-17-056804-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/0001193125-21-049380-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/0001193125-22-052682-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3055000000,3870000000,6909000000,4822000000,7087000000,4365000000,10261000000,6293000000,11882000000,15740000000,38291000000,39788000000,56008000000,72669000000,61133000000,57600000000,75105000000,121711000000,110051000000,130547000000,133546000000,155842000000,261000000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,526000000,- -
33,Cash and Short-Term Investments,3055000000,3870000000,6909000000,4822000000,7087000000,4365000000,10261000000,6293000000,11882000000,15740000000,38291000000,39788000000,56008000000,72669000000,61133000000,57600000000,75105000000,121711000000,110051000000,130547000000,133546000000,156368000000,261000000000
34,Net Receivables,34630000000,39286000000,5453000000,28938000000,36377000000,52545000000,75381000000,93013000000,22887000000,90564000000,79584000000,88126000000,82788000000,117208000000,121295000000,103214000000,82739000000,74921000000,94002000000,87556000000,80404000000,128387000000,161000000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,323853000000,419892000000,561301000000,644986000000,1070960000000,650750000000,370881000000,766790000000,770264000000,735362000000,715507000000,-103214000000,-82739000000,-74921000000,-94002000000,-87556000000,-22577000000,435390000000,- -
37,Total Current Assets,- -,- -,- -,- -,367317000000,476802000000,646943000000,744292000000,1105729000000,757054000000,488756000000,894704000000,909060000000,925239000000,897935000000,57600000000,75105000000,121711000000,110051000000,130547000000,191373000000,720145000000,- -
38,PP&E,- -,- -,- -,- -,3527000000,4083000000,5097000000,6990000000,8975000000,10793000000,11380000000,11106000000,8697000000,8217000000,9196000000,9344000000,9956000000,12070000000,15094000000,18317000000,24246000000,25427000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3543000000,3495000000,3802000000,- -,- -,- -,- -,- -,- -,- -,4196000000,4332000000,- -
40,Intangible Assets,- -,- -,- -,1980000000,1820000000,1689000000,2055000000,2502000000,- -,1677000000,1377000000,2027000000,1666000000,- -,- -,- -,- -,- -,- -,- -,641000000,630000000,- -
41,Intangible Assets,- -,- -,- -,1980000000,1820000000,1689000000,2055000000,2502000000,5092000000,1677000000,4920000000,5522000000,5468000000,5099000000,4376000000,4160000000,4148000000,4095000000,4038000000,4082000000,4837000000,4962000000,- -
42,Investments,166110000000,179934000000,- -,133968000000,158833000000,203265000000,243205000000,337325000000,454609000000,339779000000,343886000000,358398000000,364870000000,407464000000,339538000000,312608000000,294198000000,296171000000,315988000000,336161000000,374017000000,412494000000,464000000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9135000000,17132000000,- -,20389000000,-127698000000,-154460000000,-190496000000,-252908000000,-454609000000,-224756000000,- -,-358398000000,-364870000000,-407464000000,-339538000000,472528000000,477988000000,426118000000,471605000000,442689000000,398495000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,36482000000,54577000000,59861000000,93909000000,14067000000,127493000000,360186000000,16628000000,14165000000,13316000000,13572000000,798640000000,786290000000,738454000000,806725000000,801249000000,801595000000,442883000000,- -
46,Other Assets,250491000000,289760000000,312218000000,355574000000,- -,- -,- -,- -,- -,- -,1209128000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1605911000000,1463000000000
47,Total Assets,250491000000,289760000000,312218000000,355574000000,403799000000,531379000000,706804000000,838201000000,1119796000000,884547000000,848942000000,911332000000,923225000000,938555000000,911507000000,856240000000,861395000000,860165000000,916776000000,931796000000,992968000000,1163028000000,1463000000000
48,Accounts Payable,59534000000,82148000000,- -,95590000000,109028000000,161221000000,188318000000,223874000000,- -,253843000000,185634000000,190504000000,198292000000,194485000000,204765000000,213572000000,210362000000,188455000000,178169000000,180235000000,174817000000,190658000000,252000000000
49,Short-Term Debt,77939000000,64467000000,37597000000,40638000000,44202000000,54959000000,55219000000,72194000000,103967000000,73883000000,50447000000,72371000000,78223000000,67349000000,61982000000,60100000000,57020000000,52383000000,61818000000,50057000000,55611000000,66088000000,47000000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,2639000000,2546000000,2865000000,4022000000,2042000000,533000000,2724000000,1974000000,1533000000,1280000000,1794000000,4051000000,2864000000,2947000000,3155000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,81921000000,95220000000,225374000000,161632000000,171455000000,209424000000,335258000000,357371000000,775555000000,306774000000,- -,382854000000,394607000000,424735000000,397804000000,324951000000,321343000000,334943000000,366967000000,375292000000,453117000000,- -,- -
53,Total Current Liabilities,219394000000,241835000000,262971000000,297860000000,324685000000,425604000000,578795000000,653439000000,879522000000,634500000000,236081000000,645729000000,671122000000,686569000000,664551000000,598623000000,588725000000,575781000000,606954000000,605584000000,683545000000,256746000000,299000000000
54,Long-Term Debt,20952000000,31395000000,31016000000,38711000000,57482000000,80696000000,100007000000,148976000000,164174000000,185678000000,196288000000,174399000000,210909000000,177630000000,168966000000,175663000000,186443000000,198075000000,227598000000,236027000000,219029000000,228301000000,254000000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,33300000000,- -,- -,13848000000,-29185000000,-1360000000,-477000000,-843000000,-501000000,-584000000,-19000000,- -,129000000,- -,- -
58,Total Non-Current Liabilities,20952000000,31395000000,31016000000,38711000000,57482000000,80696000000,100007000000,148976000000,197474000000,185678000000,196288000000,188247000000,181724000000,176270000000,168489000000,174820000000,185942000000,197491000000,227579000000,236027000000,219158000000,228301000000,254000000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738435000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1038651000000,1308000000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2385000000,2283000000,- -
61,Total Liabilities,240346000000,273230000000,293987000000,336571000000,382167000000,506300000000,678802000000,802415000000,1069731000000,820178000000,778228000000,833976000000,852846000000,862839000000,833040000000,773443000000,774667000000,773272000000,834533000000,841611000000,902703000000,1067096000000,1353000000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1750000000,3100000000,3100000000,16471000000,6957000000,6957000000,3100000000,6200000000,7200000000,9200000000,11200000000,11203000000,11853000000,11203000000,11203000000,11203000000,- -
63,Common Stock,4000000,5000000,5000000,5000000,5000000,6000000,6000000,6000000,6000000,7000000,8000000,8000000,8000000,8000000,8000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,- -
64,Retained Earnings,444000000,3294000000,5373000000,7259000000,9914000000,13970000000,19085000000,27868000000,38642000000,39913000000,50252000000,57163000000,58834000000,65223000000,71961000000,78984000000,83386000000,89039000000,91519000000,100100000000,106465000000,112947000000,- -
65,Other Comprehensive Income/Loss,-4002000000,-4016000000,- -,2527000000,2651000000,1907000000,3415000000,21000000,-118000000,-202000000,-362000000,-286000000,-516000000,-193000000,-524000000,-743000000,-718000000,-1216000000,-1880000000,693000000,-1484000000,-1434000000,-2068000000
66,Other Total Stockholders Equity,13699000000,17247000000,12853000000,9212000000,9062000000,9196000000,3746000000,4791000000,1170000000,8180000000,13859000000,13514000000,8953000000,4478000000,-178000000,-4653000000,-7149000000,-12142000000,-19258000000,-21820000000,-25928000000,-26793000000,- -
67,Total Stockholders Equity,10145000000,16530000000,18231000000,19003000000,21632000000,25079000000,28002000000,35786000000,42800000000,64369000000,70714000000,77356000000,70379000000,75716000000,78467000000,82797000000,86728000000,86893000000,82243000000,90185000000,90265000000,95932000000,110000000000
68,Total Liabilities And Stockholders Equity,250491000000,289760000000,312218000000,355574000000,403799000000,531379000000,706804000000,838201000000,1112531000000,884547000000,848942000000,911332000000,923225000000,938555000000,911507000000,856240000000,861395000000,860165000000,916776000000,931796000000,992968000000,1163028000000,1463000000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,7265000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,250491000000,289760000000,312218000000,355574000000,403799000000,531379000000,706804000000,838201000000,1119796000000,884547000000,848942000000,911332000000,923225000000,938555000000,911507000000,856240000000,861395000000,860165000000,916776000000,931796000000,992968000000,1163028000000,1463000000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/886982/000095012302001815/y57552e10-k405.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012303002099/y83718e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012304002239/y94357e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012305001271/e05053e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012306001208/y16720e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012307001332/y29219e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012308000857/y46519e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012309001278/0000950123-09-001278-index.html,- -,https://www.sec.gov/Archives/edgar/data/886982/000095012311020067/y88213e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/0001193125-12-085822-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312513085474/0001193125-13-085474-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312514073792/d655877d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312515056785/d840464d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/0001193125-16-470289-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312517056804/0001193125-17-056804-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/0001193125-21-049380-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/0001193125-22-052682-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2708000000,3067000000,2310000000,2114000000,3005000000,4553000000,5626000000,9537000000,11599000000,2322000000,13385000000,8354000000,4442000000,7475000000,8040000000,8477000000,6083000000,7398000000,4286000000,10459000000,8466000000,9459000000,21635000000
74,Depreciation and Amortization,337000000,486000000,873000000,744000000,881000000,624000000,854000000,995000000,1167000000,1625000000,1943000000,1904000000,1869000000,1738000000,1322000000,1337000000,991000000,998000000,1152000000,1328000000,1704000000,1902000000,- -
75,Deferred Income Tax,-1387000000,-352000000,52000000,230000000,93000000,1040000000,-450000000,-1505000000,129000000,-1763000000,-431000000,1339000000,726000000,-356000000,29000000,495000000,425000000,551000000,5458000000,-2645000000,-334000000,-833000000,5000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3654000000,4465000000,1611000000,2009000000,4035000000,2849000000,1319000000,2015000000,2085000000,2272000000,2111000000,1769000000,1831000000,2018000000,1920000000,2348000000
77,Change in Working Capital,-2537000000,-22441000000,-21136000000,-34889000000,340492000000,8566000000,16950000000,22705000000,135354000000,-103653000000,-122554000000,248975000000,-11037000000,732000000,-5286000000,-774407000000,27403000000,59550000000,-42833000000,21866000000,-17135000000,492172000000,302800000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,20520000000,53857000000,-50000000,-47414000000,-5437000000,13027000000,-17661000000,1631000000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-219394000000,-241835000000,-262971000000,-297860000000,42632000000,51198000000,68148000000,90853000000,226207000000,122554000000,- -,248975000000,237938000000,238670000000,233384000000,-541023000000,-513620000000,-454070000000,-496903000000,-475037000000,-492172000000,- -,302800000000
82,Other Non-Cash Items,-11710000000,30375000000,2725000000,21724000000,-360126000000,-48395000000,-35393000000,-83003000000,-220911000000,101752000000,154523000000,-270764000000,22796000000,1971000000,-1577000000,754390000000,-30213000000,-65038000000,12426000000,-12418000000,29149000000,-518348000000,-325867000000
83,Cash Provided by Operating Activities,-12589000000,11135000000,-15176000000,-10077000000,-15655000000,-33612000000,-12413000000,-47617000000,-68197000000,1894000000,48875000000,-6157000000,21645000000,12879000000,4543000000,-7623000000,6961000000,5570000000,-17742000000,20421000000,23868000000,-13728000000,921000000
84,CAPEX,-843000000,-3540000000,-1370000000,-1008000000,-592000000,-608000000,-1421000000,-1744000000,-2130000000,-2027000000,-1556000000,-1227000000,-1184000000,-961000000,-706000000,-678000000,-1833000000,-2876000000,-3185000000,-7982000000,-8443000000,-6309000000,-4667000000
85,Acquisitions Net,- -,- -,-314000000,-68000000,-697000000,-255000000,-556000000,-1661000000,-1900000000,-2613000000,-221000000,-804000000,-431000000,-593000000,-2274000000,-1732000000,-1808000000,14922000000,-2383000000,-162000000,-803000000,-231000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-12922000000,-872000000,-3851000000,-2722000000,-1885000000,-2752000000,-5220000000,-738000000,- -,- -,- -,-9853000000,-3790000000,-29773000000,-48670000000,-39912000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,274000000,6510000000,5205000000,4033000000,2856000000,3659000000,5774000000,5732000000,3320000000,1514000000,1019000000,1512000000,2887000000,411000000,17812000000,29057000000,45701000000
88,Other Investing Activites,-654000000,-3656000000,-1595000000,-1035000000,-1964000000,-608000000,-782000000,69000000,93000000,121000000,82000000,72000000,78000000,-2692000000,-8330000000,-14013000000,-15952000000,-4288000000,-16582000000,-11154000000,-3029000000,-8203000000,-31587000000
89,Cash Used for Investing Activites,-654000000,-3656000000,-1909000000,-1103000000,-2661000000,-863000000,-1064000000,-9748000000,396000000,-4337000000,-1561000000,-185000000,1485000000,-3734000000,-8728000000,-14909000000,-18574000000,9270000000,-29116000000,-22677000000,-24236000000,-34356000000,-30465000000
90,Debt Repayment,-753000000,-782000000,-144000000,-8358000000,-7471000000,-10198000000,-22340000000,-20930000000,-22178000000,-46232000000,-35685000000,-27456000000,-38065000000,-48011000000,-34103000000,-37385000000,-36023000000,-43932000000,-35482000000,-46725000000,-51610000000,-59188000000,-52608000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,1613000000,791000000,6105000000,6260000000,581000000,368000000,317000000,65000000,123000000,259000000,6000000,7000000,38000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-7817000000,-8956000000,-2034000000,-9576000000,-4183000000,-9905000000,-4640000000,-6175000000,-5469000000,-4135000000,-7249000000,-7859000000,-3979000000,-6435000000,-2278000000,-5200000000
93,Dividends Paid,-107000000,-217000000,-231000000,-228000000,-350000000,-497000000,-511000000,-754000000,-831000000,-850000000,-2205000000,-1443000000,-2771000000,-1086000000,-1302000000,-1454000000,-1681000000,-1706000000,-1769000000,-1810000000,-2104000000,-2336000000,-2725000000
94,Other Financing Activites,14322000000,-5665000000,20499000000,17679000000,28402000000,42448000000,42224000000,81285000000,104564000000,50912000000,18378000000,40340000000,43463000000,60936000000,34164000000,63184000000,70698000000,66313000000,80301000000,75228000000,63516000000,134182000000,195271000000
95,Cash Used/Provided by Financing Activities,13462000000,-6664000000,20124000000,9093000000,20581000000,31753000000,19373000000,53397000000,73390000000,7901000000,-22828000000,7839000000,-6910000000,7516000000,-7351000000,18999000000,29118000000,13432000000,35198000000,22752000000,3367000000,70380000000,134738000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,219000000,815000000,3039000000,-2087000000,2265000000,-2722000000,5896000000,-3968000000,5589000000,5458000000,24486000000,1497000000,16220000000,16661000000,-11536000000,-3533000000,17505000000,28272000000,-11660000000,20496000000,2999000000,22296000000,105194000000
98,Cash at the End of Period,3055000000,3870000000,6909000000,4822000000,7087000000,4365000000,10261000000,6293000000,11882000000,15740000000,38291000000,39788000000,56008000000,72669000000,61133000000,57600000000,75105000000,121711000000,110051000000,130547000000,133546000000,155842000000,261036000000
99,Cash at the Beginning of Period,2836000000,3055000000,3870000000,6909000000,4822000000,7087000000,4365000000,10261000000,6293000000,10282000000,13805000000,38291000000,39788000000,56008000000,72669000000,61133000000,57600000000,93439000000,121711000000,110051000000,130547000000,133546000000,155842000000
100,Free Cash Flow,-13432000000,7595000000,-16546000000,-11085000000,-16247000000,-34220000000,-13834000000,-49361000000,-70327000000,-133000000,47319000000,-7384000000,20461000000,11918000000,3837000000,-8301000000,5128000000,2694000000,-20927000000,12439000000,15425000000,-20037000000,-3746000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/886982/000095012302001815/y57552e10-k405.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012303002099/y83718e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012304002239/y94357e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012305001271/e05053e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012306001208/y16720e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012307001332/y29219e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012308000857/y46519e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000095012309001278/0000950123-09-001278-index.html,- -,https://www.sec.gov/Archives/edgar/data/886982/000095012311020067/y88213e10vk.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/0001193125-12-085822-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312513085474/0001193125-13-085474-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312514073792/d655877d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312515056785/d840464d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/0001193125-16-470289-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312517056804/0001193125-17-056804-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.html,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/0001193125-21-049380-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/0001193125-22-052682-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
