,https://roic.ai/company/WWD,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-27641000,-9752000,-7400000,-10700000,-13200000,-22000000,14225000,-7317000,-7668000,-4594000,-362000,12003000,1072000,2558000,2345000,-14028000,-27085000,-24865000,-23881000,-24808000,-21233000,-22915000,-12445000,-16660000,-45584000,-16619000,-7518000,-1302000
20,Income Before Tax,-5195000,20183000,35100000,33400000,38300000,52000000,74191000,85955000,70680000,19939000,49292000,79108000,84497000,131988000,181910000,122412000,154875000,187567000,197807000,199571000,227244000,240949000,226486000,252747000,219578000,320612000,281881000,245799000
21,Income Before Tax Ratio,-0.0156,0.0532,0.0841,0.0755,0.0781,0.0871,0.1242,0.1266,0.1039,0.0340,0.0694,0.0956,0.0989,0.1266,0.1446,0.0856,0.1063,0.1096,0.1060,0.1031,0.1136,0.1182,0.1120,0.1204,0.0944,0.1105,0.1129,0.1094
22,Income Tax expense (Gain),-1922000,8247000,13000000,15300000,16700000,21200000,27215000,32887000,25510000,7593000,17910000,23137000,14597000,33831000,60030000,28060000,43713000,55332000,56218000,53629000,61400000,59497000,45648000,52240000,39200000,61010000,41486000,37150000
23,Net Income,-3273000,11936000,22100000,11900000,21600000,30800000,46976000,53068000,42681000,12346000,31382000,55971000,69900000,98157000,121880000,94352000,110844000,132235000,141589000,145942000,165844000,181452000,180838000,200507000,180378000,259602000,240395000,208649000
24,Net Income ratio,-0.0098,0.0314,0.0530,0.0269,0.0440,0.0516,0.0786,0.0782,0.0628,0.0210,0.0442,0.0676,0.0818,0.0942,0.0969,0.0660,0.0761,0.0773,0.0759,0.0754,0.0829,0.0890,0.0894,0.0955,0.0776,0.0895,0.0963,0.0929
25,EPS,-0.05,0.17,0.32,0.26,0.32,0.46,0.69,0.78,0.63,0.18,0.46,0.82,1.01,1.44,1.80,1.39,1.62,1.92,2.06,2.13,2.50,2.81,2.92,3.27,2.93,4.19,3.86,3.30
26,EPS Diluted,-0.05,0.17,0.32,0.26,0.32,0.46,0.69,0.77,0.61,0.18,0.45,0.80,0.99,1.40,1.75,1.37,1.59,1.89,2.01,2.10,2.45,2.75,2.85,3.16,2.82,4.02,3.74,3.18
27,Weighted Average Shares Outstanding,70588248,69738000,69422904,68889270,68040000,67632000,67578000,67908000,67950000,67476000,67716000,68400000,68702000,68490000,67564000,67821000,68472000,68797000,68880000,68392000,66432000,64684000,61893000,61366000,61493000,61950000,62267000,63287000
28,Weighted Average Shares Outstanding Diluted,70588248,69738000,69422904,68889270,68274000,67752000,67908000,69366000,69462000,68334000,69390000,70254000,70382000,70488000,69560000,69033000,69864000,70140000,70307000,69602000,67776000,66056000,63556000,63512000,63876000,64498000,64209000,65555000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/108312/000010831294000019/0000108312-94-000019-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831295000017/0000108312-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831296000026/0000108312-96-000026-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831297000015/0000108312-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831298000029/0000108312-98-000029-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831299000015/0000108312-99-000015-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831200500038/0000108312-00-500038-index.html,- -,https://www.sec.gov/Archives/edgar/data/108312/000104746902006185/0001047469-02-006185-index.html,https://www.sec.gov/Archives/edgar/data/108312/000095013703006269/0000950137-03-006269-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013704010922/0000950137-04-010922-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013705014381/0000950137-05-014381-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013706013055/0000950137-06-013055-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013407024676/0000950134-07-024676-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013408020942/0000950134-08-020942-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095012309064808/0000950123-09-064808-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095012310106894/0000950123-10-106894-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095012311099073/0000950123-11-099073-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000119312512472182/0001193125-12-472182-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831213000018/0000108312-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831214000037/0000108312-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831215000018/0000108312-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831216000038/0000108312-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831217000026/0000108312-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831218000023/0000108312-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831219000017/0000108312-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000156459020054809/0001564590-20-054809-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000156459021057773/0001564590-21-057773-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10272000,12451000,13100000,15000000,12400000,10400000,9315000,10542000,29828000,24058000,48895000,84597000,83718000,71635000,109833000,100863000,105579000,74539000,61829000,48556000,115287000,82202000,81090000,87552000,79959000,97573000,149773000,446555000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10272000,12451000,13100000,15000000,12400000,10400000,9315000,10542000,29828000,24058000,48895000,84597000,83718000,71635000,109833000,100863000,105579000,74539000,61829000,48556000,115287000,82202000,81090000,87552000,79959000,97573000,149773000,446555000
34,Net Receivables,69778000,81880000,80900000,91800000,108200000,115500000,105153000,102008000,76406000,89589000,99277000,112733000,119041000,162287000,178128000,225928000,266683000,300070000,361871000,395136000,353432000,344053000,364126000,421558000,438217000,599628000,566866000,535122000
35,Inventory,80272000,92831000,92100000,83200000,106400000,104300000,102990000,131160000,127112000,126289000,138708000,149336000,149172000,172500000,208317000,302339000,295034000,381555000,398229000,431744000,451944000,447664000,461683000,473505000,549596000,516836000,437943000,419971000
36,Other Current Assets,20957000,21853000,20000000,19700000,20000000,17200000,16835000,17758000,15340000,19336000,21916000,22907000,29303000,32183000,41777000,67114000,51846000,61629000,81548000,81677000,87981000,73557000,37525000,38574000,47025000,57191000,56283000,63075000
37,Total Current Assets,181279000,209015000,206100000,209700000,247000000,247400000,234293000,261468000,248686000,259272000,308796000,369573000,381234000,438605000,538055000,696244000,719142000,817793000,903477000,957113000,1008644000,947476000,944424000,1021189000,1114797000,1271228000,1210865000,1464723000
38,PP&E,122911000,118066000,114200000,110900000,130100000,124100000,122458000,130576000,123622000,124144000,117310000,114787000,124176000,158998000,168651000,208885000,193524000,206725000,66007000,350048000,513279000,756100000,876350000,922043000,1060005000,1058775000,997415000,950569000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132084000,141215000,139577000,442802000,438594000,462282000,461374000,551624000,559724000,556977000,555684000,556545000,813250000,797853000,808252000,805333000
40,Intangible Assets,- -,- -,9900000,8900000,162200000,156800000,150118000,164835000,182027000,218911000,217253000,209599000,71737000,73018000,66106000,327773000,292149000,268897000,404061000,285775000,254772000,225138000,197650000,171882000,700883000,611992000,606711000,559289000
41,Intangible Assets,4757000,4741000,9900000,8900000,162200000,156800000,150118000,164835000,182027000,218911000,217253000,209599000,203821000,214233000,205683000,770575000,730743000,731179000,865435000,837399000,814496000,782115000,753334000,728427000,1514133000,1409845000,1414963000,1364622000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,14371000,17777000,- -,- -,- -,- -,- -,16178000,17885000,6429000,4318000,2310000,16687000,11250000,6208000,8200000,8623000,10466000,9129000,13926000,6292000,9388000,20194000,19950000,16570000,18161000,14658000,14066000
44,Other Non-Current Assets,- -,- -,18600000,18600000,24100000,22400000,26854000,11571000,10175000,7243000,6617000,9197000,9579000,6681000,8420000,12518000,11201000,15271000,15916000,47198000,54491000,44886000,48060000,65500000,85144000,198517000,265435000,297024000
45,Total Non-Current Assets,142039000,140584000,142700000,138400000,316400000,303300000,299430000,323160000,333709000,356727000,345498000,335893000,354263000,391162000,388962000,1000178000,944091000,963641000,956487000,1248571000,1388558000,1592489000,1697938000,1735920000,2675852000,2685298000,2692471000,2626281000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,323318000,349599000,348800000,348100000,563400000,550700000,533723000,584628000,582395000,615999000,654294000,705466000,735497000,829767000,927017000,1696422000,1663233000,1781434000,1859964000,2205684000,2397202000,2539965000,2642362000,2757109000,3790649000,3956526000,3903336000,4091004000
48,Accounts Payable,37972000,50765000,61600000,64800000,82900000,76800000,81342000,91180000,74995000,26703000,35207000,37015000,38978000,57668000,65427000,81108000,107468000,123453000,124914000,145307000,160683000,173287000,169439000,232788000,226285000,240460000,134242000,170909000
49,Short-Term Debt,28926000,35164000,20200000,12900000,37900000,42000000,43784000,28061000,18185000,35774000,6789000,22845000,15136000,21436000,15591000,45569000,40592000,18374000,7829000,100000000,- -,2430000,150000000,32600000,153635000,220000000,101634000,728000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8084000,5453000,10537000,22974000,14352000,14687000,15278000,19127000,21175000,37873000,34557000,18587000,30934000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8160000,7232000,6304000,6108000,10004000,12331000,11076000,9659000,27891000,24620000,29527000
52,Other Current Liabilities,630000,6722000,3200000,7200000,6700000,4300000,8331000,18483000,3194000,45533000,69276000,68647000,66877000,83890000,87826000,135401000,114505000,130870000,139893000,161485000,173225000,152501000,148843000,150770000,201599000,219085000,131836000,165093000
53,Total Current Liabilities,67528000,92651000,85000000,84900000,127500000,123100000,133457000,137724000,96374000,108010000,111272000,128507000,120991000,162994000,168844000,262078000,262565000,280857000,279868000,413096000,340016000,338222000,480613000,427234000,591178000,707436000,392332000,366257000
54,Long-Term Debt,32665000,27796000,22700000,17700000,175700000,139000000,74500000,77000000,78192000,89970000,88452000,72942000,58379000,45150000,33337000,526771000,425250000,406875000,384375000,450000000,710000000,850000000,577153000,580286000,1092397000,864899000,736849000,748892000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238187000,236896000,235300000,337165000,366642000,386324000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6248000,19788000,27513000,86048000,88249000,85911000,78163000,104533000,85031000,82449000,3777000,33408000,170915000,151362000,163573000,157936000
57,Other Non-Current Liabilities,29279000,31249000,33100000,34900000,40100000,46600000,50142000,51042000,52928000,57215000,68709000,71548000,71190000,57404000,67695000,112287000,83975000,88694000,109443000,95510000,101211000,116190000,130037000,107902000,162755000,168923000,251263000,216814000
58,Total Non-Current Liabilities,61944000,59045000,55800000,52600000,215800000,185600000,124642000,128042000,131120000,147185000,157161000,144490000,135817000,122342000,128545000,725106000,597474000,581480000,571981000,650043000,896242000,1048639000,949154000,958492000,1661367000,1522349000,1518327000,1509966000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14569000,14770000
61,Total Liabilities,129472000,151696000,140800000,137500000,343300000,308700000,258099000,265766000,227494000,255195000,268433000,272997000,256808000,285336000,297389000,987184000,860039000,862337000,851849000,1063139000,1236258000,1386861000,1429767000,1385726000,2252545000,2229785000,1910659000,1876223000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,190000,190000,- -,- -,- -,100000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000,106000
64,Retained Earnings,194088000,195598000,207400000,215200000,226700000,247400000,284431000,327276000,359556000,361382000,381458000,425568000,481726000,565136000,663442000,741505000,835919000,949573000,1069811000,1193887000,1338468000,1495274000,1649506000,1820268000,1966643000,2224919000,2427905000,2600513000
65,Other Comprehensive Income/Loss,-163191000,-186918000,-201900000,-205900000,-221300000,-241800000,-247951000,-256179000,-266994000,14002000,16499000,16306000,18143000,27762000,25602000,9908000,6342000,3626000,-11723000,15115000,-3533000,-51458000,-65705000,-53186000,-74942000,-103306000,-89794000,-65619000
66,Other Total Stockholders Equity,162759000,189033000,202500000,201300000,214700000,236300000,239038000,247659000,262233000,-14686000,-12202000,-9511000,-21286000,-48573000,-59522000,-42281000,-39173000,-34208000,-50079000,-66563000,-174097000,-290818000,-371312000,-395805000,-353703000,-394978000,-345540000,-320219000
67,Total Stockholders Equity,193846000,197903000,208000000,210600000,220100000,242000000,275624000,318862000,354901000,360804000,385861000,432469000,478689000,544431000,629628000,709238000,803194000,919097000,1008115000,1142545000,1160944000,1153104000,1212595000,1371383000,1538104000,1726741000,1992677000,2214781000
68,Total Liabilities And Stockholders Equity,323318000,349599000,348800000,348100000,563400000,550700000,533723000,584628000,582395000,615999000,654294000,705466000,735497000,829767000,927017000,1696422000,1663233000,1781434000,1859964000,2205684000,2397202000,2539965000,2642362000,2757109000,3790649000,3956526000,3903336000,4091004000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,323318000,349599000,348800000,348100000,563400000,550700000,533723000,584628000,582395000,615999000,654294000,705466000,735497000,829767000,927017000,1696422000,1663233000,1781434000,1859964000,2205684000,2397202000,2539965000,2642362000,2757109000,3790649000,3956526000,3903336000,4091004000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/108312/000010831294000019/0000108312-94-000019-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831295000017/0000108312-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831296000026/0000108312-96-000026-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831297000015/0000108312-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831298000029/0000108312-98-000029-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831299000015/0000108312-99-000015-index.html,https://www.sec.gov/Archives/edgar/data/108312/000010831200500038/0000108312-00-500038-index.html,- -,https://www.sec.gov/Archives/edgar/data/108312/000104746902006185/0001047469-02-006185-index.html,https://www.sec.gov/Archives/edgar/data/108312/000095013703006269/0000950137-03-006269-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013704010922/0000950137-04-010922-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013705014381/0000950137-05-014381-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013706013055/0000950137-06-013055-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013407024676/0000950134-07-024676-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095013408020942/0000950134-08-020942-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095012309064808/0000950123-09-064808-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095012310106894/0000950123-10-106894-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000095012311099073/0000950123-11-099073-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000119312512472182/0001193125-12-472182-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831213000018/0000108312-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831214000037/0000108312-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831215000018/0000108312-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831216000038/0000108312-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831217000026/0000108312-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831218000023/0000108312-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000010831219000017/0000108312-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000156459020054809/0001564590-20-054809-index.htm,https://www.sec.gov/Archives/edgar/data/108312/000156459021057773/0001564590-21-057773-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3273000,11936000,22100000,11900000,21600000,30800000,46976000,53068000,42681000,12346000,31382000,55971000,69900000,98157000,121880000,94352000,110844000,132235000,141589000,145942000,165844000,181452000,180838000,200507000,180378000,259602000,240395000,208649000
74,Depreciation and Amortization,26114000,23786000,23400000,22800000,26600000,32000000,30419000,32732000,32088000,32418000,32761000,31538000,29017000,32924000,35450000,63948000,75616000,75393000,68617000,74233000,77353000,75235000,69036000,80917000,116131000,142004000,131158000,129524000
75,Deferred Income Tax,-10419000,-3407000,-800000,- -,-1000000,4300000,-9000,1303000,1243000,8540000,-1988000,2627000,-13481000,12473000,10960000,17233000,16358000,-10321000,-3730000,8348000,-6704000,15504000,-52744000,22772000,-30177000,-10065000,1311000,-11964000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5499000,6686000,6590000,8628000,9414000,11241000,14255000,15122000,17282000,18229000,18146000,22902000,21475000
77,Change in Working Capital,-2473000,2613000,4736000,3700000,-5300000,4800000,-23464000,22908000,28568000,-1050000,46262000,43542000,19177000,15368000,93600000,64955000,22411000,80359000,86673000,-79592000,124611000,-59374000,-145443000,130144000,-70336000,40173000,254741000,121437000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37760000,-40688000,-49393000,-59061000,-9774000,30880000,14845000,-9190000,-53151000,-6494000,841000,52095000,41241000
79,Inventory,8394000,-11830000,-600000,7300000,-8300000,2100000,-3746000,-25126000,9028000,13725000,-10592000,-11122000,1140000,-8592000,-36661000,52586000,5896000,-76643000,-18702000,-1485000,-27788000,-8824000,-17658000,-10857000,-7660000,-49185000,61019000,18871000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16062000,24068000,1427000,17461000,64659000,-2284000,48004000,- -,- -
81,Other Working Capital,113751000,116364000,121100000,124800000,119500000,124300000,100836000,123744000,152312000,151262000,197524000,241066000,260243000,275611000,369211000,434166000,456577000,536936000,623609000,544017000,668628000,609254000,463811000,593955000,523619000,563792000,818533000,16023000
82,Other Non-Cash Items,25856000,-3607000,3064000,17700000,1200000,-12000000,1288000,-23021000,-13186000,8521000,-23202000,-64246000,-24077000,-41204000,-136536000,-27335000,-47343000,-169633000,-157664000,64247000,-104262000,60357000,368570000,-144085000,85067000,-59252000,-301016000,-4452000
83,Cash Provided by Operating Activities,35805000,31321000,52500000,56100000,43100000,59900000,55210000,86990000,91394000,60775000,85215000,69432000,80536000,117718000,125354000,218652000,184572000,114623000,144113000,222592000,268083000,287429000,435379000,307537000,299292000,390608000,349491000,464669000
84,CAPEX,-16515000,-18988000,-21200000,-21200000,-202700000,-22900000,-27416000,-30888000,-22898000,-18802000,-18698000,-26615000,-31713000,-31984000,-37516000,-28947000,-28104000,-48255000,-64900000,-141600000,-207106000,-286612000,-175692000,-92336000,-127140000,-99066000,-47087000,-37689000
85,Acquisitions Net,-8014000,- -,- -,- -,- -,- -,- -,-31215000,-25752000,-57669000,-1941000,- -,- -,-35289000,- -,-701820000,-25000000,-47161000,- -,-198860000,- -,- -,- -,- -,-771115000,- -,10443000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4918000,-8586000,-9323000,-26723000,-13109000,-14337000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8217000,- -,- -,- -,- -,- -,5313000,9088000,22252000,12700000,16575000
88,Other Investing Activites,627000,560000,1100000,-7400000,-5200000,4900000,43152000,404000,439000,770000,367000,3706000,698000,225000,1607000,16637000,972000,59000,283000,418000,1277000,2529000,6664000,3743000,1923000,1010000,30173000,154000
89,Cash Used for Investing Activites,-23902000,-18428000,-20100000,-28600000,-207900000,-18000000,15736000,-61699000,-48211000,-75701000,-20272000,-22909000,-31015000,-67048000,-35909000,-714130000,-52132000,-87140000,-64617000,-340042000,-205829000,-284083000,-173946000,-91866000,-896567000,-102527000,-6880000,-35297000
90,Debt Repayment,-4012000,-4254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-266625000,-212400000,-201158000,-220956000,-221359000,-521069000,-856610000,-998183000,-1630512000,-1692355000,-1833570000,-1512336000,-176039000
91,Common Stock Issued,- -,1377000,400000,200000,200000,300000,2411000,381000,389000,1043000,2875000,6674000,4163000,7856000,9440000,4631000,1999000,2482000,6286000,8370000,9772000,8400000,15892000,14195000,9132000,36044000,24969000,34706000
92,Common Stock Repurchased,-3546000,-3363000,-1700000,-3800000,-5200000,-1000000,-1762000,- -,-286000,-9503000,-1547000,-7292000,-22306000,-50952000,-39801000,-866000,-4513000,-6837000,-44110000,-45754000,-141488000,-157160000,-125541000,-71751000,- -,-110311000,-13346000,-33344000
93,Dividends Paid,-10956000,-10811000,-10800000,-10700000,-10500000,-10500000,-10472000,-10526000,-10731000,-10707000,-10832000,-11861000,-13742000,-14747000,-15872000,-16289000,-17085000,-18581000,-21351000,-21866000,-21263000,-24646000,-26606000,-29745000,-34003000,-39066000,-37664000,-36041000
94,Other Financing Activites,6681000,5529000,-19300000,-10900000,178100000,-31800000,-60969000,-13073000,-13886000,27492000,-30391000,1976000,-19548000,-8653000,-2671000,767089000,103014000,168115000,189670000,383082000,683525000,1004571000,873445000,1506000000,2323224000,1681304000,1248135000,74400000
95,Cash Used/Provided by Financing Activities,-11833000,-11522000,-31400000,-25200000,162600000,-43000000,-70792000,-23218000,-24514000,8325000,-39895000,-10503000,-51433000,-66496000,-48904000,487940000,-128985000,-55979000,-90461000,102473000,9477000,-25445000,-260993000,-211813000,605998000,-265599000,-290242000,-136318000
