,https://roic.ai/company/VC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,483000000,485000000,575000000,659000000,1325000000,1457000000,812000000,888000000,1002000000,994000000,574000000,632000000,589000000,553000000,342000000,395000000,398000000,369000000,367000000,385000000,245000000,220000000,222000000,193000000,221000000,-193000000,175000000
11,COGS and Expenses,14717000000,15877000000,16369000000,16628000000,18177000000,18806000000,17960000000,18476000000,18788000000,19105000000,16996000000,11316000000,11282000000,9638000000,6430000000,7052000000,7802000000,6637000000,7122000000,7096000000,3060000000,2917000000,2869000000,2766000000,2842000000,2110000000,2694000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,11000000,16000000,21000000,14000000,8000000,9000000,5000000,6000000,5000000,7000000,4000000,5000000,2000000
13,Interest Expense (Gain),-28000000,-16000000,-36000000,-18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000000,117000000,186000000,50000000,49000000,47000000,37000000,19000000,18000000,21000000,14000000,13000000,16000000,10000000
14,Depreciation and Amortization,- -,- -,590000000,565000000,651000000,676000000,666000000,631000000,674000000,685000000,595000000,430000000,472000000,416000000,352000000,280000000,316000000,259000000,262000000,270000000,169000000,84000000,87000000,91000000,100000000,104000000,108000000
15,EBITDA,347000000,591000000,1370000000,1666000000,1808000000,1089000000,476000000,221000000,-505000000,151000000,389000000,292000000,120000000,66000000,677000000,1642000000,573000000,529000000,1106000000,136000000,2499000000,207000000,332000000,312000000,207000000,44000000,190000000
16,EBITDA ratio,0.0230,0.0358,0.0796,0.0938,0.0934,0.0559,0.0267,0.0120,-0.0286,0.0081,0.0229,0.0256,0.0107,0.0069,0.1013,0.2199,0.0712,0.0771,0.1487,0.0181,0.7701,0.0655,0.1055,0.1046,0.0703,0.0173,0.0685
17,Operating Income,398000000,620000000,851000000,1134000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.0263,0.0376,0.0494,0.0638,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-28000000,-16000000,-36000000,-18000000,-32000000,-248000000,-52000000,-36000000,-51000000,-86000000,-153000000,-213000000,-269000000,-437000000,9000000,837000000,36000000,71000000,565000000,-152000000,-116000000,-83000000,-54000000,-2000000,3000000,28000000,2000000
20,Income Before Tax,370000000,604000000,815000000,1116000000,1157000000,413000000,-169000000,-117000000,-1179000000,-534000000,-173000000,-111000000,-285000000,-531000000,264000000,1251000000,281000000,291000000,882000000,261000000,69000000,161000000,223000000,216000000,106000000,-20000000,81000000
21,Income Before Tax Ratio,0.0245,0.0366,0.0473,0.0628,0.0597,0.0212,-0.0095,-0.0064,-0.0668,-0.0286,-0.0102,-0.0097,-0.0253,-0.0556,0.0395,0.1676,0.0349,0.0424,0.1186,0.0348,0.0213,0.0509,0.0709,0.0724,0.0360,-0.0078,0.0292
22,Income Tax expense (Gain),130000000,223000000,305000000,416000000,422000000,143000000,-72000000,-58000000,34000000,965000000,64000000,25000000,20000000,116000000,80000000,150000000,127000000,121000000,107000000,124000000,27000000,30000000,48000000,43000000,24000000,-28000000,31000000
23,Net Income,245000000,384000000,511000000,703000000,735000000,270000000,-118000000,-352000000,-1213000000,-1499000000,-270000000,-163000000,-372000000,-681000000,128000000,1026000000,80000000,100000000,690000000,-295000000,2284000000,75000000,176000000,164000000,70000000,-48000000,41000000
24,Net Income ratio,0.0162,0.0233,0.0297,0.0396,0.0380,0.0139,-0.0066,-0.0191,-0.0687,-0.0803,-0.0159,-0.0143,-0.0330,-0.0714,0.0191,0.1374,0.0099,0.0146,0.0928,-0.0393,0.7039,0.0237,0.0559,0.0550,0.0238,-0.0188,0.0148
25,EPS,1.88,2.95,3.93,5.41,5.65,2.08,-0.91,-2.75,-9.65,-11.96,-2.14,-1.28,-2.87,-5.12,0.98,9.30,1.56,1.89,13.80,-6.44,54.00,2.14,5.57,5.56,2.49,-2.01,1.47
26,EPS Diluted,1.88,2.95,3.93,5.41,5.65,2.08,-0.91,-2.75,-9.65,-11.96,-2.14,-1.28,-2.87,-5.12,0.98,8.87,1.54,1.88,13.50,-6.44,52.63,2.12,5.47,5.52,2.48,-2.01,1.47
27,Weighted Average Shares Outstanding,130000000,130000000,130000000,130000000,130000000,130000000,131000000,128000000,125699482,125334448,126168224,127343750,129616725,129400000,130400000,110275000,51200000,52900000,50000000,45800000,42300000,35000000,31600000,29500000,28100000,27900000,27900000
28,Weighted Average Shares Outstanding Diluted,130000000,130000000,130000000,130000000,130000000,130000000,131000000,128000000,125699482,127083333,126168224,127343750,129616725,129400000,130400000,110650000,52000000,53300000,51100000,47200000,43400000,35400000,32200000,29700000,28200000,27900000,27900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111335/000095012403000355/k74415e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012404000444/k82535e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012405001608/k91895e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012406001280/k02515e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012407001192/k12710e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012408000791/k23981e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095015209003368/k47622e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012310018036/k48891e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012311023581/k50155e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000144530512000456/visteon10kfromword.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133513000004/visteon201210-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133514000003/visteon201310-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133515000003/visteon201410-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133516000018/visteon201510-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133517000003/visteon201610-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133518000004/visteon201710-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133519000003/visteon201810-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133520000003/0001111335-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133521000006/0001111335-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133522000014/0001111335-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,542000000,1849000000,1412000000,1024000000,1204000000,953000000,752000000,865000000,1057000000,1758000000,1180000000,962000000,905000000,723000000,825000000,1677000000,822000000,2728000000,878000000,706000000,463000000,466000000,496000000,452000000
32,Short-Term Investments,- -,- -,- -,- -,- -,65000000,157000000,74000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,542000000,1849000000,1477000000,1181000000,1278000000,956000000,752000000,865000000,1057000000,1758000000,1180000000,962000000,905000000,723000000,825000000,1677000000,822000000,2775000000,878000000,706000000,463000000,466000000,496000000,452000000
34,Net Receivables,- -,- -,- -,1761000000,2191000000,2190000000,2394000000,2229000000,2362000000,2540000000,1738000000,1877000000,1584000000,989000000,1055000000,1271000000,1248000000,1335000000,1227000000,1567000000,992000000,622000000,652000000,581000000,632000000,604000000,640000000
35,Inventory,- -,- -,- -,606000000,751000000,948000000,858000000,878000000,761000000,889000000,537000000,520000000,495000000,354000000,319000000,364000000,381000000,385000000,472000000,537000000,187000000,151000000,189000000,184000000,169000000,177000000,262000000
36,Other Current Assets,- -,- -,- -,282000000,405000000,390000000,320000000,352000000,331000000,263000000,205000000,111000000,235000000,249000000,369000000,162000000,146000000,118000000,377000000,208000000,99000000,57000000,56000000,68000000,78000000,64000000,70000000
37,Total Current Assets,- -,- -,- -,3191000000,5196000000,5005000000,4753000000,4737000000,4410000000,4444000000,3345000000,3565000000,4072000000,2772000000,2705000000,2702000000,2498000000,2663000000,3753000000,3134000000,4053000000,1708000000,1603000000,1296000000,1345000000,1341000000,1424000000
38,PP&E,- -,- -,- -,5391000000,5789000000,5497000000,5329000000,5443000000,5369000000,5303000000,2973000000,3034000000,2793000000,2162000000,1936000000,1582000000,1412000000,1326000000,1414000000,1440000000,351000000,345000000,377000000,397000000,601000000,608000000,527000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,36000000,46000000,97000000,102000000,40000000,45000000,47000000,47000000,46000000,49000000,50000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000000,317000000,286000000,350000000,305000000,93000000,84000000,85000000,82000000,81000000,78000000,68000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000000,353000000,332000000,447000000,407000000,133000000,129000000,132000000,129000000,127000000,127000000,118000000
42,Investments,- -,- -,- -,214000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000000,294000000,439000000,644000000,756000000,228000000,165000000,56000000,45000000,41000000,42000000,48000000,60000000,54000000
43,Tax Assets,- -,- -,- -,152000000,- -,- -,322000000,566000000,700000000,132000000,- -,45000000,39000000,139000000,- -,13000000,18000000,28000000,- -,40000000,34000000,48000000,46000000,45000000,59000000,55000000,47000000
44,Other Non-Current Assets,- -,- -,- -,425000000,1464000000,823000000,674000000,424000000,485000000,430000000,418000000,294000000,301000000,-45000000,84000000,76000000,48000000,51000000,185000000,137000000,55000000,98000000,105000000,98000000,91000000,80000000,64000000
45,Total Non-Current Assets,- -,- -,- -,6182000000,7253000000,6320000000,6325000000,6433000000,6554000000,5865000000,3391000000,3373000000,3133000000,2476000000,2314000000,2506000000,2475000000,2493000000,2274000000,2189000000,629000000,665000000,701000000,711000000,926000000,930000000,810000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,9373000000,12449000000,11325000000,11078000000,11170000000,10964000000,10309000000,6736000000,6938000000,7205000000,5248000000,5019000000,5208000000,4973000000,5156000000,6027000000,5323000000,4682000000,2373000000,2304000000,2007000000,2271000000,2271000000,2234000000
48,Accounts Payable,- -,- -,- -,1863000000,3150000000,1949000000,1831000000,2083000000,2270000000,2403000000,1803000000,1825000000,1766000000,1058000000,977000000,1211000000,1004000000,1027000000,1232000000,1186000000,482000000,463000000,470000000,436000000,511000000,500000000,522000000
49,Short-Term Debt,- -,- -,- -,142000000,961000000,622000000,629000000,348000000,351000000,508000000,485000000,100000000,95000000,2697000000,225000000,78000000,111000000,96000000,106000000,142000000,37000000,36000000,46000000,57000000,67000000,32000000,32000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,70000000,53000000,- -,55000000,83000000,30000000,22000000,28000000,24000000,20000000,34000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,21000000,32000000,- -,16000000,11000000,14000000,18000000,16000000,22000000,46000000,69000000
52,Other Current Liabilities,- -,- -,- -,1159000000,1364000000,1233000000,975000000,1035000000,951000000,932000000,671000000,643000000,667000000,516000000,463000000,547000000,421000000,397000000,464000000,488000000,2242000000,398000000,267000000,212000000,198000000,246000000,229000000
53,Total Current Liabilities,- -,- -,- -,3164000000,5475000000,3804000000,3435000000,3466000000,3572000000,3843000000,2959000000,2568000000,2528000000,4271000000,1665000000,1842000000,1557000000,1552000000,1802000000,1832000000,2772000000,911000000,801000000,721000000,798000000,824000000,852000000
54,Long-Term Debt,- -,- -,- -,816000000,1358000000,1397000000,1293000000,1298000000,1467000000,1513000000,1509000000,2128000000,2745000000,65000000,6000000,483000000,512000000,473000000,624000000,839000000,347000000,346000000,347000000,348000000,348000000,495000000,466000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,42000000,56000000,- -,21000000,15000000,18000000,16000000,14000000,9000000,7000000,15000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,153000000,18000000,13000000,3000000,- -,296000000,175000000,170000000,147000000,139000000,159000000,190000000,187000000,181000000,137000000,207000000,56000000,44000000,42000000,34000000,33000000,34000000,35000000
57,Other Non-Current Liabilities,- -,- -,- -,3738000000,3964000000,2601000000,3046000000,3425000000,4067000000,4250000000,1907000000,1989000000,1582000000,1396000000,3644000000,723000000,678000000,753000000,591000000,603000000,293000000,330000000,337000000,308000000,488000000,401000000,250000000
58,Total Non-Current Liabilities,- -,- -,- -,4554000000,5475000000,4016000000,4352000000,4726000000,5534000000,6059000000,3591000000,4287000000,4474000000,1600000000,3809000000,1416000000,1419000000,1463000000,1352000000,1670000000,711000000,738000000,742000000,704000000,878000000,937000000,766000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169000000,178000000,145000000
61,Total Liabilities,- -,- -,- -,7718000000,10950000000,7820000000,7787000000,8192000000,9106000000,9902000000,6550000000,6855000000,7002000000,5871000000,5474000000,3258000000,2976000000,3015000000,3154000000,3502000000,3483000000,1649000000,1543000000,1425000000,1676000000,1761000000,1618000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,131000000,131000000,131000000,131000000,131000000,131000000,131000000,131000000,131000000,131000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,254000000,105000000,-278000000,-1521000000,-3083000000,-3440000000,-3606000000,-4016000000,-4704000000,-4576000000,86000000,166000000,266000000,956000000,661000000,1194000000,1269000000,1445000000,1609000000,1679000000,1623000000,1664000000
65,Other Comprehensive Income/Loss,- -,- -,- -,3310000000,-4856000000,-5130000000,-5090000000,-173000000,-40000000,-21000000,-133000000,-111000000,389000000,157000000,142000000,50000000,-25000000,-90000000,-12000000,-299000000,-190000000,-233000000,-174000000,-216000000,-267000000,-304000000,-229000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,6355000000,8250000000,8145000000,3298000000,3288000000,3380000000,3394000000,3398000000,3406000000,3529000000,3531000000,1123000000,1165000000,1208000000,975000000,502000000,52000000,-451000000,-635000000,-929000000,-933000000,-933000000,-920000000
67,Total Stockholders Equity,- -,- -,- -,1655000000,1499000000,3505000000,3291000000,2978000000,1858000000,407000000,-48000000,-188000000,-90000000,-887000000,-772000000,1260000000,1307000000,1385000000,1920000000,865000000,1057000000,586000000,637000000,465000000,480000000,387000000,516000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,9373000000,12449000000,11325000000,11078000000,11170000000,10964000000,10309000000,6502000000,6667000000,6912000000,4984000000,4702000000,4518000000,4283000000,4400000000,5074000000,4367000000,4540000000,2235000000,2180000000,1890000000,2156000000,2148000000,2134000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000000,271000000,293000000,264000000,317000000,690000000,690000000,756000000,953000000,956000000,142000000,138000000,124000000,117000000,115000000,123000000,100000000
70,Total Liabilities & Equity,- -,- -,- -,9373000000,12449000000,11325000000,11078000000,11170000000,10964000000,10309000000,6736000000,6938000000,7205000000,5248000000,5019000000,5208000000,4973000000,5156000000,6027000000,5323000000,4682000000,2373000000,2304000000,2007000000,2271000000,2271000000,2234000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111335/000095012403000355/k74415e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012404000444/k82535e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012405001608/k91895e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012406001280/k02515e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012407001192/k12710e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012408000791/k23981e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095015209003368/k47622e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012310018036/k48891e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000095012311023581/k50155e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111335/000144530512000456/visteon10kfromword.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133513000004/visteon201210-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133514000003/visteon201310-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133515000003/visteon201410-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133516000018/visteon201510-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133517000003/visteon201610-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133518000004/visteon201710-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133519000003/visteon201810-k.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133520000003/0001111335-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133521000006/0001111335-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1111335/000111133522000014/0001111335-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,511000000,703000000,735000000,270000000,-118000000,-352000000,-1213000000,-1499000000,-270000000,-163000000,-372000000,-681000000,128000000,1026000000,80000000,100000000,690000000,-295000000,2284000000,75000000,176000000,164000000,70000000,-48000000,41000000
74,Depreciation and Amortization,- -,- -,590000000,565000000,651000000,676000000,666000000,631000000,674000000,685000000,595000000,430000000,472000000,416000000,352000000,280000000,316000000,259000000,262000000,270000000,169000000,84000000,87000000,91000000,100000000,104000000,108000000
75,Deferred Income Tax,- -,- -,248000000,76000000,20000000,-87000000,-143000000,-142000000,-56000000,865000000,- -,-31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,15000000,8000000,8000000,8000000,12000000,8000000,17000000,18000000,18000000
77,Change in Working Capital,- -,- -,94000000,-306000000,1480000000,117000000,-47000000,-433000000,-237000000,-215000000,611000000,547000000,-3043000000,2539000000,-180000000,81000000,170000000,840000000,-649000000,-21000000,-484000000,5000000,-227000000,-28000000,-30000000,5000000,-153000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,509000000,-127000000,-132000000,-106000000,-38000000,-21000000,-121000000,1000000,-19000000,10000000,44000000,-33000000,51000000,-78000000
79,Inventory,- -,- -,- -,- -,-62000000,-205000000,86000000,85000000,143000000,3000000,34000000,55000000,6000000,44000000,33000000,-70000000,-33000000,-26000000,-49000000,-27000000,-20000000,30000000,-3000000,1000000,13000000,-2000000,-92000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000000,-29000000,-26000000,97000000,22000000,33000000,-10000000,-54000000,-19000000,73000000,-13000000,28000000
81,Other Working Capital,- -,- -,27000000,-279000000,1201000000,1318000000,1271000000,838000000,601000000,386000000,997000000,1544000000,-1499000000,1040000000,860000000,941000000,1111000000,1951000000,1302000000,1281000000,797000000,802000000,575000000,547000000,517000000,522000000,-11000000
82,Other Non-Cash Items,- -,- -,-32000000,338000000,-404000000,-1502000000,78000000,1442000000,1202000000,582000000,-519000000,-502000000,3236000000,-2390000000,-159000000,-1213000000,-391000000,-985000000,-6000000,322000000,-1639000000,-52000000,169000000,-31000000,26000000,89000000,44000000
83,Cash Provided by Operating Activities,- -,- -,1411000000,1376000000,2482000000,-526000000,436000000,1146000000,370000000,418000000,417000000,281000000,293000000,-116000000,141000000,174000000,175000000,239000000,312000000,284000000,338000000,120000000,217000000,204000000,183000000,168000000,58000000
84,CAPEX,- -,- -,-917000000,-861000000,-876000000,-793000000,-752000000,-723000000,-879000000,-827000000,-585000000,-373000000,-376000000,-294000000,-151000000,-209000000,-258000000,-229000000,-269000000,-340000000,-187000000,-75000000,-99000000,-127000000,-142000000,-104000000,-70000000
85,Acquisitions Net,- -,- -,- -,- -,-579000000,-28000000,-7000000,- -,-4000000,- -,-21000000,-6000000,-8000000,83000000,39000000,-3000000,-81000000,- -,-10000000,-458000000,-160000000,-25000000,-97000000,16000000,- -,- -,-5000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-126000000,-346000000,-508000000,-48000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,61000000,260000000,588000000,118000000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,5000000,- -,- -,8000000,4000000
88,Other Investing Activites,- -,- -,-26000000,-79000000,2000000,44000000,102000000,36000000,25000000,34000000,375000000,42000000,207000000,-291000000,-162000000,-148000000,-250000000,-40000000,708000000,-282000000,2565000000,280000000,-83000000,-114000000,-128000000,-106000000,-62000000
89,Cash Used for Investing Activites,- -,- -,-943000000,-940000000,-1453000000,-842000000,-743000000,-607000000,-788000000,-782000000,-231000000,-337000000,-177000000,-208000000,-123000000,-151000000,-331000000,-40000000,698000000,-740000000,2358000000,302000000,-175000000,-98000000,-128000000,-98000000,-63000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-425000000,-192000000,-1712000000,-513000000,-876000000,-58000000,-437000000,-250000000,-2000000,-2000000,- -,- -,-400000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-25000000,-24000000,-5000000,-11000000,-2000000,- -,- -,- -,- -,- -,- -,-50000000,-250000000,-500000000,-500000000,-500000000,-200000000,-300000000,-20000000,-16000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-16000000,-31000000,-31000000,-32000000,-31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1736000000,-1000000,-14000000,- -,- -,- -
94,Other Financing Activites,- -,- -,-251000000,-234000000,290000000,940000000,-19000000,-328000000,165000000,177000000,-49000000,214000000,547000000,232000000,-67000000,1630000000,510000000,811000000,167000000,578000000,-24000000,-24000000,-30000000,-21000000,-29000000,358000000,-29000000
95,Cash Used/Provided by Financing Activities,- -,- -,-251000000,-234000000,290000000,924000000,-75000000,-383000000,128000000,135000000,-51000000,214000000,547000000,-193000000,-259000000,-82000000,-3000000,-115000000,-141000000,-359000000,-774000000,-2262000000,-233000000,-335000000,-49000000,-58000000,-29000000
96,Effect of Forex Changes on Cash,- -,- -,-10000000,-4000000,-12000000,7000000,-6000000,24000000,39000000,28000000,-22000000,34000000,38000000,-61000000,23000000,2000000,-23000000,18000000,-17000000,-35000000,-20000000,-11000000,19000000,-13000000,-4000000,19000000,-11000000
97,Net Change In Cash,- -,- -,207000000,198000000,1307000000,-437000000,-388000000,180000000,-251000000,-201000000,113000000,192000000,701000000,-578000000,-218000000,-57000000,-182000000,102000000,852000000,-850000000,1902000000,-1851000000,-172000000,-242000000,2000000,31000000,-45000000
98,Cash at the End of Period,- -,- -,913000000,198000000,1849000000,1412000000,1024000000,1204000000,953000000,752000000,865000000,1057000000,1758000000,1180000000,962000000,905000000,723000000,825000000,1677000000,827000000,2729000000,878000000,706000000,467000000,469000000,500000000,455000000
99,Cash at the Beginning of Period,- -,- -,706000000,- -,542000000,1849000000,1412000000,1024000000,1204000000,953000000,752000000,865000000,1057000000,1758000000,1180000000,962000000,905000000,723000000,825000000,1677000000,827000000,2729000000,878000000,709000000,467000000,469000000,500000000
100,Free Cash Flow,- -,- -,494000000,515000000,1606000000,-1319000000,-316000000,423000000,-509000000,-409000000,-168000000,-92000000,-83000000,-410000000,-10000000,-35000000,-83000000,10000000,43000000,-56000000,151000000,45000000,118000000,77000000,41000000,64000000,-12000000
