,https://roic.ai/company/FDS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),4900000,6800000,9800000,12100000,14297000,20845000,23389000,27578000,31358000,38398000,43116000,53309000,64030000,67172000,71970000,67912000,85896000,72273000,91921000,92703000,122178000,86053000,84753000,69175000,54196000,68027000
23,Net Income,6500000,8900000,12800000,18600000,25279000,33401000,40848000,51438000,58017000,71765000,82916000,109567000,125017000,144950000,150211000,171046000,188809000,198637000,211543000,241051000,338815000,258259000,267085000,352790000,372938000,399590000
24,Net Income ratio,0.1467,0.1524,0.1622,0.1792,0.1884,0.1890,0.1984,0.2314,0.2303,0.2295,0.2141,0.2303,0.2172,0.2330,0.2343,0.2354,0.2343,0.2315,0.2299,0.2394,0.3006,0.2115,0.1978,0.2458,0.2496,0.2511
25,EPS,0.13,0.18,0.30,0.40,0.53,0.67,0.81,1.02,1.20,1.50,1.70,2.24,2.60,3.10,3.26,3.80,4.26,4.58,5.06,5.83,8.46,6.62,6.99,9.26,9.81,10.62
26,EPS Diluted,0.13,0.18,0.26,0.37,0.49,0.64,0.78,0.99,1.15,1.43,1.64,2.14,2.50,2.97,3.13,3.61,4.12,4.45,4.92,5.71,8.19,6.51,6.78,9.08,9.65,10.36
27,Weighted Average Shares Outstanding,48451500,48771000,43335000,46215000,48265500,49611000,50463000,50455500,48408000,47904000,48688000,48873000,48065000,47177000,46872000,45055219,44279214,43324410,41792802,41316902,40038225,39023032,38192586,38117840,38030252,37615419
28,Weighted Average Shares Outstanding Diluted,217693404,48771000,49410000,49953000,51585000,52143000,52293000,52224000,50616000,50160000,50592000,51199533,50080000,48789000,48004000,47355000,45810000,44624000,42970000,42235000,41365000,39642000,39377000,38873000,38646000,38570000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1013237/000101323796000009/0001013237-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323797000009/0001013237-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323798000014/0001013237-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323799000032/0001013237-99-000032-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323700000049/0001013237-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323701500062/0001013237-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323702000114/0001013237-02-000114-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000095013503005820/0000950135-03-005820-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312504192497/0001193125-04-192497-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000104746905026820/a2164963z10-k.htm,https://www.sec.gov/Archives/edgar/data/1013237/000110465906074114/a06-22686_110k.htm,https://www.sec.gov/Archives/edgar/data/1013237/000119312507229389/0001193125-07-229389-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312508220373/0001193125-08-220373-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312509218675/0001193125-09-218675-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312510241170/0001193125-10-241170-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312511288590/0001193125-11-288590-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774912010651/0001437749-12-010651-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774913013610/0001437749-13-013610-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774914019084/0001437749-14-019084-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774915019227/0001437749-15-019227-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774916040606/0001437749-16-040606-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774917017840/0001437749-17-017840-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774918019028/0001437749-18-019028-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774919020894/0001437749-19-020894-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323720000153/0001013237-20-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1013237/000101323721000142/0001013237-21-000142-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15700000,26800000,37600000,31800000,39629000,38583000,44819000,51126000,78580000,59457000,126549000,168834000,117986000,216320000,195741000,181685000,189044000,196627000,116378000,158914000,228407000,194731000,208623000,359799000,585605000,681865000
32,Short-Term Investments,- -,- -,- -,- -,22704000,40722000,86017000,118136000,19524000,16566000,16641000,17388000,25032000,- -,- -,- -,13919000,12725000,20008000,23497000,24217000,32444000,29259000,25813000,19572000,35984000
33,Cash and Short-Term Investments,15700000,26800000,37600000,31800000,62333000,79305000,130836000,169262000,98104000,76023000,143190000,186222000,143018000,216320000,195741000,181685000,202963000,209352000,136386000,182411000,252624000,227175000,237882000,385612000,605177000,717849000
34,Net Receivables,7100000,7900000,11600000,15000000,29238000,33836000,33563000,35704000,45935000,54029000,59190000,59579000,74859000,62854000,59693000,75004000,74251000,73290000,90354000,95064000,97797000,148331000,156639000,146309000,155011000,151187000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4000000,5300000,5000000,29800000,8302000,7086000,7664000,7381000,10709000,9096000,4600000,6531000,16646000,20236000,9711000,16481000,21911000,35392000,23035000,26699000,18855000,33870000,36395000,51891000,81742000,64542000
37,Total Current Assets,26800000,40000000,54200000,76600000,99873000,120227000,172063000,212347000,154748000,139148000,206980000,252332000,234523000,299410000,265145000,273170000,299125000,318034000,249775000,304174000,369276000,409376000,430916000,583812000,841930000,933578000
38,PP&E,8100000,9200000,14700000,21400000,20888000,35466000,27555000,19347000,43909000,52359000,59812000,78945000,91113000,88379000,79495000,81620000,76530000,65371000,57641000,59264000,84622000,100454000,100545000,132524000,382031000,370441000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43074000,146187000,187780000,181355000,221991000,228265000,245791000,244573000,285608000,308287000,452915000,707560000,701833000,685729000,709703000,754205000
40,Intangible Assets,- -,- -,- -,- -,10734000,11894000,11450000,18872000,25881000,152453000,141354000,36789000,58333000,46350000,52179000,46310000,43371000,36223000,41855000,40052000,93161000,173543000,148935000,120551000,121095000,134986000
41,Intangible Assets,- -,- -,- -,- -,10734000,11894000,11450000,18872000,25881000,152453000,184428000,182976000,246113000,227705000,274170000,274575000,289162000,280796000,327463000,348339000,546076000,881103000,850768000,806280000,830798000,889191000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,3006000,4333000,3467000,3098000,722000,3554000,7211000,10279000,12295000,19601000,20166000,23113000,22023000,22377000,20599000,13406000,7412000,9716000,7571000,- -,2250000
44,Other Non-Current Assets,1600000,1600000,1700000,3500000,4073000,1958000,2010000,2126000,2291000,2847000,2454000,2286000,5246000,5348000,6197000,7909000,6213000,3973000,5956000,4295000,5781000,14970000,27502000,29943000,28629000,29480000
45,Total Non-Current Assets,9700000,10800000,16400000,24900000,35695000,52324000,45348000,43812000,75179000,208381000,250248000,271418000,352751000,333727000,379463000,384270000,395018000,372163000,413437000,432497000,649885000,1003939000,988531000,976318000,1241458000,1291362000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36500000,50800000,70600000,101500000,135568000,172551000,217411000,256159000,229927000,347529000,457228000,523750000,587274000,633137000,644608000,657440000,694143000,690197000,663212000,736671000,1019161000,1413315000,1419447000,1560130000,2083388000,2224940000
48,Accounts Payable,1200000,2200000,4800000,7600000,9874000,6183000,11427000,13793000,21123000,20400000,18110000,23461000,22366000,25121000,23976000,24603000,27680000,29864000,26971000,33880000,45836000,59214000,72059000,79620000,82094000,85777000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1840000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29056000,31576000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073000,2867000,- -,3769000,5036000,3755000,7781000,9112000,8453000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63104000
52,Other Current Liabilities,6600000,10700000,14300000,15900000,22071000,27490000,28471000,29581000,36664000,43285000,34029000,67189000,70260000,74242000,85300000,84820000,85496000,88389000,100320000,105900000,112374000,141925000,149075000,139303000,165143000,135248000
53,Total Current Liabilities,7800000,12900000,19100000,23500000,31945000,33673000,39898000,43374000,57787000,63685000,79301000,90650000,92626000,99363000,109276000,109423000,113176000,118253000,127291000,139780000,158210000,201139000,221134000,218923000,276293000,315705000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,300000000,575000000,574775000,574174000,846623000,834515000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8394000
56,Deferred Tax Liabilities,100000,200000,- -,- -,- -,- -,- -,- -,- -,6657000,8536000,6450000,5122000,10231000,3731000,3712000,2593000,2396000,2921000,1697000,1708000,24892000,21190000,16391000,19713000,14752000
57,Other Non-Current Liabilities,400000,100000,500000,400000,621000,616000,547000,556000,7594000,9079000,10703000,17339000,24055000,22714000,29195000,29117000,26110000,27769000,21918000,28610000,41862000,52593000,76448000,78386000,44384000,35221000
58,Total Non-Current Liabilities,500000,300000,500000,400000,621000,616000,547000,556000,7594000,15736000,19239000,23789000,29177000,32945000,32926000,32829000,28703000,30165000,24839000,65307000,343570000,652485000,672413000,668951000,910720000,892882000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301325000,291556000
61,Total Liabilities,8300000,13200000,19600000,23900000,32566000,34289000,40445000,43930000,65381000,79421000,98540000,114439000,121803000,132308000,142202000,142252000,141879000,148418000,152130000,205087000,501780000,853624000,893547000,887874000,1187013000,1208587000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200000,328000,334000,340000,346000,352000,545000,554000,562000,571000,581000,601000,614000,456000,481000,491000,503000,512000,518000,393000,401000,408000,412000
64,Retained Earnings,26700000,35600000,48400000,64600000,86011000,114774000,149561000,193611000,243324000,305636000,377846000,469880000,567381000,676626000,786844000,912078000,559714000,700519000,849504000,1021651000,1283927000,1458823000,122843000,373225000,633149000,912515000
65,Other Comprehensive Income/Loss,-12900000,-17700000,-24200000,-34000000,-45749000,-54584000,-67368000,-150000,-46000,-2048000,3328000,9680000,2182000,-10223000,-21385000,-5660000,-22726000,-31173000,-17921000,-44052000,-68553000,-34720000,-51439000,-74544000,-39293000,-38962000
66,Other Total Stockholders Equity,14400000,19700000,26800000,46800000,62412000,77738000,94433000,18422000,-79084000,-36025000,-23040000,-70811000,-104663000,-166155000,-263654000,-391844000,14820000,-128048000,-320992000,-446518000,-698505000,-864930000,454103000,373174000,302111000,142388000
67,Total Stockholders Equity,28200000,37600000,51000000,77600000,103002000,138262000,176966000,212229000,164546000,268108000,358688000,409311000,465471000,500829000,502406000,515188000,552264000,541779000,511082000,531584000,517381000,559691000,525900000,672256000,896375000,1016353000
68,Total Liabilities And Stockholders Equity,36500000,50800000,70600000,101500000,135568000,172551000,217411000,256159000,229927000,347529000,457228000,523750000,587274000,633137000,644608000,657440000,694143000,690197000,663212000,736671000,1019161000,1413315000,1419447000,1560130000,2083388000,2224940000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,36500000,50800000,70600000,101500000,135568000,172551000,217411000,256159000,229927000,347529000,457228000,523750000,587274000,633137000,644608000,657440000,694143000,690197000,663212000,736671000,1019161000,1413315000,1419447000,1560130000,2083388000,2224940000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1013237/000101323796000009/0001013237-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323797000009/0001013237-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323798000014/0001013237-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323799000032/0001013237-99-000032-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323700000049/0001013237-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323701500062/0001013237-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323702000114/0001013237-02-000114-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000095013503005820/0000950135-03-005820-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312504192497/0001193125-04-192497-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000104746905026820/a2164963z10-k.htm,https://www.sec.gov/Archives/edgar/data/1013237/000110465906074114/a06-22686_110k.htm,https://www.sec.gov/Archives/edgar/data/1013237/000119312507229389/0001193125-07-229389-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312508220373/0001193125-08-220373-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312509218675/0001193125-09-218675-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312510241170/0001193125-10-241170-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000119312511288590/0001193125-11-288590-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774912010651/0001437749-12-010651-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774913013610/0001437749-13-013610-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774914019084/0001437749-14-019084-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774915019227/0001437749-15-019227-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774916040606/0001437749-16-040606-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774917017840/0001437749-17-017840-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774918019028/0001437749-18-019028-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000143774919020894/0001437749-19-020894-index.html,https://www.sec.gov/Archives/edgar/data/1013237/000101323720000153/0001013237-20-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1013237/000101323721000142/0001013237-21-000142-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6500000,8900000,12800000,18600000,25279000,33401000,40848000,51438000,58017000,71765000,82916000,109567000,125017000,144950000,150211000,171046000,188809000,198637000,211543000,241051000,338815000,258259000,267085000,352790000,372938000,399590000
74,Depreciation and Amortization,3000000,4700000,6600000,9800000,11865000,16524000,18276000,17541000,14658000,18318000,24256000,28560000,30654000,34337000,37343000,36847000,33779000,35779000,34435000,31349000,38052000,48294000,57285000,60463000,100799000,107322000
75,Deferred Income Tax,-900000,-1200000,-1200000,-2900000,-2098000,1249000,-2070000,1458000,-693000,3029000,505000,-7189000,-4828000,-4318000,-5827000,-1806000,-3760000,3175000,-1028000,-969000,4528000,4879000,-1910000,-2278000,10626000,-4602000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13623000,14065000,25773000,21982000,39951000,22891000,26371000,29793000,34183000,31516000,32400000,36579000,45065000
77,Change in Working Capital,1900000,8100000,8000000,18000000,14828000,18626000,45611000,36808000,-72012000,-21498000,52216000,34003000,-19785000,58150000,-44178000,7878000,22202000,13832000,-77297000,41910000,46672000,-2829000,1545000,155107000,200748000,7851000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12005000,3883000,-15311000,2083000,859000,-13299000,-4300000,-3541000,-29503000,-8417000,10205000,-8608000,3646000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3355000,-2903000,8123000,5525000,-2226000,12077000,-2290000,12427000,2068000
81,Other Working Capital,19000000,27100000,35100000,53100000,67928000,86554000,132165000,168973000,96961000,75463000,127679000,161682000,141897000,200047000,155869000,163747000,185949000,199781000,122484000,164394000,211066000,208237000,209782000,364889000,565637000,18589000
82,Other Non-Cash Items,-100000,-3500000,-4900000,-17900000,-19312000,-20193000,-35970000,-32534000,76400000,22732000,-39071000,-9033000,12066000,-38972000,59466000,-32602000,-31047000,-21565000,74479000,-33270000,-126720000,-22259000,30147000,-171346000,-215850000,- -
83,Cash Provided by Operating Activities,10400000,17000000,21300000,25600000,30562000,49607000,66695000,74711000,76370000,94346000,120822000,155908000,143124000,207770000,211080000,207136000,231965000,269809000,265023000,306442000,331140000,320527000,385668000,427136000,505840000,555226000
84,CAPEX,-6400000,-5800000,-12000000,-16500000,-11303000,-30143000,-10021000,-8457000,-37838000,-21935000,-23689000,-39251000,-35780000,-24040000,-20768000,-29343000,-22520000,-18517000,-17743000,-25682000,-47740000,-36862000,-33520000,-59370000,-77642000,-61325000
85,Acquisitions Net,- -,- -,- -,- -,-9778000,-2261000,100000,-7702000,-6478000,-92224000,-28280000,- -,-75869000,- -,-55180000,- -,-21329000,-705000,-46873000,-34758000,-109772000,-303086000,-15000000,- -,- -,-58056000
86,Purchases of Investments,-200000,- -,- -,-22900000,- -,-17800000,-45291000,-32411000,- -,- -,-62000,-17955000,-52011000,- -,- -,- -,-15000000,-15613000,-20415000,-24264000,-18137000,-30757000,-12470000,-11135000,-2736000,-18787000
87,Sales/Maturities of Investments,300000,- -,1400000,- -,227000,- -,- -,- -,98716000,3033000,- -,17213000,44392000,25260000,- -,- -,- -,14423000,14323000,19827000,17241000,23399000,12459000,14405000,6746000,2176000
88,Other Investing Activites,300000,- -,- -,- -,- -,- -,- -,- -,6092000,- -,2910000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6000000,-5800000,-10600000,-39400000,-20854000,-50204000,-55212000,-48570000,60492000,-111126000,-49121000,-39993000,-119268000,1220000,-75948000,-29343000,-58849000,-20412000,-70708000,-64877000,-158408000,-347306000,-48531000,-56100000,-73632000,-135992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365000000,- -,-575000000,- -,- -
91,Common Stock Issued,- -,100000,200000,2900000,2384000,4016000,4194000,8950000,8841000,20223000,16629000,15612000,20562000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-100000,- -,-900000,-1036000,-459000,-4064000,-22111000,-110513000,-13509000,-16253000,-80299000,-77869000,-103827000,-192816000,-216584000,-153641000,-332168000,-279829000,-256217000,-356828000,-260978000,-303955000,-220372000,-199625000,-264702000
93,Dividends Paid,- -,- -,- -,-1400000,-3264000,-4006000,-5377000,-6673000,-7736000,-8837000,-10043000,-14654000,-25848000,-34770000,-38494000,-43949000,-49983000,-56002000,-61007000,-66551000,-74218000,-80898000,-89408000,-100052000,-110439000,-117927000
94,Other Financing Activites,-300000,100000,- -,7500000,- -,- -,- -,- -,- -,- -,5614000,5135000,9572000,28178000,79742000,61410000,44906000,149762000,64107000,135442000,340044000,698715000,73326000,681150000,91989000,59918000
95,Cash Used/Provided by Financing Activities,-300000,100000,200000,8100000,-1916000,-449000,-5247000,-19834000,-109408000,-2123000,-4053000,-74206000,-73583000,-110419000,-151568000,-199123000,-158718000,-238408000,-276729000,-187326000,-91002000,-8161000,-320037000,-214274000,-218075000,-322711000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220000,-556000,576000,-1121000,-237000,-4143000,7274000,-7039000,-3406000,2165000,-11703000,-12237000,1264000,-3208000,-5586000,11673000,-263000
97,Net Change In Cash,4100000,11100000,200000,-5800000,7792000,-1046000,6236000,6307000,27454000,-19123000,67092000,42285000,-50848000,98334000,-20579000,-14056000,7359000,7583000,-80249000,42536000,69493000,-33676000,13892000,151176000,225806000,96260000
98,Cash at the End of Period,15700000,26800000,- -,31800000,39629000,38583000,44819000,51126000,78580000,59457000,126549000,168834000,117986000,216320000,195741000,181685000,189044000,196627000,116378000,158914000,228407000,194731000,208623000,359799000,585605000,681865000
99,Cash at the Beginning of Period,11600000,15700000,26800000,37600000,31837000,39629000,38583000,44819000,51126000,78580000,59457000,126549000,168834000,117986000,216320000,195741000,181685000,189044000,196627000,116378000,158914000,228407000,194731000,208623000,359799000,585605000
100,Free Cash Flow,4000000,11200000,9300000,9100000,19259000,19464000,56674000,66254000,38532000,72411000,97133000,116657000,107344000,183730000,190312000,177793000,209445000,251292000,247280000,280760000,283400000,283665000,352148000,367766000,428198000,493901000
