,https://roic.ai/company/TMO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0738,0.0772,0.0856,0.0769,0.0810,0.0986,0.1184,0.1221,0.1219,0.1482,0.1468,0.1422,- -,0.1545,0.1332,0.0761,0.0569,0.2202,0.1452,0.2125,0.1649,0.1194,0.1662,0.1855,0.1812,0.1874,0.2111,0.1930,0.1968,0.2517,0.2378,0.2325,0.2415,0.2544,0.2750,0.3136,0.3051
17,Operating Income,4900000,12300000,7500000,19200000,17800000,35600000,38300000,68300000,123600000,179800000,247300000,284200000,- -,407000000,375800000,198160000,34202000,155453000,184774000,237512000,263487000,241959000,974400000,1229400000,1048900000,1264900000,1245200000,1482100000,1609600000,2503000000,2336200000,2449200000,2968000000,3783000000,4594000000,7794000000,10028000000
18,Operating Income ratio,0.0184,0.0371,0.0196,0.0384,0.0307,0.0503,0.0475,0.0720,0.0989,0.1134,0.1121,0.0969,- -,0.1144,0.0972,0.0869,0.0156,0.0745,0.0881,0.1077,0.1001,0.0638,0.1000,0.1171,0.1038,0.1172,0.1062,0.1185,0.1230,0.1482,0.1377,0.1340,0.1419,0.1553,0.1799,0.2419,0.2557
19,Total Other Income Expenses (Gains),6900000,4900000,15200000,8200000,16400000,15400000,33700000,19800000,-13600000,-7200000,51700000,90800000,- -,81000000,16200000,-13160000,36798000,132547000,33859000,21707000,22411000,-32589000,-93100000,-79800000,-121800000,-100300000,-118600000,-212700000,-290100000,-415800000,-399800000,-425300000,-539000000,-521000000,-524000000,-569000000,-1187000000
20,Income Before Tax,11800000,17200000,22700000,27400000,34200000,51000000,72000000,88100000,110000000,172600000,299000000,375000000,- -,488000000,392000000,185000000,71000000,288000000,218633000,259219000,285898000,209370000,881300000,1149600000,927100000,1164600000,1126600000,1269400000,1319500000,2087200000,1936400000,2023900000,2429000000,3262000000,4070000000,7225000000,8841000000
21,Income Before Tax Ratio,0.0444,0.0519,0.0592,0.0547,0.0591,0.0720,0.0894,0.0928,0.0880,0.1089,0.1355,0.1279,- -,0.1372,0.1013,0.0811,0.0324,0.1381,0.1043,0.1175,0.1086,0.0552,0.0904,0.1095,0.0917,0.1079,0.0961,0.1015,0.1008,0.1236,0.1141,0.1108,0.1161,0.1339,0.1593,0.2243,0.2255
22,Income Tax expense (Gain),2200000,2900000,4600000,7300000,9600000,17100000,24900000,27500000,33400000,69200000,99000000,111000000,- -,175000000,171000000,112000000,27000000,93000000,45936000,40852000,87597000,43054000,101700000,160900000,75800000,131500000,107000000,11000000,40400000,191700000,-43900000,-1400000,201000000,324000000,374000000,850000000,1109000000
23,Net Income,9600000,14300000,18100000,20100000,24600000,33900000,47100000,59200000,76600000,103400000,140000000,191000000,- -,239000000,182000000,-36000000,-1000000,310000000,200009000,361837000,223218000,168935000,761100000,994200000,850300000,1035600000,1329900000,1177900000,1273300000,1894400000,1975400000,2021800000,2225000000,2938000000,3696000000,6375000000,7725000000
24,Net Income ratio,0.0361,0.0431,0.0472,0.0402,0.0425,0.0479,0.0585,0.0624,0.0613,0.0652,0.0634,0.0651,- -,0.0672,0.0471,-0.0158,-0.0005,0.1486,0.0954,0.1640,0.0848,0.0446,0.0781,0.0947,0.0841,0.0960,0.1134,0.0942,0.0973,0.1122,0.1164,0.1106,0.1064,0.1206,0.1447,0.1979,0.1970
25,EPS,0.04,0.07,0.09,0.10,0.11,0.14,0.17,0.18,0.33,0.93,1.11,1.35,- -,1.57,1.12,-0.22,-0.01,1.84,1.23,2.22,1.38,0.86,1.81,2.38,2.06,2.57,3.49,3.24,3.53,4.76,4.96,5.12,5.64,7.31,9.24,16.09,19.51
26,EPS Diluted,0.04,0.07,0.09,0.09,0.10,0.13,0.16,0.17,0.29,0.82,0.99,1.22,- -,1.41,1.07,-0.22,-0.01,1.73,1.20,2.17,1.36,0.84,1.72,2.29,2.01,2.53,3.46,3.21,3.48,4.71,4.92,5.09,5.59,7.24,9.17,15.96,19.36
27,Weighted Average Shares Outstanding,48801000,58738000,57909000,58718000,61063000,70604000,87055000,91036000,107711000,110801250,125484000,141525000,- -,152489000,161866000,167462000,180560000,168572000,162713000,163133000,161587000,196057000,421500000,418200000,412400000,403300000,380800000,363800000,360300000,398200000,398700000,394800000,395000000,402000000,400000000,396000000,396000000
28,Weighted Average Shares Outstanding Diluted,48801000,58738000,57909000,58718000,61063000,70604000,87055000,91036000,107711000,145530000,158103000,175700000,- -,176082000,178449000,170519000,183916000,186611000,170730000,167641000,165334000,203672000,443700000,434800000,423034826,409400000,384800000,366600000,365800000,402300000,401900000,397400000,398000000,406000000,403000000,399000000,399000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774595000027/0000097745-95-000027-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774504000036/0000097745-04-000036-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774507000053/tmok2006.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774508000043/tmok2007.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774509000011/0000097745-09-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774511000013/tmok2010.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774512000010/0000097745-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774513000007/0000097745-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774514000014/tmok2013.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774515000007/tmok2014.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774516000043/0000097745-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774517000007/0000097745-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/0000097745-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/0000097745-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/0000097745-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774521000011/0000097745-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774522000011/0000097745-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,382800000,462000000,414000000,- -,594000000,397000000,506000000,298000000,339000000,303912000,326886000,214326000,667434000,625100000,1280500000,1564100000,917100000,1016300000,851000000,5826000000,1343500000,452100000,786200000,1335000000,2103000000,2399000000,10325000000,4477000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594000000,1432000000,- -,929000000,1151000000,521000000,744000000,536000000,114326000,185369000,80661000,23762000,14100000,7500000,7100000,8900000,4300000,4300000,4500000,8500000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,382800000,1056000000,1846000000,- -,1523000000,1548000000,1027000000,1042000000,875000000,418238000,512255000,294987000,691196000,639200000,1288000000,1571200000,926000000,1020600000,855300000,5830500000,1352000000,452100000,786200000,1335000000,2103000000,2399000000,10325000000,4477000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,374800000,551000000,694000000,- -,867000000,963000000,450000000,435000000,430000000,460926000,469553000,565564000,1392743000,1450000000,1478100000,1409600000,1516800000,1814100000,1804900000,1942300000,2473600000,2544900000,3426800000,4311000000,4136000000,4952000000,6472000000,8945000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,233400000,318000000,433000000,- -,544000000,600000000,394000000,337000000,333000000,343758000,336711000,359392000,1164465000,1169900000,1171400000,1131400000,1175100000,1355400000,1443300000,1494500000,1859500000,1991700000,2213300000,2971000000,3005000000,3370000000,4029000000,5051000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,691700000,96000000,159000000,- -,160000000,190000000,595000000,151000000,134000000,172334000,151135000,133957000,411132000,406200000,408400000,418700000,517100000,631800000,731300000,613400000,854700000,752500000,594700000,804000000,1381000000,1172000000,1131000000,1640000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1682700000,2021000000,3132000000,- -,3094000000,3301000000,2466000000,1965000000,1772000000,1395256000,1469654000,1353900000,3659536000,3665300000,4345900000,4530900000,4135000000,4821900000,4834800000,9880700000,6539800000,5741200000,7021000000,9421000000,10625000000,11893000000,21957000000,20113000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,614000000,713000000,704000000,- -,789000000,833000000,286000000,271000000,273000000,300702000,261041000,280654000,1256727000,1267400000,1275300000,1333400000,1408600000,1656200000,1726400000,1767400000,2426500000,2448800000,2577800000,4047000000,4165000000,4749000000,5912000000,8333000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,827000000,1083000000,- -,1692000000,1916000000,1379000000,1348000000,1416000000,- -,- -,- -,8524989000,8713200000,8677700000,8982900000,9270600000,11988000000,12474500000,12503300000,18842600000,18827600000,21327800000,25290000000,25347000000,25714000000,26041000000,41924000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,575500000,- -,- -,- -,- -,- -,- -,- -,- -,1557177000,1671602000,2416935000,7511565000,7157800000,6423200000,6337000000,6041100000,7815900000,7804500000,7071300000,14110100000,12758300000,13969000000,16684000000,14978000000,14014000000,12685000000,20113000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,575500000,827000000,1083000000,- -,1692000000,1916000000,1379000000,1348000000,1416000000,1557177000,1671602000,2416935000,16036554000,15871000000,15100900000,15319900000,15311700000,19803900000,20279000000,19574600000,32952700000,31585900000,35296800000,41974000000,40325000000,39728000000,38726000000,62037000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,94000000,- -,63000000,96000000,17000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,- -,- -,91000000,102000000,11000000,8000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,147700000,39000000,128000000,- -,67000000,84000000,704000000,224000000,176000000,135834000,174428000,200080000,309421000,403700000,367900000,440800000,494100000,551700000,604400000,640700000,933100000,1113100000,1011900000,1227000000,1117000000,2011000000,2457000000,4640000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337200000,1724000000,2009000000,- -,2702000000,3031000000,2397000000,1860000000,1875000000,1993713000,2107071000,2897669000,17602702000,17542100000,16744100000,17094100000,17214400000,22011800000,22609800000,21982700000,36312300000,35147800000,38886500000,47248000000,45607000000,46488000000,47095000000,75010000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3019900000,3745000000,5141000000,- -,5796000000,6332000000,4863000000,3825000000,3647000000,3388969000,3576725000,4251569000,21262238000,21207400000,21090000000,21625000000,21349400000,26833700000,27444600000,31863400000,42852100000,40889000000,45907500000,56669000000,56232000000,58381000000,69052000000,95123000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,112200000,165000000,204000000,- -,252000000,273000000,140000000,112000000,112000000,114206000,94671000,153475000,630815000,676900000,539500000,533600000,551000000,628700000,641400000,691500000,820700000,822200000,926200000,1428000000,1615000000,1920000000,2175000000,2867000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,106000000,- -,- -,- -,- -,81000000,59000000,484480000,45981000,15017000,130137000,483298000,149300000,14800000,117500000,105800000,1272800000,93100000,987700000,2212400000,1052800000,1255500000,2135000000,1271000000,676000000,2628000000,2537000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,59200000,- -,- -,- -,165100000,212500000,165400000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65224000,77778000,85592000,121319000,128500000,135300000,139800000,158300000,192500000,196500000,198900000,311900000,317900000,485900000,719000000,809000000,916000000,1271000000,2655000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,341300000,444000000,709000000,- -,840000000,865000000,508000000,971000000,507520000,459382000,391262000,422458000,916889000,946900000,850600000,848400000,894700000,1019100000,1162300000,1247900000,2004800000,1954400000,2198200000,2766000000,2452000000,2685000000,4230000000,5377000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,536500000,715000000,913000000,- -,1092000000,1138000000,729000000,1142000000,1104000000,684793000,578728000,791662000,2152321000,1901600000,1540200000,1639300000,1709800000,3113100000,2093300000,3126000000,5349800000,4147300000,4865800000,7048000000,6147000000,6197000000,10304000000,13436000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1049800000,1116000000,1550000000,- -,1743000000,2026000000,1528000000,728000000,451000000,229509000,226070000,468630000,2180705000,2045900000,2043500000,2065900000,2031300000,5755200000,7031200000,9499600000,12351600000,11473900000,15372400000,18873000000,17719000000,17076000000,19107000000,32333000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,57900000,- -,- -,- -,- -,- -,- -,- -,- -,11589000,15213000,65015000,2557479000,2279900000,1978000000,1933800000,1684400000,2230900000,2047200000,1609900000,3430700000,2622600000,2557400000,2766000000,2265000000,2192000000,1794000000,3837000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,57700000,614000000,924000000,- -,963000000,920000000,72000000,47000000,59000000,80272000,91164000,132950000,459906000,491700000,601700000,555100000,562900000,696400000,808200000,771800000,1171900000,1295000000,1572600000,2569000000,2515000000,3241000000,3340000000,4540000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165400000,1730000000,2474000000,- -,2706000000,2946000000,1600000000,775000000,510000000,321370000,332447000,666595000,5198090000,4817500000,4623200000,4554800000,4278600000,8682500000,9886600000,11881300000,16954200000,15391500000,19502400000,24208000000,22499000000,22509000000,24241000000,40710000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701900000,2445000000,3387000000,- -,3798000000,4084000000,2329000000,1917000000,1614000000,1006163000,911175000,1458257000,7350411000,6719100000,6163400000,6194100000,5988400000,11795600000,11979900000,15007300000,22304000000,19538800000,24368200000,31256000000,28646000000,28706000000,34545000000,54146000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,150000000,- -,159000000,167000000,196000000,200000000,170000000,175480000,179819000,181817000,424240000,439300000,421800000,423900000,401800000,406400000,413500000,369600000,408500000,411900000,415100000,428000000,432000000,434000000,437000000,439000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,465500000,612000000,795000000,- -,1035000000,1217000000,1006000000,510000000,819000000,1019420000,1381257000,1604475000,1773410000,2534500000,3528700000,4350800000,5386400000,6716300000,7697300000,8753300000,10406900000,12142300000,13926900000,15914000000,18696000000,22092000000,28116000000,35431000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179200000,2000000,16000000,- -,-72000000,-36000000,-103000000,-204000000,-38510000,81494000,158805000,23345000,150158000,388400000,-145800000,92000000,43600000,-399500000,-150400000,-77200000,-1285000000,-1997300000,-2636300000,-2003000000,-2498000000,-2679000000,-2807000000,-2329000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,704000000,598000000,793000000,- -,876000000,900000000,1435000000,1402000000,1082833000,1106412000,945669000,983675000,11564019000,11126100000,11121900000,10564200000,9529200000,8314900000,7504300000,7810400000,11017700000,10793300000,9833600000,11074000000,10956000000,9828000000,8761000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,990300000,1300000000,1754000000,- -,1998000000,2248000000,2534000000,1908000000,2033323000,2382806000,2665550000,2793312000,13911827000,14488300000,14926600000,15430900000,15361000000,15038100000,15464700000,16856100000,20548100000,21350200000,21539300000,25413000000,27586000000,29675000000,34507000000,40793000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692200000,3745000000,5141000000,- -,5796000000,6332000000,4863000000,3825000000,3647323000,3388969000,3576725000,4251569000,21262238000,21207400000,21090000000,21625000000,21349400000,26833700000,27444600000,31863400000,42852100000,40889000000,45907500000,56669000000,56232000000,58381000000,69052000000,94939000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,327700000,- -,- -,- -,- -,- -,- -,- -,-323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3019900000,3745000000,5141000000,- -,5796000000,6332000000,4863000000,3825000000,3647000000,3388969000,3576725000,4251569000,21262238000,21207400000,21090000000,21625000000,21349400000,26833700000,27444600000,31863400000,42852100000,40889000000,45907500000,56669000000,56232000000,58381000000,69052000000,95123000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/97745/000009774595000027/0000097745-95-000027-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774504000036/0000097745-04-000036-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774507000053/tmok2006.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774508000043/tmok2007.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774509000011/0000097745-09-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774511000013/tmok2010.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774512000010/0000097745-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774513000007/0000097745-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774514000014/tmok2013.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774515000007/tmok2014.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774516000043/0000097745-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774517000007/0000097745-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/0000097745-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/0000097745-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/0000097745-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774521000011/0000097745-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774522000011/0000097745-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,24600000,33900000,47100000,59200000,76600000,103400000,140000000,191000000,- -,239000000,182000000,-36000000,-1000000,310000000,200009000,361837000,223218000,168935000,761100000,994200000,850300000,1035600000,1329900000,1177900000,1273300000,1894400000,1975400000,2021800000,2225000000,2938000000,3696000000,6375000000,7725000000
74,Depreciation and Amortization,- -,- -,- -,- -,12700000,18800000,23400000,29200000,42400000,62300000,85000000,115200000,- -,135700000,162300000,97486000,98521000,56376000,58548000,66141000,123272000,240773000,756800000,792700000,787300000,770000000,863500000,983700000,999900000,1684800000,1688200000,1758000000,2033000000,2267000000,2277000000,2325000000,2592000000
75,Deferred Income Tax,- -,- -,- -,- -,-2100000,-200000,200000,12300000,13900000,9400000,4600000,20900000,- -,1100000,2500000,-39700000,-16751000,23770000,-16123000,3004000,-5417000,-73627000,-90800000,-123100000,-248600000,-272400000,-123100000,-301600000,-472800000,-621800000,-524800000,-620000000,-1098000000,-379000000,-302000000,-552000000,-647000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68100000,83100000,80200000,78200000,90900000,117100000,125000000,133500000,159000000,181000000,181000000,196000000,230000000
77,Change in Working Capital,- -,- -,- -,- -,19800000,- -,- -,- -,- -,1146200000,159800000,913000000,- -,-217000000,161000000,286000000,-914000000,-155000000,42463000,180463000,-328688000,944977000,256485000,1042000000,85900000,-466400000,-716400000,1032700000,4013200000,-5564700000,403900000,561300000,217800000,2105000000,1218000000,5957000000,-1514000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127300000,-89500000,-107300000,12000000,-147900000,-145400000,-149400000,-352200000,-362000000,-366000000,-225000000,-1302000000,-204000000
