,https://roic.ai/company/GIII,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,COGS and Expenses,87100000,144100000,138300000,168600000,109100000,204100000,172300000,119600000,111500000,115300000,122600000,138855000,165959000,193974000,198474000,209268000,211212000,307114000,399159000,486513000,715023000,744657000,966472000,1144977000,1299231000,1586780000,1951960000,2159658000,2282491000,2645063000,2842681000,2913439000,1954431000,2453990000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4705000,4027000,5713000,7764000,9223000,7942000,6691000,15675000,43488000,43924000,44407000,50354000,49666000
14,Depreciation and Amortization,200000,200000,300000,600000,400000,1000000,1200000,1600000,1500000,1200000,1400000,1438000,1160000,1216000,1489000,1275000,1344000,3131000,4431000,5427000,6947000,5380000,5733000,7473000,9941000,13676000,20374000,25392000,32481000,37783000,38819000,38735000,38625000,27626000
15,EBITDA,10500000,16400000,2600000,6200000,6500000,3400000,-14600000,1300000,5500000,4900000,-300000,11152000,19750000,5091000,3759000,14889000,3324000,15740000,25927000,34624000,-2494000,61587000,102665000,92426000,110016000,146085000,198127000,211216000,125918000,191320000,266573000,265240000,124727000,348760000
16,EBITDA ratio,0.1063,0.1013,0.0183,0.0353,0.0559,0.0163,-0.0852,0.0107,0.0468,0.0408,-0.0025,0.0745,0.1056,0.0253,0.0185,0.0665,0.0155,0.0486,0.0607,0.0667,-0.0035,0.0769,0.0965,0.0751,0.0786,0.0850,0.0936,0.0901,0.0528,0.0682,0.0867,0.0839,0.0607,0.1261
17,Operating Income,11700000,17800000,3700000,6900000,7100000,4800000,-900000,2100000,6100000,4800000,-1000000,10777000,21098000,7452000,4177000,14793000,3066000,16958000,27858000,32355000,-3877000,56207000,96932000,86224000,100488000,131451000,164895000,184484000,93464000,153991000,230714000,227654000,82842000,311093000
18,Operating Income ratio,0.1184,0.1099,0.0261,0.0393,0.0611,0.0230,-0.0053,0.0173,0.0519,0.0400,-0.0082,0.0720,0.1128,0.0370,0.0206,0.0660,0.0143,0.0523,0.0652,0.0624,-0.0055,0.0702,0.0912,0.0700,0.0718,0.0765,0.0779,0.0787,0.0392,0.0549,0.0750,0.0720,0.0403,0.1124
19,Total Other Income Expenses (Gains),-1400000,-1600000,-1400000,-1300000,-1000000,-2400000,-14900000,-2400000,-2100000,-1100000,-700000,-1063000,-2508000,-3577000,-1907000,-1179000,-1086000,-4349000,-6362000,-3158000,-5564000,-4705000,-4027000,-6984000,-8483000,-9223000,3546000,-5351000,-15702000,-43942000,-46884000,-45556000,-47116000,-40117000
20,Income Before Tax,10300000,16200000,2300000,5600000,6100000,2400000,-15800000,-300000,4000000,3700000,-1700000,9714000,18590000,3875000,2270000,13614000,1980000,12609000,21496000,29197000,-9441000,51502000,92905000,79240000,92005000,122228000,168441000,179133000,77762000,110049000,183830000,182098000,35726000,270976000
21,Income Before Tax Ratio,0.1043,0.1001,0.0162,0.0319,0.0525,0.0115,-0.0922,-0.0025,0.0340,0.0308,-0.0140,0.0649,0.0994,0.0192,0.0112,0.0608,0.0092,0.0389,0.0503,0.0563,-0.0133,0.0643,0.0874,0.0644,0.0657,0.0711,0.0796,0.0764,0.0326,0.0392,0.0598,0.0576,0.0174,0.0979
22,Income Tax expense (Gain),4400000,6600000,1000000,2300000,2600000,1100000,-4100000,100000,900000,900000,-500000,3934000,7436000,1511000,1888000,5238000,1277000,5517000,8307000,11707000,4588000,19784000,36223000,29620000,35436000,45826000,59450000,64800000,25824000,47925000,45763000,38261000,12203000,70875000
23,Net Income,5900000,9600000,1300000,3300000,3500000,1300000,-11700000,-400000,3100000,2800000,-1200000,5780000,11154000,2364000,382000,8376000,703000,7092000,13189000,17490000,-14029000,31718000,56682000,49620000,56875000,77360000,110361000,114333000,51938000,62124000,138067000,143837000,23545000,200593000
24,Net Income ratio,0.0597,0.0593,0.0092,0.0188,0.0301,0.0062,-0.0683,-0.0033,0.0264,0.0233,-0.0099,0.0386,0.0596,0.0117,0.0019,0.0374,0.0033,0.0219,0.0309,0.0337,-0.0197,0.0396,0.0533,0.0403,0.0406,0.0450,0.0521,0.0488,0.0218,0.0221,0.0449,0.0455,0.0115,0.0725
25,EPS,0.41,0.54,0.07,0.17,0.18,0.07,-0.61,-0.02,0.15,0.14,-0.06,0.29,0.57,0.12,0.02,0.40,0.03,0.31,0.50,0.55,-0.42,0.94,1.48,1.25,1.42,1.91,2.55,2.52,1.12,1.27,2.81,2.98,0.49,4.12
26,EPS Diluted,0.41,0.54,0.07,0.17,0.18,0.07,-0.61,-0.02,0.15,0.13,-0.06,0.28,0.52,0.11,0.02,0.38,0.03,0.29,0.47,0.53,-0.42,0.92,1.44,1.23,1.40,1.85,2.48,2.46,1.10,1.25,2.75,2.94,0.48,4.05
27,Weighted Average Shares Outstanding,14500946,17659882,18562147,19402064,19801420,19490255,19276076,19380000,20238000,19461000,19617000,20136000,19686000,20028000,20292000,20736000,21546000,23018000,26398000,32238000,33072000,33980000,38350000,39592000,40012000,40646000,43298000,45328000,46308000,48820000,49140000,48209000,48242000,48242000
28,Weighted Average Shares Outstanding Diluted,14500946,17659882,18562147,19402064,19801420,19490255,19276076,19380000,20550000,21153000,19617000,20544000,21363000,22122000,22041000,22044000,22584000,24472000,27964000,33340000,33072000,34716000,39410000,40384000,40560000,41728000,44424000,46512000,47394000,49750000,50274000,48895000,48781000,48781000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095011796000364/0000950117-96-000364-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095011797000764/0000950117-97-000764-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095011700001093/0000950117-00-001093-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095011701500129/0000950117-01-500129-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095013607002886/0000950136-07-002886-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095013608001896/0000950136-08-001896-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012309006668/0000950123-09-006668-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012310035136/0000950123-10-035136-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012311035353/0000950123-11-035353-index.html,https://www.sec.gov/Archives/edgar/data/821002/000119312512158857/d312043d10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000119312513153157/0001193125-13-153157-index.html,https://www.sec.gov/Archives/edgar/data/821002/000157104914000998/t1400483-10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000157104915002473/t1500627-10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000157104916013440/0001571049-16-013440-index.html,https://www.sec.gov/Archives/edgar/data/821002/000157104917003132/0001571049-17-003132-index.html,https://www.sec.gov/Archives/edgar/data/821002/000114420418018565/0001144204-18-018565-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837019002565/0001558370-19-002565-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837020003389/0001558370-20-003389-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837021003547/0001558370-21-003547-index.htm,https://www.sec.gov/Archives/edgar/data/821002/000155837022004512/0001558370-22-004512-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,1700000,4400000,1200000,1800000,800000,1400000,7600000,13100000,5800000,7200000,14530000,9231000,2481000,3408000,16072000,16574000,7031000,12026000,38341000,2508000,46813000,10045000,24660000,27360000,22091000,128354000,132587000,79957000,45776000,70138000,197372000,351934000,465984000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3500000,1700000,4400000,1200000,1800000,800000,1400000,7600000,13100000,5800000,7200000,14530000,9231000,2481000,3408000,16072000,16574000,7031000,12026000,38341000,2508000,46813000,10045000,24660000,27360000,22091000,128354000,132587000,79957000,45776000,70138000,197372000,351934000,465984000
34,Net Receivables,19400000,32500000,22900000,28600000,13400000,15200000,15300000,11800000,7200000,11400000,10600000,16597000,11528000,9922000,19157000,19304000,24783000,45751000,60960000,66944000,69695000,73456000,138341000,162510000,178216000,160010000,198635000,221500000,263881000,294430000,502133000,530137000,492698000,605512000
35,Inventory,10200000,28100000,25000000,51700000,35400000,38400000,25500000,14200000,14000000,20200000,16400000,21175000,42450000,37172000,30948000,28361000,24108000,30395000,38111000,59934000,116612000,119877000,204995000,253521000,280929000,359639000,426180000,485311000,483269000,553323000,576383000,551918000,416503000,512155000
36,Other Current Assets,2300000,2700000,2700000,1200000,500000,1700000,2800000,-1300000,900000,1800000,1700000,-2998000,-1761000,9035000,8642000,8823000,7244000,11945000,15032000,18546000,21884000,26009000,25406000,24087000,30080000,44450000,45697000,63042000,55831000,66072000,105241000,89261000,82905000,69206000
37,Total Current Assets,35400000,65000000,55000000,82700000,51100000,56100000,45000000,32300000,35200000,39200000,35900000,49304000,61448000,58610000,62155000,72560000,72709000,95122000,126129000,183765000,210699000,266155000,378787000,464778000,516585000,586190000,798866000,902440000,882938000,959601000,1253895000,1368688000,1344040000,1652857000
38,PP&E,2200000,3000000,3900000,4700000,4600000,9200000,7000000,6300000,5000000,3400000,3800000,3316000,2940000,3021000,2065000,1969000,2350000,4296000,5641000,5261000,9863000,7539000,22556000,33365000,40816000,62832000,81671000,103579000,102571000,97857000,86407000,346055000,243134000,218400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18501000,25006000,31746000,25494000,26100000,26100000,26100000,60396000,55604000,52130000,49437000,269262000,262710000,261137000,260622000,263135000,262527000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15287000,11971000,11143000,21406000,19826000,18483000,17611000,89922000,95012000,86330000,78066000,483972000,488670000,482146000,477021000,478671000,31361000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33788000,36977000,42889000,46900000,45926000,44583000,43711000,150318000,150616000,138460000,127503000,753234000,751380000,743283000,737643000,741806000,293888000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2419000,- -,- -,- -,25662000,61171000,62422000,66587000,61987000,63523000,65503000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4889000,1954000,2181000,1940000,2050000,2415000,2800000,3944000,11640000,10672000,8304000,- -,- -,- -,- -,- -,15849000,11439000,22427000,18135000,5098000,3559000
44,Other Non-Current Assets,500000,400000,1200000,1400000,1800000,2300000,2600000,2700000,4300000,4100000,5200000,6981000,2675000,4116000,4555000,4227000,3486000,2696000,1982000,1839000,1858000,1723000,2173000,1830000,10053000,31259000,27721000,24886000,36181000,32478000,35459000,32629000,38785000,508321000
45,Total Non-Current Assets,2700000,3400000,5100000,6100000,6400000,11500000,9600000,9000000,9300000,7500000,9000000,10297000,10504000,9091000,8801000,8136000,7886000,43195000,47400000,53933000,70261000,65860000,77616000,81325000,201187000,244707000,247852000,281630000,969006000,955576000,954163000,1196449000,1092346000,1089671000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2742528000
47,Total Assets,38100000,68400000,60100000,88800000,57500000,67600000,54600000,41300000,44500000,46700000,44900000,59601000,71952000,67701000,70956000,80696000,80595000,138317000,173529000,237698000,280960000,332015000,456403000,546103000,717772000,830897000,1046718000,1184070000,1851944000,1915177000,2208058000,2565137000,2436386000,2742528000
48,Accounts Payable,- -,4900000,- -,6900000,5600000,10300000,3900000,2500000,2200000,2600000,2600000,5875000,7411000,5079000,5699000,6155000,6565000,9749000,12430000,24290000,51463000,50337000,103012000,96727000,104037000,131241000,177498000,173586000,217902000,232364000,225499000,204786000,139183000,236921000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3600000,3800000,3700000,2900000,3427000,1580000,106000,885000,852000,972000,7578000,11130000,13060000,29048000,- -,- -,30050000,65000000,48843000,- -,- -,- -,- -,- -,63839000,47962000,47000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10874000,41000,6212000,12181000,- -,- -,- -,2242000,19748000,8859000,8468000,11853000,14502000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,29200000,30200000,25600000,43900000,10500000,14300000,18500000,4000000,4700000,3700000,3200000,8847000,10599000,7379000,8311000,8165000,5304000,16598000,20711000,26001000,31034000,41736000,36281000,49742000,64179000,61142000,63665000,71218000,97517000,114803000,355289000,345335000,214857000,226884000
53,Total Current Liabilities,29200000,35100000,25600000,50800000,16100000,24600000,22400000,10100000,10700000,10000000,8700000,18149000,19590000,12564000,14895000,15172000,12841000,33925000,44271000,63351000,111545000,92073000,139293000,176519000,233216000,241226000,241163000,244804000,315419000,347167000,580788000,613960000,402002000,510805000
54,Long-Term Debt,3500000,1000000,900000,1100000,1000000,800000,1500000,900000,600000,400000,- -,- -,- -,- -,- -,- -,- -,21750000,13143000,- -,- -,- -,- -,- -,19778000,20560000,- -,- -,461756000,391044000,386604000,396794000,669618000,185631000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6648000,6495000,6501000,1289000,14442000,22100000,20471000,23840000,14300000,15888000,15128000,7952000,20353000,40010000
57,Other Non-Current Liabilities,100000,- -,-100000,-100000,-100000,100000,600000,600000,400000,300000,600000,419000,293000,418000,313000,252000,824000,631000,473000,473000,538000,1237000,7115000,10323000,21096000,25015000,23826000,27299000,39233000,40389000,36529000,255759000,8172000,-40010000
58,Total Non-Current Liabilities,3600000,1000000,800000,1000000,900000,900000,2100000,1500000,1000000,700000,600000,419000,293000,418000,313000,252000,824000,22381000,13616000,473000,7186000,7732000,13616000,11612000,55316000,67675000,44297000,51139000,515289000,447321000,438261000,660505000,698143000,185631000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,897442000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312206000,205228000,185631000
61,Total Liabilities,32800000,36100000,26400000,51800000,17000000,25500000,24500000,11600000,11700000,10700000,9300000,18568000,19883000,12982000,15208000,15424000,13665000,56306000,57887000,63824000,118731000,99805000,152909000,188131000,288532000,308901000,285460000,295943000,830708000,794488000,1019049000,1274465000,1100145000,1222616000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000,69000,69000,71000,73000,75000,127000,145000,168000,171000,192000,201000,203000,206000,209000,230000,229000,253000,245000,264000,264000,264000,264000
64,Retained Earnings,1900000,11500000,12800000,16100000,16800000,18200000,6400000,23600000,9100000,11900000,10700000,16521000,27675000,30039000,30421000,38797000,39500000,46592000,59781000,77571000,63542000,95260000,151942000,201562000,258437000,335797000,446158000,560491000,612418000,674542000,758881000,893138000,916683000,1117005000
65,Other Comprehensive Income/Loss,-400000,-700000,-1000000,-1600000,-2000000,-3300000,-5300000,-6400000,-7600000,-8100000,-9200000,-10590000,-11227000,-12161000,36000,47000,50000,-15208000,-16352000,-2612000,-5544000,-36000,-19000,4000,3523000,6165000,-10105000,-23689000,-27722000,-5522000,-15194000,-18008000,-2094000,-14529000
66,Other Total Stockholders Equity,3800000,21500000,21900000,22500000,25700000,27200000,29000000,12500000,31300000,32200000,34100000,35034000,35552000,36772000,25220000,26355000,- -,50500000,72068000,98747000,104060000,136794000,151370000,156203000,167233000,180942000,324975000,351096000,436287000,451424000,445058000,415278000,421388000,417172000
67,Total Stockholders Equity,5300000,32300000,33700000,37000000,40500000,42100000,30100000,29700000,32800000,36000000,35600000,41033000,52069000,54719000,55748000,65272000,66930000,82011000,115642000,173874000,162229000,232210000,303494000,357972000,429399000,523113000,761258000,888127000,1021236000,1120689000,1189009000,1290672000,1336241000,1519912000
68,Total Liabilities And Stockholders Equity,38100000,68400000,60100000,88800000,57500000,67600000,54600000,41300000,44500000,46700000,44900000,59601000,71952000,67701000,70956000,80696000,80595000,138317000,173529000,237698000,280960000,332015000,456403000,546103000,717931000,832014000,1046718000,1184070000,1851944000,1915177000,2208058000,2565137000,2436386000,2742528000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159000,-1117000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,38100000,68400000,60100000,88800000,57500000,67600000,54600000,41300000,44500000,46700000,44900000,59601000,71952000,67701000,70956000,80696000,80595000,138317000,173529000,237698000,280960000,332015000,456403000,546103000,717772000,830897000,1046718000,1184070000,1851944000,1915177000,2208058000,2565137000,2436386000,2742528000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095011796000364/0000950117-96-000364-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095011797000764/0000950117-97-000764-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095011700001093/0000950117-00-001093-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095011701500129/0000950117-01-500129-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095013607002886/0000950136-07-002886-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095013608001896/0000950136-08-001896-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012309006668/0000950123-09-006668-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012310035136/0000950123-10-035136-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012311035353/0000950123-11-035353-index.html,https://www.sec.gov/Archives/edgar/data/821002/000119312512158857/d312043d10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000119312513153157/0001193125-13-153157-index.html,https://www.sec.gov/Archives/edgar/data/821002/000157104914000998/t1400483-10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000157104915002473/t1500627-10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000157104916013440/0001571049-16-013440-index.html,https://www.sec.gov/Archives/edgar/data/821002/000157104917003132/0001571049-17-003132-index.html,https://www.sec.gov/Archives/edgar/data/821002/000114420418018565/0001144204-18-018565-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837019002565/0001558370-19-002565-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837020003389/0001558370-20-003389-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837021003547/0001558370-21-003547-index.htm,https://www.sec.gov/Archives/edgar/data/821002/000155837022004512/0001558370-22-004512-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,9600000,- -,3300000,3500000,1300000,-11700000,-400000,3100000,2800000,-1200000,5780000,11154000,2364000,382000,8376000,703000,7092000,13189000,17490000,-14029000,31718000,56682000,49620000,56875000,77360000,110361000,114333000,51938000,62124000,138067000,143837000,23545000,200593000
74,Depreciation and Amortization,- -,200000,- -,600000,400000,1000000,1200000,1600000,1500000,1200000,1400000,1438000,1160000,1216000,1489000,1275000,1344000,3131000,4431000,5427000,6947000,5380000,5733000,7473000,9941000,13676000,20374000,25392000,32481000,37783000,38819000,38735000,38625000,27626000
75,Deferred Income Tax,- -,- -,- -,-300000,-300000,-100000,-200000,- -,-1600000,300000,-500000,-1061000,-213000,-2351000,-736000,141000,2428000,-1109000,-1563000,-4613000,-4808000,-2984000,6125000,3568000,187000,3299000,-6176000,-6537000,-7319000,4078000,5404000,319000,24844000,21117000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1891000,3314000,5200000,7738000,9953000,12224000,15576000,16901000,19665000,19694000,17559000,6137000,17424000
77,Change in Working Capital,- -,-31600000,- -,2500000,3100000,-3500000,-8900000,-400000,2300000,4700000,-2000000,3955000,10703000,4188000,1214000,10128000,2480000,1329000,20661000,38556000,-21260000,74928000,65412000,48765000,-4890000,61595000,212739000,99933000,-90117000,44915000,60673000,81621000,187310000,200014000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3761000,-64885000,-24169000,-8249000,18611000,-40525000,-23616000,-29310000,-29947000,-207877000,-28003000,38900000,-112814000
79,Inventory,- -,-17900000,- -,-26600000,16200000,-1300000,9300000,11300000,200000,-6200000,3900000,-4820000,-19027000,5278000,6224000,2587000,4253000,12043000,-7716000,-18388000,-28682000,-3265000,-85118000,-48526000,-16862000,-35584000,-69765000,-59908000,12633000,-68775000,-23568000,24465000,143525000,-95652000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4679000,33125000,67062000,14835000,12436000,10683000,-328000,-18564000,-94228000,124613000
81,Other Working Capital,- -,29400000,- -,31900000,35000000,31500000,22600000,22200000,24500000,29200000,27200000,31155000,41858000,46046000,47260000,57388000,59868000,61197000,81858000,120414000,99154000,174082000,239494000,288259000,283369000,344964000,557703000,657636000,567519000,612434000,673107000,754728000,942038000,1142052000
82,Other Non-Cash Items,- -,-200000,- -,-32400000,28100000,5200000,20500000,16800000,600000,-14000000,4600000,-3242000,-20577000,-9186000,-450000,-7067000,-6565000,-6884000,-38140000,-46237000,55668000,-66934000,-165915000,-107850000,-15357000,-81290000,-267922000,-184528000,101811000,-88831000,-158828000,-73050000,-205703000,-280976000
83,Cash Provided by Operating Activities,- -,-22000000,- -,-26300000,34800000,3900000,900000,17600000,5900000,-5000000,2300000,6870000,2227000,-3769000,1899000,12853000,390000,3559000,-1422000,10623000,22518000,43999000,-28649000,6776000,54494000,84593000,81600000,64169000,105695000,79734000,103829000,209021000,74758000,185798000
84,CAPEX,- -,-1000000,- -,-1100000,-400000,-3600000,-1200000,-900000,-500000,-1300000,-1700000,-977000,-852000,-1167000,-443000,-693000,-1065000,-1300000,-2461000,-1445000,-2411000,-1477000,-19407000,-17410000,-11615000,-29283000,-42566000,-42172000,-24928000,-34507000,-29205000,-40094000,-20128000,-18261000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20503000,70000,-8303000,-68048000,- -,- -,- -,-78367000,-49129000,3211000,-25490000,-500835000,595000,-8127000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
