,https://roic.ai/company/RELX,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,1918400000,1950400000,1998800000,1534500000,1552100000,1580400000,1035700000,1228428000,1318912000,1521117000,1360215000,1277000000,1627000000,369000000,2124000000,2472000000,2637000000,2444000000,2404000000,2453000000,2553000000,2088000000,2535000000,3047000000,2778000000,2701000000,2643000000,2570000000,2401000000,2409000000,2736000000,2856000000,2916000000,3059000000,3113000000,2827000000
11,COGS and Expenses,- -,- -,- -,1918400000,1950400000,1998800000,1534500000,1552100000,1580400000,1035700000,1228428000,1318912000,1521117000,1360215000,2559000000,2719000000,1554000000,3456000000,4083000000,4431000000,4208000000,4137000000,4343000000,4536000000,3712000000,4451000000,5299000000,4987000000,4827000000,4782000000,4688000000,4407000000,4538000000,5224000000,5487000000,5560000000,5814000000,5600000000,5389000000
12,Interest Income ,- -,- -,- -,10700000,9400000,11600000,58800000,47300000,38300000,26400000,26134000,19167000,16993000,36566000,38000000,64000000,32000000,26000000,107000000,24000000,18000000,16000000,10000000,14000000,34000000,31000000,5000000,7000000,12000000,7000000,4000000,7000000,3000000,6000000,3000000,6000000,5000000,3000000,8000000
13,Interest Expense (Gain),- -,- -,- -,26800000,23700000,24900000,27500000,50900000,65300000,57400000,39390000,45262000,66951000,57958000,100000000,104000000,114000000,129000000,249000000,230000000,186000000,148000000,158000000,173000000,176000000,199000000,290000000,270000000,241000000,224000000,180000000,147000000,152000000,175000000,162000000,197000000,301000000,151000000,150000000
14,Depreciation and Amortization,- -,- -,- -,46600000,52000000,52400000,33900000,27000000,30200000,26400000,31211000,37559000,57132000,47081000,96000000,420000000,486000000,583000000,630000000,660000000,576000000,530000000,420000000,459000000,367000000,454000000,756000000,582000000,562000000,555000000,566000000,519000000,520000000,599000000,585000000,651000000,683000000,843000000,724000000
15,EBITDA,- -,- -,- -,195100000,263700000,437000000,640500000,379600000,297000000,195600000,340401000,396821000,497083000,513039000,542000000,1567000000,704000000,904000000,1153000000,1178000000,1279000000,1238000000,1277000000,1351000000,1661000000,1284000000,1477000000,1614000000,1744000000,1961000000,1937000000,1890000000,1978000000,2239000000,2473000000,2562000000,2827000000,2493000000,2671000000
16,EBITDA ratio,- -,- -,- -,0.1010,0.1352,0.2174,0.4120,0.2406,0.1879,0.1635,0.2301,0.2472,0.2575,0.2868,0.1586,0.4911,0.2077,0.2399,0.2529,0.2347,0.2597,0.2573,0.2472,0.2503,0.3623,0.2407,0.2433,0.2666,0.2906,0.3206,0.3210,0.3274,0.3313,0.3247,0.3362,0.3420,0.3590,0.3506,0.3687
17,Operating Income,- -,- -,- -,12700000,- -,11700000,20000000,25700000,- -,135900000,266856000,313349000,416081000,428863000,383000000,682000000,177000000,197000000,379000000,490000000,645000000,675000000,839000000,880000000,888000000,901000000,787000000,1090000000,1205000000,1358000000,1376000000,1402000000,1497000000,1708000000,1905000000,1964000000,2101000000,1525000000,1884000000
18,Operating Income ratio,- -,- -,- -,0.0066,- -,0.0058,0.0129,0.0163,- -,0.1136,0.1804,0.1952,0.2156,0.2398,0.1121,0.2137,0.0522,0.0523,0.0831,0.0976,0.1310,0.1403,0.1624,0.1630,0.1937,0.1689,0.1296,0.1800,0.2008,0.2220,0.2280,0.2429,0.2507,0.2477,0.2590,0.2621,0.2668,0.2145,0.2601
19,Total Other Income Expenses (Gains),- -,- -,- -,124700000,- -,231100000,251200000,276300000,- -,-23800000,2944000,651000,-43081000,-20863000,-37000000,362000000,-72000000,-5000000,-104000000,-201000000,-126000000,-113000000,-138000000,-159000000,-76000000,-284000000,-352000000,-322000000,-257000000,-171000000,-180000000,-173000000,-185000000,-235000000,-171000000,-244000000,-254000000,-42000000,-87000000
20,Income Before Tax,- -,- -,- -,137400000,188200000,242800000,271200000,302000000,221800000,112100000,269800000,314000000,373000000,408000000,346000000,1044000000,105000000,192000000,275000000,289000000,519000000,562000000,701000000,721000000,812000000,617000000,435000000,768000000,948000000,1187000000,1196000000,1229000000,1312000000,1473000000,1734000000,1720000000,1847000000,1483000000,1797000000
21,Income Before Tax Ratio,- -,- -,- -,0.0712,0.0965,0.1208,0.1745,0.1914,0.1403,0.0937,0.1824,0.1956,0.1932,0.2281,0.1013,0.3272,0.0310,0.0510,0.0603,0.0576,0.1054,0.1168,0.1357,0.1336,0.1771,0.1157,0.0717,0.1268,0.1579,0.1941,0.1982,0.2129,0.2197,0.2136,0.2358,0.2296,0.2346,0.2086,0.2481
22,Income Tax expense (Gain),- -,- -,- -,42100000,60400000,70600000,81000000,90400000,64900000,38000000,72500000,81000000,96000000,106000000,138000000,271000000,167000000,159000000,148000000,107000000,183000000,257000000,237000000,96000000,-82000000,155000000,40000000,120000000,181000000,113000000,81000000,269000000,298000000,304000000,67000000,292000000,338000000,275000000,326000000
23,Net Income,- -,- -,- -,79600000,127600000,289100000,498100000,211300000,136600000,73800000,197300000,233000000,277000000,302000000,208000000,772000000,-63000000,33000000,126000000,181000000,334000000,303000000,462000000,623000000,1200000000,476000000,391000000,642000000,760000000,1069000000,1110000000,955000000,1008000000,1161000000,1659000000,1422000000,1505000000,1224000000,1471000000
24,Net Income ratio,- -,- -,- -,0.0412,0.0654,0.1438,0.3204,0.1339,0.0864,0.0617,0.1334,0.1451,0.1435,0.1689,0.0609,0.2419,-0.0186,0.0088,0.0276,0.0361,0.0678,0.0630,0.0894,0.1154,0.2618,0.0892,0.0644,0.1060,0.1266,0.1748,0.1839,0.1654,0.1688,0.1684,0.2256,0.1898,0.1911,0.1722,0.2031
25,EPS,- -,- -,- -,0.67,1.07,2.25,3.63,1.53,0.25,0.13,0.35,0.41,0.49,0.53,0.09,0.34,-0.03,-0.09,-0.06,0.07,0.13,0.19,0.19,0.26,0.50,0.22,0.17,0.27,0.32,0.46,0.39,0.34,0.46,0.56,0.82,0.72,0.77,0.64,0.76
26,EPS Diluted,- -,- -,- -,0.67,1.07,2.25,3.63,1.53,0.25,0.13,0.35,0.41,0.49,0.53,0.09,0.34,-0.03,-0.09,-0.06,0.07,0.13,0.18,0.18,0.25,0.49,0.22,0.17,0.27,0.32,0.45,0.39,0.34,0.46,0.56,0.81,0.71,0.77,0.63,0.76
27,Weighted Average Shares Outstanding,- -,- -,- -,119400000,119500000,128300000,137400000,137975000,554100000,558100000,560600000,561900000,564400000,567200000,2256125000,2262000000,2316375000,2339250000,2553250000,2559625000,2559500000,2559875000,2561875000,2530000000,2539250000,2198125000,2281625000,2417000000,2421625000,2323913043,2362250000,2300375000,2108600000,2062300000,2019400000,1977200000,1943500000,1926200000,1926200000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,119400000,119500000,128300000,137400000,137975000,554100000,558100000,560600000,561900000,564400000,567200000,2256125000,2264500000,2317875000,2346500000,2574125000,2572250000,2561625000,2559875000,2561875000,2530000000,2539250000,2198125000,2281625000,2417000000,2421625000,2354625551,2878630705,2808823529,2127500000,2079800000,2035200000,1990800000,1956200000,1937800000,1926200000
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929869/000115697305000305/0001156973-05-000305-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000115697306000303/0001156973-06-000303-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012307004285/0000950123-07-004285-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012308003179/0000950123-08-003179-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000115697309000146/0001156973-09-000146-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012310025822/0000950123-10-025822-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012311023614/0000950123-11-023614-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312512109608/0001193125-12-109608-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312513102978/0001193125-13-102978-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312514093280/0001193125-14-093280-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312515085414/0001193125-15-085414-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312516496532/0001193125-16-496532-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312517072911/0001193125-17-072911-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312518053616/0001193125-18-053616-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312519055997/0001193125-19-055997-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312520042817/0001193125-20-042817-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,169000000,68000000,66000000,296000000,519000000,2467000000,375000000,734000000,742000000,726000000,641000000,132000000,276000000,122000000,162000000,111000000,114000000,138000000,88000000,113000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,401000000,570000000,159000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,870000000,570000000,638000000,225000000,296000000,519000000,2467000000,375000000,734000000,742000000,726000000,641000000,132000000,276000000,122000000,162000000,111000000,114000000,138000000,88000000,113000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488000000,500000000,526000000,541000000,630000000,633000000,271000000,348000000,275000000,228000000,190000000,159000000,142000000,142000000,158000000,209000000,197000000,212000000,217000000,240000000,253000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4346000000,1244000000,1293000000,1337000000,1497000000,1443000000,1699000000,1810000000,1568000000,1609000000,1676000000,1734000000,1561000000,1518000000,1647000000,1982000000,1851000000,2026000000,2090000000,1946000000,1991000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5704000000,2314000000,2457000000,2103000000,2423000000,2595000000,4437000000,2533000000,2577000000,2579000000,2592000000,2534000000,1835000000,1936000000,1927000000,2353000000,2159000000,2352000000,2445000000,2274000000,2357000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489000000,484000000,482000000,519000000,314000000,298000000,239000000,329000000,292000000,291000000,288000000,264000000,237000000,227000000,229000000,242000000,209000000,461000000,444000000,378000000,292000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2810000000,2437000000,2349000000,3030000000,2802000000,2462000000,4901000000,4339000000,4441000000,4729000000,4545000000,4576000000,4981000000,5231000000,6392000000,5965000000,6899000000,6824000000,7224000000,7366000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3004000000,2716000000,2657000000,2979000000,2524000000,2089000000,4404000000,3632000000,3457000000,3494000000,3275000000,3124000000,3164000000,3156000000,3604000000,3194000000,3534000000,3452000000,3425000000,3304000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6723000000,5814000000,5153000000,5006000000,6009000000,5326000000,4551000000,9305000000,7971000000,7898000000,8223000000,7820000000,7700000000,8145000000,8387000000,9996000000,9159000000,10433000000,10276000000,10649000000,10670000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261000000,-469000000,-51000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,266000000,170000000,141000000,353000000,208000000,151000000,212000000,79000000,442000000,464000000,349000000,444000000,405000000,455000000,239000000,270000000,210000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401000000,570000000,62000000,115000000,143000000,410000000,346000000,286000000,239000000,188000000,317000000,281000000,315000000,293000000,288000000,351000000,298000000,385000000,574000000,329000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7212000000,6438000000,5736000000,5633000000,6704000000,5937000000,5341000000,10333000000,8757000000,8579000000,8911000000,8480000000,8660000000,9151000000,9258000000,10970000000,10124000000,11647000000,11344000000,11871000000,11501000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12916000000,8752000000,8193000000,7736000000,9127000000,8532000000,9778000000,12866000000,11334000000,11158000000,11503000000,11014000000,10495000000,11087000000,11185000000,13323000000,12283000000,13999000000,13789000000,14145000000,13858000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251000000,228000000,232000000,982000000,956000000,1000000000,1394000000,1251000000,1276000000,1245000000,2544000000,1192000000,333000000,244000000,297000000,240000000,187000000,173000000,154000000,3275000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1551000000,1367000000,1198000000,1051000000,900000000,711000000,758000000,448000000,678000000,516000000,982000000,628000000,408000000,676000000,624000000,1159000000,678000000,1392000000,1588000000,399000000,232000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328000000,323000000,299000000,269000000,479000000,752000000,554000000,479000000,646000000,677000000,603000000,588000000,670000000,675000000,726000000,674000000,577000000,501000000,323000000,192000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4153000000,2011000000,2048000000,2074000000,1280000000,1667000000,2193000000,2268000000,1940000000,2105000000,2214000000,842000000,2255000000,2929000000,3317000000,3853000000,3608000000,3746000000,4186000000,3821000000,241000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5704000000,3629000000,3474000000,3357000000,3162000000,3334000000,3951000000,4110000000,3869000000,3897000000,4441000000,4014000000,3855000000,3938000000,4185000000,5309000000,4526000000,5325000000,5947000000,4374000000,3748000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1935000000,1812000000,1706000000,2264000000,1285000000,1384000000,5353000000,2884000000,2588000000,2096000000,2126000000,1695000000,2198000000,1923000000,2285000000,2139000000,2321000000,2274000000,4555000000,5935000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,55000000,62000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453353000,980000000,850000000,695000000,1525000000,1272000000,1192000000,1236000000,919000000,1076000000,1056000000,1000000000,1137000000,738000000,830000000,593000000,665000000,591000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000000,406000000,-122353000,736000000,1084000000,772000000,897000000,1550000000,1511000000,1533000000,1641000000,1446000000,1758000000,1899000000,2234000000,2506000000,3164000000,2785000000,2450000000,360000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2457000000,2273000000,2099000000,3980000000,3219000000,2851000000,7775000000,5706000000,5291000000,4865000000,4686000000,4217000000,5012000000,4822000000,5656000000,5383000000,6315000000,5652000000,7670000000,6886000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,23000000,16000000,15000000,12000000,11000000,3000000,27000000,22000000,8000000,16000000,17000000,12000000,15000000,14000000,10000000,360000000,342000000,275000000,208000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6086000000,5747000000,5456000000,7142000000,6553000000,6802000000,11885000000,9575000000,9188000000,9306000000,8700000000,8072000000,8950000000,9007000000,10965000000,9909000000,11640000000,11599000000,12044000000,10634000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000000,190000000,191000000,190000000,191000000,197000000,209000000,225000000,224000000,223000000,223000000,224000000,212000000,224000000,226000000,224000000,290000000,286000000,286000000,286000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-740000000,-788000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3212000000,3032000000,2076000000,1780000000,1775000000,2768000000,744000000,1507000000,1719000000,1949000000,2057000000,2166000000,1894000000,1920000000,2094000000,2129000000,2039000000,1880000000,1813000000,2946000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2659000000,2434000000,2267000000,1970000000,1966000000,2965000000,953000000,1732000000,1943000000,2172000000,2280000000,2390000000,2106000000,2144000000,2320000000,2353000000,2329000000,2166000000,2099000000,3232000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12916000000,8745000000,8181000000,7723000000,9112000000,8519000000,9767000000,12838000000,11307000000,11131000000,11478000000,10980000000,10462000000,11056000000,11151000000,13285000000,12262000000,13969000000,13765000000,14143000000,13866000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,12000000,13000000,15000000,13000000,11000000,28000000,27000000,27000000,25000000,34000000,33000000,31000000,34000000,38000000,21000000,30000000,24000000,2000000,-8000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12916000000,8752000000,8193000000,7736000000,9127000000,8532000000,9778000000,12866000000,11334000000,11158000000,11503000000,11014000000,10495000000,11087000000,11185000000,13323000000,12283000000,13999000000,13789000000,14145000000,13858000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929869/000115697305000305/0001156973-05-000305-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000115697306000303/0001156973-06-000303-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012307004285/0000950123-07-004285-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012308003179/0000950123-08-003179-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000115697309000146/0001156973-09-000146-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012310025822/0000950123-10-025822-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012311023614/0000950123-11-023614-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312512109608/0001193125-12-109608-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312513102978/0001193125-13-102978-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312514093280/0001193125-14-093280-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312515085414/0001193125-15-085414-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312516496532/0001193125-16-496532-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312517072911/0001193125-17-072911-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312518053616/0001193125-18-053616-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312519055997/0001193125-19-055997-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312520042817/0001193125-20-042817-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,73800000,197300000,233000000,277000000,302000000,208000000,772000000,-63000000,33000000,126000000,181000000,334000000,303000000,462000000,623000000,1200000000,476000000,391000000,642000000,760000000,1069000000,1110000000,955000000,1008000000,1161000000,1659000000,1422000000,1505000000,1224000000,1471000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,26400000,31211000,37559000,57132000,47081000,96000000,420000000,486000000,583000000,630000000,660000000,576000000,530000000,420000000,459000000,367000000,454000000,756000000,582000000,562000000,555000000,566000000,519000000,520000000,599000000,585000000,651000000,683000000,843000000,724000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,49000000,38000000,46000000,17000000,-7000000,27000000,31000000,31000000,32000000,34000000,38000000,39000000,41000000,32000000,25000000,45000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,200000,- -,- -,- -,3000000,49000000,-1000000,13000000,56000000,-95000000,-130000000,-40000000,-77000000,-66000000,-59000000,69000000,59000000,6000000,-29000000,-73000000,-1000000,-66000000,-105000000,-72000000,-47000000,-69000000,-51000000,-114000000,-148000000
