,https://roic.ai/company/LGL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/0000061004-96-000055-index.html,https://www.sec.gov/Archives/edgar/data/61004/000006100497000015/0000061004-97-000015-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/000095013503002022/0000950135-03-002022-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000095013504001837/0000950135-04-001837-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/000092189507000687/0000921895-07-000687-index.html,https://www.sec.gov/Archives/edgar/data/61004/000092189508001412/0000921895-08-001412-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100409000017/0000061004-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100410000010/0000061004-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100411000015/0000061004-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100412000012/0000061004-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100413000014/0000061004-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100414000017/0000061004-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100415000011/0000061004-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100416000057/0000061004-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100417000008/0000061004-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459018006502/0001564590-18-006502-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459019008815/0001564590-19-008815-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459020014263/0001564590-20-014263-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459021016107/0001564590-21-016107-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459022011892/0001564590-22-011892-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,33900000,33600000,28200000,13106000,10543000,4247000,5986000,3981000,2580000,5512000,4429000,5233000,5325000,3816000,4147000,13709000,8625000,7183000,5192000,5553000,2778000,13250000,15508000,12453000,18331000,29016000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,2200000,1000000,1000000,- -,- -,- -,861000,2311000,3609000,2738000,2610000,48000,14000,- -,- -,- -,- -,- -,- -,- -,2770000,3803000,3775000,5631000,5791000,16167000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,36100000,34600000,29200000,13106000,10543000,4247000,6847000,6292000,6189000,8250000,7039000,5281000,5339000,3816000,4147000,13709000,8625000,7183000,5192000,5553000,5548000,17053000,19283000,18084000,24122000,45183000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52300000,53000000,54500000,59000000,24642000,35019000,9818000,3524000,5797000,8867000,8353000,7203000,6382000,6483000,4779000,5782000,4309000,4350000,3237000,3266000,2606000,3504000,3393000,3394000,4445000,4122000,4667000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33200000,36900000,35700000,46600000,31680000,35139000,5260000,5624000,4911000,7852000,7045000,8906000,5181000,5121000,5348000,5947000,5676000,5349000,4629000,4198000,3546000,3638000,3875000,4466000,6016000,5280000,5492000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,14100000,28000000,27800000,10246000,15931000,6527000,2188000,1638000,1862000,1222000,465000,386000,400000,412000,1612000,1252000,3279000,1905000,278000,247000,200000,229000,242000,365000,257000,494000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123600000,140100000,152800000,162600000,79674000,96632000,25852000,18183000,18638000,24770000,24870000,23613000,17230000,17343000,14355000,17488000,24946000,21603000,16954000,12934000,11952000,12890000,24550000,27385000,28910000,33781000,55836000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,131400000,157500000,186500000,44079000,41111000,5456000,4826000,4177000,8456000,7203000,6765000,5063000,4513000,3725000,3828000,4530000,4707000,3986000,3547000,3165000,2711000,2179000,2086000,3162000,3207000,3779000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,40000,40000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,69200000,73300000,91500000,22020000,21589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000,435000,588000,512000,- -,- -,- -,252000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,69200000,73300000,91500000,22020000,21589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000,475000,628000,552000,477000,402000,327000,252000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3334000,3072000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000,111000,111000,111000,2055000,2385000,2808000,- -,- -,- -,214000,173000,127000,3307000,3052000,34000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,51900000,40000000,39400000,65419000,3488000,537000,421000,204000,657000,591000,468000,472000,398000,377000,354000,560000,475000,323000,253000,211000,203000,101000,- -,102000,16000,5000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178800000,252500000,270800000,317400000,131518000,66188000,5993000,5247000,4381000,9113000,7794000,7344000,5646000,5022000,4213000,6237000,7475000,7990000,4309000,4328000,3851000,3756000,3005000,2690000,10307000,9674000,4070000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302400000,392600000,423600000,480000000,211192000,162820000,31845000,23430000,23019000,33883000,32664000,30957000,22876000,22365000,18568000,23725000,32421000,29593000,21263000,17262000,15803000,16646000,27555000,30075000,39217000,43455000,59906000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,21000000,21400000,36600000,14404000,19251000,1717000,927000,2054000,2667000,2900000,2796000,2535000,2093000,2333000,2033000,1755000,2452000,1978000,1719000,987000,1525000,1477000,1418000,1865000,1265000,1455000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74300000,41200000,38300000,72400000,24814000,31664000,521000,3060000,2974000,9399000,4053000,4283000,1454000,3146000,4316000,299000,3426000,1307000,1181000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,36300000,37100000,34900000,17242000,20335000,14063000,6167000,6125000,8662000,5992000,4071000,2483000,2421000,2240000,2327000,1647000,1220000,1349000,1306000,1089000,1230000,1150000,1334000,2459000,2132000,2971000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122900000,98500000,96800000,143900000,56460000,71250000,16301000,10154000,11153000,20728000,12945000,11150000,6472000,7660000,8889000,4659000,6828000,4979000,4508000,3025000,2076000,2755000,2627000,2752000,4324000,3397000,4426000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000000,219600000,242800000,246000000,116765000,61350000,1678000,1089000,833000,3162000,5031000,3100000,4035000,3660000,669000,370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17900000,22400000,33800000,26600000,6225000,6752000,578000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-100000,-100000,9200000,4866000,4223000,20739000,1253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,241900000,276500000,281800000,127856000,72325000,22995000,2342000,833000,3162000,5031000,3100000,4035000,3660000,669000,370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,737000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253900000,340400000,373300000,425700000,184316000,143575000,39296000,12496000,11986000,23890000,17976000,14250000,10507000,11320000,9558000,5029000,6828000,4979000,4508000,3025000,2076000,2755000,2627000,2752000,4324000,3690000,5163000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,5100000,5100000,5100000,5139000,5139000,5139000,15000,15000,16000,22000,22000,22000,22000,22000,22000,26000,26000,27000,27000,27000,27000,47000,49000,50000,53000,53000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,26500000,23400000,26800000,3843000,405000,-22533000,-4570000,-4460000,-7786000,-6576000,-5711000,-8066000,-9369000,-11604000,-2181000,-1799000,-3119000,-11338000,-14163000,-14874000,-14726000,-14609000,-13169000,-6153000,-5185000,9453000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36100000,-46700000,-60100000,-77900000,-22137000,-27713000,-10942000,302000,291000,849000,835000,1961000,-101000,-235000,-116000,-38000,25000,28000,45000,44000,40000,-3000,35000,- -,-19883000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55700000,67300000,81900000,100300000,40031000,41414000,20885000,15187000,15187000,16914000,20407000,20435000,20514000,20627000,20708000,20893000,27341000,27679000,28021000,28329000,28534000,28593000,39455000,40443000,60879000,44897000,45237000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48500000,52200000,50300000,54300000,26876000,19245000,-7451000,10934000,11033000,9993000,14688000,16707000,12369000,11045000,9010000,18696000,25593000,24614000,16755000,14237000,13727000,13891000,24928000,27323000,34893000,39765000,54743000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302400000,392600000,423600000,480000000,211192000,162820000,31845000,23430000,23019000,33883000,32664000,30957000,22876000,22365000,18568000,23725000,32421000,29593000,21263000,17262000,15803000,16646000,27555000,30075000,39217000,43455000,59906000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302400000,392600000,423600000,480000000,211192000,162820000,31845000,23430000,23019000,33883000,32664000,30957000,22876000,22365000,18568000,23725000,32421000,29593000,21263000,17262000,15803000,16646000,27555000,30075000,39217000,43455000,59906000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/61004/0000061004-96-000055-index.html,https://www.sec.gov/Archives/edgar/data/61004/000006100497000015/0000061004-97-000015-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/000095013503002022/0000950135-03-002022-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000095013504001837/0000950135-04-001837-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/000092189507000687/0000921895-07-000687-index.html,https://www.sec.gov/Archives/edgar/data/61004/000092189508001412/0000921895-08-001412-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100409000017/0000061004-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100410000010/0000061004-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100411000015/0000061004-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100412000012/0000061004-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100413000014/0000061004-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100414000017/0000061004-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100415000011/0000061004-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100416000057/0000061004-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100417000008/0000061004-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459018006502/0001564590-18-006502-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459019008815/0001564590-19-008815-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459020014263/0001564590-20-014263-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459021016107/0001564590-21-016107-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459022011892/0001564590-22-011892-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,900000,- -,1100000,1700000,1200000,1400000,1900000,2900000,2300000,5100000,2700000,-2900000,3400000,-1583000,-3438000,-22938000,17963000,110000,-3326000,1210000,865000,-2554000,-1303000,-2522000,9423000,382000,-1320000,-8219000,-2825000,-711000,148000,117000,1405000,7016000,968000,14638000
74,Depreciation and Amortization,400000,400000,- -,1400000,2300000,4800000,5200000,5400000,6200000,7500000,11300000,17000000,21600000,26300000,7806000,8611000,5262000,1250000,1239000,1167000,1509000,1289000,1105000,1098000,938000,645000,843000,805000,990000,922000,870000,772000,642000,492000,493000,528000,576000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,400000,-300000,1800000,-1500000,200000,2100000,-3800000,-4900000,3281000,1846000,501000,203000,150000,-6000,- -,- -,- -,- -,- -,-3276000,5000,-576000,3922000,- -,- -,-214000,41000,46000,-3180000,255000,3142000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000,81000,185000,363000,428000,575000,308000,265000,67000,88000,64000,112000,790000,413000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,1000000,40900000,14400000,-37300000,4514000,2168000,-15831000,-1522000,-544000,-3443000,7883000,538000,-1705000,-1075000,-4217000,7363000,5289000,-1494000,-4178000,-2537000,-33000,259000,11788000,2710000,-1585000,528000,21026000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101000,1704000,-1003000,1473000,-41000,1113000,-29000,660000,-890000,111000,-1000,-1051000,323000,-545000
79,Inventory,- -,- -,- -,- -,- -,- -,1000000,-2000000,700000,-900000,1500000,-3400000,1200000,500000,-3284000,-3459000,13430000,194000,503000,-456000,807000,-1861000,924000,60000,60000,-599000,271000,327000,720000,523000,625000,-62000,-237000,-591000,-1550000,736000,-212000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000,-345000,-302000,-1009000,634000,-128000,125000,1241000,-725000,801000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,700000,41600000,56000000,18700000,23214000,25382000,9551000,8029000,7485000,4042000,11925000,12463000,10758000,9683000,5466000,12829000,18118000,16624000,12446000,9909000,9876000,10135000,21923000,24633000,- -,- -,51410000
82,Other Non-Cash Items,-700000,-1300000,- -,-2500000,-4000000,-6000000,-2800000,-100000,-1100000,6600000,9600000,-33600000,-5200000,47500000,-1166000,-12621000,38556000,-14301000,-1499000,3698000,-8319000,-4547000,2795000,224000,6357000,-8837000,-4561000,1688000,6246000,2833000,298000,-754000,-11995000,-3061000,-190000,123000,-38443000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,4200000,6900000,9800000,14600000,27200000,29100000,24100000,35000000,12852000,-3434000,5550000,3593000,-544000,-1910000,2283000,-1855000,-359000,-943000,637000,5503000,2321000,-469000,-664000,-1299000,689000,278000,681000,1656000,2666000,3192000,1352000
