,https://roic.ai/company/HGBL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849145/000110465903007730/0001104659-03-007730-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000095013304001374/0000950133-04-001374-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420405008952/0001144204-05-008952-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420406012134/0001144204-06-012134-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420407013180/0001144204-07-013180-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420408014522/0001144204-08-014522-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420409014828/0001144204-09-014828-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420410017209/0001144204-10-017209-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420411019124/0001144204-11-019124-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420412016586/0001144204-12-016586-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420413018237/0001144204-13-018237-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000106299314001758/0001062993-14-001758-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000106299315001675/0001062993-15-001675-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459016014988/0001564590-16-014988-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459017003568/0001564590-17-003568-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459018005463/0001564590-18-005463-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459019007178/0001564590-19-007178-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459020009356/0001564590-20-009356-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459021011476/0001564590-21-011476-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000095017022004073/0000950170-22-004073-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,370000,1370000,1420000,560000,2190000,1180000,360000,80000,4500000,1640000,1310000,2950000,2160000,4660000,3620000,2030000,460000,330000,3000,70000,4080000,90000,2610000,6670000,4310000,3210000,3633000,2777000,2530000,2109000,4268000,2728000,23385000,13622000
32,Short-Term Investments,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2060000,1100,1100,1100000,519000,242,300000,770000,70000,1480000,20000,- -,4000,- -,- -,2767000,2516000,2402000,- -
33,Cash and Short-Term Investments,- -,370000,1370000,1420000,580000,2190000,1180000,360000,80000,4500000,1640000,1310000,2950000,2160000,4660000,3620000,4090000,461100,331100,1103000,589000,4080242,390000,3380000,6740000,5790000,3230000,3633000,2781000,2530000,2109000,7035000,5244000,25787000,13622000
34,Net Receivables,- -,430000,550000,380000,190000,210000,750000,1110000,920000,780000,3230000,4400000,4340000,3360000,16010000,16920000,18020000,13080000,170000,- -,- -,- -,1650000,600000,1510000,4070000,1670000,2857000,639000,1247000,384000,400000,3154000,2834000,2732000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,830000,560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440000,2590000,1010000,820000,580000,139000,395000,263000,170000,2405000,104000,235000,3220000
36,Other Current Assets,- -,150000,120000,140000,430000,130000,220000,1050000,90000,270000,1960000,1090000,370000,380000,2640000,3070000,2200000,1468900,1518900,-1033000,491000,949758,850000,2290000,2570000,2270000,1840000,760000,449000,393000,357000,-2160000,-1732000,-1904000,3710000
37,Total Current Assets,- -,950000,2040000,1940000,1200000,2530000,2150000,2520000,1920000,6110000,6830000,6800000,7660000,5900000,23310000,23610000,24310000,15010000,2020000,70000,1080000,5030000,3330000,8860000,11830000,12950000,7320000,7389000,4264000,4433000,3020000,7680000,6770000,26952000,23284000
38,PP&E,- -,2820000,2080000,1770000,1790000,1390000,2300000,1980000,1620000,2860000,3550000,7260000,7020000,10980000,21020000,11480000,8480000,4150000,- -,- -,- -,- -,- -,- -,20000,50000,30000,150000,110000,156000,145000,175000,1704000,1093000,4165000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9660000,6770000,3870000,1260000,-8090000,170000,1120000,1120000,170000,170000,170000,170000,170000,- -,570000,5300000,5300000,8846000,6158000,6158000,6158000,6158000,5585000,5585000,7446000
40,Intangible Assets,- -,60000,20000,10000,- -,30000,330000,630000,540000,490000,2650000,2650000,2680000,2680000,9420000,2570000,3300000,1400000,60000,40000,20000,- -,- -,- -,- -,5260000,4810000,7657000,4382000,4122000,3877000,3627000,3392000,3123000,4565000
41,Intangible Assets,- -,60000,20000,10000,- -,30000,330000,630000,540000,490000,12310000,9420000,6550000,3940000,1330000,2740000,4420000,2520000,230000,210000,190000,170000,170000,- -,570000,10560000,10110000,16503000,10540000,10280000,10035000,9785000,8977000,8708000,12011000
42,Investments,- -,960000,990000,250000,270000,120000,190000,10000,10000,- -,- -,- -,- -,- -,- -,- -,1100000,1100000,1100000,1100000,520000,242000,6731000,6254000,6227000,6044000,3149000,1134000,17000,- -,- -,2767000,2516000,2402000,4683000
43,Tax Assets,- -,- -,- -,40000,20000,110000,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,960000,960000,512000,584000,- -,4402000,4488000
44,Other Non-Current Assets,- -,230000,200000,180000,20000,-70000,420000,80000,60000,1970000,1560000,380000,430000,840000,1120000,3620000,740000,1230000,140000,10000,10000,-2000,1399000,1576000,28503000,31706000,29391000,5734000,2911000,-685000,-262000,-360000,1950000,998000,1833000
45,Total Non-Current Assets,- -,4070000,3290000,2250000,2100000,1580000,3430000,2700000,2230000,5320000,17420000,17060000,14000000,15760000,23470000,17840000,14740000,9000000,1470000,1320000,720000,410000,8300000,7830000,35320000,48360000,42680000,24481000,14538000,10711000,10430000,12951000,15147000,17603000,27180000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5020000,5330000,4190000,3300000,4110000,5580000,5220000,4150000,11430000,24250000,23860000,21660000,21660000,46780000,41450000,39050000,24010000,3490000,1390000,1800000,5440000,11630000,16690000,47150000,61310000,50000000,31870000,18802000,15144000,13450000,20631000,21917000,44555000,50464000
48,Accounts Payable,- -,280000,260000,60000,30000,40000,90000,600000,620000,- -,4830000,2790000,4130000,5370000,7720000,7020000,980000,8740000,12710,550000,402000,472,1457,2555,855,2730000,4230000,7131,6673000,6746000,5019000,8101000,8110000,13609000,- -
49,Short-Term Debt,- -,430000,320000,500000,400000,400000,900000,1200000,1400000,1300000,2200000,5100000,2132617,9999661,13039155,14787024,16096000,8094000,73787000,1305000,2335000,- -,4626000,4485000,3091000,10883000,3988000,3524000,1721000,664000,738000,1178000,980000,380000,2980000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,26000,198000,327000,552000,966000,1156000,1421000,935000,342000,293000,113000,831000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1986675000,958185000,5678000,959000,622000,- -,1000000,875000,729000,2228000,2419000,1956000,1366000,- -,- -,- -,- -,795000,2500,- -,- -
52,Other Current Liabilities,- -,1210000,1110000,1250000,670000,40000,100000,250000,210000,3230000,2750000,3400000,2717383,20590339,-1943314155,-939142024,28136000,18567000,5648290,5000,-997000,-405472,2313543,524445,-1300855,-269000,916000,8006869,962000,1160000,2907000,97000,500,- -,11244000
53,Total Current Liabilities,- -,1920000,1690000,1810000,1100000,480000,1090000,2050000,2230000,4530000,9780000,11290000,8980000,35960000,64120000,40850000,50890000,36360000,80070000,1860000,2740000,470000,7670000,7240000,4210000,15300000,10500000,11538000,9356000,8570000,8664000,10171000,9093000,13989000,14224000
54,Long-Term Debt,- -,3850000,2920000,760000,1080000,790000,1400000,790000,90000,280000,1920000,8370000,8310000,1140000,19660000,58410000,31120000,49610000,1080000,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2500000,348000,786000,438000,35000,623000,-1127000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2419000,1956000,- -,- -,960000,960000,512000,584000,372000,- -,- -
57,Other Non-Current Liabilities,- -,430000,170000,1070000,900000,520000,470000,440000,370000,330000,- -,21150000,15420000,13400000,- -,- -,- -,- -,280000,- -,- -,- -,310000,- -,- -,- -,- -,4355000,2592000,1772000,- -,1838000,570000,- -,4728000
58,Total Non-Current Liabilities,- -,4280000,3090000,1830000,1980000,1310000,1870000,1230000,460000,610000,1920000,29520000,23730000,14540000,19660000,58410000,31120000,49610000,1360000,- -,- -,- -,310000,- -,- -,- -,- -,6855000,6052000,3080000,1298000,2860000,977000,623000,3601000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4145711,1631000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1519000,1003000,- -
61,Total Liabilities,- -,6200000,4780000,3640000,3080000,1790000,2960000,3280000,2690000,5140000,11700000,40810000,32710000,50500000,83780000,99260000,82010000,85970000,81430000,1860000,2740000,470000,7980000,7240000,4210000,15300000,10500000,18393000,15408000,11650000,9962000,13031000,10070000,14612000,17825000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7690,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,- -
63,Common Stock,- -,10000,10000,10000,10000,10000,10000,10000,10000,70000,110000,130000,170000,200000,820000,60000,190000,190000,190000,230000,230000,230000,230000,260000,270000,290000,280000,282000,285000,285000,285000,293000,293000,353000,366000
64,Retained Earnings,- -,-1940000,-2420000,-2450000,-2850000,-2810000,-2800000,-3510000,-4060000,-27130000,-56980000,-84940000,-109950000,-135900000,-166760000,-194600000,-226030000,-248810000,-267300000,-275210000,-275850000,-270020000,-271290000,-266460000,-235750000,-237560000,-243950000,-270468000,-280889000,-280875000,-281124000,-277373000,-273474000,-263816000,-260763000
65,Other Comprehensive Income/Loss,- -,-5000000,-4550000,-4100000,-2850000,-1980000,-990000,-1400000,-1740000,-2620000,-4580000,-2440000,-1000000,-8580000,-14750000,-6340000,-12060000,-16930000,- -,- -,- -,- -,- -,- -,- -,-7000,-44000,-34000,-54000,-71000,-75000,-77000,-77000,- -,- -
66,Other Total Stockholders Equity,- -,5750000,7510000,7090000,5920000,7480000,6680000,7300000,7690000,36280000,73950000,91450000,113803707,127175759,143692146,140452887,188585000,203579000,189161000,274505000,274673000,274755000,274706000,275642000,278414000,283283000,283205000,283691000,284046000,284149000,284396000,284751000,285099000,293400000,293036000
67,Total Stockholders Equity,- -,-1180000,550000,550000,230000,2700000,2900000,2400000,1900000,6600000,12500000,4200000,3023707,-17104241,-36997854,-60419423,-49309000,-61965000,-77943000,-469000,-941000,4971000,3652000,9448000,42940000,46012000,39497000,13477000,3394000,3494000,3488000,7600000,11847000,29943000,32639000
68,Total Liabilities And Stockholders Equity,- -,5020000,5330000,4190000,3310000,4490000,5860000,5680000,4590000,11740000,24200000,45010000,35733707,33395759,46782146,38840577,32701000,24005000,3487000,1391000,1799000,5441000,11632000,16688000,47150000,61312000,49997000,31870000,18802000,15144000,13450000,20631000,21917000,44555000,50464000
69,Minority Interest,- -,- -,- -,- -,-10000,-380000,-280000,-460000,-440000,-310000,50000,-21150000,-14073707,-11735759,-2146,2609423,6349000,5000,3000,-1000,1000,-1000,-2000,2000,- -,-2000,3000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5020000,5330000,4190000,3300000,4110000,5580000,5220000,4150000,11430000,24250000,23860000,21660000,21660000,46780000,41450000,39050000,24010000,3490000,1390000,1800000,5440000,11630000,16690000,47150000,61310000,50000000,31870000,18802000,15144000,13450000,20631000,21917000,44555000,50464000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849145/000110465903007730/0001104659-03-007730-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000095013304001374/0000950133-04-001374-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420405008952/0001144204-05-008952-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420406012134/0001144204-06-012134-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420407013180/0001144204-07-013180-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420408014522/0001144204-08-014522-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420409014828/0001144204-09-014828-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420410017209/0001144204-10-017209-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420411019124/0001144204-11-019124-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420412016586/0001144204-12-016586-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420413018237/0001144204-13-018237-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000106299314001758/0001062993-14-001758-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000106299315001675/0001062993-15-001675-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459016014988/0001564590-16-014988-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459017003568/0001564590-17-003568-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459018005463/0001564590-18-005463-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459019007178/0001564590-19-007178-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459020009356/0001564590-20-009356-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459021011476/0001564590-21-011476-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000095017022004073/0000950170-22-004073-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1000000,-500000,- -,-300000,- -,- -,-700000,-600000,-23100000,-29900000,-28000000,-24700000,-25800000,-44500000,-27800000,-31400000,-22800000,-18500000,-7700000,-600000,5800000,-1300000,4800000,30700000,-1800000,-6400000,-26514000,-10421000,14000,-249000,3751000,3899000,9658000,3053000
74,Depreciation and Amortization,- -,1490000,730000,560000,690000,400000,400000,500000,500000,1100000,7400000,12800000,9858624,6941300,11685233,9599080,8070000,10576000,6217000,3166000,28000,20000,112,80,2000,407000,472000,566000,575000,316000,313000,319000,305000,362000,- -
75,Deferred Income Tax,- -,- -,- -,-40000,-120000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,-26364000,- -,- -,- -,- -,- -,- -,- -,- -,-4030000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,71000,46000,296000,1647000,532000,484000,358000,99000,246000,289000,283000,353000,- -
77,Change in Working Capital,- -,150000,1320000,-220000,-30000,1950000,-990000,-590000,-780000,1890000,-4530000,-1540000,3170000,-28740000,-10750000,23570000,-9340000,5230000,-56700000,76260000,130000,6220000,-8900000,5960000,6000000,-9970000,-830000,-969000,-943000,955000,-1507000,3153000,168000,15286000,-3903000
78,Accounts Receivable,- -,- -,-120000,170000,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,854000,-362000,592000,-602000,619000,216000,-601000,863000,-16000,-1459000,363000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-800000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1951000,-2452000,1023000,-4327000,242000,9000,-211000,3847000,93000,-2235000,2301000,-131000,- -
80,Accounts Payable,- -,- -,20000,200000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-970000,350000,130000,100000,2050000,1060000,470000,-310000,1580000,-2950000,-4490000,-1320000,-30060000,-40810000,-17240000,-26580000,-21350000,-78050000,-1790000,-1660000,4560000,-4340000,1620000,7620000,-2350000,-3180000,-4149000,-5092000,-4137000,-5644000,-2491000,-2323000,12963000,9060000
82,Other Non-Cash Items,- -,-80000,-1370000,690000,250000,-1850000,890000,490000,1180000,15310000,15030000,-60000,1289451,49468055,14281976,-10240544,24355000,-3258000,54143000,-74192000,168000,-6445000,2286888,-6251080,-6583000,4914000,8487000,26076000,9595000,2530000,2379000,-42000,-3861000,-12481000,850000
83,Cash Provided by Operating Activities,- -,560000,180000,990000,490000,500000,300000,-400000,300000,-4800000,-12000000,-16800000,-10381925,1869355,-29282791,-4871464,-8315000,-10252000,-14840000,-2466000,-1274000,5680000,-7842000,4555000,4051000,-4802000,2261000,-357000,-836000,3914000,1182000,7470000,794000,9148000,- -
84,CAPEX,- -,-1410000,-200000,-410000,-1530000,- -,-300000,- -,- -,-700000,-1900000,-3300000,-2047948,-6911003,-1963115,-1648868,-2136000,-731000,- -,- -,- -,- -,- -,- -,- -,-28000,-10000,-127000,-9000,-99000,-44000,-99000,-116000,-7000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13681000,-8275539,149000,- -,- -,- -,- -,- -,- -,- -,- -,-2344000,- -,-1361000,- -,- -,- -,-2753000,-604000,-1428000,- -
