,https://roic.ai/company/CSL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,94500000,106700000,133600000,143900000,146200000,154000000,134800000,116400000,130300000,136800000,144800000,170400000,197800000,221800000,236600000,252496000,222001000,231824000,229316000,237438000,229450000,246958000,253867000,325100000,324000000,332600000,402000000,473400000,378800000,411200000,504800000,574700000,642300000,665700000,717500000,698800000,747200000
11,COGS and Expenses,427700000,430800000,508700000,530100000,522700000,583500000,486100000,486800000,562400000,631200000,746500000,920400000,1133100000,1366000000,1443500000,1595630000,1749621000,1843629000,1961970000,2041924000,2000144000,2296879000,2546997000,2726500000,2199600000,2331600000,2949400000,3205100000,2576200000,2795700000,3041300000,3092800000,3584200000,3970500000,4157400000,3761600000,4242800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,500000,500000,500000,1500000,700000,1300000,500000,11200000,7900000,4800000,1200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,8600000,21700000,26000000,34300000,33700000,34700000,31900000,34000000,64700000,66100000,76600000,80300000
14,Depreciation and Amortization,20800000,21000000,25500000,24400000,21700000,23000000,19400000,18800000,20700000,21900000,23200000,29800000,38800000,45200000,47400000,59549000,63960000,56994000,60366000,52639000,53221000,59836000,65874000,69000000,67500000,71900000,88000000,104900000,113900000,104000000,129300000,137800000,169100000,190600000,205400000,224200000,226200000
15,EBITDA,67600000,55700000,57400000,53000000,65200000,59600000,15000000,59000000,67600000,80700000,96100000,121900000,155600000,185500000,202900000,210414000,101885000,123741000,192099000,184277000,219810000,353556000,387832000,193100000,267200000,283300000,362000000,532600000,455700000,513400000,632000000,579500000,671500000,953700000,865900000,698000000,823700000
16,EBITDA ratio,0.1403,0.1195,0.1057,0.0934,0.1178,0.0960,0.0300,0.1117,0.1106,0.1165,0.1168,0.1198,0.1234,0.1222,0.1259,0.1188,0.0551,0.0628,0.0911,0.0827,0.0995,0.1374,0.1348,0.0650,0.1123,0.1121,0.1123,0.1467,0.1548,0.1602,0.1784,0.1577,0.1642,0.2129,0.1800,0.1644,0.1712
17,Operating Income,54200000,35300000,34100000,37300000,31000000,37600000,14700000,41300000,48900000,61500000,76000000,97100000,127500000,151500000,167800000,175437000,67045000,127651000,146194000,185690000,209466000,275631000,329386000,244900000,206900000,196100000,275100000,- -,- -,- -,- -,- -,505700000,509000000,654200000,483600000,567500000
18,Operating Income ratio,0.1125,0.0757,0.0628,0.0657,0.0560,0.0605,0.0294,0.0782,0.0800,0.0888,0.0924,0.0954,0.1011,0.0998,0.1041,0.0991,0.0363,0.0648,0.0693,0.0834,0.0948,0.1071,0.1145,0.0824,0.0870,0.0776,0.0853,- -,- -,- -,- -,- -,0.1236,0.1136,0.1360,0.1139,0.1180
19,Total Other Income Expenses (Gains),-7400000,-600000,-2200000,-8700000,12500000,-1000000,-4100000,-1600000,-2000000,-2700000,-3100000,-5000000,-10700000,-11200000,-12300000,-24572000,-29120000,-17151000,-14461000,-15350000,-15908000,-20314000,-10044000,-27100000,-9000000,-8300000,-21200000,-25500000,-33800000,-32200000,-34000000,-172100000,-37500000,-63100000,-58900000,-82300000,-85000000
20,Income Before Tax,46800000,34700000,31900000,28600000,43500000,36600000,10600000,39700000,46900000,58800000,72900000,92100000,116800000,140300000,155500000,150865000,37925000,110500000,131733000,170340000,193558000,255317000,319342000,217800000,197900000,187800000,253900000,398800000,333000000,376100000,467900000,410500000,468200000,445900000,595300000,401300000,482500000
21,Income Before Tax Ratio,0.0971,0.0744,0.0588,0.0504,0.0786,0.0589,0.0212,0.0752,0.0767,0.0849,0.0886,0.0905,0.0927,0.0925,0.0965,0.0852,0.0205,0.0561,0.0625,0.0765,0.0876,0.0992,0.1110,0.0733,0.0832,0.0743,0.0787,0.1099,0.1131,0.1174,0.1321,0.1117,0.1145,0.0995,0.1237,0.0945,0.1003
22,Income Tax expense (Gain),22700000,15000000,13100000,11200000,16500000,13900000,4000000,15500000,18500000,23200000,28800000,36400000,46100000,55400000,59700000,54685000,13084000,38122000,42813000,52026000,60224000,78031000,106321000,68300000,46100000,57200000,72000000,131500000,97800000,124400000,148300000,159700000,102900000,87300000,121600000,77100000,95500000
23,Net Income,24100000,19700000,18800000,17400000,27000000,22700000,-8400000,24700000,28400000,35600000,44100000,55700000,70700000,84900000,95800000,96180000,24841000,28625000,88920000,79612000,106365000,215689000,215637000,55800000,144600000,145600000,180300000,270200000,209700000,251300000,319700000,250100000,365500000,611100000,472800000,320100000,421700000
24,Net Income ratio,0.0500,0.0423,0.0346,0.0307,0.0488,0.0365,-0.0168,0.0468,0.0465,0.0514,0.0536,0.0547,0.0561,0.0559,0.0595,0.0543,0.0134,0.0145,0.0422,0.0357,0.0481,0.0838,0.0750,0.0188,0.0608,0.0576,0.0559,0.0744,0.0713,0.0784,0.0902,0.0680,0.0894,0.1364,0.0983,0.0754,0.0877
25,EPS,0.33,0.27,0.28,0.27,0.42,0.36,-0.14,0.41,0.47,0.57,0.70,0.90,1.17,1.41,1.59,1.59,0.41,0.47,1.45,1.28,1.73,3.52,3.50,0.92,2.36,2.36,2.91,4.30,3.29,3.89,4.89,3.86,5.75,10.09,8.28,5.85,8.05
26,EPS Diluted,0.33,0.27,0.28,0.27,0.42,0.36,-0.14,0.41,0.46,0.57,0.70,0.90,1.14,1.39,1.56,1.57,0.41,0.47,1.44,1.27,1.71,3.46,3.44,0.91,2.34,2.34,2.86,4.22,3.22,3.82,4.82,3.82,5.71,10.02,8.19,5.80,7.94
27,Weighted Average Shares Outstanding,73030303,72962963,65964912,64444444,64285714,63055556,62222222,60987654,61075269,61920000,62532000,61906000,60470000,60358000,60332000,60478000,60520000,60882000,61410000,62064000,61472000,61240000,61692000,60541000,60601000,60901000,61958763,62513000,63471000,64170000,64844000,64226000,63073000,60393000,56913000,54500000,52300000
28,Weighted Average Shares Outstanding Diluted,73030303,72962963,65964912,64444444,64285714,63055556,62222222,60987654,61739130,61920000,62616822,61906000,62050000,61348000,61270000,61198000,60900000,61166000,61726000,62818000,62156000,62236000,62630000,61332000,61234000,61592000,63041958,63610000,64806000,65304000,65804000,64883000,63551000,60786000,57547000,55000000,53000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790051/000091205795001590/0000912057-95-001590-index.html,https://www.sec.gov/Archives/edgar/data/790051/000091205796004521/0000912057-96-004521-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790051/000091205701503080/0000912057-01-503080-index.html,- -,https://www.sec.gov/Archives/edgar/data/790051/000104746903008051/0001047469-03-008051-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465904006998/0001104659-04-006998-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465905010191/0001104659-05-010191-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465906016056/0001104659-06-016056-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465907015435/0001104659-07-015435-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746908002024/0001047469-08-002024-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746909001978/0001047469-09-001978-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746910000983/0001047469-10-000983-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746911000969/0001047469-11-000969-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746912000814/0001047469-12-000814-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746913000898/0001047469-13-000898-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746914001036/0001047469-14-001036-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746915000691/0001047469-15-000691-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746916010052/0001047469-16-010052-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000155837017000547/0001558370-17-000547-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005118000095/0000790051-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005119000070/0000790051-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005120000071/0000790051-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005121000080/0000790051-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005122000061/0000790051-22-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,49500000,21300000,16500000,32300000,24100000,17600000,14400000,90600000,51800000,71000000,3200000,8300000,1700000,3900000,10400000,8967000,15606000,23041000,26848000,25018000,38745000,144029000,88435000,42700000,96300000,89400000,74700000,112500000,754500000,730800000,410700000,385300000,379600000,803600000,351200000,902200000,324400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,49500000,21300000,16500000,32300000,24100000,17600000,14400000,90600000,51800000,71000000,3200000,8300000,1700000,3900000,10400000,8967000,15606000,23041000,26848000,25018000,38745000,144029000,88435000,42700000,96300000,89400000,77300000,112500000,754500000,730800000,410700000,385300000,379600000,803600000,351200000,902200000,324400000
34,Net Receivables,66200000,81300000,81900000,93700000,93600000,100100000,75400000,71800000,91200000,99400000,126600000,158500000,184800000,225300000,245100000,213656000,181570000,142622000,218819000,227423000,163277000,355409000,367810000,317000000,292500000,391000000,486400000,482700000,399600000,439200000,502500000,511600000,657700000,698300000,783000000,697200000,886700000
35,Inventory,58100000,61500000,55100000,56500000,67500000,79100000,53400000,50000000,65000000,74900000,121700000,137100000,180300000,193700000,219300000,277455000,246173000,248801000,263275000,315528000,336090000,411890000,492274000,424200000,345800000,430500000,508800000,538000000,298800000,339100000,356000000,377000000,507900000,457500000,510600000,503500000,605100000
36,Other Current Assets,9200000,8600000,11400000,17100000,17800000,16000000,54300000,24800000,28700000,27900000,30400000,42000000,50700000,55600000,66200000,76399000,109923000,67044000,75439000,84300000,123060000,66913000,74673000,184200000,65200000,106000000,141600000,72100000,82100000,102400000,50300000,81300000,99400000,97300000,107200000,106400000,334700000
37,Total Current Assets,183000000,172700000,164900000,199600000,203000000,212800000,197500000,237200000,236700000,273200000,281900000,345900000,417500000,478500000,541000000,576477000,553272000,481508000,584381000,652269000,661172000,978241000,1023192000,968100000,799800000,1016900000,1214100000,1205300000,1535000000,1611500000,1319500000,1355200000,1644600000,2056700000,1752000000,2209300000,2150900000
38,PP&E,101800000,106600000,104000000,93300000,100900000,123500000,125000000,122100000,142200000,158200000,193100000,264200000,294200000,354800000,349500000,402614000,447660000,447986000,454285000,458545000,432749000,462307000,537637000,470700000,482600000,533400000,564100000,637100000,497200000,547300000,585800000,632200000,780900000,760100000,783500000,774100000,759900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309707000,365392000,435800000,462200000,667100000,845200000,958800000,858700000,964500000,1134400000,1081200000,1601800000,1441800000,1716300000,1738200000,2199000000
40,Intangible Assets,17200000,25900000,23600000,16400000,4600000,23100000,10500000,9900000,15800000,18400000,37100000,108600000,121800000,139700000,158000000,251670000,336814000,305624000,310437000,298620000,331273000,19339000,38702000,146300000,162900000,297900000,479200000,617500000,579800000,611700000,887800000,872200000,1234400000,967700000,1140600000,1034800000,2008700000
41,Intangible Assets,17200000,25900000,23600000,16400000,4600000,23100000,10500000,9900000,15800000,18400000,37100000,108600000,121800000,139700000,158000000,251670000,336814000,305624000,310437000,298620000,331273000,329046000,404094000,582100000,625100000,965000000,1324400000,1576300000,1438500000,1576200000,2022200000,1953400000,2836200000,2409500000,2856900000,2773000000,4207700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000000,101000000,4000000,5000000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10600000,16800000,16100000,16100000,29400000,14600000,22700000,14300000,25700000,35500000,30300000,23800000,27700000,49900000,32200000,74918000,60241000,80782000,87806000,91807000,51063000,7223000,19871000,50000000,6300000,14200000,35300000,38600000,22300000,23700000,26600000,25000000,38100000,22900000,103600000,110000000,128300000
45,Total Non-Current Assets,129600000,149300000,143700000,125800000,134900000,161200000,158200000,146300000,183700000,212100000,260500000,396600000,443700000,544400000,539700000,729202000,844715000,834392000,852528000,848972000,902085000,899576000,965602000,1107800000,1114300000,1512600000,1923800000,2252000000,1958000000,2147200000,2634600000,2610600000,3655200000,3192500000,3744000000,3657100000,5095900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,312600000,322000000,308600000,325400000,337900000,374000000,355700000,383500000,420400000,485300000,542400000,742500000,861200000,1022900000,1080700000,1305679000,1397987000,1315900000,1436909000,1501241000,1563257000,1877817000,1988794000,2075900000,1914100000,2529500000,3137900000,3457300000,3493000000,3758700000,3954100000,3965800000,5299800000,5249200000,5496000000,5866400000,7246800000
48,Accounts Payable,- -,- -,- -,- -,31900000,31000000,24400000,19200000,28700000,34100000,45200000,74300000,75900000,101900000,106300000,108484000,137098000,136881000,177957000,167950000,127698000,142964000,142896000,123600000,135700000,195400000,260800000,259700000,187000000,198000000,212600000,243600000,352400000,312100000,327300000,317600000,432400000
49,Short-Term Debt,2500000,13600000,7300000,8300000,11100000,5600000,1400000,100000,- -,- -,- -,- -,24300000,31200000,2000000,173762000,17688000,53038000,7505000,59990000,57993000,151676000,58571000,127000000,- -,69000000,158100000,- -,- -,- -,149900000,- -,- -,- -,250200000,1100000,352000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,19400000,16700000,22700000,14800000,19400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19280000,15631000,16097000,12783000,11863000,16046000,15708000,14700000,17300000,17100000,16300000,17600000,17400000,17900000,24000000,23200000,27800000,25500000,27000000,32500000,33900000
52,Other Current Liabilities,47600000,65500000,62000000,75100000,43700000,55400000,56300000,55800000,63500000,74500000,83000000,96300000,125900000,122200000,132100000,117702000,99713000,118712000,137784000,143299000,175157000,156000000,171012000,177200000,148100000,174900000,178300000,193300000,172000000,176300000,219400000,246700000,278400000,258000000,294500000,295000000,351200000
53,Total Current Liabilities,50100000,79100000,69300000,83400000,86700000,92000000,82100000,75100000,92200000,108600000,128200000,170600000,226100000,255300000,240400000,399948000,273779000,324262000,339343000,384022000,372711000,466686000,388187000,442500000,301100000,456400000,613500000,470600000,376400000,392200000,605900000,513500000,658600000,595600000,899000000,646200000,1169500000
54,Long-Term Debt,42800000,36600000,28100000,21700000,17400000,44500000,48600000,69100000,59500000,67500000,72700000,191200000,209600000,273500000,281700000,281864000,461744000,293124000,294581000,259554000,282426000,274658000,262809000,273300000,156100000,405100000,604300000,752100000,750900000,749700000,598600000,596400000,1586200000,1587800000,1341400000,2135300000,2639800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113200000,122600000,129700000,135400000,143600000,151100000,159700000,172000000,188000000,201900000,220400000,235800000,250000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103804000,- -,- -,- -,- -,246100000,177600000,195400000,176500000,144100000,262600000,186700000,252700000,206700000,433800000
57,Other Non-Current Liabilities,22300000,24900000,25400000,29300000,25100000,30000000,34900000,35100000,48200000,61300000,68200000,73200000,76700000,87200000,80500000,75988000,122180000,145437000,171055000,159178000,177881000,194264000,115099000,266000000,125100000,204700000,290300000,65000000,58400000,65300000,66000000,72900000,76100000,79800000,139700000,104700000,124200000
58,Total Non-Current Liabilities,65100000,61500000,53500000,51000000,42500000,74500000,83500000,104200000,107700000,128800000,140900000,264400000,286300000,360700000,362200000,357852000,583924000,438561000,465636000,418732000,460307000,468922000,481712000,539300000,394400000,732400000,1024300000,1198600000,1130500000,1161500000,1000800000,985400000,2112900000,2056200000,1954200000,2682500000,3447800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,100000,100000,100000,- -,- -,- -,61800000,55100000,64400000
61,Total Liabilities,115200000,140600000,122800000,134400000,129200000,166500000,165600000,179300000,199900000,237400000,269100000,435000000,512400000,616000000,602600000,757800000,857703000,762823000,804979000,802754000,833018000,935608000,869899000,981800000,695500000,1188800000,1637800000,1669200000,1506900000,1553700000,1606700000,1498900000,2771500000,2651800000,2853200000,3328700000,4617300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39300000,39331000,39331000,39331000,39331000,39331000,39331000,39331000,78661000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000
64,Retained Earnings,195900000,205600000,215200000,223400000,240900000,253900000,235900000,249500000,259000000,282900000,314100000,348600000,403400000,470100000,545400000,618595000,618553000,621291000,683516000,735168000,811925000,995604000,1199553000,1218300000,1324300000,1429300000,1566100000,1788300000,1944300000,2134400000,2381800000,2547400000,2820800000,3351400000,3721300000,3928700000,4237700000
65,Other Comprehensive Income/Loss,-113300000,-129100000,-144400000,-145000000,-155300000,-173200000,-155400000,-160900000,-176600000,-183700000,-200400000,-218800000,-245300000,-275800000,-308600000,-340595000,-363546000,-9691000,-11329000,7843000,-605000,5014000,2501000,-39500000,-34700000,-38100000,-45000000,-35500000,-31500000,-61800000,-87100000,-122200000,-85700000,-122100000,-124100000,-97000000,-105200000
66,Other Total Stockholders Equity,114800000,104900000,115000000,112600000,123100000,126800000,109600000,115600000,138100000,148700000,159600000,177700000,190700000,212600000,202000000,230548000,245946000,-97854000,-79588000,-83855000,-120412000,-97740000,-161820000,-163400000,-149700000,-129200000,-99700000,-43400000,-5400000,53700000,-26000000,-37000000,-285500000,-710600000,-1033100000,-1372700000,-1581700000
67,Total Stockholders Equity,197400000,181400000,185800000,191000000,208700000,207500000,190100000,204200000,220500000,247900000,273300000,307500000,348800000,406900000,478100000,547879000,540284000,553077000,631930000,698487000,730239000,942209000,1118895000,1094100000,1218600000,1340700000,1500100000,1788100000,1986100000,2205000000,2347400000,2466900000,2528300000,2597400000,2642800000,2537700000,2629500000
68,Total Liabilities And Stockholders Equity,312600000,322000000,308600000,325400000,337900000,374000000,355700000,383500000,420400000,485300000,542400000,742500000,861200000,1022900000,1080700000,1305679000,1397987000,1315900000,1436909000,1501241000,1563257000,1877817000,1988794000,2075900000,1914100000,2529500000,3137900000,3457300000,3493000000,3758700000,3954100000,3965800000,5299800000,5249200000,5496000000,5866400000,7246800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,312600000,322000000,308600000,325400000,337900000,374000000,355700000,383500000,420400000,485300000,542400000,742500000,861200000,1022900000,1080700000,1305679000,1397987000,1315900000,1436909000,1501241000,1563257000,1877817000,1988794000,2075900000,1914100000,2529500000,3137900000,3457300000,3493000000,3758700000,3954100000,3965800000,5299800000,5249200000,5496000000,5866400000,7246800000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790051/000091205795001590/0000912057-95-001590-index.html,https://www.sec.gov/Archives/edgar/data/790051/000091205796004521/0000912057-96-004521-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790051/000091205701503080/0000912057-01-503080-index.html,- -,https://www.sec.gov/Archives/edgar/data/790051/000104746903008051/0001047469-03-008051-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465904006998/0001104659-04-006998-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465905010191/0001104659-05-010191-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465906016056/0001104659-06-016056-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465907015435/0001104659-07-015435-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746908002024/0001047469-08-002024-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746909001978/0001047469-09-001978-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746910000983/0001047469-10-000983-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746911000969/0001047469-11-000969-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746912000814/0001047469-12-000814-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746913000898/0001047469-13-000898-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746914001036/0001047469-14-001036-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746915000691/0001047469-15-000691-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746916010052/0001047469-16-010052-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000155837017000547/0001558370-17-000547-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005118000095/0000790051-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005119000070/0000790051-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005120000071/0000790051-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005121000080/0000790051-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005122000061/0000790051-22-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,27000000,22700000,-8400000,24700000,28400000,35600000,44100000,55700000,70700000,84900000,95800000,96180000,24841000,28625000,88920000,79612000,106365000,215689000,215637000,55800000,144600000,145600000,180300000,270200000,209700000,251300000,319700000,250100000,365500000,611100000,472800000,320100000,421700000
74,Depreciation and Amortization,- -,- -,- -,- -,21700000,23000000,19400000,18800000,20700000,21900000,23200000,29800000,38800000,45200000,47400000,59549000,63960000,56994000,60366000,52639000,53221000,59836000,65874000,69000000,67500000,71900000,88000000,104900000,113900000,104000000,129300000,137800000,169100000,190600000,205400000,224200000,226200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-16000000,6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,17723000,8754000,-1282000,7909000,5083000,18796000,-22400000,8300000,7500000,1800000,-13800000,-61700000,-9900000,-15800000,-25000000,-58500000,-800000,-8900000,-27000000,-5400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,13300000,15700000,- -,- -,- -,- -,-2600000,13200000,23900000,26100000,29900000,19400000
