,https://roic.ai/company/AUMN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-330000,-3490000,-12100000,-17776508,-10641471,-8288609,-7243649,-6677028,-3692392,-3198699,-9218000,-24338000,-70727000,-166029000,-139554000,-37100000,-27845000,-66604000,-36641000,-27878000,-18459000,-9935000,-6205000,-1630000,-5711000,-4395000,-9484000,1414000
84,CAPEX,- -,- -,-500000,-6147752,-19907565,-15705206,-27510946,-12742049,-4975491,-3922731,-26562000,-164737000,-276924000,-148860000,-27452000,-839000,-4213000,-8490000,-9620000,-1797000,-500000,-44000,-50000,-81000,-152000,-38000,-470000,-1620000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000,70000000,- -,- -,5614000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-685829000,-668424000,-651982000,-702802000,-316982000,- -,-6003000,-15713000,- -,- -,- -,- -,- -,- -,- -,- -,-59000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211058000,972304000,360455000,806809000,81754000,- -,6441000,1233000,49000,198000,- -,- -,- -,- -,- -,113000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15285000,-140911000,345439000,84849000,96838000,50079000,583000,505000,5061000,4217000,982000,789000,1167000,762000,5097000,3144000,525000,17000
89,Cash Used for Investing Activites,- -,- -,-500000,-6147752,-19907565,-15705206,-27510946,-12742049,-4975491,-3922731,-516618000,-1768000,-223012000,40254000,-95842000,49240000,-3192000,-16851000,-4510000,2618000,482000,745000,1117000,681000,4945000,3219000,-4000,-1603000
90,Debt Repayment,- -,- -,- -,- -,-464639,-236534,-438719,-474001,-335657,- -,-91000,-13657000,-2847000,-13250000,-8551000,- -,- -,-15511000,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -
91,Common Stock Issued,- -,- -,35300000,55007682,197723,94309685,- -,325996,11612952,3874582,210374000,16932000,160203000,4526000,- -,- -,143457000,30674000,36908000,- -,7410000,- -,3599000,1611000,809000,2476000,14599000,2714000
92,Common Stock Repurchased,970000,6430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,325779000,-101000,181415000,125395000,236934000,-37300000,- -,-4049000,- -,- -,- -,4688000,- -,- -,- -,- -,1000000,- -
95,Cash Used/Provided by Financing Activities,690000,6430000,35300000,55007682,-266916,94073151,-438719,-148005,11277295,3874582,536062000,3174000,338771000,116671000,228383000,-37300000,143457000,11114000,36908000,- -,7410000,4688000,3599000,1611000,809000,2476000,14599000,2714000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,360000,2940000,35300000,31083422,-30815952,70079336,-35193314,-19567082,2609412,-3246848,10226000,-22932000,45032000,-9104000,-7013000,-25150000,112420000,-72341000,-4243000,-25260000,-10567000,-4502000,-1489000,662000,43000,1300000,5111000,2525000
98,Cash at the End of Period,3653000,2940000,- -,57033193,26217241,96296577,61103263,41536181,44145593,40898745,27740000,4808000,49840000,40736000,33723000,8550000,120990000,48649000,44406000,19146000,8579000,4077000,2588000,3250000,3293000,4593000,9704000,12229000
99,Cash at the Beginning of Period,3293000,- -,3300000,25949771,57033193,26217241,96296577,61103263,41536181,44145593,17514000,27740000,4808000,49840000,40736000,33700000,8570000,120990000,48649000,44406000,19146000,8579000,4077000,2588000,3250000,3293000,4593000,9704000
100,Free Cash Flow,-330000,-3490000,-12600000,-23924260,-30549036,-23993815,-34754595,-19419077,-8667883,-7121430,-35780000,-189075000,-347651000,-314889000,-167006000,-42520000,-32058000,-75094000,-46261000,-29675000,-18959000,-9979000,-6255000,-1711000,-5863000,-4433000,-9954000,-206000
