,https://roic.ai/company/BVN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,- -,0.5030,1.0586,1.0132,0.7469,0.6532,0.5411,0.7405,0.0717,0.8651,0.9921,0.8361,0.4543,0.3356,0.8469,0.7821,0.7713,0.6287,-0.0001,0.0012,-0.2899,-0.2300,0.0847,0.0403,-0.0060,-0.1218,-0.2522
17,Operating Income,- -,- -,- -,-2200000,-34400000,-38100000,-20822000,4348000,14472000,39362000,48572000,89866000,96108000,302802000,180173000,283735000,287197000,437585000,704375000,418234000,132302000,61596000,-147602000,132196000,105516000,53755000,-58013000,-81274000,-65958000
18,Operating Income ratio,- -,- -,- -,-0.0260,-0.4914,-0.6298,-0.2094,0.0318,0.0890,0.2106,0.2074,0.2846,0.2788,0.4681,0.2291,0.3480,0.3258,0.3964,0.4525,0.2675,0.1029,0.0524,-0.1551,0.1237,0.0828,0.0460,-0.0668,-0.1201,-0.0733
19,Total Other Income Expenses (Gains),- -,- -,- -,32900000,76300000,73500000,70274000,90461000,54721000,78313000,-38321000,164057000,225164000,291706000,254883000,-111777000,446343000,406115000,467692000,467150000,-119842000,-26110000,-203654000,-387433000,-12971000,-31280000,14478000,-49044000,167087000
20,Income Before Tax,- -,- -,- -,30700000,41900000,35400000,49452000,94809000,69193000,117675000,10251000,253923000,321272000,594508000,435056000,171958000,733540000,843700000,1172067000,885384000,12460000,35486000,-351256000,-255237000,92545000,22475000,-43535000,-130318000,101129000
21,Income Before Tax Ratio,- -,- -,- -,0.3625,0.5986,0.5851,0.4973,0.6934,0.4255,0.6297,0.0438,0.8042,0.9320,0.9191,0.5532,0.2109,0.8321,0.7644,0.7530,0.5663,0.0097,0.0302,-0.3690,-0.2388,0.0726,0.0193,-0.0502,-0.1926,0.1123
22,Income Tax expense (Gain),- -,- -,- -,4800000,1700000,3400000,4131000,5743000,7128000,7141000,-54496000,31048000,24496000,64033000,43975000,-26645000,64340000,116327000,211589000,142594000,86614000,66012000,14766000,53504000,18012000,26926000,-25590000,25430000,-23671000
23,Net Income,- -,- -,- -,25900000,40200000,32000000,45321000,70956000,62065000,110534000,48138000,208712000,274485000,428057000,274761000,203328000,593561000,662934000,858927000,684685000,-101675000,-76065000,-317210000,-323492000,60823000,-13445000,-12208000,-135718000,-264075000
24,Net Income ratio,- -,- -,- -,0.3058,0.5743,0.5289,0.4558,0.5190,0.3817,0.5915,0.2055,0.6610,0.7963,0.6617,0.3494,0.2494,0.6733,0.6006,0.5518,0.4379,-0.0791,-0.0647,-0.3333,-0.3027,0.0477,-0.0115,-0.0141,-0.2006,-0.2933
25,EPS,- -,- -,- -,0.10,0.14,0.13,0.18,0.14,0.25,0.44,0.18,0.82,1.08,1.68,1.08,0.60,2.33,2.61,3.39,2.69,-0.40,-0.30,-1.25,-1.27,0.24,-0.05,-0.05,-0.53,-1.04
26,EPS Diluted,- -,- -,- -,0.10,0.14,0.13,0.18,0.14,0.25,0.44,0.18,0.82,1.08,1.68,1.08,0.60,2.33,2.61,3.39,2.69,-0.40,-0.30,-1.25,-1.27,0.24,-0.05,-0.05,-0.53,-1.04
27,Weighted Average Shares Outstanding,- -,- -,- -,246666667,277241379,256000000,252504304,252504304,253216304,254442438,254472438,254472438,254459688,254442328,254408333,254442328,254747210,253997701,254442328,254232571,254186867,254186867,254186867,254186867,253986867,253986867,253986867,253986867,253986867
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,246666667,277241379,256000000,252504304,252504304,253216304,254451384,254472438,254472438,254459688,254442328,254408333,254442328,254747210,253997701,254442328,254232571,254186867,254186867,254186867,254186867,253986867,253986867,253986867,253986867,253986867
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013131/000101313104000007/0001013131-04-000007-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013131/000114420408039927/0001144204-08-039927-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420409031285/0001144204-09-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420410033153/0001144204-10-033153-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420411037918/0001144204-11-037918-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420412024749/0001144204-12-024749-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420413025112/0001144204-13-025112-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420414026370/0001144204-14-026370-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420415026696/0001144204-15-026696-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420416098224/0001144204-16-098224-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420417023420/0001144204-17-023420-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420418023941/0001144204-18-023941-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420419022630/0001144204-19-022630-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465920045603/0001104659-20-045603-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,25506000,109535000,187164000,96874000,239533000,381612000,554752000,714454000,600796000,480968000,186712000,61898000,78512000,78519000,80544000,214551000,369200000,210046000,235449000,376999000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15083000,26474000,15426000,119759000,2929000,52873000,- -,50154000,52178000,54509000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,25506000,124618000,213638000,112300000,359292000,384541000,607625000,714454000,650950000,533146000,241221000,61898000,78512000,78519000,80544000,214551000,369200000,210046000,235449000,376999000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,32814000,38114000,47299000,52063000,93617000,129720000,101817000,159162000,203424000,268515000,387533000,297804000,335350000,265781000,289045000,330049000,236111000,319631000,250667000,255888000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,20938000,21226000,21111000,27530000,30621000,35149000,43472000,44987000,82081000,149108000,163067000,175719000,150284000,101473000,120947000,132287000,135919000,97973000,77327000,86264000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8684000,12518000,12320000,12596000,7961000,16032000,35573000,19206000,35260000,17517000,11837000,16454000,39325000,23823000,11392000,24975000,19904000,20969000,25709000,20394000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,87942000,196476000,294368000,204489000,491491000,565442000,788487000,937809000,971715000,968286000,803658000,551875000,603471000,469596000,501928000,701862000,761134000,648619000,589152000,739545000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,103933000,108553000,137654000,170143000,215643000,244992000,247298000,351784000,532577000,830997000,1134276000,1515460000,1715452000,1747624000,1960025000,1949555000,1847615000,1754372000,1655916000,1537870000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46208000,47956000,1547000,64753000,84187000,110014000,91633000,86340000,74425000,- -,- -,4592000,- -,- -,- -,- -,26675000,20948000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46208000,47956000,1547000,64753000,84187000,110014000,91633000,86340000,74425000,- -,- -,4592000,- -,- -,- -,- -,26675000,20948000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,882947000,1126167000,1404659000,1935004000,2436237000,2358410000,2224381000,2043983000,1536607000,1536887000,1473382000,1488247000,1488775000,1422295000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81747000,74669000,89870000,111447000,141118000,209167000,261877000,238794000,125538000,113343000,83525000,47675000,41574000,25881000,43129000,38305000,74556000,73850000,164351000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,430136000,452270000,532486000,782818000,852437000,945730000,30385000,17289000,68360000,19299000,101139000,51105000,76703000,244404000,241974000,101380000,96785000,114805000,150976000,697750000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,534069000,688778000,792765000,1044378000,1244280000,1416027000,1479811000,1848750000,2330730000,2985263000,3784995000,4008500000,4068803000,4077585000,3764487000,3630951000,3456087000,3458655000,3390465000,3822266000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,622011000,885254000,1087133000,1248867000,1735771000,1981469000,2268298000,2786559000,3302445000,3953549000,4588653000,4560375000,4672274000,4547181000,4266415000,4332813000,4217221000,4107274000,3979617000,4561811000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,10227000,14483000,18626000,15486000,28539000,24662000,35944000,58233000,208796000,184408000,199551000,303951000,254000000,247114000,273440000,233355000,188084000,166244000,149446000,259641000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,17170000,25811000,15062000,8127000,10491000,20869000,98190000,166577000,2018000,1042000,- -,- -,40000000,285302000,55000000,96215000,95000000,320692000,90879000,50000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4561000,20528000,26538000,36423000,7935000,- -,3556000,2444000,8686000,2081000,1760000,5650000,12825000,3026000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18920000,22811000,31235000,43032000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,17964000,51112000,65027000,76931000,94264000,118156000,79331000,22288000,42829000,135016000,150455000,82263000,179363000,118615000,116685000,191624000,116098000,78421000,120111000,535296000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45361000,110326000,121526000,131779000,176326000,163687000,213465000,247098000,253643000,320466000,350006000,386214000,473363000,651031000,445125000,521194000,399182000,565357000,360436000,844937000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,31891000,12496000,4575000,399000,115000,63250000,229105000,150555000,55134000,105072000,- -,- -,- -,- -,- -,- -,- -,305996000,506567000,878558000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4915000,- -,- -,- -,- -,- -,- -,18158000,25101000,17658000,- -,- -,21594000,12662000,12330000,15790000,31422000,28959000,38319000,46742000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281923000,277204000,256305000,258824000,174316000,96736000,107428000,124481000,69874000,274261000,341632000,415192000,494252000,761747000,732202000,757052000,238762000,274438000,253043000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,36806000,294419000,281779000,256704000,258939000,237566000,325841000,276141000,204716000,192604000,274261000,341632000,436786000,506914000,774077000,747992000,788474000,573717000,819324000,1178343000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,82167000,404745000,403305000,388483000,435265000,401253000,539306000,523239000,458359000,513070000,624267000,727846000,910149000,1157945000,1219202000,1269186000,1187656000,1139074000,1179760000,2023280000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1399000,1396000,1396000,1396000,791000,791000,791000,791000,791000,791000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,171841000,164008000,181652000,174073000,159456000,188903000,752559000,750540000,750540000,815323000,750540000,750497000,750497000,750497000,750497000,750497000,750497000,750497000,750497000,750497000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,181846000,59954000,223451000,466345000,852148000,1056937000,517583000,1011077000,1506725000,2034768000,2566787000,2421238000,2328423000,2024895000,1690123000,1728847000,1675909000,1639658000,1503785000,1239526000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,24101000,74945000,72645000,18697000,5278000,5549000,-17795000,-37991000,-40308000,164976000,163857000,163036000,164734000,165223000,161230000,149452000,162681000,162126000,153937000,159062000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,149116000,168292000,185884000,177861000,192187000,163213000,279254000,340629000,390899000,163214000,219471000,219055000,219055000,219055000,218450000,218450000,218450000,218450000,218450000,218450000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,526904000,467199000,663632000,836976000,1209069000,1414602000,1531601000,2064255000,2607856000,3178281000,3702054000,3555222000,3464105000,3161066000,2821091000,2848037000,2808328000,2771522000,2627460000,2368326000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,609071000,871944000,1066937000,1225459000,1644334000,1815855000,2070907000,2587494000,3066215000,3691351000,4326321000,4283068000,4374254000,4319011000,4040293000,4117223000,3995984000,3910596000,3807220000,4391606000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,12940000,13310000,20196000,23408000,91437000,165614000,197391000,199065000,236230000,262198000,262332000,277307000,298020000,228170000,226122000,215590000,221237000,196678000,172397000,170205000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,622011000,885254000,1087133000,1248867000,1735771000,1981469000,2268298000,2786559000,3302445000,3953549000,4588653000,4560375000,4672274000,4547181000,4266415000,4332813000,4217221000,4107274000,3979617000,4561811000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1013131/000101313104000007/0001013131-04-000007-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1013131/000114420408039927/0001144204-08-039927-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420409031285/0001144204-09-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420410033153/0001144204-10-033153-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420411037918/0001144204-11-037918-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420412024749/0001144204-12-024749-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420413025112/0001144204-13-025112-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420414026370/0001144204-14-026370-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420415026696/0001144204-15-026696-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420416098224/0001144204-16-098224-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420417023420/0001144204-17-023420-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420418023941/0001144204-18-023941-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000114420419022630/0001144204-19-022630-index.htm,https://www.sec.gov/Archives/edgar/data/1013131/000110465920045603/0001104659-20-045603-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,25900000,40200000,32000000,45321000,70956000,62065000,110534000,48138000,208712000,274485000,428057000,274761000,203328000,593561000,662934000,858927000,684685000,-101675000,-76065000,-317210000,-323492000,60823000,-13445000,-12208000,-135718000,-264075000
74,Depreciation and Amortization,- -,- -,- -,11900000,32200000,25900000,24814000,12615000,18799000,20698000,23158000,33405000,43011000,48740000,38550000,62993000,73536000,71694000,118322000,147449000,3956000,121000,2575000,- -,- -,1295000,3825000,3700000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1377000,945000,-82994000,11518000,- -,-21651000,-32506000,-91565000,-5653000,32747000,42369000,10809000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,1100000,100000,-4300000,2281000,1428000,16450000,-5257000,-11224000,-15425000,-10216000,-55600000,1626000,-57247000,-6093000,-88901000,-118589000,-107629000,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43664000,-83153000,-80218000,-49137000,-83862000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,300000,- -,200000,-2226000,3498000,2168000,225000,325000,1552000,-8540000,348000,-4528000,-8323000,-1498000,-64198000,-88461000,-21051000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11282000,21644000,58852000,22955000,57176000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5490000,-68930000,24907000,25711000,-15256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,-6700000,-20500000,-19300000,-25382000,-23770000,-46539000,-59570000,211529000,-31200000,-143053000,-40697000,-79432000,33011000,-133914000,-150725000,-333564000,-399625000,97719000,75944000,314635000,323492000,-60823000,12150000,8383000,132018000,264075000
83,Cash Provided by Operating Activities,- -,- -,- -,32200000,52000000,34300000,47034000,61229000,52152000,67350000,188607000,207010000,164227000,358849000,202999000,150520000,521437000,527749000,567465000,335689000,- -,- -,- -,- -,- -,- -,- -,- -,- -
84,CAPEX,- -,- -,- -,-18100000,-23900000,-36600000,-15335000,-16745000,-68977000,-27394000,-18637000,-29377000,-20493000,-74239000,-61649000,-61175000,-152177000,-230180000,-317816000,-442672000,-498566000,-225883000,-205805000,-359654000,-257545000,-109030000,-101901000,-71546000,-90309000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58594000,-6988000,-83228000,- -,- -,- -,- -,- -,-13453000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-71195000,-1814000,-3171000,-14585000,- -,- -,-126054000,-17378000,-29541000,-37936000,-37560000,-277485000,- -,- -,-80373000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55715000,- -,27417000,- -,60379000,3658000,52944000,- -,- -,- -,- -,- -,- -,- -,3640000
88,Other Investing Activites,- -,- -,- -,-8000000,-35800000,24900000,-41670000,42847000,3833000,268000,-16743000,-53928000,-153760000,-2018000,-31681000,13592000,-10969000,-63222000,7814000,10121000,373390000,326097000,127259000,391401000,212582000,346260000,47065000,22775000,382000
89,Cash Used for Investing Activites,- -,- -,- -,-26100000,-59700000,-11700000,-57005000,-45093000,-66958000,-30297000,- -,-83305000,-174253000,-202311000,- -,- -,- -,- -,- -,- -,419346000,162496000,127259000,391401000,212582000,346260000,47065000,-62224000,-86287000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-716824000,-97288000,-226117000,-2000000,-1068000,-260231000,-42205000,-119891000,-476433000,-332599000,-140222000,-288748000,-11277000,-106983000
91,Common Stock Issued,- -,- -,- -,165300000,- -,- -,- -,- -,3859000,6698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-462000,- -,- -,-1210000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-11200000,-11700000,-9200000,-9309000,-9846000,-13116000,-19214000,-43743000,-42453000,-55086000,-59767000,-69972000,-88163000,-68467000,-156219000,-142488000,-152666000,-78836000,-8642000,- -,-7621000,-22099000,-22860000,-22098000,- -,- -
94,Other Financing Activites,- -,- -,- -,-57300000,-3100000,-44700000,-9374000,-16400000,42092000,-22957000,-12405000,-22790000,-10293000,-17022000,47314000,960000000,- -,53262000,-15774000,21397000,223442000,208245000,334311000,460764000,414273000,89030000,210228000,-23981000,532330000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,96800000,-14800000,-53900000,-18683000,-26246000,32835000,-35473000,-56148000,-65243000,-65379000,-76789000,-22658000,155013000,-165755000,-329074000,-160262000,-132337000,-116087000,157398000,214420000,-24500000,59575000,-74052000,-100618000,-35258000,425347000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-570000,83000,-370000,- -,- -,- -,- -,- -,12198000,-1457000,750000,675000,-1715000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,103000000,-22400000,-31300000,-28654000,-10681000,18112000,1210000,83171000,58462000,-75406000,79749000,126264000,229163000,182427000,-131593000,-112014000,-284135000,-124814000,27236000,7000,2025000,134007000,154649000,-159154000,25403000,141550000
98,Cash at the End of Period,- -,- -,- -,104400000,82400000,47400000,16435000,6271000,24403000,25506000,109535000,179781000,96874000,176600000,302864000,532027000,714454000,582861000,470847000,186712000,61898000,78512000,78519000,80544000,214551000,369200000,210046000,235449000,376999000
99,Cash at the Beginning of Period,- -,- -,- -,1400000,104800000,78700000,45089000,16952000,6291000,24296000,26364000,121319000,172280000,96851000,176600000,302864000,532027000,714454000,582861000,470847000,186712000,51276000,78512000,78519000,80544000,214551000,369200000,210046000,235449000
100,Free Cash Flow,- -,- -,- -,14100000,28100000,-2300000,31699000,44484000,-16825000,39956000,169970000,177633000,143734000,284610000,141350000,89345000,369260000,297569000,249649000,-106983000,-79220000,-63387000,-78546000,31747000,-44963000,237230000,-54836000,51339000,-287819000
