,https://roic.ai/company/RLI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23699837,24390338,32161000,44279000,- -,58438000,80018000,92382000,78062000,97526000,76728000,38273000,30224000,22431000,23851000,50861000,43959000,47334000,38013000,37556000,17928000,21624000,22591000,25691000,42265000,42851000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,- -,24900000,39644000,78397000,78763000,77239000,54356000,47560000,46839000,15541000,- -,27975000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,607200000,575700163,595909662,- -,- -,- -,-96099000,1128426000,1340258000,1620199000,1829833000,1838072000,1685852000,1580976000,1583969000,1599349000,1725439000,- -,1714366000,1742887000,1725886000,1787392000,1923094000,2126517000,2375340000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,610000000,599400000,645200000,71805000,122676000,78763000,39578000,1262800000,1480200000,1745100000,1942900000,1914800000,1752100000,1611200000,1606400000,1623200000,1776300000,- -,1761700000,1780900000,1763442000,1805320000,1944718000,2149108000,2401031000,- -,- -
54,Long-Term Debt,7000000,7000000,9100000,7000000,7000000,7000000,7000000,7000000,53000000,52300000,46000000,46000000,- -,- -,- -,- -,- -,- -,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,149582000,149625000,149668000,148741000,148928000,149115000,149302000,149489000,199676000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24299000,- -,- -,55566000,57801000,82285000,63993000,64494000,53768000,24238000,56727000,80235000,83509000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24299000,- -,- -,- -,-57783000,-82310000,-65107000,-64494000,-53768000,-24238000,-56727000,- -,- -
58,Total Non-Current Liabilities,7000000,7000000,9100000,7000000,7000000,7000000,7000000,7000000,53000000,52300000,46000000,46000000,- -,- -,- -,- -,- -,- -,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,155566000,149600000,149600000,148554000,148741000,148928000,149115000,149302000,229724000,283185000
59,Other Liabilities,121400000,146400000,171500000,170800000,180000000,196600000,217800000,240800000,582600000,675000000,92039425,92034423,- -,646921000,754618000,875906000,1015960000,- -,200030000,200014000,200029000,- -,200001000,200047000,200003000,200016000,200018000,2003835000,299244000,- -,298222000,- -,- -,- -,- -,3032231000,3562126000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,114400000,139400000,162400000,163800000,173000000,189600000,210800000,233800000,529600000,622700000,656039425,645434423,645188165,718726000,877294000,954669000,1055538000,1262772000,1580230000,1845114000,2042929000,2014776000,1852101000,1711247000,1706403000,1723216000,1876318000,1848269000,1911344000,1930480000,1913110000,1954061000,2093646000,2298223000,2550333000,2802507000,3278941000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8453449,8453449,10229673,12790000,12804000,12806000,12821000,30473000,30958000,31109000,31344000,31690000,31870000,32106000,32179000,32318000,32627000,32728000,65913000,66033000,66474000,66875000,67079000,674000,678000,681000,682000
64,Retained Earnings,13600000,22900000,35000000,40200000,46200000,55500000,65500000,75700000,98300000,89800000,95378097,115164415,140431791,163324000,189250000,212159000,237006000,265573000,326808000,386968000,478043000,594147000,749767000,807195000,877791000,834375000,834111000,778202000,811320000,786908000,804875000,797307000,788522000,908079000,1014046000,1084217000,1228110000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,105000000,96000000,15000000,77000000,96000000,117000000,143170000,136000000,171000000,124000000,123000000,158000000,-15000000,52000000,108714000,49826000
66,Other Total Stockholders Equity,22700000,26400000,22800000,23800000,24100000,21700000,27300000,31700000,41000000,39800000,54776170,76421497,115890976,117845000,91015000,101689000,85605000,160509000,196368000,205584000,100554000,25683000,-103215000,-146147000,-154720000,-171317000,-164886000,- -,-184267000,-178879000,-171880000,-163610000,-160003000,-86911000,-71336000,-57634000,- -
67,Total Stockholders Equity,36300000,49300000,57800000,64000000,70300000,77200000,92800000,107400000,139300000,129600000,158607716,200039361,266552440,293959000,293069000,326654000,335432000,456555000,554134000,623661000,692941000,756520000,774422000,708154000,832250000,791376000,818852000,796363000,828966000,845062000,823469000,823572000,853598000,806842000,995388000,1135978000,1229361000
68,Total Liabilities And Stockholders Equity,150700000,188700000,220200000,227800000,243300000,266800000,303600000,341200000,668900000,752300000,814647141,845473784,911740605,1012685000,1170363000,1281323000,1390970000,1719327000,2134364000,2468775000,2735870000,2771296000,2626523000,2419401000,2538653000,2514592000,2695170000,2644632000,2740310000,2775542000,2736579000,2777633000,2947244000,3105065000,3545721000,3938485000,4508302000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1384341000,-1713193000,-2125245000,-2462327000,-2729542000,-2765258000,-2620750000,-2413495000,-2533284000,-1817610000,- -,- -,- -,-45249000,-25959000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,150700000,188700000,220200000,227800000,243300000,266800000,303600000,341200000,668900000,752300000,814647141,845473784,911740605,1012685000,1170363000,1281323000,6629000,6134000,9119000,6448000,6328000,6038000,5773000,5906000,5369000,696982000,2695170000,2644632000,2740310000,2730293000,2710620000,2777633000,2947244000,3105065000,3545721000,3938485000,4508302000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84246/000091205796005193/0000912057-96-005193-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84246/000110465902000833/0001104659-02-000833-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465903004106/0001104659-03-004106-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465904005908/0001104659-04-005908-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465905007751/0001104659-05-007751-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465906011843/0001104659-06-011843-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465907014999/0001104659-07-014999-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465908012582/0001104659-08-012582-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465909012028/0001104659-09-012028-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465910009197/0001104659-10-009197-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465911010249/0001104659-11-010249-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465912013871/0001104659-12-013871-index.html,- -,https://www.sec.gov/Archives/edgar/data/84246/000110465914014137/0001104659-14-014137-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000155837015000197/0001558370-15-000197-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000155837016003590/0001558370-16-003590-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424617000007/0000084246-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424618000011/0000084246-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424619000013/0000084246-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424620000010/0000084246-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000156459021006861/0001564590-21-006861-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000156459022005648/0001564590-22-005648-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8200000,11600000,12600000,13100000,15800000,-5000000,7949541,25695721,30171483,28239000,31451000,28693000,31047000,35852000,71291000,73036000,107134000,134639000,175867000,78676000,93845000,127432000,130591000,103346000,126255000,135445000,137544000,114920000,105028000,64179000,191642000,157091000,279354000
74,Depreciation and Amortization,- -,- -,- -,- -,2400000,2600000,2900000,3000000,3100000,3200000,3500000,2500000,2300000,2100000,2700000,3092000,3277000,3546000,3234000,3033000,3228000,3503000,3567000,3596000,3284000,3037000,3177000,3145000,3765000,4557000,5406000,6430000,6944000,7042000,8164000,7432000,7394000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-906977,3506460,-346886,-583000,-2100000,1852000,3043000,-5618000,-773000,-5189000,-3739000,-7688000,3058000,-3636000,11493000,16316000,9614000,18317000,12031000,5291000,14103000,13701000,-32760000,-14790000,13232000,8576000,18927000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,19100000,- -,- -,- -,- -,- -,-610000000,10600000,-45800000,645200000,1120782000,114017000,-1274374000,-1223448000,-214675000,-267384000,-197755000,28051000,162687000,141274000,4534000,-16883000,2461458000,-838284000,162708000,20677000,4716000,28533000,-20562000,-150950000,114207000,-159329000,231629000
78,Accounts Receivable,- -,- -,- -,- -,-400000,17600000,-10200000,6500000,-6400000,-600000,-14700000,30600000,5900000,-10000000,-6100000,-30052000,-13301000,-20482000,-35811000,3815000,17982000,83829000,155412000,13788000,8188000,-23430000,14303000,-14859000,-13154000,-2064000,10911000,17275000,-7964000,-18225000,-7793000,-14259000,7349000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,9400000,4900000,-400000,-500000,67100000,44300000,25000000,-18800000,700000,7800000,5700000,6888000,76673000,26594000,19258000,115843000,69695000,-18436000,-170977000,-6409000,8941000,- -,27010000,-15852000,3375000,-9321000,-457000,-19628000,3696000,967000,3100000,16574000,586000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-610000000,-599400000,-645200000,- -,1120782000,1234799000,-39575000,-1263023000,-1477698000,-1745082000,-1942837000,-1914786000,-1752099000,-1610825000,-1606291000,-1623174000,838284000,- -,162708000,183385000,188101000,216634000,196072000,45122000,159329000,- -,- -
