,https://roic.ai/company/TUP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,299800000,176900000,155500000,158900000,153200000,132100000,165900000,108500000,152700000,114900000,185900000,213100000,303700000,320400000,378700000,394100000,357300000,455400000,408400000,369900000,407600000,291700000,380900000,200100000,295600000,136100000
16,EBITDA ratio,0.2189,0.1439,0.1436,0.1522,0.1428,0.1185,0.1503,0.0924,0.1247,0.0898,0.1066,0.1076,0.1405,0.1506,0.1646,0.1525,0.1383,0.1705,0.1567,0.1620,0.1842,0.1293,0.1840,0.1113,0.1699,0.0849
17,Operating Income,254800000,134700000,114200000,126800000,136300000,105200000,94900000,86300000,116200000,111400000,152100000,194100000,243600000,275700000,329400000,342300000,306500000,403500000,367700000,315200000,347000000,229100000,319800000,125900000,197600000,250500000
18,Operating Income ratio,0.1861,0.1096,0.1055,0.1215,0.1270,0.0944,0.0860,0.0735,0.0949,0.0871,0.0872,0.0980,0.1127,0.1296,0.1432,0.1324,0.1186,0.1510,0.1411,0.1380,0.1568,0.1016,0.1545,0.0700,0.1136,0.1563
19,Total Other Income Expenses (Gains),-20300000,-23900000,-22700000,-23500000,-35200000,-23000000,22500000,-29700000,-14200000,-45700000,-48300000,-52700000,-41700000,-38600000,-29700000,-47000000,-33700000,-43100000,-69500000,-55300000,-45700000,-44000000,-43600000,-22500000,14700000,-52300000
20,Income Before Tax,234500000,110800000,91500000,103300000,101100000,82200000,117400000,56600000,102000000,65700000,103800000,141400000,201900000,237100000,299700000,295300000,272800000,360400000,298200000,259900000,301300000,185100000,276200000,103400000,212300000,198200000
21,Income Before Tax Ratio,0.1713,0.0901,0.0845,0.0990,0.0942,0.0738,0.1064,0.0482,0.0833,0.0514,0.0595,0.0714,0.0934,0.1114,0.1303,0.1142,0.1056,0.1349,0.1144,0.1138,0.1361,0.0821,0.1334,0.0575,0.1220,0.1237
22,Income Tax expense (Gain),59800000,28800000,22400000,24300000,26200000,20700000,27000000,8000000,15000000,-20500000,9000000,24000000,40000000,62000000,74100000,77000000,79800000,86200000,83800000,74100000,77700000,450500000,120300000,91000000,100100000,42600000
23,Net Income,174700000,82000000,69100000,79000000,74900000,61500000,90100000,47900000,86900000,85400000,94200000,116900000,161400000,175100000,225600000,218300000,193000000,274200000,214400000,185800000,223600000,-265400000,155900000,12400000,112200000,18600000
24,Net Income ratio,0.1276,0.0667,0.0638,0.0757,0.0698,0.0552,0.0816,0.0408,0.0710,0.0668,0.0540,0.0590,0.0747,0.0823,0.0981,0.0844,0.0747,0.1026,0.0823,0.0814,0.1010,-0.1177,0.0753,0.0069,0.0645,0.0116
25,EPS,2.70,1.34,1.19,1.37,1.30,1.06,1.55,0.82,1.49,1.44,1.57,1.92,2.62,2.80,3.60,3.63,3.49,5.28,4.28,3.72,4.43,-5.22,3.12,0.26,2.29,0.38
26,EPS Diluted,2.70,1.32,1.18,1.37,1.29,1.04,1.54,0.82,1.48,1.41,1.54,1.87,2.56,2.75,3.53,3.55,3.42,5.17,4.20,3.69,4.41,-5.22,3.11,0.25,2.14,0.36
27,Weighted Average Shares Outstanding,64703704,61194030,58067227,57664234,57615385,58018868,58129032,58414634,58322148,59305556,60000000,60885417,61603053,62535714,62666667,58100000,55300860,51931818,50093458,49946237,50474041,50842912,49967949,47692308,48995633,48995633
28,Weighted Average Shares Outstanding Diluted,64703704,62121212,58559322,57664234,58062016,59134615,58506494,58414634,58716216,60567376,61168831,62513369,63046875,63672727,63909348,61492958,56400000,53100000,51000000,50400000,50700000,50842912,50200000,49000000,52300000,52300000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1008654/000100865497000006/0001008654-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865498000036/0001008654-98-000036-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865499000029/0001008654-99-000029-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865400000038/0001008654-00-000038-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865401500011/0001008654-01-500011-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865402000060/0001008654-02-000060-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000091664103000817/0000916641-03-000817-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312504038303/0001193125-04-038303-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312505046434/0001193125-05-046434-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312506056314/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000119312507042789/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000119312508038755/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000119312509036814/0001193125-09-036814-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312510037512/0001193125-10-037512-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312511042252/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865412000005/0001008654-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865413000008/0001008654-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865414000004/tup10k122813.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865415000004/tup10k122714.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865416000035/0001008654-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865417000010/0001008654-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865418000006/0001008654-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865419000013/0001008654-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865420000018/0001008654-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865421000022/0001008654-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865422000008/0001008654-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,53000000,22100000,23000000,24400000,32600000,18400000,32600000,45000000,90900000,181500000,102200000,102700000,124800000,112400000,248700000,138200000,119800000,127300000,77000000,79800000,93200000,144100000,149000000,123200000,139100000,267200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13100000,20300000,35000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,53000000,22100000,23000000,24400000,32600000,18400000,32600000,45000000,90900000,181500000,102200000,102700000,124800000,112400000,248700000,138200000,132900000,147600000,112000000,79800000,93200000,144100000,149000000,123200000,139100000,267200000
34,Net Receivables,154800000,97000000,92300000,114400000,112500000,133300000,103200000,130700000,139800000,164800000,167800000,196600000,215800000,222000000,221300000,211200000,199300000,198600000,194900000,166700000,190200000,170800000,167900000,133800000,140600000,118100000
35,Inventory,252800000,184200000,157100000,136700000,144100000,132200000,148200000,160500000,163000000,235100000,232700000,269900000,277300000,265500000,279100000,302500000,313900000,313400000,306000000,254600000,240400000,262200000,257700000,245200000,236300000,232200000
36,Other Current Assets,62600000,99800000,113200000,95000000,83200000,82200000,76100000,75200000,72300000,91300000,83900000,130300000,85900000,96900000,100100000,117500000,120400000,119400000,21600000,49400000,21500000,53400000,46000000,36300000,30100000,30700000
37,Total Current Assets,523200000,403100000,385600000,370500000,372400000,366100000,360100000,411400000,466000000,672700000,586600000,699500000,703800000,696800000,849200000,769400000,766500000,779000000,634500000,550500000,545300000,630500000,620600000,538500000,546100000,648200000
38,PP&E,331000000,293000000,271000000,242900000,233100000,228500000,228900000,221400000,216000000,254500000,256600000,266000000,245400000,254600000,258000000,273100000,298800000,300900000,290300000,253600000,259800000,278200000,276000000,351600000,300400000,235600000
39,Goodwill,- -,- -,- -,2900000,57700000,56200000,56200000,56200000,56200000,- -,312600000,306900000,276100000,275500000,284100000,241400000,192900000,181500000,164700000,146300000,132600000,78900000,76100000,59500000,60400000,42700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,571200000,239700000,232600000,189100000,177200000,180400000,164300000,143400000,128900000,105700000,82700000,67300000,62500000,52900000,24600000,23600000,10600000
41,Intangible Assets,- -,- -,- -,2900000,57700000,56200000,56200000,56200000,56200000,571200000,552300000,539500000,465200000,452700000,464500000,405700000,336300000,310400000,270400000,229000000,199900000,141400000,129000000,84100000,84000000,53300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,168400000,77000000,87800000,67500000,48900000,81900000,339200000,11900000,30300000,14300000,16900000,539700000,41000000,7300000,3300000,178500000,194900000
44,Other Non-Current Assets,124300000,151100000,166800000,179800000,186200000,194900000,185400000,200900000,245000000,73400000,239600000,275900000,333700000,342300000,362200000,56800000,408300000,423300000,560300000,548200000,43100000,296900000,275900000,284900000,110900000,123400000
45,Total Non-Current Assets,455300000,444100000,437800000,425600000,477000000,479600000,470500000,478500000,517200000,1067500000,1125500000,1169200000,1111800000,1098500000,1166600000,1074800000,1055300000,1064900000,1135300000,1047700000,1042500000,757500000,688200000,723900000,673800000,607200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,978500000,847200000,823400000,796100000,849400000,845700000,830600000,889900000,983200000,1740200000,1712100000,1868700000,1815600000,1795300000,2015800000,1844200000,1821800000,1843900000,1769800000,1598200000,1587800000,1388000000,1308800000,1262400000,1219900000,1255400000
48,Accounts Payable,95600000,75400000,85300000,87800000,88600000,96500000,89300000,86000000,91000000,105700000,127100000,137500000,154000000,140700000,153100000,157200000,154800000,149700000,142800000,126700000,117700000,124400000,129200000,125400000,135100000,123300000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,21200000,5600000,2600000,1100000,900000,3500000,3800000,1900000,1900000,195700000,203400000,235400000,221400000,162500000,105900000,133000000,285500000,302400000,451200000,28600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,15300000,45100000,34600000,42100000,41800000,69600000,47300000,47600000,79700000,68300000,48800000,71800000,69900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,44000000,59000000,59000000,- -,57000000,100000000,62000000,71000000,78000000,- -,4000000,4000000,6000000,143000000,- -,33000000,41000000,41000000,16000000,15700000
52,Other Current Liabilities,284200000,224400000,204800000,221400000,187200000,255800000,128500000,123600000,139500000,347900000,196600000,209300000,231700000,246900000,267400000,322500000,332300000,348400000,369300000,181800000,324000000,368400000,303400000,220100000,307400000,388300000
53,Total Current Liabilities,379800000,299800000,290100000,309200000,275800000,352300000,283000000,274200000,292100000,454700000,381600000,450300000,451500000,460500000,500400000,675400000,694500000,737500000,739500000,614000000,547600000,658800000,759100000,688900000,909700000,555900000
54,Long-Term Debt,215300000,236700000,300100000,248500000,358100000,276100000,265100000,263500000,246500000,750500000,680500000,589800000,567400000,426200000,426800000,415200000,414400000,619900000,612100000,608200000,599400000,605100000,603400000,602200000,256700000,757800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78500000,44500000,94900000,96400000,118800000,- -,17600000,- -,- -,- -,3200000,2400000
57,Other Non-Current Liabilities,77900000,96500000,97400000,93100000,91600000,90700000,105000000,124000000,153700000,199500000,249500000,305900000,322700000,270900000,220300000,208300000,138900000,137200000,113600000,215000000,210400000,243500000,181500000,248300000,255000000,146400000
58,Total Non-Current Liabilities,293200000,333200000,397500000,341600000,449700000,366800000,370100000,387500000,400200000,950000000,930000000,895700000,890100000,697100000,725600000,668000000,648200000,853500000,844500000,823200000,827400000,848600000,784900000,850500000,514900000,906600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,17500000,13900000,10600000,8400000,7500000,99800000,85200000,99900000,77000000
61,Total Liabilities,673000000,633000000,687600000,650800000,725500000,719100000,653100000,661700000,692300000,1404700000,1311600000,1346000000,1341600000,1157600000,1226000000,1343400000,1342700000,1591000000,1584000000,1437200000,1375000000,1507400000,1544000000,1539400000,1424600000,1462500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000
64,Retained Earnings,418200000,441400000,457200000,484000000,493700000,501000000,535300000,529000000,560900000,577400000,613900000,657800000,743200000,836100000,969200000,1091700000,1172400000,1289200000,1348200000,1371200000,1455300000,1043100000,1086800000,1067300000,1161600000,1139400000
65,Other Comprehensive Income/Loss,-264800000,-386600000,-383600000,-423400000,-490800000,-514800000,-271000000,-219000000,-199400000,-219200000,-194100000,-148400000,-324600000,-263300000,-246500000,-295500000,-271300000,-316800000,-408700000,-522000000,-571500000,-529400000,-602100000,-638300000,-685900000,-687900000
66,Other Total Stockholders Equity,151500000,158800000,61600000,84100000,120400000,139800000,-87400000,-82400000,-71200000,-23300000,-19900000,12700000,54800000,64300000,66500000,-296000000,-422600000,-720100000,-754300000,-688800000,-671600000,-633700000,-720500000,-706600000,-681000000,-659200000
67,Total Stockholders Equity,305500000,214200000,135800000,145300000,123900000,126600000,177500000,228200000,290900000,335500000,400500000,522700000,474000000,637700000,789800000,500800000,479100000,252900000,185800000,161000000,212800000,-119400000,-235200000,-277000000,-204700000,-207100000
68,Total Liabilities And Stockholders Equity,978500000,847200000,823400000,796100000,849400000,845700000,830600000,889900000,983200000,1740200000,1712100000,1868700000,1815600000,1795300000,2015800000,1844200000,1821800000,1843900000,1769800000,1598200000,1587800000,1388000000,1308800000,1262400000,1219900000,1255400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,978500000,847200000,823400000,796100000,849400000,845700000,830600000,889900000,983200000,1740200000,1712100000,1868700000,1815600000,1795300000,2015800000,1844200000,1821800000,1843900000,1769800000,1598200000,1587800000,1388000000,1308800000,1262400000,1219900000,1255400000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1008654/000100865497000006/0001008654-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865498000036/0001008654-98-000036-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865499000029/0001008654-99-000029-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865400000038/0001008654-00-000038-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865401500011/0001008654-01-500011-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865402000060/0001008654-02-000060-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000091664103000817/0000916641-03-000817-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312504038303/0001193125-04-038303-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312505046434/0001193125-05-046434-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312506056314/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000119312507042789/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000119312508038755/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000119312509036814/0001193125-09-036814-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312510037512/0001193125-10-037512-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000119312511042252/d10k.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865412000005/0001008654-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865413000008/0001008654-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865414000004/tup10k122813.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865415000004/tup10k122714.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865416000035/0001008654-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865417000010/0001008654-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865418000006/0001008654-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865419000013/0001008654-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865420000018/0001008654-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1008654/000100865421000022/0001008654-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1008654/000100865422000008/0001008654-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,174700000,82000000,69100000,79000000,74900000,61500000,90100000,47900000,86900000,85400000,94200000,116900000,161400000,175100000,225600000,218300000,193000000,274200000,214400000,185800000,223600000,-265400000,155900000,12400000,112200000,18600000
74,Depreciation and Amortization,65300000,66100000,64000000,55600000,52100000,49900000,48800000,52600000,50800000,50000000,82700000,72200000,60600000,51700000,49700000,49800000,49600000,54800000,63700000,62400000,57500000,60500000,58200000,55200000,44700000,39700000
75,Deferred Income Tax,-16300000,-33200000,-15100000,-17700000,-13800000,-12300000,7300000,-22400000,- -,-4300000,-10100000,-11700000,-19800000,-16300000,8700000,-8800000,-30300000,-29600000,-59900000,-45200000,-32900000,307700000,59800000,19100000,5800000,-36600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,13200000,- -,- -,20100000,19500000,18900000,20000000,20000000,22600000,14500000,10400000,8900000,8600000
77,Change in Working Capital,-64100000,-7800000,-34200000,35300000,-82800000,63300000,60100000,36700000,44100000,-13000000,44200000,3100000,-16000000,112500000,-254800000,-22000000,-30500000,-146500000,41500000,61200000,-26000000,-110200000,-11900000,-213200000,456600000,-70900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000000,-16800000,-28200000,-10700000,900000,-33700000,-33800000,9300000,-13900000,1500000
79,Inventory,-54000000,44700000,29800000,9100000,-17900000,4500000,-6600000,3500000,-3100000,-6200000,5400000,-36900000,-51300000,4200000,-28900000,-49500000,-23300000,-33200000,-39500000,-8200000,-2800000,-18800000,-25800000,-1600000,-8800000,-51000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,15700000,31300000,11400000,-22200000,44100000,-43800000,-28600000,46700000,-13200000
81,Other Working Capital,103300000,95500000,61300000,96600000,13800000,77100000,137200000,173900000,218000000,205000000,249200000,252300000,236300000,348800000,94000000,72000000,41500000,-105000000,-63500000,-2300000,-28300000,-138500000,-150400000,-363600000,93000000,- -
82,Other Non-Cash Items,-9100000,54700000,34300000,-39200000,55700000,-53600000,-78100000,-9200000,-60400000,49500000,-38200000,-3100000,-63700000,-85300000,270300000,37400000,96800000,151100000,3500000,-58500000,-3600000,201800000,-144500000,203500000,-462100000,152000000
83,Cash Provided by Operating Activities,150500000,161800000,118100000,113000000,86100000,108800000,128200000,105600000,121400000,167600000,172800000,177400000,131000000,250900000,299500000,274700000,298700000,323500000,282100000,225700000,238600000,217000000,132000000,87400000,166100000,111400000
84,CAPEX,-96000000,-67500000,-46200000,-40900000,-46300000,-54800000,-46900000,-40000000,-43600000,-52000000,-52100000,-50300000,-54400000,-46400000,-56100000,-73900000,-75600000,-69000000,-69400000,-61100000,-61600000,-72300000,-75400000,-61000000,-27900000,-35100000
85,Acquisitions Net,- -,- -,- -,- -,-56300000,- -,- -,- -,- -,-464300000,-104900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,61300000,9400000,16600000,4900000,25500000,25300000,-39100000,-37600000,-46100000,-68900000,-64800000,-60100000,-62300000,-43100000,-25700000,-57600000,-34700000,-27000000,31500000,18200000
89,Cash Used for Investing Activites,-96000000,-67500000,-46200000,-40900000,-102600000,-54800000,14400000,-30600000,-27000000,-511400000,-131500000,-25000000,-39100000,-26900000,-46100000,-68900000,-64800000,-60100000,-62300000,-43100000,-25700000,-57600000,-34700000,-27000000,31500000,18200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000,-143700000,-2200000,-407400000,-2300000,-2500000,-3000000,-2600000,-2200000,-2000000,-1900000,-1600000,-552900000,-757300000
91,Common Stock Issued,6300000,3400000,1400000,600000,1000000,3700000,4600000,900000,4100000,30200000,7400000,45300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-57100000,-93100000,- -,-14400000,- -,- -,- -,- -,- -,- -,-41600000,-22700000,-83200000,-62500000,-428600000,-205000000,-379400000,-92300000,-1500000,-1700000,-2500000,-101700000,-900000,-1600000,-25000000
93,Dividends Paid,-298600000,-54200000,-51600000,-50700000,-50800000,-51000000,-51200000,-51400000,-51500000,-52400000,-53300000,-53800000,-54400000,-55000000,-63200000,-73800000,-77600000,-116800000,-133500000,-138000000,-138800000,-139500000,-137800000,-74300000,- -,- -
94,Other Financing Activites,198400000,200000,73200000,-23200000,90600000,-19600000,-85500000,-14200000,-2700000,454300000,-76600000,-105500000,34600000,54100000,24000000,608900000,32400000,261100000,19800000,-15000000,-50600000,27400000,162400000,-8500000,385500000,763100000
95,Cash Used/Provided by Financing Activities,-93900000,-107700000,-70100000,-73300000,26400000,-66900000,-132100000,-64700000,-50100000,432100000,-122500000,-155600000,-66500000,-227800000,-103900000,-300900000,-252500000,-237600000,-209000000,-157100000,-193300000,-116600000,-79000000,-85300000,-169000000,-19200000
96,Effect of Forex Changes on Cash,-4900000,-17500000,-900000,2600000,-1700000,-1300000,3700000,2100000,1600000,2300000,1900000,3700000,-3300000,-8600000,-13200000,-15400000,200000,-18300000,-61100000,-22700000,-6200000,8100000,-13600000,-900000,-4200000,-10600000
97,Net Change In Cash,-44300000,-30900000,900000,1400000,8200000,-14200000,14200000,12400000,45900000,90600000,-79300000,500000,22100000,-12400000,136300000,-110500000,-18400000,7500000,-50300000,2800000,13400000,50900000,4700000,-25800000,24400000,123300000
98,Cash at the End of Period,53000000,22100000,23000000,24400000,32600000,18400000,32600000,45000000,90900000,181500000,102200000,102700000,124800000,112400000,248700000,138200000,119800000,127300000,77000000,79800000,93200000,144100000,151900000,126100000,150500000,273800000
99,Cash at the Beginning of Period,97300000,53000000,22100000,23000000,24400000,32600000,18400000,32600000,45000000,90900000,181500000,102200000,102700000,124800000,112400000,248700000,138200000,119800000,127300000,77000000,79800000,93200000,147200000,151900000,126100000,150500000
100,Free Cash Flow,54500000,94300000,71900000,72100000,39800000,54000000,81300000,65600000,77800000,115600000,120700000,127100000,76600000,204500000,243400000,200800000,223100000,254500000,212700000,164600000,177000000,144700000,56600000,26400000,138200000,76300000
