,https://roic.ai/company/CONN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
23,Net Income,20601000,24340000,30125000,41181000,40311000,39686000,25692000,7722000,-1009000,-3723000,52612000,93449000,58513000,30855000,-25562000,6463000,73849000,56004000,-3137000,108205000
24,Net Income ratio,0.0529,0.0487,0.0610,0.0663,0.0595,0.0543,0.0319,0.0107,-0.0015,-0.0057,0.0608,0.0783,0.0394,0.0191,-0.0160,0.0043,0.0477,0.0363,-0.0023,0.0681
25,EPS,0.99,1.14,1.17,1.59,1.53,1.54,1.04,0.31,-0.04,-0.12,1.60,2.61,1.61,0.88,-0.83,0.21,2.33,1.85,-0.11,3.72
26,EPS Diluted,0.99,1.10,1.15,1.53,1.50,1.52,1.03,0.31,-0.04,-0.12,1.56,2.54,1.59,0.87,-0.83,0.20,2.28,1.82,-0.11,3.72
27,Weighted Average Shares Outstanding,18534205,19644662,25702302,25946114,26224283,25703410,24838983,24886637,24061000,31860000,32862000,35779000,36232000,35084000,30776000,31192439,31668370,30275662,29060512,29060512
28,Weighted Average Shares Outstanding Diluted,18534205,20319580,26325132,26810542,26918041,26235365,25020734,25057306,24061000,31860000,33768000,36861000,36900000,35557000,30776000,31777823,32374375,30814775,29060512,29060512
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1223389/000119312504063765/d10k.htm,https://www.sec.gov/Archives/edgar/data/1223389/000119312505070406/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1223389/000095012907001737/h45059e10vk.htm,https://www.sec.gov/Archives/edgar/data/1223389/000115752308002522/0001157523-08-002522-index.htm,https://www.sec.gov/Archives/edgar/data/1223389/000115752309002363/0001157523-09-002363-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000115752310001732/0001157523-10-001732-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000119312511086985/0001193125-11-086985-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000119312512159313/0001193125-12-159313-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000114036113015715/0001140361-13-015715-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338914000006/conn0131201410-k.htm,https://www.sec.gov/Archives/edgar/data/1223389/000122338915000013/0001223389-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338916000083/0001223389-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338917000017/0001223389-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338918000018/0001223389-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338919000010/0001223389-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338920000018/0001223389-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338921000025/0001223389-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1223389/000122338922000012/0001223389-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12942000,7027000,45176000,56570000,11015000,11798000,12143000,10977000,6265000,3849000,5727000,12223000,12254000,23566000,9286000,5912000,5485000,9703000,7707000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12942000,7027000,45176000,56570000,11015000,11798000,12143000,10977000,6265000,3849000,5727000,12223000,12254000,23566000,9286000,5912000,5485000,9703000,7707000
34,Net Receivables,- -,93940000,131294000,146991000,168296000,214250000,270546000,313742000,377382000,360356000,423809000,578747000,721855000,850109000,773598000,740373000,720254000,746810000,578509000,462532000
35,Inventory,- -,53742000,62346000,73987000,87098000,81495000,95971000,63499000,82354000,62540000,73685000,120530000,159068000,201969000,164856000,211894000,220034000,219756000,196463000,246826000
36,Other Current Assets,- -,7179000,8257000,8674000,5798000,7068000,19287000,20221000,23157000,23397000,26901000,30591000,32569000,98668000,125653000,118464000,68194000,86815000,59388000,103741000
37,Total Current Assets,- -,167803000,208924000,274828000,317762000,313828000,397602000,409605000,493870000,452558000,528244000,735595000,925715000,1163000000,1087673000,1080017000,1014394000,1058866000,844063000,820806000
38,PP&E,- -,54825000,47710000,54826000,59440000,59253000,62551000,59703000,46890000,38484000,46994000,86842000,120218000,151483000,159202000,143152000,148983000,415488000,456760000,449030000
39,Goodwill,- -,- -,9617000,9617000,9617000,9617000,9617000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,7917000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,7917000,9617000,9617000,9617000,9617000,9617000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,3945000,1523000,2464000,2920000,- -,2035000,5499000,8009000,9754000,11579000,7721000,33505000,70219000,71442000,21565000,27535000,18599000,9448000,- -
44,Other Non-Current Assets,- -,270000,229000,260000,208000,154000,44824000,76632000,300260000,282502000,323040000,467828000,567884000,640598000,622817000,656065000,693995000,675816000,444813000,484630000
45,Total Non-Current Assets,- -,66957000,59079000,67167000,72185000,69024000,119027000,141834000,355159000,330740000,381613000,562391000,721607000,862300000,853461000,820782000,870513000,1109903000,911021000,933660000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,234760000,268003000,341995000,389947000,382852000,516629000,551439000,849029000,783298000,909857000,1297986000,1647322000,2025300000,1941134000,1900799000,1884907000,2168769000,1755084000,1754466000
48,Accounts Payable,- -,26412000,26912000,40920000,54045000,28179000,57809000,39944000,57740000,44711000,69608000,82861000,85355000,86797000,101612000,71617000,71118000,48554000,69367000,74705000
49,Short-Term Debt,- -,338000,5529000,136000,110000,102000,5000,155000,167000,726000,32526000,420000,395000,799000,849000,907000,54109000,35995000,44945000,55423000
50,Tax Payable,- -,- -,- -,8794000,3693000,600000,4334000,2678000,2103000,2028000,4618000,2924000,3450000,2823000,3318000,2939000,8902000,2394000,1447000,6745000
51,Deferred Revenue,- -,6225000,7383000,8498000,9516000,16949000,21207000,15516000,20870000,15966000,14915000,17068000,16179000,16332000,21821000,22475000,22006000,12237000,13007000,15569000
52,Other Current Liabilities,- -,17762000,21026000,45778000,33351000,31835000,39510000,39311000,33390000,33271000,34114000,42258000,43080000,42197000,43099000,69112000,90335000,65484000,84437000,112719000
53,Total Current Liabilities,- -,50737000,60850000,95332000,97022000,77065000,118531000,94926000,112167000,94674000,151163000,142607000,145009000,146125000,167381000,164111000,237568000,162270000,211756000,258416000
54,Long-Term Debt,- -,14174000,5003000,- -,88000,17000,62912000,105749000,373569000,320978000,262531000,535631000,774015000,1247190000,1142849000,1086063000,901222000,1025535000,963233000,852588000
55,Deferred Revenue,- -,- -,644000,476000,309000,1221000,1036000,905000,845000,699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,477000,704000,903000,- -,131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7351000
57,Other Non-Current Liabilities,- -,1013000,- -,- -,- -,- -,- -,5532000,4403000,13576000,21713000,30458000,74628000,93704000,113114000,115557000,126142000,353784000,22940000,21292000
58,Total Non-Current Liabilities,- -,15664000,6351000,1379000,397000,1369000,63948000,112186000,378817000,335253000,284244000,566089000,848643000,1340894000,1255963000,1201620000,1027364000,1379319000,986173000,881231000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2488000,2393000,4949000,- -,364471000,399543000,- -
61,Total Liabilities,- -,66401000,67201000,96711000,97419000,78434000,182479000,207112000,490984000,429927000,435407000,708696000,993652000,1487019000,1423344000,1365731000,1264932000,1541589000,1197929000,1139647000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,231000,233000,236000,238000,241000,242000,242000,335000,321000,352000,361000,364000,306000,310000,314000,318000,321000,327000,330000
64,Retained Earnings,- -,78671000,108796000,149977000,196417000,241734000,267426000,275148000,263262000,217337000,269949000,363398000,421911000,452766000,427204000,433667000,508472000,570636000,491010000,599215000
65,Other Comprehensive Income/Loss,- -,5032000,7516000,8004000,6305000,- -,-64819000,-218000,-71000,-293000,-223000,-100000,- -,-117066000,-139742000,-169857000,-201203000,-227764000,- -,- -
66,Other Total Stockholders Equity,- -,82656000,84257000,87067000,89568000,62443000,131301000,69155000,94519000,136006000,204372000,225631000,231395000,202275000,230018000,270944000,312388000,283987000,65818000,15274000
67,Total Stockholders Equity,- -,166590000,200802000,245284000,292528000,304418000,334150000,344327000,358045000,353371000,474450000,589290000,653670000,538281000,517790000,535068000,619975000,627180000,557155000,614819000
68,Total Liabilities And Stockholders Equity,- -,232991000,268003000,341995000,389947000,382852000,516629000,551439000,849029000,783298000,909857000,1297986000,1647322000,2025300000,1941134000,1900799000,1884907000,2168769000,1755084000,1754466000
69,Minority Interest,- -,1769000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,234760000,268003000,341995000,389947000,382852000,516629000,551439000,849029000,783298000,909857000,1297986000,1647322000,2025300000,1941134000,1900799000,1884907000,2168769000,1755084000,1754466000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1223389/000119312504063765/d10k.htm,https://www.sec.gov/Archives/edgar/data/1223389/000119312505070406/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1223389/000095012907001737/h45059e10vk.htm,https://www.sec.gov/Archives/edgar/data/1223389/000115752308002522/0001157523-08-002522-index.htm,https://www.sec.gov/Archives/edgar/data/1223389/000115752309002363/0001157523-09-002363-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000115752310001732/0001157523-10-001732-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000119312511086985/0001193125-11-086985-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000119312512159313/0001193125-12-159313-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000114036113015715/0001140361-13-015715-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338914000006/conn0131201410-k.htm,https://www.sec.gov/Archives/edgar/data/1223389/000122338915000013/0001223389-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338916000083/0001223389-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338917000017/0001223389-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338918000018/0001223389-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338919000010/0001223389-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338920000018/0001223389-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338921000025/0001223389-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1223389/000122338922000012/0001223389-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,20601000,24340000,30125000,41181000,40311000,39686000,25692000,7722000,-1009000,-3723000,52612000,93449000,58513000,30855000,-25562000,6463000,73849000,56004000,-3137000,108205000
74,Depreciation and Amortization,5785000,7246000,8795000,10953000,12059000,11683000,12562000,14859000,17449000,11623000,13891000,16817000,21604000,22706000,28846000,30806000,31584000,36841000,41068000,- -
75,Deferred Income Tax,- -,-130000,- -,- -,- -,- -,- -,- -,- -,- -,-16000,-1187000,-25540000,-16674000,-1223000,49878000,-6224000,7488000,31323000,- -
76,Stock Based Compensation,- -,- -,- -,- -,1723000,2661000,3188000,2445000,2179000,2354000,2945000,3949000,4097000,4611000,5001000,8680000,12217000,12550000,9330000,- -
77,Change in Working Capital,-14595000,115609000,31008000,31422000,41244000,16023000,42308000,35608000,67024000,-23819000,19197000,215907000,187718000,236169000,-96583000,-4386000,-139080000,119770000,-264289000,-69917000
78,Accounts Receivable,-7321000,- -,-28746000,-4889000,4631000,-32549000,-99521000,-108816000,15464000,-35506000,-157335000,-403921000,-436018000,-432382000,-224363000,-230201000,-300745000,-266997000,63871000,12800
79,Inventory,-10838000,-7624000,-8604000,-11641000,-13111000,5603000,-14476000,32472000,-18855000,19814000,-11145000,-46846000,-38537000,-42901000,37113000,-47038000,-8140000,278000,23293000,- -
80,Accounts Payable,2293000,- -,500000,13812000,13125000,-22849000,29630000,-17865000,17796000,-13029000,24897000,13252000,-3374000,4074000,18434000,-31220000,-499000,-23041000,17507000,- -
81,Other Working Capital,1457000,117066000,148074000,179496000,220740000,236763000,279071000,314679000,381703000,357884000,377081000,592988000,780706000,1016875000,920292000,915906000,776826000,896596000,632307000,562390000
82,Other Non-Cash Items,-12942000,-133648000,-69758000,-19238000,-66673000,-75687000,-126450000,-92502000,-22585000,78082000,-111432000,-539197000,-436293000,-451789000,294651000,-40080000,179455000,-152587000,647820000,-38288000
83,Cash Provided by Operating Activities,-1151000,13417000,170000,64318000,28664000,-5634000,-42700000,-31868000,63058000,64517000,-22803000,-210262000,-189901000,-174122000,205130000,51361000,151801000,80066000,462115000,- -
84,CAPEX,-15070000,-9401000,-19619000,-18490000,-18425000,-18955000,-17597000,-10255000,-3028000,-4386000,-32353000,-52127000,-61696000,-63405000,-46556000,-16918000,-32814000,-57546000,-55927000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,14000,1291000,1131000,34000,2278000,8921000,224000,152000,6709000,- -,22882000,44000,19283000,5647000,10806000,- -,- -,724000,- -,- -
89,Cash Used for Investing Activites,-15056000,-8110000,-18488000,-18456000,-16147000,-10034000,-17373000,-10103000,3681000,-4386000,-9471000,-52083000,-42413000,-57758000,-35750000,-16918000,-32814000,-56822000,-55927000,- -
90,Debt Repayment,-4253000,- -,-60000,-10532000,-25353000,-40579000,-134358000,-210104000,-737197000,-290875000,-367911000,-211551000,-494150000,-1228875000,-1909246000,-2899154000,-2508025000,-2424146000,-1931606000,- -
91,Common Stock Issued,10000000,58754000,1603000,2813000,2617000,3188000,802000,228000,23545000,2065000,55995000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-200000,-1454000,- -,- -,-3797000,-33274000,- -,- -,- -,- -,- -,- -,- -,-151781000,- -,- -,- -,-66290000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11537000,-52113000,10382000,6000,25410000,40778000,194412000,252192000,645643000,223967000,341774000,475774000,732960000,1612567000,1751178000,2850431000,2357817000,2483110000,1504823000,- -
95,Cash Used/Provided by Financing Activities,17084000,5187000,11925000,-7713000,-1123000,-29887000,60856000,42316000,-68009000,-64843000,29858000,264223000,238810000,231911000,-158068000,-48723000,-150208000,-7326000,-426783000,- -
96,Effect of Forex Changes on Cash,- -,- -,478000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,877000,10494000,-5915000,38149000,11394000,-45555000,783000,345000,-1270000,-4712000,-2416000,1878000,6496000,31000,11312000,-14280000,-31221000,15918000,-20595000,- -
98,Cash at the End of Period,2448000,12942000,7027000,45176000,56570000,11015000,11798000,12143000,10977000,6265000,3849000,5727000,12223000,12254000,23566000,9286000,64937000,80855000,60260000,- -
99,Cash at the Beginning of Period,1571000,2448000,12942000,7027000,45176000,56570000,11015000,11798000,12247000,10977000,6265000,3849000,5727000,12223000,12254000,23566000,96158000,64937000,80855000,60260000
100,Free Cash Flow,-16221000,4016000,-19449000,45828000,10239000,-24589000,-60297000,-42123000,60030000,60131000,-55156000,-262389000,-251597000,-237527000,158574000,34443000,118987000,22520000,406188000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1223389/000119312504063765/d10k.htm,https://www.sec.gov/Archives/edgar/data/1223389/000119312505070406/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1223389/000095012907001737/h45059e10vk.htm,https://www.sec.gov/Archives/edgar/data/1223389/000115752308002522/0001157523-08-002522-index.htm,https://www.sec.gov/Archives/edgar/data/1223389/000115752309002363/0001157523-09-002363-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000115752310001732/0001157523-10-001732-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000119312511086985/0001193125-11-086985-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000119312512159313/0001193125-12-159313-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000114036113015715/0001140361-13-015715-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338914000006/conn0131201410-k.htm,https://www.sec.gov/Archives/edgar/data/1223389/000122338915000013/0001223389-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338916000083/0001223389-16-000083-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338917000017/0001223389-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338918000018/0001223389-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338919000010/0001223389-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338920000018/0001223389-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1223389/000122338921000025/0001223389-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1223389/000122338922000012/0001223389-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
