,https://roic.ai/company/CLX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1858,0.1936,0.1979,0.1865,0.1979,0.1051,0.1639,0.2190,0.2356,0.2227,0.2195,0.2142,0.2224,0.1579,0.2016,0.1819,0.1694,0.2346,0.2405,0.3418,0.1813,0.1939,0.1703,0.2132,0.2257,0.2158,0.1997,0.2054,0.2039,0.2058,0.2145,0.2146,0.2131,0.2094,0.2178,0.1636
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1200000,12800000,4600000,23000000,27100000,-26600000,-45200000,-21100000,-19200000,-21200000,-44600000,-50400000,-66100000,-248000000,-158000000,-123000000,-254000000,-53000000,-32000000,-88000000,-126000000,-124000000,-195000000,-207000000,-168000000,-358000000,-112000000,-116000000,-98000000,-80000000,-73000000,-84000000,-71000000,-83000000,-76000000,-325000000
20,Income Before Tax,175300000,186600000,211800000,229700000,243600000,86100000,210900000,275200000,306600000,337900000,370400000,416000000,472000000,430000000,622000000,487000000,498000000,802000000,840000000,729000000,653000000,743000000,693000000,811000000,925000000,563000000,791000000,853000000,861000000,921000000,983000000,1033000000,1054000000,1024000000,1185000000,900000000
21,Income Before Tax Ratio,0.1610,0.1657,0.1681,0.1694,0.1642,0.0523,0.1228,0.1684,0.1669,0.1703,0.1670,0.1643,0.1722,0.1074,0.1523,0.1248,0.1226,0.1935,0.1943,0.1661,0.1406,0.1533,0.1314,0.1488,0.1671,0.1076,0.1447,0.1517,0.1540,0.1629,0.1706,0.1729,0.1721,0.1648,0.1763,0.1226
22,Income Tax expense (Gain),79700000,81700000,79200000,84100000,90000000,33400000,93100000,107300000,126600000,137100000,148300000,166600000,174000000,184000000,228000000,162000000,176000000,288000000,294000000,214000000,210000000,247000000,232000000,274000000,322000000,276000000,248000000,279000000,299000000,315000000,335000000,330000000,231000000,204000000,246000000,181000000
23,Net Income,95600000,104900000,132600000,124200000,153600000,52700000,98700000,167000000,212100000,200800000,222100000,249400000,298000000,246000000,394000000,323000000,322000000,493000000,549000000,1096000000,444000000,501000000,461000000,537000000,603000000,557000000,541000000,572000000,558000000,580000000,648000000,701000000,823000000,820000000,939000000,710000000
24,Net Income ratio,0.0878,0.0932,0.1052,0.0916,0.1035,0.0320,0.0575,0.1022,0.1155,0.1012,0.1001,0.0985,0.1087,0.0615,0.0965,0.0828,0.0793,0.1190,0.1270,0.2498,0.0956,0.1034,0.0874,0.0985,0.1090,0.1065,0.0989,0.1017,0.0998,0.1026,0.1125,0.1174,0.1344,0.1320,0.1397,0.0967
25,EPS,0.06,0.12,0.15,0.14,0.17,0.06,0.12,0.19,0.98,0.94,1.07,0.60,1.44,0.53,1.67,1.37,1.39,2.26,2.59,6.20,2.95,3.31,3.30,3.86,4.28,4.06,4.14,4.37,4.31,4.45,5.01,5.43,6.37,6.42,7.46,5.66
26,EPS Diluted,0.06,0.12,0.15,0.14,0.17,0.06,0.12,0.19,0.98,0.94,1.07,0.60,1.41,0.52,1.64,1.35,1.37,2.23,2.56,6.11,2.90,3.26,3.24,3.81,4.24,4.02,4.09,4.30,4.23,4.37,4.92,5.33,6.26,6.32,7.36,5.58
27,Weighted Average Shares Outstanding,213368000,214212000,216176000,221592000,216128000,216784000,218180000,219400000,215200000,212588000,207740000,413168000,207014000,470728000,236108000,236149000,231849000,218174000,211683000,176586000,150545000,151445000,139633000,139015000,140272000,136699000,132569000,131075000,129558000,130310000,129472000,128953000,129293000,127734000,125828000,125570000
28,Weighted Average Shares Outstanding Diluted,213368000,214212000,216176000,221592000,216128000,216784000,218180000,219400000,215200000,852080000,833120000,842720000,211270000,480004000,239614000,239483000,234704000,220692000,214371000,179176000,153001000,153935000,142004000,141063000,141534000,138101000,132569000,132969000,131742000,132776000,131717000,131566000,131581000,129792000,127671000,127299000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21076/000002107694000006/0000021076-94-000006-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107695000005/0000021076-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107696000004/0000021076-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107697000008/0000021076-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107698000006/0000021076-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107699000008/0000021076-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107600000003/0000021076-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/21076/000095014901501457/0000950149-01-501457-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107602000019/0000021076-02-000019-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107603000124/text.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107604000063/f10ktext.htm,https://www.sec.gov/Archives/edgar/data/21076/000110465905042311/a05-15203_110k.htm,https://www.sec.gov/Archives/edgar/data/21076/000095013406016835/f23136e10vk.htm,https://www.sec.gov/Archives/edgar/data/21076/000089161807000521/0000891618-07-000521-index.html,https://www.sec.gov/Archives/edgar/data/21076/000119312508180293/0001193125-08-180293-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677409001622/0001206774-09-001622-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/0001206774-10-001891-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/0001206774-11-001954-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677412003688/0001206774-12-003688-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/0001206774-13-003034-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/0001206774-14-002682-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/0001206774-15-002800-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677416006893/clorox3118951_1-10k.htm,https://www.sec.gov/Archives/edgar/data/21076/000162828017008700/0001628280-17-008700-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107618000011/0000021076-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107619000012/fy19clx10k.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107620000016/0000021076-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107621000016/0000021076-21-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,205300000,245500000,259300000,233300000,124600000,113900000,69000000,71200000,115900000,137300000,90800000,101000000,89700000,132000000,245000000,251000000,177000000,172000000,232000000,293000000,192000000,182000000,214000000,206000000,87000000,259000000,267000000,299000000,329000000,382000000,401000000,418000000,131000000,111000000,871000000,319000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,205300000,245500000,259300000,233300000,124600000,113900000,69000000,71200000,115900000,137300000,90800000,101000000,89700000,132000000,245000000,251000000,177000000,172000000,232000000,293000000,192000000,182000000,214000000,206000000,87000000,259000000,267000000,299000000,329000000,382000000,401000000,418000000,131000000,111000000,871000000,319000000
34,Net Receivables,113900000,121700000,139300000,143400000,151500000,219500000,204600000,226700000,249800000,311900000,315100000,357000000,428500000,610000000,633000000,514000000,483000000,463000000,460000000,411000000,435000000,460000000,505000000,486000000,544000000,525000000,576000000,580000000,546000000,519000000,569000000,565000000,600000000,631000000,648000000,604000000
35,Inventory,89500000,77100000,97400000,110600000,128100000,116300000,110500000,105900000,105900000,121100000,138800000,170300000,211900000,319000000,376000000,281000000,258000000,264000000,301000000,323000000,292000000,309000000,384000000,366000000,367000000,382000000,384000000,394000000,386000000,385000000,443000000,459000000,506000000,512000000,454000000,752000000
36,Other Current Assets,8500000,7300000,8300000,127500000,14200000,17100000,34200000,128000000,32700000,30000000,29100000,45200000,68600000,55000000,200000000,57000000,84000000,52000000,50000000,63000000,88000000,81000000,146000000,122000000,126000000,113000000,149000000,147000000,134000000,143000000,72000000,72000000,74000000,51000000,47000000,154000000
37,Total Current Assets,417200000,451600000,504300000,614800000,418400000,466800000,418300000,531800000,504300000,600300000,573800000,673500000,798700000,1116000000,1454000000,1103000000,1002000000,951000000,1043000000,1090000000,1007000000,1032000000,1249000000,1180000000,1124000000,1279000000,1376000000,1420000000,1395000000,1429000000,1485000000,1514000000,1311000000,1305000000,2020000000,1829000000
38,PP&E,227100000,244100000,375900000,410900000,517500000,521800000,581500000,538100000,532600000,525000000,551400000,570600000,596300000,1054000000,1079000000,1046000000,922000000,1072000000,1052000000,999000000,1004000000,976000000,960000000,955000000,979000000,1039000000,1081000000,1021000000,977000000,918000000,906000000,931000000,996000000,1034000000,1394000000,1634000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000000,855000000,1658000000,1630000000,1650000000,1070000000,1112000000,1105000000,1101000000,1067000000,1197000000,1196000000,1602000000,1591000000,1577000000,1575000000
40,Intangible Assets,161800000,165000000,199500000,99700000,101800000,494000000,479400000,463900000,520000000,592800000,704700000,1187000000,1240500000,1497000000,1536000000,1574000000,1301000000,1381000000,1375000000,1342000000,604000000,613000000,683000000,662000000,658000000,633000000,642000000,627000000,611000000,585000000,735000000,722000000,929000000,912000000,894000000,918000000
41,Intangible Assets,161800000,165000000,199500000,99700000,101800000,494000000,479400000,463900000,520000000,592800000,704700000,1187000000,1240500000,1497000000,1536000000,1574000000,1301000000,1381000000,1375000000,1342000000,1348000000,1468000000,2341000000,2292000000,2308000000,1703000000,1754000000,1732000000,1712000000,1652000000,1932000000,1918000000,2531000000,2503000000,2471000000,2493000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,43100000,72600000,76300000,87700000,100000000,120100000,135600000,115400000,140700000,188600000,349000000,346900000,394500000,465000000,284000000,272000000,405000000,248000000,364000000,186000000,257000000,176000000,158000000,149000000,144000000,142000000,144000000,138000000,174000000,165000000,195000000,210000000,222000000,274000000,328000000,378000000
45,Total Non-Current Assets,432000000,481700000,651700000,598300000,719300000,1135900000,1196500000,1117400000,1193300000,1306400000,1605100000,2104500000,2231300000,3016000000,2899000000,2892000000,2628000000,2701000000,2791000000,2527000000,2609000000,2634000000,3459000000,3396000000,3431000000,2884000000,2979000000,2891000000,2863000000,2735000000,3033000000,3059000000,3749000000,3811000000,4193000000,4505000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,849200000,933300000,1156000000,1213100000,1137700000,1602700000,1614800000,1649200000,1697600000,1906700000,2178900000,2778000000,3030000000,4132000000,4353000000,3995000000,3630000000,3652000000,3834000000,3617000000,3616000000,3666000000,4708000000,4576000000,4555000000,4163000000,4355000000,4311000000,4258000000,4164000000,4518000000,4573000000,5060000000,5116000000,6213000000,6334000000
48,Accounts Payable,- -,- -,- -,85800000,79300000,104200000,104200000,84200000,97700000,122800000,155400000,143400000,154300000,206000000,319000000,314000000,329000000,312000000,310000000,347000000,329000000,329000000,418000000,381000000,410000000,423000000,412000000,413000000,440000000,431000000,490000000,501000000,507000000,507000000,575000000,930000000
49,Short-Term Debt,18400000,13900000,1800000,94200000,800000,10700000,77800000,500000,400000,115700000,193000000,373500000,770100000,741000000,773000000,202000000,2000000,574000000,291000000,361000000,308000000,574000000,755000000,998000000,671000000,459000000,1150000000,202000000,718000000,395000000,523000000,804000000,199000000,396000000,64000000,381000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,74000000,41000000,5000000,29000000,8000000,31000000,- -,- -,- -,9000000,25000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,158700000,180500000,312600000,150700000,145500000,233500000,239500000,286900000,277700000,240800000,275500000,375800000,300600000,421000000,449000000,553000000,894000000,565000000,667000000,640000000,493000000,524000000,488000000,558000000,566000000,483000000,499000000,519000000,480000000,579000000,545000000,504000000,494000000,537000000,779000000,745000000
53,Total Current Liabilities,177100000,194400000,314400000,330700000,225600000,348400000,421500000,371600000,375800000,479300000,623900000,892700000,1225000000,1368000000,1541000000,1069000000,1225000000,1451000000,1268000000,1348000000,1130000000,1427000000,1661000000,1937000000,1647000000,1365000000,2061000000,1134000000,1638000000,1405000000,1558000000,1809000000,1200000000,1440000000,1418000000,2056000000
54,Long-Term Debt,38200000,26600000,29200000,7100000,7500000,406800000,262300000,204000000,216100000,253100000,356300000,565900000,316300000,702000000,590000000,685000000,678000000,495000000,475000000,2122000000,1966000000,1462000000,2720000000,2151000000,2124000000,2125000000,1571000000,2170000000,1595000000,1796000000,1797000000,1391000000,2284000000,2287000000,3058000000,2785000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,84200000,95800000,99500000,89100000,94200000,63200000,117300000,143700000,133000000,145200000,148400000,170700000,200400000,237000000,224000000,147000000,142000000,115000000,174000000,82000000,129000000,90000000,97000000,23000000,24000000,140000000,119000000,119000000,103000000,95000000,82000000,61000000,72000000,50000000,62000000,67000000
57,Other Non-Current Liabilities,-100000,100000,- -,- -,-100000,- -,- -,50600000,63300000,85200000,117500000,112700000,203100000,255000000,204000000,194000000,231000000,376000000,377000000,618000000,547000000,516000000,600000000,640000000,677000000,619000000,739000000,742000000,768000000,750000000,784000000,770000000,778000000,780000000,767000000,834000000
58,Total Non-Current Liabilities,122300000,122500000,128700000,96200000,101600000,470000000,379600000,398300000,412400000,483500000,622200000,849300000,719800000,1194000000,1018000000,1026000000,1051000000,986000000,1026000000,2822000000,2642000000,2068000000,3417000000,2814000000,2825000000,2884000000,2429000000,3031000000,2466000000,2641000000,2663000000,2222000000,3134000000,3117000000,3887000000,3686000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342000000,382000000
61,Total Liabilities,299400000,316900000,443100000,426900000,327200000,818400000,801100000,769900000,788200000,962800000,1246100000,1742000000,1944800000,2562000000,2559000000,2095000000,2276000000,2437000000,2294000000,4170000000,3772000000,3495000000,5078000000,4751000000,4472000000,4249000000,4490000000,4165000000,4104000000,4046000000,4221000000,4031000000,4334000000,4557000000,5305000000,5742000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,159000000,131000000
64,Retained Earnings,424500000,487200000,570200000,634300000,713100000,681500000,690000000,762200000,876800000,971400000,1078800000,1207500000,1382900000,1842000000,2068000000,2142000000,2270000000,2565000000,2846000000,3684000000,3939000000,185000000,386000000,640000000,920000000,1143000000,1350000000,1561000000,1739000000,1923000000,2163000000,2440000000,2797000000,3150000000,3567000000,1036000000
65,Other Comprehensive Income/Loss,-114200000,-128800000,-147300000,-161200000,-194900000,-238800000,-283900000,-276200000,-93600000,-364900000,-409800000,-474800000,-612400000,-787000000,-878000000,-925000000,-948000000,-348000000,-287000000,-352000000,-215000000,-209000000,-179000000,-347000000,-371000000,-250000000,-396000000,-367000000,-417000000,-502000000,-570000000,-543000000,-547000000,-602000000,-640000000,-546000000
66,Other Total Stockholders Equity,239500000,258000000,290000000,313100000,292300000,341600000,407600000,393300000,126200000,337400000,263800000,303300000,314700000,265000000,354000000,433000000,- -,-1252000000,-1269000000,-4135000000,-4130000000,36000000,-736000000,-627000000,-625000000,-1138000000,-1248000000,-1207000000,-1327000000,-1462000000,-1455000000,-1514000000,-1683000000,-2148000000,-2178000000,-210000000
67,Total Stockholders Equity,549800000,616400000,712900000,786200000,810500000,784300000,813700000,879300000,909400000,943900000,932800000,1036000000,1085200000,1570000000,1794000000,1900000000,1354000000,1215000000,1540000000,-553000000,-156000000,171000000,-370000000,-175000000,83000000,-86000000,-135000000,146000000,154000000,118000000,297000000,542000000,726000000,559000000,908000000,411000000
68,Total Liabilities And Stockholders Equity,849200000,933300000,1156000000,1213100000,1137700000,1602700000,1614800000,1649200000,1697600000,1906700000,2178900000,2778000000,3030000000,4132000000,4353000000,3995000000,3630000000,3652000000,3834000000,3617000000,3616000000,3666000000,4708000000,4576000000,4555000000,4163000000,4355000000,4311000000,4258000000,4164000000,4518000000,4573000000,5060000000,5116000000,6213000000,6153000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000000
70,Total Liabilities & Equity,849200000,933300000,1156000000,1213100000,1137700000,1602700000,1614800000,1649200000,1697600000,1906700000,2178900000,2778000000,3030000000,4132000000,4353000000,3995000000,3630000000,3652000000,3834000000,3617000000,3616000000,3666000000,4708000000,4576000000,4555000000,4163000000,4355000000,4311000000,4258000000,4164000000,4518000000,4573000000,5060000000,5116000000,6213000000,6334000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21076/000002107694000006/0000021076-94-000006-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107695000005/0000021076-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107696000004/0000021076-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107697000008/0000021076-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107698000006/0000021076-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107699000008/0000021076-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107600000003/0000021076-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/21076/000095014901501457/0000950149-01-501457-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107602000019/0000021076-02-000019-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107603000124/text.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107604000063/f10ktext.htm,https://www.sec.gov/Archives/edgar/data/21076/000110465905042311/a05-15203_110k.htm,https://www.sec.gov/Archives/edgar/data/21076/000095013406016835/f23136e10vk.htm,https://www.sec.gov/Archives/edgar/data/21076/000089161807000521/0000891618-07-000521-index.html,https://www.sec.gov/Archives/edgar/data/21076/000119312508180293/0001193125-08-180293-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677409001622/0001206774-09-001622-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/0001206774-10-001891-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/0001206774-11-001954-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677412003688/0001206774-12-003688-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/0001206774-13-003034-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/0001206774-14-002682-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/0001206774-15-002800-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677416006893/clorox3118951_1-10k.htm,https://www.sec.gov/Archives/edgar/data/21076/000162828017008700/0001628280-17-008700-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107618000011/0000021076-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107619000012/fy19clx10k.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107620000016/0000021076-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107621000016/0000021076-21-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,124200000,153600000,52700000,98700000,167000000,212100000,200800000,222100000,249400000,298000000,246000000,394000000,323000000,322000000,493000000,549000000,1096000000,444000000,501000000,461000000,537000000,603000000,557000000,541000000,572000000,558000000,580000000,648000000,701000000,823000000,820000000,939000000,710000000
74,Depreciation and Amortization,- -,- -,- -,44700000,50100000,87000000,89600000,83600000,94100000,103900000,116500000,126400000,137600000,202000000,201000000,225000000,190000000,191000000,197000000,190000000,188000000,192000000,205000000,190000000,185000000,173000000,178000000,182000000,180000000,169000000,165000000,163000000,166000000,180000000,180000000,211000000
