,https://roic.ai/company/HRL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,708200000,659300000,723300000,671400000,717400000,800100000,711100000,883300000,962200000,824000000,1029400000,1041100000,1141700000,1231700000,1438200000,1574700000,1858166000,1998200000,2320700000,2047400000,2132800000,2063032000,2029912000,2026523000,2050100000,2361413000,3579063000,2947816000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,270900000,333100000,421500000,488700000,486900000,505600000,541500000,679900000,652700000,701300000,704200000,877700000,910800000,966600000,977700000,952700000,922103000,907100000,924500000,955300000,1001800000,1011739000,1105449000,1203251000,1512600000,1629111000,1898222000,2109118000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,79300000,81700000,124200000,131700000,- -,98500000,92600000,279200000,310100000,414300000,417700000,502100000,550700000,595800000,619300000,620200000,629023000,630900000,630900000,934500000,1226400000,1699484000,1834497000,2119813000,2714116000,2481645000,2612727000,4929102000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105200000,- -,- -,99500000,56200000,95700000,95200000,139600000,148000000,162200000,151200000,140900000,141522000,132000000,123100000,378100000,554900000,827219000,903258000,1027014000,1207219000,1033862000,1076285000,1822272000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,79300000,81700000,124200000,131700000,105200000,98500000,92600000,378700000,366300000,510000000,512900000,641700000,698700000,758000000,770500000,761100000,770545000,762900000,754000000,1312600000,1781300000,2526703000,2737755000,3146827000,3921335000,3515507000,3689012000,6751374000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,67500000,83700000,43700000,113400000,- -,142900000,151400000,129800000,127200000,138400000,55200000,68000000,76700000,102060000,93617000,86599000,214389000,295698000,286537000,270609000,264451000,258998000,239590000,242369000,273153000,289157000,308372000,299019000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,11000000,4300000,- -,- -,- -,- -,- -,72426000,- -,- -,- -,24000000,64096000,- -,98410000,197093000,176574000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,70800000,66100000,123400000,123300000,246400000,138500000,145300000,90500000,111800000,208400000,228000000,193900000,232400000,335340000,336483000,317001000,216289000,280502000,278263000,329991000,251249000,215263000,257361000,258528000,188011000,137242000,-291034000,589003000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,488500000,564600000,712800000,857100000,838500000,885500000,930800000,1279400000,1258000000,1569100000,1504600000,1781300000,1918600000,2162000000,2178300000,2117400000,2195752000,2246200000,2243300000,2868500000,3322800000,4076799000,4340155000,4949385000,6092192000,5747591000,5604572000,9748514000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196700000,1223900000,1436100000,1528500000,1555900000,1685600000,1641900000,2162700000,2220200000,2393100000,2534000000,2822400000,3060300000,3393700000,3616500000,3692100000,4053918000,4244400000,4564000000,4915900000,5455600000,6139831000,6370067000,6975908000,8142292000,8109004000,9183635000,12696329000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,112900000,97500000,121000000,120400000,119800000,162600000,154900000,171200000,174100000,195800000,203600000,255100000,271400000,290900000,378500000,313300000,361287000,390200000,385900000,387300000,484000000,495317000,481826000,552714000,618830000,587228000,644609000,793310000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,- -,- -,- -,13820000,14295000,15760000,11075000,366000,70049000,100000000,- -,350000000,- -,- -,- -,- -,185000000,1053196000,- -,- -,- -,258691000,8756000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11381000,12302000,15127000,9339000,8137000,4864000,8637000,5507000,6764000,4331000,525000,2490000,6208000,22480000,23520000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9021000,7341000,7431000,14732000,29254000,53868000,48535000,52583000,45948000,66435000,- -,69203000,68560000,73543000,86853000,86902000,6223000,98410000,197093000,176574000,218779000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,120300000,145400000,140200000,141800000,222800000,178679000,241659000,214749000,217173000,215786000,263157000,264699000,251268000,256752000,305265000,389926000,318797000,331840000,323157000,383847000,446806000,-488049000,407088000,322991000,341247000,381886000,613588000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,264900000,217800000,266400000,260600000,267700000,385400000,342600000,420200000,410100000,442000000,464400000,583200000,585000000,664800000,781200000,685000000,1101213000,778200000,786300000,784000000,954700000,1214025000,1053196000,1058212000,1138914000,1105049000,1503965000,1415654000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,17000000,127000000,198200000,204900000,184700000,145900000,462400000,409600000,395300000,361500000,350400000,350100000,350000000,350000000,350000000,- -,250000000,250000000,250000000,250000000,250000000,250000000,250000000,624840000,250000000,258691000,3315147000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69203000,144245000,25086000,24002000,64096000,6223000,98410000,197093000,176574000,- -,278183000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,260400000,257000000,257200000,267500000,270000000,274300000,279600000,284200000,285200000,303100000,308800000,314200000,322300000,494100000,477700000,533600000,546066000,490397000,563955000,545714000,621198000,613512000,612642000,633379000,580634000,655923000,157399000,708984000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,270700000,274000000,384200000,465700000,474900000,459000000,425500000,746600000,694800000,698400000,670300000,664600000,672400000,844100000,827700000,883600000,546066000,809600000,958200000,820800000,895200000,927608000,868865000,981789000,1402567000,1082497000,416090000,4302314000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8820407000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,535600000,491800000,650600000,726300000,742600000,844400000,768100000,1166800000,1104900000,1140400000,1134700000,1247800000,1257400000,1508900000,1608900000,1568600000,1647279000,1587800000,1744500000,1604800000,1849900000,2141633000,1922061000,2040001000,2541481000,2187546000,9908282000,5717968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,9000000,9100000,8900000,- -,8400000,8100000,8100000,8100000,8100000,8100000,8100000,8100000,8000000,7900000,7800000,7793000,7700000,7700000,7700000,7700000,7741000,7742000,7741000,7825000,7830000,7909000,7946000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,640000000,710300000,744800000,793300000,810300000,839100000,886700000,1010500000,1140100000,1265700000,1414700000,1588200000,1821200000,1978600000,2112900000,2318400000,2568774000,2824300000,3135300000,3452500000,3805700000,4216125000,4736567000,5162571000,5729956000,6128207000,6523335000,6881870000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-366300000,-388800000,-407100000,-431200000,-451700000,-12600000,-41800000,-51800000,-32959000,-25144000,-23534000,-24923000,-17996000,-101811000,-113184000,-202766000,-175910000,-175483000,-323569000,-149214000,-207700000,-225668000,-296303000,-248075000,-243498000,-399500000,-395250000,-277269000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,378400000,401500000,438800000,431200000,454700000,6200000,20900000,29100000,14000,4079000,-18000,3199000,-8392000,-6000,-44000,18000,- -,65000,24000,54000,-22000,- -,- -,13670000,106528000,184921000,289554000,360336000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,661100000,732000000,785600000,802200000,813300000,841100000,873900000,995900000,1115255000,1252735000,1399248000,1574576000,1802912000,1884783000,2007572000,2123452000,2400657000,2656582000,2819455000,3311040000,3605678000,3998198000,4448006000,4935907000,5600811000,5921458000,6425548000,6972883000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196700000,1223800000,1436200000,1528500000,1555900000,1685500000,1642000000,2162700000,2220155000,2393135000,2533948000,2822376000,3060312000,3393683000,3616472000,3692052000,4047936000,4244382000,4563955000,4915840000,5455578000,6139831000,6370067000,6975908000,8142292000,8109004000,16333830000,12690851000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-100000,- -,- -,100000,-100000,- -,45000,-35000,52000,24000,-12000,17000,28000,48000,5982000,18000,45000,60000,22000,- -,- -,- -,- -,- -,-7150195000,5478000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196700000,1223900000,1436100000,1528500000,1555900000,1685600000,1641900000,2162700000,2220200000,2393100000,2534000000,2822400000,3060300000,3393700000,3616500000,3692100000,4053918000,4244400000,4564000000,4915900000,5455600000,6139831000,6370067000,6975908000,8142292000,8109004000,9183635000,12696329000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/48465/000004846595000008/0000048465-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846596000003/0000048465-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846597000004/0000048465-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/48465/0000048465-98-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/48465/000091205701002984/0000912057-01-002984-index.html,https://www.sec.gov/Archives/edgar/data/48465/000091205702002668/0000912057-02-002668-index.html,https://www.sec.gov/Archives/edgar/data/48465/000104746903002563/a2100452z10-k.htm,https://www.sec.gov/Archives/edgar/data/48465/000104746904001632/a2125484z10-k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465905001285/a05-1139_110k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465906002096/a06-1208_110k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465907002276/0001104659-07-002276-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465907090982/0001104659-07-090982-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465908078222/0001104659-08-078222-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465909070245/0001104659-09-070245-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465910063729/0001104659-10-063729-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465911070659/0001104659-11-070659-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465912085141/0001104659-12-085141-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465913090853/0001104659-13-090853-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465914087276/0001104659-14-087276-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465915085151/0001104659-15-085151-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465916163147/0001104659-16-163147-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465917074227/0001104659-17-074227-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846518000046/0000048465-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846519000057/0000048465-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846520000043/0000048465-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/48465/000004846521000067/0000048465-21-000067-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,95200000,-26700000,118000000,120400000,79400000,109500000,139300000,163400000,170200000,182400000,189300000,185800000,231700000,253500000,286100000,301900000,285500000,342800000,395587000,474200000,500100000,526200000,602700000,686088000,890052000,846735000,1012140000,978806000,908354000,908839000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,34300000,32200000,36600000,37200000,42700000,52900000,60300000,64700000,65886000,90193000,83238000,88020000,94745000,115189000,121101000,126738000,126189000,127138000,125591000,124165000,119494000,124850000,130044000,133434000,131968000,130977000,161858000,165209000,205781000,228406000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-10100000,-3700000,-5900000,5200000,-2300000,-400000,4500000,2000000,7160000,-1763000,- -,- -,-15654000,-30834000,-26736000,-6529000,-9713000,-311000,29429000,6752000,4668000,1067000,9800000,19979000,44327000,62166000,-7441000,28641000,32039000,28677000
