,https://roic.ai/company/TBPH,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0736,-691.5221,-19.7360,-4.3030,-3.7115,-17.6596,-3.7450,-3.2920,-3.9876,-3.6083
22,Income Tax expense (Gain),- -,- -,6364000,951000,10110000,13694000,-10561000,-5222000,8520000,-151000
23,Net Income,-9575000,-156284000,-237038000,-182219000,-190669000,-285405000,-215524000,-236455000,-278017000,-199426000
24,Net Income ratio,-0.0736,-691.5221,-20.2805,-4.3256,-3.9194,-18.5497,-3.5701,-3.2208,-3.8690,-3.6055
25,EPS,-0.30,-4.84,-7.46,-5.34,-4.26,-5.45,-3.99,-4.25,-4.46,-3.20
26,EPS Diluted,-0.30,-4.84,-7.46,-5.34,-4.26,-5.45,-3.99,-4.25,-4.46,-3.20
27,Weighted Average Shares Outstanding,32260105,32260105,31755000,34150000,44711000,52352000,53969000,55610000,62345000,62345000
28,Weighted Average Shares Outstanding Diluted,32260105,32260105,31755000,34150000,44711000,52352000,53969000,55610000,62345000,62345000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1583107/000104746915002175/0001047469-15-002175-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746916011039/0001047469-16-011039-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746917001086/0001047469-17-001086-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746918001160/0001047469-18-001160-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837019001346/0001558370-19-001346-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837020001644/0001558370-20-001644-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837021002006/0001558370-21-002006-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837022002373/0001558370-22-002373-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,89215000,112707000,344709000,88980000,378021000,58064000,81467000,89959000
32,Short-Term Investments,- -,- -,165396000,59727000,156387000,259586000,127255000,222767000,211474000,- -
33,Cash and Short-Term Investments,- -,- -,254611000,172434000,501096000,348566000,505276000,280831000,292941000,89959000
34,Net Receivables,- -,1100000,2129000,37154000,9722000,9362000,10673000,50570000,- -,57599000
35,Inventory,- -,10400000,12546000,10005000,12220000,16830000,- -,- -,- -,- -
36,Other Current Assets,- -,2600000,6084000,17879000,5465000,3991000,16874000,7087000,100400000,102312000
37,Total Current Assets,- -,14100000,275370000,237472000,528503000,378749000,532823000,338488000,393341000,249870000
38,PP&E,- -,10200000,9663000,9873000,8460000,10157000,13176000,59248000,16422000,53347000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,51399000,50860000,99565000,41587000,11869000,4985000,12750000,67537000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,900000,1339000,1911000,2726000,10907000,2367000,6105000,46544000,4065000
45,Total Non-Current Assets,- -,11100000,62401000,62644000,110751000,62651000,27412000,70338000,75716000,124949000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,25200000,337771000,300116000,639254000,441400000,560235000,408826000,469057000,374819000
48,Accounts Payable,- -,6900000,9921000,18804000,1733000,5924000,9028000,4758000,6775000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,17613000,29201000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,89000,144000,152000,125000,43402000,31575000,11523000,- -
52,Other Current Liabilities,- -,30000000,31246000,30522000,47383000,56503000,46124000,57757000,76072000,58587000
53,Total Current Liabilities,- -,36900000,41256000,49470000,49268000,62552000,98554000,111703000,123571000,58587000
54,Long-Term Debt,- -,- -,- -,- -,222676000,223746000,454353000,445190000,- -,652075000
55,Deferred Revenue,- -,- -,5150000,4598000,3966000,3668000,7976000,6761000,- -,- -
56,Deferred Tax Liabilities,- -,- -,-384000,600000,361000,152000,26179000,6761000,- -,- -
57,Other Non-Current Liabilities,- -,5300000,1962000,2383000,12752000,36104000,24762000,62251000,1833000,2730000
58,Total Non-Current Liabilities,- -,5300000,6728000,7581000,239755000,263670000,513270000,520963000,1833000,654805000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,347319000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,55487000,57087000,52681000
61,Total Liabilities,- -,42200000,47984000,57051000,289023000,326222000,611824000,632666000,469057000,713392000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1000,1000,1000,1000,- -,- -
64,Retained Earnings,- -,- -,-139337000,-321556000,-512225000,-797740000,-1012145000,-1248600000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-82000,-70000,-253000,-733000,-166000,145000,47000,- -
66,Other Total Stockholders Equity,- -,- -,429206000,564691000,862708000,913650000,960721000,1024614000,- -,- -
67,Total Stockholders Equity,- -,-17035000,289787000,243065000,350231000,115178000,-51589000,-223840000,-303751000,-338573000
68,Total Liabilities And Stockholders Equity,- -,25165000,337771000,300116000,639254000,441400000,560235000,408826000,165306000,374819000
69,Minority Interest,- -,35000,- -,- -,- -,- -,- -,- -,303751000,- -
70,Total Liabilities & Equity,- -,25200000,337771000,300116000,639254000,441400000,560235000,408826000,469057000,374819000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1583107/000104746915002175/0001047469-15-002175-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746916011039/0001047469-16-011039-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746917001086/0001047469-17-001086-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746918001160/0001047469-18-001160-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837019001346/0001558370-19-001346-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837020001644/0001558370-20-001644-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837021002006/0001558370-21-002006-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837022002373/0001558370-22-002373-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-9575000,-156284000,-237038000,-182219000,-190669000,-285405000,-215524000,-236455000,-278017000,-199426000
74,Depreciation and Amortization,3251000,2653000,2662000,2989000,3119000,4027000,3166000,6214000,9063000,9698000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,21323000,22476000,43234000,54050000,41169000,49145000,51313000,60450000,62976000,62061000
77,Change in Working Capital,-134302000,102441000,256914000,-46112000,291233000,-163038000,118072000,-207484000,42985000,-78487000
78,Accounts Receivable,- -,-199000,-90000,-1633000,1276000,-1607000,1633000,-11323000,6128000,- -
79,Inventory,-4822000,-3101000,-6628000,1030000,-3182000,-7301000,-1629000,- -,- -,- -
80,Accounts Payable,-1532000,2113000,3917000,8717000,-16436000,3796000,3575000,-4274000,3658000,-3534000
81,Other Working Capital,-125241000,-22800000,234114000,188002000,479235000,316197000,434269000,226785000,269770000,191283000
82,Other Non-Cash Items,196000,-92245000,-240927000,2435000,-243841000,194219000,-69894000,139078000,-87410000,-1704000
83,Cash Provided by Operating Activities,-119107000,-120959000,-175155000,-168857000,-98989000,-201052000,-112867000,-238197000,-250403000,-207858000
84,CAPEX,-2590000,-2734000,-3107000,-2647000,-2135000,-2406000,-7240000,-3176000,-6616000,-3406000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,20000000,5000000,- -,- -
86,Purchases of Investments,- -,- -,-168893000,-73011000,-237567000,-288791000,-183261000,-423898000,-401987000,-158305000
87,Sales/Maturities of Investments,- -,- -,66442000,186697000,91467000,234864000,347192000,339018000,419260000,286199000
88,Other Investing Activites,160000,100000,-693000,- -,- -,- -,17000,5000,64000,6000
89,Cash Used for Investing Activites,-2430000,-2634000,-106251000,111039000,-148235000,-56333000,176708000,-83051000,10721000,124494000
90,Debt Repayment,-69000,- -,- -,- -,- -,- -,- -,-2152000,-246817000,-4089000
91,Common Stock Issued,- -,- -,- -,79017000,253028000,- -,- -,3474000,139915000,- -
92,Common Stock Repurchased,- -,- -,-178000,-756000,-3871000,-8560000,-9807000,-3173000,-9749000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,121606000,123593000,370799000,3049000,230069000,10216000,235007000,3142000,379736000,95949000
95,Cash Used/Provided by Financing Activities,121537000,123593000,370621000,81310000,479226000,1656000,225200000,1291000,263085000,91860000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,121537000,123593000,370621000,23492000,232002000,-255729000,289041000,-319957000,23403000,8496000
98,Cash at the End of Period,- -,- -,89215000,112707000,344709000,88980000,378854000,58897000,82300000,90796000
99,Cash at the Beginning of Period,- -,- -,- -,89215000,112707000,344709000,89813000,378854000,58897000,82300000
100,Free Cash Flow,-121697000,-123693000,-178262000,-171504000,-101124000,-203458000,-120107000,-241373000,-257019000,-211264000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1583107/000104746915002175/0001047469-15-002175-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746916011039/0001047469-16-011039-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746917001086/0001047469-17-001086-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000104746918001160/0001047469-18-001160-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837019001346/0001558370-19-001346-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837020001644/0001558370-20-001644-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837021002006/0001558370-21-002006-index.htm,https://www.sec.gov/Archives/edgar/data/1583107/000155837022002373/0001558370-22-002373-index.htm
102,false,,,,,,,,,,
