,https://roic.ai/company/VTRS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,36200000,41900000,36900000,21200000,20200000,18500000,26300000,72400000,55400000,137900000,100200000,58000000,97300000,197500000,222959000,19578000,395179000,413988000,494801000,302171000,287388000,427554000,297885000,523352000,721584000,1005449000,1109349000,1135530000,1352600000,1460900000,701600000,1437100000,905600000,715500000,-210800000,-34000000
18,Operating Income ratio,- -,0.4480,0.4406,0.3844,0.2412,0.2117,0.2031,0.1994,0.3415,0.2200,0.3481,0.2550,0.1318,0.1841,0.2739,0.2822,0.0231,0.3579,0.3262,0.3600,0.2411,0.2286,0.2653,0.0580,0.1028,0.1324,0.1640,0.1632,0.1644,0.1752,0.1549,0.0633,0.1207,0.0792,0.0622,-0.0176,-0.0019
19,Total Other Income Expenses (Gains),- -,2000000,-200000,500000,2300000,12000000,20400000,23800000,24900000,31700000,33500000,41500000,29200000,51100000,-5200000,19784000,38435000,13144000,12525000,17807000,10076000,-12783000,-2042000,-345708000,-296377000,-365640000,-350813000,-305270000,-388190000,-378100000,-545500000,-579900000,-534100000,-607200000,-561100000,-510400000,-630400000
20,Income Before Tax,- -,38200000,41700000,37400000,23500000,32200000,38900000,50100000,97300000,87100000,171400000,141700000,87200000,148400000,192300000,242743000,58013000,408323000,426513000,512608000,312247000,274605000,425512000,-47823000,226975000,355944000,654636000,804079000,747340000,974500000,915400000,121700000,903000000,298400000,154400000,-721200000,-664400000
21,Income Before Tax Ratio,- -,0.4728,0.4385,0.3896,0.2673,0.3375,0.4270,0.3798,0.4590,0.3459,0.4327,0.3607,0.1981,0.2807,0.2667,0.3072,0.0685,0.3698,0.3361,0.3729,0.2491,0.2184,0.2640,-0.0093,0.0446,0.0653,0.1068,0.1183,0.1082,0.1262,0.0971,0.0110,0.0758,0.0261,0.0134,-0.0604,-0.0371
22,Income Tax expense (Gain),- -,17500000,18400000,12200000,5200000,6000000,6200000,10000000,26700000,14000000,50500000,39400000,24100000,47600000,76900000,88497000,20885000,148072000,154160000,177999000,108655000,90063000,208017000,137423000,-20773000,10402000,115833000,161145000,120808000,41400000,67700000,-358300000,207000000,-54100000,137600000,-51300000,604700000
23,Net Income,- -,20700000,23300000,25200000,18300000,26200000,32700000,40100000,70600000,73100000,120900000,102300000,63100000,100800000,115400000,154246000,37128000,260251000,272353000,334609000,203592000,184542000,217284000,-181215000,232571000,345115000,536810000,640850000,623711000,929400000,847600000,480000000,696000000,352500000,16800000,-669900000,-1269100000
24,Net Income ratio,- -,0.2562,0.2450,0.2625,0.2082,0.2746,0.3589,0.3040,0.3330,0.2903,0.3052,0.2604,0.1433,0.1907,0.1600,0.1952,0.0439,0.2357,0.2146,0.2434,0.1624,0.1468,0.1348,-0.0353,0.0457,0.0633,0.0876,0.0943,0.0903,0.1204,0.0899,0.0433,0.0584,0.0308,0.0015,-0.0561,-0.0710
25,EPS,- -,0.08,0.10,0.10,0.08,0.11,0.13,0.16,0.27,0.28,0.45,0.38,0.23,0.37,0.41,0.53,0.13,0.92,0.98,1.24,0.76,0.80,1.01,-1.05,0.31,0.69,1.25,1.54,1.63,2.49,1.80,0.94,1.30,0.69,0.03,-1.11,-2.11
26,EPS Diluted,- -,0.08,0.10,0.10,0.08,0.11,0.13,0.16,0.27,0.27,0.45,0.38,0.23,0.36,0.40,0.52,0.13,0.91,0.97,1.21,0.74,0.79,0.99,-1.05,0.30,0.68,1.22,1.52,1.58,2.34,1.70,0.92,1.30,0.68,0.03,-1.11,-2.11
27,Weighted Average Shares Outstanding,- -,244886370,238056316,246276533,241964274,245380386,253453007,257528370,260149899,265017348,267667875,268942500,274333500,274711500,282564000,290745000,283023000,282431250,278788500,268931000,268985000,229389000,215096000,304560000,305162000,324453000,430839000,415210000,383327000,373700000,472200000,513000000,534500000,514500000,515700000,601200000,601200000
28,Weighted Average Shares Outstanding Diluted,- -,244886370,238056316,246276533,241964274,245380386,253453007,257528370,264485845,269362006,269730177,268942500,277596709,276846750,286101000,293004000,285185250,286578000,282330000,276318000,273621000,234209000,219120000,304560000,306913000,328979000,438785000,420236000,394454000,398000000,497400000,520500000,536700000,516500000,516500000,601200000,601200000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792044/000119312520136001/0001193125-20-136001-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000119312521145240/0001193125-21-145240-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204422000010/0001792044-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15000000,26200000,38100000,29900000,21900000,37500000,60300000,98200000,75500000,127300000,177000000,126200000,103800000,189800000,203493000,229183000,160790000,258902000,101713000,137733000,150124000,484202000,557147000,380516000,662052000,375056000,349969000,291293000,225500000,1236000000,998800000,292100000,388100000,475600000,844400000,701200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99557000,55715000,456266000,427904000,585445000,670348000,368003000,91361000,42260000,27559000,29085000,30686000,- -,- -,- -,- -,175500000,199500000,91300000,109100000,203500000,- -
33,Cash and Short-Term Investments,- -,15000000,26200000,38100000,29900000,21900000,37500000,60300000,98200000,75500000,127300000,177000000,126200000,103800000,189800000,303050000,284898000,617056000,686806000,687158000,808081000,518127000,575563000,599407000,408075000,691137000,405742000,349969000,291293000,225500000,1236000000,1174300000,491600000,479400000,584700000,1047900000,701200000
34,Net Receivables,- -,14100000,13900000,16600000,14000000,17400000,16100000,22400000,32400000,68400000,58300000,72000000,115300000,136900000,148900000,197760000,232599000,145491000,187587000,191094000,297334000,242193000,1132121000,1164613000,1234634000,1157081000,1426438000,1554342000,1820273000,2268500000,2689100000,3310900000,3612400000,2881000000,3058800000,4843800000,4266400000
35,Inventory,- -,14600000,16600000,20000000,22900000,23200000,29100000,35100000,45900000,58000000,78200000,100600000,100900000,146000000,136500000,145869000,161810000,195074000,237777000,320797000,286267000,279008000,1063840000,1065990000,1114219000,1240271000,1396742000,1525242000,1664693000,1651400000,1951000000,2456400000,2542700000,2580200000,2670900000,5471900000,3977700000
36,Other Current Assets,- -,800000,1000000,900000,1000000,400000,700000,2200000,4000000,7700000,67600000,29700000,36600000,43400000,107800000,40067000,199917000,104461000,116041000,118792000,136770000,152572000,287777000,344663000,528458000,470954000,339922000,473164000,695001000,2641500000,596600000,580900000,566600000,427100000,442900000,1503900000,1957600000
37,Total Current Assets,- -,44500000,57700000,75600000,67800000,62900000,83400000,120000000,180500000,209600000,331400000,379300000,379000000,430100000,583000000,686746000,879224000,1062082000,1228211000,1317841000,1528452000,1191900000,3059301000,3174673000,3285386000,3559443000,3568844000,3902717000,4471260000,6786900000,6472700000,7522500000,7213300000,6367700000,6757300000,12867500000,10902900000
38,PP&E,- -,11500000,19300000,26900000,27800000,30900000,33500000,42200000,68500000,82500000,92300000,121800000,135800000,151400000,154600000,168000000,168396000,166531000,178330000,273051000,336719000,406875000,1102932000,1063996000,1122648000,1209342000,1298034000,1397216000,1663076000,1785700000,1983900000,2322200000,2339100000,2170200000,2404200000,3783500000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102579000,3855971000,3161580000,3331247000,3599334000,3517935000,3515655000,4288124000,4049300000,5380100000,9231900000,10205700000,9747800000,9590600000,12347000000,12113700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,38100000,33200000,28500000,74600000,137100000,128700000,336000000,332142000,296181000,272511000,252837000,237180000,223072000,105595000,2978706000,2453161000,2384848000,2501150000,2630747000,2224457000,2517888000,2347100000,7221900000,14447800000,15245800000,13664600000,11649900000,29683200000,26134200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,38100000,33200000,28500000,74600000,137100000,128700000,336000000,332142000,296181000,272511000,252837000,237180000,223072000,208174000,6834677000,5614741000,5716095000,6100484000,6148682000,5740112000,6806012000,6396400000,12602000000,23679700000,25451500000,23412400000,21240500000,42030200000,38247900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396400000,226000000,138700000,92200000,47900000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18703000,16493000,36610000,58284000,39376000,87655000,77829000,83400000,457600000,633200000,496800000,572200000,703100000,2147900000,- -
44,Other Non-Current Assets,- -,- -,3300000,6300000,17100000,43700000,52700000,64500000,64000000,78000000,94000000,116300000,125700000,137600000,133100000,154342000,122172000,115586000,85845000,47218000,47430000,63577000,337563000,539956000,640995000,609251000,543207000,804197000,2218164000,834200000,751500000,172200000,79600000,73700000,58200000,676000000,5692000000
45,Total Non-Current Assets,- -,11500000,22600000,33200000,44900000,74600000,86200000,106700000,170600000,193700000,214800000,312700000,398600000,417700000,623700000,654484000,586749000,554628000,517012000,557449000,607221000,678626000,8293875000,7235186000,7516348000,7977361000,8029299000,8029180000,10765081000,9099700000,15795000000,27203700000,28593000000,26367200000,24498200000,48685500000,43939900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,56000000,80300000,108800000,112700000,137500000,169600000,226700000,351100000,403300000,546200000,692000000,777600000,847800000,1206700000,1341230000,1465973000,1616710000,1745223000,1875290000,2135673000,1870526000,11353176000,10409859000,10801734000,11536804000,11598143000,11931897000,15236341000,15886600000,22267700000,34726200000,35806300000,32734900000,31255500000,61553000000,54842800000
48,Accounts Payable,- -,- -,- -,- -,- -,3400000,2300000,3500000,6500000,6700000,24000000,14000000,18000000,16000000,12100000,17981000,48928000,36534000,66017000,40639000,78114000,76859000,643873000,585711000,518252000,564706000,703235000,777908000,1072838000,905600000,1109600000,939500000,976000000,1123200000,1061900000,1345700000,- -
49,Short-Term Debt,- -,400000,1100000,2900000,100000,100000,- -,- -,- -,- -,- -,1400000,17500000,8500000,16900000,9874000,5245000,16000,1586000,1586000,1586000,4336000,555289000,156208000,193874000,169770000,819668000,397035000,443433000,2805100000,1078300000,269700000,1795700000,657100000,644200000,3450100000,1877500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92158000,69122000,15106000,42880000,33731000,49749000,160700000,92400000,97700000,112900000,121500000,213000000,288600000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,5200000,5400000,8600000,6600000,3800000,9600000,14400000,20000000,11200000,32400000,33200000,43200000,46800000,67400000,59915000,237014000,138597000,198168000,131543000,165807000,184055000,803189000,802731000,1006021000,1075136000,1040253000,1018560000,1439799000,1595000000,1934300000,3831500000,3613600000,2807500000,3863000000,5767100000,8006900000
53,Total Current Liabilities,- -,5600000,6500000,11500000,6700000,7300000,11900000,17900000,26500000,17900000,56400000,48600000,78700000,71300000,96400000,87770000,291187000,175147000,265771000,173768000,245507000,265250000,2002351000,1544650000,1718147000,1809612000,2563156000,2193503000,2956070000,5305700000,4122200000,5040700000,6385300000,4587800000,5569100000,10562900000,9884400000
54,Long-Term Debt,- -,1900000,4600000,6300000,500000,1100000,2100000,3600000,5100000,4600000,7100000,18000000,32600000,26200000,26800000,30630000,23345000,21854000,19943000,19130000,19325000,685188000,4913388000,5165419000,4984987000,5263376000,4479080000,5337196000,7586459000,5732800000,6295600000,15202900000,12865300000,13161200000,11214300000,22658700000,19717100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18021000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1000000,1200000,1300000,1300000,2000000,2300000,1800000,2200000,800000,- -,9000000,6500000,5700000,23600000,19108000,18905000,17470000,13177000,22604000,24905000,20585000,876816000,545121000,467497000,478094000,308915000,274259000,468530000,235400000,718100000,2006400000,2012400000,1722000000,1627500000,3123700000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,-100000,- -,-100000,21300000,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,111852000,122870000,404031000,485905000,370321000,742210000,771111000,1265375000,1336700000,1366000000,1358600000,1235700000,1096800000,960800000,2253600000,4748600000
58,Total Non-Current Liabilities,- -,2900000,5800000,7600000,1700000,3000000,4400000,5300000,28600000,5400000,7100000,27000000,39200000,32000000,50400000,49738000,42250000,39324000,33120000,41734000,44230000,817625000,5913074000,6132592000,5938389000,6111791000,5530205000,6382566000,9320364000,7304900000,8379700000,18567900000,16113400000,15980000000,13802600000,28036000000,24465700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771111000,- -,- -,- -,- -,- -,- -,252400000,322400000,- -
61,Total Liabilities,- -,8500000,12300000,19100000,8400000,10300000,16300000,23200000,55100000,23300000,63500000,75600000,117900000,103300000,146800000,137508000,333437000,214471000,298891000,215502000,289737000,1082875000,7915425000,7677242000,7656536000,7921403000,8093361000,8576069000,12276434000,12610600000,12501900000,23608600000,22498700000,20567800000,19371700000,38598900000,34350100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070000,1070000,1070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65139000,65345000,66100000,100301000,151777000,152217000,154575000,197630000,197684000,198342000,262909000,265158000,269832000,271989000,273300000,5500000,6000000,6000000,6000000,6100000,12100000,- -
64,Retained Earnings,- -,35800000,50200000,71700000,86300000,108800000,134300000,176800000,227100000,288400000,386200000,470100000,513800000,594800000,690000000,823570000,840741000,1080736000,1330933000,1637497000,1808802000,1939045000,922857000,594352000,660130000,883710000,1420520000,2061370000,2685081000,3614500000,4462100000,4942100000,5644500000,6010700000,6031100000,5361200000,- -
65,Other Comprehensive Income/Loss,- -,-6000000,-7100000,-8900000,-10900000,-13100000,-15800000,-22800000,-26400000,-32600000,-40300000,-51700000,-61600000,-74900000,-90200000,-105581000,-123677000,-135682000,3718000,2496000,870000,2450000,83044000,-380802000,11807000,171867000,-87839000,-86498000,-240131000,-987000000,-1764300000,-2263700000,-361200000,-1441300000,-1797200000,-858000000,-1744000000
66,Other Total Stockholders Equity,- -,17700000,24900000,26900000,28900000,31500000,34800000,49500000,95300000,124200000,136800000,198000000,207500000,224600000,460100000,420594000,350127000,391085000,11380000,-131982000,-115953000,-1308419000,2198825000,2291205000,2259797000,2283393000,1893936000,1096014000,224878000,355100000,7061100000,8431800000,8018300000,7591700000,7643800000,- -,- -
67,Total Stockholders Equity,- -,47500000,68000000,89700000,104300000,127200000,153300000,203500000,296000000,380000000,482700000,616400000,659700000,744500000,1059900000,1203722000,1132536000,1402239000,1446332000,1659788000,1845936000,787651000,3403426000,2703509000,3131146000,3601879000,3491775000,3340718000,2941817000,3255900000,9764400000,11116200000,13307600000,12167100000,11883800000,22954100000,20492700000
68,Total Liabilities And Stockholders Equity,- -,56000000,80300000,108800000,112700000,137500000,169600000,226700000,351100000,403300000,546200000,692000000,777600000,847800000,1206700000,1341230000,1465973000,1616710000,1745223000,1875290000,2135673000,1870526000,11318851000,10380751000,10787682000,11523282000,11585136000,11916787000,15218251000,15866500000,22266300000,34724800000,35806300000,32734900000,31255500000,61553000000,54842800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34325000,29108000,14052000,13522000,13007000,15110000,18090000,20100000,1400000,1400000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,56000000,80300000,108800000,112700000,137500000,169600000,226700000,351100000,403300000,546200000,692000000,777600000,847800000,1206700000,1341230000,1465973000,1616710000,1745223000,1875290000,2135673000,1870526000,11353176000,10409859000,10801734000,11536804000,11598143000,11931897000,15236341000,15886600000,22267700000,34726200000,35806300000,32734900000,31255500000,61553000000,54842800000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792044/000119312520136001/0001193125-20-136001-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000119312521145240/0001193125-21-145240-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204422000010/0001792044-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,20700000,23300000,25200000,18300000,26200000,32700000,40100000,70600000,73100000,120900000,102300000,63100000,100800000,115400000,154246000,37128000,260251000,272353000,334609000,203592000,184542000,217284000,-181215000,232571000,345115000,536810000,640850000,623711000,929400000,847600000,480000000,696000000,352500000,16800000,-669900000,-1269100000
74,Depreciation and Amortization,- -,900000,1200000,1800000,2100000,3000000,2900000,5100000,5100000,11200000,12700000,13500000,17300000,21700000,26900000,35706000,42392000,46111000,40580000,44323000,45100000,46827000,61512000,425279000,401157000,422788000,510688000,546604000,515997000,566600000,1032100000,1523000000,1805800000,2109900000,2019300000,2216100000,4506000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,700000,-1100000,-1300000,-900000,-700000,-10400000,1200000,- -,-3200000,-10300000,-23267000,-28222000,-37262000,-22025000,32275000,-36899000,-23635000,-50479000,-193564000,-154649000,11287000,-57405000,-108930000,-87133000,-315200000,-115900000,-609500000,-111400000,-264300000,-192600000,-213200000,675000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30639000,31166000,31385000,42576000,42579000,46971000,66000000,92800000,88900000,74700000,-3300000,56800000,79200000,111000000
77,Change in Working Capital,- -,- -,12900000,-3000000,-5500000,15900000,30600000,51900000,37700000,83300000,55700000,-30400000,58500000,127800000,112376000,-10939000,298898000,75505000,181633000,138872000,-356295000,784859000,-654559000,573073000,-62784000,182592000,-744143000,703526000,-194024000,-33990000,869300000,131300000,-1653800000,951900000,-591700000,1116400000,-1286600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172447000,-175798000,21865000,-318870000,-354844000,-553525000,-939100000,-265300000,-131800000,-162200000,340100000,-20000000,78700000,59000000
79,Inventory,- -,- -,- -,- -,- -,-200000,-6000000,-3600000,-9800000,-12000000,-19600000,-11100000,-1500000,-45000000,11300000,-9534000,-17203000,-30696000,-42558000,-83020000,34530000,6012000,-28987000,-83327000,20110000,-94728000,-220600000,-172020000,-157056000,-147500000,-320400000,-279300000,-129500000,-547600000,-512900000,-741900000,-427000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23166000,4244000,23021000,133666000,81429000,137212000,-300000,131800000,87700000,14400000,220300000,-96300000,-82700000,-70000000
81,Other Working Capital,- -,51200000,64100000,61100000,55600000,71500000,102100000,154000000,191700000,275000000,330700000,300300000,358800000,486600000,598976000,588037000,886935000,962440000,1144073000,1282945000,926650000,1711509000,1056950000,1630023000,1567239000,1749831000,1005688000,1709214000,1515190000,1481200000,2350500000,2481800000,828000000,1779900000,1188200000,2304600000,1018000000
82,Other Non-Cash Items,- -,-21600000,-37400000,-24000000,-14900000,-26800000,-25800000,-50400000,-44200000,-131300000,-42400000,-11000000,-92400000,-194400000,-80976000,-36530000,-283179000,1866000,-159398000,-324501000,348213000,-576032000,816434000,-269765000,157614000,-61763000,431898000,-875611000,201041000,-198010000,-717400000,433500000,1253500000,-805000000,495100000,-1296800000,279700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,19000000,39300000,45400000,68300000,35600000,136500000,75600000,46500000,52700000,163400000,119216000,67017000,346471000,313143000,225578000,203711000,416561000,390192000,384447000,605075000,931404000,720424000,949018000,1106563000,1014800000,2008500000,2047200000,2064800000,2341700000,1803700000,1231800000,3016000000
84,CAPEX,- -,- -,- -,- -,- -,-5300000,-5300000,-10000000,-12300000,-20200000,-17500000,-31400000,-26900000,-28900000,-16700000,-28788000,-24651000,-20621000,-32595000,-118451000,-90746000,-103689000,-161851000,-165113000,-154402000,-192792000,-279848000,-305325000,-334580000,-754400000,-871700000,-750600000,-896200000,-1195600000,-406000000,-681200000,-457000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-761049000,- -,-187437000,-562765000,-80510000,- -,-1261853000,-50000000,-693100000,-6610500000,-167000000,-65900000,-148700000,415800000,277000000
