,https://roic.ai/company/TER,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,317200000,312700000,409800000,442500000,465900000,479600000,484900000,501900000,503460000,579310000,941066000,1048820000,1090973000,1355217000,1532714000,2333181000,1740549000,1573865000,1458032000,1597718000,1139286000,1214094000,1044032000,1427014000,905335000,1192275000,1193347000,1377103000,1235194000,1451139000,1391529000,1453038000,1597216000,1611773000,1755191000,3528790000,2492849000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3417000,8104000,6617000,4090000,11263000,6259000,7214000,9296000,17805000,26704000,24785000,5982000,2627000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23633000,27060000,23694000,25482000,7134000,6934000,1876000,3637000,21663000,31269000,23145000,24182000,17820000
14,Depreciation and Amortization,23900000,23700000,32500000,29300000,33800000,34600000,36600000,35300000,34542000,35300000,43146000,50903000,59151000,76304000,86386000,101862000,138668000,159689000,152488000,124308000,91168000,73540000,67495000,94760000,106081000,99887000,113324000,142799000,150687000,152544000,140773000,120009000,108075000,113224000,120655000,126743000,125485000
15,EBITDA,51500000,21000000,-700000,29400000,47800000,6800000,56900000,61300000,85132000,138112000,293071000,190566000,252496000,222186000,360235000,777372000,-187485000,-401256000,-33705000,312282000,162136000,300049000,152566000,-290497000,-12923000,521459000,381571000,434257000,359743000,254854000,395773000,68586000,654150000,612294000,669572000,1051940000,1304260000
16,EBITDA ratio,0.1531,0.0686,-0.0019,0.0636,0.0988,0.0148,0.1118,0.1157,0.1535,0.2039,0.2461,0.1627,0.1994,0.1492,0.2011,0.2554,-0.1301,-0.3283,-0.0249,0.1743,0.1508,0.2179,0.1384,-0.2624,-0.0158,0.3242,0.2670,0.2621,0.2519,0.1547,0.2414,0.0391,0.3062,0.2915,0.2918,0.3370,0.3522
17,Operating Income,19200000,-6600000,-32100000,19800000,17700000,-20700000,24000000,27700000,51274000,98130000,244356000,122795000,175301000,133934000,258198000,710765000,-352845000,-555805000,-176449000,188803000,-81698000,196831000,42207000,-384347000,-122421000,413468000,235714000,287368000,190659000,96423000,242969000,-60015000,530028000,473797000,553654000,928407000,1200720000
18,Operating Income ratio,0.0571,-0.0216,-0.0850,0.0428,0.0366,-0.0451,0.0472,0.0523,0.0924,0.1449,0.2052,0.1048,0.1384,0.0899,0.1442,0.2335,-0.2449,-0.4547,-0.1304,0.1054,-0.0760,0.1430,0.0383,-0.3472,-0.1494,0.2570,0.1649,0.1735,0.1335,0.0585,0.1482,-0.0342,0.2481,0.2255,0.2412,0.2974,0.3243
19,Total Other Income Expenses (Gains),8400000,3900000,-1100000,-19700000,-3700000,-7100000,-3700000,-1700000,45000,4682000,5569000,16868000,18044000,11948000,15651000,28883000,26692000,-5140000,-9744000,-829000,1561000,33564000,37036000,-1678000,-20216000,-18956000,-17077000,-21392000,11263000,-1047000,10155000,4955000,-5616000,-5996000,-27882000,-27392000,-39765000
20,Income Before Tax,27600000,-2700000,-33200000,100000,14000000,-27800000,20300000,26000000,51319000,102812000,249925000,139663000,193345000,145882000,273849000,739648000,-326153000,-560945000,-186193000,187974000,-80137000,230395000,79243000,-386025000,-142637000,394512000,218637000,265976000,201922000,95376000,253124000,-55060000,524412000,467801000,525772000,901015000,1160955000
21,Income Before Tax Ratio,0.0820,-0.0088,-0.0879,0.0002,0.0289,-0.0606,0.0399,0.0491,0.0925,0.1518,0.2098,0.1192,0.1527,0.0980,0.1529,0.2430,-0.2264,-0.4589,-0.1376,0.1049,-0.0745,0.1673,0.0719,-0.3487,-0.1741,0.2452,0.1530,0.1605,0.1414,0.0579,0.1544,-0.0314,0.2454,0.2227,0.2291,0.2887,0.3135
22,Income Tax expense (Gain),7400000,-2900000,-11700000,3400000,3800000,-6500000,2000000,3500000,15396000,31871000,90641000,46089000,65737000,43765000,82155000,221894000,-123938000,157524000,7800000,22737000,-19680000,27752000,7360000,12577000,-8800000,14782000,-129256000,48927000,36975000,14104000,46647000,-11639000,266720000,16022000,58304000,116868000,146366000
23,Net Income,20200000,200000,-21500000,-3300000,10200000,-21300000,18300000,22500000,35194000,70941000,159284000,93574000,127608000,102117000,191694000,453616000,-202215000,-718469000,-193993000,165237000,90648000,198757000,77711000,-397834000,-133837000,379730000,373809000,217049000,164947000,81272000,206477000,-43421000,257692000,451779000,467468000,784147000,1014589000
24,Net Income ratio,0.0600,0.0007,-0.0569,-0.0071,0.0211,-0.0464,0.0360,0.0425,0.0634,0.1047,0.1337,0.0799,0.1008,0.0686,0.1070,0.1490,-0.1404,-0.5878,-0.1434,0.0922,0.0843,0.1444,0.0705,-0.3594,-0.1633,0.2361,0.2616,0.1310,0.1155,0.0493,0.1259,-0.0248,0.1206,0.2151,0.2037,0.2512,0.2740
25,EPS,0.06,0.00,-0.05,-0.01,0.02,-0.04,0.04,0.04,0.06,0.48,0.94,0.55,0.77,0.61,1.12,2.62,-1.15,-3.93,-1.03,0.85,0.46,1.02,0.42,-2.33,-0.77,2.11,1.97,1.16,0.86,0.40,0.98,-0.21,1.30,2.41,2.81,4.72,6.11
26,EPS Diluted,0.06,0.00,-0.05,-0.01,0.02,-0.04,0.04,0.04,0.06,0.48,0.94,0.55,0.74,0.59,1.07,2.51,-1.15,-3.93,-1.03,0.84,0.46,1.01,0.42,-2.33,-0.77,1.73,1.60,0.94,0.70,0.37,0.97,-0.21,1.28,2.35,2.67,4.28,5.54
27,Weighted Average Shares Outstanding,91012000,80000000,96648000,115100000,117008000,118656000,125300000,132184000,573312000,148380000,168506000,170120000,166868000,167644000,170519000,173312000,175828000,182861000,188342718,194048000,196283000,194729000,184020000,170593000,173604000,179924000,184683000,186878000,190772000,202908000,211544000,202578000,198069000,187672000,170425000,166120000,166120000
28,Weighted Average Shares Outstanding Diluted,91012000,80000000,96648000,115100000,117008000,118656000,125300000,132184000,573312000,591808000,309012000,339892000,172638000,171930000,178550000,181011000,175828000,182861000,188342718,197432000,196283000,204414000,185374000,170593000,173604000,226807000,226820000,230246000,235599000,222550000,213321000,202578000,201641000,192605000,179459000,183042000,183042000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97210/000095013595000760/0000950135-95-000760-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97210/000119312504042189/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312505052425/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312506053399/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312507044466/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312508041765/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312509042745/0001193125-09-042745-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312510044865/0001193125-10-044865-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312511051703/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312512087457/0001193125-12-087457-index.html,- -,https://www.sec.gov/Archives/edgar/data/97210/000119312514077218/d651046d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312515067671/d829718d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312516484381/0001193125-16-484381-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312517064638/0001193125-17-064638-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312518066579/0001193125-18-066579-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312519059974/0001193125-19-059974-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312520058676/0001193125-20-058676-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312521050735/0001193125-21-050735-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312522049828/0001193125-22-049828-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,182811000,182165000,201452000,74668000,185514000,181345000,242421000,317591000,251521000,228444000,209147000,340699000,568025000,562371000,322705000,416737000,397737000,573736000,338920000,341638000,294256000,264705000,307884000,429843000,926752000,773924000,914121000,1122199000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19766000,93662000,48266000,18693000,15914000,66316000,60154000,50096000,73833000,60974000,75431000,354042000,47766000,75593000,- -,46933000,409061000,96502000,431516000,586882000,533787000,477696000,871024000,1347979000,190096000,137303000,522280000,244231000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,202577000,275827000,249718000,93361000,201428000,247661000,302575000,367687000,325354000,289418000,284578000,694741000,615791000,637964000,322705000,463670000,806798000,670238000,770436000,928520000,828043000,742401000,1178908000,1777822000,1116848000,911227000,1436401000,1366430000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,129074000,254820000,178430000,300933000,219303000,296159000,420040000,169630000,179654000,229532000,223491000,232462000,158939000,189487000,109625000,125236000,176483000,129330000,153423000,157642000,151034000,211293000,192444000,272783000,291267000,362368000,497506000,550749000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,91883000,176851000,138954000,272357000,266347000,268693000,512563000,406989000,279550000,214934000,262996000,142706000,93070000,80313000,168451000,90836000,117642000,- -,139410000,137939000,105129000,153588000,135958000,107525000,153541000,196691000,222189000,243330000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,23125000,32647000,50006000,60432000,72462000,95174000,142656000,262716000,24715000,35393000,34761000,25033000,21610000,37169000,77872000,82550000,75695000,300319000,172792000,216176000,159640000,152686000,116493000,112151000,170826000,188598000,259338000,415718000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,446659000,740145000,617108000,727083000,759540000,907687000,1377834000,1207022000,809273000,769277000,805826000,1094942000,889410000,944933000,678653000,762292000,1176618000,1099887000,1236061000,1440277000,1243846000,1259968000,1623803000,2270281000,1732482000,1658884000,2415434000,2576227000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,183642000,257018000,273497000,343125000,434957000,497739000,733786000,835566000,685266000,544369000,547075000,421286000,366349000,352707000,298449000,246362000,231577000,798194000,265782000,275236000,329038000,273414000,253821000,268447000,279821000,377755000,394800000,456047000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69147000,69147000,- -,- -,- -,352778000,349272000,361792000,273438000,488413000,223343000,252011000,381850000,416431000,453859000,426024000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276946000,184435000,175098000,163046000,110552000,35819000,37127000,186998000,152192000,122941000,392975000,318867000,252291000,190600000,239831000,100401000,79088000,125482000,125480000,100939000,75635000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276946000,184435000,175098000,163046000,110552000,104966000,106274000,186998000,152192000,122941000,745753000,668139000,614083000,464038000,728244000,323744000,331099000,507332000,541911000,554798000,501659000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55130000,248696000,84407000,235872000,271078000,470789000,265928000,433843000,125926000,87731000,104490000,117980000,133858000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5217000,7494000,7404000,107405000,84026000,70848000,75185000,- -,102428000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25641000,26668000,206211000,181466000,118317000,162787000,244248000,218544000,215703000,296618000,406615000,232952000,360330000,151374000,71147000,19361000,30523000,-539602000,23491000,23933000,23315000,13716000,19877000,29766000,28392000,28789000,169334000,39206000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,209283000,283686000,479708000,524591000,553274000,660526000,978034000,1335369000,1085404000,1016085000,1116736000,764790000,831645000,610355000,556594000,473045000,633737000,1088752000,1193284000,1189547000,1294674000,1288706000,1138690000,839264000,974124000,1128130000,1236912000,1233198000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,655942000,1023831000,1096816000,1251674000,1312814000,1568213000,2355868000,2542391000,1894677000,1785362000,1922562000,1859732000,1721055000,1555288000,1235247000,1235337000,1810355000,2188639000,2429345000,2629824000,2538520000,2548674000,2762493000,3109545000,2706606000,2787014000,3652346000,3809425000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,13305000,42229000,34482000,58685000,45042000,104335000,153897000,59761000,63328000,74097000,62006000,48012000,40082000,57426000,61164000,66765000,81979000,69842000,58324000,62874000,47763000,92358000,95362000,86393000,100688000,126617000,133663000,153133000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8681000,10223000,9094000,8439000,8702000,12880000,7558000,7820000,8069000,7582000,5147000,302829000,- -,- -,122500000,2157000,2450000,2573000,2328000,186663000,- -,- -,- -,- -,- -,19476000,53916000,39159000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860000,12306000,11360000,20049000,21751000,30480000,59055000,36185000,44200000,80728000,88789000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,46386000,53587000,62771000,49122000,64674000,60096000,183465000,52220000,27615000,25391000,30399000,31477000,46471000,41928000,58030000,104439000,106579000,78670000,81357000,55404000,71603000,85527000,84478000,83614000,77711000,104876000,134662000,146185000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,70788000,123552000,118910000,161727000,137272000,215015000,274368000,176330000,180353000,173745000,179006000,133177000,173163000,123880000,125269000,109996000,172696000,222599000,155819000,170691000,173040000,194972000,192856000,284329000,297888000,288060000,378630000,466643000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,139160000,229591000,225257000,277973000,255690000,392326000,619288000,296131000,279365000,280815000,276558000,515495000,259716000,223234000,366963000,283357000,363704000,373684000,297828000,475632000,292406000,372857000,372696000,454336000,476287000,539029000,700871000,805120000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8806000,18679000,15650000,13141000,13200000,8946000,8352000,451682000,450561000,407658000,398932000,1819000,- -,- -,- -,141100000,150182000,159956000,171059000,- -,- -,- -,352669000,365987000,379981000,394687000,- -,145422000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71558000,- -,16227000,13306000,19929000,25745000,23463000,30127000,32750000,45974000,- -,54921000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14722000,15711000,13898000,23429000,17554000,13907000,21257000,30194000,- -,- -,- -,- -,- -,- -,- -,8041000,9849000,- -,50201000,40686000,23315000,26663000,12144000,6720000,20662000,14070000,- -,6327000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -,136278000,147319000,113508000,99752000,100152000,102880000,162172000,138260000,92874000,23711000,115675000,115106000,123890000,157623000,172862000,298729000,274572000,313096000,19352000,233679000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,23528000,34390000,29548000,36570000,30754000,22855000,29609000,481876000,586839000,554977000,512440000,101571000,100152000,102880000,162172000,287401000,324463000,183667000,353162000,169098000,167134000,210031000,561138000,701563000,707965000,767827000,19352000,440349000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493562000,- -,- -,- -,- -,- -,- -,- -,- -,760022000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65325000,62646000,76155000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,162688000,263981000,254805000,314543000,286444000,415181000,648897000,778007000,866204000,835792000,788998000,617066000,359868000,326114000,529135000,570758000,688167000,683579000,650990000,644730000,459540000,582888000,933834000,1155899000,1184252000,1306856000,1441541000,1245469000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4544000,10329000,10310000,10413000,10468000,21290000,21570000,22640000,26231000,27329000,24282000,24626000,23619000,21636000,21206000,21864000,22755000,22948000,23488000,23966000,27077000,25455000,24897000,24444000,21940000,20801000,20765000,20281000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,240213000,382551000,476125000,603733000,705850000,897544000,1351160000,1148945000,430476000,236483000,401720000,96502000,224862000,148125000,-291376000,-421606000,-41876000,318857000,401285000,566232000,610079000,467828000,230292000,272013000,-158191000,-241918000,387414000,736566000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211606000,-255968000,-290088000,-349707000,-422594000,-484247000,-521171000,-608963000,-66423000,-51846000,-61313000,-100452000,-66309000,-46028000,-148108000,-138105000,-128216000,-129875000,5820000,4000000,4689000,-8144000,-20214000,18776000,-13040000,-18854000,33516000,-5948000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,460103000,622938000,645664000,672692000,732646000,718445000,855412000,1201762000,638189000,737604000,768875000,1221990000,1179015000,1105441000,1124390000,1202426000,1269525000,1293130000,- -,1390896000,1437135000,1480647000,1593684000,1638413000,1671645000,1720129000,1769110000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,493254000,759850000,842011000,937131000,1026370000,1153032000,1706971000,1764384000,1028473000,949570000,1133564000,1242666000,1361187000,1229174000,706112000,664579000,1122188000,1505060000,1778355000,1985094000,2078980000,1965786000,1828659000,1953646000,1522354000,1480158000,2210805000,2563956000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,655942000,1023831000,1096816000,1251674000,1312814000,1568213000,2355868000,2542391000,1894677000,1785362000,1922562000,1859732000,1721055000,1555288000,1235247000,1235337000,1810355000,2188639000,2429345000,2629824000,2538520000,2548674000,2762493000,3109545000,2706606000,2787014000,3652346000,3809425000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,655942000,1023831000,1096816000,1251674000,1312814000,1568213000,2355868000,2542391000,1894677000,1785362000,1922562000,1859732000,1721055000,1555288000,1235247000,1235337000,1810355000,2188639000,2429345000,2629824000,2538520000,2548674000,2762493000,3109545000,2706606000,2787014000,3652346000,3809425000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/97210/000095013595000760/0000950135-95-000760-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97210/000119312504042189/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312505052425/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312506053399/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312507044466/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312508041765/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312509042745/0001193125-09-042745-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312510044865/0001193125-10-044865-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312511051703/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312512087457/0001193125-12-087457-index.html,- -,https://www.sec.gov/Archives/edgar/data/97210/000119312514077218/d651046d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312515067671/d829718d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312516484381/0001193125-16-484381-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312517064638/0001193125-17-064638-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312518066579/0001193125-18-066579-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312519059974/0001193125-19-059974-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312520058676/0001193125-20-058676-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312521050735/0001193125-21-050735-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312522049828/0001193125-22-049828-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,10200000,-21300000,18300000,22500000,35194000,70941000,159284000,93574000,127608000,102117000,191694000,453616000,-202215000,-718469000,-193993000,165237000,90648000,198757000,77711000,-397834000,-133837000,379730000,373809000,217049000,164947000,81272000,206477000,-43421000,257692000,451779000,467468000,784147000,1014589000
74,Depreciation and Amortization,- -,- -,- -,- -,33800000,34600000,36600000,35300000,34542000,35300000,43146000,50903000,59151000,76304000,86386000,101862000,138668000,159689000,152488000,124308000,91168000,73540000,67495000,94760000,106081000,99887000,113324000,142799000,150687000,152544000,140773000,120009000,108075000,113224000,120655000,126743000,125485000
75,Deferred Income Tax,- -,- -,- -,- -,2500000,-6800000,-800000,-200000,3828000,1494000,3920000,-14607000,1341000,-14607000,-4101000,-44242000,-47091000,145326000,-2013000,-612000,-30955000,-4185000,-750000,- -,- -,-3881000,-146669000,-2802000,-6880000,-4946000,-11839000,-69134000,37105000,28340000,-9456000,-15688000,-17305000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24639000,30580000,32337000,39920000,36612000,40307000,30451000,30750000,34097000,33577000,37897000,44906000,45643000
77,Change in Working Capital,- -,- -,- -,- -,8600000,- -,- -,- -,- -,307499000,203055000,-118703000,57259000,54740000,11511000,243185000,152345000,-380983000,-41446000,40806000,50179000,50247000,92005000,-410009000,167245000,333979000,-86711000,212030000,26412000,-13205000,-64329000,363996000,564838000,-559750000,-136340000,594708000,-93361000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15565000,-51247000,66367000,-24093000,-3656000,8060000,-57267000,18325000,-80584000,-17938000,-70440000,-129451000,-57778000
79,Inventory,- -,- -,- -,- -,-3200000,9200000,2600000,-3800000,-12114000,-14173000,-57111000,20584000,-131014000,-16990000,-2346000,-235319000,158669000,128275000,56298000,-16040000,70477000,78467000,45179000,-3074000,63377000,4624000,-615000,17652000,21170000,51172000,15559000,34263000,44960000,-29498000,-27408000,-8438000,6495000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46678000,- -,- -,-32810000,15103000,-45430000,48213000,-1706000,43574000,13693000,49279000,73167000,121499000
