,https://roic.ai/company/HOG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793952/000095013195000813/0000950131-95-000813-index.html,https://www.sec.gov/Archives/edgar/data/793952/000095013196001397/0000950131-96-001397-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793952/000091205702012138/0000912057-02-012138-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465903005244/0001104659-03-005244-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465904007224/0001104659-04-007224-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465905010542/0001104659-05-010542-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465906014021/0001104659-06-014021-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465907014465/0001104659-07-014465-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465908012386/0001104659-08-012386-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312509031412/0001193125-09-031412-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312510037160/0001193125-10-037160-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312511045258/0001193125-11-045258-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312512074944/0001193125-12-074944-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000144530513000288/0001445305-13-000288-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395214000006/0000793952-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395215000009/0000793952-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395216000047/0000793952-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395217000007/0000793952-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395218000012/0000793952-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395219000008/0000793952-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395220000008/0000793952-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395221000010/0000793952-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395222000014/0000793952-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,59300000,31500000,142500000,147500000,165200000,183400000,419736000,439438000,280928000,812449000,275159000,140975000,238397000,402854000,593558000,1630433000,1021933000,1526950000,1068138000,1066612000,906680000,722209000,759984000,687521000,1203766000,833868000,3257203000,1874745000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196011000,514800000,510211000,1336909000,905197000,658133000,2475000,- -,39685000,140118000,153380000,135634000,99009000,57325000,45192000,5519000,- -,10007000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,59300000,31500000,142500000,147500000,165200000,183400000,419736000,635449000,795728000,1322660000,1612068000,1046172000,896530000,405329000,593558000,1670118000,1162051000,1680330000,1203772000,1165621000,964005000,767401000,765503000,687521000,1213773000,833868000,3257203000,1874745000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,143400000,134200000,141300000,396100000,473800000,542700000,629170000,775264000,964465000,1114396000,1328457000,1763853000,2244415000,2537780000,4118684000,1705485000,2041840000,1979506000,1973124000,2034751000,2164256000,2300987000,2361367000,2435648000,2520898000,2531856000,1652621000,1647692000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,173400000,84400000,101400000,117500000,155600000,168600000,191931000,181115000,218156000,207726000,226893000,221418000,287798000,349697000,400908000,323029000,326446000,418006000,393524000,424507000,448871000,585907000,499917000,538202000,556128000,603571000,523497000,712942000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,87100000,44100000,42900000,50400000,54300000,56427000,73436000,88237000,84345000,98854000,113794000,121890000,174508000,264731000,643317000,536289000,464364000,480516000,363924000,370963000,328859000,227065000,223371000,193643000,233528000,412112000,314712000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,405600000,337200000,429300000,704000000,845000000,949000000,1297264000,1665264000,2066586000,2729127000,3266272000,3145237000,3550633000,3467314000,5377881000,4341949000,4066626000,4542206000,4050936000,3988803000,3948095000,3983154000,3853852000,3884742000,4484442000,4202823000,5845433000,4550091000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,262800000,284800000,409400000,528900000,627800000,681700000,754115000,891820000,1032596000,1046310000,1024665000,1011612000,1024469000,1060590000,1094487000,906906000,815112000,809459000,815464000,842477000,883077000,942418000,981593000,967781000,904132000,847382000,788987000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58800000,61401000,138579000,31400000,29590000,29081000,29530000,30452000,27752000,54182000,53391000,55947000,55048000,64160000,65976000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43300000,40900000,38700000,51200000,55400000,54331000,49711000,49930000,53678000,59456000,56563000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5998000,10597000,9629000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43300000,40900000,38700000,51200000,55400000,54331000,49711000,49930000,53678000,59456000,56563000,58800000,61401000,138579000,31400000,29590000,29081000,29530000,30452000,27752000,54182000,53391000,55947000,61046000,74757000,75605000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42986000,54376000,288240000,177504000,213989000,202439000,171845000,3339000,77835000,99614000,167729000,109073000,141464000,101204000,158538000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,70800000,335400000,440400000,327300000,396200000,426000000,330694000,511700000,712105000,1093973000,1132900000,1041797000,855262000,1012925000,929438000,3697759000,4305423000,4090979000,4102998000,4539969000,4591338000,4911799000,4833675000,4955129000,5074580000,5301993000,5142038000,6500964000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,333600000,663500000,890700000,894900000,1075200000,1163100000,1139140000,1453231000,1794631000,2193961000,2217021000,2109972000,1981517000,2189292000,2450744000,4813569000,5364114000,5131958000,5119837000,5416237000,5580002000,6008013000,6036388000,6087930000,6181222000,6325336000,6165168000,6500964000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,739200000,1000700000,1320000000,1598900000,1920200000,2112100000,2436404000,3118495000,3861217000,4923088000,5483293000,5255209000,5532150000,5656606000,7828625000,9155518000,9430740000,9674164000,9170773000,9405040000,9528097000,9991167000,9890240000,9972672000,10665664000,10528159000,12010601000,11051055000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,102600000,100700000,106100000,122700000,137700000,169844000,194683000,226977000,223902000,244202000,270614000,283477000,300188000,323736000,162515000,225346000,255713000,257386000,239794000,196868000,235614000,235318000,227597000,284861000,294380000,290904000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300000,2700000,2600000,90600000,146700000,181200000,89509000,217051000,382579000,324305000,495441000,204973000,832491000,1119955000,1738649000,1522090000,1231765000,1878733000,732105000,1842457000,1743101000,2045000000,2140592000,2400751000,2711609000,2339117000,3070952000,2293782000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57706000,19923000,21970000,28333000,18535000,26140000,25944000,43083000,29871000,24238000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79965000,72146000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,127900000,160300000,165000000,199100000,199300000,238390000,304376000,380496000,407566000,433053000,397525000,479709000,484936000,541372000,583619000,556671000,564172000,513591000,427335000,449317000,471964000,486652000,529822000,601130000,563275000,540133000,976959000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,216300000,233200000,263600000,361700000,468500000,518200000,497743000,716110000,990052000,955773000,1172696000,873112000,1595677000,1905079000,2603757000,2268224000,2013782000,2698618000,1503082000,2509586000,2389286000,2752578000,2862562000,3158170000,3597600000,3196772000,3981954000,3342887000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164300000,258100000,280000000,280000000,280000000,355000000,380000000,380000000,670000000,800000000,1000000000,870000000,980000000,2176238000,4114039000,4520591000,3843886000,4370544000,3416713000,3761528000,4845388000,4666975000,4587258000,4887667000,5124826000,5932933000,4595617000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,12000000,15633000,17816000,29478000,125842000,51432000,155236000,- -,- -,- -,- -,- -,- -,- -,49499000,- -,- -,- -,- -,- -,8135000,8607000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,89700000,108600000,135600000,130500000,139500000,140800000,162373000,248286000,228772000,213781000,240694000,143256000,309736000,396036000,933027000,665137000,689501000,711404000,739523000,419756000,467997000,553547000,440545000,382967000,406448000,394427000,364322000,559307000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,89700000,272900000,393700000,410500000,421800000,432800000,533006000,646102000,638250000,1009623000,1092126000,1298492000,1179736000,1376036000,3109265000,4779176000,5210092000,4555290000,5110067000,3885968000,4229525000,5398935000,5107520000,4970225000,5294115000,5527388000,6305862000,5154924000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,751293000,640331000,- -,- -,- -,- -,- -,- -,- -,63460000,47196000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000000,506100000,657300000,772200000,890300000,951000000,1030749000,1362212000,1628302000,1965396000,2264822000,2171604000,2775413000,3281115000,5713022000,7047400000,7223874000,7253908000,6613149000,6395554000,6618811000,8151513000,7970082000,8128395000,8891715000,8724160000,10287816000,8497811000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,3210000,3242000,3254000,3266000,3300000,3310000,3343000,3352000,3357000,3368000,3382000,3391000,3413000,3432000,3442000,3449000,1806000,1813000,1819000,1828000,1685000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,381900000,530800000,683800000,873200000,1113400000,1431017000,1833335000,2372095000,3074037000,3844571000,4630390000,5460629000,6117567000,6458778000,6324268000,6336077000,6824180000,7306424000,7852729000,8459040000,8961985000,1337673000,1607570000,2007583000,2193997000,1284823000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172200000,-183200000,-231300000,-295800000,-448600000,-554400000,-670446000,-813541000,-46358000,47174000,-12096000,58653000,-206662000,-137258000,-522526000,-417898000,-366222000,-476733000,-607678000,-332676000,-514943000,-615205000,-565381000,-500049000,-629684000,-536949000,-483417000,-240919000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,322400000,295900000,363200000,438700000,605300000,600500000,641874000,733247000,-96076000,-166785000,-617304000,-1608748000,-2500573000,-3608170000,-3824006000,-3801620000,-3766371000,-3930582000,-4144535000,-4513999000,-5038253000,-6510575000,1146060000,734943000,394231000,145123000,919694000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,433200000,494600000,662700000,826700000,1029900000,1161100000,1405655000,1756283000,2232915000,2957692000,3218471000,3083605000,2756737000,2375491000,2115603000,2108118000,2206866000,2420256000,2557624000,3009486000,2909286000,1839654000,1920158000,1844277000,1773949000,1803999000,1722785000,2553244000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,739200000,1000700000,1320000000,1598900000,1920200000,2112100000,2436404000,3118495000,3861217000,4923088000,5483293000,5255209000,5532150000,5656606000,7828625000,9155518000,9430740000,9674164000,9170773000,9405040000,9528097000,9991167000,9890240000,9972672000,10665664000,10528159000,12010601000,11051055000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,739200000,1000700000,1320000000,1598900000,1920200000,2112100000,2436404000,3118495000,3861217000,4923088000,5483293000,5255209000,5532150000,5656606000,7828625000,9155518000,9430740000,9674164000,9170773000,9405040000,9528097000,9991167000,9890240000,9972672000,10665664000,10528159000,12010601000,11051055000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/793952/000095013195000813/0000950131-95-000813-index.html,https://www.sec.gov/Archives/edgar/data/793952/000095013196001397/0000950131-96-001397-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793952/000091205702012138/0000912057-02-012138-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465903005244/0001104659-03-005244-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465904007224/0001104659-04-007224-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465905010542/0001104659-05-010542-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465906014021/0001104659-06-014021-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465907014465/0001104659-07-014465-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465908012386/0001104659-08-012386-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312509031412/0001193125-09-031412-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312510037160/0001193125-10-037160-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312511045258/0001193125-11-045258-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312512074944/0001193125-12-074944-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000144530513000288/0001445305-13-000288-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395214000006/0000793952-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395215000009/0000793952-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395216000047/0000793952-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395217000007/0000793952-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395218000012/0000793952-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395219000008/0000793952-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395220000008/0000793952-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395221000010/0000793952-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395222000014/0000793952-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,36200000,38300000,37000000,53800000,-11900000,104300000,112500000,166000000,174100000,213500000,267200000,347713000,437746000,580217000,760928000,889766000,959604000,1043153000,933843000,654718000,-55116000,146545000,599114000,623925000,733993000,844611000,752207000,692164000,521759000,531451000,423635000,1298000,650024000
74,Depreciation and Amortization,- -,- -,- -,- -,20000000,22400000,22600000,29400000,57000000,36900000,42300000,55300000,70200000,87400000,113800000,133348000,153061000,175778000,196918000,214112000,205705000,213769000,204172000,242281000,246344000,274789000,191198000,168978000,167072000,179300000,198074000,209555000,222188000,264863000,232537000,185715000,- -
75,Deferred Income Tax,- -,- -,- -,- -,800000,-6400000,-3000000,-1000000,- -,-11100000,-6300000,-8500000,2700000,1200000,11400000,1363000,-3539000,38560000,42105000,-41513000,48289000,-39768000,-60529000,-49428000,6931000,-17591000,87873000,128452000,52580000,-7621000,-16484000,-165000,50855000,-33981000,21547000,-44079000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24473000,17576000,30431000,38192000,40815000,41244000,37929000,29433000,32336000,32491000,35539000,33733000,23494000,- -
