,https://roic.ai/company/STKL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,100000,100000,100000,- -,100000,- -,100000,100000,100000,200000,500000,500000,500000,740000,1809028,3708000,4130000,5484000,7119000,8141000,11701000,15058000,19364000,21519000,- -,19447000,20226000,22399000,- -,21850000,34150000,32824000,32788000,33952000,30308000,34641000
15,EBITDA,100000,- -,-1700000,-1000000,-600000,-200000,400000,-1100000,-600000,1400000,500000,600000,1100000,1440000,4479222,5110000,9743000,17026000,21356000,22258000,32822000,18181000,23545000,26947000,- -,41586000,64928000,29701000,- -,54907000,-8745000,-100117000,-51616000,69718000,131902000,35900000
16,EBITDA ratio,0.0625,- -,-5.6667,-1.2500,-0.4286,-0.0870,0.1667,-2.7500,-6.0000,0.1750,0.0427,0.0508,0.0769,0.0451,0.0654,0.0553,0.0806,0.0855,0.0697,0.0522,0.0549,0.0226,0.0223,0.0272,- -,0.0384,0.0595,0.0251,- -,0.0498,-0.0065,-0.0782,-0.0409,0.0586,0.1671,0.0442
17,Operating Income,- -,-100000,-900000,-500000,-600000,-200000,-100000,-800000,-700000,700000,-100000,100000,600000,1100000,2558511,1231000,5186000,9890000,15198000,15207000,23484000,4475000,5046000,2476000,- -,28100000,44800000,37475000,- -,35476000,-31086000,-137893000,-80115000,37294000,10668000,11261000
18,Operating Income ratio,- -,-0.0294,-3.0000,-0.6250,-0.4286,-0.0870,-0.0417,-2.0000,-7.0000,0.0875,-0.0085,0.0085,0.0420,0.0345,0.0374,0.0133,0.0429,0.0497,0.0496,0.0357,0.0393,0.0056,0.0048,0.0025,- -,0.0260,0.0411,0.0317,- -,0.0322,-0.0231,-0.1078,-0.0635,0.0313,0.0135,0.0139
19,Total Other Income Expenses (Gains),200000,200000,- -,- -,100000,300000,500000,-400000,- -,400000,100000,200000,100000,-400000,-858511,-1031000,-986000,-290000,-998000,1493000,-8384000,-9175000,-14246000,-14076000,- -,-8800000,-9400000,-38349000,- -,-3943000,-43275000,-32504000,-34406000,-34677000,-60710000,-18771000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,- -,- -,- -,700000,1700000,200000,4200000,9600000,14200000,16700000,15100000,-4700000,-9200000,-11600000,- -,19300000,35400000,-874000,- -,31533000,-74361000,-170397000,-114521000,2617000,-50042000,-7510000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1375,- -,- -,- -,0.0219,0.0248,0.0022,0.0347,0.0482,0.0464,0.0392,0.0253,-0.0058,-0.0087,-0.0117,- -,0.0178,0.0324,-0.0007,- -,0.0286,-0.0552,-0.1332,-0.0908,0.0022,-0.0634,-0.0092
22,Income Tax expense (Gain),100000,100000,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,-300000,-600000,200000,400000,900000,3100000,2600000,3100000,-6100000,800000,-1800000,- -,8000000,10900000,7780000,- -,12043000,-23797000,-27392000,-7354000,3662000,-2740000,-3366000
23,Net Income,- -,- -,-1800000,-1100000,-800000,- -,200000,-1300000,-700000,900000,-200000,100000,500000,1000000,2300000,- -,3800000,8700000,9700000,8100000,11000000,400000,-10900000,-6800000,- -,5300000,24200000,-8524000,- -,13101000,-51188000,-135320000,-109205000,-758000,77518000,-4144000
24,Net Income ratio,- -,- -,-6.0000,-1.3750,-0.5714,- -,0.0833,-3.2500,-7.0000,0.1125,-0.0171,0.0085,0.0350,0.0313,0.0336,- -,0.0314,0.0437,0.0317,0.0190,0.0184,0.0005,-0.0103,-0.0069,- -,0.0049,0.0222,-0.0072,- -,0.0119,-0.0380,-0.1058,-0.0866,-0.0006,0.0982,-0.0051
25,EPS,-0.01,-0.01,-0.29,-0.13,-0.09,-0.01,0.03,-0.14,-0.07,0.08,-0.01,0.01,0.04,0.06,0.15,0.00,0.09,0.19,0.20,0.24,0.19,0.01,-0.17,-0.10,- -,0.08,0.37,-0.13,- -,0.20,-0.62,-1.66,-1.34,-0.10,0.75,-0.05
26,EPS Diluted,-0.01,-0.01,-0.29,-0.13,-0.09,-0.01,0.03,-0.14,-0.07,0.08,-0.01,0.01,0.04,0.06,0.14,0.00,0.09,0.18,0.20,0.24,0.19,0.01,-0.17,-0.10,- -,0.08,0.36,-0.13,- -,0.19,-0.62,-1.66,-1.34,-0.10,0.75,-0.05
27,Weighted Average Shares Outstanding,6346000,6346000,6206897,8461538,8888889,8608000,6666667,9285714,10000000,11250000,10000000,14426000,12500000,17384644,28186972,41081228,41844444,45773684,55080000,56491667,57678947,62784000,64255250,64770614,- -,65606481,65470270,66288000,- -,66835000,82561290,86355000,87082000,87787000,89234000,89234000
28,Weighted Average Shares Outstanding Diluted,6346000,6346000,6206897,8461538,8888889,8608000,6666667,9285714,10000000,11250000,10000000,14426000,12500000,17384644,28186972,41081228,41844444,48316667,55080000,56491667,57678947,62784000,64286393,64770614,- -,66648407,67288889,67832000,- -,68371000,82561290,86355000,87082000,87787000,89234000,89234000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351834/000116923206001227/0001169232-06-001227-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445907000269/0001204459-07-000269-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445908001504/0001204459-08-001504-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445909000390/0001204459-09-000390-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445910000491/0001204459-10-000491-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/351834/000120445912000476/0001204459-12-000476-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299313001081/0001062993-13-001081-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/351834/000106299315001123/0001062993-15-001123-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299317001180/0001062993-17-001180-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299318001023/0001062993-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299319001084/0001062993-19-001084-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299320001183/0001062993-20-001183-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299321002279/0001062993-21-002279-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299322006314/0001062993-22-006314-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,700000,3400000,7000000,22000000,8100000,5500000,1000000,30300000,24800000,20700000,- -,2400000,6800000,8537000,- -,7768000,1251000,3228000,3280000,1498000,251000,227000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,6300000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,33845000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,700000,9700000,9000000,22000000,8100000,5500000,1000000,30300000,24800000,20700000,- -,36245000,6800000,8537000,- -,7768000,1251000,3228000,3280000,1498000,251000,227000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,11100000,10900000,19200000,27900000,40400000,59500000,75400000,89200000,95700000,94700000,- -,95700000,115100000,116033000,- -,108343000,160170000,137158000,139160000,128925000,79659000,92961000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,10200000,13800000,23000000,34800000,49500000,88300000,126700000,182700000,200700000,178100000,- -,240900000,255700000,274286000,- -,229770000,368482000,354978000,361957000,323546000,147748000,220143000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,600000,1800000,1100000,3700000,5000000,4800000,10000000,12000000,14900000,16300000,- -,-7545000,29900000,20873000,- -,77715000,19794000,33213000,29024000,35985000,21665000,16638000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,22600000,36200000,52300000,88400000,103000000,158100000,213100000,314200000,336100000,309800000,- -,365300000,407500000,419729000,- -,423596000,549697000,528577000,533421000,489954000,249323000,329969000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,28800000,30900000,37000000,44800000,62400000,77300000,87500000,116400000,110600000,113200000,- -,120700000,140600000,158073000,- -,112492000,162239000,163624000,171032000,252983000,193220000,266782000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,7500000,8500000,12200000,18200000,34100000,42400000,49500000,55500000,54000000,49700000,- -,49400000,57400000,53673000,- -,29082000,223611000,109533000,27959000,28422000,3998000,3998000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,2700000,2800000,6900000,9900000,15800000,47900000,62100000,63200000,60900000,- -,48600000,52900000,47991000,- -,13755000,183524000,172059000,160975000,150009000,133317000,148440000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,7800000,11200000,15000000,25100000,44000000,58200000,97400000,117600000,117200000,110600000,- -,98000000,110300000,101664000,- -,42837000,407135000,281592000,188934000,178431000,137315000,152438000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,33845000,33845000,12350000,- -,3645000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1000000,1800000,- -,- -,- -,- -,12200000,11400000,13600000,12700000,- -,24300000,27400000,12565000,- -,11669000,44561000,15850000,8149000,9027000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,1500000,-400000,11000000,15500000,10800000,7900000,-5500000,4900000,3500000,5000000,- -,-10645000,-12345000,1554000,- -,46711000,-34074000,-7470000,-4798000,-7036000,5757000,5930000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,39400000,43900000,63000000,85400000,117200000,143400000,191600000,250300000,244900000,241500000,- -,266200000,299800000,286206000,- -,217354000,579861000,453596000,363317000,433405000,336292000,425150000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,62000000,80100000,115300000,173800000,220200000,301500000,404700000,564500000,581000000,551300000,- -,631500000,707300000,705935000,- -,640950000,1129558000,982173000,896738000,923359000,585615000,755119000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,- -,- -,- -,- -,- -,1141000,- -,69400000,74900000,71500000,- -,81900000,86300000,92372000,- -,74823000,89034000,94992000,115297000,102896000,73204000,121430000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,4533573,3842000,19071000,4580000,6367000,4241000,49096000,71925000,79338000,116648000,- -,144916000,131100000,148207000,- -,78454000,203573000,234090000,280334000,245536000,- -,21963000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1229000,4125000,2564000,- -,3090000,5661000,1351000,2208000,1272000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2687000,-2687000,- -,4773000,- -,3408000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,16266427,15258000,20129000,26420000,36133000,70918000,83504000,26675000,41849000,40439000,- -,38011000,62100000,43169000,- -,83051000,99431000,80970000,50715000,57232000,63247000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,20800000,19100000,39200000,31000000,42500000,76300000,132600000,168000000,193400000,225900000,- -,269600000,279500000,287156000,- -,236328000,392038000,410052000,446346000,405664000,136451000,143393000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,16500000,14000000,25100000,21200000,31000000,55500000,69400000,85600000,99400000,34700000,- -,17100000,51300000,42654000,- -,3539000,229008000,225805000,227023000,242204000,66245000,253871000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24273000,27438000,30441000,- -,15404000,44561000,15850000,8149000,9027000,25408000,22485000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,2200000,3400000,1500000,1600000,2600000,9600000,26000000,28600000,33600000,29700000,- -,21427000,22962000,3072000,- -,44990000,18085000,9927000,3583000,55919000,24582000,2241000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,18700000,17400000,26600000,22800000,33600000,65100000,95400000,114200000,133000000,64400000,- -,62800000,101700000,76167000,- -,63933000,291654000,251582000,238755000,307150000,116235000,278597000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69235000,37332000,51231000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,39500000,36500000,65800000,53800000,76100000,141400000,228000000,282200000,326400000,290300000,- -,332400000,381200000,363323000,- -,300261000,683692000,661634000,685101000,712814000,252686000,421990000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79184000,80193000,81302000,82524000,114900000,28145000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,15200000,35900000,38000000,96700000,105800000,106700000,112300000,176500000,177900000,178700000,- -,182100000,183000000,186376000,- -,190668000,300426000,308899000,314357000,318456000,326545000,436463000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,3900000,3700000,7500000,16200000,26800000,40400000,51300000,51800000,40900000,34100000,- -,100500000,124700000,116208000,- -,129309000,53838000,-89291000,-206151000,-214931000,-147741000,-156082000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-6100000,2000000,2200000,8200000,16200000,19600000,17800000,41200000,2600000,24200000,- -,2000000,2000000,3397000,- -,-6000000,-13000000,-7000000,-10000000,-11000000,-150458000,1363000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,9500000,2100000,1827000,-1153000,-4707000,-6616000,-4697000,-14523000,5411000,-4147000,- -,14532000,16451000,- -,- -,26712000,25418000,27738000,32129000,35496000,189683000,23240000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,22500000,43700000,49527000,119947000,144093000,160084000,176703000,254977000,226811000,232853000,- -,299132000,326151000,325304000,- -,340689000,445866000,320539000,211637000,210545000,332929000,333129000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,62000000,80200000,115327000,173747000,220193000,301484000,404703000,537177000,553211000,523153000,- -,631532000,707351000,688627000,- -,640950000,1129558000,982173000,896738000,923359000,585615000,755119000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-27000,53000,7000,16000,-3000,27323000,27789000,28147000,- -,-32000,-51000,17308000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,62000000,80100000,115300000,173800000,220200000,301500000,404700000,564500000,581000000,551300000,- -,631500000,707300000,705935000,- -,640950000,1129558000,982173000,896738000,923359000,585615000,755119000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351834/000116923206001227/0001169232-06-001227-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445907000269/0001204459-07-000269-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445908001504/0001204459-08-001504-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445909000390/0001204459-09-000390-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445910000491/0001204459-10-000491-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/351834/000120445912000476/0001204459-12-000476-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299313001081/0001062993-13-001081-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/351834/000106299315001123/0001062993-15-001123-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299317001180/0001062993-17-001180-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299318001023/0001062993-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299319001084/0001062993-19-001084-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299320001183/0001062993-20-001183-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299321002279/0001062993-21-002279-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299322006314/0001062993-22-006314-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1800000,-1100000,-800000,- -,200000,-1300000,-700000,900000,-200000,100000,500000,1000000,2300000,- -,3800000,8700000,9700000,8100000,11000000,400000,-10900000,-6800000,- -,5300000,24200000,-8524000,- -,13101000,-51188000,-135320000,-109205000,-758000,77518000,-4144000
74,Depreciation and Amortization,100000,- -,100000,- -,100000,- -,100000,100000,100000,200000,500000,500000,500000,740000,1809028,3708000,4130000,5484000,7119000,8141000,11701000,15058000,19364000,21519000,- -,19447000,20226000,22399000,- -,21850000,34150000,32824000,32788000,33952000,30308000,34641000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-314000,-930853,- -,-1000000,-475000,900000,776000,72000,-8752000,-1116000,-3030000,- -,2144000,1981000,1164000,- -,-7545000,-29850000,-27899000,-7390000,1060000,7553000,-2923000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1435000,- -,2090000,2753000,3255000,- -,4401000,4148000,5709000,7939000,7485000,11676000,9100000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,-2900000,15300000,-4000000,44300000,3100000,21300000,-1300000,65700000,-3500000,-58800000,- -,-2700000,32300000,4573000,- -,54695000,-59727000,-39134000,-31450000,-2785000,28582000,-63755000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4912000,- -,5386000,-18904000,4029000,- -,-22986000,-39857000,35773000,-3059000,5065000,-746000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,200000,- -,-200000,-400000,-600000,600000,-600000,-2020000,-1599653,-3385000,-3086000,-4976000,-6730000,- -,-26640000,-47204000,-753000,26725000,- -,-41542000,-19180000,-17414000,- -,-5222000,-16107000,27475000,-16032000,21965000,6133000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9541000,7070000,- -,5364000,23221000,-20437000,-6225000,-5917000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,1800000,17100000,13100000,57400000,60500000,81800000,80500000,146200000,142700000,83900000,- -,95700000,128000000,132573000,- -,187268000,157659000,118525000,87075000,84290000,112872000,- -
82,Other Non-Cash Items,-100000,- -,1700000,1500000,- -,100000,-200000,300000,-100000,-100000,-600000,-400000,-800000,-2667000,-241501,-18688000,-2858000,-56083000,-10063000,-45842000,-11969000,-107483000,29837000,90564000,- -,-31873000,-50483000,7185000,- -,-61687000,103946000,195283000,96177000,-29145000,-63941000,5649000
83,Cash Provided by Operating Activities,- -,- -,- -,400000,-700000,100000,100000,-900000,-700000,1000000,-300000,200000,200000,3459000,36674,320000,72000,1926000,10756000,-7525000,9504000,-35077000,33685000,44888000,- -,-5592000,30977000,30052000,- -,24815000,1479000,31463000,-11141000,9809000,91696000,-21432000
84,CAPEX,- -,- -,- -,-300000,- -,- -,- -,- -,- -,-400000,-800000,-600000,-300000,-787000,-3569380,-3909000,-4464000,-7139000,-19810000,-14165000,-10911000,-31491000,-10323000,-13611000,- -,-17393000,-24379000,-34110000,- -,-19925000,-22560000,-41139000,-31603000,-32764000,-24754000,-83370000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77000,-3627392,-2184000,-21919000,-17594000,-27284000,-20920000,-33188000,-21319000,-5267000,- -,- -,-5461000,-30521000,-5095000,- -,-1199000,- -,-1737000,1236000,59983000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-300000,-100000,- -,-400000,-100000,- -,-26000,-6001,-6310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,400000,300000,100000,500000,- -,- -,- -,- -,6307000,2038000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,- -,- -,-600000,900000,-200000,-3100000,300000,-200000,100000,10000,-12003,1354000,1530000,1071000,3055000,382000,2703000,-1293000,-142000,-895000,- -,2957000,5025000,6022000,- -,42684000,2708000,2754000,1596000,- -,349272000,-36153000
