,https://roic.ai/company/RUSHA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1012019/000110465902001302/j3069_10k405.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465903005176/j8903_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465904008816/a04-3896_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465905011106/a05-1972_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465906016123/a06-1987_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465907019504/a07-5537_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465908017382/a08-2562_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465909017283/a09-1355_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000095012310023928/c97635e10vk.htm,https://www.sec.gov/Archives/edgar/data/1012019/000095012311024520/c13928e10vk.htm,https://www.sec.gov/Archives/edgar/data/1012019/000119312512117099/d305354d10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774913002970/rusha_10k-123112.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774914003240/rusha20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774915003848/rusha20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774916026385/rusha20151201_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774917003534/rusha20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774918003630/rusha20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774919003282/rusha20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774920003589/rusha20191119_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774921003966/0001437749-21-003966-index.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774922004355/0001437749-22-004355-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2100000,21500000,19800000,22500000,20004000,18892000,19852000,24763000,34389000,158175000,133069000,161558000,187009000,146411000,149095000,168976000,207775000,198773000,217305000,191463000,64847000,82026000,124541000,131726000,181620000,312048000,148146000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7575000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2100000,21500000,19800000,22500000,20004000,18892000,19852000,24763000,34389000,158175000,133069000,161558000,187009000,153986000,149095000,168976000,207775000,198773000,217305000,191463000,64847000,82026000,124541000,131726000,181620000,312048000,148146000
34,Net Receivables,- -,16400000,23100000,20900000,19500000,29767000,20350000,26403000,24935000,24492000,30296000,63473000,74441000,48781000,55274000,38869000,43513000,98160000,89615000,103293000,178195000,167588000,166365000,195790000,203535000,183704000,172481000,140186000
35,Inventory,- -,36500000,36700000,66800000,107100000,173565000,177415000,114305000,115333000,137423000,189792000,338212000,484696000,365947000,362234000,269955000,321933000,649626000,690953000,802220000,1024104000,1061198000,840304000,1033294000,1339923000,1326080000,858291000,1020136000
36,Other Current Assets,- -,300000,1500000,300000,600000,736000,3800000,2752000,23101000,12809000,2962000,5685000,9624000,8727000,10099000,15064000,24385000,24444000,26718000,30618000,51752000,32953000,22753000,21473000,12760000,21147000,14906000,15986000
37,Total Current Assets,- -,55300000,82800000,107800000,149700000,224072000,220457000,163312000,188132000,209113000,381225000,540439000,730319000,610464000,581593000,472983000,558807000,980005000,1006059000,1153436000,1445514000,1326586000,1111448000,1375098000,1687944000,1712551000,1357726000,1324454000
38,PP&E,- -,17600000,23200000,34200000,54400000,103426000,130532000,132196000,117859000,114477000,138953000,196161000,278690000,299013000,332147000,354749000,445919000,499667000,622112000,739663000,923080000,1172824000,1135805000,1159595000,1184053000,1337128000,1264296000,1347215000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117071000,120582000,141904000,140836000,150388000,182612000,198257000,215464000,265145000,285041000,290191000,291391000,291391000,292142000,292142000,348580000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99728000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117071000,120582000,141904000,140836000,150388000,182612000,198257000,215464000,265145000,285041000,290191000,291391000,291391000,292142000,292142000,448308000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7575000,7575000,6628000,6628000,6628000,6905000,6650000,6231000,6375000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3200000,3200000,13500000,16600000,38198000,37885000,42703000,38519000,43288000,45755000,103634000,2330000,1532000,1146000,1154000,5244000,48789000,48510000,52607000,53618000,60907000,59372000,57680000,37962000,65508000,71229000,- -
45,Total Non-Current Assets,- -,20800000,26400000,47700000,71000000,141624000,168417000,174899000,156378000,157765000,184708000,299795000,398091000,421127000,475197000,504314000,609126000,737696000,875507000,1014362000,1248748000,1525422000,1491599000,1515041000,1513406000,1694778000,1627667000,1795523000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,76100000,109200000,155500000,220700000,365696000,388874000,338211000,344510000,366878000,565933000,840234000,1128410000,1031591000,1056790000,977297000,1167933000,1717701000,1881566000,2167798000,2694262000,2852008000,2603047000,2890139000,3201350000,3407329000,2985393000,3119977000
48,Accounts Payable,- -,7600000,5200000,5800000,6900000,9710000,14157000,15284000,15082000,16170000,16970000,23327000,37449000,40452000,31530000,22427000,37933000,62299000,62270000,100375000,124555000,120255000,97844000,107906000,127451000,133697000,110728000,122291000
49,Short-Term Debt,- -,37900000,44400000,65700000,96300000,170278000,191430000,123353000,114246000,149734000,186519000,339824000,475286000,311690000,323821000,244801000,300089000,584158000,614550000,690892000,995042000,1005782000,777662000,923700000,1184974000,1185601000,511786000,669522000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58319000,44879000,22438000,18418000,27350000,36183000,42695000,74209000,80561000
52,Other Current Liabilities,- -,9200000,8500000,18000000,30800000,41241000,17409000,23047000,50809000,29096000,39495000,51151000,61287000,60517000,49125000,46573000,77007000,144334000,111626000,79589000,110134000,98562000,99206000,113251000,144687000,145396000,330071000,131130000
53,Total Current Liabilities,- -,54700000,58100000,89500000,134000000,221229000,222996000,161684000,180137000,195000000,242984000,414302000,574022000,412659000,404476000,313801000,415029000,790791000,788446000,929175000,1274610000,1247037000,993130000,1172207000,1493295000,1507389000,1026794000,1003504000
54,Long-Term Debt,- -,13700000,13400000,22700000,32200000,65414000,79607000,82579000,69958000,66261000,79973000,114345000,166125000,165352000,172011000,153957000,189850000,264822000,319634000,385538000,429189000,496731000,472503000,466389000,439218000,438413000,387982000,482737000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1000000,1200000,1600000,4201000,8094000,12512000,14720000,16911000,20169000,23339000,33856000,40904000,52896000,54600000,63540000,93123000,123756000,147822000,175635000,188987000,197331000,135311000,141308000,164297000,126439000,140473000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-2000,- -,- -,- -,14628000,14799000,13099000,11366000,28714000,34595000,37731000,41784000,39882000,50489000,74356000,77258000,75859000,60601000,137737000,176141000,26514000
58,Total Non-Current Liabilities,- -,13700000,14400000,23900000,33800000,69615000,87701000,95089000,84678000,83172000,100142000,152312000,214780000,219355000,236273000,237271000,287985000,395676000,485174000,573242000,655313000,760074000,747092000,677559000,641127000,740447000,690562000,649724000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14628000,14799000,13099000,11366000,34444000,42202000,45554000,49973000,45467000,57250000,83765000,84493000,83141000,69114000,150039000,178464000,186602000
61,Total Liabilities,- -,68400000,72500000,113400000,167800000,290844000,310697000,256773000,264815000,278172000,343126000,566614000,788802000,632014000,640749000,551072000,703014000,1186467000,1273620000,1502417000,1929923000,2007111000,1740222000,1849766000,2134422000,2247836000,1717356000,1653228000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,70000,70000,70000,140000,140000,239000,247000,251000,383000,386000,388000,391000,398000,404000,414000,424000,430000,438000,454000,458000,465000,551000,563000
64,Retained Earnings,- -,6900000,3300000,8700000,19500000,35627000,38952000,42214000,40400000,49229000,66145000,110770000,169556000,220920000,249785000,255669000,286951000,342164000,404619000,453836000,533793000,599846000,640428000,812557000,942287000,1065553000,831850000,1031582000
65,Other Comprehensive Income/Loss,- -,-4300000,-6600000,-5600000,-10600000,-16581000,-26906000,-38421000,-47889000,-58286000,-59352000,-70697000,-80707000,-100151000,-124597000,-143887000,-168336000,-2000000,-2000000,-1000000,-327193000,-403819000,-453521000,-514929000,-576345000,-606503000,-640577000,787000
66,Other Total Stockholders Equity,- -,5100000,40000000,39000000,44000000,55736000,66061000,77575000,87044000,97623000,215775000,233300000,250508000,278425000,290467000,314055000,345913000,190672000,204923000,212131000,557315000,648440000,675480000,742291000,700528000,699978000,1076213000,433817000
67,Total Stockholders Equity,- -,7700000,36700000,42100000,52900000,74852000,78177000,81438000,79695000,88706000,222807000,273620000,339608000,399577000,416041000,426225000,464919000,531234000,607946000,665381000,764339000,844897000,862825000,1040373000,1066928000,1159493000,1268037000,1466749000
68,Total Liabilities And Stockholders Equity,- -,76100000,109200000,155500000,220700000,365696000,388874000,338211000,344510000,366878000,565933000,840234000,1128410000,1031591000,1056790000,977297000,1167933000,1717701000,1881566000,2167798000,2694262000,2852008000,2603047000,2890139000,3201350000,3407329000,2985393000,3119977000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,76100000,109200000,155500000,220700000,365696000,388874000,338211000,344510000,366878000,565933000,840234000,1128410000,1031591000,1056790000,977297000,1167933000,1717701000,1881566000,2167798000,2694262000,2852008000,2603047000,2890139000,3201350000,3407329000,2985393000,3119977000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1012019/000110465902001302/j3069_10k405.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465903005176/j8903_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465904008816/a04-3896_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465905011106/a05-1972_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465906016123/a06-1987_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465907019504/a07-5537_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465908017382/a08-2562_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000110465909017283/a09-1355_110k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000095012310023928/c97635e10vk.htm,https://www.sec.gov/Archives/edgar/data/1012019/000095012311024520/c13928e10vk.htm,https://www.sec.gov/Archives/edgar/data/1012019/000119312512117099/d305354d10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774913002970/rusha_10k-123112.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774914003240/rusha20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774915003848/rusha20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774916026385/rusha20151201_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774917003534/rusha20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774918003630/rusha20171231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774919003282/rusha20181231_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774920003589/rusha20191119_10k.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774921003966/0001437749-21-003966-index.htm,https://www.sec.gov/Archives/edgar/data/1012019/000143774922004355/0001437749-22-004355-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3700000,8000000,6200000,5400000,10800000,16166000,3325000,3262000,-1744000,8829000,16916000,44625000,58786000,51492000,28865000,5884000,31282000,55213000,62455000,49217000,79957000,66053000,40582000,172129000,139062000,141583000,114887000,241415000
74,Depreciation and Amortization,1600000,1900000,2400000,3000000,4800000,8380000,13579000,16156000,15846000,15542000,15923000,21010000,27074000,35798000,38508000,40698000,45920000,56934000,73289000,93486000,126452000,144935000,157627000,157951000,185122000,175484000,177347000,169497000
75,Deferred Income Tax,- -,- -,1000000,200000,500000,2563000,3893000,2910000,-659000,3703000,4149000,1286000,6877000,7516000,9944000,-2980000,10215000,28680000,28164000,22081000,25229000,31645000,8331000,-62203000,5997000,22989000,-37858000,14034000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3664000,4468000,5683000,7332000,8645000,11343000,12384000,12875000,15606000,18059000,19005000,19356000,22246000
77,Change in Working Capital,1200000,600000,24100000,-6400000,-2600000,-12857000,-5382000,4167000,6367000,6118000,124128000,-12104000,30160000,41508000,-20688000,-17935000,-15404000,45436000,28399000,6648000,-53357000,-91355000,38769000,84573000,-8242000,10513000,125770000,-9982000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16405000,-217000,-49986000,14184000,-10358000,-67664000,11921000,1673000,-29424000,-7746000,19831000,11223000,32312000
79,Inventory,- -,-10600000,-200000,-6700000,-25000000,-46739000,-2559000,65084000,-12741000,-13154000,-49692000,-102308000,-114380000,132357000,30057000,104450000,-48548000,-268178000,32579000,-67217000,-151911000,18664000,291773000,-147453000,-255040000,81722000,536682000,-33572000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9103000,15331000,24366000,-29000,38105000,24180000,-4154000,-22411000,8964000,18490000,2241000,-23336000,12053000
81,Other Working Capital,- -,600000,24700000,18300000,15700000,2843000,-2539000,1628000,7995000,14113000,138241000,126137000,156297000,197805000,177117000,159182000,143778000,189214000,217613000,224261000,170904000,79549000,118318000,202891000,194649000,205162000,330932000,320950000
82,Other Non-Cash Items,-600000,-15900000,-33600000,7100000,-12900000,-42085000,9767000,62513000,-3842000,-17861000,-166758000,-106977000,-129759000,122387000,26430000,120964000,-10048000,-273315000,19697000,-6589000,-100687000,63588000,262986000,-215319000,-124634000,51698000,363480000,-14864000
83,Cash Provided by Operating Activities,5900000,-5400000,100000,9300000,600000,-27833000,25182000,89008000,15968000,16331000,-5642000,-52160000,-6862000,258701000,83059000,150295000,66433000,-81369000,219336000,173488000,88937000,227250000,521170000,152737000,215364000,421272000,762982000,422346000
84,CAPEX,-2400000,-6300000,-8500000,-10200000,-31500000,-60325000,-40973000,-20730000,-16526000,-18772000,-44566000,-65801000,-116105000,-65268000,-68160000,-50485000,-84303000,-148543000,-170951000,-191584000,-260820000,-367790000,-196965000,-209917000,-238260000,-293493000,-136200000,-167177000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66000000,-36000000,-8000000,-37000000,- -,-13000000,-95000000,-105000000,-73000000,-158000000,-69000000,-1000000,-2000000,- -,-10000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-355575000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000000,- -,- -,- -,- -,- -,150000,275000,450000,325000,6375000,- -,- -,- -
88,Other Investing Activites,-9000000,1600000,400000,-35900000,300000,-22943000,59000,-805000,4875000,1941000,9732000,8292000,6910000,5762000,1692000,727000,596000,11717000,1654000,-5084000,2254000,281000,8105000,5029000,4642000,-16963000,8743000,-265728000
89,Cash Used for Investing Activites,-11400000,-4700000,-8100000,-46100000,-31200000,-83268000,-40914000,-21535000,-11651000,-16831000,-34834000,-123509000,-145195000,-67506000,-111043000,-49758000,-96707000,-231826000,-274297000,-269668000,-416416000,-436234000,-189410000,-206563000,-227243000,-320456000,-127457000,-432905000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148730000,-63170000,-82347000,-105412000,-101559000,-125359000,-169191000,-400221000,-157487000,-179535000,-326869000,-636063000,-455064000
91,Common Stock Issued,- -,- -,31400000,- -,- -,- -,- -,- -,- -,182000,113821000,3183000,2206000,2796000,1124000,827000,2281000,5518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71000,- -,- -,-17948000,- -,- -,- -,- -,-12873000,-12253000,-1464000,-43514000,-33800000,-120558000,-58188000,-24865000,-33596000
93,Dividends Paid,-1500000,-3600000,-10200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9332000,-18317000,-22461000,-41060000
94,Other Financing Activites,6300000,15000000,6200000,35100000,33300000,108589000,14620000,-66513000,594000,9944000,50441000,147451000,178340000,-168540000,4210000,50050000,111044000,428823000,151371000,229144000,439249000,253023000,129154000,287628000,328489000,352452000,178292000,376377000
95,Cash Used/Provided by Financing Activities,4800000,11400000,27400000,35100000,33300000,108589000,14620000,-66513000,594000,10126000,164262000,150563000,180546000,-165744000,-12614000,-97853000,50155000,351994000,45959000,114712000,301637000,82368000,-314581000,96341000,19064000,-50922000,-505097000,-153343000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-700000,- -,- -,- -,- -,-2512000,-1112000,960000,4911000,9626000,123786000,-25106000,28489000,25451000,-40598000,2684000,19881000,38799000,-9002000,18532000,-25842000,-126616000,17179000,42515000,7185000,49894000,130428000,-163902000
98,Cash at the End of Period,131026000,- -,- -,- -,- -,20004000,18892000,19852000,24763000,34389000,158175000,133069000,161558000,187009000,146411000,149095000,168976000,207775000,198773000,217305000,191463000,64847000,82026000,124541000,131726000,181620000,312048000,148146000
99,Cash at the Beginning of Period,131726000,900000,2100000,21500000,19800000,22516000,20004000,18892000,19852000,24763000,34389000,158175000,133069000,161558000,187009000,146411000,149095000,168976000,207775000,198773000,217305000,191463000,64847000,82026000,124541000,131726000,181620000,312048000
100,Free Cash Flow,3500000,-11700000,-8400000,-900000,-30900000,-88158000,-15791000,68278000,-558000,-2441000,-50208000,-117961000,-122967000,193433000,14899000,99810000,-17870000,-229912000,48385000,-18096000,-171883000,-140540000,324205000,-57180000,-22896000,127779000,626782000,255169000
