,https://roic.ai/company/OLP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7845000,-340484000,3768000,1833000,2265000,2314000,3477000,3267000,4043000,3914000,- -,- -,705459000,700535000,691922000,676977000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357094000,5470000,405673000,360711000,420535000,432249000,450219000,530657000,541187000,606499000,694691000,707622000,742857000,737664000,727327000,707843000
46,Other Assets,21000000,30200000,29900000,29600000,34700000,36500000,36000000,32300000,32400000,37700000,38040246,52522988,57647555,82677900,85949000,128219000,132939000,179609000,259089000,284386000,329800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21000000,30200000,29900000,29600000,34700000,36500000,36000000,32300000,32400000,37700000,38040246,52522988,57647555,82677900,85949000,128219000,132939000,179609000,259089000,284386000,329800000,422037000,31207000,429105000,408686000,444623000,460736000,481166000,571898000,590439000,650378000,733445000,742586000,780912000,774629000,776137000,752953000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193767,475109,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6590154,3900000,20545247,29422491,35735000,64123000,76587000,77367000,106133000,124019000,- -,- -,- -,27000000,27000000,36200000,20000000,- -,23250000,13250000,18250000,9064000,8776000,29688000,10831000,12525000,11484000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5883921,924891,-14745247,-27822491,-35335000,-53423000,-74587000,-63867000,-99133000,-109719000,6800000,14000000,13400000,7382000,6213000,8950000,15940000,11836000,13596000,18773000,20753000,18276000,24600000,19818000,23553000,30759000,28440000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,5300000,5800000,1600000,400000,10700000,2000000,13500000,7000000,14300000,6800000,14000000,13400000,34382000,33213000,45150000,35940000,11836000,36846000,32023000,39003000,27340000,33376000,49506000,34384000,43284000,39924000
54,Long-Term Debt,- -,- -,- -,100000,6500000,7600000,2800000,- -,- -,- -,- -,20746921,4605029,- -,35700000,10000000,- -,10000000,- -,7600000,167472000,227923000,222035000,225514000,190518000,215308000,205849000,225971000,278045000,292049000,334428000,394898000,393157000,418798000,435840000,429704000,396344000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,-3946921,15894971,29400000,- -,54100000,76600000,67400000,106100000,116400000,28000,-23000,-35000,5234000,4827000,4982000,- -,5300000,6917000,10463000,14521000,19280000,17551000,14013000,12421000,11189000,10407000
58,Total Non-Current Liabilities,- -,- -,- -,100000,6500000,7600000,2800000,- -,- -,- -,6600000,16800000,20500000,29400000,35700000,64100000,76600000,77400000,106100000,124000000,167500000,227900000,222000000,230748000,195345000,220290000,205849000,231271000,284962000,302512000,348949000,414178000,410708000,432811000,448261000,440893000,406751000
59,Other Liabilities,100000,100000,200000,1600000,13800000,15800000,9200000,3200000,3400000,7800000,26028742,46438425,54143650,71985691,71445000,128243000,- -,154815000,212220000,- -,- -,455812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5234000,4827000,4982000,5166000,5300000,6917000,10463000,14521000,19280000,17551000,14013000,12421000,11189000,- -
61,Total Liabilities,100000,100000,200000,1500000,7300000,8200000,6400000,3200000,3400000,7800000,20328742,34938425,39443650,44185691,36145000,74843000,78591000,90915000,113120000,138271000,174281000,241912000,235395000,265130000,228558000,265440000,241789000,243107000,321808000,334535000,387952000,441518000,444084000,482317000,482645000,484177000,446675000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1416119,1473642,1561450,2940201,2980000,3010000,3058000,5626000,9605000,9728000,9770000,9823000,9906000,9962000,10879000,11212000,14213000,14598000,15221000,15728000,16292000,17600000,18261000,18736000,19251000,19878000,- -
64,Retained Earnings,-300000,- -,- -,25900000,- -,900000,2200000,2500000,2300000,2700000,3083386,2220789,2076140,4489709,4649000,7947000,8144000,6417000,5125000,3246000,11536000,34541000,23913000,15564000,25786000,20969000,15605000,28001000,23877000,21876000,16215000,11501000,3257000,-10730000,-28382000,-37539000,-36187000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200571,-1846694,-2534582,-3718653,-5138000,-6244000,-8663000,-10857000,-14155000,-18647000,1000000,1000000,-34512000,-44698000,-47374000,-54438000,-1000000,-2000000,-71171000,-3000000,-4000000,-1000000,-108953000,2000000,-2000000,-5002000,-1513000
66,Other Total Stockholders Equity,21200000,30100000,29700000,2200000,27400000,27400000,27400000,26600000,26700000,27200000,14412570,15595104,17100897,34783329,47311000,48663000,51809000,76815000,145394000,151788000,133213000,134761000,171932000,183147000,190837000,201440000,189467000,196529000,281005000,219672000,231988000,262032000,384195000,287140000,301894000,313430000,- -
67,Total Stockholders Equity,20900000,30100000,29700000,28100000,27400000,28300000,29600000,29100000,29000000,29900000,17711504,17442841,18203905,38494586,49802000,53376000,54348000,88694000,145969000,146115000,155519000,180125000,171239000,163975000,180128000,179183000,218285000,237128000,248932000,254276000,260495000,290133000,296760000,297146000,290763000,290767000,305332000
68,Total Liabilities And Stockholders Equity,21000000,30200000,29900000,29600000,34700000,36500000,36000000,32300000,32400000,37700000,38040246,52381266,57647555,82680277,85947000,128219000,132939000,179609000,259089000,284386000,329800000,422037000,406634000,429105000,408686000,444623000,460074000,480235000,570740000,588811000,648447000,731651000,740844000,779463000,773408000,774944000,752007000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141722,- -,-2377,2000,- -,- -,- -,- -,- -,- -,- -,-375427000,- -,- -,- -,662000,931000,1158000,1628000,1931000,1794000,1742000,1449000,1221000,1193000,946000
70,Total Liabilities & Equity,21000000,30200000,29900000,29600000,34700000,36500000,36000000,32300000,32400000,37700000,38040246,52522988,57647555,82677900,85949000,128219000,132939000,179609000,259089000,284386000,329800000,422037000,31207000,429105000,408686000,444623000,460736000,481166000,571898000,590439000,650378000,733445000,742586000,780912000,774629000,776137000,752953000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712770/000091205796004583/0000912057-96-004583-index.html,https://www.sec.gov/Archives/edgar/data/712770/000071277097000002/0000712770-97-000002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712770/000071277001000003/0000712770-01-000003-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712770/000114420408015005/0001144204-08-015005-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000114420409013867/0001144204-09-013867-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000114420410013127/0001144204-10-013127-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746911002212/0001047469-11-002212-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746912002612/0001047469-12-002612-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746913002811/0001047469-13-002811-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746914002526/0001047469-14-002526-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746915002075/0001047469-15-002075-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746916011158/0001047469-16-011158-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746917001481/0001047469-17-001481-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746918001632/0001047469-18-001632-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746919001388/0001047469-19-001388-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000110465920033752/0001104659-20-033752-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000155837021002931/0001558370-21-002931-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000155837022003420/0001558370-22-003420-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1300000,2200000,5700000,2400000,2600000,2800000,3096302,2173952,2984192,6418398,4879000,7932000,4866000,5880000,8525000,10974000,21280000,36425000,10590000,4892000,19641000,9306000,13724000,32320000,17875000,22116000,20517000,24422000,24147000,20665000,18011000,27407000,38857000
74,Depreciation and Amortization,- -,- -,- -,- -,500000,700000,300000,100000,-200000,200000,479645,712591,1023345,1377875,1645000,2356000,2900000,2876000,3473000,4758000,5905000,7091000,8248000,8971000,9089000,8882000,9699000,9968000,11883000,14395000,15661000,17452000,20096000,22306000,21112000,22184000,22047000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,-900000,-4400000,-500000,4200000,1200000,-10300000,8700000,-11500000,6500000,-7300000,7500000,57743000,-38606000,-23287000,25712000,-35824000,13609000,26564000,-14716000,12834000,-12353000,6538000,-9826000,-13039000,14032000,2945000,7537000
78,Accounts Receivable,- -,- -,- -,- -,200000,-200000,-500000,200000,- -,-100000,-200000,600000,-200000,-500000,-100000,-422000,-153000,-362000,-478000,-848000,-1640000,-945000,-92000,- -,- -,- -,- -,-1469000,-1274000,-1757000,- -,- -,- -,- -,- -,-1722000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-1200000,100000,- -,-100000,- -,- -,- -,300000,-100000,-100000,100000,340000,131000,621000,760000,891000,132000,839000,-138000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-5300000,-5800000,-1600000,-400000,-10700000,-2000000,-13500000,-7000000,-14300000,-6800000,50943000,12337000,-10950000,14762000,-21062000,-7453000,19111000,4395000,17229000,4876000,11414000,1588000,-11451000,2581000,5526000,6759000
82,Other Non-Cash Items,- -,- -,- -,- -,800000,-100000,-4900000,-300000,- -,200000,653196,5745861,-530794,-6186860,-1885000,5884000,-9702000,11088000,-6892000,7931000,-19916000,-62332000,37652000,28861000,-32750000,36544000,-15230000,-46538000,11895000,-17542000,10091000,-17007000,10140000,12714000,-16923000,-17410000,-19880000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,600000,2800000,1100000,2200000,2500000,3200000,3329143,4232404,2976743,5809413,5839000,5872000,6764000,8344000,11606000,16363000,14769000,38927000,17884000,19437000,21692000,18908000,21802000,22314000,26937000,31803000,33916000,31405000,44557000,42646000,36232000,35126000,48561000
84,CAPEX,- -,- -,- -,- -,-9700000,-2000000,- -,- -,- -,-5500000,-3819323,-19940571,-10058389,-13171879,-11499000,-51994000,-152000,-25880000,-24327000,-49734000,-59427000,-79636000,-423000,-60009000,-576000,-38813000,-29414000,-12995000,-110446000,-14077000,-55288000,-81145000,-23801000,-60513000,-12640000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,20000000,1000000,1000000,- -,1000000,-1000000,- -,5000000,- -,-12000000,1000000,- -,1000000,- -,- -,- -
