,https://roic.ai/company/ATRI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,100000,- -,400000,500000,300000,- -,200000,200000,300000,200000,400000,- -,- -,- -,654000,223000,432000,195000,93000,61000,253000,251000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1000000,900000,900000,1100000,600000,500000,500000,500000,600000,1100000,2000000,2100000,1900000,3300000,4000000,4119000,4569000,4384000,4746000,4792000,5389000,5005000,5534000,6353000,7163000,7041000,6544000,7610000,8592000,8723000,8823000,8953000,8677000,9123000,10853000,11652000,12885000
15,EBITDA,9900000,10200000,5900000,5500000,-3300000,6500000,10700000,7600000,10400000,8700000,10500000,12700000,17800000,6200000,7000000,8488000,16349000,8808000,11877000,13644000,18299000,19595000,25786000,29626000,32747000,39029000,46019000,42685000,47857000,50744000,49693000,48219000,51017000,51159000,54021000,50119000,51314000
16,EBITDA ratio,0.0789,0.0783,0.0388,0.0337,-0.0204,0.0725,0.1141,0.0624,0.0874,0.1238,0.1306,0.0934,0.5875,0.1429,0.1403,0.1650,0.2838,0.1480,0.1891,0.2065,0.2538,0.2419,0.2912,0.3089,0.3254,0.3595,0.3910,0.3585,0.3626,0.3605,0.3410,0.3361,0.3480,0.3356,0.3484,0.3396,0.3110
17,Operating Income,8300000,8800000,6100000,4600000,-3700000,5000000,5300000,6500000,6200000,7100000,7800000,9300000,500000,1500000,3200000,4246000,5820000,5782000,6923000,8596000,12698000,14338000,20195000,22973000,25004000,30977000,38168000,33626000,37944000,40817000,42510000,39126000,41274000,41707000,40529000,35668000,36042000
18,Operating Income ratio,0.0662,0.0676,0.0401,0.0282,-0.0229,0.0558,0.0565,0.0534,0.0521,0.1010,0.0970,0.0684,0.0165,0.0346,0.0641,0.0825,0.1010,0.0971,0.1102,0.1301,0.1761,0.1770,0.2281,0.2396,0.2484,0.2853,0.3243,0.2824,0.2875,0.2900,0.2917,0.2727,0.2816,0.2736,0.2614,0.2417,0.2184
19,Total Other Income Expenses (Gains),600000,400000,-1100000,-600000,300000,700000,4500000,400000,2800000,200000,500000,900000,-3800000,700000,-400000,-660000,245000,-314000,-152000,-2000,114156000,-166000,-194000,290000,580000,1011000,1307000,1449000,1321000,1204000,-1640000,140000,1066000,329000,2639000,2799000,2387000
20,Income Before Tax,8900000,9200000,5000000,4000000,-3400000,5700000,9800000,6900000,9000000,7300000,8300000,10200000,-3300000,2200000,2800000,3586000,6065000,5468000,6771000,8594000,126854000,14172000,20001000,23263000,25584000,31988000,39475000,35075000,39265000,42021000,40870000,39266000,42340000,42036000,43168000,38467000,38429000
21,Income Before Tax Ratio,0.0710,0.0707,0.0329,0.0245,-0.0211,0.0636,0.1045,0.0567,0.0756,0.1038,0.1032,0.0750,-0.1089,0.0507,0.0561,0.0697,0.1053,0.0918,0.1078,0.1301,1.7597,0.1749,0.2259,0.2426,0.2542,0.2946,0.3354,0.2946,0.2975,0.2985,0.2804,0.2737,0.2888,0.2757,0.2784,0.2606,0.2329
22,Income Tax expense (Gain),3900000,4100000,2600000,1500000,700000,1800000,1900000,2200000,2200000,2600000,3000000,3700000,-1300000,700000,700000,923000,1803000,1403000,1879000,2289000,3891000,3572000,5995000,7596000,8741000,11036000,13437000,11446000,12683000,14213000,11945000,11685000,5747000,7781000,6407000,6352000,5374000
23,Net Income,5000000,5100000,2400000,2500000,-5100000,3900000,8300000,4700000,7400000,4700000,5300000,6500000,17200000,2200000,2300000,2792000,9754000,2589000,5057000,6470000,8958000,10765000,14006000,15667000,16843000,20952000,26038000,23629000,26582000,27808000,28925000,27581000,36593000,34255000,36761000,32115000,33055000
24,Net Income ratio,0.0399,0.0392,0.0158,0.0153,-0.0316,0.0435,0.0885,0.0386,0.0622,0.0669,0.0659,0.0478,0.5677,0.0507,0.0461,0.0543,0.1693,0.0435,0.0805,0.0979,0.1243,0.1329,0.1582,0.1634,0.1674,0.1930,0.2212,0.1985,0.2014,0.1976,0.1985,0.1922,0.2496,0.2247,0.2371,0.2176,0.2003
25,EPS,1.47,1.48,0.71,0.73,-1.49,1.15,2.67,1.49,2.32,1.48,1.68,2.03,5.33,0.67,0.88,1.36,4.80,1.51,2.96,3.78,4.99,5.82,7.42,8.03,8.51,10.38,12.90,11.72,13.22,14.20,15.67,15.12,19.82,18.49,19.82,17.49,18.00
26,EPS Diluted,1.47,1.48,0.71,0.73,-1.49,1.15,2.67,1.49,2.32,1.48,1.68,2.03,5.33,0.67,0.87,1.31,4.30,1.39,2.75,3.50,4.66,5.51,7.06,7.82,8.36,10.32,12.82,11.66,13.18,14.08,15.47,14.85,19.71,18.44,19.73,17.44,17.95
27,Weighted Average Shares Outstanding,3401361,3445946,3380282,3424658,3422819,3391304,3108614,3154362,3189655,3169500,3175500,3189000,3224000,3203000,2593000,2047000,2033000,1711000,1711000,1711000,1794000,1851000,1887000,1952000,1979000,2018000,2019000,2016000,2010000,1958000,1846000,1824000,1846000,1853000,1855000,1836000,1836000
28,Weighted Average Shares Outstanding Diluted,3401361,3445946,3380282,3424658,3422819,3391304,3108614,3154362,3189655,3169500,3175500,3189000,3224000,3210000,2631000,2135000,2272000,1863000,1839000,1850000,1924000,1953000,1985000,2004000,2015000,2030000,2031000,2027000,2017000,1975000,1870000,1857000,1857000,1858000,1863000,1841000,1841000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/0000950144-96-001451-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/000089155402001485/0000891554-02-001485-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/000114036108006638/form10k.htm,https://www.sec.gov/Archives/edgar/data/701288/000110262409000112/0001102624-09-000112-index.html,https://www.sec.gov/Archives/edgar/data/701288/000110262410000109/0001102624-10-000109-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752311001534/a6641937.htm,https://www.sec.gov/Archives/edgar/data/701288/000115752312001352/0001157523-12-001352-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752313001345/0001157523-13-001345-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752314001075/a50819068.htm,- -,https://www.sec.gov/Archives/edgar/data/701288/000135448816006512/0001354488-16-006512-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495417001933/0001654954-17-001933-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495418001936/0001654954-18-001936-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495419002002/0001654954-19-002002-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495420002158/0001654954-20-002158-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495421002137/0001654954-21-002137-index.htm,https://www.sec.gov/Archives/edgar/data/701288/000165495422002094/0001654954-22-002094-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10200000,10900000,6700000,10200000,300000,2500000,5500000,2100000,8800000,400000,2800000,100000,32200000,5600000,100000,159000,542000,353000,298000,255000,525000,333000,3531000,12056000,20694000,10670000,24590000,7999000,28559000,20775000,28346000,20022000,30136000,58753000,45048000,22450000,32264000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4692000,4230000,10715000,20279000,8182000,18351000,3084000,44000,24080000,35468000,9684000,23766000,19258000,29059000
33,Cash and Short-Term Investments,10200000,10900000,6700000,10200000,300000,2500000,5500000,2100000,8800000,400000,2800000,100000,32200000,5600000,100000,159000,542000,353000,298000,255000,525000,333000,3531000,16748000,24924000,21385000,44869000,16181000,46910000,23859000,28390000,44102000,65604000,68437000,68814000,41708000,61323000
34,Net Receivables,18700000,27900000,22200000,17800000,12300000,12600000,14700000,20200000,13600000,10600000,13900000,19200000,2900000,7300000,8500000,7175000,7559000,6721000,6226000,7588000,8291000,10542000,9601000,10875000,11026000,11521000,11223000,13054000,14164000,16962000,16620000,17166000,17076000,17014000,18886000,16445000,21023000
35,Inventory,1900000,1900000,1300000,1500000,300000,400000,400000,500000,500000,1300000,1400000,4000000,4000000,8600000,9100000,10110000,11114000,10311000,11314000,14013000,17705000,17115000,17387000,20169000,18675000,17400000,24582000,23779000,26266000,28022000,29771000,29015000,29354000,33572000,42093000,50298000,50778000
36,Other Current Assets,4400000,3800000,2900000,600000,18100000,1000000,500000,400000,600000,400000,300000,1000000,300000,1300000,1000000,752000,1463000,3291000,2654000,5817000,1452000,2668000,2090000,1315000,1577000,1675000,3068000,3733000,2979000,5293000,3514000,3832000,3199000,3242000,2545000,3868000,3447000
37,Total Current Assets,35200000,44500000,33100000,30100000,31000000,16500000,21100000,23200000,23500000,12700000,18400000,24300000,39400000,22800000,18700000,18196000,20678000,20676000,20492000,27673000,27973000,30658000,32609000,49107000,56202000,51981000,83742000,56747000,90319000,74136000,78295000,94115000,115233000,122265000,132338000,112319000,136571000
38,PP&E,8000000,8000000,9600000,7400000,10100000,12100000,10900000,13200000,13200000,18000000,19700000,25400000,13100000,17400000,26400000,26070000,25378000,24450000,24189000,25331000,35254000,51442000,54050000,53370000,53141000,50664000,56370000,59268000,58328000,62516000,63314000,65265000,66369000,74893000,84606000,94935000,97972000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000,9730000
40,Intangible Assets,2100000,4400000,5800000,5500000,- -,- -,- -,- -,- -,8700000,8200000,11300000,5800000,17600000,16700000,15815000,14923000,12133000,11829000,11444000,12061000,2264000,2011000,1863000,1520000,1249000,999000,837000,2808000,2538000,2193000,1929000,1778000,1659000,1539000,1421000,1302000
41,Intangible Assets,2100000,4400000,5800000,5500000,- -,- -,- -,- -,- -,8700000,8200000,11300000,5800000,17600000,16700000,15815000,14923000,12133000,11829000,11444000,12061000,11994000,11741000,11593000,11250000,10979000,10729000,10567000,12538000,12268000,11923000,11659000,11508000,11389000,11269000,11151000,11032000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11477000,20291000,10336000,28433000,10069000,21760000,9866000,9945000,9136000,21048000,31772000,46207000,19423000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4400000,6700000,5800000,15500000,7000000,9900000,12900000,6400000,6000000,4300000,2200000,2300000,2600000,2600000,2800000,3609000,3308000,3548000,3540000,2960000,3182000,1678000,913000,1283000,679000,737000,718000,795000,812000,834000,938000,1609000,1534000,1621000,2046000,2278000,2266000
45,Total Non-Current Assets,14500000,19100000,21200000,28400000,17100000,22000000,23800000,19600000,19200000,31000000,30100000,39000000,21500000,37600000,45900000,45494000,43609000,40131000,39558000,39735000,50497000,65114000,66704000,66246000,76547000,82671000,78153000,99063000,81747000,97378000,86041000,88478000,88547000,108951000,129693000,154571000,130693000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49700000,63600000,54300000,58500000,48100000,38500000,44900000,42800000,42700000,43700000,48500000,63300000,60900000,60400000,64600000,63690000,64287000,60807000,60050000,67408000,78470000,95772000,99313000,115353000,132749000,134652000,161895000,155810000,172066000,171514000,164336000,182593000,203780000,231216000,262031000,266890000,267264000
48,Accounts Payable,- -,- -,- -,- -,- -,17100000,14800000,16000000,14000000,10000000,12600000,17700000,5000000,3900000,3900000,4518000,5337000,5030000,6038000,3788000,4501000,3387000,3533000,2438000,2529000,2550000,3642000,3843000,4088000,4529000,3926000,4028000,3929000,5082000,5707000,6635000,7146000
49,Short-Term Debt,600000,4200000,4200000,4200000,800000,- -,- -,- -,- -,200000,200000,700000,500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000,853000,457000,329000,410000,746000,619000,419000,436000,270000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10768000,- -
52,Other Current Liabilities,22000000,33000000,24500000,23200000,17100000,500000,3500000,100000,600000,600000,600000,400000,300000,- -,- -,187000,109000,859000,651000,4679000,3725000,3536000,3331000,3775000,4153000,5202000,6401000,3365000,5276000,5407000,5390000,5045000,5693000,5138000,5567000,-3767000,6200000
53,Total Current Liabilities,22600000,37200000,28700000,27400000,17900000,17600000,18300000,16100000,14600000,10800000,13400000,18800000,5800000,4100000,3900000,4705000,5446000,5889000,6689000,8467000,8226000,6923000,6864000,6213000,6682000,7752000,10043000,7208000,9364000,9936000,9316000,9073000,9622000,10220000,11274000,13636000,13346000
54,Long-Term Debt,1200000,800000,600000,1100000,9800000,- -,- -,- -,- -,2700000,1600000,6300000,200000,- -,10400000,7400000,17125000,10337000,4287000,2936000,2529000,11399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,600000,200000,1800000,1900000,2700000,2800000,500000,1400000,1400000,1300000,1600000,2300000,- -,5800000,6400000,6470000,1576000,2115000,3496000,4263000,4344000,5074000,5896000,6956000,7850000,8188000,10902000,12232000,12062000,11129000,9989000,9404000,7312000,6687000,8496000,10768000,7082000
57,Other Non-Current Liabilities,900000,1000000,800000,5700000,5500000,6800000,8600000,5400000,1800000,1800000,1900000,1500000,4900000,1100000,1300000,1101000,965000,775000,974000,1139000,1476000,1481000,1111000,1342000,1486000,2095000,2436000,1542000,1646000,879000,933000,1128000,2458000,3542000,4391000,2044000,2540000
58,Total Non-Current Liabilities,2700000,2000000,3200000,8700000,18000000,9600000,9100000,6800000,3200000,5800000,5100000,10100000,5100000,6900000,18100000,14971000,19666000,13227000,8757000,8338000,8349000,17954000,7007000,8298000,9336000,10283000,13338000,13774000,13708000,12008000,10922000,10532000,9770000,10229000,12887000,12812000,9622000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,25300000,39200000,31900000,36100000,35900000,27200000,27400000,22900000,17800000,16600000,18500000,28900000,10900000,11000000,22000000,19676000,25112000,19116000,15446000,16805000,16575000,24877000,13871000,14511000,16018000,18035000,23381000,20982000,23072000,21944000,20238000,19605000,19392000,20449000,24161000,26448000,22968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000
64,Retained Earnings,18200000,18300000,16300000,16300000,6100000,7500000,13600000,15800000,202600000,22700000,25500000,29500000,44700000,46800000,49100000,51906000,61660000,64249000,68900000,74479000,82318000,91708000,104021000,117554000,131769000,131286000,153618000,152630000,174362000,196706000,219516000,239946000,268194000,291761000,317745000,337700000,357324000
65,Other Comprehensive Income/Loss,-14500000,-15400000,-16300000,-16800000,-17200000,-14500000,-14100000,-14300000,-14500000,-15100000,-15700000,-16900000,-2500000,-4900000,-8000000,-11225000,-14488000,-18211000,-21578000,-25071000,-27787000,-892000,-486000,-533000,- -,-53125000,-58605000,-64912000,-72176000,-245000,283000,-474000,-1215000,-106689000,- -,- -,- -
66,Other Total Stockholders Equity,20700000,21500000,22400000,22900000,23300000,18300000,18000000,18400000,- -,19500000,20200000,21800000,7800000,7500000,1200000,2991000,- -,-4689000,-3060000,853000,7022000,-20263000,-18435000,-16521000,-15380000,38114000,43159000,46768000,46466000,- -,-76043000,-76826000,-82933000,25353000,-80217000,-97600000,- -
67,Total Stockholders Equity,24400000,24400000,22400000,22400000,12200000,11300000,17500000,19900000,24900000,27100000,30000000,34400000,50000000,49400000,42600000,44014000,39175000,41691000,44604000,50603000,61895000,70895000,85442000,100842000,116731000,116617000,138514000,134828000,148994000,149570000,144098000,162988000,184388000,210767000,237870000,240442000,244296000
68,Total Liabilities And Stockholders Equity,49700000,63600000,54300000,58500000,48100000,38500000,44900000,42800000,42700000,43700000,48500000,63300000,60900000,60400000,64600000,63690000,64287000,60807000,60050000,67408000,78470000,95772000,99313000,115353000,132749000,134652000,161895000,155810000,172066000,171514000,164336000,182593000,203780000,231216000,262031000,266890000,267264000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49700000,63600000,54300000,58500000,48100000,38500000,44900000,42800000,42700000,43700000,48500000,63300000,60900000,60400000,64600000,63690000,64287000,60807000,60050000,67408000,78470000,95772000,99313000,115353000,132749000,134652000,161895000,155810000,172066000,171514000,164336000,182593000,203780000,231216000,262031000,266890000,267264000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/0000950144-96-001451-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/000089155402001485/0000891554-02-001485-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/000114036108006638/form10k.htm,https://www.sec.gov/Archives/edgar/data/701288/000110262409000112/0001102624-09-000112-index.html,https://www.sec.gov/Archives/edgar/data/701288/000110262410000109/0001102624-10-000109-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752311001534/a6641937.htm,https://www.sec.gov/Archives/edgar/data/701288/000115752312001352/0001157523-12-001352-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752313001345/0001157523-13-001345-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752314001075/a50819068.htm,- -,https://www.sec.gov/Archives/edgar/data/701288/000135448816006512/0001354488-16-006512-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495417001933/0001654954-17-001933-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495418001936/0001654954-18-001936-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495419002002/0001654954-19-002002-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495420002158/0001654954-20-002158-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495421002137/0001654954-21-002137-index.htm,https://www.sec.gov/Archives/edgar/data/701288/000165495422002094/0001654954-22-002094-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5000000,5100000,- -,2500000,-5100000,3900000,8300000,4700000,7400000,4700000,5300000,6500000,17200000,2200000,2300000,2792000,9754000,2589000,5057000,6470000,8958000,10765000,14006000,15667000,16843000,20952000,26038000,23629000,26582000,27808000,28925000,27581000,36593000,34255000,36761000,32115000,33055000
74,Depreciation and Amortization,1000000,900000,- -,1100000,600000,500000,500000,500000,600000,1100000,2000000,2100000,1900000,3300000,4000000,4119000,4569000,4384000,4746000,4792000,5389000,5005000,5534000,6353000,7163000,7041000,6544000,7610000,8592000,8723000,8823000,8953000,8677000,9123000,10853000,11652000,12885000
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,-2400000,1000000,- -,-100000,300000,800000,-1900000,1500000,600000,77000,316000,366000,1639000,487000,500000,693000,1134000,1096000,608000,309000,2584000,1462000,-923000,2000,-1431000,-247000,-1374000,-625000,1809000,2282000,-3686000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,668000,606000,1047000,1482000,1586000,2209000,1841000,1566000,1602000,1659000,1682000,1731000,2312000
77,Change in Working Capital,- -,-2900000,- -,-1700000,10400000,-14200000,3900000,4300000,1800000,-7000000,3100000,500000,28100000,-14900000,-3900000,-1309000,1741000,-445000,-984000,5403000,541000,3988000,2010000,17149000,6626000,-5291000,29470000,-24160000,31416000,-16755000,4779000,16063000,20569000,6434000,9019000,-22381000,-4950000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151000,-495000,298000,-1831000,-1110000,-2798000,371000,-546000,88000,62000,-1872000,2438000,-4579000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1700000,- -,- -,- -,803000,-1003000,-2698000,-3692000,590000,-271000,-2782000,1494000,1275000,-7182000,803000,-2487000,-1756000,-1749000,756000,-339000,-4218000,-8521000,-8205000,-480000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2465000,1768000,968000,-492000,-324000,213000,725000,1254000,2095000,-656000
81,Other Working Capital,7300000,4400000,- -,2700000,13100000,-1100000,2800000,7100000,8900000,1900000,5000000,5500000,33600000,18700000,14800000,13491000,15232000,14787000,13803000,19206000,19747000,23735000,25745000,42894000,49520000,44229000,73699000,49539000,80955000,64200000,68979000,85042000,105611000,112045000,121064000,98683000,- -
82,Other Non-Cash Items,-6000000,-3100000,- -,-1900000,-5900000,20600000,-6600000,-8800000,-100000,7100000,-1700000,-1400000,-42000000,9800000,2400000,1691000,-7511000,3139000,2411000,-5963000,-5329000,-7638000,21000,-20778000,-3509000,7624000,-34967000,19346000,-30677000,9236000,-2510000,-16513000,-19030000,-7610000,-17659000,13821000,-818000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,10900000,3700000,1700000,9700000,5800000,9000000,8500000,3300000,1900000,5400000,7370000,8869000,10033000,12869000,11189000,10059000,12813000,22705000,19487000,28399000,31241000,30716000,29369000,36576000,31223000,40427000,37403000,47037000,43236000,42465000,39220000,38798000
