,https://roic.ai/company/AGRO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,328182000,389806000,512018000,617749000,620800000,752000000,835310000,971209000,- -,1213736000,971209000,1213736000,1533038000,1518512000,1534571000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,476125000,628188000,697289000,120000000,1106800000,183300000,183573000,183573000,- -,183573000,183573000,183573000,183573000,183573000,183573000
64,Retained Earnings,64661000,45327000,45062000,257000,57500000,67600000,48795000,106209000,- -,237188000,106209000,237188000,206669000,8671000,115735000
65,Other Comprehensive Income/Loss,21512000,-89774000,2567000,11273000,-99202000,-183278000,-327750000,-413360000,-663470000,-523089000,-524662000,-265078000,-311120000,-177183000,-137813000
66,Other Total Stockholders Equity,5376000,9278000,12158000,577002000,14778000,958356000,949686000,886374000,542730000,766419000,874594000,907953000,909147000,909980000,850224000
67,Total Stockholders Equity,567674000,593019000,757076000,708532000,1079876000,1025978000,854304000,762796000,535395000,664091000,639714000,1063636000,988269000,925041000,1011719000
68,Total Liabilities And Stockholders Equity,895856000,982825000,1269094000,1326281000,1700676000,1777978000,1689614000,1734005000,- -,1877827000,1610923000,2277372000,2521307000,2443553000,2546290000
69,Minority Interest,49191000,45409000,80000,14570000,24000,22000,-334220000,-88916000,- -,399545000,34166000,- -,- -,38683000,36111000
70,Total Liabilities & Equity,945047000,1028234000,1269174000,1340851000,1700700000,1778000000,1355394000,1645089000,- -,2277372000,1645089000,2277372000,2521307000,2482236000,2582401000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499505/000119312512192183/0001193125-12-192183-index.htm,https://www.sec.gov/Archives/edgar/data/1499505/000119312513181965/0001193125-13-181965-index.htm,https://www.sec.gov/Archives/edgar/data/1499505/000119312514171434/0001193125-14-171434-index.htm,https://www.sec.gov/Archives/edgar/data/1499505/000156761915000620/s000878x1_20f.htm,https://www.sec.gov/Archives/edgar/data/1499505/000167276416000005/t1601026_20f.htm,https://www.sec.gov/Archives/edgar/data/1499505/000167276417000046/t1701194_20f.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828018005268/agro1231201720-ffinal.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828019004963/agro1231201820-ffinal.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828020005757/agro1231201920-ffinal.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828021004542/0001628280-21-004542-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,29170000,-19334000,-260000,-43904000,86241000,-1593000,-46151000,11116000,-5593000,11568000,13198000,-24622000,-772000,412000,130717000
74,Depreciation and Amortization,9357000,28314000,30356000,37563000,34100000,54500000,69400000,137674000,104401000,127500000,151007000,154254000,219607000,182692000,218127000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12325000,43837000
76,Stock Based Compensation,- -,- -,- -,- -,214000,218000,99000,839000,1259000,380000,39000,- -,- -,4316000,6406000
77,Change in Working Capital,-53221000,-39181000,-28222000,11036000,-39512000,-29019000,-27633000,-49089000,1378000,-51502000,18697000,-18677000,-15600000,-85161000,-161840000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-23158000,-3289000,3442000,2259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40455000,-102815000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-13465000,-21795000,-17111000,7528000,333633000,214065000,272121000,114137000,148953000,235683000,407044000,382988000,284666000,5614000,-29245000
82,Other Non-Cash Items,-53347000,-22252000,-88173000,22243000,-24443000,43694000,106385000,19611000,43741000,167455000,54164000,107558000,118875000,142541000,111415000
83,Cash Provided by Operating Activities,-68041000,-52453000,-86299000,26938000,56600000,67800000,102100000,120151000,145186000,255401000,237105000,218513000,322110000,257125000,348662000
84,CAPEX,-130315000,-186296000,-98132000,-87712000,-90422000,-218770000,-128726000,-207712000,-97752000,-134105000,-198550000,-207069000,-252450000,-169651000,-213005000
85,Acquisitions Net,-127469000,- -,- -,-2397000,-17964000,7208000,7914000,-54000,- -,3423000,- -,31511000,683000,10149000,10010000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10879000,28807000,24238000,-21616000,-32107000,-88653000,-45824000,-105688000,-36027000,8668000,10215000,636000,3057000,36464000,14064000
89,Cash Used for Investing Activites,-246905000,-157489000,-73894000,-111725000,-140493000,-300215000,-166636000,-313454000,-133779000,-122014000,-188335000,-174922000,-248710000,-121916000,-175221000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49081000,-308626000,-502229000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-5100000,-12992000,-320000,-4772000,-38367000,-15725000,-4263000,-4365000,-66463000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,292353000,213200000,156047000,79828000,360792000,133508000,109771000,86281000,92733000,-176910000,108561000,-5129000,15481000,259072000,265559000
95,Cash Used/Provided by Financing Activities,292353000,213200000,156047000,79828000,360792000,133508000,104671000,73289000,92413000,-181682000,70194000,-20854000,-37863000,-53919000,-303133000
96,Effect of Forex Changes on Cash,-12911000,19416000,-14408000,423000,-16608000,-12853000,-31877000,-11320000,-27449000,7969000,-8337000,-18297000,-18896000,-35284000,-6824000
97,Net Change In Cash,-35504000,22674000,-18554000,-4537000,260300000,-111700000,13300000,-118352000,85099000,-40326000,110627000,4440000,16641000,46006000,-136516000
98,Cash at the End of Period,70686000,93360000,74806000,70269000,292100000,127200000,151300000,47010000,384758000,145538000,387553000,122798000,214185000,336282000,199766000
99,Cash at the Beginning of Period,106190000,70686000,93360000,74806000,31800000,238900000,138000000,165362000,299659000,185864000,276926000,118358000,197544000,290276000,336282000
100,Free Cash Flow,-198356000,-238749000,-184431000,-60774000,-97100000,-233900000,-124500000,-187675000,2213000,120078000,34720000,2417000,56093000,87474000,135657000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499505/000119312512192183/0001193125-12-192183-index.htm,https://www.sec.gov/Archives/edgar/data/1499505/000119312513181965/0001193125-13-181965-index.htm,https://www.sec.gov/Archives/edgar/data/1499505/000119312514171434/0001193125-14-171434-index.htm,https://www.sec.gov/Archives/edgar/data/1499505/000156761915000620/s000878x1_20f.htm,https://www.sec.gov/Archives/edgar/data/1499505/000167276416000005/t1601026_20f.htm,https://www.sec.gov/Archives/edgar/data/1499505/000167276417000046/t1701194_20f.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828018005268/agro1231201720-ffinal.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828019004963/agro1231201820-ffinal.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828020005757/agro1231201920-ffinal.htm,https://www.sec.gov/Archives/edgar/data/1499505/000162828021004542/0001628280-21-004542-index.htm,- -
102,false,,,,,,,,,,,,,,,
