,https://roic.ai/company/AVHI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,119200000,132300000,109900000,97200000,91000000,92200000,86300000,100900000,138800000,8756000,10349000,11900000,11027000,10456000,13560000,14938000,19673000,27142000,36306000,25387000,22388000,19694000,20508000,17502000,16148000,15975000,15941000,79586000,100219000,106391000,- -,- -,- -,182920
11,COGS and Expenses,119200000,132300000,109900000,97200000,91000000,92200000,86300000,100900000,138800000,143290000,118443000,183539000,148995000,153621000,179176000,236595000,312186000,447017000,576134000,256504000,155426000,106444000,88728000,119002000,127269000,149289000,282142000,496649000,738068000,805518000,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,5463000,8155000,7285000,6010000,3363000,1285000,1222000,1419000,3363000,8144000,2453000,657000,580000,309000,127000,2148000,447000,154000,16000,1063000,- -,- -,- -,- -
13,Interest Expense (Gain),15000000,18400000,20000000,19200000,18500000,15700000,11200000,11600000,12900000,12668000,12759000,8744000,6429000,4378000,3857000,1977000,1539000,475000,- -,172000,2993000,6857000,5531000,9516000,7973000,2830000,5805000,9039000,3667000,10618000,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,11520000,3672000,3313000,3753000,5549000,5399000,4381000,7150000,8127000,21240000,7481000,8466000,5246000,4794000,3762000,4405000,2804000,3267000,3693000,6368000,6897000,- -,- -,- -,- -
15,EBITDA,34700000,19900000,37500000,6900000,11800000,33400000,-3400000,1300000,13900000,-2801000,-6354000,99644000,18957000,14889000,17149000,16267000,51168000,101719000,279992000,42333000,-126572000,-49740000,-25158000,-152130000,-77857000,-3843000,7140000,25118000,47621000,35847000,- -,- -,- -,- -
16,EBITDA ratio,0.2255,0.1307,0.2542,0.0663,0.1122,0.2649,-0.0411,0.0127,0.0910,-0.0217,-0.0560,0.5225,0.1155,0.0914,0.0901,0.0643,0.1517,0.1968,0.3353,0.1453,-1.1300,-0.6767,-0.4296,-1.7156,-0.7252,-0.0271,0.0250,0.0485,0.0611,0.0425,- -,- -,- -,- -
17,Operating Income,34700000,19900000,37600000,6900000,14200000,33900000,-3500000,1300000,13900000,-14206000,-4961000,7151000,15204000,9340000,11075000,16413000,25213000,69831000,258945000,34912000,-43415000,-32943000,-30170000,-30329000,-19909000,-7737000,3771000,21117000,41237000,37735000,- -,- -,- -,- -
18,Operating Income ratio,0.2255,0.1307,0.2549,0.0663,0.1350,0.2688,-0.0423,0.0127,0.0910,-0.1101,-0.0437,0.0375,0.0926,0.0573,0.0582,0.0649,0.0747,0.1351,0.3101,0.1198,-0.3876,-0.4482,-0.5152,-0.3420,-0.1854,-0.0547,0.0132,0.0408,0.0529,0.0447,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-15000000,-18400000,-20100000,-19200000,- -,-15600000,- -,- -,- -,71000,- -,-8744000,-6429000,-4378000,-5434000,-6504000,13379000,17358000,-193000,-232000,-94616000,-28900000,-5887000,-135375000,-67774000,-535000,-5374000,-8731000,-3651000,-19403000,- -,- -,- -,- -
20,Income Before Tax,19700000,1500000,17500000,-12300000,- -,18300000,- -,- -,- -,- -,- -,-1593000,8775000,4962000,5641000,9909000,38592000,87189000,258752000,34680000,-138031000,-61843000,-36057000,-165704000,-87683000,-8272000,-1603000,12386000,37586000,18332000,- -,- -,- -,7375422
21,Income Before Tax Ratio,0.1280,0.0099,0.1186,-0.1182,- -,0.1451,- -,- -,- -,- -,- -,-0.0084,0.0534,0.0304,0.0297,0.0392,0.1144,0.1687,0.3099,0.1190,-1.2323,-0.8414,-0.6157,-1.8687,-0.8167,-0.0584,-0.0056,0.0239,0.0482,0.0217,- -,- -,- -,Infinity
22,Income Tax expense (Gain),7800000,900000,6400000,-3700000,- -,12800000,- -,- -,- -,- -,- -,-563000,-539000,1952000,2266000,-8554000,12920000,29990000,84026000,13297000,-30806000,-32860000,-375000,473000,- -,- -,- -,436000,-109521000,40268000,- -,- -,- -,- -
23,Net Income,11900000,600000,11100000,-8600000,-6700000,4900000,-14600000,-10300000,1000000,-26989000,-22785000,88150000,9314000,3010000,5627000,18463000,29559000,63127000,174726000,21383000,-107225000,-28983000,-35108000,-165881000,-90235000,-9477000,-1932000,11950000,147107000,-21936000,- -,- -,- -,7375422
24,Net Income ratio,0.0773,0.0039,0.0753,-0.0826,-0.0637,0.0389,-0.1763,-0.1008,0.0065,-0.2091,-0.2008,0.4623,0.0567,0.0185,0.0296,0.0730,0.0876,0.1221,0.2092,0.0734,-0.9573,-0.3943,-0.5995,-1.8707,-0.8405,-0.0670,-0.0068,0.0231,0.1888,-0.0260,- -,- -,- -,Infinity
25,EPS,1.43,0.08,1.41,-1.17,-0.91,0.50,-1.61,-1.14,0.11,-2.96,-2.48,9.64,1.11,0.36,0.64,2.13,3.49,7.83,21.33,2.57,-12.54,-3.11,-3.07,-13.33,-7.19,-0.76,-0.09,0.54,6.58,-0.98,- -,- -,- -,0.33
26,EPS Diluted,1.42,0.08,1.41,-1.17,-0.91,0.50,-1.60,-1.14,0.11,-2.96,-2.48,9.63,1.06,0.36,0.64,2.11,3.10,6.28,16.59,2.22,-12.54,-3.11,-3.07,-13.33,-7.19,-0.76,-0.09,0.54,5.66,-0.98,- -,- -,- -,0.33
27,Weighted Average Shares Outstanding,8321678,7500000,7872340,7350427,7362637,9800000,9068323,9035088,9090909,9117905,9187500,9144191,8390991,8361111,8792188,8668075,8469628,8062197,8191561,8320233,8553433,9306442,11455466,12448423,12557416,12557416,21466667,22010201,22346000,22493000,- -,- -,- -,22493000
28,Weighted Average Shares Outstanding Diluted,8380282,7500000,7872340,7350427,7362637,9800000,9104478,9035088,9090909,9117905,9187500,9157818,8784615,8453333,8792188,8750237,9535161,10052070,10532007,9631982,8553433,9306442,11455466,12448423,12557416,12557416,21466667,22130384,26509000,22493000,- -,- -,- -,22493000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39677/000095014403003891/0000950144-03-003891-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014404002300/0000950144-04-002300-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014405002588/0000950144-05-002588-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014406002262/0000950144-06-002262-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014407002309/0000950144-07-002309-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014408001989/0000950144-08-001989-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014409002245/0000950144-09-002245-index.html,https://www.sec.gov/Archives/edgar/data/39677/000095012310025239/0000950123-10-025239-index.html,https://www.sec.gov/Archives/edgar/data/39677/000114036111017183/0001140361-11-017183-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000114036112017338/0001140361-12-017338-index.html,https://www.sec.gov/Archives/edgar/data/39677/000114036113012642/0001140361-13-012642-index.html,https://www.sec.gov/Archives/edgar/data/39677/000144530514001069/0001445305-14-001069-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000162828015001189/0001628280-15-001189-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000162828016012298/0001628280-16-012298-index.html,https://www.sec.gov/Archives/edgar/data/39677/000155837017000996/0001558370-17-000996-index.html,https://www.sec.gov/Archives/edgar/data/39677/000155837018001034/0001558370-18-001034-index.html,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1844507/000119312522088251/0001193125-22-088251-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,4085000,32521000,143259000,49161000,111773000,118839000,24600000,28489000,38479000,203760000,192258000,175396000,217132000,115502000,124316000,79815000,144727000,180334000,46898000,67792000,240990000,- -,- -,- -,771
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15547000,69966000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4085000,32521000,158806000,119127000,111773000,118839000,24600000,28489000,38479000,203760000,192258000,175396000,217132000,115502000,124316000,79815000,144727000,180334000,46898000,67792000,240990000,- -,- -,- -,771
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,30505000,17994000,11013000,11435000,7625000,6846000,14131000,22942000,29865000,13863000,7269000,24647000,41674000,8200000,9022000,8023000,3893000,2906000,7178000,10827000,13702000,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,161161000,170555000,157473000,171906000,175058000,197621000,235538000,331493000,417629000,456549000,389457000,- -,264236000,326710000,180067000,171020000,240078000,383184000,582531000,584408000,603851000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4690000,5232000,3552000,869000,1010000,1073000,2191000,25189000,20005000,13703000,21260000,316232000,699000,8422000,7872000,4706000,3956000,16447000,26948000,1231000,1165000,- -,- -,- -,228
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,200441000,226302000,330844000,303337000,295466000,324379000,276460000,408113000,505978000,687875000,610244000,516275000,523741000,458834000,321277000,263564000,392654000,582871000,663555000,664258000,859708000,- -,- -,- -,1000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,188602000,26366000,41384000,51764000,50833000,48148000,53542000,48124000,34829000,47032000,88295000,68795000,48010000,45514000,37976000,36661000,37844000,36922000,34973000,33680000,32664000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17215000,- -,- -,- -,6071000,19295000,19285000,30290000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17215000,- -,- -,- -,6071000,19295000,19285000,30290000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5321000,5194000,845000,1220000,1230000,17991000,1172000,1172000,- -,- -,- -,- -,101502
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4133000,1412000,3728000,4751000,7776000,3536000,3823000,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,110257000,70365000,- -,- -,- -,- -
44,Other Non-Current Assets,478800000,525600000,557100000,572900000,474400000,461500000,446600000,470600000,443200000,50325000,220323000,14774000,12679000,20773000,8789000,24941000,48341000,81780000,16070000,8002000,5790000,17647000,18694000,48958000,36426000,35000000,25031000,17144000,11581000,17117000,- -,- -,- -,180
45,Total Non-Current Assets,478800000,525600000,557100000,572900000,474400000,461500000,446600000,470600000,443200000,238927000,246689000,60291000,65855000,75334000,61688000,86259000,100001000,120432000,63197000,96297000,74585000,70978000,86617000,87779000,74307000,74074000,86015000,72584000,175975000,150436000,- -,- -,- -,101682
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,478800000,525600000,557100000,572900000,474400000,461500000,446600000,470600000,443200000,439368000,472991000,391135000,369192000,370800000,386067000,362719000,508114000,626410000,751072000,706541000,590860000,594719000,545451000,409056000,337871000,466728000,668886000,736139000,840233000,1010144000,- -,- -,- -,102682
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,6081000,3385000,8997000,2414000,3589000,751000,2801000,15313000,16526000,22053000,3882000,1484000,2014000,3743000,3357000,4656000,9757000,16087000,33606000,37387000,35810000,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2874000,2557000,1611000,1985000,2323000,4966000,8629000,9979000,9507000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,55585000,54019000,50488000,30611000,28727000,36831000,35954000,61799000,99884000,62045000,23503000,12288000,25710000,6929000,9996000,12978000,14280000,28134000,71377000,34298000,29193000,- -,- -,- -,204
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,61666000,57404000,59485000,33025000,32316000,37582000,38755000,77112000,116410000,84098000,27385000,13772000,30598000,13229000,14964000,19619000,26360000,49187000,113612000,81664000,74510000,- -,- -,- -,204
54,Long-Term Debt,155700000,212700000,229500000,255900000,194400000,135600000,141000000,172600000,149000000,146451000,157553000,119468000,114860000,109031000,107712000,19771000,139384000,144107000,136925000,130766000,134991000,119002000,77057000,105402000,105402000,105402000,299956000,320846000,275660000,472108000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,178500000,165900000,167700000,165800000,121100000,133400000,127700000,130500000,125600000,88941000,145777000,18605000,18320000,18375000,19181000,40544000,37383000,53001000,24693000,20687000,20468000,- -,24676000,34044000,32974000,33232000,33003000,- -,32102000,31556000,- -,- -,- -,5854
58,Total Non-Current Liabilities,334200000,378600000,397200000,421700000,315500000,269000000,268700000,303100000,274600000,235392000,303330000,138073000,133180000,127406000,126893000,60315000,176767000,197108000,161618000,151453000,155459000,119002000,101733000,139446000,138376000,138634000,332959000,320846000,307762000,503664000,- -,- -,- -,5854
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,334200000,378600000,397200000,421700000,315500000,269000000,268700000,303100000,274600000,297058000,360734000,197558000,166205000,159722000,164475000,99070000,253879000,313518000,245716000,178838000,169231000,149600000,114962000,154410000,157995000,164994000,382146000,434458000,389426000,578174000,- -,- -,- -,6058
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,9170000,9170000,9170000,9170000,9360000,9553000,10541000,10581000,10711000,10726000,11077000,11488000,14014000,15563000,14195000,12938000,22097000,22183000,22444000,22624000,22475000,- -,- -,- -,101500
64,Retained Earnings,24100000,24700000,35800000,27200000,20500000,25400000,10700000,400000,1400000,-25550000,-48335000,39815000,49129000,52139000,57766000,76229000,105788000,168915000,343641000,365024000,257799000,222928000,187820000,2973000,-106110000,-127481000,-129413000,-117463000,29644000,7655000,- -,- -,- -,-4876
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97888000,-18366000,-25010000,-25449000,-28975000,-24143000,-23300000,-8013000,-6583000,-21947000,-25105000,-28156000,-31045000,-34023000,-31785000,-30148000,-33899000,-37224000,-37953000,-40345000,-43282000,- -,- -,- -,- -
66,Other Total Stockholders Equity,120500000,122300000,124100000,124000000,138400000,167100000,167200000,167100000,167200000,256578000,169788000,169602000,170137000,178554000,178416000,200179000,137879000,139849000,172936000,176707000,180498000,238204000,260685000,268814000,289492000,425384000,431194000,434653000,438884000,445122000,- -,- -,- -,- -
67,Total Stockholders Equity,144600000,147000000,159900000,151200000,158900000,192500000,177900000,167500000,168600000,142310000,112257000,193577000,202987000,211078000,221592000,263649000,246235000,312892000,505356000,527703000,421629000,444101000,430045000,254197000,166172000,286101000,286740000,301681000,450807000,431970000,- -,- -,- -,-4876
68,Total Liabilities And Stockholders Equity,478800000,525600000,557100000,572900000,474400000,461500000,446600000,470600000,443200000,439368000,472991000,391135000,369192000,370800000,386067000,362719000,500114000,626410000,751072000,706541000,590860000,593701000,545007000,408607000,324167000,451095000,668886000,736139000,840233000,1010144000,- -,- -,- -,1182
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,- -,- -,- -,1018000,444000,449000,13704000,15633000,- -,- -,- -,- -,- -,- -,- -,101500
70,Total Liabilities & Equity,478800000,525600000,557100000,572900000,474400000,461500000,446600000,470600000,443200000,439368000,472991000,391135000,369192000,370800000,386067000,362719000,508114000,626410000,751072000,706541000,590860000,594719000,545451000,409056000,337871000,466728000,668886000,736139000,840233000,1010144000,- -,- -,- -,102682
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39677/000095014403003891/0000950144-03-003891-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014404002300/0000950144-04-002300-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014405002588/0000950144-05-002588-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014406002262/0000950144-06-002262-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014407002309/0000950144-07-002309-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014408001989/0000950144-08-001989-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014409002245/0000950144-09-002245-index.html,https://www.sec.gov/Archives/edgar/data/39677/000095012310025239/0000950123-10-025239-index.html,https://www.sec.gov/Archives/edgar/data/39677/000114036111017183/0001140361-11-017183-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000114036112017338/0001140361-12-017338-index.html,https://www.sec.gov/Archives/edgar/data/39677/000114036113012642/0001140361-13-012642-index.html,https://www.sec.gov/Archives/edgar/data/39677/000144530514001069/0001445305-14-001069-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000162828015001189/0001628280-15-001189-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000162828016012298/0001628280-16-012298-index.html,https://www.sec.gov/Archives/edgar/data/39677/000155837017000996/0001558370-17-000996-index.html,https://www.sec.gov/Archives/edgar/data/39677/000155837018001034/0001558370-18-001034-index.html,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1844507/000119312522088251/0001193125-22-088251-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11900000,600000,11100000,-8600000,-6700000,4900000,-14600000,-10300000,1000000,-26989000,-22785000,88150000,9314000,3010000,5627000,18463000,29559000,63127000,174726000,21383000,-107225000,-28983000,-35108000,-165881000,-90235000,-9477000,-1932000,11950000,147107000,-21936000,- -,- -,- -,7375422
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,11520000,3672000,3313000,3753000,5549000,5399000,4381000,7150000,8127000,21240000,7481000,8466000,5246000,4794000,3762000,4405000,2804000,3267000,3693000,6368000,6897000,- -,- -,- -,- -
75,Deferred Income Tax,- -,800000,3800000,-2800000,- -,11900000,- -,- -,- -,- -,- -,-4133000,2721000,-1871000,1279000,-3025000,4240000,-287000,4479000,8735000,-8354000,1388000,- -,- -,- -,- -,- -,- -,-110257000,39892000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,138775000,30123000,102461000,-1047000,-7162000,23647000,-49092000,93296000,58567000,214209000,-20918000,-80356000,-9360000,-47538000,-139292000,-62368000,122349000,167390000,16259000,32651000,202604000,- -,- -,- -,-785197204
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16390000,-17423000,27134000,-14718000,-5427000,-7330000,-24245000,-65044000,-86033000,-62503000,34119000,- -,29084000,-6300000,11230000,-40576000,-68787000,-111667000,-83804000,-2646000,19011000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84608
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,138775000,168898000,271359000,270312000,263150000,286797000,237705000,331001000,389568000,603777000,582859000,502503000,493143000,445605000,306313000,243945000,366294000,533684000,549943000,582594000,785198000,- -,- -,- -,796
82,Other Non-Cash Items,-11900000,-11300000,1500000,21000000,21700000,-6900000,22300000,-9900000,39200000,-120140000,-26185000,-160495000,-43725000,-11709000,-27687000,24559000,-184253000,-136670000,-257779000,12830000,178476000,43516000,67414000,283843000,99885000,-178113000,-250134000,-90879000,-2172000,-192848000,- -,- -,- -,777319898
83,Cash Provided by Operating Activities,- -,-9900000,16400000,9600000,15000000,9900000,7700000,-20200000,40200000,3166000,-15175000,29296000,-28984000,-12183000,8265000,-4714000,-50008000,-7136000,156875000,29511000,-8993000,11807000,-10438000,-17568000,-48313000,-62437000,-81409000,-58977000,73697000,34609000,- -,- -,- -,-501884
84,CAPEX,- -,-20300000,-18200000,-26900000,-11200000,-11600000,-15500000,-13800000,-11500000,-11407000,-1021000,-18775000,-12723000,-818000,-3366000,-1939000,-2680000,-1012000,-8679000,-31966000,-14548000,-131000,-53000,-831000,-4421000,-1023000,-1815000,-1209000,-1578000,-2161000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68000,- -,- -,- -,- -,-62684000,-93760000,10000,-41150000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-14100000,-6900000,-5600000,-50400000,- -,- -,- -,- -,- -,-13599000,-47783000,- -,- -,- -,- -,- -,- -,-301000,-1626000,-422000,-33399000,-138000,-135000,-111000,-3644000,-2887000,-20000,-267000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,9300000,17400000,- -,- -,- -,- -,- -,- -,- -,76806000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,500000,- -,- -,- -,59400000,- -,- -,- -,- -,- -,168569000,- -,- -,5250000,-19132000,12868000,15342000,23877000,- -,- -,- -,30000,4142000,169000,- -,45000,31000,11000,5000,- -,- -,- -,-101500000
89,Cash Used for Investing Activites,- -,-19800000,-32300000,-33800000,-7500000,14800000,-15500000,-13800000,-11500000,-11407000,-1021000,136195000,-60506000,75988000,1884000,-21071000,10188000,14330000,15198000,-32267000,-16174000,-621000,-33422000,3173000,-4387000,-1134000,-68098000,-97825000,-1577000,-43573000,- -,- -,- -,-101500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11746000,-57681000,-71903000,- -,- -,-5446000,-93163000,-81793000,-236718000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,30300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,1000000,248000,250000,2100000,500000,42296000,- -,- -,- -,35805000,- -,- -,- -,- -,- -,- -,- -,- -
