,https://roic.ai/company/PAR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.47,0.32,-0.14,0.06,0.12,-0.49,0.09,0.13,0.14,0.20,0.39,0.46,-0.66,0.09,0.15,-1.14,0.05,0.06,0.18,0.41,0.43,0.39,-0.19,0.15,-0.36,0.21,-1.04,-0.02,0.02,-0.24,-0.06,0.15,-0.22,-1.50,-0.96,-1.92,-3.02
27,Weighted Average Shares Outstanding,11497751,11583208,11589205,11658171,11677661,11101949,11101949,11298351,11401799,11478261,12102000,12964500,13269000,13228500,12582000,11772000,11589000,11901000,12657000,13044000,20688000,14193000,14345000,14421000,14547000,14822000,15000000,15115000,15240000,15501000,15562000,15675000,15949000,16041000,16223000,19014000,25088000
28,Weighted Average Shares Outstanding Diluted,11497751,11583208,11589205,11658171,11677661,11101949,11101949,11298351,11401799,11478261,12102000,12964500,13269000,13431000,12783000,11772000,11698500,12472500,13291500,13845000,21972000,14752000,14345000,14761000,14547000,15008000,15000000,15115000,15273000,15501000,15666000,15738000,15949000,16041000,16223000,19014000,25088000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000091431796000053/0000914317-96-000053-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882197000009/0000708821-97-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000070882101000010/0000708821-01-000010-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000070882109000005/0000708821-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882110000003/0000708821-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882111000006/0000708821-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882112000018/0000708821-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882113000011/0000708821-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036114012801/0001140361-14-012801-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036115013699/0001140361-15-013699-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036116059555/0001140361-16-059555-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036117016022/0001140361-17-016022-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882118000010/0000708821-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882119000017/0000708821-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882120000018/0000708821-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000162828021004914/0001628280-21-004914-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882122000012/0000708821-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5100000,3900000,11000000,5800000,2900000,2300000,2200000,1300000,900000,2900000,500000,8400000,4000000,1300000,1000000,1199000,879000,490000,1467000,8696000,4982000,4273000,4431000,6227000,3907000,6781000,7742000,19475000,10015000,10167000,8024000,9055000,6600000,3485000,28036000,180686000,188419000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5100000,3900000,11000000,5800000,2900000,2300000,2200000,1300000,900000,2900000,500000,8400000,4000000,1300000,1000000,1199000,879000,490000,1467000,8696000,4982000,4273000,4431000,6227000,3907000,6781000,7742000,19475000,10015000,10167000,8024000,9055000,6600000,3485000,28036000,180686000,188419000
34,Net Receivables,25700000,22000000,18100000,23500000,27700000,25100000,24000000,23800000,29400000,28100000,36500000,42300000,29900000,47100000,37400000,30400000,36934000,25843000,31876000,32702000,40781000,47894000,44129000,53790000,46107000,43669000,30680000,30718000,30688000,31445000,29530000,34476000,30077000,26219000,41774000,42980000,49978000
35,Inventory,13700000,13500000,11100000,23600000,25200000,14600000,10000000,13900000,16300000,16500000,17800000,22000000,31200000,27300000,28200000,26776000,24469000,34274000,31894000,27047000,29562000,35948000,40319000,41132000,32867000,38707000,25260000,26172000,24465000,25922000,21499000,26237000,21746000,22737000,19326000,21638000,35078000
36,Other Current Assets,600000,7400000,1700000,1500000,1400000,3400000,1900000,2700000,2700000,2500000,2300000,2600000,7400000,4600000,5600000,6179000,6293000,8463000,8978000,9251000,9167000,7876000,9000000,8889000,10035000,8786000,13328000,14273000,7165000,9109000,10549000,12256000,4209000,3251000,4427000,3625000,9532000
37,Total Current Assets,45100000,46800000,41900000,54400000,57200000,45400000,38100000,41700000,49300000,50000000,57100000,75300000,72500000,80300000,72200000,64554000,68575000,69070000,74215000,77696000,84492000,95991000,97879000,110038000,92916000,97943000,77010000,90638000,72333000,76643000,69602000,82024000,62632000,55692000,93563000,248929000,283007000
38,PP&E,10200000,10100000,10800000,11400000,12100000,10000000,8500000,8200000,7600000,7700000,7600000,7200000,7000000,8500000,11500000,10098000,9471000,8455000,7240000,8123000,8044000,7535000,7669000,6879000,6332000,5796000,5259000,5857000,5494000,6135000,5716000,7035000,10755000,12575000,17368000,16425000,18057000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25734000,26998000,25684000,26635000,26954000,6852000,6852000,6852000,17167000,11051000,11051000,11051000,11051000,41386000,41214000,457306000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24614000,30526000,10695000,9899000,8251000,7243000,10389000,15888000,11747000,15071000,22952000,10898000,10966000,12070000,10859000,32948000,33121000,118763000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24614000,30526000,36429000,36897000,33935000,33878000,37343000,22740000,18599000,21923000,40119000,21949000,22017000,23121000,21910000,74334000,74335000,576069000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7774000,4386000,2857000,- -,- -,- -,503000,1525000,1202000,1079000,5605000,6280000,15083000,11357000,11038000,9650000,13809000,- -,- -,- -,- -
44,Other Non-Current Assets,700000,1100000,1600000,3600000,3000000,3000000,2400000,3500000,3500000,2900000,3400000,4300000,3700000,4600000,4400000,10284000,3204000,3211000,2855000,1319000,2087000,2841000,3570000,1611000,1775000,2124000,5329000,2391000,2675000,3043000,7007000,3785000,4307000,4504000,4347000,4060000,11016000
45,Total Non-Current Assets,10900000,11200000,12400000,15000000,15100000,13000000,10900000,11700000,11100000,10600000,11000000,11500000,10700000,13100000,15900000,20382000,20449000,16052000,12952000,34056000,40657000,46805000,48639000,43950000,43187000,46342000,38933000,33127000,45175000,60654000,45710000,42487000,51992000,38989000,96049000,94820000,605142000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,56000000,58000000,54300000,69400000,72300000,58400000,49000000,53400000,60400000,60600000,68100000,86800000,83200000,93400000,88100000,84936000,89024000,85122000,87167000,111752000,125149000,142796000,146518000,153988000,136103000,144285000,115943000,123765000,117508000,137297000,115312000,124511000,114624000,94681000,189612000,343749000,888149000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2600000,2900000,3400000,3600000,4900000,5100000,8700000,9800000,7800000,8800000,11290000,8371000,8301000,9486000,12703000,12470000,16978000,15293000,12942000,19902000,15773000,21216000,17200000,19676000,11729000,16687000,14332000,12644000,16385000,12791000,20845000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,200000,200000,7400000,5000000,13856000,14686000,9634000,7078000,10336000,3576000,7953000,3272000,9879000,3404000,1711000,1494000,159000,166000,8173000,2103000,187000,1145000,7819000,630000,666000,2971000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6339000,6704000,5947000,9083000,11332000,12254000,14357000,16318000,16598000,16260000,10412000,13902000,13241000,15040000,10819000,19814000,12909000,9851000,12084000,9506000,14394000
52,Other Current Liabilities,15600000,10700000,9000000,13000000,18500000,17500000,6900000,7500000,11400000,7500000,9000000,7900000,10200000,12800000,12700000,13125000,6854000,7034000,8510000,16254000,16050000,13796000,17677000,18479000,13257000,14184000,10886000,11411000,9549000,13482000,13152000,10152000,10201000,10603000,13005000,16996000,22307000
53,Total Current Liabilities,15600000,10700000,9000000,13000000,18500000,17500000,9500000,10400000,14800000,11100000,14200000,13200000,19100000,30000000,25500000,35781000,39169000,31743000,29836000,45159000,43661000,46473000,52284000,59969000,46201000,52057000,38565000,46688000,40156000,56371000,37803000,46840000,38587000,40917000,42104000,39959000,60517000
54,Long-Term Debt,- -,- -,- -,7500000,3800000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2323000,2268000,2181000,2092000,2005000,1948000,7708000,6932000,5852000,4455000,2744000,1249000,1084000,918000,2566000,566000,379000,185000,- -,62414000,105844000,308285000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4407000,3916000,3082000,7597000
56,Deferred Tax Liabilities,- -,1100000,1500000,1600000,1200000,- -,400000,1200000,1100000,900000,800000,1000000,700000,600000,500000,- -,- -,- -,- -,194000,201000,653000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,2200000,1300000,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000,847000,1879000,2315000,1910000,2212000,2725000,3762000,3171000,3714000,8847000,8883000,7712000,6866000,3411000,8331000,6459000,7405000
58,Total Non-Current Liabilities,100000,1100000,1500000,11300000,6300000,3300000,400000,1100000,1100000,900000,800000,1000000,700000,600000,500000,2323000,2268000,2181000,2092000,3019000,2996000,10240000,9247000,7762000,6667000,5469000,5011000,4255000,4632000,11413000,9449000,8091000,7051000,7818000,74661000,115385000,323287000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3081000,2662000,4706000
61,Total Liabilities,15700000,11800000,10500000,24300000,24800000,20800000,9900000,11500000,15900000,12000000,15000000,14200000,19800000,30600000,26000000,38104000,41437000,33924000,31928000,48178000,46657000,56713000,61531000,67731000,52868000,57526000,43576000,50943000,44788000,67784000,47252000,54931000,45638000,48735000,116765000,155344000,383804000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,190000,193000,195000,199000,203000,318000,320000,321000,324000,329000,335000,337000,341000,344000,346000,347000,350000,354000,357000,367000,459000,562000
64,Retained Earnings,29000000,34400000,32000000,33100000,35500000,27100000,28600000,30900000,33400000,37100000,41700000,47700000,39000000,40200000,42200000,28743000,29263000,29946000,32375000,38010000,47442000,53159000,50451000,52668000,47482000,50605000,35073000,34758000,35116000,31465000,30574000,32357000,29549000,5427000,-10144000,-46706000,-122505000
65,Other Comprehensive Income/Loss,-5100000,-7000000,-7000000,-11300000,-13600000,-16000000,-17900000,-19500000,-21300000,-22400000,-23000000,-24400000,-25400000,-23500000,-24400000,-24760000,-26766000,-28398000,-29330000,-29981000,-22280000,-22141000,-24184000,-25508000,-27457000,-1000000,-29527000,-30544000,-1000000,-1000000,-3000000,-3000000,-3000000,-4000000,-5000000,-3936000,-3704000
66,Other Total Stockholders Equity,16400000,18800000,18800000,23300000,25600000,26500000,28400000,30500000,32400000,33900000,34400000,49300000,49800000,46100000,44100000,42659000,44897000,49455000,51995000,55342000,53012000,54745000,58399000,58773000,62881000,36819000,66484000,68267000,38260000,38702000,40139000,39873000,42083000,44162000,87624000,238588000,629992000
67,Total Stockholders Equity,40300000,46200000,43800000,45100000,47500000,37600000,39100000,41900000,44500000,48600000,53100000,72600000,63400000,62800000,62100000,46832000,47587000,51198000,55239000,63574000,78492000,86083000,84987000,86257000,83235000,86759000,72367000,72822000,72720000,69513000,68060000,69580000,68986000,45946000,72847000,188405000,504345000
68,Total Liabilities And Stockholders Equity,56000000,58000000,54300000,69400000,72300000,58400000,49000000,53400000,60400000,60600000,68100000,86800000,83200000,93400000,88100000,84936000,89024000,85122000,87167000,111752000,125149000,142796000,146518000,153988000,136103000,144285000,115943000,123765000,117508000,137297000,115312000,124511000,114624000,94681000,189612000,343749000,888149000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,56000000,58000000,54300000,69400000,72300000,58400000,49000000,53400000,60400000,60600000,68100000,86800000,83200000,93400000,88100000,84936000,89024000,85122000,87167000,111752000,125149000,142796000,146518000,153988000,136103000,144285000,115943000,123765000,117508000,137297000,115312000,124511000,114624000,94681000,189612000,343749000,888149000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000091431796000053/0000914317-96-000053-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882197000009/0000708821-97-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000070882101000010/0000708821-01-000010-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000070882109000005/0000708821-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882110000003/0000708821-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882111000006/0000708821-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882112000018/0000708821-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882113000011/0000708821-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036114012801/0001140361-14-012801-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036115013699/0001140361-15-013699-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036116059555/0001140361-16-059555-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036117016022/0001140361-17-016022-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882118000010/0000708821-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882119000017/0000708821-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882120000018/0000708821-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000162828021004914/0001628280-21-004914-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882122000012/0000708821-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,1500000,2300000,2500000,3700000,4700000,5900000,-8700000,1300000,2000000,-13448000,520000,741000,2429000,5635000,9432000,5721000,-2708000,2217000,-5186000,3123000,-15532000,-315000,358000,-3651000,-891000,1783000,-3386000,-24122000,-15571000,-36562000,-75799000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,3300000,3200000,3000000,2700000,2400000,2300000,2300000,2400000,2900000,3403000,3491000,2894000,2815000,2812000,3755000,3884000,4079000,4029000,3846000,3359000,2648000,8723000,2830000,3670000,3070000,4624000,4033000,4730000,7255000,14452000,21421000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,100000,- -,200000,- -,400000,-5100000,2600000,-400000,-7593000,-81000,544000,809000,3014000,1213000,916000,-2211000,546000,-1376000,544000,-7832000,-1950000,-1878000,516000,-1910000,708000,4159000,13809000,-4002000,-3229000,-10417000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666000,336000,595000,649000,187000,1185000,487000,469000,651000,1039000,2706000,4251000,14615000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,6700000,2700000,3200000,4400000,4000000,19200000,-8700000,-3100000,-3600000,-17927000,633000,7921000,7052000,-11842000,8294000,8687000,-3923000,4474000,-3354000,-829000,-7441000,5505000,-11773000,-11905000,11527000,3385000,-11139000,-9270000,36684000,157511000,-25010000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6339000,1449000,5022000,581000,-1514000,-1169000,-628000,-1576000,325000,3053000,-15640000,-1532000,1832000
79,Inventory,- -,- -,- -,- -,- -,- -,4600000,-3800000,-2500000,-200000,-3400000,-6300000,-13800000,700000,-4700000,-3095000,894000,-10454000,-577000,1046000,-6419000,-8308000,-7372000,-3438000,654000,-7707000,509000,-4058000,-857000,-3689000,3136000,-5987000,2948000,-815000,1864000,-4476000,-13547000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,6958000,-3599000,5446000,-3930000,2477000,-7529000,4958000,-2355000,-1688000,3741000,-4176000,4911000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,28600000,31300000,34500000,38900000,42900000,62100000,53400000,50300000,46700000,28773000,29406000,37327000,44379000,32537000,40831000,49518000,45595000,50069000,46715000,45886000,38445000,43950000,32177000,20272000,31799000,35184000,24045000,14775000,51459000,208970000,-1710000
