,https://roic.ai/company/GRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,1600000,1600000,2400000,2600000,3100000,3300000,3700000,3400000,3400000,3400000,3300000,4100000,9800000,11600000,6800000,6048000,6269000,5952000,6606000,6525000,5085000,7829000,4619000,5392000,7747000,5503000,5058000,5692000,8593000,10724000,6091000,5823000,5918000,7127000,5680000,5169000,7795000
37,Total Current Assets,35300000,34500000,39700000,44100000,48800000,50500000,53600000,50200000,55700000,60100000,71400000,71900000,81700000,78600000,78200000,82289000,89119000,83859000,94262000,96645000,110501000,120118000,135288000,134266000,131400000,143194000,155872000,175675000,189289000,200709000,189391000,203900000,227934000,208686000,227665000,246821000,277182000
38,PP&E,16900000,17000000,16900000,22800000,24500000,26100000,30800000,30800000,36800000,40900000,42200000,40500000,40900000,43900000,53600000,57885000,53895000,57757000,54338000,54812000,51505000,52351000,59970000,80406000,108523000,113526000,114349000,123066000,131189000,133964000,129887000,122067000,117071000,113493000,111779000,108666000,104293000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2440000,4803000,4798000,4798000,14672000,14672000,17452000,18046000,22615000,24559000,28030000,27551000,27234000,27215000,27537000,27243000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4053000,4832000,4687000,2450000,11770000,10809000,14834000,13457000,17303000,16504000,14841000,10367000,8951000,7781000,6638000,5843000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6493000,9635000,9485000,7248000,26442000,25481000,32286000,31503000,39918000,41063000,42871000,37918000,36185000,34996000,34175000,33086000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2819000,- -,- -,- -,- -,5977000,4510000,6883000,864000,211000,205000,153000,20000,6313000,3860000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,500000,500000,1800000,1300000,1000000,700000,5400000,6200000,6100000,6200000,5300000,5300000,5000000,5100000,5707000,2280000,11230000,12339000,13887000,17535000,2601000,2131000,498000,1389000,3334000,2793000,4003000,3637000,- -,- -,13980000,12092000,9918000,8320000,4795000,6193000
45,Total Non-Current Assets,17400000,17500000,17400000,24600000,25800000,27100000,31500000,36200000,43000000,47000000,48400000,45800000,46200000,48900000,58700000,63592000,58994000,68987000,66677000,68699000,69040000,67422000,76246000,97272000,118024000,143513000,142828000,159508000,166349000,180195000,174810000,178918000,167081000,159596000,155095000,147636000,143572000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,52700000,52000000,57100000,68700000,74600000,77600000,85100000,86400000,98700000,107100000,119800000,117700000,127900000,127500000,136900000,145881000,148113000,152846000,160939000,165344000,179541000,187540000,211534000,231538000,249424000,286707000,298700000,335183000,355638000,380904000,364201000,382818000,395015000,368282000,382760000,394457000,420754000
48,Accounts Payable,- -,- -,- -,- -,6800000,6500000,6200000,5600000,6800000,5800000,7500000,6700000,7700000,8700000,5800000,7391000,5433000,6557000,6163000,6615000,9835000,10417000,14162000,15878000,8972000,12042000,15679000,14897000,17882000,17908000,14529000,16306000,15798000,16678000,16030000,9466000,17633000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,600000,- -,145000,- -,- -,- -,- -,- -,- -,15000000,25000000,10000000,22000000,9000000,12000000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7190000,4166000,1741000,1361000,460000,5232000,4911000,8004000,9200000
52,Other Current Liabilities,5800000,4700000,6600000,14800000,9100000,8300000,8300000,6800000,7600000,10600000,7200000,8500000,9300000,8700000,10600000,11088000,12670000,12580000,15745000,14497000,18384000,17229000,19319000,19691000,19203000,22636000,25194000,27924000,26688000,30272000,27190000,31685000,29438000,26555000,24554000,21031000,25607000
53,Total Current Liabilities,5800000,4700000,6600000,14800000,15900000,14800000,14500000,12400000,14400000,16400000,19700000,15200000,17000000,17400000,16400000,19079000,18103000,19282000,21908000,21112000,28219000,27646000,33481000,35569000,43175000,59678000,50873000,64821000,60760000,64346000,43460000,49352000,45696000,48465000,45495000,38501000,52440000
54,Long-Term Debt,- -,- -,- -,1200000,2200000,2400000,6200000,700000,5300000,4700000,7200000,3800000,6700000,800000,3100000,3413000,- -,291000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1800000,2000000,2300000,2300000,2800000,3100000,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019000,- -,609000,459000,1323000,4954000,3787000,5727000,12345000,8798000,3627000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,-100000,20500000,22100000,24400000,25700000,26000000,26100000,25600000,25100000,23390000,22100000,21817000,22569000,22334000,23255000,31752000,27484000,36304000,27314000,22241000,29276000,29916000,18393000,25793000,30093000,30578000,23824000,26685000,29387000,40443000,38338000
58,Total Non-Current Liabilities,1800000,2000000,2300000,3400000,5000000,5500000,9300000,21200000,27400000,29100000,32900000,29800000,32800000,26400000,28200000,26803000,22100000,22108000,22569000,22334000,24274000,31752000,28093000,36763000,28637000,27195000,33063000,35643000,30738000,34591000,33720000,30578000,23824000,26685000,29387000,40443000,38338000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7600000,6700000,8900000,18200000,20900000,20300000,23800000,33600000,41800000,45500000,52600000,45000000,49800000,43800000,44600000,45882000,40203000,41390000,44477000,43446000,52493000,59398000,61574000,72332000,71812000,86873000,83936000,100464000,91498000,98937000,77180000,79930000,69520000,75150000,74882000,78944000,90778000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,5106000,5087000,5089000,5091000,5093000,5095000,5097000,5098000,- -,- -,- -,5128000,5130000,5131000,5133000,5095000,5097000,5100000,5102000,5091000,5099000,5099000
64,Retained Earnings,40500000,40700000,43400000,45300000,48400000,52000000,55900000,48000000,52400000,57600000,63000000,68500000,74100000,80300000,88400000,96417000,104833000,108309000,112357000,117261000,122243000,135268000,151467000,171312000,182875000,201735000,223136000,243178000,264648000,291101000,304341000,318041000,332378000,308914000,330177000,340098000,353369000
65,Other Comprehensive Income/Loss,-16800000,-18600000,-20800000,-22800000,-25600000,-28600000,-29800000,-31900000,-33900000,-35800000,-39600000,-44100000,-46100000,-49400000,-54400000,-59437000,-64554000,-1942000,-986000,-456000,-290000,-12223000,-7125000,-17823000,-11070000,-9428000,-16044000,-16282000,-8461000,-17326000,-22415000,-20465000,-12509000,-23423000,-28537000,-30377000,-30330000
66,Other Total Stockholders Equity,21400000,23200000,25600000,28000000,30900000,33900000,35200000,36700000,38400000,39800000,43800000,48300000,50100000,52800000,53200000,57913000,62544000,- -,- -,- -,- -,- -,- -,5894000,5737000,7099000,2544000,2693000,2822000,3059000,- -,215000,526000,2539000,1147000,693000,- -
67,Total Stockholders Equity,45100000,45300000,48200000,50500000,53700000,57300000,61300000,52800000,56900000,61600000,67200000,72700000,78100000,83700000,92300000,99999000,107910000,111456000,116462000,121898000,127048000,128142000,149440000,158588000,176905000,199834000,214764000,234719000,264140000,281967000,287021000,302888000,325495000,293132000,307878000,315513000,329976000
68,Total Liabilities And Stockholders Equity,52700000,52000000,57100000,68700000,74600000,77600000,85100000,86400000,98700000,107100000,119800000,117700000,127900000,127500000,136900000,145881000,148113000,152846000,160939000,165344000,179541000,187540000,211014000,230920000,248717000,286707000,298700000,335183000,355638000,380904000,364201000,382818000,395015000,368282000,382760000,394457000,420754000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000,618000,707000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,52700000,52000000,57100000,68700000,74600000,77600000,85100000,86400000,98700000,107100000,119800000,117700000,127900000,127500000,136900000,145881000,148113000,152846000,160939000,165344000,179541000,187540000,211534000,231538000,249424000,286707000,298700000,335183000,355638000,380904000,364201000,382818000,395015000,368282000,382760000,394457000,420754000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42682/000095015205002026/0000950152-05-002026-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015206001956/0000950152-06-001956-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015207001957/0000950152-07-001957-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015208001794/0000950152-08-001794-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015209002236/0000950152-09-002236-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095012310021646/0000950123-10-021646-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095012311022137/0000950123-11-022137-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312512096416/0001193125-12-096416-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312513089683/0001193125-13-089683-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312514091637/0001193125-14-091637-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312515083057/0001193125-15-083057-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312516501412/0001193125-16-501412-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312517069091/0001193125-17-069091-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312518055956/0001193125-18-055956-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312519062355/0001193125-19-062355-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312520058694/0001193125-20-058694-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000143774921004565/0001437749-21-004565-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000143774922004547/0001437749-22-004547-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,6800000,7300000,7700000,-3900000,8800000,9300000,9500000,9900000,10600000,11800000,13100000,13796000,14585000,8936000,9787000,9277000,10903000,19072000,22859000,27197000,18269000,25963000,28804000,28203000,30104000,36141000,25109000,24883000,26555000,39979000,35815000,25188000,29851000
74,Depreciation and Amortization,- -,- -,- -,- -,3700000,3700000,3900000,4000000,4300000,4500000,5200000,5700000,6000000,6300000,6500000,6863000,7128000,7035000,7117000,7179000,6808000,6688000,7597000,7848000,8955000,10601000,11459000,12066000,13588000,14615000,15282000,15529000,15053000,14484000,13749000,12692000,11914000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-400000,-700000,-800000,- -,-100000,800000,1000000,-2100000,-1000000,661000,1835000,791000,-619000,1504000,2465000,-5558000,2490000,-2154000,4776000,4166000,1608000,2193000,241000,-1367000,-563000,3511000,-6140000,337000,-1198000,544000,50000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1674000,1025000,42000,2396000
77,Change in Working Capital,- -,- -,- -,- -,-4400000,2800000,3400000,-1300000,3500000,2400000,8000000,5000000,8000000,-3500000,600000,1410000,7806000,-6439000,7777000,3179000,6749000,10190000,9335000,-3110000,-10472000,-4709000,21483000,5855000,17675000,7834000,9568000,8617000,27690000,-22017000,21949000,26150000,-1659000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-944000,10961000,-10618000,-4423000,710000,-662000,-8529000,-4750000,5273000,5473000,-1196000,2218000,15247000,-8702000
79,Inventory,- -,- -,- -,- -,-4000000,400000,-2200000,2000000,-1600000,-5200000,-2000000,-800000,-6100000,1400000,2100000,-3571000,5871000,4862000,-2475000,-172000,-14169000,2104000,-1773000,-3658000,14979000,-1223000,-21744000,-8583000,-48000,-2987000,12576000,13904000,-4305000,-13601000,11452000,-5310000,-4290000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1716000,-6906000,655000,3637000,-1911000,2985000,-693000,-4123000,1393000,-1268000,1299000,-601000,-6845000,8717000
81,Other Working Capital,- -,- -,- -,- -,32900000,35700000,39100000,37800000,41300000,43700000,51700000,56700000,64700000,61200000,61800000,63210000,71016000,64577000,72354000,75533000,82282000,92472000,101807000,98697000,88225000,83516000,104999000,110854000,128529000,136363000,145931000,154548000,182238000,160221000,182170000,208320000,1529000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-3200000,-3700000,14400000,-6000000,-7100000,-16600000,-3500000,-13700000,9400000,-1700000,-6401000,-5061000,11056000,-10050000,-6641000,-23882000,-11648000,-7446000,-384000,28105000,-7398000,-42222000,-15684000,-11222000,-28220000,-8713000,894000,-19893000,6753000,-9166000,-13454000,2886000
