,https://roic.ai/company/MPX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,3431000,1097000,10431000,19209000,27646000,46747000,38925000,55108000,12103000,13421000,25901000,22361000,13358000,2798000,10753000,7725000,15811000,6728000,10320000,11711000,19804000,31573000,14102000
34,Net Receivables,- -,1417000,1746000,1178000,1471000,5043000,2242000,6190000,3814000,4861000,8039000,7569000,1659000,2209000,2188000,2713000,2492000,2076000,1116000,3765000,4324000,7514000,4706000,3272000
35,Inventory,10688000,13703000,15064000,14478000,20685000,21770000,25869000,26856000,29556000,33159000,22453000,19487000,21882000,24907000,28159000,28859000,28819000,32638000,42488000,38006000,46770000,41553000,42310000,73261000
36,Other Current Assets,- -,3193000,3093000,4092000,4042000,2881000,3882000,4422000,5117000,4905000,2797000,3791000,2371000,2481000,2890000,2935000,4186000,2119000,1823000,2096000,1795000,2056000,1947000,2474000
37,Total Current Assets,- -,21744000,21000000,30179000,45407000,57340000,78740000,76393000,93595000,55028000,46710000,56748000,48273000,42955000,36035000,45260000,43222000,52644000,52155000,54187000,64600000,70927000,80536000,93109000
38,PP&E,5768000,6714000,9796000,14230000,16216000,17761000,18362000,17252000,16641000,15944000,14579000,13310000,12416000,11884000,11470000,11265000,9890000,12761000,13334000,14218000,14552000,14796000,14938000,14370000
39,Goodwill,- -,4676000,- -,- -,- -,- -,- -,- -,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000,3308000
40,Intangible Assets,- -,- -,3992000,3898000,3858000,3818000,3778000,3738000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000,465000
41,Intangible Assets,- -,4676000,3992000,3898000,3858000,3818000,3778000,3738000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000,3773000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16117000,30007000,41699000,35773000,30949000,33831000,27129000,5221000,10395000,4699000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1126000,1449000,1098000,2934000,3224000,3243000,3337000,3531000,3177000,3214000,4338000,5278000,3649000,3325000,3990000,4075000,4392000
44,Other Non-Current Assets,- -,55034000,68661000,8206000,5582000,7395000,8854000,10296000,8721000,42883000,42297000,5077000,5097000,7189000,6733000,8129000,9893000,10032000,8766000,9678000,9931000,11278000,16100000,17197000
45,Total Non-Current Assets,- -,66424000,82449000,26334000,25656000,28974000,30994000,32412000,30584000,63698000,63583000,41501000,54536000,67882000,61280000,57293000,60601000,58033000,36372000,41713000,36280000,33837000,38886000,39732000
46,Other Assets,77585000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,77585000,88168000,103449000,56513000,71063000,86314000,109734000,108805000,124179000,118726000,110293000,98249000,102809000,110837000,97315000,102553000,103823000,110677000,88527000,95900000,100880000,104764000,119422000,132841000
48,Accounts Payable,- -,2372000,2910000,2429000,3414000,2730000,6224000,3461000,3455000,4621000,1437000,1972000,1884000,2992000,4246000,5569000,3577000,3681000,5163000,5362000,4673000,3886000,6079000,6771000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1944000,2283000,1604000,- -,- -,899000,1389000,836000,706000,721000,416000,864000,496000,295000,1245000,- -
52,Other Current Liabilities,- -,6858000,7602000,7439000,10173000,8626000,10527000,11591000,11690000,12011000,10677000,8711000,8616000,6763000,7611000,8157000,8925000,9396000,11823000,13135000,12998000,12860000,14338000,11298000
53,Total Current Liabilities,- -,9230000,10512000,9868000,13587000,11356000,16751000,15052000,17089000,18915000,13718000,10683000,10500000,10654000,13246000,14562000,13208000,13798000,17402000,19361000,18167000,17041000,21662000,18069000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,306000,344000,300000,643000,1160000,925000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,3832000,4686000,6065000,5689000,6054000,5786000,6054000,6004000,6765000,6322000,6508000,7121000,6667000,5680000,6935000,7501000,10511000,13241000,16247000
58,Total Non-Current Liabilities,- -,306000,344000,300000,643000,4992000,5611000,6065000,5689000,6054000,5786000,6054000,6004000,6765000,6322000,6508000,7121000,6667000,5680000,6935000,7501000,10511000,13241000,16247000
59,Other Liabilities,8071000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,8071000,9536000,10856000,10168000,14230000,16348000,22362000,21117000,22778000,24969000,19504000,16737000,16504000,17419000,19568000,21070000,20329000,20465000,23082000,26296000,25668000,27552000,34903000,34316000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1702000,1712000,2573000,3894000,3770000,3791000,3602000,3643000,3688000,3708000,3738000,3782000,3810000,3813000,3811000,3486000,3457000,3433000,3387000,3387000,3399000
64,Retained Earnings,- -,- -,- -,5775000,16740000,32409000,52042000,72192000,84875000,90105000,88535000,78690000,83222000,89953000,73120000,74943000,77755000,84423000,64141000,68127000,73954000,76573000,83079000,97702000
65,Other Comprehensive Income/Loss,- -,- -,-7252000,-8096000,-9405000,-10801000,-12702000,-1000000,-1000000,-18671000,-1000000,-1000000,-1000000,-1000000,-2000000,-1000000,-2000000,-2000000,-2000000,-2000000,-2000000,-3000000,-1947000,-2576000
66,Other Total Stockholders Equity,69514000,78632000,99845000,46964000,47786000,45785000,44138000,12726000,13735000,18721000,-389000,134000,375000,727000,2845000,3730000,3926000,3978000,-182000,20000,-175000,252000,- -,- -
67,Total Stockholders Equity,69514000,78632000,92593000,46345000,56833000,69966000,87372000,87688000,101401000,93757000,90789000,81512000,86305000,93418000,77747000,81483000,83494000,90212000,65445000,69604000,75212000,77212000,84519000,98525000
68,Total Liabilities And Stockholders Equity,77585000,88168000,103449000,56513000,71063000,86314000,109734000,108805000,124179000,118726000,110293000,98249000,102809000,110837000,97315000,102553000,103823000,110677000,88527000,95900000,100880000,104764000,119422000,132841000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,77585000,88168000,103449000,56513000,71063000,86314000,109734000,108805000,124179000,118726000,110293000,98249000,102809000,110837000,97315000,102553000,103823000,110677000,88527000,95900000,100880000,104764000,119422000,132841000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1129155/000091406201500154/0000914062-01-500154-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000091205702011200/a2074084z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1129155/000104746903009657/0001047469-03-009657-index.html,- -,https://www.sec.gov/Archives/edgar/data/1129155/000116796605000366/t5159_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811206000657/t9287_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811207000577/t13154_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811208000715/d22769_10-k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811209000486/0001188112-09-000486-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811210000516/0001188112-10-000516-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811211000494/t69888_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811212000534/0001188112-12-000534-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811213000534/0001188112-13-000534-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811214000618/t78450_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000157104915001481/t81552_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000157104916012369/0001571049-16-012369-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000157104917001712/0001571049-17-001712-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000114420418011707/0001144204-18-011707-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000114420419011172/0001144204-19-011172-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000110465920027034/0001104659-20-027034-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000110465921029338/0001104659-21-029338-index.htm,https://www.sec.gov/Archives/edgar/data/1129155/000155837022002350/0001558370-22-002350-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7674000,9118000,13961000,8563000,12389000,18072000,23743000,26223000,20314000,16423000,7586000,-10693000,3853000,6731000,6979000,7528000,8914000,14306000,16745000,19300000,28488000,28239000,19444000,29026000
74,Depreciation and Amortization,- -,1545000,1800000,2267000,2079000,2306000,2532000,3018000,2130000,1950000,1694000,1354000,1081000,889000,768000,726000,712000,1013000,1382000,1526000,1820000,2090000,1954000,1816000
75,Deferred Income Tax,- -,-166000,255000,460000,-247000,1029000,-784000,-1970000,-737000,331000,431000,-854000,-132000,-76000,-498000,78000,-805000,1309000,-862000,1519000,378000,-620000,-311000,-140000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1645000,1542000,1296000,1495000,1702000,1754000,1993000,2624000,2682000,2089000,2123000,3102000,2289000
77,Change in Working Capital,- -,12514000,-2026000,9823000,11509000,14164000,16005000,-648000,15165000,-40393000,-3121000,13073000,-8292000,-5472000,-9512000,7909000,-684000,8832000,-4093000,73000,11607000,7453000,4988000,16166000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4310000,87000,-1031000,415000,-227000,-348000,1113000,169000,-1964000,-821000,-2735000,1901000,1444000
79,Inventory,- -,-3015000,-1361000,698000,-6207000,-1085000,-4099000,-987000,-2700000,-3603000,10706000,2966000,-2395000,-3025000,-3252000,-700000,40000,-3819000,-9850000,4482000,-8764000,5217000,-757000,-30951000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535000,-88000,1108000,1254000,1323000,-1992000,104000,1482000,199000,-689000,-787000,2193000,692000
81,Other Working Capital,- -,12514000,10488000,20311000,31820000,45984000,61989000,61341000,76506000,36113000,32992000,46065000,37773000,32301000,22789000,30698000,30014000,38846000,34753000,34826000,46433000,53886000,58874000,75040000
82,Other Non-Cash Items,708000,-13776000,1474000,-10882000,-14034000,-17743000,-12091000,-7257000,-12875000,38120000,7455000,-13561000,12827000,-72000,8950000,-8063000,-445000,-11409000,41000,4539000,-21607000,-5368000,697000,-48700000
83,Cash Provided by Operating Activities,8382000,9235000,15464000,10231000,11696000,17828000,29405000,19366000,23997000,16431000,14045000,-9036000,10879000,3296000,8182000,9880000,9446000,16044000,15837000,29639000,22775000,33917000,29874000,457000
84,CAPEX,-2192000,-1810000,-4198000,-5456000,-3800000,-3707000,-2838000,-1118000,-1667000,-1263000,-329000,-85000,-191000,-357000,-354000,-521000,-451000,-3878000,-1940000,-2410000,-2154000,-2334000,-2099000,-1248000
85,Acquisitions Net,- -,- -,- -,-1037000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-13259000,- -,-725000,- -,-905000,- -,-72575000,-47964000,-14858000,-29147000,-39777000,-34082000,-14339000,-23664000,-16276000,-28092000,-22214000,-16209000,-299000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6660000,- -,914000,- -,2905000,32437000,46024000,22344000,25579000,24904000,51247000,14576000,20085000,17659000,52519000,18067000,21423000,7978000,- -,- -
88,Other Investing Activites,-2192000,-1665000,- -,13833000,- -,- -,- -,- -,113000,10000,14000,-70000,-150000,3314000,-354000,-506000,632000,-3872000,-1852000,-2402000,-2154000,-2334000,-2065000,-1248000
89,Cash Used for Investing Activites,-2192000,-1665000,-4198000,-5919000,2860000,-4432000,-1924000,-2023000,1351000,-41391000,-2255000,7416000,-3718000,-11559000,16811000,-269000,-2947000,-2489000,22575000,-6549000,3060000,5345000,-2065000,-1248000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-375000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,17000,363000,576000,768000,344000,178000,135000,38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-65000,-1222000,-2271000,-3768000,-20627000,-1337000,-17818000,-1619000,-537000,-244000,-447000,-960000,-576000,-1781000,-2259000,-34737000,-6521000,-7522000,-8447000,-2490000,- -
93,Dividends Paid,- -,- -,- -,-1022000,-1370000,-2737000,-4110000,-6073000,-7631000,-9011000,-9442000,-369000,- -,- -,-23812000,-5705000,-6102000,-7638000,-9202000,-11504000,-17252000,-19756000,-13550000,-15629000
94,Other Financing Activites,- -,-7619000,-13600000,614000,- -,- -,- -,- -,296000,431000,622000,477000,45000,131000,846000,136000,342000,256000,160000,- -,- -,- -,- -,-1051000
95,Cash Used/Provided by Financing Activities,- -,-7619000,-13600000,-456000,-2229000,-4432000,-7110000,-26356000,-8494000,-26263000,-10401000,-429000,-199000,-316000,-24301000,-6145000,-7541000,-9641000,-43779000,-18025000,-24774000,-28203000,-16040000,-16680000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-49000,-2334000,3856000,12327000,8964000,20371000,-9013000,16854000,-51223000,1389000,-2049000,6962000,-8579000,692000,3466000,-1042000,3914000,-5367000,5065000,1061000,11059000,11769000,-17471000
98,Cash at the End of Period,- -,3431000,1097000,4953000,17280000,26244000,46615000,37602000,54456000,3233000,4622000,2573000,9535000,956000,1648000,5114000,4072000,7986000,2619000,7684000,8745000,19804000,31573000,14102000
99,Cash at the Beginning of Period,- -,3480000,3431000,1097000,4953000,17280000,26244000,46615000,37602000,54456000,3233000,4622000,2573000,9535000,956000,1648000,5114000,4072000,7986000,2619000,7684000,8745000,19804000,31573000
100,Free Cash Flow,6190000,7425000,11266000,4775000,7896000,14121000,26567000,18248000,22330000,15168000,13716000,-9121000,10688000,2939000,7828000,9359000,8995000,12166000,13897000,27229000,20621000,31583000,27775000,-791000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1129155/000091406201500154/0000914062-01-500154-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000091205702011200/a2074084z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1129155/000104746903009657/0001047469-03-009657-index.html,- -,https://www.sec.gov/Archives/edgar/data/1129155/000116796605000366/t5159_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811206000657/t9287_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811207000577/t13154_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811208000715/d22769_10-k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811209000486/0001188112-09-000486-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811210000516/0001188112-10-000516-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811211000494/t69888_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000118811212000534/0001188112-12-000534-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811213000534/0001188112-13-000534-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000118811214000618/t78450_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000157104915001481/t81552_10k.htm,https://www.sec.gov/Archives/edgar/data/1129155/000157104916012369/0001571049-16-012369-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000157104917001712/0001571049-17-001712-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000114420418011707/0001144204-18-011707-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000114420419011172/0001144204-19-011172-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000110465920027034/0001104659-20-027034-index.html,https://www.sec.gov/Archives/edgar/data/1129155/000110465921029338/0001104659-21-029338-index.htm,https://www.sec.gov/Archives/edgar/data/1129155/000155837022002350/0001558370-22-002350-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
