,https://roic.ai/company/KAMN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0344,0.0345,0.0341,0.0330,0.0109,0.0233,0.0218,0.0222,-0.0363,-0.0161,0.0218,0.0247,0.0675,0.0298,0.0255,0.0358,0.0134,-0.0381,0.0217,-0.0119,0.0118,0.0264,0.0515,0.0284,0.0285,0.0291,0.0341,0.0345,0.0340,0.0322,0.0340,0.0325,0.0276,0.0289,0.2755,-0.0889,0.0616
25,EPS,0.69,0.72,1.37,1.43,0.48,1.06,0.93,0.96,-1.63,-0.93,0.86,1.06,3.53,1.28,1.07,1.61,0.52,-1.50,0.86,-0.52,0.57,1.32,2.29,1.41,1.27,1.48,1.95,2.08,2.14,2.14,2.22,2.17,1.80,1.94,7.51,-2.52,1.57
26,EPS Diluted,0.69,0.72,1.27,1.31,0.48,1.01,0.91,0.93,-1.63,-0.93,0.85,1.00,2.86,1.23,1.05,1.57,0.52,-1.50,0.86,-0.52,0.57,1.30,2.23,1.40,1.27,1.47,1.93,2.07,2.10,2.08,2.17,2.10,1.75,1.92,7.47,-2.52,1.57
27,Weighted Average Shares Outstanding,17189000,17350000,17591241,17692308,18125000,18113208,18279570,18125000,17668712,18172043,18488372,18773585,18923513,23437500,23457944,22931677,22526923,22400667,22563953,22734615,22856140,24080303,24375000,25228000,25648000,25928000,26246000,26425000,26744000,27053000,27177000,27107000,27611000,27945000,27936000,27723000,27865000
28,Weighted Average Shares Outstanding Diluted,17189000,17350000,18976378,19312977,18125000,19009901,18681319,18709677,17668712,18172043,18705882,19900000,23356643,24390244,23904762,23515924,22526923,22400667,22563953,22734615,22856140,24450769,25261000,25512000,25779000,26104000,26500000,26622000,27143000,27777000,27868000,28072000,28418000,28223000,28092000,27723000,27891000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54381/000005438195000015/0000054381-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/54381/000005438196000002/0000054381-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/54381/000005438197000004/0000054381-97-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54381/000005438101500005/0000054381-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/54381/000005438102000005/0000054381-02-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/54381/000005438105000024/0000054381-05-000024-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438106000036/0000054381-06-000036-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438107000022/0000054381-07-000022-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000119312508041841/0001193125-08-041841-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000119380509000523/0001193805-09-000523-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000114420410009923/0001144204-10-009923-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000114420411011534/0001144204-11-011534-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438112000016/0000054381-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438113000015/0000054381-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438114000010/0000054381-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438115000011/0000054381-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438116000074/0000054381-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438117000007/0000054381-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438118000010/0000054381-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438119000009/0000054381-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438120000008/0000054381-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438121000010/0000054381-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438122000011/0000054381-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35800000,1800000,15400000,10100000,8700000,3200000,3300000,2500000,3800000,3700000,4100000,5400000,110000000,65100000,76200000,48157000,30834000,5571000,7130000,12369000,12998000,12720000,73898000,8161000,18007000,32232000,14985000,16593000,10384000,12411000,16462000,41205000,36904000,27711000,471540000,104377000,140800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35800000,1800000,15400000,10100000,8700000,3200000,3300000,2500000,3800000,3700000,4100000,5400000,110000000,65100000,76200000,48157000,30834000,5571000,7130000,12369000,12998000,12720000,73898000,8161000,18007000,32232000,14985000,16593000,10384000,12411000,16462000,41205000,36904000,27711000,471540000,104377000,140800000
34,Net Receivables,79600000,109400000,132200000,158300000,183000000,189700000,170400000,178700000,165600000,146400000,177900000,185500000,191200000,213100000,156200000,212374000,186798000,201049000,194286000,190141000,176285000,189328000,158435000,173847000,135423000,176040000,190608000,180798000,208170000,234648000,241693000,236929000,316340000,411707000,278106000,262451000,185878000
35,Inventory,73300000,95500000,108400000,124700000,123300000,130200000,132400000,140800000,130500000,160200000,192700000,213500000,199500000,207900000,199700000,196148000,197400000,164715000,178952000,196718000,220714000,231350000,210341000,255817000,285263000,316899000,339846000,367385000,390495000,359741000,385747000,393814000,367437000,294912000,156353000,185072000,193100000
36,Other Current Assets,700000,1500000,800000,5100000,4500000,3900000,3900000,12600000,16700000,28700000,30200000,29700000,34600000,30400000,28000000,25321000,27619000,42910000,38483000,51107000,48811000,44522000,48955000,48691000,43910000,59782000,54663000,53269000,56156000,55456000,32133000,26605000,27188000,38775000,30489000,46074000,26765000
37,Total Current Assets,189400000,208200000,256800000,298200000,319500000,327000000,310000000,334600000,316600000,339000000,404900000,434100000,535300000,516500000,460100000,482000000,442651000,414245000,418851000,450335000,458808000,477920000,491629000,486516000,482603000,584953000,600102000,618045000,665205000,662256000,676035000,698553000,747869000,773105000,936488000,597974000,546543000
38,PP&E,32000000,66500000,73600000,82400000,82900000,79100000,75200000,73300000,81700000,84600000,83100000,76400000,57600000,65800000,64300000,63705000,60769000,61635000,51049000,48958000,51592000,54165000,53645000,79476000,81322000,89719000,111895000,128669000,148508000,147825000,175586000,176521000,185452000,184224000,155609000,223732000,208833000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54693000,56833000,45993000,83594000,88190000,114818000,153267000,192046000,203923000,238581000,352710000,337894000,351717000,345365000,195314000,247244000,240681000
40,Intangible Assets,- -,37300000,37900000,37100000,33500000,32700000,31800000,30700000,29400000,8500000,8100000,7600000,2600000,- -,- -,- -,12165000,50994000,53347000,55538000,19836000,19264000,195000,28211000,28684000,49428000,73816000,92913000,89449000,94491000,144763000,126444000,117118000,91007000,53439000,150198000,138074000
41,Intangible Assets,- -,37300000,37900000,37100000,33500000,32700000,31800000,30700000,29400000,8500000,8100000,7600000,2600000,- -,- -,- -,12165000,50994000,53347000,55538000,74529000,76097000,46188000,111805000,116874000,164246000,227083000,284959000,293372000,333072000,497473000,464338000,468835000,436372000,248753000,397442000,378755000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4086000,7908000,14000000,3594000,71926000,69811000,33740000,38434000,42905000,10287000,34784000,66815000,59373000,27603000,24437000,35240000,39809000,15717000
44,Other Non-Current Assets,4600000,3600000,4000000,2700000,5200000,4900000,4900000,4800000,12500000,10800000,4000000,3600000,2700000,4900000,9800000,8125000,6361000,8666000,5064000,3414000,5660000,8231000,39807000,12890000,22457000,23099000,18884000,22415000,23259000,23268000,25296000,27501000,25693000,42175000,42853000,47436000,48634000
45,Total Non-Current Assets,36600000,107400000,115500000,122200000,121600000,116700000,111900000,108800000,123600000,103900000,95200000,87600000,62900000,70700000,74100000,71830000,79295000,121295000,109460000,111996000,139689000,152493000,143234000,276097000,290464000,310804000,396296000,478948000,475426000,538949000,765170000,727733000,707583000,687208000,482455000,708419000,651939000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,226000000,315600000,372300000,420400000,441100000,443700000,421900000,443400000,440200000,442900000,500100000,521700000,598200000,587200000,534200000,553830000,521946000,535540000,528311000,562331000,598497000,630413000,634863000,762613000,773067000,895757000,996398000,1096993000,1140631000,1201205000,1441205000,1426286000,1455452000,1460313000,1418943000,1306393000,1198482000
48,Accounts Payable,- -,- -,- -,- -,45500000,48900000,51400000,59300000,51200000,54600000,61700000,61300000,45300000,51600000,48800000,58057000,52044000,46664000,59600000,74809000,94716000,95059000,74236000,84059000,79309000,95416000,106025000,113143000,119482000,116787000,121044000,116663000,127591000,158627000,70884000,60200000,42134000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,94700000,63500000,63000000,7200000,4800000,4600000,3720000,1660000,10307000,7673000,24883000,2575000,1551000,1680000,6241000,6835000,32379000,13172000,10021000,10559000,10000000,5000000,119548000,7500000,9375000,4306000,4305000,4502000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1464000,5458000,644000,987000,2892000,673000,2734000,326000,1165000,1517000,139000,4722000,19000,386000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9470000,2406000,11274000,13356000,8527000,28865000,42942000,39073000,2945000
52,Other Current Liabilities,78000000,98800000,93900000,109600000,73100000,67800000,59500000,62700000,115600000,43600000,81100000,71300000,207000000,172600000,115000000,111565000,87556000,100123000,93282000,126413000,125985000,101727000,106715000,88239000,67926000,94050000,99501000,100788000,88445000,92531000,99371000,104319000,102681000,101609000,85860000,124834000,71354000
53,Total Current Liabilities,78000000,98800000,93900000,109600000,118600000,116700000,110900000,122000000,166800000,192900000,206300000,195600000,259500000,229000000,168400000,173342000,141260000,157094000,160555000,226105000,223276000,198337000,182631000,178539000,154070000,221845000,218698000,223952000,227956000,221724000,236689000,353886000,246299000,298476000,203992000,228412000,120935000
54,Long-Term Debt,25200000,75500000,114900000,123400000,130600000,123200000,102100000,100900000,38000000,37400000,66400000,83900000,29900000,28200000,26500000,24886000,23226000,60132000,36624000,18522000,62235000,72872000,11194000,87924000,56800000,153545000,205088000,249585000,264655000,271232000,435821000,296598000,391651000,284256000,181622000,199041000,199190000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78562000,37855000,11019000,16528000
56,Deferred Tax Liabilities,2400000,- -,- -,- -,7800000,6300000,2800000,6400000,7100000,8900000,13100000,14000000,18800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7926000,8352000,7556000,6827000,5150000,3855000,3391000,15207000,6875000,8024000,7027000,6994000,7381000,6506000
57,Other Non-Current Liabilities,200000,4500000,6200000,8800000,1600000,4400000,3900000,4600000,- -,-100000,- -,100000,- -,20500000,22900000,23556000,23879000,26367000,27949000,33534000,43232000,62643000,46512000,213953000,240945000,150141000,192714000,198113000,132873000,187193000,210411000,203140000,173822000,158835000,165278000,114102000,58994000
58,Total Non-Current Liabilities,27800000,80000000,121100000,132200000,140000000,133900000,108800000,111900000,45100000,46200000,79500000,98000000,48700000,48700000,49400000,48442000,47105000,86499000,64573000,52056000,105467000,135515000,57706000,309803000,306097000,311242000,404629000,452848000,401383000,461816000,661439000,506613000,573497000,528680000,391749000,331543000,281218000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4985000,6579000,21482000,17945000,14271000
61,Total Liabilities,105800000,178800000,215000000,241800000,258600000,250600000,219700000,233900000,211900000,239100000,285800000,293600000,308200000,277700000,217800000,221784000,188365000,243593000,225128000,278161000,328743000,333852000,240337000,488342000,460167000,533087000,623327000,676800000,629339000,683540000,898128000,860499000,819796000,827156000,595741000,559955000,402153000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,23734000,23734000,23734000,23734000,23734000,24565000,24565000,25182000,25515000,25817000,26091000,26496000,26881000,27190000,27518000,27736000,28162000,29141000,29545000,30058000,30279000,30434000
64,Retained Earnings,93600000,108600000,126400000,144300000,145100000,156300000,165200000,174600000,137500000,112600000,120400000,132100000,190300000,209900000,224700000,251526000,253403000,209932000,219401000,197586000,199383000,219137000,262417000,283789000,302058000,325844000,361389000,399473000,439441000,479984000,520865000,560200000,587877000,610103000,820666000,728764000,750445000
65,Other Comprehensive Income/Loss,-26100000,-30000000,-37100000,-45000000,-54400000,-63700000,-74100000,-83800000,-91800000,-98800000,-106300000,-114900000,-95500000,-102000000,-102400000,-107190000,-113131000,-3193000,-3038000,-1577000,-4599000,-2462000,28555000,-119658000,-104042000,-86300000,-117946000,-121590000,-81121000,-126261000,-140138000,-156393000,-115814000,-134898000,-150893000,-130821000,-111385000
66,Other Total Stockholders Equity,52700000,58200000,68000000,79300000,91800000,100500000,111100000,118700000,182600000,190000000,200200000,210900000,195200000,201600000,170300000,163976000,169575000,61474000,63086000,64427000,50405000,55321000,78372000,84625000,89067000,97035000,103132000,115429000,125782000,136424000,134614000,133818000,134452000,128407000,123371000,118216000,126835000
67,Total Stockholders Equity,120200000,136800000,157300000,178600000,182500000,193100000,202200000,209500000,228300000,203800000,214300000,228100000,290000000,309500000,316400000,332046000,333581000,291947000,303183000,284170000,269754000,296561000,394526000,274271000,312900000,362670000,373071000,420193000,511292000,517665000,543077000,565787000,635656000,633157000,823202000,746438000,796329000
68,Total Liabilities And Stockholders Equity,226000000,315600000,372300000,420400000,441100000,443700000,421900000,443400000,440200000,442900000,500100000,521700000,598200000,587200000,534200000,553830000,521946000,535540000,528311000,562331000,598497000,630413000,634863000,762613000,773067000,895757000,996398000,1096993000,1140631000,1201205000,1441205000,1426286000,1455452000,1460313000,1418943000,1306393000,1198482000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,226000000,315600000,372300000,420400000,441100000,443700000,421900000,443400000,440200000,442900000,500100000,521700000,598200000,587200000,534200000,553830000,521946000,535540000,528311000,562331000,598497000,630413000,634863000,762613000,773067000,895757000,996398000,1096993000,1140631000,1201205000,1441205000,1426286000,1455452000,1460313000,1418943000,1306393000,1198482000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54381/000005438195000015/0000054381-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/54381/000005438196000002/0000054381-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/54381/000005438197000004/0000054381-97-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54381/000005438101500005/0000054381-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/54381/000005438102000005/0000054381-02-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/54381/000005438105000024/0000054381-05-000024-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438106000036/0000054381-06-000036-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438107000022/0000054381-07-000022-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000119312508041841/0001193125-08-041841-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000119380509000523/0001193805-09-000523-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000114420410009923/0001144204-10-009923-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000114420411011534/0001144204-11-011534-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438112000016/0000054381-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438113000015/0000054381-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438114000010/0000054381-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438115000011/0000054381-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438116000074/0000054381-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438117000007/0000054381-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438118000010/0000054381-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438119000009/0000054381-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438120000008/0000054381-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438121000010/0000054381-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/54381/000005438122000011/0000054381-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8700000,19200000,17000000,17400000,-28800000,-13200000,19600000,23600000,70500000,30000000,25100000,36920000,11714000,-33601000,19405000,-11822000,13028000,31786000,55919000,35599000,32649000,38324000,51142000,55025000,57100000,57872000,60438000,58854000,49826000,54169000,209829000,-69742000,43676000
74,Depreciation and Amortization,- -,- -,- -,- -,12800000,13500000,13600000,13400000,13500000,13100000,12700000,12400000,12200000,11100000,12000000,11630000,11441000,11620000,10019000,8969000,9555000,10472000,9893000,12842000,16104000,20484000,23191000,28383000,31875000,36209000,37729000,44929000,42471000,42029000,25854000,43899000,36654000
75,Deferred Income Tax,- -,- -,- -,- -,-500000,-1500000,-3500000,-4500000,-19700000,-7100000,10200000,-1300000,3700000,200000,-800000,-75000,-375000,-16715000,5994000,-11421000,3183000,-243000,-7780000,10108000,-1102000,12855000,5472000,-1210000,1991000,1434000,-1281000,7928000,24555000,10417000,182000,-6055000,20998000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2109000,3084000,4458000,6806000,5865000,4973000,5411000,6388000,5686000,5956000,6505000,4669000,4979000,6687000
77,Change in Working Capital,- -,- -,- -,- -,-26400000,9400000,-11200000,13500000,-62800000,-3700000,52500000,39900000,37300000,11700000,4200000,16958000,-7267000,-44240000,1145000,-34066000,11302000,44051000,29415000,-1021000,20556000,34575000,18296000,12689000,43156000,3283000,-1186000,-94679000,156903000,-26941000,257867000,-362934000,-40828000
