,https://roic.ai/company/AMRC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,22271655,16932639,18291000,28744000,21189000,19871000,24363000,26618000,33984000,35918000
52,Other Current Liabilities,39436890,48658567,40605871,35900581,13157024,12562085,27756000,22793000,23538000,24015000,37047000,31842000,42729000,44133000
53,Total Current Liabilities,90967169,132329961,140630886,148267775,148888812,131201358,146089000,179723000,190602000,202142000,222630000,336647000,383097000,474224000
54,Long-Term Debt,93979213,105805953,202409484,196401588,201922172,103221845,90037000,105793000,140593000,173237000,219162000,266181000,346974000,412319000
55,Deferred Revenue,- -,4158508,4200929,6024099,7590730,52460672,79717000,130331000,140742000,242276000,294684000,251922000,448494000,540785000
56,Deferred Tax Liabilities,12160724,11901645,12013799,29953103,24888229,11318406,7210000,4010000,9037000,584000,4352000,115000,2363000,3871000
57,Other Non-Current Liabilities,20833612,18578754,28144144,28529867,30362869,29652488,20300000,19344000,22001000,29092000,43931000,90292000,76510000,89358000
58,Total Non-Current Liabilities,126973549,140444860,246768356,260908657,264764000,196653411,197264000,259478000,312373000,445189000,562129000,608510000,874341000,1046333000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34903000,41406000,41411000
61,Total Liabilities,217940718,272774821,387399242,409176432,413652812,327854769,343353000,439201000,502975000,647331000,784759000,945157000,1257438000,1520557000
62,Preferred Stock,321,321,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1426,1800,4593,4871,5002,4587,5000,5000,5000,5000,5000,5000,5000,5000
64,Retained Earnings,77975837,97882985,126609101,161335621,177169717,171093577,181477000,184454000,194353000,235844000,269806000,314459000,368390000,438732000
65,Other Comprehensive Income/Loss,-698753,2831970,3551521,-1868352,713194,3112442,-2620000,-5228000,-6591000,-5626000,-5949000,-7514000,-9290000,-6667000
66,Other Total Stockholders Equity,-3192576,2052711,64886516,76885281,83958861,102586666,107445000,110311000,106539000,106397000,113013000,121906000,133708000,272194000
67,Total Stockholders Equity,74086255,102769787,195051731,236357421,261846774,276797272,286307000,289542000,294306000,336620000,376875000,428856000,492813000,704264000
68,Total Liabilities And Stockholders Equity,292026973,375544608,582450973,645533853,675499586,604652041,629660000,728743000,797281000,983951000,1161634000,1374013000,1750251000,2224821000
69,Minority Interest,- -,- -,- -,63614,-27583,7522,-1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,292026973,375544608,582450973,645597467,675472003,604659563,629659000,728743000,797281000,983951000,1161634000,1374013000,1750251000,2224821000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1488139/000148813911000007/amrc1231201010k2.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813912000005/0001488139-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813913000009/0001488139-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813914000010/amrc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813915000011/amrc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813916000091/0001488139-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813917000008/0001488139-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813918000015/0001488139-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813919000022/0001488139-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813920000014/0001488139-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813921000036/0001488139-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813922000014/0001488139-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,18273100,19907148,28726116,34726520,18360133,2414187,10383000,2977000,12032000,37491000,37984000,44436000,54052000,70458000
74,Depreciation and Amortization,3778266,6633690,11419186,14008738,19340090,20474513,22829000,24324000,24755000,25493000,30529000,39439000,42041000,46577000
75,Deferred Income Tax,-2071600,3400628,-253975,19842638,-3849798,-15261027,-2749000,1953000,2867000,-4527000,5517000,-3346000,3401000,-4760000
76,Stock Based Compensation,2940756,3168721,2498660,2865706,3351142,2799403,2493000,1769000,1462000,1293000,1258000,1620000,1933000,8716000
77,Change in Working Capital,-23384895,-1022616,31636475,63715750,14159344,-30323267,-37984762,3329000,-48516000,49477000,3403000,206000,19073000,-307887000
78,Accounts Receivable,-3342767,-6004094,-8624951,-30648984,28679481,-500498,11900000,-8297000,-8127000,3149000,13546000,-11869000,-37291000,-28835000
79,Inventory,-3821507,3222762,-2542183,-1808348,-858895,-94076,1308000,-4327000,1118000,3966000,373000,-1471000,660000,-232000
80,Accounts Payable,- -,- -,3925716,- -,10678911,-13281139,9496000,26273000,-2798000,19652000,2938000,43531000,29047000,83473000
81,Other Working Capital,40465076,39442460,71078935,134794685,148954029,118630762,80646000,83975000,35459000,84936000,88339000,88545000,107618000,-693000
82,Other Non-Cash Items,1811793,13208739,-53176653,-105013029,36167467,-40713015,5282762,-83890000,-50673000,-245786000,-131892000,-278648000,-223083000,14600000
83,Cash Provided by Operating Activities,1347420,45296310,20849809,30146323,87528378,-60609206,254000,-49538000,-58073000,-136559000,-53201000,-196293000,-102583000,-172296000
84,CAPEX,-43021938,-21639597,-39626528,-51907850,-52251348,-26871879,-28424000,-52683000,-76041000,-88410000,-129616000,-140628000,-182757000,-183775000
85,Acquisitions Net,- -,-674110,-6303006,-66232848,-4012459,-9837740,-13903000,- -,-3575000,368000,-3590000,-1595000,-132000,-22256000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,12539345,7310767,6772963,3727000,854000,- -,- -,- -,- -,1874000,-178105000
89,Cash Used for Investing Activites,-43021938,-22313707,-45929534,-105601353,-48953040,-29936656,-38600000,-51829000,-79616000,-88042000,-133206000,-142223000,-181015000,-205257000
90,Debt Repayment,-5440368,-18170315,-30885874,-5074411,-22170021,-14669171,-18392000,-12392000,-14014000,-54164000,-36395000,-28425000,-73633000,-98200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120084000
92,Common Stock Repurchased,-4914169,-874948,-768970,- -,- -,- -,- -,- -,-6387000,-3412000,-1839000,-144000,-6000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,32559128,23173949,52159813,63150422,20337162,57859421,61168000,113097000,157702000,285664000,262745000,345988000,378808000,343577000
95,Cash Used/Provided by Financing Activities,22204591,4128686,20504969,58076011,-1832859,43190250,42776000,100705000,137301000,228088000,224511000,317419000,305169000,365461000
96,Effect of Forex Changes on Cash,-3273211,2667108,1338237,-1034636,327800,1178703,2161000,-1455000,-650000,168000,-295000,447000,2000,309000
97,Net Change In Cash,-22743138,29778395,-3236519,-18413655,37070279,-46176909,6591000,-2117000,-1038000,3655000,37809000,-20650000,21573000,-11783000
98,Cash at the End of Period,18149145,47927540,44691021,26277366,63347645,17170736,23762000,21645000,20607000,24262000,97914000,77264000,98837000,87054000
99,Cash at the Beginning of Period,40892283,18149145,47927540,44691021,26277366,63347645,17171000,23762000,21645000,20607000,60105000,97914000,77264000,98837000
100,Free Cash Flow,-41674518,23656713,-18776719,-21761527,35277030,-87481085,-28170000,-102221000,-134114000,-224969000,-182817000,-336921000,-285340000,-356071000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1488139/000148813911000007/amrc1231201010k2.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813912000005/0001488139-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813913000009/0001488139-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813914000010/amrc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813915000011/amrc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813916000091/0001488139-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813917000008/0001488139-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813918000015/0001488139-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813919000022/0001488139-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813920000014/0001488139-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1488139/000148813921000036/0001488139-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1488139/000148813922000014/0001488139-22-000014-index.htm
102,false,,,,,,,,,,,,,,
