,https://roic.ai/company/ENZN,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-4379000,1592000,79380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11111000,7749000,3362000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8296000,6869000,3139000,2119000,-205000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-100000,-1200000,-1300000,12500000,-5700000,-1400000,14600000,11100000,-13800000,-5800000,-11800000,3800000,5200000,-3400000,-2200000,19500000,25808573,396702098,-244349329,-85447342,22375000,35510000,1870000,-23643000,23269000,-33647000,-21833000,296014000,-266232000,-37850000,-70517000,24171000,-23006000,-9000,235000,6819000,-8453000,42250000,-32000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-100000,-100000,-100000,-1300000,300000,600000,400000,-800000,- -,- -,100000,-200000,100000,-200000,-300000,379884,-905427,-361523,-1000000,571000,-4464000,-1604000,-4679000,6029000,-1466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178000,2801000,-2620000,-796000,-683000,88000,-91000,680000,-545000,214000,-115000,-22000,29000
81,Other Working Capital,- -,- -,3500000,2300000,1000000,13500000,7800000,6400000,21000000,32100000,18300000,12500000,700000,4500000,9700000,6300000,4100000,23600000,49408573,446110671,201761342,116314000,138689000,174199000,176069000,152426000,175695000,142048000,120215000,416229000,149997000,76330000,5813000,29984000,6978000,6969000,7204000,14023000,5570000,47820000,- -
82,Other Non-Cash Items,- -,- -,- -,1200000,1300000,-12500000,5400000,2400000,-11100000,-9800000,16000000,13300000,11700000,-2700000,-3500000,1700000,900000,-20500000,-25508573,-397810613,238621218,79268011,-17034000,-27728000,3552000,27358000,-24569000,46746000,7461000,-463322000,265795000,42703000,66345000,-20628000,27158000,-4015000,-2571000,-13646000,16337000,-41319000,- -
83,Cash Provided by Operating Activities,- -,- -,-100000,-500000,-1000000,-1600000,-2400000,-3200000,-1200000,-6300000,-9200000,-18800000,-22100000,-12600000,-2100000,-4800000,-4200000,-3400000,-3800000,-6915734,5553967,30746780,60520000,37091000,22261000,43307000,100431000,30507000,13890000,22615000,-12725000,8452000,14005000,32338000,14678000,2599000,6471000,-978000,6905000,-380000,-501000
84,CAPEX,- -,- -,- -,-400000,-200000,-100000,-200000,-1000000,-1000000,-900000,-2500000,-4900000,-4400000,-800000,-400000,-100000,-900000,-200000,-400000,-768415,-2082621,-22502741,-11225000,-6430000,-3106000,-44694000,-35063000,-7886000,-8314000,-1967000,-630000,-23000,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369265000,- -,- -,- -,- -,- -,- -,262581000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,-1200000,-9000000,-1600000,-4900000,- -,- -,- -,- -,- -,- -,-90478010,-163264437,-560601661,-142232000,-79315000,-219855000,-609318000,-412887000,-126514000,-109791000,-2834000,-263061000,-208267000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,11800000,13100000,5000000,- -,- -,- -,- -,- -,4000000,45327972,350809000,426226000,37984000,179341000,567421000,415345000,217191000,91958000,86306000,104448000,305838000,118894000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-300000,-300000,- -,- -,-11700000,-500000,600000,- -,1200000,- -,700000,100000,100000,- -,3525,962,-12186000,34923000,- -,-11000000,- -,- -,-5000000,-105000,4000,9000,2234000,151000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-400000,-200000,-100000,-500000,-1300000,-1800000,-2100000,-23200000,4800000,4400000,4200000,800000,-100000,-200000,-100000,-300000,-87246425,-120015561,-232294440,-108682000,-12838000,-43620000,-97591000,-32605000,82791000,-26147000,343981000,-159239000,97557000,121128000,151000,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15602000,- -,-5000000,- -,-115849000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,3100000,24300000,36300000,1500000,18600000,2200000,3700000,9500000,30000,1700000,22300000,103370504,5524972,5181821,1265000,527000,229000,1090000,1253000,1450000,- -,32260000,5873000,106000,12000,- -,- -,- -,- -,- -,- -,43600000,- -
92,Common Stock Repurchased,- -,- -,100000,4300000,- -,400000,15300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000,- -,- -,- -,- -,-307000,-2264000,-48170000,-120793000,-31744000,-33000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1946571,- -,- -,-183000,- -,- -,- -,- -,- -,- -,- -,- -,-87348000,-89808000,-4417000,-37562000,-6632000,-6632000,- -,-7959000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,- -,- -,-2800000,- -,-1700000,-700000,- -,- -,- -,- -,- -,-2000,- -,- -,- -,387225049,- -,- -,- -,-849000,5128000,-49732000,-74783000,852000,-3596000,-1322000,-13999000,-283000,-30000,-6000,- -,- -,- -,- -,-524000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,100000,4300000,-100000,400000,15300000,-2500000,3100000,22600000,35600000,1500000,18600000,2200000,3700000,9500000,28000,1700000,22300000,101423933,392750021,5181821,1056000,527000,-620000,6218000,-48479000,-73640000,-17014000,-19506000,-121242000,-132985000,-205961000,-4447000,-37568000,-6632000,-6632000,- -,-7959000,43076000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,3500000,-1300000,-1300000,12400000,-7100000,3100000,22600000,35600000,1500000,18600000,2200000,3700000,9500000,-4400000,-1800000,18200000,7261774,278288427,-196365839,-47106000,24780000,-21979000,-48066000,19347000,39658000,-29271000,347090000,-293206000,-26976000,-70828000,28042000,-22890000,-4033000,-161000,-978000,-1054000,42696000,-501000
98,Cash at the End of Period,- -,- -,6500000,3500000,2200000,900000,12400000,-6700000,- -,- -,- -,- -,- -,- -,- -,- -,8300000,6500000,24700000,31935410,310223837,113857998,66752000,91532000,55553000,28431000,40053000,79711000,50440000,397530000,104324000,77348000,6520000,34562000,11672000,7639000,7478000,6500000,5446000,48142000,47641000
99,Cash at the Beginning of Period,- -,- -,6500000,- -,3500000,2200000,- -,400000,6200000,6300000,20500000,23700000,11100000,12000000,5700000,8100000,12700000,8300000,6500000,24673636,31935410,310223837,113858000,66752000,77532000,76497000,20706000,40053000,79711000,50440000,397530000,104324000,77348000,6520000,34562000,11672000,7639000,7478000,6500000,5446000,48142000
100,Free Cash Flow,- -,- -,-100000,-900000,-1200000,-1700000,-2600000,-4200000,-2200000,-7200000,-11700000,-23700000,-26500000,-13400000,-2500000,-4900000,-5100000,-3600000,-4200000,-7684149,3471346,8244039,49295000,30661000,19155000,-1387000,65368000,22621000,5576000,20648000,-13355000,8429000,14005000,32338000,14678000,2599000,6471000,-978000,6905000,-380000,-501000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727510/000072751095000015/0000727510-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/727510/000072751096000055/0000727510-96-000055-index.html,https://www.sec.gov/Archives/edgar/data/727510/000089155497000895/0000891554-97-000895-index.html,https://www.sec.gov/Archives/edgar/data/727510/000089155498001222/0000891554-98-001222-index.html,https://www.sec.gov/Archives/edgar/data/727510/000089155499001844/0000891554-99-001844-index.html,https://www.sec.gov/Archives/edgar/data/727510/000089155400500061/0000891554-00-500061-index.html,https://www.sec.gov/Archives/edgar/data/727510/000089155401505567/0000891554-01-505567-index.html,https://www.sec.gov/Archives/edgar/data/727510/000116923202001801/0001169232-02-001801-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727510/000095012307003122/0000950123-07-003122-index.html,https://www.sec.gov/Archives/edgar/data/727510/000095012308002345/y50446e10vk.htm,https://www.sec.gov/Archives/edgar/data/727510/000093041309001260/0000930413-09-001260-index.html,https://www.sec.gov/Archives/edgar/data/727510/000093041310001404/0000930413-10-001404-index.html,https://www.sec.gov/Archives/edgar/data/727510/000093041311001936/c64669_10k.htm,https://www.sec.gov/Archives/edgar/data/727510/000093041312001483/0000930413-12-001483-index.html,https://www.sec.gov/Archives/edgar/data/727510/000114420413015878/0001144204-13-015878-index.html,https://www.sec.gov/Archives/edgar/data/727510/000114420414015753/v370530_10k.htm,https://www.sec.gov/Archives/edgar/data/727510/000114420415014238/v402704_10k.htm,https://www.sec.gov/Archives/edgar/data/727510/000114420416089172/0001144204-16-089172-index.html,https://www.sec.gov/Archives/edgar/data/727510/000114420417016511/0001144204-17-016511-index.html,https://www.sec.gov/Archives/edgar/data/727510/000114420418016199/0001144204-18-016199-index.html,https://www.sec.gov/Archives/edgar/data/727510/000114420419009301/0001144204-19-009301-index.html,https://www.sec.gov/Archives/edgar/data/727510/000110465920022802/0001104659-20-022802-index.html,https://www.sec.gov/Archives/edgar/data/727510/000110465921026712/0001104659-21-026712-index.htm,https://www.sec.gov/Archives/edgar/data/727510/000141057822000226/0001410578-22-000226-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
