,https://roic.ai/company/RGS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716643/000091205796020411/0000912057-96-020411-index.html,https://www.sec.gov/Archives/edgar/data/716643/000091205797031608/0000912057-97-031608-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746998034843/0001047469-98-034843-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746999036112/0001047469-99-036112-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/716643/000095013402011657/0000950134-02-011657-index.html,https://www.sec.gov/Archives/edgar/data/716643/000095013403012817/c79570e10vk.htm,https://www.sec.gov/Archives/edgar/data/716643/000095013404013482/0000950134-04-013482-index.html,https://www.sec.gov/Archives/edgar/data/716643/000110465905043564/a05-12089_110k.htm,https://www.sec.gov/Archives/edgar/data/716643/000110465906060350/a06-19055_110k.htm,https://www.sec.gov/Archives/edgar/data/716643/000110465907065959/0001104659-07-065959-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746908009787/0001047469-08-009787-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746909008042/0001047469-09-008042-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746910007759/0001047469-10-007759-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746911007692/0001047469-11-007692-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746912008600/0001047469-12-008600-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746913008674/0001047469-13-008674-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664314000018/0000716643-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664315000025/0000716643-15-000025-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664316000086/0000716643-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664317000032/0000716643-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664318000041/0000716643-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664319000042/0000716643-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664320000042/0000716643-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/716643/000071664321000055/0000716643-21-000055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,5200000,3800000,2300000,3500000,1200000,5500000,8900000,4800000,7400000,14888000,24658000,87103000,59680000,73567000,102718000,135397000,184785000,127627000,42538000,151871000,96263000,111943000,200488000,378627000,212279000,147346000,172396000,110399000,70141000,113667000,19191000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2400000,5200000,3800000,2300000,3500000,1200000,5500000,8900000,4800000,7400000,14888000,24658000,87103000,59680000,73567000,102718000,135397000,184785000,127627000,42538000,151871000,96263000,111943000,200488000,378627000,212279000,147346000,172396000,110399000,70141000,113667000,19191000
34,Net Receivables,10200000,2200000,2600000,2600000,3000000,3900000,7000000,12400000,10600000,16500000,16220000,18861000,26901000,31947000,35033000,47752000,62558000,67773000,37824000,92099000,70519000,51903000,74719000,67177000,32904000,25624000,24691000,23475000,52430000,30143000,31030000,27372000
35,Inventory,12900000,11100000,13100000,18000000,21300000,23400000,30600000,42600000,53800000,70100000,91823000,110247000,120259000,156827000,161304000,184609000,193999000,196582000,212468000,158570000,153380000,150804000,148441000,139607000,137151000,128610000,134212000,122104000,79363000,77322000,62597000,22993000
36,Other Current Assets,1300000,10300000,2600000,5500000,10200000,6600000,6300000,13200000,12700000,19100000,20873000,18881000,22423000,31206000,43538000,45570000,49812000,75924000,67232000,59779000,53095000,47592000,49574000,81274000,64584000,61769000,51765000,52172000,47867000,33216000,19138000,17103000
37,Total Current Assets,26800000,28800000,22100000,28400000,38000000,35100000,49400000,77100000,81900000,113100000,143804000,172647000,256686000,279660000,313442000,380649000,441766000,525064000,445151000,352986000,428865000,346562000,384677000,488546000,613266000,428282000,358014000,370147000,290059000,210822000,226432000,86659000
38,PP&E,66100000,52700000,63200000,69000000,73400000,73900000,95100000,139600000,175800000,213300000,260532000,300990000,318482000,356725000,381903000,435324000,483764000,494085000,481851000,391538000,359250000,347811000,323060000,313460000,266538000,218157000,183321000,146994000,105860000,78090000,843392000,634993000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,778228000,812383000,870993000,764422000,736989000,680512000,536655000,460885000,425264000,418953000,417393000,416987000,412643000,345718000,227457000,229582000
40,Intangible Assets,36900000,35300000,34400000,37100000,48100000,51400000,70700000,99800000,114200000,154000000,208724000,246144000,359436000,437116000,536314000,855310000,216831000,213452000,144291000,126961000,118070000,111328000,101790000,21496000,19812000,17069000,15185000,13634000,10557000,8761000,4579000,3761000
41,Intangible Assets,36900000,35300000,34400000,37100000,48100000,51400000,70700000,99800000,114200000,154000000,208724000,246144000,359436000,437116000,536314000,855310000,995059000,1025835000,1015284000,891383000,855059000,791840000,638445000,482381000,445076000,436022000,432578000,430621000,423200000,354479000,232036000,233343000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211400000,195786000,261140000,166176000,43319000,28611000,15321000,520000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,14000000,8200000,8700000,6500000,5900000,6000000,15000000,10500000,13200000,15295000,16724000,22586000,39454000,40200000,54693000,61475000,87130000,293585000,45179000,80612000,58400000,59488000,62786000,62458000,64233000,62328000,63726000,37616000,39446000,40934000,41388000
45,Total Non-Current Assets,103500000,102000000,105800000,114800000,128000000,131200000,171800000,254400000,300500000,380500000,484551000,563858000,700504000,833295000,958417000,1345327000,1540298000,1607050000,1790720000,1539500000,1490707000,1459191000,1187169000,901946000,802683000,733733000,678747000,641341000,566676000,472015000,1116362000,909724000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,130300000,130800000,127900000,143200000,166000000,166300000,221200000,331500000,382400000,493600000,628355000,736505000,957190000,1112955000,1271859000,1725976000,1982064000,2132114000,2235871000,1892486000,1919572000,1805753000,1571846000,1390492000,1415949000,1162015000,1036761000,1011488000,856735000,682837000,1342794000,996383000
48,Accounts Payable,- -,13700000,7400000,7100000,9800000,9100000,13900000,24100000,22400000,22800000,34216000,37689000,54545000,56175000,53112000,64111000,70807000,74532000,69693000,62394000,57683000,55107000,50454000,66071000,68491000,63302000,59884000,56049000,57738000,47532000,50918000,27157000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,13700000,30700000,19700000,23900000,9983000,5438000,7221000,21123000,19128000,19747000,101912000,223352000,230224000,55454000,51629000,32252000,28937000,173515000,173501000,2000,- -,- -,- -,- -,137271000,116471000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32010000,- -,- -,- -,- -,8313000,9054000,2147000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,134300000,26000000,22600000,35400000,32700000,36000000,29300000,37300000,41700000,53300000,58845000,68788000,97523000,121767000,129721000,178192000,198226000,240748000,207605000,156638000,160797000,159008000,163528000,135079000,142720000,153362000,135431000,122013000,97630000,80751000,48825000,54857000
53,Total Current Liabilities,134300000,39700000,30000000,42500000,42500000,45100000,56900000,92100000,83800000,100000000,103044000,111915000,159289000,199065000,201961000,262050000,402955000,538632000,507522000,274486000,270109000,254680000,251973000,376812000,384712000,216666000,195315000,178062000,155368000,128283000,237014000,198485000
54,Long-Term Debt,4400000,61200000,52200000,49100000,54300000,38000000,49700000,82700000,101000000,143000000,224618000,256120000,291795000,280634000,282015000,549029000,520357000,485879000,534523000,578853000,388400000,- -,258737000,1255000,120002000,120000000,120435000,120599000,90000000,90000000,885935000,705777000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111252000,91951000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,1700000,2800000,2600000,2600000,100000,- -,- -,- -,- -,- -,- -,- -,- -,39598000,- -,85341000,84312000,55900000,- -,- -,55208000,38266000,36399000,83201000,91197000,100169000,108119000,32229000,17924000,13916000,10650000
57,Other Non-Current Liabilities,2800000,5400000,7300000,10000000,6900000,6700000,6400000,7600000,8300000,14400000,21552000,28969000,61441000,70452000,60724000,160185000,102004000,109983000,161740000,236287000,247770000,351994000,41762000,118612000,107253000,106708000,101441000,96487000,75646000,122385000,80226000,64425000
58,Total Non-Current Liabilities,7900000,68300000,62300000,61700000,63800000,44800000,56100000,90300000,109300000,157400000,246170000,285089000,353236000,351086000,382337000,709214000,707702000,680174000,752163000,815140000,636170000,518454000,430716000,156266000,310456000,317905000,322045000,325205000,197875000,230309000,980077000,780852000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281159000,- -,- -,- -,- -,- -,- -,- -,28910000,845706000,635337000
61,Total Liabilities,142200000,108000000,92300000,104200000,106300000,89900000,113000000,182400000,193100000,257400000,349214000,397004000,512525000,550151000,584298000,971264000,1110657000,1218806000,1259685000,1089626000,906279000,773134000,682689000,533078000,695168000,534571000,517360000,503267000,353243000,358592000,1217091000,979337000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,2035000,2087000,2152000,2176000,2214000,2248000,2266000,2209000,2153000,2194000,2878000,2886000,2871000,2832000,2833000,2683000,2308000,2320000,2263000,1843000,1781000,1790000
64,Retained Earnings,-11900000,-15000000,-10700000,-7500000,-3800000,10400000,27900000,27500000,55500000,86800000,128587000,176740000,243716000,325189000,424501000,476469000,578791000,654792000,728795000,597417000,631011000,610597000,484229000,499760000,357460000,316859000,304550000,288456000,297225000,265908000,94462000,-19389000
65,Other Comprehensive Income/Loss,-33000000,-35000000,-48700000,-54000000,-64400000,-73600000,-87000000,-115100000,-135400000,-163500000,-187092000,-220398000,-253836000,-284618000,-320968000,46000000,58000000,78000000,102000000,52000000,47000000,78000000,55000000,21000000,23000000,10000000,5000000,3000000,10000000,9000000,7449000,9543000
66,Other Total Stockholders Equity,33000000,72800000,95000000,100500000,127900000,139600000,167300000,236700000,269200000,311000000,335611000,381072000,452633000,520057000,581814000,229995000,232350000,178307000,143238000,151249000,332404000,341136000,347057000,333822000,337488000,297902000,207543000,214445000,194004000,47494000,22011000,25102000
67,Total Stockholders Equity,-11900000,22800000,35600000,39000000,59700000,76400000,108200000,149100000,189300000,236200000,279141000,339501000,444665000,562804000,687561000,754712000,871407000,913308000,976186000,802860000,1013293000,1032619000,889157000,857414000,720781000,627444000,519401000,508221000,503492000,324245000,125703000,17046000
68,Total Liabilities And Stockholders Equity,130300000,130800000,127900000,143200000,166000000,166300000,221200000,331500000,382400000,493600000,628355000,736505000,957190000,1112955000,1271859000,1725976000,1982064000,2132114000,2235871000,1892486000,1919572000,1805753000,1571846000,1390492000,1415949000,1162015000,1036761000,1011488000,856735000,682837000,1342794000,996383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,130300000,130800000,127900000,143200000,166000000,166300000,221200000,331500000,382400000,493600000,628355000,736505000,957190000,1112955000,1271859000,1725976000,1982064000,2132114000,2235871000,1892486000,1919572000,1805753000,1571846000,1390492000,1415949000,1162015000,1036761000,1011488000,856735000,682837000,1342794000,996383000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716643/000091205796020411/0000912057-96-020411-index.html,https://www.sec.gov/Archives/edgar/data/716643/000091205797031608/0000912057-97-031608-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746998034843/0001047469-98-034843-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746999036112/0001047469-99-036112-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/716643/000095013402011657/0000950134-02-011657-index.html,https://www.sec.gov/Archives/edgar/data/716643/000095013403012817/c79570e10vk.htm,https://www.sec.gov/Archives/edgar/data/716643/000095013404013482/0000950134-04-013482-index.html,https://www.sec.gov/Archives/edgar/data/716643/000110465905043564/a05-12089_110k.htm,https://www.sec.gov/Archives/edgar/data/716643/000110465906060350/a06-19055_110k.htm,https://www.sec.gov/Archives/edgar/data/716643/000110465907065959/0001104659-07-065959-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746908009787/0001047469-08-009787-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746909008042/0001047469-09-008042-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746910007759/0001047469-10-007759-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746911007692/0001047469-11-007692-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746912008600/0001047469-12-008600-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746913008674/0001047469-13-008674-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664314000018/0000716643-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664315000025/0000716643-15-000025-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664316000086/0000716643-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664317000032/0000716643-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664318000041/0000716643-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664319000042/0000716643-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664320000042/0000716643-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/716643/000071664321000055/0000716643-21-000055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-3200000,4400000,3900000,4100000,14700000,19100000,6600000,30500000,30300000,49654000,53088000,72054000,86675000,105478000,64631000,109578000,83170000,85204000,-124466000,42740000,-8905000,-114093000,29194000,-135727000,-33842000,-11316000,-16140000,8701000,-14226000,-171362000,-113331000
74,Depreciation and Amortization,- -,10500000,10700000,12900000,14300000,15300000,18800000,32100000,35700000,44100000,54117000,64918000,59732000,67399000,75547000,91753000,107470000,117327000,119977000,115016000,102336000,98428000,111435000,84018000,81406000,68259000,56992000,54961000,43171000,33261000,33101000,17871000
75,Deferred Income Tax,- -,-600000,1500000,-1200000,-900000,-1000000,200000,1100000,7300000,-1100000,-1003000,3249000,11890000,3475000,16071000,-9257000,7409000,-6243000,-3789000,-3843000,5115000,-14711000,-14171000,10322000,68781000,11154000,7023000,7962000,-75863000,-9812000,-3934000,-3388000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7525000,9337000,9596000,7597000,5881000,6400000,8647000,9797000,13142000,8269000,9003000,3275000,3254000
77,Change in Working Capital,- -,5000000,3000000,-6200000,9600000,-5500000,2500000,-7500000,13100000,15000000,27660000,19972000,36665000,-16802000,30886000,7118000,-79788000,-52379000,-48803000,140871000,80256000,-66874000,40822000,-20970000,116820000,-16938000,-48917000,29386000,-57394000,-52152000,-93121000,-101244000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4332000,5681000,446000,-577000,724000,-12081000,-17304000,-3902000,-279000
79,Inventory,- -,-800000,- -,-2600000,- -,-1700000,- -,- -,-10800000,-10000000,-20350000,-16724000,-7759000,-31145000,-462000,-17974000,-6068000,2709000,-5232000,7128000,4823000,4629000,2644000,-10745000,2555000,6197000,-7109000,4010000,13940000,-8492000,-2255000,17879000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3613000,-4966000,-2973000,-4856000,19086000,1907000,-3261000,-4624000,-684000,-1103000,-5836000,4588000,-21669000
81,Other Working Capital,- -,-10900000,-7900000,-14100000,-4500000,-10000000,-7500000,-15000000,-1900000,13100000,40760000,60732000,97397000,80595000,111481000,118599000,38811000,-13568000,-62371000,78500000,158756000,91882000,132704000,111734000,228554000,211616000,162699000,192085000,134691000,82539000,-10582000,-111826000
82,Other Non-Cash Items,- -,400000,-13000000,9500000,-4000000,7200000,-3700000,2600000,-18900000,-16100000,-45044000,-30918000,-28302000,8876000,-22318000,61486000,137016000,99985000,69794000,52961000,-47561000,211644000,122110000,-39297000,-20277000,56682000,41453000,-29256000,75444000,16402000,145632000,96955000
83,Cash Provided by Operating Activities,- -,12100000,6600000,18900000,23100000,30700000,36900000,34900000,67700000,72200000,85384000,110309000,152039000,149623000,205664000,215731000,281685000,241860000,222383000,188064000,192223000,229178000,153700000,69148000,117403000,93962000,55032000,60055000,2328000,-17524000,-86409000,-99883000
84,CAPEX,- -,-13800000,-13200000,-19300000,-15800000,-15300000,-26100000,-39400000,-80400000,-117300000,-147730000,-125389000,-66232000,-77460000,-74076000,-101097000,-119914000,-90079000,-85799000,-73574000,-61485000,-89459000,-88356000,-105857000,-49439000,-38257000,-31117000,-33843000,-30742000,-31616000,-37494000,-11475000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59925000,-66880000,-99734000,-328567000,-155481000,-68747000,-132971000,-40051000,- -,- -,- -,- -,-15000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20971000,- -,-72301000,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
