,https://roic.ai/company/ABCP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,3.75,-30.00,-5.40,0.58,0.07,0.14,0.09,0.31,-0.02,0.00,-0.10,0.11,1.34,-0.11,-0.08,-0.07,0.11,-0.12,-0.09,-0.10,-0.06,-0.04,-0.04,3.37,-0.14,0.35,-0.11,-0.08,-1.18,0.01,-0.12,-0.14,-0.13
26,EPS Diluted,- -,3.75,-30.00,-5.40,0.58,0.07,0.14,0.09,0.31,-0.02,0.00,-0.10,0.11,1.34,-0.11,-0.08,-0.07,0.11,-0.12,-0.09,-0.10,-0.06,-0.04,-0.04,3.37,-0.14,0.35,-0.11,-0.08,-1.18,0.01,-0.12,-0.14,-0.13
27,Weighted Average Shares Outstanding,34100000,34100000,34000000,37400000,40600000,44000000,44400000,44534000,44534000,44534000,44534000,44724000,46209000,46209000,46209000,46182000,46225000,46234000,45327000,44691000,43571000,43152000,43075000,43075000,43250000,42275000,40792000,40738000,40738000,40738000,40738000,40738000,40738000,40738000
28,Weighted Average Shares Outstanding Diluted,34100000,34100000,34000000,37400000,40600000,44000000,44400000,44534000,44534000,44534000,44534000,44724000,46209000,46314000,46209000,46182000,46225000,46234000,45327000,44691000,43571000,43152000,43075000,43075000,43250000,42275000,40792000,40738000,40738000,40738000,40738000,40738000,40738000,40738000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063997000002/0000020639-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063998000006/0000020639-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063999000005/0000020639-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063901000003/0000020639-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063902000003/0000020639-02-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063908000005/0000020639-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063909000004/0000020639-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063910000004/0000020639-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063911000004/0000020639-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063912000020/0000020639-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063913000022/0000020639-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063914000016/0000020639-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063915000006/0000020639-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063916000044/0000020639-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063917000004/0000020639-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063918000018/0000020639-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036119005745/0001140361-19-005745-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036120006793/0001140361-20-006793-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036121009786/0001140361-21-009786-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036122011171/0001140361-22-011171-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4518000000,427000000,256000000,409000000,36000000,- -,9000000,7752000,5591000,5548000,2886000,2646000,4844000,6130000,4918000,2785000,10124000,2852000,2601000,2894000,2667000,1715000,1334000,7615000,3907000,6940000,5299000,3303000,586000,70000,237000,2851000,7925000,3003000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43260000,46547000,40232000,18880000,19103000,10702000,40760000,36040000,16313000,11400000,9996000,8200000,212000,79787000,14798000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4518000000,427000000,256000000,409000000,36000000,- -,9000000,7752000,5591000,5548000,2886000,45906000,51391000,46362000,23798000,21888000,20826000,43612000,38641000,19207000,14067000,11711000,9534000,7827000,83694000,21738000,5299000,3303000,586000,70000,237000,2851000,7925000,3003000
34,Net Receivables,696000000,4870000000,3129000000,2371000000,- -,- -,- -,17329000,13186000,12736000,- -,- -,- -,- -,109000,21000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10742000,5371000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14067000,11711000,9534000,7827000,83694000,21738000,5299000,3303000,586000,70000,10979000,8222000,7925000,3003000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19622000,19331000,19001000,2222000,2171000,2120000,2069000,2018000,1969000,1921000,1872000,1824000,1776000,1728000,1680000,1632000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,5560000000,5327000000,1528000000,1804000000,- -,- -,43000000,- -,- -,- -,- -,- -,- -,- -,18880000,19103000,10702000,40760000,36040000,16313000,- -,- -,- -,- -,- -,56132000,71038000,64345000,63770000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20092000,10741000,5370000,- -,- -
44,Other Non-Current Assets,- -,- -,769000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,72000,259000,246000,19304000,18669000,378000,258000,166000,84000,33000,33000,65000,80000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2174000,2090000,2228000,2167000,21176000,76625000,73192000,66331000,65616000,21808000,10774000,5403000,65000,80000
46,Other Assets,13302000000,13078000000,6320000000,5257000000,70000000,- -,70000000,65677000,66229000,64270000,51638000,47678000,53102000,50445000,43656000,41668000,40860000,45883000,42148000,21559000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13302000000,13078000000,6320000000,5257000000,70000000,- -,70000000,65677000,66229000,64270000,51638000,47678000,53102000,50445000,43656000,41668000,40860000,45883000,42148000,21559000,16241000,13801000,11762000,9994000,104870000,98363000,78491000,69634000,66202000,21878000,21753000,13625000,7990000,3083000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1946000,2545000,722000,- -,- -,426000,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501000,36045000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9917000000,9995000000,5524000000,5334000000,122000000,- -,112000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,289000,220000,227000,34658000,36045000,- -,556000,343000,- -,414000,414000,383000,684000
53,Total Current Liabilities,9917000000,9995000000,5524000000,5334000000,122000000,- -,112000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,289000,220000,227000,36604000,38590000,722000,556000,343000,426000,414000,414000,383000,684000
54,Long-Term Debt,2391000000,2000000000,728000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2296000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,5334000000,122000000,- -,112000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,2000,- -,- -,- -,- -,- -,- -,1354000,3202000,- -,- -,- -
58,Total Non-Current Liabilities,2391000000,2000000000,728000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,2000,- -,- -,- -,- -,- -,- -,3650000,3202000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,103868000,90326000,89451000,76638000,77102000,77199000,12432000,10754000,12301000,15286000,16201000,17481000,981000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12308000000,11995000000,6252000000,5334000000,122000000,- -,112000000,103868000,90326000,89451000,76638000,77102000,77199000,12432000,10754000,12301000,15286000,16201000,17481000,981000,313000,301000,222000,227000,36604000,38590000,722000,556000,343000,4076000,3616000,414000,383000,684000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40000000,40000000,40000000,- -,- -,- -,- -,447000,447000,447000,447000,455000,463000,463000,463000,463000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000,464000
64,Retained Earnings,454000000,543000000,-478000000,-623000000,-599000000,- -,-590000000,-585641000,-571609000,-572693000,-572512000,-577027000,-571853000,-509743000,-514876000,-518435000,-521786000,-516658000,-522121000,-526057000,-530488000,-532899000,-534859000,-536752000,-478334000,-484352000,-469931000,-474522000,-477741000,-525798000,-525463000,-530389000,-535993000,-541201000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,84000,-375000,-1395000,-336000,- -,-385000,-436000,-485000,-533000,-582000,-630000,-678000,-726000,-774000,-822000,- -,- -,- -,- -
66,Other Total Stockholders Equity,500000000,500000000,506000000,546000000,547000000,- -,548000000,547003000,547065000,547065000,547065000,547148000,547293000,547293000,547293000,547255000,547271000,547271000,546660000,546171000,546337000,546371000,546420000,546588000,546718000,544291000,543814000,543862000,543910000,543958000,543136000,543136000,543136000,- -
67,Total Stockholders Equity,994000000,1083000000,68000000,-77000000,-52000000,- -,-42000000,-38191000,-24097000,-25181000,-25000000,-29424000,-24097000,38013000,32902000,29367000,25574000,29682000,24667000,20578000,15928000,13500000,11540000,9767000,68266000,59773000,73669000,69078000,65859000,17802000,18137000,13211000,7607000,2399000
68,Total Liabilities And Stockholders Equity,13302000000,13078000000,6320000000,5257000000,70000000,- -,70000000,65677000,66229000,64270000,51638000,47678000,53102000,50445000,43656000,41668000,40860000,45883000,42148000,21559000,16241000,13801000,11762000,9994000,104870000,98363000,74391000,69634000,66202000,21878000,21753000,13625000,7990000,3083000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13302000000,13078000000,6320000000,5257000000,70000000,- -,70000000,65677000,66229000,64270000,51638000,47678000,53102000,50445000,43656000,41668000,40860000,45883000,42148000,21559000,16241000,13801000,11762000,9994000,104870000,98363000,78491000,69634000,66202000,21878000,21753000,13625000,7990000,3083000
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063997000002/0000020639-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063998000006/0000020639-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063999000005/0000020639-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063901000003/0000020639-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063902000003/0000020639-02-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063908000005/0000020639-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063909000004/0000020639-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063910000004/0000020639-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063911000004/0000020639-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063912000020/0000020639-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063913000022/0000020639-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063914000016/0000020639-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063915000006/0000020639-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063916000044/0000020639-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063917000004/0000020639-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063918000018/0000020639-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036119005745/0001140361-19-005745-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036120006793/0001140361-20-006793-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036121009786/0001140361-21-009786-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036122011171/0001140361-22-011171-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,128000000,-1020000000,-202000000,23500000,3200000,6100000,4068000,14032000,-1084000,181000,-4515000,5174000,62110000,-5133000,-3559000,-3351000,5128000,-5463000,-3936000,-4431000,-2411000,-1960000,-1893000,145929000,-6018000,14421000,-4591000,-3219000,-48057000,335000,-4926000,-5604000,-5208000
74,Depreciation and Amortization,- -,53000000,- -,36000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000,74000,329000,330000,51000,51000,51000,51000,51000,49000,48000,49000,48000,48000,48000,48000,48000,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,22600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20092000,-1391000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,5000000,-9917000000,-78000000,4471000000,190000000,5212000000,10000000,112000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13754000,-2332000,-2108000,-1714000,39490000,-63942000,21429000,-1830000,-2504000,-599000,10921000,- -,-63000,286000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,36000,-3000,-188000,-213000,-584000,427000,-1230000,1139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000,-13000,1378000,-710000,1547000,2573000,306000,1280000,-16498000,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,- -,- -,- -,- -
81,Other Working Capital,- -,-9917000000,-9995000000,-5524000000,-5334000000,-122000000,-112000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13754000,11422000,9314000,7600000,47090000,-16852000,4577000,2747000,243000,-356000,10565000,- -,- -,- -
82,Other Non-Cash Items,143000000,9764000000,2174000000,-4316000000,-617700000,-5208600000,-25300000,-122888000,-15654000,-3402000,-15073000,-1605000,-2584000,-66807000,-877000,1072000,1125000,-10323000,893000,-15231000,-14155000,2343000,2120000,1704000,-22212000,67645000,-38985000,3637000,2695000,64534000,-14160000,10742000,10741000,- -
83,Cash Provided by Operating Activities,148000000,28000000,1076000000,-11000000,-381600000,6600000,-9200000,-6820000,-1622000,-4486000,-14892000,-6120000,2590000,-4640000,-5936000,-2158000,-1896000,-5144000,-4519000,-19116000,-4781000,-2349000,-1899000,-1735000,163256000,-2267000,-3087000,-2736000,-2980000,-4166000,-4295000,5816000,5074000,-4922000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2434000,-17291000,-38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4910000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,500000,-1250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103207000,-118639000,-94413000,-106710000,-50541000,-34466000,-111745000,-102158000,-40886000,-32263000,-31372000,-44535000,-36856000,-468383000,-206190000,-30941000,-6911000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108986000,118084000,102765000,128715000,50642000,43684000,82175000,107125000,60784000,37036000,32786000,46353000,44851000,388849000,213965000,28749000,11699000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-698000000,670000000,313000000,851000000,8400000,-13300000,-11600000,5523000,-748000,5693000,12230000,10000,10000,8000,10000,- -,- -,27442000,- -,- -,- -,- -,-300000,21000,- -,- -,4163000,-4048000,263000,- -,4910000,- -,- -,- -
89,Cash Used for Investing Activites,-698000000,670000000,313000000,851000000,8400000,-13300000,-11600000,5523000,-248000,4443000,12230000,5789000,-545000,5926000,4724000,63000,9218000,-2128000,4967000,19898000,4773000,1414000,1518000,8016000,-79534000,7775000,1971000,740000,263000,- -,4910000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2546000,- -,- -,- -
