,https://roic.ai/company/WOOF,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
52,Other Current Liabilities,23623000,37873000,49279000,56538000,73899000,81097000,75714000,90605000,92887000,96213000,104909000,117274000,131700000,168189000,- -,- -,238184000,241866000,275330000,361502000
53,Total Current Liabilities,43871000,64911000,80969000,94801000,116393000,123122000,122358000,141594000,156994000,185442000,204148000,197218000,232307000,296496000,- -,- -,543470000,841941000,875307000,1053139000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,28101000,32571000,591641000,568558000,775412000,838851000,1309397000,- -,- -,3197419000,3228447000,2729856000,2736523000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000,53000,34000,- -,2091000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,75846000,100099000,103502000,131478000,142535000,- -,- -,304203000,265276000,280920000,318355000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,37267000,36758000,33190000,36084000,44560000,- -,- -,241378000,1258393000,134354000,134105000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,28101000,32571000,704889000,705468000,912138000,1006413000,1498583000,- -,- -,3743000000,4752116000,3145130000,3188983000
59,Other Liabilities,159300000,201946000,816104000,877156000,1170318000,1325916000,613708000,637139000,746029000,1427524000,1431761000,1846294000,2036409000,3104192000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1434971000,1341864000,1362030000
61,Total Liabilities,203171000,266857000,897073000,971957000,1286711000,1449038000,736066000,750632000,870452000,908077000,930441000,1131374000,1262303000,1902105000,- -,- -,4286470000,5594057000,4020437000,4242122000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,41000,82000,83000,84000,84000,85000,86000,- -,87000,88000,89000,83000,81000,81000,- -,- -,1347622000,1358130000,264000,265000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,745658000,791209000,928720000,1064158000,1275207000,1484391000,- -,- -,-707518000,-780466000,-22251000,142166000
65,Other Comprehensive Income/Loss,-82000,34000,1209000,622000,-3335000,-6352000,-163000,737000,418000,1847000,-6190000,-19397000,-50034000,-45406000,- -,- -,-2195000,-8273000,-1275000,-2238000
66,Other Total Stockholders Equity,161964000,232643000,307459000,429599000,571635000,717256000,875124000,998187000,361715000,390359000,384721000,155802000,19708000,32157000,- -,- -,- -,- -,2092110000,2133821000
67,Total Stockholders Equity,161923000,232759000,308751000,430305000,568384000,710989000,875047000,998924000,1107878000,1183503000,1307340000,1200646000,1244962000,1471223000,- -,- -,637909000,569391000,2068848000,2274014000
68,Total Liabilities And Stockholders Equity,365094000,499616000,1205824000,1402262000,1855095000,2160027000,1611113000,1749556000,1978330000,2091580000,2237781000,2332020000,2507265000,3373328000,- -,- -,4924379000,6163448000,6089285000,6516136000
69,Minority Interest,-161923000,-232759000,-319240000,-441223000,-579833000,-739814000,-13534000,-32089000,-40517000,- -,- -,- -,- -,- -,- -,- -,- -,-8330000,-13583000,-18195000
70,Total Liabilities & Equity,203171000,266857000,886584000,961039000,1275262000,1420213000,1597579000,1717467000,1937813000,2091580000,2237781000,2332020000,2507265000,3373328000,- -,- -,4924379000,6155118000,6075702000,6497941000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/817366/000095014804000557/0000950148-04-000557-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012905002497/0000950129-05-002497-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012906002634/0000950129-06-002634-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012407001227/0000950124-07-001227-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095014808000048/0000950148-08-000048-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095013409004012/0000950134-09-004012-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012310018314/0000950123-10-018314-index.html,https://www.sec.gov/Archives/edgar/data/817366/000095012311019633/0000950123-11-019633-index.html,https://www.sec.gov/Archives/edgar/data/817366/000119312512088954/0001193125-12-088954-index.html,https://www.sec.gov/Archives/edgar/data/817366/000081736613000003/0000817366-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/817366/000081736614000002/0000817366-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000162828015001124/0001628280-15-001124-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000162828016011807/0001628280-16-011807-index.html,https://www.sec.gov/Archives/edgar/data/817366/000162828017001885/0001628280-17-001885-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1826470/000156459021017616/0001564590-21-017616-index.htm,https://www.sec.gov/Archives/edgar/data/1826470/000156459022011685/0001564590-22-011685-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,45056000,63572000,67816000,108629000,121012000,132984000,135586000,114158000,99860000,45551000,137511000,135438000,211049000,209196000,- -,- -,-413788000,-95873000,-26483000,159805000
74,Depreciation and Amortization,14000,- -,- -,- -,- -,- -,- -,- -,- -,77505000,78654000,80818000,83429000,104594000,- -,- -,186997000,173544000,174836000,172431000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,33398000,-18064000,-8853000,-56722000,-18339000,- -,- -,- -,- -,- -,37741000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,14087000,14104000,17200000,16264000,18762000,- -,- -,8452000,9489000,12915000,49265000
77,Change in Working Capital,20073000,11825000,29391000,-6491000,42345000,-24563000,79906000,-51132000,-24557000,-22076000,47519000,-19377000,-36372000,-65304000,- -,- -,233585000,-349074000,33178000,115396000
78,Accounts Receivable,-15132000,-2921000,-3223000,-6228000,-7989000,-3606000,-15297000,-5510000,-3999000,-1640000,11048000,-3900000,-28720000,-13555000,- -,- -,23630000,-3845000,- -,- -
79,Inventory,109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644000,-8193000,-60635000,-136404000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3640000,557000,11597000,10812000,16124000,- -,- -,23771000,15928000,46303000,71775000
81,Other Working Capital,23439000,35264000,64655000,58164000,100509000,75946000,155852000,104720000,80163000,58087000,105606000,86229000,49857000,-15447000,- -,- -,218138000,-130936000,-97758000,17638000
82,Other Non-Cash Items,-77420000,-78316000,-100429000,-108365000,-171346000,-112027000,-230789000,-68536000,-79302000,88788000,-3352000,64984000,99897000,140922000,- -,- -,187956000,372251000,74169000,-176423000
83,Cash Provided by Operating Activities,-12277000,-2919000,-3222000,-6227000,-7989000,-3606000,-15297000,-5510000,-3999000,237253000,256372000,270210000,317545000,389831000,- -,- -,203202000,110337000,268615000,358215000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76807000,-73270000,-72948000,-95234000,-122946000,- -,- -,-148363000,-157356000,-159560000,36935000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134916000,-52688000,-138490000,-151586000,-697673000,- -,- -,- -,-1608000,- -,-4334000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39367000,-255108000,-165607000,-17219000,- -,- -,-9912000,-585000,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9145000,- -,73000,- -
88,Other Investing Activites,-6000,6000,10000,- -,- -,- -,- -,- -,- -,-7535000,38594000,247304000,208775000,9597000,- -,- -,6148000,20058000,3302000,-232749000
89,Cash Used for Investing Activites,-6000,6000,10000,- -,- -,- -,- -,- -,- -,-219258000,-126731000,-219242000,-203652000,-828241000,- -,- -,-142682000,-139041000,-157185000,-237083000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000,- -,-7987000,- -,-3817000,- -,- -,-341140000,-1296697000,-1558294000,-1690861000
91,Common Stock Issued,150000,2913000,3212000,6227000,7989000,3606000,15297000,5510000,3999000,9533000,17233000,2859000,2683000,3965000,- -,- -,- -,- -,936041000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68435000,-39367000,-255108000,-165607000,-17219000,- -,- -,-111000,- -,-105000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12133000,- -,- -,- -,- -,- -,- -,- -,- -,45510000,-49879000,166471000,67651000,438387000,- -,- -,309152000,1293626000,475750000,1672079000
95,Cash Used/Provided by Financing Activities,12283000,2913000,3212000,6227000,7989000,3606000,15297000,5510000,3999000,-13514000,-72013000,-93765000,-95273000,421316000,- -,- -,-32099000,-3071000,-146608000,-18782000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000,-1034000,-849000,-1115000,-385000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,4784000,56594000,-43646000,17505000,-17479000,- -,- -,28421000,-31775000,-35178000,102350000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,68435000,125029000,81383000,98888000,81409000,- -,- -,186493000,154718000,119540000,221890000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,63651000,68435000,125029000,81383000,98888000,- -,- -,158072000,186493000,154718000,119540000
100,Free Cash Flow,-12277000,-2919000,-3222000,-6227000,-7989000,-3606000,-15297000,-5510000,-3999000,160446000,183102000,197262000,222311000,266885000,- -,- -,54839000,-47019000,109055000,395150000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/817366/000095014804000557/0000950148-04-000557-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012905002497/0000950129-05-002497-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012906002634/0000950129-06-002634-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012407001227/0000950124-07-001227-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095014808000048/0000950148-08-000048-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095013409004012/0000950134-09-004012-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000095012310018314/0000950123-10-018314-index.html,https://www.sec.gov/Archives/edgar/data/817366/000095012311019633/0000950123-11-019633-index.html,https://www.sec.gov/Archives/edgar/data/817366/000119312512088954/0001193125-12-088954-index.html,https://www.sec.gov/Archives/edgar/data/817366/000081736613000003/0000817366-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/817366/000081736614000002/0000817366-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000162828015001124/0001628280-15-001124-index.htm,https://www.sec.gov/Archives/edgar/data/817366/000162828016011807/0001628280-16-011807-index.html,https://www.sec.gov/Archives/edgar/data/817366/000162828017001885/0001628280-17-001885-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1826470/000156459021017616/0001564590-21-017616-index.htm,https://www.sec.gov/Archives/edgar/data/1826470/000156459022011685/0001564590-22-011685-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
