,https://roic.ai/company/CLSN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-694.56,-1559.23,-1700.97,-708.74,-1133.98,-1417.48,-1700.97,-1700.97,-1275.73,-765.44,-670.94,3109.02,-1096.19,-1351.34,-1436.39,-1048.94,-718.19,-199.50,-289.80,-216.30,-178.50,-40.80,-10.20,-11.55,-10.05,-9747.34
26,EPS Diluted,-694.56,-1559.23,-1700.97,-708.74,-1133.98,-1417.48,-1700.97,-1700.97,-1275.73,-765.44,-670.94,2901.12,-1096.19,-1351.34,-1436.39,-1048.94,-718.19,-199.50,-289.80,-216.30,-178.50,-40.80,-10.20,-11.55,-10.05,-9747.34
27,Weighted Average Shares Outstanding,1778,2002,2459,3238,4191,5097,6155,8019,11199,11349,11352,11357,10739,11275,13095,22135,36814,64479,87964,103873,123606,508483,1172197,1455536,2130760,2130760
28,Weighted Average Shares Outstanding Diluted,1778,2002,2459,3238,4191,5097,6155,8019,11199,11349,11352,12184,10739,11275,13095,22135,36814,64479,87964,103873,123606,508483,1172197,1455536,2130760,2130760
29,SEC Link,https://www.sec.gov/Archives/edgar/data/749647/000093173196000366/0000931731-96-000366-index.html,https://www.sec.gov/Archives/edgar/data/749647/000093173197000292/0000931731-97-000292-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000093173100000574/0000931731-00-000574-index.html,https://www.sec.gov/Archives/edgar/data/749647/000095013301503708/0000950133-01-503708-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000119312506058322/0001193125-06-058322-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000119312507065594/0001193125-07-065594-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746908003658/0001047469-08-003658-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746909003319/0001047469-09-003319-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746910002344/0001047469-10-002344-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000143774913003088/0001437749-13-003088-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774914004012/0001437749-14-004012-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774915004805/0001437749-15-004805-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774916028601/0001437749-16-028601-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774917005235/0001437749-17-005235-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774918005539/0001437749-18-005539-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315219004184/0001493152-19-004184-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315220004717/0001493152-20-004717-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315221006382/0001493152-21-006382-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315222008277/0001493152-22-008277-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,246931,267353,54920,1400000,8820196,2510136,928819,11410533,10483816,2313430,1032674,2937373,200651,6923476,1138916,20145854,14991488,5718504,12686881,9265144,2624162,11444055,13353543,6875273,17164177,19586272
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,8000000,3000000,7316894,5695466,395556,10400905,8037620,37156381,24173406,10799890,1680000,12724020,14257998,7985886,- -,29803095
33,Cash and Short-Term Investments,246931,267353,54920,1400000,8820196,2510136,928819,11410533,10483816,8313430,9032674,5937373,7517545,12618942,1534472,30546759,23029108,42874885,36860287,20065034,4304162,24168075,27611541,14861159,17164177,49389367
34,Net Receivables,159668,5891,1812,- -,10058,1205,84493,90927,783039,765513,1904048,15230153,15000000,806255,- -,- -,182797,373812,210030,26729,4008,54440,68309,21369,- -,108844
35,Inventory,270952,329741,42059,- -,13538,- -,449608,824791,2201663,3325640,2830549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,28424,34962,76944,- -,56773,150000,47255,78842,679237,436521,2255234,256874,305888,695021,492184,961726,437079,513422,435954,189553,204408,89186,451293,1352670,1660695,2447413
37,Total Current Assets,705975,637947,175735,1400000,8900565,2661341,1510175,12405093,14147755,12841104,16022505,21424400,22823433,14120218,2026656,31508485,23648984,43762119,37506271,20281316,4512578,24311701,28131143,16235198,18824872,51945624
38,PP&E,33003,58691,30813,-200000,124725,189280,210177,237324,682098,570855,515063,267881,222638,537407,378672,782720,1114621,832886,1170497,854872,462836,175771,184627,1837003,1341887,1168006
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1976101,1976101,1976101,1976101,1976101,1976101,1976101,- -
40,Intangible Assets,142622,126571,124190,100000,92531,76703,60873,45044,31365,- -,73125,65625,58125,50625,43125,35625,28125,- -,25801728,25801728,23789415,21042099,16304783,16077467,13479894,- -
41,Intangible Assets,142622,126571,124190,100000,92531,76703,60873,45044,31365,- -,73125,65625,58125,50625,43125,35625,28125,- -,27777829,27777829,25765516,23018200,18280884,18053568,15455995,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362651,97082,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1819324,1845823,1383446
44,Other Non-Current Assets,8440000,- -,- -,300000,- -,29537,510224,440840,2190719,2497482,2318859,17280795,221179,- -,76796,322629,567188,1075567,239935,140517,108761,8761,258933,333274,58761,13549723
45,Total Non-Current Assets,8615625,185262,155003,200000,217256,295520,781274,723208,2904182,3068337,2907047,17614301,864593,685114,498593,1140974,1709934,1908453,29188261,28773218,26337113,23202732,18724444,22043169,18702466,22101175
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9321600,823209,330738,1600000,9117821,2956861,2291449,13128301,17051937,15909441,18929552,39038701,23688026,14805332,2525249,32649459,25358918,45670572,66694532,49054534,30849691,47514433,46855587,38278367,37527338,74046799
48,Accounts Payable,197190,614173,1034767,100000,60472,145520,494650,883218,819168,1996159,2135605,1830457,1186511,2190957,4548586,5245078,2339768,1452436,3480225,2830227,2878978,3416863,3020638,2862949,2244847,2547251
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,676859,234735,108332,123465,110287,1410455,10891,3654231,4099847,2560553,- -,- -,2227961,1550076,6403331
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,571428,571428,571428,- -,- -,- -,- -,- -,- -,500000,500000,500000,500000,500000,500000,500000,500000,500000
52,Other Current Liabilities,1155536,2669682,1141319,400000,330920,126921,280309,510281,738093,1328008,1300969,5611290,2512748,1451542,2124189,797059,1254979,2707653,2456365,1919769,2483756,2282827,2585898,2303547,2458532,-2680924
53,Total Current Liabilities,1352726,3283855,2176086,500000,391392,272441,774959,1393499,2128689,3895595,4008002,8118606,3933994,3750831,6796240,6152424,5005202,4670980,10090821,9349843,8423287,6199690,6106536,7894457,6753455,6769658
54,Long-Term Debt,1213000,- -,- -,- -,- -,- -,- -,- -,- -,6177625,16277698,234742,- -,179868,56403,71602,3661147,5000000,6053065,2350018,- -,- -,9417037,7963449,3934497,6085210
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3500000,3000000,2500000,2000000,1500000,1000000,500000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,5719,100000,- -,15203,- -,- -,2952382,2410726,1844676,34238,27643,838839,248131,231865,4730711,475757,14225310,13969009,13200578,12610235,8970942,6861426,7728305,5396000
58,Total Non-Current Liabilities,1213000,- -,5719,100000,- -,15203,- -,- -,2952382,8588351,18122374,268980,27643,1018707,304534,303467,8391858,9475757,23778375,19319027,15700578,14610235,19887979,15824875,12162802,11481210
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1531450,1143718,- -
61,Total Liabilities,2565726,3283855,2181805,600000,391392,287644,774959,1393499,5081071,12483946,22130376,8387586,3961637,4769538,7100774,6455891,13397060,14146737,33869196,28668870,24123865,20809925,25994515,23719332,18916257,18250868
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,412063,290953,399458,500000,643721,768768,924176,1431011,1607494,1609015,107398,107845,108161,128952,140914,338991,379677,137380,200976,233952,312263,172772,188322,232562,407014,57705
64,Retained Earnings,-12211633,-15263522,-19464010,-21900000,-26447417,-33605157,-43820081,-57278383,-74217265,-82902584,-90486814,-55137757,-66923972,-82119826,-100938261,-124221823,-150876770,-169287157,-195073702,-218130360,-241379712,-261781888,-273665247,-290516780,-312000341,-332769591
65,Other Comprehensive Income/Loss,-205766,-213885,-212029,-200000,-74540,-127556,-190658,- -,- -,-704662,-875834,-702156,-771624,68173,-18367,-276700,-126607,-44166,-16032,-3858,- -,-10164,29872,42778,- -,-7974
66,Other Total Stockholders Equity,18761210,12725808,17425514,22600000,34604665,35633162,44603053,- -,- -,85423726,88054426,86383183,87313824,91958495,96240189,- -,162585558,200717778,227714094,238285930,247793275,288323788,294308125,304800475,330204408,388600979
67,Total Stockholders Equity,6755874,-2460646,-1851067,1000000,8726429,2669217,1516490,11734802,11970866,3425495,-3200824,30651115,19726389,10035794,-4575525,26193568,11961858,31523835,32825336,20385664,6725826,26704508,20861072,14559035,18611081,55881119
68,Total Liabilities And Stockholders Equity,9321600,823209,330738,1600000,9117821,2956861,2291449,13128301,17051937,15909441,18929552,39038701,23688026,14805332,2525249,32649459,25358918,45670572,66694532,49054534,30849691,47514433,46855587,38278367,37527338,74131987
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85188
70,Total Liabilities & Equity,9321600,823209,330738,1600000,9117821,2956861,2291449,13128301,17051937,15909441,18929552,39038701,23688026,14805332,2525249,32649459,25358918,45670572,66694532,49054534,30849691,47514433,46855587,38278367,37527338,74046799
71,SEC Link,https://www.sec.gov/Archives/edgar/data/749647/000093173196000366/0000931731-96-000366-index.html,https://www.sec.gov/Archives/edgar/data/749647/000093173197000292/0000931731-97-000292-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000093173100000574/0000931731-00-000574-index.html,https://www.sec.gov/Archives/edgar/data/749647/000095013301503708/0000950133-01-503708-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000119312506058322/0001193125-06-058322-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000119312507065594/0001193125-07-065594-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746908003658/0001047469-08-003658-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746909003319/0001047469-09-003319-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746910002344/0001047469-10-002344-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000143774913003088/0001437749-13-003088-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774914004012/0001437749-14-004012-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774915004805/0001437749-15-004805-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774916028601/0001437749-16-028601-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774917005235/0001437749-17-005235-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774918005539/0001437749-18-005539-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315219004184/0001493152-19-004184-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315220004717/0001493152-20-004717-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315221006382/0001493152-21-006382-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315222008277/0001493152-22-008277-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1933471,-3051889,-4200488,-2400000,-4547215,-6923227,-9751082,-13274071,-13985048,-8685319,-7584230,35349057,-11786215,-15195854,-18818435,-23222678,-26568382,-8251358,-25494273,-22461084,-22053726,-20402176,-11883359,-16851533,-21483561,-20769250
74,Depreciation and Amortization,18545,24169,24291,- -,39478,68845,82437,100532,-275676,-321392,-341292,-39105,69468,109654,172980,176858,281489,339229,369327,424966,1022829,553010,356859,721665,741524,702918
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1819324,-26499,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861489,1076870,1671120,1279436,1143764,1235437,2585132,1849811,1511023,1105245,4604415,2286388,1851391,3759737
77,Change in Working Capital,-190017,-1999157,645557,2900351,7609173,-6120273,-1653684,10276378,1007472,-3073557,3068994,1291291,5583645,-8520052,-15138971,30125645,-6712279,20447357,-11675689,-16483977,-14842182,22022720,3912596,-13683866,3730676,33104549
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183043,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,45327,-58789,- -,- -,-8479,- -,-449608,-375183,-1283953,-1123977,543748,5792,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-643946,1004446,2357629,-538383,-1344379,-887332,1764563,-859183,48751,537885,-396225,-157689,-618102,302404
81,Other Working Capital,-646751,-2645908,-2000351,900000,8509173,2388900,735216,11011594,12019066,8945509,12014503,13305794,18889439,10369387,-4769584,25356061,18643782,39091139,27415450,10931473,-3910709,18112011,22024607,8340741,12071417,45175966
82,Other Non-Cash Items,642355,3872126,1418111,-2800351,-6967901,6751194,2210571,-6191418,-687906,4015398,-2376262,-46184028,7552876,21599051,18745917,-31101698,9525815,-23242182,12862483,15839721,15982692,-19920875,-4032197,9087688,-432207,-33021557
83,Cash Provided by Operating Activities,-1462588,-1154751,-2112529,-2300000,-3866465,-6223461,-9111758,-9088579,-13941158,-8064870,-7232790,-9582785,2281263,-930331,-13367389,-22742437,-22329593,-9471517,-21353020,-20830563,-18379364,-16642076,-7041686,-20258982,-15618676,-16223603
84,CAPEX,-10256,-3807,-21935,- -,-122108,-117572,-89329,-111850,-484056,-108516,-262817,-1691195,-24225,-136223,-6745,-573406,-613390,-57494,-672256,-109341,-62503,-38629,-138399,-349158,-19092,-311613
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196783,9958615,- -,- -,- -,- -,- -,- -,-2820649,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-12000000,-5000000,-6369394,-8498217,-11844356,-10659238,-16208958,-66376818,-29825918,-21074871,-4511784,-12734184,-16973942,-23829982,-9956892,-53811069
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900440,10000000,10000000,2052500,6932244,17057726,395556,18478591,37194375,42812300,34460825,13635000,1680000,15480000,30115000,17900000,24000000
88,Other Investing Activites,139000,- -,-10000,- -,- -,-6749,-9288,- -,-200000,- -,-585969,-55303,- -,- -,- -,-250000,- -,50000,50000,50000,- -,100000,- -,- -,- -,- -
89,Cash Used for Investing Activites,128744,-3807,-31935,- -,-122108,-124321,-98617,-111850,-684056,3791924,-3045569,13212117,-4341119,-1702196,5206625,-11087088,1656243,-29189937,9543477,13326613,9060713,-10992813,-1632341,5935860,7924016,-30122682
90,Debt Repayment,-50973,-24020,-63240,- -,- -,- -,- -,- -,- -,- -,- -,- -,-676866,-234735,-108332,-142427,-110287,-5060711,-10891,-3654230,-4099847,-2595923,- -,- -,-6524750,- -
91,Common Stock Issued,- -,- -,- -,3600000,11457024,152500,7629058,19682143,12836621,- -,- -,2718,- -,- -,2484536,48082025,- -,15622955,13788811,7736443,6775016,17910401,858515,7844852,22811669,52688946
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2397,-2638952,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1624510,1203000,1995271,- -,-5719,-114778,- -,- -,- -,6000000,9000000,911601,- -,6334513,- -,4896865,15629271,18826226,5000000,- -,2500,21140304,9725000,- -,1696645,2079434
95,Cash Used/Provided by Financing Activities,1573537,1178980,1932031,3600000,11451305,37722,7629058,19682143,12836621,6000000,8997603,-1724633,-676866,6099778,2376204,52836463,15518984,29388470,18777920,4082213,2677669,36454782,10583515,7844852,17983564,54768380
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,239693,20422,-212433,1300000,7462732,-6310060,-1581317,10481714,-1788591,1727054,-1280756,1904699,-2736722,3467251,-5784560,19006938,-5154366,-9272984,6968377,-3421737,-6640982,8819893,1909488,-6478270,10288904,8422095
98,Cash at the End of Period,246931,267353,54920,1400000,8820196,2510136,928819,11410533,10483816,2313430,1032674,2937373,200651,6923476,1138916,20145854,14991488,5718504,12686881,9265144,2624162,11444055,13353543,6875273,17164177,25586272
99,Cash at the Beginning of Period,7238,246931,267353,100000,1357464,8820196,2510136,928819,12272407,586376,2313430,1032674,2937373,3456225,6923476,1138916,20145854,14991488,5718504,12686881,9265144,2624162,11444055,13353543,6875273,17164177
100,Free Cash Flow,-1472844,-1158558,-2134464,-2300000,-3988573,-6341033,-9201087,-9200429,-14425214,-8173386,-7495607,-11273980,2257038,-1066554,-13374134,-23315843,-22942983,-9529011,-22025276,-20939904,-18441867,-16680705,-7180085,-20608140,-15637768,-16535216
101,SEC Link,https://www.sec.gov/Archives/edgar/data/749647/000093173196000366/0000931731-96-000366-index.html,https://www.sec.gov/Archives/edgar/data/749647/000093173197000292/0000931731-97-000292-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000093173100000574/0000931731-00-000574-index.html,https://www.sec.gov/Archives/edgar/data/749647/000095013301503708/0000950133-01-503708-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000119312506058322/0001193125-06-058322-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000119312507065594/0001193125-07-065594-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746908003658/0001047469-08-003658-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746909003319/0001047469-09-003319-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000104746910002344/0001047469-10-002344-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/749647/000143774913003088/0001437749-13-003088-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774914004012/0001437749-14-004012-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774915004805/0001437749-15-004805-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774916028601/0001437749-16-028601-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774917005235/0001437749-17-005235-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000143774918005539/0001437749-18-005539-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315219004184/0001493152-19-004184-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315220004717/0001493152-20-004717-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315221006382/0001493152-21-006382-index.htm,https://www.sec.gov/Archives/edgar/data/749647/000149315222008277/0001493152-22-008277-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
