,https://roic.ai/company/BRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,6100000,4600000,3700000,3900000,5500000,6800000,7700000,7900000,6400000,6900000,6700000,6100000,6200000,6200000,6000000,7042000,7875000,7992000,10304000,14672000,20519000,23221000,23631000,28314000,48223000,19782000,19152000,25248000,8911000,8026000,8551000,6361000,6976000,6262000,5524000,5820000,-7088000
11,COGS and Expenses,10400000,7800000,6700000,7100000,9800000,16400000,17300000,15800000,12300000,14200000,13000000,11400000,11400000,11200000,12800000,12911000,14290000,13921000,16424000,23259000,33183000,36147000,38773000,46579000,62546000,35585000,34438000,38684000,29684000,28357000,21994000,18718000,14438000,13656000,18732000,23021000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,912000,1225000,1088000,790000,587000,664000,315000,97000,6000,7000,5000,3000,-13000
14,Depreciation and Amortization,2100000,1700000,1400000,1700000,1900000,2600000,2800000,3200000,2600000,2900000,3100000,3000000,3000000,2900000,2800000,3572000,3754000,3648000,4333000,6761000,8788000,11577000,13174000,14726000,11553000,9302000,- -,10990000,- -,- -,- -,- -,- -,- -,- -,2147000,963000
15,EBITDA,300000,2800000,4400000,5900000,9800000,15700000,5000000,6400000,7700000,8400000,4500000,5100000,5800000,-100000,4400000,12690000,13159000,5249000,10838000,18778000,18782000,30669000,19850000,31742000,-18815000,15132000,2480000,547000,-9473000,1940000,2786000,-4240000,97000,-2364000,-12640000,-2524000,8485000
16,EBITDA ratio,0.0207,0.2617,0.3761,0.4609,0.4050,0.3985,0.2674,0.2909,0.4873,0.4200,0.3147,0.3592,0.3919,-0.0084,0.2895,0.4776,0.5538,0.3305,0.4577,0.4945,0.4248,0.5291,0.4185,0.4835,-0.5847,0.3614,0.0645,0.0161,-0.3850,0.0617,0.1589,-0.3191,0.0074,-0.2523,-1.0468,-0.1376,0.4684
17,Operating Income,4100000,2900000,5000000,5700000,14400000,23000000,1400000,6200000,3500000,5800000,1300000,2800000,3400000,-2300000,2400000,13659000,9471000,2079000,7256000,14711000,11027000,31450000,8663000,19065000,- -,- -,2794000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.2828,0.2710,0.4274,0.4453,0.5950,0.5838,0.0749,0.2818,0.2215,0.2900,0.0909,0.1972,0.2297,-0.1933,0.1579,0.5141,0.3986,0.1309,0.3064,0.3874,0.2494,0.5426,0.1826,0.2904,- -,- -,0.0726,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-5900000,-1800000,-2000000,-1500000,-6500000,-9900000,800000,-3200000,800000,-300000,100000,-700000,-600000,-700000,-800000,-4541000,-66000,-478000,-751000,-2694000,-1033000,-13253000,-1987000,-2049000,-912000,-1225000,-1088000,-7437000,-5093000,-1146000,7438000,1845000,2642000,2269000,-5991000,- -,1190000
20,Income Before Tax,-1800000,1100000,3000000,4200000,7900000,13100000,2200000,3000000,4300000,5500000,1400000,2100000,2800000,-3000000,1600000,9118000,9405000,1601000,6505000,12017000,9994000,18197000,6676000,17016000,-31280000,5062000,1706000,-12059000,-10169000,1942000,2977000,-3586000,1234000,-2019000,-12648000,-4674000,7535000
21,Income Before Tax Ratio,-0.1241,0.1028,0.2564,0.3281,0.3264,0.3325,0.1176,0.1364,0.2722,0.2750,0.0979,0.1479,0.1892,-0.2521,0.1053,0.3432,0.3958,0.1008,0.2747,0.3165,0.2261,0.3140,0.1407,0.2592,-0.9721,0.1209,0.0444,-0.3540,-0.4132,0.0618,0.1698,-0.2699,0.0947,-0.2155,-1.0475,-0.2548,0.4160
22,Income Tax expense (Gain),2400000,800000,1600000,1900000,2700000,4700000,400000,1100000,1900000,3000000,700000,900000,1700000,900000,1100000,4108000,5575000,1561000,4185000,3307000,3967000,4455000,3160000,5284000,-6918000,765000,1501000,-1097000,-1497000,604000,1208000,-722000,-1080000,-601000,-231000,- -,- -
23,Net Income,-4200000,300000,1400000,2300000,5200000,8400000,1800000,2100000,3200000,2500000,700000,1200000,1100000,-3900000,500000,5010000,3830000,40000,2320000,8710000,6027000,14637000,3516000,11732000,-24362000,3840000,-109000,-10136000,-8563000,672000,1263000,-3615000,1171000,-1770000,-12414000,-4674000,7535000
24,Net Income ratio,-0.2897,0.0280,0.1197,0.1797,0.2149,0.2132,0.0963,0.0955,0.2025,0.1250,0.0490,0.0845,0.0743,-0.3277,0.0329,0.1886,0.1612,0.0025,0.0980,0.2294,0.1363,0.2525,0.0741,0.1787,-0.7571,0.0917,-0.0028,-0.2976,-0.3480,0.0214,0.0720,-0.2721,0.0899,-0.1889,-1.0281,-0.2548,0.4160
25,EPS,-0.51,0.04,0.17,0.28,0.61,0.96,0.21,0.27,0.40,0.32,0.08,0.15,0.13,-0.49,0.07,0.64,0.49,0.01,0.29,1.10,0.74,1.79,0.43,1.42,-2.96,0.46,-0.01,-1.22,-1.03,0.08,0.15,-0.44,0.14,-0.21,-1.50,-0.57,0.73
26,EPS Diluted,-0.51,0.04,0.17,0.28,0.59,0.96,0.21,0.27,0.40,0.32,0.08,0.15,0.13,-0.49,0.06,0.61,0.47,0.01,0.28,1.03,0.70,1.68,0.41,1.39,-2.96,0.46,-0.01,-1.22,-1.03,0.08,0.15,-0.44,0.14,-0.21,-1.50,-0.57,0.73
27,Weighted Average Shares Outstanding,8243538,7833921,8325157,8271745,8463748,8728452,8580009,7833921,7941826,7902639,7956600,7946400,7956000,7918314,7901712,7891872,7865712,7883490,7887060,7943682,8152531,8169060,8208189,8248581,8240444,8273848,8277160,8277160,8277160,8277160,8277160,8277160,8277160,8277160,8277160,8277160,8592154
28,Weighted Average Shares Outstanding Diluted,8243538,7833921,8325157,8271745,8772818,8728452,8580009,7833921,7941826,7902639,8341675,7946400,7956000,7918314,7901712,8331240,8344788,8143086,8217570,8441370,8643032,8698405,8608759,8438914,8240444,8273848,8277160,8277160,8277160,8278292,8277160,8277160,8277160,8277160,8277160,8277160,8592154
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10048/000110465903029249/0001104659-03-029249-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465904040991/0001104659-04-040991-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465905062060/0001104659-05-062060-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465906083014/0001104659-06-083014-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465907090692/0001104659-07-090692-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465908077264/0001104659-08-077264-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465909070067/0001104659-09-070067-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465910062792/0001104659-10-062792-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465911069156/0001104659-11-069156-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465912083471/0001104659-12-083471-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465913090370/0001104659-13-090370-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465914087562/0001104659-14-087562-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004815000008/0000010048-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004816000021/0000010048-16-000021-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004817000011/0000010048-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004818000021/0000010048-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004819000022/0000010048-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004820000025/0000010048-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004821000026/0000010048-21-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,200000,500000,600000,7000000,12500000,4800000,7200000,5800000,4200000,3000000,3600000,4400000,2200000,2600000,5701000,5154000,1489000,1648000,4497000,5492000,11972000,10107000,13618000,6879000,10674000,9834000,8845000,7828000,16104000,8471000,15550000,16281000,5965000,4613000,4584000,11279000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1387000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,1139000,1192000,1192000,5450000,741000,- -,901000,- -
33,Cash and Short-Term Investments,300000,200000,500000,600000,7000000,12500000,4800000,7200000,5800000,4200000,3000000,3600000,4400000,2200000,2600000,5701000,5154000,1489000,1648000,5884000,7192000,11972000,10107000,13618000,6879000,10674000,9834000,8845000,7828000,17243000,9663000,16742000,21731000,6706000,4613000,5485000,11279000
34,Net Receivables,3800000,2600000,2700000,2300000,3200000,3400000,3700000,3800000,2200000,3200000,2800000,2300000,2100000,2100000,1900000,2647000,3734000,4586000,4343000,6006000,8279000,7752000,8171000,8499000,4631000,8775000,5803000,3600000,3287000,2910000,2300000,1228000,2559000,4426000,2270000,2648000,3069000
35,Inventory,400000,200000,200000,200000,200000,300000,200000,100000,100000,200000,200000,200000,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,300000,100000,200000,500000,500000,400000,800000,700000,1100000,100000,500000,400000,- -,1100000,773000,1055000,1031000,890000,2312000,4612000,5614000,3201000,3545000,15851000,14918000,13893000,6440000,7912000,6367000,13715000,3144000,852000,950000,1821000,1354000,3687000
37,Total Current Assets,4600000,3300000,3500000,3300000,10900000,16700000,9100000,11900000,8800000,8700000,6100000,6600000,7000000,4600000,5600000,9121000,9943000,7106000,6881000,14202000,20083000,25338000,21479000,25662000,27361000,34367000,29530000,18885000,19027000,26520000,25678000,21114000,25142000,12082000,8704000,9487000,18035000
38,PP&E,12100000,11600000,12800000,14700000,15900000,20000000,24000000,19100000,18500000,21000000,21000000,22700000,25100000,24100000,24000000,25348000,24892000,25828000,38948000,47852000,61861000,79167000,90679000,88690000,51687000,50088000,54619000,48624000,41306000,22350000,9468000,6902000,5369000,16411000,8388000,4023000,786000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,7000000,9000000,7056000,5433000,4623000,2381000,2381000,5900000,6288000,3552000,2209000,1608000,980000,901000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -
44,Other Non-Current Assets,5400000,6200000,6300000,6100000,500000,700000,2000000,200000,800000,900000,1700000,1500000,2300000,3000000,3700000,4191000,8836000,7740000,6508000,3033000,33000,50000,5407000,9010000,- -,- -,- -,- -,- -,- -,119000,- -,- -,1277000,230000,771000,5614000
45,Total Non-Current Assets,17500000,17800000,19100000,20800000,16400000,20700000,26000000,19300000,19300000,21900000,22700000,24200000,27400000,27100000,27700000,29539000,33728000,33568000,45456000,50885000,64894000,79217000,103086000,106700000,58743000,55521000,59242000,51005000,43687000,28250000,15875000,10454000,7878000,19296000,9598000,5695000,6400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22100000,21100000,22600000,24100000,27300000,37400000,35100000,31200000,28100000,30600000,28800000,30800000,34400000,31700000,33300000,38660000,43671000,40674000,52337000,65087000,84977000,104555000,124565000,132362000,86104000,89888000,88772000,69890000,62714000,54770000,41553000,31568000,33020000,31378000,18302000,15182000,24435000
48,Accounts Payable,- -,- -,- -,- -,- -,2200000,1200000,900000,1200000,1800000,1500000,1700000,3200000,2800000,1900000,1821000,3061000,2995000,3357000,3199000,5653000,3628000,5983000,6516000,3277000,1442000,2750000,2680000,4415000,3453000,2653000,1423000,1185000,1191000,1223000,2104000,1416000
49,Short-Term Debt,700000,700000,900000,1600000,- -,200000,200000,3300000,- -,- -,- -,- -,- -,400000,1700000,400000,2609000,360000,- -,- -,- -,- -,354000,- -,14335000,13650000,12314000,5764000,5240000,4449000,3440000,- -,- -,- -,- -,111000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619000,1072000,199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,530000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569000,- -,- -,- -,- -,194000,- -
52,Other Current Liabilities,3400000,1400000,1800000,1800000,2700000,5200000,2000000,2400000,2400000,2000000,1000000,1500000,2100000,2500000,3000000,5166000,6218000,4208000,7161000,9672000,15630000,18484000,14393000,16317000,6393000,9714000,9025000,5871000,6792000,6621000,3341000,3313000,3613000,2438000,3545000,3955000,4485000
53,Total Current Liabilities,4100000,2100000,2700000,3400000,2700000,7600000,3400000,6600000,3600000,3800000,2500000,3200000,5300000,5700000,6600000,7387000,11888000,7563000,10518000,12871000,21283000,22112000,20730000,22833000,24005000,24806000,24089000,14315000,16447000,14523000,10003000,4736000,4798000,3629000,4768000,6364000,5901000
54,Long-Term Debt,21600000,22000000,20700000,18400000,16300000,15700000,17500000,12000000,10600000,10600000,11100000,11100000,11100000,13600000,12600000,9133000,8667000,9961000,10477000,10165000,11576000,11735000,22104000,26217000,16665000,12350000,11400000,11400000,11400000,6650000,- -,- -,- -,- -,- -,58000,227000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,107000,193000,- -,- -
56,Deferred Tax Liabilities,4100000,4700000,5300000,6100000,6600000,6500000,7000000,6300000,6100000,6500000,4800000,5100000,5800000,5600000,6300000,7206000,7007000,7429000,9443000,10719000,12935000,16350000,19299000,14375000,2858000,3864000,4481000,3307000,1890000,1201000,449000,204000,236000,315000,168000,194000,359000
57,Other Non-Current Liabilities,4700000,4400000,4200000,3900000,3900000,2300000,1500000,900000,- -,-100000,- -,- -,- -,100000,- -,- -,- -,- -,1432000,1775000,2845000,3753000,7121000,6606000,9356000,10260000,10088000,10743000,10657000,12451000,11839000,12884000,9782000,11088000,11844000,10519000,8441000
58,Total Non-Current Liabilities,30400000,31100000,30200000,28400000,26800000,24500000,26000000,19200000,16700000,17000000,15900000,16200000,16900000,19300000,18900000,16339000,15674000,17390000,21352000,22659000,27356000,31838000,48524000,47198000,28879000,26474000,25969000,25450000,23947000,20302000,12288000,13088000,10039000,11510000,12205000,10771000,9027000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,- -
61,Total Liabilities,34500000,33200000,32900000,31800000,29500000,32100000,29400000,25800000,20300000,20800000,18400000,19400000,22200000,25000000,25500000,23726000,27562000,24953000,31870000,35530000,48639000,53950000,69254000,70031000,52884000,51280000,50058000,39765000,40394000,34825000,22291000,17824000,14837000,15139000,16973000,17135000,14928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,821000,821000,821000,821000,830000,4085000,4085000,4140000,4202000,4202000,4223000,4223000,4223000,4223000,4223000,4223000,4223000,4223000,4223000,4223000,4223000,- -
64,Retained Earnings,-12900000,-12600000,-11200000,-8900000,-3600000,4400000,5300000,7100000,10200000,12400000,12900000,14100000,15200000,11300000,11800000,16680000,19855000,19698000,22018000,29605000,30317000,43524000,44988000,54862000,30500000,34340000,34231000,24095000,15532000,16204000,17467000,13852000,15023000,13253000,859000,-3897000,2356000
65,Other Comprehensive Income/Loss,-8800000,-10400000,-12100000,-14100000,-16100000,-18300000,-21000000,-20400000,-21900000,-24600000,-27800000,-30400000,-33100000,-32100000,-36000000,-35534000,-36785000,-39868000,-1491000,169000,1624000,2852000,4933000,3143000,-1349000,49000,290000,2322000,2991000,-258000,-2122000,-3920000,-1058000,-514000,-2917000,-1435000,- -
66,Other Total Stockholders Equity,9300000,10900000,13000000,15300000,17500000,19200000,21400000,18700000,19500000,22000000,25300000,27700000,30100000,27500000,31200000,32967000,32218000,35070000,-1715000,-1455000,- -,144000,543000,-943000,-1035000,-997000,-997000,-997000,-997000,-971000,-951000,-941000,-936000,-936000,-936000,-936000,7151000
67,Total Stockholders Equity,-12400000,-12100000,-10300000,-7700000,-2200000,5300000,5700000,5400000,7800000,9800000,10400000,11400000,12200000,6700000,7800000,14934000,16109000,15721000,19633000,29149000,36026000,50605000,54604000,61264000,32318000,37615000,37747000,29643000,21749000,19198000,18617000,13214000,17252000,16026000,1229000,-2045000,9507000
68,Total Liabilities And Stockholders Equity,22100000,21100000,22600000,24100000,27300000,37400000,35100000,31200000,28100000,30600000,28800000,30800000,34400000,31700000,33300000,38660000,43671000,40674000,51503000,64679000,84665000,104555000,123858000,131295000,85202000,88895000,87805000,69408000,62143000,54023000,40908000,31038000,32089000,31165000,18202000,15090000,24435000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,834000,408000,312000,- -,707000,1067000,902000,993000,967000,482000,571000,747000,645000,530000,931000,213000,100000,92000,- -
70,Total Liabilities & Equity,22100000,21100000,22600000,24100000,27300000,37400000,35100000,31200000,28100000,30600000,28800000,30800000,34400000,31700000,33300000,38660000,43671000,40674000,52337000,65087000,84977000,104555000,124565000,132362000,86104000,89888000,88772000,69890000,62714000,54770000,41553000,31568000,33020000,31378000,18302000,15182000,24435000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10048/000110465903029249/0001104659-03-029249-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465904040991/0001104659-04-040991-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465905062060/0001104659-05-062060-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465906083014/0001104659-06-083014-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465907090692/0001104659-07-090692-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465908077264/0001104659-08-077264-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465909070067/0001104659-09-070067-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465910062792/0001104659-10-062792-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465911069156/0001104659-11-069156-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465912083471/0001104659-12-083471-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465913090370/0001104659-13-090370-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465914087562/0001104659-14-087562-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004815000008/0000010048-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004816000021/0000010048-16-000021-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004817000011/0000010048-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004818000021/0000010048-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004819000022/0000010048-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004820000025/0000010048-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004821000026/0000010048-21-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,8400000,1800000,2100000,3200000,2500000,700000,1200000,1100000,-3900000,500000,5010000,3830000,40000,2320000,8710000,6027000,14637000,3516000,11732000,-24362000,3840000,-109000,-10136000,-8563000,672000,1263000,-3615000,1171000,-1770000,-12414000,-4674000,7535000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,2600000,2800000,3200000,2600000,2900000,3100000,3000000,3000000,2900000,2800000,3572000,3754000,3648000,4333000,6761000,8788000,11577000,13174000,14726000,11553000,9302000,- -,10990000,- -,- -,- -,- -,- -,- -,- -,2147000,963000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-800000,200000,-200000,600000,600000,-1500000,200000,900000,500000,300000,1036000,154000,405000,709000,-307000,-1587000,1162000,1456000,-2404000,-6641000,978000,675000,-1297000,-1460000,-707000,-415000,-71000,-268000,-48000,-175000,26000,165000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-259000,72000,274000,-103000,-73000,-380000,-140000,-22000,15000,-59000,-42000,- -,643000
77,Change in Working Capital,- -,- -,- -,- -,- -,3400000,-3400000,-400000,-100000,-300000,-1300000,-200000,-1700000,-2800000,100000,2734000,-3679000,1488000,-3180000,4968000,-2531000,4426000,-2477000,2080000,527000,6205000,-4120000,-871000,-1990000,9417000,3678000,703000,3966000,-11891000,-4517000,-813000,9011000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,542000,324000,1081000,-166000,-574000,-260000,-598000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,25000,-29000,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2107000,-2002000,1378000,-214000,1863000,-681000,-439000,-1456000,-279000,124000,-202000,924000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,9100000,5700000,5300000,5200000,4900000,3600000,3400000,1700000,-1100000,-1000000,1734000,-1945000,-457000,-3637000,1331000,-1200000,3226000,749000,2829000,3356000,9561000,5441000,4570000,2580000,11997000,15675000,16378000,20344000,8453000,3936000,3123000,12134000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-11200000,-3000000,-600000,-500000,-1400000,900000,1500000,4100000,6300000,-1000000,-4158000,6099000,-4133000,4333000,-13984000,3516000,-13673000,-6877000,-7694000,16122000,-12929000,16543000,12883000,15277000,-3433000,-11518000,4775000,-7003000,8677000,15015000,4064000,-17486000
