,https://roic.ai/company/TGH,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1163,0.3224,- -,0.4085,0.3700,0.3573,0.3360,0.4585,0.4551,0.4931,0.4324,0.3709,0.3154,0.2217,-0.1236,0.0456,0.0831,0.0827,0.1149,0.3352
22,Income Tax expense (Gain),2275000,3001000,- -,4662000,4299000,-6847000,871000,-3471000,-4493000,-4481000,-5493000,-6831000,18068000,-6695000,3447000,-1618000,2025000,1948000,-374000,1773000
23,Net Income,11408000,35369000,53594000,62979000,56281000,67700000,85200000,90800000,120000000,189600000,207000000,182800000,190555000,108408000,-52483000,19365000,50378000,56724000,72822000,284288000
24,Net Income ratio,0.0902,0.2354,0.3089,0.2857,0.2600,0.2647,0.3075,0.3826,0.3949,0.4484,0.4250,0.3456,0.3373,0.1992,-0.1058,0.0395,0.0744,0.0802,0.1141,0.3331
25,EPS,0.31,0.94,1.41,1.65,1.47,1.66,1.79,1.90,2.50,3.88,4.04,3.25,3.34,1.88,-0.89,0.34,0.88,0.99,1.37,5.34
26,EPS Diluted,0.30,0.93,1.39,1.63,1.46,1.66,1.78,1.88,2.43,3.80,3.96,3.21,3.32,1.87,-0.89,0.34,0.88,0.99,1.36,5.32
27,Weighted Average Shares Outstanding,37330000,37784000,38022000,38142000,38186000,40800000,47605000,47761000,48108000,48859000,51277000,56317000,56719000,56953000,56608000,56845000,57200000,57349000,53271000,53271000
28,Weighted Average Shares Outstanding Diluted,37816000,38212000,38490000,38598000,38488000,40841000,47827000,48185000,49307000,49839000,52231000,56862000,57079000,57093000,56608000,57159000,57487000,57459000,53481000,53481000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413159/000119312508069312/d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312509055377/0001193125-09-055377-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312510059620/0001193125-10-059620-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312511071189/d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312512117109/0001193125-12-117109-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312513109772/0001193125-13-109772-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312514106629/d646789d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312515090792/d856387d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312516501644/0001193125-16-501644-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459017005310/0001564590-17-005310-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459018005639/0001564590-18-005639-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459019009044/0001564590-19-009044-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459020014224/0001564590-20-014224-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,16419000,- -,42231000,41163000,69400000,71500000,56800000,57100000,74800000,100100000,120200000,107067000,115594000,84045000,137894000,137298000,180552000,131018000,206210000
32,Short-Term Investments,- -,- -,- -,4414000,6182000,9100000,17100000,17200000,19100000,25100000,43300000,64800000,89003000,86404000,64951000,56959000,39270000,40940000,- -,- -
33,Cash and Short-Term Investments,- -,16419000,- -,46645000,47345000,78500000,88600000,74000000,76200000,99900000,143400000,185000000,196070000,201998000,148996000,194853000,176568000,221492000,131018000,206210000
34,Net Receivables,- -,- -,- -,42227000,41348000,44700000,49400000,69000000,63500000,86400000,98500000,92000000,91866000,100319000,122201000,95355000,145731000,131811000,215622000,271487000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25004000,12740000
36,Other Current Assets,- -,- -,- -,6645000,6368000,6700000,6800000,4600000,13800000,33500000,39300000,65500000,51579000,56461000,43460000,45084000,76051000,68030000,13713000,21191000
37,Total Current Assets,- -,- -,- -,95517000,95061000,129900000,144800000,147600000,153500000,219800000,281200000,342500000,339515000,358778000,314657000,335292000,398350000,421333000,385357000,511628000
38,PP&E,- -,- -,- -,724342000,764952000,858100000,1000800000,1073600000,1439100000,1905600000,2918300000,3234800000,3631267000,3697974000,3719535000,3793761000,4136082000,4168555000,4125798000,4731878000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,17960000,72600000,64800000,66700000,60100000,46700000,33400000,29200000,24991000,20250000,15197000,11105000,7384000,5291000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,17960000,72600000,64800000,66700000,60100000,46700000,33400000,29200000,24991000,20250000,15197000,11105000,7384000,5291000,2719000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,63326000,72224000,85121000,173634000,217310000,280002000,243428000,172283000,125665000,127790000,254363000,- -,2866000
43,Tax Assets,- -,- -,- -,- -,- -,10800000,7600000,6900000,8600000,7400000,5200000,19200000,5675000,10420000,6237000,5881000,7039000,7789000,1153000,1073000
44,Other Non-Current Assets,- -,- -,- -,50906000,66260000,56900000,85800000,1874000,13676000,45579000,64366000,65990000,77527000,34462000,66117000,108638000,92124000,345286000,1226349000,2119999000
45,Total Non-Current Assets,- -,- -,- -,775248000,849172000,998400000,1159000000,1212400000,1593700000,2090400000,3194900000,3566500000,4019462000,4006534000,3979369000,4045050000,4370419000,4781284000,5356019000,6855816000
46,Other Assets,569917000,615119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,569917000,615119000,- -,870765000,944233000,1128300000,1303800000,1360000000,1747200000,2310200000,3476100000,3909000000,4358977000,4365312000,4294026000,4380342000,4768769000,5202617000,5741376000,7367444000
48,Accounts Payable,- -,- -,- -,7771000,4618000,33000000,7000000,22200000,105000000,28100000,92200000,30900000,68975000,51833000,24050000,137954000,42710000,9394000,24385000,40096000
49,Short-Term Debt,- -,- -,- -,58000000,58000000,64585000,68877000,68000000,51500000,132535000,131500000,161307000,91559000,91590000,205081000,233681000,191689000,242433000,408365000,380207000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,7948000,6855000,6245000,1681000,345000,317000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,29273000,60576000,29115000,10223000,23852000,29545000,34320000,27519000,22648000,22938000,17208000,28118000,24731000,58188000,48018000,252632000,145863000
53,Total Current Liabilities,- -,- -,- -,95044000,123194000,126700000,86100000,122000000,192900000,201200000,252900000,215200000,183789000,160631000,257249000,396366000,292587000,299845000,685382000,566166000
54,Long-Term Debt,- -,- -,- -,488167000,483167000,516800000,666600000,618900000,837700000,1376700000,2130200000,2506000000,2904418000,2913763000,2833216000,2756627000,3218138000,3555296000,3706979000,4960313000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,9580000,10656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6491000,7589000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,80700000,101500000,118800000,132700000,48500000,85500000,90000000,78225000,89285000,77635000,74807000,51231000,88097000,55806000,52122000
58,Total Non-Current Liabilities,- -,- -,- -,497747000,493823000,597500000,768100000,737700000,970400000,1425200000,2215700000,2596000000,2982643000,3003048000,2910851000,2831434000,3269369000,3643393000,3769276000,5020024000
59,Other Liabilities,455280000,445421000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,455280000,445421000,- -,592791000,617017000,724200000,854200000,859700000,1163300000,1626400000,2468600000,2811200000,3166432000,3163679000,3168100000,3227800000,3561956000,3943238000,4454658000,5586190000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000
63,Common Stock,- -,- -,- -,381000,383000,500000,500000,500000,500000,500000,600000,600000,565000,572000,575000,578000,581000,583000,587000,595000
64,Retained Earnings,- -,- -,- -,188733000,217618000,239700000,282600000,329400000,401800000,528900000,652400000,731000000,813707000,825473000,744236000,763601000,809734000,866458000,938395000,1200423000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1269000,-800000,147000,-224000,-111000,-52000,-28000,114000,69000,-43000,-283000,-516000,-309000,-436000,-511000,-9744000,9750000
66,Other Total Stockholders Equity,114637000,141051000,- -,23706000,24093000,163769000,166733000,170524000,181634000,154456000,354389000,366154000,378316000,376913000,383452000,388672000,396934000,392849000,330370000,270486000
67,Total Stockholders Equity,114637000,141051000,- -,211551000,241294000,404116000,449609000,500313000,583882000,683828000,1007503000,1097823000,1192545000,1202675000,1127747000,1152542000,1206813000,1259379000,1259608000,1781254000
68,Total Liabilities And Stockholders Equity,569917000,586472000,- -,804342000,858311000,1128316000,1303809000,1360013000,1747182000,2310228000,3476103000,3909023000,4358977000,4366354000,4295847000,4380342000,4768769000,5202617000,5714266000,7367444000
69,Minority Interest,- -,28647000,- -,66423000,85922000,-16000,-9000,-13000,18000,-28000,-3000,-23000,- -,-1042000,-1821000,- -,- -,- -,27110000,- -
70,Total Liabilities & Equity,569917000,615119000,- -,870765000,944233000,1128300000,1303800000,1360000000,1747200000,2310200000,3476100000,3909000000,4358977000,4365312000,4294026000,4380342000,4768769000,5202617000,5741376000,7367444000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1413159/000119312508069312/d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312509055377/0001193125-09-055377-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312510059620/0001193125-10-059620-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312511071189/d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312512117109/0001193125-12-117109-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312513109772/0001193125-13-109772-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312514106629/d646789d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312515090792/d856387d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312516501644/0001193125-16-501644-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459017005310/0001564590-17-005310-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459018005639/0001564590-18-005639-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459019009044/0001564590-19-009044-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459020014224/0001564590-20-014224-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,35369000,53594000,62979000,56281000,67700000,85200000,90800000,120000000,189600000,207000000,182800000,190555000,108408000,-52483000,19365000,50378000,56724000,72822000,284288000
74,Depreciation and Amortization,- -,42678000,48321000,64115000,56758000,53829000,59535000,55553000,65516000,89287000,109831000,153200000,180606000,196114000,241197000,235135000,239426000,262465000,264237000,284115000
75,Deferred Income Tax,- -,- -,- -,313000,1030000,526000,-1844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3493000,5457000,6177000,7968000,5694000,7499000,7743000,6573000,6083000,7355000,4388000,4723000,6699000
77,Change in Working Capital,- -,- -,-461000,-2559000,-2104000,13348000,-13240000,-15771000,-6886000,-31043000,-1901000,-14313000,-22041000,6807000,-15488000,-10044000,-48789000,95780000,59874000,89418000
78,Accounts Receivable,- -,- -,-19997000,- -,- -,- -,- -,-22872000,-8828000,-25924000,-4226000,-5949000,575000,-1532000,-11096000,-6672000,-30604000,25530000,11539000,- -
79,Inventory,- -,- -,-281000,- -,- -,- -,- -,- -,- -,-12566000,5674000,-5713000,6336000,1842000,468000,-6389000,-30100000,19549000,7211000,- -
80,Accounts Payable,- -,- -,1666000,- -,- -,- -,- -,4156000,-2782000,-3680000,1631000,3635000,-2434000,4825000,1583000,-5193000,-1716000,-4363000,981000,- -
81,Other Working Capital,- -,- -,2267000,-5546000,-1280000,7438000,-1908000,-4571000,-2566000,11495000,-2394000,14345000,-14445000,5324000,-4655000,-799000,399000,1449000,-972000,- -
82,Other Non-Cash Items,- -,-78047000,4389000,4757000,11463000,9031000,12613000,-34381000,-20204000,-40676000,-56371000,-10752000,6188000,50808000,106290000,436000,3902000,9188000,-5401000,-52737000
83,Cash Provided by Operating Activities,- -,- -,105843000,129605000,123428000,144434000,142264000,99694000,163883000,213345000,266527000,316629000,362807000,369880000,286089000,250975000,252272000,428545000,396255000,611783000
84,CAPEX,- -,-105648000,-194634000,-158193000,-123801000,-263171000,-320324000,-158069000,-419650000,-823694000,-1087489000,-765418000,-818451000,-533306000,-505528000,-300125000,-854383000,-748438000,-746145000,-2102524000
85,Acquisitions Net,- -,- -,106000,- -,- -,- -,- -,- -,- -,-11783000,-20532000,- -,- -,- -,- -,- -,-29658000,-171841000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,446000,- -,- -,- -,- -,- -,- -,42410000,57200000,78173000,100305000,90343000,66846000,63847000,- -,- -,- -
88,Other Investing Activites,- -,- -,20273000,36129000,40598000,6663000,82567000,82854000,116686000,110353000,91324000,123738000,141181000,129452000,126560000,147915000,147254000,158487000,56243000,172395000
89,Cash Used for Investing Activites,- -,- -,-174255000,-121618000,-83203000,-256508000,-237757000,-61420000,-302964000,-725124000,-974287000,-584480000,-599097000,-303549000,-288625000,-85364000,-672940000,-761792000,-689902000,-1930129000
90,Debt Repayment,- -,- -,-49290000,- -,- -,- -,- -,-401027000,-277000000,-609356000,-1099192000,-590595000,-1336642000,-538877000,-551586000,-1770715000,-1608753000,-1049857000,-1812695000,-3638977000
91,Common Stock Issued,- -,- -,296000,466000,56000,140872000,- -,- -,5033000,6065000,184839000,- -,2497000,301000,- -,961000,130000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-3000,-1782000,-97000,- -,- -,- -,- -,- -,- -,- -,- -,-9149000,- -,- -,- -,-8597000,-68493000,-72220000
93,Dividends Paid,- -,- -,-20913000,-26762000,-27311000,-46581000,-42368000,-43940000,-47631000,-62549000,-83473000,-104199000,-106648000,-94079000,-28754000,- -,- -,- -,- -,-22260000
94,Other Financing Activites,- -,- -,150007000,34201000,-14291000,45868000,140707000,391909000,458882000,1195330000,1730755000,982786000,1664039000,584240000,551560000,1699382000,2016777000,1444636000,2101918000,5129289000
95,Cash Used/Provided by Financing Activities,- -,- -,80097000,6123000,-41643000,140159000,98339000,-53058000,139284000,529490000,732929000,287992000,223246000,-57564000,-28780000,-70372000,408154000,386182000,220730000,1395832000
96,Effect of Forex Changes on Cash,- -,- -,250000,-233000,350000,199000,-803000,113000,59000,24000,142000,-45000,-112000,-240000,-233000,207000,-127000,42000,177000,-79000
97,Net Change In Cash,- -,- -,11935000,13877000,-1068000,28284000,2043000,-14671000,262000,17735000,25311000,20096000,-13156000,8527000,-31549000,95446000,-12641000,52977000,-72740000,77407000
98,Cash at the End of Period,- -,- -,28354000,42231000,41163000,69447000,71490000,56819000,57081000,74816000,100127000,120223000,107067000,115594000,84045000,237569000,224928000,277905000,205165000,282572000
99,Cash at the Beginning of Period,- -,- -,16419000,28354000,42231000,41163000,69447000,71490000,56819000,57081000,74816000,100127000,120223000,107067000,115594000,142123000,237569000,224928000,277905000,205165000
100,Free Cash Flow,- -,- -,-88791000,-28588000,-373000,-118737000,-178060000,-58375000,-255767000,-610349000,-820962000,-448789000,-455644000,-163426000,-219439000,-49150000,-602111000,-319893000,-349890000,-1490741000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413159/000119312508069312/d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312509055377/0001193125-09-055377-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312510059620/0001193125-10-059620-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312511071189/d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312512117109/0001193125-12-117109-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312513109772/0001193125-13-109772-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000119312514106629/d646789d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312515090792/d856387d20f.htm,https://www.sec.gov/Archives/edgar/data/1413159/000119312516501644/0001193125-16-501644-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459017005310/0001564590-17-005310-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459018005639/0001564590-18-005639-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459019009044/0001564590-19-009044-index.html,https://www.sec.gov/Archives/edgar/data/1413159/000156459020014224/0001564590-20-014224-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
