,https://roic.ai/company/JOB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0068,-0.0530,-0.0068,0.0191,0.0559,- -,-0.1628,-0.0588,0.0092,0.0423,0.0659,0.1164,0.1263,0.1308,0.1162,0.0899,-0.0714,-0.2290,-0.1915,-0.0452,0.0284,0.0393,0.0311,-0.1210,-0.4020,-0.1268,0.0150,-0.0154,-0.0281,-0.0161,-0.0376,0.0144,-0.0104,0.0149,-0.0327,-0.1065,0.0436
19,Total Other Income Expenses (Gains),200000,200000,100000,200000,100000,- -,200000,- -,- -,- -,200000,- -,300000,400000,400000,645000,531000,108000,58000,34000,94000,213000,301000,37000,-50000,-45000,-1126000,-204000,-251000,-460000,-3029000,-21000,-6989000,-10885000,-12440000,83000,-6426000
20,Income Before Tax,300000,-500000,- -,500000,1100000,- -,-1900000,- -,- -,- -,1300000,2700000,4000000,5200000,5000000,4222000,-1686000,-4544000,-3506000,- -,- -,- -,- -,- -,- -,-1556000,- -,-1011000,-1558000,-1101000,-4662000,1176000,-8390000,-8423000,-17393000,-13750000,64000
21,Income Before Tax Ratio,0.0204,-0.0379,- -,0.0318,0.0615,- -,-0.1473,- -,- -,- -,0.0778,0.1164,0.1365,0.1417,0.1263,0.1061,-0.0543,-0.2236,-0.1884,- -,- -,- -,- -,- -,- -,-0.1306,- -,-0.0193,-0.0335,-0.0277,-0.1075,0.0142,-0.0622,-0.0510,-0.1147,-0.1059,0.0004
22,Income Tax expense (Gain),200000,-200000,- -,200000,400000,- -,-400000,- -,- -,- -,200000,1100000,1600000,2100000,2000000,1690000,-620000,-1330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,24000,- -,3000,-6018000,-859000,370000,597000,58000
23,Net Income,100000,-300000,-100000,300000,700000,- -,-1500000,-600000,100000,700000,1100000,1600000,2400000,3100000,3000000,2532000,-1066000,-3214000,-3506000,-1397000,671000,1002000,914000,-1806000,-4228000,-1556000,358000,-1011000,-1890000,-1355000,-4662000,1173000,-2372000,-7564000,-17763000,-14347000,6000
24,Net Income ratio,0.0068,-0.0227,-0.0068,0.0191,0.0391,- -,-0.1163,-0.0588,0.0092,0.0493,0.0659,0.0690,0.0819,0.0845,0.0758,0.0636,-0.0343,-0.1582,-0.1884,-0.0777,0.0330,0.0499,0.0464,-0.1185,-0.4068,-0.1306,0.0096,-0.0193,-0.0406,-0.0340,-0.1075,0.0141,-0.0176,-0.0458,-0.1171,-0.1105,0.0000
25,EPS,0.40,-0.60,-0.20,0.80,1.70,-0.10,-3.70,-1.50,0.20,1.30,2.20,3.32,4.74,6.09,5.90,5.00,-2.10,-6.30,-6.80,-2.70,1.30,1.90,1.80,-3.50,-5.80,-1.10,0.20,-0.50,-0.90,-0.60,-1.14,0.13,-0.25,-0.74,-1.50,0.67,0.00
26,EPS Diluted,0.40,-0.60,-0.20,0.80,1.70,-0.10,-3.70,-1.50,0.20,1.30,2.20,3.32,4.74,5.83,5.90,4.90,-2.10,-6.30,-6.80,-2.70,1.25,1.88,1.70,-3.50,-5.80,-1.10,0.20,-0.50,-0.90,-0.60,-1.14,0.12,-0.25,-0.74,-1.50,-1.14,0.00
27,Weighted Average Shares Outstanding,398700,500000,500000,375000,411765,333333,405405,400000,500000,538462,500070,492591,511060,508070,508700,508700,508700,511600,512100,513100,514200,514800,515000,516300,723200,1387400,1839400,2169900,2196900,2436000,4084000,9313000,9630000,10239000,11840000,15214000,60594000
28,Weighted Average Shares Outstanding Diluted,398700,500000,500000,375000,411765,333333,405405,400000,500000,538462,500070,492591,511060,531645,512200,511700,508700,511600,512100,513100,535500,533800,536800,516300,723200,1387400,1864800,2169900,2196900,2436000,4084000,9891000,9630000,10239000,11840000,21570000,61948000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40570/000004057099000009/0000040570-99-000009-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057000000010/0000040570-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057001500014/0000040570-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057002000019/0000040570-02-000019-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40570/000114036110001339/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000114036110051405/0001140361-10-051405-index.html,https://www.sec.gov/Archives/edgar/data/40570/000114036111059150/0001140361-11-059150-index.html,https://www.sec.gov/Archives/edgar/data/40570/000114036113014588/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000114036114001952/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000119312514450897/0001193125-14-450897-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793215007812/0001477932-15-007812-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793216014233/0001477932-16-014233-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793217006297/0001477932-17-006297-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793218006156/0001477932-18-006156-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793219007284/0001477932-19-007284-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793220007544/0001477932-20-007544-index.htm,https://www.sec.gov/Archives/edgar/data/40570/000147793221009438/0001477932-21-009438-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,6100000,7700000,4500000,5000000,7236000,7293000,4759000,3905000,4437000,5236000,5904000,6344000,4165000,2810000,945000,314000,364000,361000,168000,5932000,2528000,2785000,3213000,4055000,14074000,9947000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,5470000,495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,6100000,7700000,4500000,11800000,12706000,7788000,4759000,3905000,4437000,5236000,5904000,6344000,4165000,2810000,945000,314000,364000,361000,168000,5932000,2528000,2785000,3213000,4055000,14074000,9947000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2700000,3400000,3600000,4000000,4430000,3633000,3795000,2152000,1833000,2028000,1978000,1915000,1314000,1038000,1419000,6604000,6761000,6697000,4907000,6156000,11569000,23178000,20755000,20826000,16047000,23070000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,6000000,100000,- -,625000,428000,443000,486000,468000,592000,252000,313000,249000,216000,190000,246000,654000,1650000,942000,1500000,3014000,2266000,2221000,1393000,668000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,8800000,11200000,14100000,15900000,17136000,12046000,8982000,6500000,6756000,7732000,8474000,8511000,5792000,4097000,2580000,7108000,7371000,7712000,6725000,13030000,15597000,28977000,26234000,27102000,31514000,33685000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,400000,600000,700000,1200000,2843000,2745000,1882000,1103000,538000,632000,801000,929000,791000,570000,383000,409000,518000,530000,453000,706000,611000,914000,891000,852000,5529000,4685000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000,1280000,1106000,1106000,1106000,8220000,18590000,76593000,76593000,72293000,63443000,63443000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888000,1069000,1088000,- -,- -,- -,- -,- -,- -,259000,2699000,2204000,1884000,1560000,4896000,11094000,35049000,29467000,23881000,18843000,14754000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888000,1069000,1088000,- -,- -,- -,- -,- -,- -,431000,3979000,3310000,2990000,2666000,13116000,29684000,111642000,106060000,96174000,82286000,78197000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,500000,800000,1000000,- -,- -,- -,- -,- -,- -,- -,436000,419000,- -,- -,- -,- -,- -,- -,22000,34000,282000,416000,353000,684000,1022000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,800000,1100000,1500000,2200000,2843000,3633000,2951000,2191000,538000,632000,801000,1365000,1210000,570000,814000,4388000,3828000,3520000,3119000,13844000,30329000,112838000,107367000,97379000,88499000,83904000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,9600000,12300000,15600000,18100000,19979000,15679000,11933000,8691000,7294000,8364000,9275000,9876000,7002000,4667000,3394000,11496000,11199000,11232000,9844000,26874000,45926000,141815000,133601000,124481000,120013000,117589000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,400000,500000,500000,700000,655000,551000,623000,237000,318000,- -,- -,93000,- -,348000,107000,485000,173000,1015000,910000,825000,2224000,3243000,2523000,3733000,2051000,2257000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1938000,2404000,3806000,2818000,2935000,8432000,12562000,2437000,5668000,3858000,18422000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,762000,129000,168000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,4000000,4200000,4300000,3800000,5181000,2051000,1321000,1930000,1808000,2514000,2423000,2023000,1507000,1140000,1264000,3698000,4264000,3672000,3906000,3614000,5538000,11584000,8159000,9167000,12254000,10478000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,4400000,4700000,4800000,4500000,5836000,2602000,1944000,2167000,2126000,2514000,2423000,2116000,1507000,1488000,1371000,6121000,6841000,8493000,7634000,7394000,16194000,27389000,13119000,18568000,18163000,31157000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,400000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000,- -,681000,- -,- -,132000,- -,4981000,59703000,69863000,68198000,71286000,3006000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,958000,146000,300000,430000,591000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,436000,419000,- -,431000,- -,253000,126000,13000,243000,218000,29702000,29371000,28206000,2756000,2066000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,500000,500000,500000,- -,- -,- -,- -,- -,- -,- -,436000,419000,575000,431000,681000,253000,126000,145000,243000,5199000,90363000,99380000,96704000,74472000,5663000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000,72000,85000,20000,- -,- -,- -,5542000,4687000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,4800000,5200000,5300000,5000000,5836000,2602000,1944000,2167000,2126000,2514000,2423000,2552000,1926000,2063000,1802000,6802000,7094000,8619000,7779000,7637000,21393000,117752000,112499000,115272000,92635000,36820000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,51000,51000,51000,51000,51000,51000,- -,- -,- -,- -,- -,- -,10453000,10851000,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,600000,2800000,5700000,8500000,9523000,8457000,5243000,1737000,340000,1011000,2013000,2412000,89000,-4139000,-5695000,-5337000,-6348000,-8238000,-9593000,-14255000,-13082000,-15454000,-23018000,-40781000,-30653000,-30647000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,-2200000,-3300000,-2400000,-2600000,-3215000,-3952000,-4693000,-3934000,-4274000,-3318000,-3222000,-2908000,-2817000,-2896000,-2950000,-3104000,-3240000,-3242000,-2407000,-3019000,-3350000,-3776000,-3912000,-4244000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,6400000,7600000,7000000,7100000,7784000,8521000,9388000,8670000,9051000,8106000,8061000,7820000,7804000,9639000,10237000,13135000,3240000,3242000,14065000,36511000,40965000,43293000,48032000,54234000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,4800000,7100000,10300000,13100000,14143000,13077000,9989000,6524000,5168000,5850000,6852000,7324000,5076000,2604000,1592000,4694000,4105000,2613000,2065000,19237000,24533000,24063000,21102000,9209000,27378000,80769000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,9600000,12300000,15600000,18100000,19979000,15679000,11933000,8691000,7294000,8364000,9275000,9876000,7002000,4667000,3394000,11496000,11199000,11232000,9844000,26874000,45926000,141815000,133601000,124481000,120013000,117589000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,9600000,12300000,15600000,18100000,19979000,15679000,11933000,8691000,7294000,8364000,9275000,9876000,7002000,4667000,3394000,11496000,11199000,11232000,9844000,26874000,45926000,141815000,133601000,124481000,120013000,117589000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40570/000004057099000009/0000040570-99-000009-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057000000010/0000040570-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057001500014/0000040570-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057002000019/0000040570-02-000019-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40570/000114036110001339/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000114036110051405/0001140361-10-051405-index.html,https://www.sec.gov/Archives/edgar/data/40570/000114036111059150/0001140361-11-059150-index.html,https://www.sec.gov/Archives/edgar/data/40570/000114036113014588/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000114036114001952/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000119312514450897/0001193125-14-450897-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793215007812/0001477932-15-007812-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793216014233/0001477932-16-014233-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793217006297/0001477932-17-006297-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793218006156/0001477932-18-006156-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793219007284/0001477932-19-007284-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793220007544/0001477932-20-007544-index.htm,https://www.sec.gov/Archives/edgar/data/40570/000147793221009438/0001477932-21-009438-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,700000,- -,-1500000,-600000,100000,700000,1100000,1600000,2400000,3100000,3000000,2532000,-1066000,-3214000,-3506000,-1397000,671000,1002000,914000,-1806000,-4228000,-1556000,358000,-1011000,-1890000,-1355000,-4662000,1173000,-2372000,-7564000,-17763000,-14347000,6000
74,Depreciation and Amortization,- -,- -,- -,- -,300000,300000,200000,200000,200000,200000,200000,100000,200000,200000,400000,597000,857000,854000,850000,524000,210000,165000,231000,255000,260000,243000,713000,546000,485000,498000,733000,1867000,3953000,5972000,5935000,5286000,4400000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,-200000,100000,300000,- -,- -,-200000,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6012000,-812000,154000,130000,161000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,8000,422000,68000,98000,340000,793000,902000,1660000,2186000,1559000,970000
77,Change in Working Capital,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,2300000,2100000,2100000,2800000,2100000,-100000,-1856000,-2406000,-2705000,297000,588000,833000,344000,-2110000,-1676000,-1400000,-222000,-457000,-1311000,-128000,6545000,-6233000,2185000,11527000,-4581000,1885000,-8664000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276000,-382000,-5250000,-648000,-675000,1468000,223000,-100000,-2393000,1969000,-284000,3222000,-6477000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000,-241000,378000,-312000,842000,-105000,-1068000,343000,446000,-720000,1210000,-2156000,206000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,4400000,6500000,9300000,11400000,11300000,9444000,7038000,4333000,4630000,5218000,6051000,6395000,4285000,2609000,1209000,987000,530000,-781000,-909000,5636000,-597000,1588000,13115000,8534000,724000,-2906000
82,Other Non-Cash Items,- -,- -,- -,- -,200000,200000,-400000,100000,-100000,100000,-2200000,-1400000,-2300000,-2900000,-2800000,-320000,650000,1921000,4633000,409000,-612000,-998000,-175000,2111000,2949000,837000,-3147000,595000,1577000,1173000,-3606000,3123000,1566000,-9276000,13675000,3240000,3497000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,900000,300000,-1600000,- -,200000,1000000,1200000,2500000,2300000,3200000,2700000,2709000,-1415000,-2845000,-728000,-167000,857000,1002000,1314000,-1550000,-2695000,-1865000,-2290000,95000,-1071000,286000,-650000,723000,222000,1507000,-394000,-2247000,370000
84,CAPEX,- -,- -,- -,- -,-200000,-200000,-100000,- -,- -,-100000,-100000,-200000,-400000,-300000,-800000,-1583000,- -,-17000,-107000,-19000,-69000,-334000,-364000,-122000,-48000,- -,-84000,-261000,-191000,-146000,-186000,-120000,-250000,-324000,-209000,-119000,-126000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2256000,-207000,-19000,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,- -,- -,-2351000,-9395000,-25356000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4100000,-1400000,-800000,-3461000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,4800000,5000000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
