,https://roic.ai/company/ALNY,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-4186000,-24195000,-30210000,-39795000,-30793000,-76139000,-18932000,-41016000,-38060000,-52524000,-107551000,-81691000,-388678000,-271023000,-394978000,-477507000,-754239000,-830885000,-736332000,-948958000
16,EBITDA ratio,-Infinity,-137.4716,-7.0617,-6.9620,-1.1434,-1.4959,-0.1969,-0.4080,-0.3804,-0.6347,-1.6119,-1.7320,-7.6873,-6.5947,-8.3755,-5.3108,-10.0689,-3.7810,-1.4940,-1.1240
17,Operating Income,-4222000,-25057000,-32264000,-43472000,-39501000,-93177000,-27835000,-48111000,-44070000,-54818000,-129456000,-92942000,-404980000,-296008000,-424587000,-500088000,-814673000,-939431000,-828438000,-708652000
18,Operating Income ratio,-Infinity,-142.3693,-7.5418,-7.6053,-1.4668,-1.8307,-0.2895,-0.4786,-0.4405,-0.6624,-1.9401,-1.9705,-8.0097,-7.2027,-9.0033,-5.5620,-10.8756,-4.2750,-1.6809,-0.8393
19,Total Other Income Expenses (Gains),- -,-4637000,-233000,-22000,-255000,12956000,2305000,1103000,1069000,-2831000,12870000,1022000,4376000,5935000,14479000,9214000,53999000,54178000,-27162000,-143492000
20,Income Before Tax,- -,- -,- -,- -,- -,-80221000,-25530000,-47008000,-43001000,-57649000,-116586000,-91920000,-400604000,-290073000,-410108000,-490874000,-760674000,-885253000,-855600000,-852144000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-1.5761,-0.2655,-0.4676,-0.4298,-0.6966,-1.7473,-1.9488,-7.9232,-7.0583,-8.6963,-5.4595,-10.1548,-4.0285,-1.7360,-1.0093
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,5245000,719000,582000,514000,- -,-10572000,-2695000,-40209000,- -,- -,- -,823000,863000,2681000,-680000
23,Net Income,-4136000,-25033000,-32654000,-42914000,-34608000,-85466000,-26249000,-47590000,-43515000,-57649000,-106014000,-89225000,-360395000,-290073000,-410108000,-490874000,-761497000,-886116000,-858281000,-852824000
24,Net Income ratio,-Infinity,-142.2330,-7.6330,-7.5077,-1.2851,-1.6792,-0.2730,-0.4734,-0.4350,-0.6966,-1.5888,-1.8917,-7.1279,-7.0583,-8.6963,-5.4595,-10.1658,-4.0324,-1.7415,-1.0101
25,EPS,-14.74,-29.64,-2.98,-1.96,-1.09,-2.21,-0.64,-1.14,-1.04,-1.36,-2.11,-1.45,-4.85,-3.45,-4.79,-5.42,-7.57,-8.11,-7.46,-7.42
26,EPS Diluted,-14.74,-29.64,-2.98,-1.96,-1.09,-2.21,-0.64,-1.14,-1.04,-1.36,-2.11,-1.45,-4.85,-3.45,-4.79,-5.42,-7.57,-8.11,-7.46,-7.42
27,Weighted Average Shares Outstanding,331341,942665,11886126,21949000,31890000,38657000,41077000,41633000,42040000,42410000,50286000,61551000,74278000,83992000,85596000,90554000,100590000,109264000,114986000,114986000
28,Weighted Average Shares Outstanding Diluted,331341,942665,11886126,21949000,31890000,38657000,41077000,41633000,42040000,42410000,50286000,61551000,74278000,83992000,85596000,90554000,100590000,109264000,114986000,114986000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1178670/000095013505001747/b53309ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013506001651/b58496ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013507001526/b63620ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013508001658/b68134ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013509001458/0000950135-09-001458-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000095012310018222/0000950123-10-018222-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000095012311015737/b83541e10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312512053552/0001193125-12-053552-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000119312513065475/0001193125-13-065475-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000119312514060913/d653396d10k.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312515050223/d835246d10k.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312516462538/0001193125-16-462538-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459017001649/0001564590-17-001649-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459018002152/0001564590-18-002152-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459019003022/0001564590-19-003022-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000117867020000004/0001178670-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000117867021000010/0001178670-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1178670/000117867022000013/0001178670-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15477000,23193000,20272000,15757000,127955000,105157000,191792000,137468000,74599000,70228000,51405000,53169000,75179000,180895000,193617000,645361000,420146000,547178000,496580000,819975000
32,Short-Term Investments,- -,- -,25774000,64245000,89305000,350445000,238596000,143934000,158532000,76174000,71407000,192701000,621512000,899636000,433182000,1045257000,664009000,988984000,1377815000,1548617000
33,Cash and Short-Term Investments,15477000,23193000,46046000,80002000,217260000,455602000,430388000,281402000,233131000,146402000,122812000,245870000,696691000,1080531000,626799000,1690618000,1084155000,1536162000,1874395000,2368592000
34,Net Receivables,- -,- -,1169000,755000,3829000,5031000,4188000,6044000,14119000,1468000,104000,4248000,39937000,8298000,23334000,34002000,18760000,43011000,102413000,198571000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24068000,56348000,75202000,86363000
36,Other Current Assets,42000,996000,966000,1657000,1695000,2926000,7673000,6088000,6889000,4158000,2540000,3910000,9739000,16559000,21744000,40120000,73713000,80343000,62767000,155050000
37,Total Current Assets,15519000,24189000,48181000,82414000,222784000,463559000,442249000,293534000,254139000,152028000,125456000,254028000,746367000,1105388000,671877000,1764740000,1200696000,1715864000,2114777000,2808576000
38,PP&E,526000,4756000,11694000,10580000,12173000,13810000,19194000,18324000,18289000,14643000,19799000,16448000,21740000,27812000,114572000,181900000,320658000,425179000,706514000,733633000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,3878000,3405000,2491000,1933000,968000,795000,622000,448000,275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,3878000,3405000,2491000,1933000,968000,795000,622000,448000,275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,83904000,160349000,120389000,114971000,142164000,150054000,279821000,251839000,324799000,13919000,- -,14825000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,5382000,8556000,- -,- -,- -,- -,31667000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,66000,2360000,2827000,2863000,3116000,15454000,3152000,- -,- -,- -,101000,- -,- -,1471000,151562000,34171000,53448000,239266000,585770000,101095000
45,Total Non-Current Assets,592000,10994000,17926000,15934000,17222000,30232000,112427000,187851000,139126000,129889000,162064000,166502000,333228000,281122000,590933000,229990000,374106000,679270000,1292284000,834728000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16111000,35183000,66107000,98348000,240006000,493791000,554676000,481385000,393265000,281917000,287520000,420530000,1079595000,1386510000,1262810000,1994730000,1574802000,2395134000,3407061000,3643304000
48,Accounts Payable,674000,1510000,910000,1975000,4085000,3826000,2588000,12489000,9312000,5800000,4420000,5896000,15111000,16787000,54465000,28355000,59708000,49884000,51966000,73426000
49,Short-Term Debt,- -,558000,790000,1876000,3217000,3795000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27688000,36872000,321895000
50,Tax Payable,- -,- -,- -,- -,- -,- -,6111000,5644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,333000,1000000,10734000,11144000,59249000,79864000,81929000,81618000,62366000,31417000,32696000,23871000,15352000,33540000,41705000,3496000,77821000,127207000,149483000
52,Other Current Liabilities,1999000,1443000,3875000,3899000,4479000,15221000,17000000,16315000,11116000,12824000,12508000,15272000,56352000,29960000,43694000,74191000,116290000,197201000,369225000,150906000
53,Total Current Liabilities,2673000,3844000,6575000,18484000,22925000,82091000,99452000,110733000,102046000,80990000,48345000,53864000,95334000,62099000,131699000,144251000,179494000,352594000,585270000,695710000
54,Long-Term Debt,- -,1301000,6411000,5519000,5919000,2963000,- -,- -,- -,- -,- -,- -,- -,- -,150000000,30000000,30000000,- -,484317000,957044000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,250121000,189884000,129974000,78487000,100874000,93394000,42983000,52965000,49392000,43075000,458000,318383000,225094000,152360000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,18084000,56745000,6979000,12566000,9988000,209569000,2978000,2803000,3012000,4443000,4248000,2925000,5011000,6732000,11498000,10973000,62885000,285465000,1096133000,1249987000
58,Total Non-Current Liabilities,18084000,58046000,13390000,18085000,15907000,212532000,253099000,192687000,132986000,82930000,105122000,96319000,47994000,59697000,210890000,84048000,93343000,603848000,1805544000,2359391000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303823000,329911000,- -
61,Total Liabilities,20757000,61890000,19965000,36569000,38832000,294623000,352551000,303420000,235032000,163920000,153467000,150183000,143328000,121796000,342589000,228299000,272837000,956442000,2390814000,3055101000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,208000,267000,371000,408000,414000,418000,423000,427000,525000,637000,772000,851000,859000,997000,1011000,1122000,1164000,1202000
64,Retained Earnings,-4485000,-29518000,-63005000,-105919000,-140527000,-225993000,-252242000,-299832000,-343347000,-400996000,-507010000,-596235000,-956630000,-1246703000,-1656811000,-2147685000,-2840972000,-3727088000,-4585369000,-5438193000
65,Other Comprehensive Income/Loss,-161000,-4605000,-3277000,-2602000,551000,300000,1186000,716000,714000,-165000,15662000,19717000,48763000,4369000,-33441000,-34433000,-33213000,-36518000,-43622000,-33259000
66,Other Total Stockholders Equity,- -,3469000,112216000,170033000,340779000,424453000,452767000,476663000,500443000,518731000,624876000,846228000,1843362000,2506197000,2609614000,3947552000,4175139000,5201176000,5644074000,6058453000
67,Total Stockholders Equity,-4646000,-26707000,46142000,61779000,201174000,199168000,202125000,177965000,158233000,117997000,134053000,270347000,936267000,1264714000,920221000,1766431000,1301965000,1438692000,1016247000,588203000
68,Total Liabilities And Stockholders Equity,16111000,35183000,66107000,98348000,240006000,493791000,554676000,481385000,393265000,281917000,287520000,420530000,1079595000,1386510000,1262810000,1994730000,1574802000,2395134000,3407061000,3643304000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16111000,35183000,66107000,98348000,240006000,493791000,554676000,481385000,393265000,281917000,287520000,420530000,1079595000,1386510000,1262810000,1994730000,1574802000,2395134000,3407061000,3643304000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1178670/000095013505001747/b53309ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013506001651/b58496ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013507001526/b63620ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013508001658/b68134ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013509001458/0000950135-09-001458-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000095012310018222/0000950123-10-018222-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000095012311015737/b83541e10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312512053552/0001193125-12-053552-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000119312513065475/0001193125-13-065475-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000119312514060913/d653396d10k.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312515050223/d835246d10k.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312516462538/0001193125-16-462538-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459017001649/0001564590-17-001649-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459018002152/0001564590-18-002152-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459019003022/0001564590-19-003022-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000117867020000004/0001178670-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000117867021000010/0001178670-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1178670/000117867022000013/0001178670-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4136000,-25033000,-32654000,-42914000,-34608000,-85466000,-26249000,-47590000,-43515000,-57649000,-106014000,-89225000,-360395000,-290073000,-410108000,-490874000,-761497000,-886116000,-858281000,-852824000
74,Depreciation and Amortization,36000,838000,2444000,3119000,3815000,4082000,5726000,5992000,4941000,5125000,9035000,10229000,11926000,19050000,15130000,13367000,6435000,54368000,34772000,47567000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1889000,-5501000,-5163000,10742000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,18026000,20168000,19338000,16796000,12360000,20703000,33061000,45783000,75528000,92819000,157752000,174841000,139873000,165717000
77,Change in Working Capital,2650000,7499000,21261000,22324000,135929000,181609000,-38671000,-159996000,-30708000,-81055000,6073000,123053000,450869000,392256000,-503111000,1080311000,-599287000,342068000,166237000,583359000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1364000,-4144000,-35689000,31639000,-15036000,-10668000,15242000,-24238000,-56236000,-101799000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22645000,-32411000,-35426000,-26415000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1238000,9901000,-3177000,-3512000,-1736000,1832000,8840000,1676000,10098000,-4939000,15478000,- -,- -,88240000
81,Other Working Capital,12846000,20345000,41606000,63930000,199859000,381468000,342797000,182801000,152093000,71038000,77111000,200164000,651033000,1043289000,540178000,1620489000,1021202000,1363270000,1529507000,2112866000
82,Other Non-Cash Items,172000,3868000,-10621000,986000,-129766000,94405000,112160000,114444000,-45139000,29715000,-37063000,-133417000,-301102000,-356156000,514860000,-1078409000,633981000,36412000,-97562000,-585512000
83,Cash Provided by Operating Activities,-1278000,-12828000,-19570000,-16485000,-24630000,196519000,65491000,-72145000,-84341000,-87068000,-115609000,-68657000,-165641000,-189140000,-307701000,-382786000,-562616000,-278427000,-614961000,-641693000
84,CAPEX,-562000,-3119000,-9006000,-1947000,-4986000,-7788000,-10764000,-4949000,-4732000,-1291000,-8348000,-4006000,-8961000,-12950000,-64557000,-104209000,-126887000,-140156000,-70361000,13599000
85,Acquisitions Net,- -,-121000,- -,- -,- -,- -,-100000,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-33499000,-70882000,-172303000,-554394000,-482244000,-481339000,-390473000,-293115000,-277129000,-364305000,-977775000,-1033843000,-759310000,-903457000,-1104046000,-2075925000,-2025626000,-1656114000
87,Sales/Maturities of Investments,- -,- -,7725000,32411000,147243000,283254000,511044000,504570000,413043000,376365000,289013000,237806000,462922000,726943000,1116458000,717305000,1518703000,1805404000,1691669000,1463550000
88,Other Investing Activites,- -,- -,185000,- -,- -,1503000,- -,6151000,- -,- -,-162000,- -,-25000000,-1471000,-150000000,- -,-14825000,-7000000,-31200000,-4364000
89,Cash Used for Investing Activites,-562000,-3240000,-34595000,-40418000,-30046000,-277425000,17936000,14433000,17838000,81959000,3374000,-130505000,-548814000,-321321000,142591000,-290361000,272945000,-417677000,-435518000,-273300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-6758000,- -,- -,- -,- -,- -,- -,- -,- -,-120000000,- -,-30000000,- -,- -
91,Common Stock Issued,17345000,27480000,45308000,52423000,164890000,61011000,9913000,3509000,3663000,738000,86800000,173572000,723037000,585418000,14301000,1161006000,- -,781900000,99498000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-359000,-1389000,-15992000,-378000,-596000,-257000,-3469000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-28000,-3772000,5669000,194000,1741000,-2376000,- -,- -,- -,- -,6971000,28743000,29420000,31137000,164127000,84142000,68939000,71284000,895481000,1247118000
95,Cash Used/Provided by Financing Activities,17317000,23708000,50977000,52617000,166631000,58635000,3155000,3509000,3663000,738000,93412000,200926000,736465000,616177000,177832000,1124891000,65470000,823184000,994979000,1247118000
96,Effect of Forex Changes on Cash,- -,76000,267000,-229000,243000,-527000,53000,-121000,-29000,- -,- -,- -,- -,- -,- -,- -,- -,-83000,4918000,-9018000
97,Net Change In Cash,- -,7716000,-2921000,-4515000,112198000,-22798000,86635000,-54324000,-62869000,-4371000,-18823000,1764000,22010000,105716000,12722000,451744000,-224201000,126997000,-50582000,323107000
98,Cash at the End of Period,15477000,23193000,20272000,15757000,127955000,105157000,191792000,137468000,74599000,70228000,51405000,53169000,75179000,180895000,193617000,645361000,422631000,549628000,499046000,822153000
99,Cash at the Beginning of Period,- -,15477000,23193000,20272000,15757000,127955000,105157000,191792000,137468000,74599000,70228000,51405000,53169000,75179000,180895000,193617000,646832000,422631000,549628000,499046000
100,Free Cash Flow,-1840000,-15947000,-28576000,-18432000,-29616000,188731000,54727000,-77094000,-89073000,-88359000,-123957000,-72663000,-174602000,-202090000,-372258000,-486995000,-689503000,-418583000,-685322000,-628094000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1178670/000095013505001747/b53309ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013506001651/b58496ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013507001526/b63620ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013508001658/b68134ape10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000095013509001458/0000950135-09-001458-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000095012310018222/0000950123-10-018222-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000095012311015737/b83541e10vk.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312512053552/0001193125-12-053552-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000119312513065475/0001193125-13-065475-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000119312514060913/d653396d10k.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312515050223/d835246d10k.htm,https://www.sec.gov/Archives/edgar/data/1178670/000119312516462538/0001193125-16-462538-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459017001649/0001564590-17-001649-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459018002152/0001564590-18-002152-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000156459019003022/0001564590-19-003022-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000117867020000004/0001178670-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1178670/000117867021000010/0001178670-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1178670/000117867022000013/0001178670-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
