,https://roic.ai/company/IONS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2100000,5300000,32300000,8000000,36400000,41400000,54500000,67200000,76000000,82200000,71780000,99375000,129619000,127165000,128050000,90355000,93186000,108569000,120250000,149138000,156829000,170186000,170973000,198951000,261891000,359465000,392936000,483132000,659226000,752332000,889377000,814353000
11,COGS and Expenses,6500000,16800000,30300000,30400000,32600000,38600000,51900000,64000000,71700000,77000000,66245000,99375000,129619000,127165000,128050000,90355000,93186000,108569000,120250000,149138000,156829000,170186000,170973000,198951000,261891000,359465000,392936000,483132000,661046000,756716000,901324000,825195000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3370000,2414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12672000,13232000,16732000,21152000,19355000,22209000,36732000,38795000,44752000,44789000,48768000,44990000,4300000
14,Depreciation and Amortization,400000,900000,2000000,3200000,3900000,2800000,2600000,3200000,4300000,5200000,5535000,6967000,10304000,12253000,12170000,9688000,7216000,6765000,6817000,11329000,9177000,11784000,10755000,9782000,9404000,10238000,9033000,8349000,12528000,15994000,17160000,19560000
15,EBITDA,-4100000,-7800000,-17500000,-15900000,-14300000,-20900000,-23900000,-27900000,-38700000,-54000000,-47950000,-66865000,-61938000,-82743000,-130333000,-62713000,-38687000,-4229000,-5146000,182258000,-38750000,-56274000,-42680000,-37421000,-22778000,-40936000,-35794000,41151000,39917000,402415000,-72402000,-5288000
16,EBITDA ratio,-2.0500,-1.2381,-2.0115,-1.3140,-1.4158,-1.6077,-1.0575,-0.8585,-0.9872,-1.5929,-1.2871,-1.2551,-0.7725,-1.6552,-3.0577,-1.5626,-1.5770,-0.0607,-0.0480,1.4988,-0.3572,-0.5679,-0.4182,-0.2541,-0.1064,-0.1443,-0.1033,0.0811,0.0666,0.3585,-0.0993,-0.0065
17,Operating Income,-4500000,-10500000,-21600000,-18300000,-22500000,-25600000,-29300000,-31500000,-32500000,-43100000,-28990000,-46102000,-50813000,-78978000,-117853000,-57182000,-68118000,-38948000,-13060000,-27538000,-48356000,-71100000,-68924000,-51666000,-47730000,-75762000,-46316000,24534000,-61372000,365883000,-172082000,-30186000
18,Operating Income ratio,-2.2500,-1.6667,-2.4828,-1.5124,-2.2277,-1.9692,-1.2965,-0.9692,-0.8291,-1.2714,-0.7782,-0.8654,-0.6337,-1.5799,-2.7649,-1.4248,-2.7767,-0.5594,-0.1218,-0.2265,-0.4458,-0.7176,-0.6754,-0.3508,-0.2229,-0.2670,-0.1336,0.0483,-0.1023,0.3259,-0.2360,-0.0372
19,Total Other Income Expenses (Gains),- -,1800000,2100000,- -,5500000,3000000,4000000,4100000,-1000000,-7200000,-17859000,-12482000,-6240000,859000,-34485000,-6960000,2799000,298000,-965000,-4227000,-12803000,-13690000,-5663000,-14892000,-6661000,-12144000,-37306000,-47810000,-14784000,-19114000,2050000,1038000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31765000,-61159000,-84790000,-74587000,-66558000,-54391000,-87906000,-83622000,-23276000,-76156000,346769000,-170032000,-29148000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2612,-0.5638,-0.8557,-0.7309,-0.4519,-0.2540,-0.3099,-0.2412,-0.0458,-0.1270,0.3089,-0.2332,-0.0360
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3191000,92000,11000,-9109000,-5914000,-15407000,372000,2934000,-5980000,-291141000,43507000,316734000,-551000
23,Net Income,-4500000,-8700000,-19500000,-19100000,-18200000,-23700000,-26500000,-31100000,-43000000,-59200000,-53485000,-73832000,-72242000,-94996000,-142503000,-72401000,-45903000,-10994000,-11963000,155066000,-61251000,-84801000,-65478000,-60644000,-38984000,-88278000,-86556000,-5970000,273741000,294146000,-451286000,-28597000
24,Net Income ratio,-2.2500,-1.3810,-2.2414,-1.5785,-1.8020,-1.8231,-1.1726,-0.9569,-1.0969,-1.7463,-1.4356,-1.3859,-0.9010,-1.9003,-3.3433,-1.8040,-1.8711,-0.1579,-0.1116,1.2752,-0.5647,-0.8558,-0.6416,-0.4117,-0.1820,-0.3112,-0.2497,-0.0118,0.4565,0.2620,-0.6188,-0.0353
25,EPS,-0.70,-0.84,-1.51,-1.22,-0.93,-1.10,-1.04,-1.17,-1.60,-2.08,-1.48,-1.70,-1.35,-1.73,-2.52,-1.15,-0.62,-1.63,-0.13,1.58,-0.62,-0.85,-0.65,-0.55,-0.33,-0.74,-0.72,0.08,2.09,2.12,-3.23,-0.21
26,EPS Diluted,-0.70,-0.84,-1.51,-1.22,-0.93,-1.10,-1.04,-1.17,-1.60,-2.08,-1.48,-1.70,-1.35,-1.73,-2.52,-1.15,-0.62,-1.63,-0.13,1.58,-0.62,-0.85,-0.65,-0.55,-0.33,-0.74,-0.72,0.08,2.07,2.08,-3.23,-0.21
27,Weighted Average Shares Outstanding,6428571,10357143,12913907,15655738,19569892,21545455,25585000,26456000,26873000,28703000,37023000,44109000,54480000,55463000,56642000,62877000,74308000,83739000,94566000,98109000,99143000,99656000,100576000,110502000,117691000,119719000,120933000,124016000,132320000,140000000,140000000,141139000
28,Weighted Average Shares Outstanding Diluted,6428571,10357143,12913907,15655738,19569892,21545455,25585000,26578947,26873000,28703000,37023000,44109000,54480000,55463000,56642000,62877000,74308000,83739000,94566000,98109000,99143000,99656000,100576000,110502000,117691000,119719000,120933000,126098000,134056000,143000000,140000000,141139000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874015/000091205702013013/0000912057-02-013013-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746903011306/0001047469-03-011306-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746904007808/0001047469-04-007808-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746905006784/0001047469-05-006784-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465906017279/0001104659-06-017279-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465907019915/0001104659-07-019915-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746908002693/0001047469-08-002693-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465909012215/0001104659-09-012215-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465910010939/0001104659-10-010939-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465911011094/0001104659-11-011094-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465912014567/0001104659-12-014567-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465913016208/0001104659-13-016208-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465914015019/0001104659-14-015019-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036115009498/0001140361-15-009498-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401516000112/0000874015-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036117009823/0001140361-17-009823-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401518000047/0000874015-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401519000045/0000874015-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036120004500/0001140361-20-004500-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401521000056/0000874015-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401522000079/0000874015-22-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,37100000,38100000,27600000,35300000,39615000,127011000,101856000,33117000,27250000,3650000,114514000,138614000,217918000,105255000,70052000,65477000,124482000,159973000,142998000,128797000,84685000,129630000,278820000,683287000,397664000,869191000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,87647000,185007000,187497000,182387000,76633000,90739000,78819000,55105000,273080000,469057000,402301000,278187000,283586000,548884000,667715000,675178000,582952000,893085000,1805252000,1816257000,1494711000,1245782000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,37100000,38100000,27600000,52800000,127262000,312018000,289353000,215504000,103883000,94389000,193333000,193719000,490998000,574312000,472353000,343664000,408068000,708857000,810713000,803975000,667637000,1022715000,2084072000,2499544000,1892375000,2114973000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,3500000,5400000,3346000,10360000,14906000,2657000,10048000,3918000,2395000,6177000,4121000,10899000,1242000,6921000,522000,11102000,3903000,11356000,108043000,62955000,12759000,63034000,76204000,61896000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11090000,13995000,2722000,951000,861000,2817000,2718000,2768000,2484000,4139000,6121000,8033000,6290000,6899000,7489000,9982000,8582000,18180000,21965000,24806000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,42300000,51100000,32100000,1000000,2596000,6438000,4831000,7405000,8956000,6600000,9614000,4604000,20547000,8147000,7058000,5415000,8727000,7518000,15691000,14773000,14763000,72332000,102473000,139839000,140163000,143374000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,79400000,89200000,63200000,59200000,133204000,328816000,320180000,239561000,125609000,105858000,206203000,207317000,518384000,596126000,483137000,360139000,423438000,735510000,836597000,837003000,797932000,1167984000,2207886000,2720597000,2130707000,2345049000
38,PP&E,- -,- -,- -,- -,- -,- -,15300000,18800000,21500000,23900000,22625000,28245000,59094000,34790000,28454000,9130000,7157000,7131000,17371000,27338000,35703000,96615000,91084000,86198000,88958000,90233000,92845000,121907000,132160000,153651000,181077000,178069000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,6200000,7500000,9100000,11300000,13815000,49096000,49653000,50737000,45201000,42543000,38271000,36859000,33121000,30451000,15821000,16259000,25225000,20089000,19876000,19316000,20365000,22004000,24032000,25674000,27937000,29005000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,6200000,7500000,9100000,11300000,13815000,49096000,49653000,50737000,45201000,42543000,38271000,36859000,33121000,30451000,15821000,16259000,25225000,20089000,19876000,19316000,20365000,22004000,24032000,25674000,27937000,29005000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290796000,305557000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,400000,2400000,2300000,8700000,13612000,10904000,9756000,9854000,9161000,8842000,4276000,7551000,5274000,3269000,14946000,11881000,5939000,5359000,10378000,9553000,1325000,10129000,12910000,27633000,50034000,59567000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,21900000,28700000,32900000,43900000,50052000,88245000,118503000,95381000,82816000,60515000,49704000,51541000,55766000,61058000,67340000,124755000,122248000,111646000,119212000,119102000,114535000,154040000,459898000,512515000,259048000,266641000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,101300000,117900000,96100000,103100000,183256000,417061000,438683000,334942000,208425000,166373000,255907000,258858000,574150000,657184000,550477000,484894000,545686000,847156000,955809000,956105000,912467000,1322024000,2667784000,3233112000,2389755000,2611690000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2400000,2800000,3000000,3100000,2231000,6126000,5524000,3720000,6967000,2095000,4288000,4507000,5710000,4696000,6523000,8300000,10239000,11009000,17984000,28355000,21120000,24886000,28660000,16067000,17199000,11904000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,6200000,2300000,3600000,3900000,4607000,9837000,21435000,16477000,10546000,7835000,7514000,7238000,2065000,4270000,5645000,3390000,4879000,4408000,2882000,9029000,1185000,1621000,13749000,2026000,300462000,3526000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32514000,1324000,36000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22696000,- -,- -,14190000,1514000,1044000,33205000,92662000,75681000,74502000,36584000,35925000,48135000,51713000,67322000,51280000,106465000,160256000,118272000,108376000,97714000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,14500000,21500000,15900000,8000000,7798000,9588000,48991000,25360000,11713000,12349000,12293000,17255000,24261000,26797000,19220000,27838000,23279000,34260000,42753000,44170000,60199000,91769000,77629000,136640000,157213000,127406000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,23100000,26600000,22500000,15000000,14636000,48247000,75950000,45557000,43416000,23793000,25139000,62205000,124698000,111444000,105890000,76112000,74322000,97812000,115332000,148876000,133784000,224741000,280294000,273005000,583250000,240550000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,19900000,56500000,77700000,87300000,102254000,125710000,207256000,213397000,236611000,139915000,125000000,162862000,172438000,11478000,148762000,215450000,151392000,156876000,383169000,399916000,515561000,605856000,632971000,785500000,539112000,1247524000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107097000,50413000,17474000,66656000,142790000,127797000,134306000,91198000,72708000,567359000,490060000,424046000,351879000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,-100000,100000,- -,- -,20005000,- -,8810000,531000,- -,7822000,23548000,172766000,125100000,870000,4424000,70550000,71288000,71731000,72217000,72359000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,19800000,56400000,77800000,87300000,102254000,145715000,207256000,222207000,237142000,139915000,132866000,186410000,345204000,243675000,200045000,237348000,288598000,370954000,582697000,606439000,679118000,678564000,1200330000,1275560000,963158000,1599403000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7822000,- -,- -,- -,- -,- -,70550000,71288000,71731000,72217000,72359000,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,42900000,83000000,100300000,102300000,116890000,193962000,283206000,267764000,280558000,163708000,158005000,248615000,469902000,355119000,305935000,313460000,362920000,468766000,698029000,755315000,812902000,903305000,1480624000,1548565000,1546408000,1839953000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13881000,14575000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,54000,55000,56000,57000,72000,82000,87000,97000,99000,99000,100000,102000,116000,118000,120000,122000,125000,138000,140000,140000,141000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-123100000,-154100000,-197100000,-256800000,-311460000,-386591000,-459893000,-555583000,-698447000,-770848000,-816751000,-827745000,-839708000,-696150000,-756687000,-841488000,-906966000,-967610000,-1006594000,-1094872000,-1181428000,-1187398000,-967293000,-707534000,-1249368000,-1159903000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-15600000,-18500000,-22300000,-26700000,-31304000,-34452000,-667000,3182000,2551000,3178000,4278000,538000,982000,2153000,949000,-770000,12480000,21080000,39747000,-13565000,-30358000,-31759000,-32016000,-25290000,-21071000,-32668000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,197100000,207500000,215200000,284300000,409090000,644088000,602101000,604948000,623706000,770263000,880954000,827992000,905721000,985620000,1000181000,1013592000,1077150000,1324804000,1224509000,1309107000,1311229000,1549904000,2047250000,2203778000,2113646000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,58400000,34900000,-4200000,800000,66366000,223099000,155477000,67178000,-72133000,2665000,68563000,872000,67092000,291722000,244542000,171434000,182766000,378390000,257780000,200790000,99565000,330872000,1048079000,1471094000,843347000,771737000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,101300000,117900000,96100000,103100000,183256000,417061000,438683000,334942000,208425000,166373000,226568000,249487000,536994000,646841000,550477000,484894000,545686000,847156000,955809000,956105000,912467000,1234177000,2528703000,3019659000,2389755000,2611690000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29339000,9371000,37156000,10343000,- -,- -,- -,- -,- -,- -,- -,87847000,139081000,213453000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,101300000,117900000,96100000,103100000,183256000,417061000,438683000,334942000,208425000,166373000,255907000,258858000,574150000,657184000,550477000,484894000,545686000,847156000,955809000,956105000,912467000,1322024000,2667784000,3233112000,2389755000,2611690000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874015/000091205702013013/0000912057-02-013013-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746903011306/0001047469-03-011306-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746904007808/0001047469-04-007808-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746905006784/0001047469-05-006784-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465906017279/0001104659-06-017279-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465907019915/0001104659-07-019915-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746908002693/0001047469-08-002693-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465909012215/0001104659-09-012215-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465910010939/0001104659-10-010939-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465911011094/0001104659-11-011094-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465912014567/0001104659-12-014567-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465913016208/0001104659-13-016208-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465914015019/0001104659-14-015019-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036115009498/0001140361-15-009498-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401516000112/0000874015-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036117009823/0001140361-17-009823-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401518000047/0000874015-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401519000045/0000874015-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036120004500/0001140361-20-004500-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401521000056/0000874015-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401522000079/0000874015-22-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-8700000,-19500000,-19100000,-18200000,-23700000,-26500000,-31100000,-43000000,-59200000,-53485000,-73832000,-72242000,-94996000,-142503000,-72401000,-45903000,-10994000,-11963000,155066000,-61251000,-84801000,-65478000,-60644000,-38984000,-88278000,-86556000,-5970000,273741000,294146000,-451286000,-28597000
74,Depreciation and Amortization,- -,900000,2000000,3200000,3900000,2800000,2600000,3200000,4300000,5200000,5535000,6967000,10304000,12253000,12170000,9688000,7216000,6765000,6817000,11329000,9177000,11784000,10755000,9782000,9404000,10238000,9033000,8349000,12528000,15994000,17160000,19560000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9111000,-5914000,-12835000,- -,- -,- -,-290516000,-7096000,313272000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13385000,12159000,9845000,8571000,11418000,31383000,59314000,72108000,85975000,131312000,146574000,230117000,120678000
77,Change in Working Capital,- -,5700000,- -,- -,- -,- -,56300000,- -,6300000,-21900000,3500000,74368000,162001000,-36339000,-50226000,-111811000,-128000,98999000,-35952000,248574000,90996000,-107435000,-93220000,65089000,288582000,83567000,-33138000,-23979000,279095000,984349000,520000000,-113818000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11090000,-2905000,-9699000,1771000,90000,-1956000,-1323000,-17000,284000,-1655000,-1982000,-1912000,1743000,-609000,-590000,-2493000,1400000,-5411000,-1261000,-2841000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3652000,1325000,875000,1292000,66000,4824000,9211000,-10677000,1784000,-655000,-16343000,-2755000,-6000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,56300000,56300000,62600000,40700000,44200000,118568000,280569000,244230000,194004000,82193000,82065000,181064000,145112000,393686000,484682000,377247000,284027000,349116000,637698000,721265000,688127000,664148000,943243000,1927592000,2447592000,-110027000
82,Other Non-Cash Items,- -,600000,-1900000,600000,-900000,5800000,-53600000,7300000,-2300000,27500000,21264000,-13661000,-194444000,23608000,78808000,112783000,-14410000,-58676000,253129000,-536795000,-114674000,55806000,150359000,43762000,-271265000,-43716000,-73552000,109774000,196728000,-1088247000,-593371000,32976000
83,Cash Provided by Operating Activities,- -,-1500000,-19400000,-15300000,-15200000,-15100000,-21200000,-20600000,-34700000,-48400000,-23186000,-6158000,-94381000,-95474000,-101751000,-61741000,-53225000,36094000,212031000,-108441000,-63593000,-114801000,1876000,63493000,6285000,21125000,-112105000,174149000,602888000,345720000,35892000,30799000
84,CAPEX,- -,-2900000,-2100000,-5200000,-900000,-1100000,-900000,-3500000,-4400000,-4800000,-1649000,-9287000,-36834000,-7554000,-3526000,-422000,-2556000,-5010000,-17067000,-16294000,-17556000,-10998000,-5170000,-5362000,-11104000,-11748000,-11528000,-37857000,-17652000,-36282000,-41048000,-17901000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80400000,- -,- -,- -,- -,-3000000,- -,22949000,25527000,4467000,2507000,- -,- -,- -,- -
86,Purchases of Investments,- -,-39800000,- -,-400000,-10200000,-400000,-9600000,-8200000,- -,- -,-69949000,-334032000,-200563000,-152910000,-72479000,-64103000,-107025000,-95371000,-483129000,-777730000,-530387000,-371467000,-218667000,-425554000,-391883000,-493467000,-300912000,-880310000,-1794735000,-1956726000,-1570410000,-1131378000
87,Sales/Maturities of Investments,- -,- -,20000000,- -,4200000,- -,- -,- -,17500000,13400000,- -,236236000,196075000,156943000,176147000,50213000,76972000,125137000,265951000,581734000,577533000,493363000,244836000,175190000,297190000,419636000,364572000,557369000,882824000,1951734000,1885935000,1344185000
88,Other Investing Activites,- -,-1000000,-1700000,-1700000,-2300000,- -,-800000,-3500000,-4000000,-16500000,-23781000,-36403000,-19047000,-11597000,-16411000,14852000,- -,- -,- -,-2880000,-10215000,-3667000,-3691000,-3810000,-3586000,-4056000,-4421000,-3093000,-4044000,-5377000,-5928000,-5946000
89,Cash Used for Investing Activites,- -,-43700000,16200000,-7300000,-9200000,-1500000,-11300000,-15200000,9100000,-7900000,-95379000,-143486000,-60369000,-15118000,83731000,540000,-32609000,-55644000,-234245000,-212290000,23694000,110898000,17999000,-255726000,-82848000,-60052000,56599000,-358291000,-929563000,-41274000,274477000,194906000
