,https://roic.ai/company/LII,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.50,1.85,1.06,-0.75,-3.32,1.45,-2.24,2.35,2.37,2.55,2.17,0.91,2.13,1.68,1.77,3.45,4.30,4.16,6.39,7.25,8.84,10.49,9.30,12.47
26,EPS Diluted,1.47,1.81,1.05,-0.75,-3.32,1.40,-2.24,2.11,2.26,2.43,2.11,0.91,2.08,1.65,1.75,3.39,4.23,4.09,6.32,7.14,8.74,10.38,9.24,12.39
27,Weighted Average Shares Outstanding,35000000,39567568,55715094,56530667,57356325,58206897,60000000,64200000,69900000,66400000,56700000,55500000,54600000,52500000,50700000,49800000,47900000,44900000,43400000,42200000,40600000,39000000,38300000,37200000
28,Weighted Average Shares Outstanding Diluted,35714286,40441989,56245714,56530667,58954489,60285714,60000000,73700000,73500000,69400000,58300000,56300000,55800000,53400000,51400000,50600000,48600000,45600000,44000000,42800000,41100000,39400000,38600000,37500000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069202/000111632002000064/0001116320-02-000064-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013403004696/0000950134-03-004696-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013404015359/0000950134-04-015359-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013405005117/0000950134-05-005117-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013406005345/0000950134-06-005345-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013407004266/0000950134-07-004266-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013408003720/0000950134-08-003720-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013409003853/0000950134-09-003853-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095012310014103/0000950123-10-014103-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/0000950123-11-015556-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/0001193125-12-065358-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/0001069202-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/0001069202-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920215000003/0001069202-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920216000014/0001069202-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920217000003/0001069202-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920218000004/0001069202-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920219000008/0001069202-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920220000004/0001069202-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920221000007/0001069202-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000162828022002664/0001628280-22-002664-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,29200000,40633000,34393000,76369000,76100000,60900000,213500000,144300000,145500000,122100000,124300000,160000000,45000000,51800000,38000000,37500000,38900000,50200000,68200000,46300000,37300000,123900000,31000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27700000,33400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,5100000,5500000
33,Cash and Short-Term Investments,- -,29200000,40633000,34393000,76369000,76100000,60900000,213500000,144300000,173200000,155500000,124300000,160000000,45000000,51800000,38000000,37500000,38900000,50200000,68200000,46300000,40200000,129000000,36500000
34,Net Receivables,- -,443100000,399136000,291485000,307334000,463400000,472500000,508400000,502600000,492500000,369600000,357000000,384800000,408700000,373400000,408100000,421400000,422800000,469800000,506500000,472700000,477800000,448300000,508300000
35,Inventory,- -,345400000,359531000,281170000,219682000,226600000,247200000,242400000,305500000,325700000,298300000,250200000,286200000,336500000,374800000,378800000,463300000,418800000,418500000,484200000,509800000,544100000,439400000,510900000
36,Other Current Assets,- -,69900000,101910000,106317000,71670000,79400000,64100000,82900000,66000000,79300000,111600000,102400000,115900000,113000000,187100000,77500000,91800000,57700000,67400000,78400000,60600000,58800000,70900000,119700000
37,Total Current Assets,- -,887600000,901210000,713365000,675055000,845500000,844700000,1047200000,1018400000,1070700000,935000000,833900000,946900000,903200000,987100000,902400000,1014000000,938200000,1005900000,1137300000,1089400000,1120900000,1087600000,1175400000
38,PP&E,- -,330000000,354172000,291531000,231042000,234600000,234000000,255700000,288200000,317900000,329500000,329600000,324300000,309900000,298200000,335500000,358600000,339600000,361400000,397800000,408300000,627000000,658700000,711200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,239800000,262800000,232300000,257400000,271800000,305600000,223800000,216800000,209400000,195100000,195100000,200500000,186600000,186500000,186900000,186600000
40,Intangible Assets,- -,394300000,739468000,704713000,420802000,447300000,225400000,223900000,3200000,- -,- -,- -,- -,- -,35300000,23200000,23900000,6200000,7300000,8600000,- -,- -,- -,- -
41,Intangible Assets,- -,394300000,739468000,704713000,420802000,447300000,225400000,223900000,243000000,262800000,232300000,257400000,271800000,305600000,259100000,240000000,233300000,201300000,202400000,209100000,186600000,186500000,186900000,186600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,59800000,82800000,71900000,104300000,94000000,113500000,74600000,87200000,107000000,102800000,88500000,97500000,145700000,136700000,94400000,67000000,21500000,13200000,11300000
44,Other Non-Current Assets,- -,71800000,60181000,84379000,194819000,139400000,131700000,138900000,65900000,69200000,49200000,48400000,61800000,80000000,44700000,60300000,60900000,55400000,53900000,52900000,65900000,79000000,86100000,87400000
45,Total Non-Current Assets,- -,796100000,1153821000,1080623000,846663000,881100000,673900000,690400000,701400000,743900000,724500000,710000000,745100000,802500000,704800000,724300000,750300000,742000000,754400000,754200000,727800000,914000000,944900000,996500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1683700000,2055031000,1793988000,1521718000,1726600000,1518600000,1737600000,1719800000,1814600000,1659500000,1543900000,1692000000,1705700000,1691900000,1626700000,1764300000,1680200000,1760300000,1891500000,1817200000,2034900000,2032500000,2171900000
48,Accounts Payable,- -,196100000,260208000,242534000,247598000,262900000,237000000,296800000,278600000,289800000,234500000,238200000,273800000,277000000,284700000,283100000,324300000,320100000,361200000,348600000,433300000,372400000,340300000,402100000
49,Short-Term Debt,- -,56800000,62917000,52596000,23126000,25000000,42400000,12500000,12400000,41200000,6700000,37700000,2000000,5500000,35600000,167200000,250600000,235300000,252500000,33500000,300800000,374600000,64900000,66100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,- -,5300000,5700000,4500000,31600000,22100000,37000000,29200000,23700000,22800000,18600000,20300000,26900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000,16000000,9800000,11600000,6800000,6400000,7300000,13000000,8400000,5500000,10200000
52,Other Current Liabilities,- -,210100000,266795000,259416000,266737000,327400000,304600000,347200000,360100000,353200000,334800000,317900000,339800000,253600000,303300000,253900000,240800000,261800000,268500000,265100000,261400000,247300000,290600000,348700000
53,Total Current Liabilities,- -,463000000,589920000,554546000,537461000,615300000,584000000,656500000,651100000,684200000,576000000,593800000,615600000,572900000,639600000,714000000,827300000,824000000,888600000,654500000,1008500000,1002700000,701300000,827100000
54,Long-Term Debt,- -,520300000,627550000,465163000,356747000,337300000,268100000,108000000,96800000,166700000,413700000,193800000,317000000,459600000,335000000,217000000,659500000,493000000,615700000,958600000,724800000,823400000,1113500000,1371500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,900000,941000,673000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,87500000,91505000,117315000,173120000,189800000,193600000,178700000,167500000,155200000,211200000,151900000,169700000,205400000,220500000,210000000,268500000,261600000,218000000,228300000,233500000,379000000,234800000,242300000
58,Total Non-Current Liabilities,- -,608700000,719996000,583151000,529867000,527100000,461700000,286700000,264300000,321900000,624900000,345700000,486700000,665000000,555500000,427000000,928000000,754600000,833700000,1186900000,958300000,1202400000,1348300000,1613800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,16000000,16200000,17000000,16800000,- -,15100000,19200000,217400000,237200000,240100000
61,Total Liabilities,- -,1071700000,1309916000,1137697000,1067328000,1142400000,1045700000,943200000,915400000,1006100000,1200900000,939500000,1102300000,1237900000,1195100000,1141000000,1755300000,1578600000,1722300000,1841400000,1966800000,2205100000,2049600000,2440900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500000,604000,607000,630000,600000,700000,700000,800000,800000,800000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000
64,Retained Earnings,- -,409900000,447377000,383566000,171316000,218900000,66800000,191000000,312500000,447400000,538800000,558600000,642200000,692900000,744400000,870500000,1022100000,1146700000,1353000000,1575900000,1855000000,2148700000,2385800000,2719300000
65,Other Comprehensive Income/Loss,- -,-365300000,-438153000,-454343000,-93154000,-24600000,-17500000,400000,-5100000,63600000,-98800000,-800000,30200000,-37100000,-22300000,-61100000,-153500000,-204700000,-195100000,-157400000,-188800000,-103800000,-97200000,-88100000
66,Other Total Stockholders Equity,- -,566900000,735287000,726461000,374007000,389300000,422900000,602300000,496200000,296700000,17800000,45700000,-83600000,-188900000,-226200000,-325400000,-861100000,-841700000,-1121200000,-1369300000,-1816700000,-2216000000,-2306600000,-2901100000
67,Total Stockholders Equity,- -,612000000,745115000,656291000,452799000,584200000,472900000,794400000,804400000,808500000,458600000,604400000,589700000,467800000,496800000,484900000,8400000,101200000,37600000,50100000,-149600000,-170200000,-17100000,-269000000
68,Total Liabilities And Stockholders Equity,- -,1683700000,2055031000,1793988000,1520127000,1726600000,1518600000,1737600000,1719800000,1814600000,1659500000,1543900000,1692000000,1705700000,1691900000,1625900000,1763700000,1679800000,1759900000,1891500000,1817200000,2034900000,2032500000,2171900000
69,Minority Interest,- -,- -,- -,- -,1591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,600000,400000,400000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1683700000,2055031000,1793988000,1521718000,1726600000,1518600000,1737600000,1719800000,1814600000,1659500000,1543900000,1692000000,1705700000,1691900000,1626700000,1764300000,1680200000,1760300000,1891500000,1817200000,2034900000,2032500000,2171900000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1069202/000111632002000064/0001116320-02-000064-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013403004696/0000950134-03-004696-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013404015359/0000950134-04-015359-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013405005117/0000950134-05-005117-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013406005345/0000950134-06-005345-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013407004266/0000950134-07-004266-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013408003720/0000950134-08-003720-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013409003853/0000950134-09-003853-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095012310014103/0000950123-10-014103-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/0000950123-11-015556-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/0001193125-12-065358-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/0001069202-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/0001069202-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920215000003/0001069202-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920216000014/0001069202-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920217000003/0001069202-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920218000004/0001069202-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920219000008/0001069202-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920220000004/0001069202-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920221000007/0001069202-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000162828022002664/0001628280-22-002664-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,52500000,73200000,59058000,-42398000,-190423000,84400000,-134400000,150500000,166000000,169000000,122800000,51100000,116200000,88300000,90000000,171800000,205800000,186600000,277800000,305700000,359000000,408700000,356300000,464000000
74,Depreciation and Amortization,43500000,57400000,84409000,82535000,56652000,48700000,42600000,37400000,44300000,48800000,50600000,52900000,53500000,60400000,55400000,58900000,60800000,62800000,58100000,64600000,66000000,71100000,72600000,72400000
75,Deferred Income Tax,- -,4500000,-21030000,- -,-17306000,5000000,3200000,11900000,-26300000,5700000,25000000,6700000,-9500000,3600000,-2700000,3500000,6100000,-21300000,-4000000,43300000,25200000,16600000,7200000,-5400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,12800000,15400000,13700000,15200000,29300000,23300000,26600000,31700000,24900000,26300000,21300000,24300000,24300000
77,Change in Working Capital,-93700000,424600000,-113310000,-152471000,-21225000,92606000,30500000,130000000,-23400000,19200000,-27500000,-118900000,91200000,-1000000,17200000,-159100000,-1700000,-72500000,3100000,365500000,-401900000,37300000,268100000,-52600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-52400000,-9300000,-3324000,62148000,49524000,900000,-28300000,100000,-47300000,-6700000,15000000,51800000,-31100000,-28800000,-55800000,-19500000,-96700000,28800000,300000,-56400000,-84200000,-63900000,110300000,-71000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44200000,-5400000,33600000,-5900000,37100000,-10900000,46100000,-2900000,40100000,-18500000,102200000,-56100000,-31700000,55200000
81,Other Working Capital,- -,424600000,311290000,158819000,137594000,230200000,260700000,390700000,367300000,386500000,359000000,240100000,331300000,330300000,347500000,188400000,186700000,114200000,117300000,482800000,80900000,118200000,386300000,-13000000
82,Other Non-Cash Items,2700000,-489100000,235966000,324301000,340189000,-174006000,114000000,-101100000,39100000,-4600000,500000,220900000,-81000000,-88800000,46300000,105900000,-109500000,149000000,-12200000,-478900000,420900000,-158900000,-116100000,12800000
83,Cash Provided by Operating Activities,5000000,70600000,245093000,211967000,167887000,56700000,55900000,228700000,199700000,238100000,183200000,225500000,185800000,76200000,221400000,210300000,184800000,331200000,354500000,325100000,495500000,396100000,612400000,515500000
84,CAPEX,-212500000,-410400000,-58306000,-17417000,-22730000,-41200000,-40300000,-63300000,-73800000,-68400000,-62100000,-58800000,-45800000,-43200000,-50200000,-78300000,-88400000,-69900000,-84300000,-98300000,-95200000,-105600000,-78500000,-106800000
85,Acquisitions Net,- -,- -,-247373000,-19394000,-4669000,-700000,- -,- -,- -,- -,-4700000,10000000,-3600000,-147100000,10100000,8600000,- -,- -,- -,- -,114700000,43500000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,2500000,-24200000,-43300000,-64200000,-16900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-2200000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,39300000,- -,15100000,58700000,50200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,3000000,2799000,3914000,60070000,19500000,23900000,700000,3500000,800000,5800000,1500000,-12000000,12500000,-300000,2400000,1100000,100000,200000,200000,11000000,80900000,1000000,400000
89,Cash Used for Investing Activites,-212400000,-407400000,-302880000,-32897000,32671000,-22400000,-16400000,-20800000,-94500000,-95800000,-66500000,-14000000,-61400000,-177800000,-40400000,-67300000,-87300000,-69800000,-84100000,-98100000,30500000,15900000,-79700000,-106400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36400000,-189300000,-113200000,-1397400000,-1691100000,-1744500000,-1950800000,-1893200000,-2702200000,-2556900000,-2561000000,-2448700000,-2472900000,-1545300000
91,Common Stock Issued,9600000,141900000,790000,3886000,10019000,12500000,20400000,25800000,19800000,21500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000
92,Common Stock Repurchased,-8500000,-12500000,-25316000,-214000,-294000,-400000,-100000,-15800000,-163400000,-253600000,-323800000,-5600000,-153700000,-123000000,-57900000,-137000000,-572700000,-32000000,-333300000,-276100000,-477100000,-424000000,-117900000,-622100000
93,Dividends Paid,-10800000,-14200000,-16263000,-21314000,-21713000,-22100000,-22800000,-24800000,-31300000,-35000000,-32400000,-31100000,-32400000,-36500000,-47600000,-34000000,-52600000,-59300000,-69000000,-79700000,-93900000,-110500000,-118100000,-126500000
94,Other Financing Activites,99200000,223500000,111165000,-167148000,-148143000,-21900000,-52600000,-42100000,-600000,114400000,260600000,14300000,205800000,1545000000,1616500000,1765300000,2486600000,1735800000,2849300000,2694400000,2594200000,2559800000,2267100000,1791900000
95,Cash Used/Provided by Financing Activities,89500000,338700000,70376000,-184790000,-160131000,-31900000,-55100000,-56900000,-175500000,-152700000,-132000000,-211700000,-93500000,-11900000,-180100000,-150200000,-89500000,-248700000,-255200000,-218300000,-537800000,-423400000,-441800000,-498700000
96,Effect of Forex Changes on Cash,-1500000,-1100000,-1130000,-520000,1549000,-700000,400000,1600000,1100000,11600000,-8100000,2400000,4800000,-1500000,5900000,-6600000,-8500000,-11300000,-3900000,9300000,-10100000,2400000,-4300000,-3300000
97,Net Change In Cash,89500000,800000,11459000,-6240000,41976000,1700000,-15200000,152600000,-69200000,1200000,-23400000,2200000,35700000,-115000000,6800000,-13800000,-500000,1400000,11300000,18000000,-21900000,-9000000,86600000,-92900000
98,Cash at the End of Period,- -,29200000,40633000,34393000,76369000,76100000,60900000,213500000,144300000,145500000,122100000,124300000,160000000,45000000,51800000,38000000,37500000,38900000,50200000,68200000,46300000,37300000,123900000,31000000
99,Cash at the Beginning of Period,147800000,28400000,29174000,40633000,34393000,74400000,76100000,60900000,213500000,144300000,145500000,122100000,124300000,160000000,45000000,51800000,38000000,37500000,38900000,50200000,68200000,46300000,37300000,123900000
100,Free Cash Flow,-207500000,-339800000,186787000,194550000,145157000,15500000,15600000,165400000,125900000,169700000,121100000,166700000,140000000,33000000,171200000,132000000,96400000,261300000,270200000,226800000,400300000,290500000,533900000,408700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069202/000111632002000064/0001116320-02-000064-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013403004696/0000950134-03-004696-index.html,https://www.sec.gov/Archives/edgar/data/1069202/000095013404015359/0000950134-04-015359-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013405005117/0000950134-05-005117-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013406005345/0000950134-06-005345-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013407004266/0000950134-07-004266-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013408003720/0000950134-08-003720-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095013409003853/0000950134-09-003853-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095012310014103/0000950123-10-014103-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/0000950123-11-015556-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/0001193125-12-065358-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/0001069202-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/0001069202-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920215000003/0001069202-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920216000014/0001069202-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920217000003/0001069202-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920218000004/0001069202-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920219000008/0001069202-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920220000004/0001069202-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000106920221000007/0001069202-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1069202/000162828022002664/0001628280-22-002664-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
