,https://roic.ai/company/UEIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,200000,500000,900000,1300000,1600000,2100000,2600000,3616267,3784586,4100190,3702248,3357748,3093630,3702000,4187000,4675000,6084000,6801000,8059000,17335000,17613000,18363000,18244000,20452000,26967000,31312000,33602000,31926000,29735000,26747000
15,EBITDA,1900000,4500000,8300000,-18200000,1800000,-3000000,-7800000,11500000,16735050,23446674,21243154,11517054,12852922,16816294,18376000,23607000,34237000,30173000,28978000,29917000,42566000,42251000,47399000,58695000,56428000,52125000,38600000,59768000,42328000,73640000,42827000
16,EBITDA ratio,0.0844,0.0886,0.0933,-0.1888,0.0171,-0.0304,-0.0682,0.1197,0.1592,0.1880,0.1785,0.1109,0.1067,0.1062,0.1013,0.1001,0.1256,0.1051,0.0913,0.0902,0.0908,0.0912,0.0895,0.1044,0.0936,0.0800,0.0555,0.0879,0.0562,0.1198,0.0712
17,Operating Income,2100000,5400000,7700000,-6400000,2100000,-2900000,5500000,9500000,12968138,18241859,16008541,6980684,8573482,13540105,11677000,18517000,26451000,20761000,21947000,21301000,26576000,26202000,32154000,41280000,35919000,25397000,10670000,-1665000,15315000,37267000,23253000
18,Operating Income ratio,0.0933,0.1063,0.0865,-0.0664,0.0200,-0.0294,0.0481,0.0989,0.1234,0.1462,0.1345,0.0672,0.0712,0.0855,0.0644,0.0785,0.0970,0.0723,0.0691,0.0642,0.0567,0.0566,0.0607,0.0734,0.0596,0.0390,0.0153,-0.0024,0.0203,0.0606,0.0387
19,Total Other Income Expenses (Gains),-300000,-1100000,100000,-12700000,-1600000,-1700000,-15400000,-600000,150645,1420229,1134423,834122,921692,182559,2997000,903000,3111000,3328000,230000,557000,-1345000,-1564000,-3118000,-829000,56000,-209000,-3382000,27831000,-4913000,6638000,-7173000
20,Income Before Tax,1800000,4300000,7800000,-19100000,500000,-4600000,-9900000,8900000,13118783,19662088,17142964,7814806,9495174,13722664,14674000,19420000,29562000,24089000,22177000,21858000,25231000,24638000,29036000,40451000,35975000,25188000,7288000,26166000,10402000,43905000,16080000
21,Income Before Tax Ratio,0.0800,0.0846,0.0876,-0.1981,0.0048,-0.0467,-0.0866,0.0926,0.1248,0.1576,0.1440,0.0752,0.0788,0.0866,0.0809,0.0823,0.1084,0.0839,0.0698,0.0659,0.0538,0.0532,0.0549,0.0719,0.0597,0.0387,0.0105,0.0385,0.0138,0.0714,0.0267
22,Income Tax expense (Gain),700000,1700000,2900000,-6300000,200000,-2300000,-3400000,3300000,5378701,8061456,5857186,1875553,3228359,4609275,4973000,5900000,9332000,8283000,7502000,6777000,5285000,8085000,6073000,7917000,6802000,4804000,17611000,14242000,6772000,5333000,10779000
23,Net Income,1100000,2600000,4900000,-12800000,300000,-2300000,-6500000,5600000,7740082,11600632,11285778,5939253,6266815,9113389,9701000,13520000,20230000,15806000,14675000,15081000,19946000,16553000,22963000,32534000,29174000,20354000,-10323000,11924000,3630000,38572000,5301000
24,Net Income ratio,0.0489,0.0512,0.0551,-0.1328,0.0029,-0.0233,-0.0569,0.0583,0.0737,0.0930,0.0948,0.0572,0.0520,0.0575,0.0535,0.0573,0.0742,0.0551,0.0462,0.0455,0.0426,0.0357,0.0434,0.0579,0.0484,0.0312,-0.0148,0.0175,0.0048,0.0628,0.0088
25,EPS,0.09,0.18,0.22,-0.48,0.01,-0.17,-0.52,0.44,0.29,0.84,0.82,0.43,0.46,0.67,0.72,0.98,1.40,1.13,1.07,1.10,1.34,1.11,1.51,2.06,1.91,1.41,-0.72,0.85,0.26,2.78,0.38
26,EPS Diluted,0.09,0.18,0.21,-0.48,0.01,-0.17,-0.52,0.42,0.28,0.78,0.78,0.42,0.45,0.65,0.69,0.94,1.33,1.09,1.05,1.07,1.31,1.10,1.47,2.01,1.88,1.38,-0.72,0.85,0.26,2.72,0.37
27,Weighted Average Shares Outstanding,12222222,30000000,13270000,13484000,13502000,13529412,12564062,12772796,26623188,13742635,13844391,13789716,13702504,13566545,13462000,13818000,14410000,14015000,13667000,13764000,14912000,14952000,15248000,15781000,15248000,14465000,14351000,13948000,13879000,13893000,13893000
28,Weighted Average Shares Outstanding Diluted,12222222,30000000,13270000,13484000,13502000,13529412,12564062,13199814,28252420,14941153,14523140,14162887,14007094,14100342,13992000,14432000,15177000,14456000,13971000,14106000,15213000,15110000,15601000,16152000,15542000,14764000,14351000,14060000,14109000,14166000,14166000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101984/000095015299002950/0000950152-99-002950-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015000000259/0000950150-00-000259-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015001000099/0000950150-01-000099-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015002000294/0000950150-02-000294-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095015003000380/0000950150-03-000380-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095015004000338/0000950150-04-000338-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256905000144/0000892569-05-000144-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095013706003127/0000950137-06-003127-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256907000250/0000892569-07-000250-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256908000295/0000892569-08-000295-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095013409005306/0000950134-09-005306-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095012310024580/0000950123-10-024580-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095012311025838/0000950123-11-025838-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000119312512114613/0001193125-12-114613-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000144530513000608/0001445305-13-000608-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198414000014/0000101984-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198415000011/0000101984-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198416000062/0000101984-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198417000007/0000101984-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198418000008/0000101984-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198419000012/0000101984-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198420000009/0000101984-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198421000009/0000101984-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198422000011/0000101984-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,300000,6200000,1400000,900000,500000,1100000,1500000,13286219,20808716,34270403,18064195,58481227,42471750,43641000,66075000,86610000,75238000,29016000,54249000,29372000,44593000,76174000,112521000,52966000,50611000,62438000,53207000,74302000,57153000,60813000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22500000,- -,- -,- -,- -,- -,- -,49246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,300000,6200000,1400000,900000,500000,1100000,1500000,13286219,20808716,34270403,40564195,58481227,42471750,43641000,66075000,86610000,75238000,78262000,54249000,29372000,44593000,76174000,112521000,52966000,50611000,62438000,53207000,74302000,57153000,60813000
34,Net Receivables,3300000,15900000,18400000,16800000,26100000,20200000,26000000,23600000,27932794,38139721,28209060,26306632,31667018,39591533,41861000,51867000,60146000,59825000,64392000,86304000,82184000,91318000,95421000,98066000,121856000,125646000,153165000,171258000,152582000,142432000,134575000
35,Inventory,3900000,6400000,45000000,43000000,30300000,21200000,16600000,14800000,13493813,18847336,16699494,16046512,19386277,23861696,26708000,26459000,34906000,43675000,40947000,65402000,90904000,84381000,96309000,97474000,122366000,129879000,162589000,144350000,145135000,120430000,134469000
36,Other Current Assets,100000,1000000,2700000,9700000,6600000,5300000,7900000,3200000,5793469,3777188,3141713,5277002,3652296,5453404,7715000,5791000,4745000,5882000,5439000,8838000,9603000,8871000,10562000,11904000,18136000,18022000,29105000,11638000,6733000,6828000,7289000
37,Total Current Assets,7400000,23600000,72300000,70900000,63900000,47200000,51600000,43100000,60506295,81572961,82320670,88194341,113186818,111378383,119925000,150192000,186407000,184620000,189040000,214793000,212063000,229163000,278466000,319965000,315324000,324158000,407297000,380453000,378752000,326843000,337146000
38,PP&E,300000,800000,1900000,3600000,5200000,6700000,4000000,4400000,3696906,3925900,3827528,3382969,3474590,3732289,4352000,5899000,7558000,8686000,9990000,78097000,80449000,77706000,75570000,76135000,90015000,105351000,110962000,95840000,110558000,106807000,94494000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2961327,- -,- -,- -,10644000,10863000,10757000,13724000,30379000,30820000,30890000,31000000,30739000,43116000,43052000,48651000,48485000,48447000,48614000,48463000
40,Intangible Assets,100000,200000,600000,700000,800000,900000,500000,6200000,6264603,6898074,6093516,3681868,6779008,17205187,16438000,5587000,5700000,5637000,11572000,35994000,32814000,29835000,26963000,24614000,32926000,28549000,29041000,24370000,19830000,19710000,20169000
41,Intangible Assets,100000,200000,600000,700000,800000,900000,500000,6200000,6264603,6898074,6093516,6643195,6779008,17205187,16438000,16231000,16563000,16394000,25296000,66373000,63634000,60725000,57963000,55353000,76042000,71601000,77692000,72855000,68277000,68324000,68632000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1750312,1056639,1282035,5034792,5201000,6065000,6388000,7246000,7837000,7806000,7992000,6369000,6455000,6146000,8474000,10430000,7913000,1833000,4409000,5564000,7729000
44,Other Non-Current Assets,100000,300000,100000,100000,200000,4700000,5000000,7000000,3283662,1369123,712739,738491,1444541,2934528,403000,221000,369000,609000,1144000,5464000,5350000,5361000,5279000,5471000,5365000,9496000,4566000,4615000,2163000,2752000,2347000
45,Total Non-Current Assets,500000,1300000,2600000,4400000,6200000,12300000,9500000,17600000,13245171,12193097,12384095,11821294,12980174,28906796,26394000,28416000,30878000,32935000,44267000,157740000,157425000,150161000,145267000,143105000,179896000,196878000,201133000,175143000,185407000,183447000,173202000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7900000,24900000,74900000,75300000,70100000,59500000,61100000,60700000,73751466,93766058,94704765,100015635,126166992,140285179,146319000,178608000,217285000,217555000,233307000,372533000,369488000,379324000,423733000,463070000,495220000,521036000,608430000,555596000,564159000,510290000,510348000
48,Accounts Payable,2000000,6200000,8500000,8700000,9200000,7200000,7800000,7800000,8824212,12845860,9383256,7795220,13753888,17558554,22731000,20153000,29382000,44705000,39514000,56086000,55430000,59831000,58498000,69991000,93843000,97157000,119165000,107282000,102588000,83229000,92707000
49,Short-Term Debt,- -,- -,- -,- -,6100000,- -,7200000,4800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,16400000,- -,- -,- -,50000000,49987000,138000000,101500000,72903000,26094000,56000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5707000,5647000,4669000,6320000,7915000,3090000,6625000,4574000,10915000,8653000,3737000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,841000,- -,- -,- -,- -,- -,221000,758000,1737000,2607000,2951000,6959000,1770000,1840000,5564000,- -
52,Other Current Liabilities,2600000,12000000,3400000,16800000,4600000,3400000,7300000,3500000,6176236,10403611,5515164,8942161,17242416,18738517,19993000,23019000,16695000,17612000,22440000,57606000,55472000,55623000,60662000,64637000,68674000,65772000,68811000,69304000,89125000,64623000,68080000
53,Total Current Liabilities,4600000,18200000,11900000,25500000,19900000,10600000,22300000,16100000,15000448,23249471,14898420,16737381,30996304,36297071,42724000,44013000,46077000,62317000,61954000,148692000,127302000,115675000,119918000,136365000,215124000,215867000,332935000,279856000,266456000,179510000,216787000
54,Long-Term Debt,1500000,- -,- -,- -,- -,3200000,- -,- -,239821,163245,104114,41414,- -,- -,- -,- -,- -,- -,1348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14266000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107233,74000,103000,127000,130000,153000,12581000,11056000,10687000,9887000,8456000,7891000,7060000,4423000,930000,1703000,1913000,2394000
57,Other Non-Current Liabilities,100000,- -,100000,- -,- -,100000,-100000,100000,- -,- -,- -,- -,- -,- -,229000,275000,2839000,1755000,122000,56000,1141000,2312000,2658000,2628000,14297000,17599000,17523000,11850000,21601000,15566000,952000
58,Total Non-Current Liabilities,1600000,100000,200000,- -,- -,3300000,-100000,100000,239821,163245,104114,41414,- -,107233,303000,378000,2966000,1885000,1623000,12637000,12197000,12999000,12545000,11084000,22188000,24659000,21946000,12780000,23304000,17479000,17612000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20542000,19775000,14266000
61,Total Liabilities,6200000,18300000,12100000,25500000,19900000,13900000,22200000,16200000,15240269,23412716,15002534,16778795,30996304,36404304,43027000,44391000,49043000,64202000,63577000,161329000,139499000,128674000,132463000,147449000,237312000,240526000,354881000,292636000,289760000,196989000,234399000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,153173,154296,157299,160012,164067,166449,169000,175000,185000,187000,191000,209000,211000,215000,223000,229000,232000,236000,238000,239000,241000,244000,247000
64,Retained Earnings,1800000,4100000,9000000,-3800000,-3500000,-5800000,-12300000,-6700000,1086760,12687392,23973170,29912423,36179238,45292627,54994000,68514000,88508000,104314000,118989000,134070000,154016000,170569000,193532000,226066000,255240000,275594000,266780000,282788000,286418000,324990000,330291000
65,Other Comprehensive Income/Loss,-700000,-200000,-500000,-1500000,-2700000,-3600000,-3000000,-4600000,-6734189,-8601693,-8444938,-1887126,256200,3402497,-5428000,2759000,11221000,750000,1463000,-489000,938000,1052000,2982000,-4446000,-15799000,-22821000,-16599000,-20281000,-22781000,-18522000,-13524000
66,Other Total Stockholders Equity,600000,2700000,54300000,55100000,56400000,55000000,54200000,55800000,64005453,66113347,64016700,55051531,58571183,55019302,53557000,62769000,68328000,48102000,49087000,77414000,74824000,78814000,94533000,93772000,17936000,27501000,3130000,214000,10521000,6589000,-41065000
67,Total Stockholders Equity,1700000,6600000,62800000,49800000,50200000,45600000,38900000,44500000,58511197,70353342,79702231,83236840,95170688,103880875,103292000,134217000,168242000,153353000,169730000,211204000,229989000,250650000,291270000,315621000,257609000,280510000,253549000,262960000,274399000,313301000,275949000
68,Total Liabilities And Stockholders Equity,7900000,24900000,74900000,75300000,70100000,59500000,61100000,60700000,73751466,93766058,94704765,100015635,126166992,140285179,146319000,178608000,217285000,217555000,233307000,372533000,369488000,379324000,423733000,463070000,494921000,521036000,608430000,555596000,564159000,510290000,510348000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7900000,24900000,74900000,75300000,70100000,59500000,61100000,60700000,73751466,93766058,94704765,100015635,126166992,140285179,146319000,178608000,217285000,217555000,233307000,372533000,369488000,379324000,423733000,463070000,495220000,521036000,608430000,555596000,564159000,510290000,510348000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101984/000095015299002950/0000950152-99-002950-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015000000259/0000950150-00-000259-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015001000099/0000950150-01-000099-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015002000294/0000950150-02-000294-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095015003000380/0000950150-03-000380-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095015004000338/0000950150-04-000338-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256905000144/0000892569-05-000144-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095013706003127/0000950137-06-003127-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256907000250/0000892569-07-000250-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256908000295/0000892569-08-000295-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095013409005306/0000950134-09-005306-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095012310024580/0000950123-10-024580-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095012311025838/0000950123-11-025838-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000119312512114613/0001193125-12-114613-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000144530513000608/0001445305-13-000608-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198414000014/0000101984-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198415000011/0000101984-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198416000062/0000101984-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198417000007/0000101984-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198418000008/0000101984-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198419000012/0000101984-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198420000009/0000101984-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198421000009/0000101984-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198422000011/0000101984-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,2600000,4900000,-12800000,300000,-2300000,-6500000,5600000,7740082,11600632,11285778,5939253,6266815,9113389,9701000,13520000,20230000,15806000,14675000,15081000,19946000,16553000,22963000,32534000,29174000,20354000,-10323000,11924000,3630000,38572000,5301000
74,Depreciation and Amortization,100000,200000,500000,900000,1300000,1600000,2100000,2600000,3616267,3784586,4100190,3702248,3357748,3093630,3702000,4187000,4675000,6084000,6801000,8059000,17335000,17613000,18363000,18244000,20452000,26967000,31312000,33602000,31926000,29735000,26747000
75,Deferred Income Tax,- -,-400000,100000,-2700000,-100000,-2500000,-3500000,2900000,4253354,2697102,-193786,698726,-849390,349571,-130000,-637000,219000,-448000,-1141000,-911000,-763000,2453000,-743000,-538000,-2279000,370000,7597000,3967000,-1779000,-478000,-1560000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5053000,5532000,5240000,4575000,5342000,6444000,7913000,10324000,11943000,8820000,8845000,9122000,9969000
77,Change in Working Capital,-3500000,2600000,55000000,-15000000,-1400000,-7400000,-7300000,-2300000,18505847,12817643,9098760,4034710,10733554,-7109202,2119688,28978000,34151000,-18027000,4783000,-60985000,18660000,28727000,45060000,25052000,-83400000,8091000,-33929000,26235000,11699000,35037000,-9878000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4206000,13192000,3142000,-8998000,-4509000,-7966000,-29407000,-3882000,-22192000,5455000,17203000,- -,- -
79,Inventory,-3400000,-2500000,-38600000,-9800000,12700000,7900000,700000,1800000,1340245,-4993472,2147843,652982,-3339765,-7311143,-7128000,-280000,-9194000,-12219000,-354000,-5102000,-30597000,2987000,-15353000,-8161000,-31877000,-14800000,-29916000,-19870000,-1914000,28295000,-14985000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8186000,2285000,19964000,33309000,10451000,10970000,-7386000,14233000,-33543000,870000
81,Other Working Capital,2800000,5400000,60400000,45400000,44000000,36600000,29300000,27000000,45505847,58323490,67422250,71456960,82190514,75081312,77201000,106179000,140330000,122303000,127086000,66101000,84761000,113488000,158548000,183600000,100200000,108291000,74362000,100597000,112296000,147333000,- -
82,Other Non-Cash Items,100000,-11700000,-95100000,16200000,7600000,19200000,15000000,900000,-16639858,-19460028,-4571810,1804740,-263940,-1456493,-1263688,-28836000,-39338000,26737000,-6184000,70873000,-45618000,-26378000,-60291000,-18263000,54234000,-16563000,7188000,-71693000,30936000,-38596000,9704000
83,Cash Provided by Operating Activities,-2200000,-6700000,-34600000,-13400000,7700000,8600000,-200000,9700000,17475692,11439935,19719132,16179677,19244787,3990895,14129000,17212000,19937000,30152000,23987000,37649000,14800000,43543000,30694000,63473000,26094000,49543000,13788000,12855000,85257000,73392000,40283000
84,CAPEX,-200000,-600000,-1400000,-2500000,-3000000,-3600000,-2700000,-5600000,- -,-2751440,-143000,-2124474,-2470170,-2657575,-3137000,-5068000,-6183000,-7420000,-7343000,-9818000,-14694000,-11603000,-11674000,-18419000,-35384000,-42563000,-42333000,-22663000,-23968000,-23234000,-17041000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-3813048,-1493926,-3197261,-132000,- -,-12753798,-900000,- -,- -,- -,-9502000,-74133000,- -,- -,- -,- -,-12265000,4845000,-8894000,46238000,- -,-500000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14700000,-22000000,- -,- -,- -,- -,- -,-49246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,12300000,44500000,- -,- -,- -,- -,- -,- -,49246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-100000,-500000,-700000,- -,- -,-200000,700000,- -,-486737,- -,-1682894,-847623,-1146576,- -,- -,- -,- -,-1172000,-1378000,-1064000,-1140000,-1319000,-1853000,-2395000,-6709000,-1949000,-2521000,-2655000,-6372000,-4455000
89,Cash Used for Investing Activites,-300000,-700000,-1900000,-3200000,-3000000,-3600000,-2800000,-4900000,-3813048,-4732103,-3340261,-6339368,19182207,-16557949,-4037000,-5068000,-6183000,-7420000,-66091000,-34705000,-14694000,-11603000,-11674000,-18419000,-47649000,-42515000,-51227000,23575000,-23968000,-23734000,-17041000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9834000,-22800000,-47200000,-19500000,- -,-34500000,-147987000,-68987000,-104500000,-106000000,-123000000,-76000000
91,Common Stock Issued,- -,2300000,51300000,200000,100000,100000,300000,1500000,3036221,592075,1749552,1334250,3342748,1885130,2864000,7497000,12597000,1158000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
