,https://roic.ai/company/BRO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,5400000,8300000,3900000,6600000,4600000,6600000,7200000,5100000,12900000,20352000,23329000,27046000,31638000,37485000,44208000,53978000,90478000,134664000,176482000,206949000,244130000,280041000,311527000,272498000,254754000,266098000,270521000,304811000,357609000,339749000,402559000,423499000,449722000,462462000,525929000,624099000,762823000
21,Income Before Tax Ratio,0.1882,0.2508,0.1258,0.1902,0.1106,0.1413,0.1485,0.0973,0.1349,0.2045,0.2193,0.2279,0.2449,0.2437,0.2506,0.2574,0.2479,0.2955,0.3203,0.3199,0.3107,0.3190,0.3246,0.2788,0.2632,0.2733,0.2669,0.2563,0.2638,0.2168,0.2430,0.2402,0.2421,0.2301,0.2205,0.2395,0.2503
22,Income Tax expense (Gain),2500000,3900000,1600000,2500000,1500000,2500000,2600000,2200000,4900000,7067000,8530000,10548000,12251000,14432000,17036000,20792000,34834000,49271000,66160000,78106000,93579000,107691000,120568000,106374000,101460000,104346000,106526000,120766000,140497000,132853000,159241000,166008000,50092000,118207000,127415000,143616000,175719000
23,Net Income,2900000,4400000,1500000,4100000,3100000,4100000,4600000,1300000,8000000,13285000,14799000,16498000,19387000,23053000,27172000,33186000,53913000,83122000,110322000,128843000,150551000,172350000,190959000,166124000,153294000,161752000,163995000,184045000,217112000,206896000,243318000,257491000,399630000,344255000,398514000,480483000,587104000
24,Net Income ratio,0.1010,0.1329,0.0484,0.1182,0.0745,0.0878,0.0948,0.0248,0.0837,0.1335,0.1391,0.1390,0.1501,0.1499,0.1540,0.1583,0.1477,0.1824,0.2002,0.1992,0.1916,0.1963,0.1990,0.1699,0.1584,0.1662,0.1618,0.1548,0.1602,0.1320,0.1468,0.1461,0.2152,0.1713,0.1671,0.1844,0.1926
25,EPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.08,0.09,0.11,0.12,0.14,0.21,0.31,0.40,0.47,0.55,0.61,0.68,0.59,0.54,0.57,0.57,0.64,0.75,0.71,0.86,0.92,1.43,1.24,1.42,1.70,2.14
26,EPS Diluted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.08,0.09,0.11,0.12,0.14,0.21,0.30,0.40,0.47,0.54,0.61,0.68,0.58,0.54,0.56,0.56,0.63,0.74,0.70,0.85,0.91,1.41,1.22,1.40,1.69,2.13
27,Weighted Average Shares Outstanding,126368000,107808000,129296000,110656000,114496000,117520000,120496000,122432000,200512000,204576000,208776000,208392000,209400000,214896000,219776000,229304000,250252000,269132000,273308000,275636000,277126000,279268000,280952000,281984000,274346000,275848000,277164000,278728000,282066000,281888000,275620000,272278000,272580000,270991000,272471000,274334000,274334000
28,Weighted Average Shares Outstanding Diluted,126368000,107808000,129296000,110656000,114496000,117520000,120496000,122432000,200512000,204576000,2502908544,2499454272,2516819280,1716224000,1745536000,229304000,252888000,272172000,275588000,277776000,279552000,282040000,282514000,283116000,275014000,278636000,280528000,284020000,285248000,285782000,280224000,275608000,277586000,275542000,274616000,275867000,275867000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000095014496001042/0000950144-96-001042-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000007928299000007/0000079282-99-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000007928203000021/0000079282-03-000021-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000114544304000325/0001145443-04-000325-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000114544305000591/0001145443-05-000591-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811206000715/0001188112-06-000715-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811207000553/0001188112-07-000553-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811208000632/0001188112-08-000632-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312509042336/0001193125-09-042336-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312510044577/0001193125-10-044577-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312511051929/0001193125-11-051929-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312512089393/0001193125-12-089393-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312513087664/0001193125-13-087664-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312514077842/0001193125-14-077842-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312515070864/0001193125-15-070864-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928216000034/0000079282-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928217000006/0000079282-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928218000006/0000079282-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928219000006/0000079282-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459020006075/0001564590-20-006075-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459021007624/0001564590-21-007624-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017022001654/0000950170-22-001654-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8500000,9000000,12300000,7300000,200000,8100000,7900000,7700000,26300000,22995000,28350000,31786000,47726000,42174000,37459000,31313000,16048000,91247000,56926000,188106000,100580000,88490000,38234000,78557000,197113000,272984000,286305000,219821000,202952000,470048000,443420000,515646000,573383000,438961000,542174000,817398000,887009000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,787000,1308000,1087000,1299000,746000,481000,373000,451000,446000,382000,12491000,2748000,2909000,2892000,7511000,8213000,7678000,7627000,8183000,10624000,11157000,13734000,15048000,24965000,12868000,12325000,18332000,12891000
33,Cash and Short-Term Investments,8500000,9000000,12300000,7300000,200000,8100000,7900000,7700000,26300000,23782000,29658000,32873000,49025000,42920000,37940000,31686000,16499000,91693000,57308000,200597000,103328000,91399000,41126000,86068000,205326000,280662000,293932000,228004000,213576000,481205000,457154000,530694000,598348000,451829000,554499000,835730000,899900000
34,Net Receivables,26400000,30300000,23200000,26100000,27200000,41900000,39300000,48900000,56000000,56085000,56553000,62940000,62148000,69186000,67783000,83199000,101449000,144244000,146672000,172395000,257930000,282440000,240680000,244515000,209462000,214446000,240257000,302725000,395915000,437575000,465853000,580565000,1024222000,910211000,1001339000,1142717000,1279294000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,200000,100000,100000,7000000,5700000,4500000,1400000,3500000,6420000,6336000,7307000,6507000,9840000,7214000,33873000,58558000,96323000,139486000,166974000,258509000,274367000,305576000,192449000,198911000,157701000,173938000,228783000,318545000,651328000,614382000,649478000,619586000,805271000,938964000,979802000,1151090000
37,Total Current Assets,35100000,39500000,35600000,33500000,34400000,55700000,51700000,58000000,85800000,86287000,92547000,103120000,117680000,121946000,112937000,148758000,176506000,332260000,343466000,539966000,619767000,648206000,587382000,523032000,613699000,652809000,708127000,759512000,928036000,1570108000,1537389000,1760737000,2242156000,2167311000,2494802000,2958249000,3330284000
38,PP&E,4100000,4100000,5400000,5400000,5000000,5200000,5100000,5000000,8000000,8286000,10412000,12085000,11863000,13698000,14337000,14210000,25544000,24730000,32396000,33438000,39398000,44170000,62327000,63520000,61467000,59713000,61360000,74337000,74733000,84668000,81753000,75807000,77086000,100395000,332915000,388113000,409068000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176269000,237753000,360843000,549040000,684521000,846433000,1023372000,1074397000,1194827000,1323469000,1711514000,2006173000,2460611000,2586683000,2675402000,2716079000,3432786000,3746094000,4395918000,4736828000
40,Intangible Assets,4500000,7000000,7200000,6800000,13800000,17500000,18300000,24200000,35500000,32620000,36613000,50167000,49593000,79483000,91813000,101901000,268311000,203984000,232934000,293009000,377907000,396069000,443224000,495627000,468862000,481900000,496182000,566538000,618888000,784642000,744680000,707454000,641005000,898807000,916768000,1049660000,1081465000
41,Intangible Assets,4500000,7000000,7200000,6800000,13800000,17500000,18300000,24200000,35500000,32620000,36613000,50167000,49593000,79483000,91813000,101901000,268311000,380253000,470687000,653852000,926947000,1080590000,1289657000,1518999000,1543259000,1676727000,1819651000,2278052000,2625061000,3245253000,3331363000,3382856000,3357084000,4331593000,4662862000,5445578000,5818293000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8585000,10845000,9328000,8421000,15826000,355000,8000000,8000000,8000000,8000000,8000000,11000000,19862000,18092000,23048000,13949000,17394000,27378000,24971000,30970000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649000,1519000,1788000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1200000,600000,1100000,1100000,3100000,3500000,3300000,1600000,4000000,12142000,11549000,14371000,14993000,15386000,16076000,11201000,16857000,6733000,8460000,12933000,14127000,19160000,20938000,6029000,-2199000,3565000,9873000,8157000,10678000,36567000,44142000,44895000,57275000,71975000,104864000,149581000,206828000
45,Total Non-Current Assets,9800000,11700000,13700000,13300000,21900000,26200000,26700000,30800000,47500000,53048000,58574000,76623000,76449000,108567000,122226000,127961000,312231000,422089000,522388000,709551000,988893000,1159746000,1373277000,1596548000,1610527000,1748005000,1898884000,2368546000,2721472000,3386350000,3475350000,3526606000,3505394000,4521357000,5128019000,6008243000,6465159000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44900000,51200000,49300000,46800000,56300000,81900000,78400000,88800000,133300000,139335000,151121000,179743000,194129000,230513000,235163000,276719000,488737000,754349000,865854000,1249517000,1608660000,1807952000,1960659000,2119580000,2224226000,2400814000,2607011000,3128058000,3649508000,4956458000,5012739000,5287343000,5747550000,6688668000,7622821000,8966492000,9795443000
48,Accounts Payable,- -,- -,- -,- -,31600000,50100000,39200000,47100000,8900000,77073000,80075000,92029000,- -,- -,- -,- -,10085000,15393000,11282000,16257000,21161000,17854000,18760000,18872000,17431000,33693000,22384000,455228000,568518000,625445000,638646000,717159000,749340000,944904000,1114277000,1389026000,1590932000
49,Short-Term Debt,1000000,600000,700000,800000,1000000,2200000,2200000,3900000,3200000,1245000,1768000,5365000,5339000,4960000,3548000,2611000,20855000,27334000,18692000,16135000,55630000,18082000,11519000,6162000,17124000,1662000,1227000,93000,100000000,45625000,73125000,55500000,120000000,50000000,98415000,113542000,85941000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32867000,80959000,403899000,392741000,392426000,434586000,480578000,521042000,534076000,582119000
52,Other Current Liabilities,38400000,48800000,47000000,41300000,10600000,10600000,10000000,12100000,71000000,- -,- -,- -,97459000,113906000,115966000,141865000,195657000,254991000,271542000,332718000,506027000,554731000,525844000,497609000,444398000,434802000,458009000,79593000,157400000,194184000,224035000,280072000,683548000,307504000,311627000,317708000,408374000
53,Total Current Liabilities,39400000,49400000,47700000,42100000,43200000,62900000,51400000,63100000,83100000,78318000,81843000,97394000,102798000,118866000,119514000,144476000,226597000,297718000,301516000,365110000,582818000,590667000,556123000,522643000,478953000,470157000,481620000,567781000,906877000,1269153000,1328547000,1445157000,1987474000,1782986000,2045361000,2354352000,2667366000
54,Long-Term Debt,700000,400000,- -,- -,1900000,5600000,9700000,9600000,17300000,7430000,7023000,5300000,4093000,17207000,3909000,2736000,78195000,57585000,41107000,227063000,214179000,226252000,227707000,253616000,250209000,250067000,250033000,450000000,380000000,1152846000,1079878000,1018372000,856141000,1456990000,1500343000,2198841000,2160413000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,500000,700000,- -,700000,1500000,1300000,1600000,400000,1300000,3778000,1502000,3603000,3951000,2403000,1578000,- -,- -,- -,15018000,24859000,35489000,49721000,65736000,90143000,115609000,146482000,178052000,237630000,291704000,341497000,360949000,382295000,256185000,315732000,328277000,344222000,386794000
57,Other Non-Current Liabilities,- -,- -,600000,100000,3300000,2700000,2300000,2400000,4400000,5765000,6341000,6160000,6145000,7829000,7136000,7596000,6308000,5604000,10178000,8160000,11830000,11967000,13635000,11437000,9581000,27764000,53343000,65314000,63786000,79217000,93589000,81308000,65051000,132392000,398561000,314854000,383977000
58,Total Non-Current Liabilities,1200000,1100000,600000,800000,6700000,9600000,13600000,12400000,23000000,16973000,14866000,15063000,14189000,27439000,12623000,10332000,84503000,63189000,66303000,260082000,261498000,287940000,307078000,355196000,375399000,424313000,481428000,752944000,735490000,1573560000,1534416000,1481975000,1177377000,1905114000,2227181000,2857917000,2931184000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211270000,216477000,223417000
61,Total Liabilities,40600000,50500000,48300000,42900000,49900000,72500000,65000000,75500000,106100000,95291000,96709000,112457000,116987000,146305000,132137000,154808000,311100000,360907000,367819000,625192000,844316000,878607000,863201000,877839000,854352000,894470000,963048000,1320725000,1642367000,2842713000,2862963000,2927132000,3164851000,3688100000,4272542000,5212269000,5598550000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,855000,868000,866000,874000,1350000,1372000,2870000,6319000,6818000,6856000,6916000,13938000,14002000,14067000,14154000,14208000,14279000,14335000,14388000,14542000,14587000,14642000,14811000,14882000,29338000,29711000,29969000,30099000
64,Retained Earnings,2000000,5500000,5500000,8200000,9700000,12300000,15300000,14600000,26000000,35778000,46094000,58238000,69524000,77318000,96732000,116546000,153392000,223102000,316822000,425662000,552647000,695656000,851490000,977407000,1087805000,1205061000,1322562000,1457073000,1620639000,1768201000,1947411000,2134640000,2456599000,2833622000,3140762000,3520683000,4000681000
65,Other Comprehensive Income/Loss,-2500000,-3100000,-3100000,-2600000,-4700000,-6000000,-7100000,-7800000,-16200000,-11476000,-11057000,-12869000,- -,- -,- -,- -,- -,2106000,4227000,4467000,4446000,9144000,13000,13000,5000,7000,7000,- -,-99483000,-110640000,-123431000,-138528000,-156822000,-168480000,-171298000,- -,-9409000
66,Other Total Stockholders Equity,4800000,- -,- -,- -,1400000,3100000,5200000,6500000,17400000,18887000,18507000,21051000,6744000,5540000,4922000,2495000,17926000,159564000,170130000,187280000,193313000,210543000,231888000,250167000,267856000,286997000,307059000,335872000,471443000,441597000,311154000,349288000,268040000,306088000,351104000,203571000,- -
67,Total Stockholders Equity,4300000,700000,1000000,3900000,6400000,9400000,13400000,13300000,27200000,44044000,54412000,67286000,77142000,84208000,103026000,121911000,177637000,391590000,498035000,624325000,764344000,929345000,1097458000,1241741000,1369874000,1506344000,1643963000,1807333000,2007141000,2113745000,2149776000,2360211000,2582699000,3000568000,3350279000,3754223000,4196893000
68,Total Liabilities And Stockholders Equity,44900000,51200000,49300000,46800000,56300000,81900000,78400000,88800000,133300000,139335000,151121000,179743000,194129000,230513000,235163000,276719000,488737000,752497000,865854000,1249517000,1608660000,1807952000,1960659000,2119580000,2224226000,2400814000,2607011000,3128058000,3649508000,4956458000,5012739000,5287343000,5747550000,6688668000,7622821000,8966492000,9795443000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1852000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44900000,51200000,49300000,46800000,56300000,81900000,78400000,88800000,133300000,139335000,151121000,179743000,194129000,230513000,235163000,276719000,488737000,754349000,865854000,1249517000,1608660000,1807952000,1960659000,2119580000,2224226000,2400814000,2607011000,3128058000,3649508000,4956458000,5012739000,5287343000,5747550000,6688668000,7622821000,8966492000,9795443000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000095014496001042/0000950144-96-001042-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000007928299000007/0000079282-99-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000007928203000021/0000079282-03-000021-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000114544304000325/0001145443-04-000325-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000114544305000591/0001145443-05-000591-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811206000715/0001188112-06-000715-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811207000553/0001188112-07-000553-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811208000632/0001188112-08-000632-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312509042336/0001193125-09-042336-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312510044577/0001193125-10-044577-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312511051929/0001193125-11-051929-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312512089393/0001193125-12-089393-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312513087664/0001193125-13-087664-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312514077842/0001193125-14-077842-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312515070864/0001193125-15-070864-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928216000034/0000079282-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928217000006/0000079282-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928218000006/0000079282-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928219000006/0000079282-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459020006075/0001564590-20-006075-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459021007624/0001564590-21-007624-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017022001654/0000950170-22-001654-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3100000,4100000,4600000,1300000,8000000,13285000,14799000,16498000,19387000,23053000,27172000,33186000,53913000,83122000,110322000,128843000,150551000,172350000,190959000,166124000,153294000,161752000,163995000,184045000,217112000,206896000,243318000,257491000,399630000,344255000,398514000,480483000,587104000
74,Depreciation and Amortization,- -,- -,- -,- -,-2400000,-3500000,-3700000,-4500000,-6900000,6304000,6487000,7471000,8051000,9381000,11809000,13156000,22396000,21287000,25673000,31056000,43306000,47807000,53199000,59917000,63097000,64081000,67147000,78946000,85417000,103836000,108311000,107666000,108144000,109378000,128715000,134799000,152902000
75,Deferred Income Tax,- -,- -,- -,- -,-400000,1000000,-200000,-200000,500000,-1173000,-2191000,966000,199000,271000,-430000,-505000,199000,1191000,8370000,8840000,10642000,11480000,325000,25713000,27851000,22587000,30328000,32723000,32247000,7369000,22696000,18163000,-102183000,15008000,12383000,15943000,33616000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3337000,5416000,5667000,7314000,7358000,6845000,11194000,15865000,22603000,19363000,15513000,16052000,30631000,33519000,46994000,59749000,61018000
77,Change in Working Capital,- -,- -,- -,- -,-1100000,1600000,7500000,-5400000,7800000,5269000,2735000,-4978000,9156000,-11802000,-9657000,10859000,-54373000,84633000,7408000,132906000,-137907000,20590000,-26280000,-30870000,134357000,47906000,43855000,-34776000,-170572000,279796000,-92113000,106738000,-60898000,129643000,65116000,154456000,92036000
78,Accounts Receivable,- -,- -,- -,- -,-1100000,-14600000,3200000,-9900000,2700000,-1929000,200000,-6287000,1393000,-3750000,1102000,-19815000,-20084000,-73621000,-20708000,-57800000,- -,- -,- -,- -,- -,-2555000,-20570000,-11312000,-40729000,1050000,-26103000,-109665000,-443043000,318794000,-79887000,-120331000,-92480000
