,https://roic.ai/company/SBSAA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,25400000,26400000,24800000,31100000,39600000,42200000,53200000,109061000,59700000,73742000,68454000,87566000,42060000,94456000,510903000,65963000,63185000,65116000,70600000,83682000,82384000,112599000,102498000,104049000,96129000,108980000,- -
11,COGS and Expenses,28300000,30700000,36200000,45900000,56900000,65200000,91400000,131803000,97800000,97071000,99395000,121613000,92740000,145039000,571915000,107342000,103146000,102597000,101845000,114554000,112293000,112599000,102498000,104049000,96129000,108980000,92356000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,501000,788000,2616000,3454000,3113000,848000,31000,24000,35000,12000,- -,5000,38000,13000,13000,22000,20000,- -
13,Interest Expense (Gain),-14200000,-12900000,-16500000,- -,- -,21200000,19495083,30471000,34118000,37123000,41897000,38235000,23630000,22170000,22910000,26900000,13821000,8217000,36555000,39715000,49458000,39885000,40162000,35850000,31862000,40979000,41321000
14,Depreciation and Amortization,- -,- -,4560000,7618921,8876876,12100000,14255941,20417000,5256000,5384000,6453000,5838000,6110000,7048000,6261000,6263000,5810000,5436000,5464000,5166000,5125000,4802000,4692000,4349000,3801000,3602000,3261000
15,EBITDA,50300000,-9500000,-17640000,-1281079,43276876,43500000,28051024,39784000,3474000,45037000,92863000,25837000,90755000,46860000,-401038000,22076000,41649000,43661000,42335000,-46069000,40474000,28957000,37140000,35162000,45683000,42253000,17074000
16,EBITDA ratio,1.2544,-0.2008,-0.3630,-0.0214,0.5687,0.4466,0.2286,0.2608,0.0248,0.3330,0.5936,0.1521,0.5129,0.2607,-2.4496,0.1584,0.3060,0.3097,0.3034,-0.2996,0.2767,0.1971,0.2568,0.2610,0.3209,0.2697,0.1400
17,Operating Income,11900000,16700000,12500000,15755141,20853019,32300000,31256861,20766000,42414000,38195000,57048000,48219000,84191000,34713000,-408185000,10406000,29952000,38190000,37250000,38356000,35344000,33851000,42169000,40533000,51594000,38631000,13813000
18,Operating Income ratio,0.2968,0.3531,0.2572,0.2626,0.2740,0.3316,0.2547,0.1361,0.3025,0.2824,0.3647,0.2839,0.4758,0.1931,-2.4932,0.0747,0.2200,0.2709,0.2670,0.2494,0.2416,0.2304,0.2916,0.3009,0.3624,0.2466,0.1133
19,Total Other Income Expenses (Gains),-17700000,-13300000,-18200000,-24655141,13546981,-22000000,-19756861,-29974000,-34814000,-35497000,-40945000,-66447000,-23176000,-17071000,-22024000,-21493000,-7934000,-8182000,-36934000,-129306000,-49453000,-49581000,-49883000,-45570000,-41574000,-40959000,-41321000
20,Income Before Tax,-5800000,3400000,-5700000,-8900000,34400000,10300000,11500000,-9208000,7600000,2698000,16103000,-18228000,61015000,17642000,-430209000,-11087000,22018000,30008000,316000,-90950000,-14109000,-15730000,-7714000,-5037000,10020000,-2328000,-27508000
21,Income Before Tax Ratio,-0.1446,0.0719,-0.1173,-0.1483,0.4520,0.1057,0.0937,-0.0604,0.0542,0.0199,0.1029,-0.1073,0.3449,0.0981,-2.6278,-0.0795,0.1618,0.2128,0.0023,-0.5915,-0.0965,-0.1071,-0.0533,-0.0374,0.0704,-0.0149,-0.2256
22,Income Tax expense (Gain),-2200000,1400000,-1200000,-2700000,15600000,4400000,4900000,-3516000,53900000,11280000,16495000,17034000,11145000,16661000,-101486000,2691000,6976000,6306000,1597000,-2384000,5842000,11225000,8628000,-24658000,-6471000,-1400000,-2389000
23,Net Income,66700000,2000000,-4500000,-6200000,18800000,5800000,-10600000,-7588000,-89800000,-8750000,28018000,-35270000,49870000,981000,-328723000,-13778000,15042000,23702000,-1281000,-88566000,-19951000,-26955000,-16342000,19621000,16491000,-928000,-25119000
24,Net Income ratio,1.6633,0.0423,-0.0926,-0.1033,0.2470,0.0595,-0.0864,-0.0497,-0.6405,-0.0647,0.1791,-0.2077,0.2819,0.0055,-2.0079,-0.0988,0.1105,0.1681,-0.0092,-0.5759,-0.1364,-0.1835,-0.1130,0.1457,0.1158,-0.0059,-0.2060
25,EPS,66.70,0.54,-1.45,-1.84,5.59,-8.60,-6.70,-1.20,-13.90,-1.60,1.30,-6.20,5.60,-1.20,-46.70,-3.30,0.70,1.90,-1.54,-1.22,-2.75,-3.71,-2.25,2.70,2.25,-0.13,-3.42
26,EPS Diluted,66.70,0.54,-1.45,-1.84,3.12,-8.60,-6.70,-1.20,-13.90,-1.60,1.30,-6.20,5.55,-1.20,-46.70,-3.30,0.70,1.89,-1.54,-1.22,-2.75,-3.71,-2.25,2.70,2.25,-0.13,-3.42
27,Weighted Average Shares Outstanding,1000000,3700000,3100000,3358500,3358500,3358457,5816267,6409600,6467000,6468400,6490000,7238100,7238100,7238100,7241900,7251700,7261400,7267000,7267000,7267000,7267000,7267000,7267000,7267000,6584000,6582000,7342000
28,Weighted Average Shares Outstanding Diluted,1000000,3700000,3100000,6021666,6021666,3358457,5816267,6409600,6467000,6468400,6528800,7238100,7238300,7238100,7241900,7251700,7281600,7278000,7267000,7267000,7267000,7267000,7267000,7267000,6584000,6582000,7342000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927720/000095012305003256/0000950123-05-003256-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927720/000095014409002485/0000950144-09-002485-index.html,https://www.sec.gov/Archives/edgar/data/927720/000095012310027854/0000950123-10-027854-index.html,- -,https://www.sec.gov/Archives/edgar/data/927720/000119312512143088/0001193125-12-143088-index.html,https://www.sec.gov/Archives/edgar/data/927720/000119312513136828/0001193125-13-136828-index.html,https://www.sec.gov/Archives/edgar/data/927720/000156459014001519/0001564590-14-001519-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459015002278/0001564590-15-002278-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459016016156/0001564590-16-016156-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459017006735/0001564590-17-006735-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459018014225/0001564590-18-014225-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459019010428/0001564590-19-010428-index.html,https://www.sec.gov/Archives/edgar/data/927720/000156459020014282/0001564590-20-014282-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,12300000,37600000,17000000,59600000,- -,71400000,45609000,132032000,125156000,66815000,61122000,32852000,53580000,55140000,71266000,26660000,23566000,23991000,19443000,23835000,16141000,22468000,20856000,28178000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,12300000,37600000,17000000,59600000,- -,71400000,45609000,132032000,125156000,66815000,61122000,32852000,53580000,55140000,71266000,26660000,23566000,23991000,19443000,23835000,16141000,22468000,20856000,28178000
34,Net Receivables,- -,- -,- -,15100000,16600000,21900000,25300000,- -,25500000,25567000,32622000,34269000,32142000,35835000,27580000,24800000,26160000,23797000,26423000,29921000,25389000,33215000,32477000,30805000,34064000,42407000,46893000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1400000,1900000,2200000,3800000,- -,2300000,29388000,67524000,68744000,3460000,4515000,4426000,3439000,3219000,4354000,2161000,2778000,3928000,5318000,6597000,8055000,4967000,17011000,1559000
37,Total Current Assets,- -,- -,- -,28800000,56100000,41100000,88700000,- -,99200000,100564000,232178000,228169000,102417000,101472000,64858000,81819000,84519000,99417000,55244000,56265000,53308000,57976000,62909000,55001000,61499000,80274000,76630000
38,PP&E,- -,- -,- -,18400000,14900000,14800000,21700000,- -,24500000,24558000,22178000,22973000,28022000,43739000,52411000,45365000,40006000,41743000,38014000,35420000,32382000,30460000,26406000,23464000,22414000,41000000,42160000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000,32806000
40,Intangible Assets,- -,- -,- -,273600000,272300000,301500000,513400000,- -,502600000,705251000,744616000,745796000,751192000,751156000,332480000,313843000,313807000,325223000,324961000,324775000,324679000,320884000,325393000,323533000,322953000,311282000,297179000
41,Intangible Assets,- -,- -,- -,273600000,272300000,301500000,513400000,- -,502600000,705251000,744616000,745796000,783998000,783962000,365286000,346649000,346613000,358029000,357767000,357581000,357485000,353690000,358199000,356339000,355759000,344088000,329985000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,9100000,13000000,28400000,- -,58100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1758000,1615000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,13600000,-1400000,-4700000,-17500000,- -,-49100000,11909000,10751000,16279000,15303000,6956000,6712000,4960000,3681000,2323000,16393000,12482000,8638000,7860000,1761000,1100000,4640000,3682000,2444000
45,Total Non-Current Assets,- -,- -,- -,305600000,294900000,324600000,546000000,- -,536100000,741718000,777545000,785048000,827323000,834657000,424409000,396974000,390300000,402095000,412174000,405483000,398505000,393768000,387981000,380903000,382813000,388770000,374589000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,334400000,351000000,365700000,634700000,- -,635300000,842282000,1009723000,1013217000,929740000,936129000,489267000,478793000,474819000,501512000,467418000,461748000,451813000,451744000,450890000,435904000,444312000,469044000,451219000
48,Accounts Payable,- -,- -,- -,1400000,2600000,1400000,- -,- -,- -,18822000,24225000,21750000,2207000,19640000,1732000,3002000,2423000,1749000,1512000,2101000,1920000,2779000,1774000,2762000,1913000,2050000,1851000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477000,126904000,103325000,3329000,3680000,3688000,18697000,3666000,39352000,3009000,3004000,336000,306000,277849000,260274000,249864000,249864000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3882000,4015000,560000,602000,745000,914000,527000,512000,449000,796000,1325000,715000,798000,991000,943000
52,Other Current Liabilities,- -,- -,- -,25800000,13100000,19800000,27300000,- -,21700000,7870000,5953000,58890000,19220000,2644000,16316000,34282000,34842000,38032000,52140000,151906000,158426000,167111000,174101000,183390000,195294000,207303000,157869000
53,Total Current Liabilities,- -,- -,- -,27200000,15700000,21200000,27300000,- -,21700000,28169000,157082000,183965000,28638000,29979000,22296000,56583000,41676000,80047000,57188000,157523000,161131000,170992000,455049000,447141000,447869000,460208000,160663000
54,Long-Term Debt,- -,- -,- -,168000000,171100000,170700000,304500000,- -,328100000,452717000,327043000,319313000,332263000,337393000,331615000,312918000,309243000,278021000,276068000,274396000,275579000,277007000,- -,- -,- -,- -,249864000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,68354000,127055000,144163000,153683000,170148000,68082000,71408000,78247000,84368000,86049000,83172000,88806000,99066000,106986000,81271000,72224000,68718000,64076000
57,Other Non-Current Liabilities,- -,- -,- -,- -,9100000,13000000,28400000,- -,58100000,- -,85907000,90949000,92162000,94006000,105029000,93366000,94163000,93692000,93967000,1106000,502000,3227000,2972000,3406000,3598000,20415000,82028000
58,Total Non-Current Liabilities,- -,- -,- -,168000000,180200000,183700000,332900000,- -,386200000,521071000,540005000,554425000,578108000,601547000,504726000,477692000,481653000,456081000,456084000,358674000,364887000,379300000,109958000,84677000,75822000,89133000,395968000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18486000,21847000
61,Total Liabilities,- -,- -,- -,195200000,195900000,204900000,360200000,- -,407900000,549240000,697087000,738390000,606746000,631526000,527022000,534275000,523329000,536128000,513272000,516197000,526018000,550292000,565007000,531818000,523691000,549341000,556631000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,76366000,1000,1000,1000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,6000,6000,6000,6000,6000,6000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,-35100000,-50600000,-79500000,-118500000,- -,-217200000,-227291000,-207821000,-252540000,-207168000,-215855000,-554300000,-578005000,-572890000,-559115000,-570323000,-579185000,-599136000,-623676000,-640018000,-622065000,-605574000,-606502000,-631621000
65,Other Comprehensive Income/Loss,- -,- -,- -,-15400000,-10800000,-16600000,-18800000,- -,-25500000,-27855000,-27701000,7000000,8000000,-4000000,-8000000,-3000000,-1000000,-1000000,-1000000,-1000000,-69632000,-71590000,-61735000,-61502000,-60446000,-60004000,-62579000
66,Other Total Stockholders Equity,- -,- -,- -,189700000,216600000,256900000,411800000,- -,470100000,471816000,548151000,520360000,522155000,524448000,524535000,525513000,525370000,525499000,525469000,525736000,594563000,596718000,587636000,587653000,586641000,586209000,588788000
67,Total Stockholders Equity,- -,- -,- -,139200000,155200000,160800000,274500000,- -,227425000,293042000,312636000,274827000,322994000,304603000,-37755000,-55482000,-48510000,-34616000,-45854000,-54449000,-74205000,-98548000,-114117000,-95914000,-79379000,-80297000,-105412000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,334400000,351100000,365700000,634700000,- -,635325000,842282000,1009723000,1013217000,929740000,936129000,489267000,478793000,474819000,501512000,467418000,461748000,451813000,451744000,450890000,435904000,444312000,469044000,451219000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,334400000,351000000,365700000,634700000,- -,635300000,842282000,1009723000,1013217000,929740000,936129000,489267000,478793000,474819000,501512000,467418000,461748000,451813000,451744000,450890000,435904000,444312000,469044000,451219000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/927720/000095012305003256/0000950123-05-003256-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927720/000095014409002485/0000950144-09-002485-index.html,https://www.sec.gov/Archives/edgar/data/927720/000095012310027854/0000950123-10-027854-index.html,- -,https://www.sec.gov/Archives/edgar/data/927720/000119312512143088/0001193125-12-143088-index.html,https://www.sec.gov/Archives/edgar/data/927720/000119312513136828/0001193125-13-136828-index.html,https://www.sec.gov/Archives/edgar/data/927720/000156459014001519/0001564590-14-001519-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459015002278/0001564590-15-002278-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459016016156/0001564590-16-016156-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459017006735/0001564590-17-006735-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459018014225/0001564590-18-014225-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459019010428/0001564590-19-010428-index.html,https://www.sec.gov/Archives/edgar/data/927720/000156459020014282/0001564590-20-014282-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4500000,-6200000,18800000,5800000,-10600000,-7588000,-89800000,-8750000,28018000,-35270000,49870000,981000,-328723000,-13778000,15042000,23702000,-1281000,-88566000,-19951000,-26955000,-16342000,19621000,16491000,-928000,-25119000
74,Depreciation and Amortization,- -,- -,4560000,7618921,8876876,12100000,14255941,20417000,5256000,5384000,6453000,5838000,6110000,7048000,6261000,6263000,5810000,5436000,5464000,5166000,5125000,4802000,4692000,4349000,3801000,3602000,3261000
75,Deferred Income Tax,- -,- -,-1360000,-4062247,12748883,3900000,-6769466,-5804000,22696000,10820000,15791000,17108000,10663000,16466000,-102066000,3326000,6839000,6121000,1681000,-2877000,5634000,10917000,7992000,-25683000,-9047000,-3506000,-1655000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692000,304000,173000,30000,46000,53000,1000,9000,655000,148000,44000,10000,4000
77,Change in Working Capital,- -,- -,-4500000,-2639201,-818951,-3800000,-967200,2329000,-168000,2971000,-5011000,-9303000,-2332000,-7688000,2889000,13085000,-4498000,-4365000,2870000,-2743000,-571000,-5873000,-3702000,-82000,-2938000,-7865000,-8399000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6713000,2627000,-1771000,1690000,-3967000,-4501000,3582000,-7783000,627000,719000,-1185000,-9058000,-5500000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1144000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2659000,-3454000,5881000,1572000,-194000,-715000
81,Other Working Capital,- -,- -,- -,517509,75145,- -,- -,- -,- -,- -,-248000,- -,463000,-1438000,-784000,1450000,-761000,-235000,-121000,-699000,5000,197000,147000,-307000,-3949000,958000,- -
82,Other Non-Cash Items,- -,- -,14610000,11668551,-28683835,2800000,32752837,7669000,72682000,2801000,-32412000,33360000,-44380000,1317000,422936000,20884000,918000,2088000,5783000,96112000,14137000,15270000,15502000,-4169000,-1865000,10887000,24309000
83,Cash Provided by Operating Activities,- -,- -,8810000,6386024,10922973,20800000,28672112,17023000,10666000,13226000,12839000,11733000,19931000,18124000,1989000,30084000,24284000,33012000,14563000,7145000,4375000,-1830000,8797000,-5816000,6486000,2200000,-7599000
84,CAPEX,- -,- -,-90200000,-144357857,-10972246,-2100000,-3792828,-5595000,-3994000,-3365000,-2998000,-4986000,-27118000,-6186000,-16097000,-954000,-1537000,-10735000,-1591000,-2307000,-2216000,-2472000,-4099000,-1504000,-2907000,-3798000,-2535000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-80826429,-3413000,- -,-229960000,-1278000,- -,- -,-4328000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000,-89000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5073000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,33834120,-36300000,-120430956,-26173000,13259000,2155000,79734000,53784000,63716000,15000,119000,249000,- -,37000,10000,36000,1270000,90000,-1897000,13895000,13247000,75000,17456000
89,Cash Used for Investing Activites,- -,- -,-90200000,-144357857,32189587,-38400000,-205050213,-35181000,9265000,-231170000,75458000,48798000,36598000,-10499000,-15978000,-705000,-1537000,-10698000,-1581000,-2271000,-946000,-2382000,-4099000,17464000,10251000,-3812000,14921000
90,Debt Repayment,- -,- -,- -,-38470705,-15096576,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22030000,-3688000,-18706000,-3706000,-39352000,-3009000,-3004000,-336000,-306000,-19342000,-10410000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,388071238,- -,150000,71424000,580000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,35780000,-42699590,- -,- -,-265613466,- -,- -,- -,-375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-2676348,- -,- -,- -,- -,- -,- -,-2417000,-9668000,-9668000,-7251000,-4963000,-2481000,-2482000,-2481000,-4959000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,33250000,225961813,14827,-3100000,96504608,18499000,-291000,120699000,-2079000,-64990000,-105202000,-3650000,15000000,- -,- -,- -,-15755000,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,69030000,144791518,-17758097,-3100000,218962380,18499000,-141000,192123000,-1874000,-67407000,-114870000,-13318000,-14281000,-8651000,-21187000,-6188000,-57588000,-7968000,-3004000,-336000,-306000,-19342000,-10410000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-12350000,6819685,25354463,-20600000,42584279,341000,19790000,-25821000,86423000,-6876000,-58341000,-5693000,-28270000,20728000,1560000,16126000,-44606000,-3094000,425000,-4548000,4392000,-7694000,6327000,-1612000,7322000
98,Cash at the End of Period,- -,- -,10118000,12287764,37642227,17000000,59558929,59900000,71430000,45609000,132032000,125156000,66815000,61122000,32852000,53580000,55140000,71266000,26660000,23566000,23991000,19443000,23835000,16141000,22468000,20856000,28178000
99,Cash at the Beginning of Period,- -,- -,22468000,5468079,12287764,37600000,16974650,59559000,51640000,71430000,45609000,132032000,125156000,66815000,61122000,32852000,53580000,55140000,71266000,26660000,23566000,23991000,19443000,23835000,16141000,22468000,20856000
100,Free Cash Flow,- -,- -,-81390000,-137971833,-49273,18700000,24879284,11428000,6672000,9861000,9841000,6747000,-7187000,11938000,-14108000,29130000,22747000,22277000,12972000,4838000,2159000,-4302000,4698000,-7320000,3579000,-1598000,-10134000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927720/000095012305003256/0000950123-05-003256-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927720/000095014409002485/0000950144-09-002485-index.html,https://www.sec.gov/Archives/edgar/data/927720/000095012310027854/0000950123-10-027854-index.html,- -,https://www.sec.gov/Archives/edgar/data/927720/000119312512143088/0001193125-12-143088-index.html,https://www.sec.gov/Archives/edgar/data/927720/000119312513136828/0001193125-13-136828-index.html,https://www.sec.gov/Archives/edgar/data/927720/000156459014001519/0001564590-14-001519-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459015002278/0001564590-15-002278-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459016016156/0001564590-16-016156-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459017006735/0001564590-17-006735-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459018014225/0001564590-18-014225-index.htm,https://www.sec.gov/Archives/edgar/data/927720/000156459019010428/0001564590-19-010428-index.html,https://www.sec.gov/Archives/edgar/data/927720/000156459020014282/0001564590-20-014282-index.html,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
