,https://roic.ai/company/WRLD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4700000,20800000,9000000,7800000,4600000,10400000,10200000,11500000,10070105,12141893,-158770,11501182,9199853,-4040462,-1142911,51603977,4762794,11785335,7424333,44899209,178660190,455524175,439098510,317914723,292922067,275295343,318349974,368653113,539836767,319294819
95,Cash Used/Provided by Financing Activities,- -,- -,-5000000,-5700000,3200000,1900000,600000,6400000,5700000,7500000,6070105,12141893,-8408770,9501182,499853,-15172462,-1342911,12203977,4562794,-5643181,-22617824,-25972355,-38139791,-50036946,-71828265,-112480974,-128637933,-84150466,-31464357,-63116750,905403,-140234233
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-319911,182668,116064,-191055,387912,-601093,-2428219,-1501558,-775393,132431,2667447,- -,- -
97,Net Change In Cash,- -,- -,-100000,- -,- -,-100000,- -,-214000,-287000,- -,454469,1601828,-70238,800420,291421,-1267430,987211,1745144,1810543,-1329165,-815242,2585412,2737596,857189,7944318,18769252,-25961911,2823386,16885894,-22750871,2283489,4127532
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,1486000,1213000,1236000,1690676,3292504,3222266,4022686,4314107,3046677,4033888,5779032,7589575,6260410,5445168,8030580,10768176,11625365,19569683,38338935,12377024,15200410,32086304,9335433,11618922,15746454
99,Cash at the Beginning of Period,- -,- -,300000,400000,500000,1300000,1200000,1700000,1500000,1236000,1236207,1690676,3292504,3222266,4022686,4314107,3046677,4033888,5779032,7589575,6260410,5445168,8030580,10768176,11625365,19569683,38338935,12377024,15200410,32086304,9335433,11618922
100,Free Cash Flow,- -,- -,11700000,13200000,13200000,16400000,19500000,21502000,20236000,19400000,29967649,37756709,46310706,52250838,68013349,85641491,92092325,101774343,126290899,142377862,177457460,192694917,211676425,224416965,238298089,232836467,197334024,208415923,206867238,224635679,231676178,183312170
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108385/000095016897001714/0000950168-97-001714-index.html,- -,https://www.sec.gov/Archives/edgar/data/108385/000095016899001882/0000950168-99-001882-index.html,https://www.sec.gov/Archives/edgar/data/108385/000095016800001593/0000950168-00-001593-index.html,https://www.sec.gov/Archives/edgar/data/108385/000095016801500696/0000950168-01-500696-index.html,https://www.sec.gov/Archives/edgar/data/108385/000103221002001035/0001032210-02-001035-index.html,https://www.sec.gov/Archives/edgar/data/108385/000119312503015114/0001193125-03-015114-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000119312504102664/0001193125-04-102664-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000119312505124342/0001193125-05-124342-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420406024826/0001144204-06-024826-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420407028855/0001144204-07-028855-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420408032794/0001144204-08-032794-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420409030075/0001144204-09-030075-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420410032368/0001144204-10-032368-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114036111031335/0001140361-11-031335-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114036112027556/0001140361-12-027556-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838513000022/0000108385-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/108385/000010838514000020/0000108385-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838515000036/0000108385-15-000036-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838516000127/0000108385-16-000127-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838517000026/0000108385-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838518000049/0000108385-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838519000011/0000108385-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838520000014/0000108385-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838521000054/0000108385-21-000054-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
