,https://roic.ai/company/WMK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-126200000,-134400000,-148600000,-163100000,-182400000,-201000000,-223000000,-245800000,-245800000,-297200000,29400000,30200000,26600000,28800000,14600000,14600000,13000000,4145000,4428000,4747000,4296000,6084000,7339000,4560000,4628000,4903000,5448000,5019000,3939000,4829000,4761000,4852000,5880000,262000,1480000,3286000,1687000
66,Other Total Stockholders Equity,123600000,124800000,129300000,139800000,155500000,157200000,164400000,177300000,192800000,224400000,- -,- -,- -,- -,- -,- -,- -,-137913000,-139980000,-143947000,-144675000,-146021000,-148711000,-148860000,-150764000,-150776000,- -,-150829000,-150786000,-150857000,-150857000,-150857000,-150857000,-150857000,-150857000,- -,- -
67,Total Stockholders Equity,365800000,407500000,454000000,509800000,567300000,610100000,647400000,680300000,738100000,762200000,791600000,818500000,847300000,890600000,918500000,947900000,525400000,552432000,575448000,571700000,603857000,629163000,648228000,661100000,690764000,728127000,745886000,795690000,834053000,857832000,871747000,926722000,992844000,1022899000,1058745000,1146115000,1219742000
68,Total Liabilities And Stockholders Equity,427500000,474300000,536700000,595700000,655600000,693900000,734500000,761500000,844500000,892100000,923200000,966300000,971700000,1029200000,1058200000,1085900000,704200000,716732000,744348000,748500000,788487000,814063000,840028000,848200000,916564000,992127000,1029004000,1090490000,1148253000,1191119000,1235959000,1431304000,1441739000,1432011000,1675562000,1820421000,1910475000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,-32000,-48000,- -,- -,37000,72000,- -,-64000,-27000,- -,-90000,-53000,- -,- -,- -,- -,- -,- -,-199901000,- -
70,Total Liabilities & Equity,427500000,474300000,536700000,595700000,655600000,693900000,734500000,761500000,844500000,892100000,923200000,966300000,971800000,1029200000,1058200000,1085900000,704200000,716700000,744300000,748500000,788487000,814100000,840100000,848200000,916500000,992100000,1029004000,1090400000,1148200000,1191119000,1235959000,1431304000,1441739000,1432011000,1675562000,1620520000,1910475000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105418/000010541897000003/0000105418-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541898000006/0000105418-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541899000004/0000105418-99-000004-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541800000003/0000105418-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541801500010/0000105418-01-500010-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541802000015/0000105418-02-000015-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541803000016/0000105418-03-000016-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541804000016/0000105418-04-000016-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541805000011/0000105418-05-000011-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541806000013/wmk10k2005.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541807000011/wmk10k2006.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541808000013/wmk10k2007.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541809000014/0000105418-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541810000012/0000105418-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541811000006/wmk10k2010_10k.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541812000005/0000105418-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541813000008/0000105418-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541814000018/wmk10k2013_10k.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541815000009/wmk10k2014_10k.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541816000069/0000105418-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541817000007/0000105418-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541818000006/0000105418-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541819000010/0000105418-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541820000007/0000105418-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541821000015/0000105418-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541822000009/0000105418-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,60100000,65300000,- -,82600000,86400000,86800000,80600000,72700000,73000000,76200000,79400000,78900000,78200000,83700000,79700000,73800000,50100000,59100000,54600000,57200000,63421000,56000000,51000000,47000000,62800000,68300000,75584000,82500000,71700000,54381000,59330000,87162000,98414000,62738000,67983000,118917000,108849000
74,Depreciation and Amortization,15500000,16600000,- -,19600000,22000000,23200000,25100000,26400000,29000000,30600000,33200000,38100000,43500000,46300000,46300000,50900000,51000000,47700000,46200000,46300000,50106000,51000000,54800000,55100000,53400000,55100000,59383000,50700000,58300000,59004000,70114000,76862000,85415000,93567000,93706000,99370000,102804000
75,Deferred Income Tax,- -,- -,- -,- -,2000000,1100000,1000000,-800000,-100000,2800000,-100000,2900000,-1300000,-900000,200000,2500000,1400000,-3600000,3700000,6800000,-2845000,-5800000,-1300000,3900000,1400000,38200000,- -,15600000,10400000,3785000,-212000,5703000,-31993000,3418000,5765000,5657000,12313000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
