,https://roic.ai/company/IMBI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,2000000,7600000,16900000,28800000,37400000,70000000,106200000,91600000,102532000,133274000,177448000,209834000,232157000,273324000,257600000,276700000,294100000,264227000,214900000,216300000,246600000,236200000,229900000,244045000,247218000,243545000,233347000,225471000,216162000,174278000,197101
11,COGS and Expenses,2100000,16100000,39400000,58000000,89700000,162100000,229000000,209400000,270931000,374694000,467797000,565413000,627719000,708500000,710500000,776800000,804600000,648988000,569000000,579000000,600900000,610600000,640400000,673615000,702050000,668231000,646455000,615261000,554347000,461396000,525619
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000,51000,64000,11000,18000,10000,8000,11000,17000,34000,17000,3000,199
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4928000,9795000,5527000,3970000,1437000,1572000,2720000,5937000,5084000,3502000,3777000,5237000,-11727
14,Depreciation and Amortization,100000,200000,600000,2300000,4800000,6000000,7000000,5000000,4966000,8243000,12341000,15937000,17846000,20120000,20871000,22120000,19706000,17297000,14320000,13337000,12827000,13424000,12585000,8872000,10327000,11209000,10307000,10164000,12014000,27978000,35606
15,EBITDA,-1700000,-1500000,-1300000,-3800000,15900000,35700000,36600000,12500000,51737000,-28755000,-1006000,-28712000,6634000,-37456000,4271000,19820000,43006000,-80463000,-22852000,-3368000,-29646000,-10306000,12722000,9885000,1597000,9202000,13471300,-8426000,-40494000,20041000,963
16,EBITDA ratio,-5.6667,-0.1034,-0.0346,-0.0705,0.1789,0.2238,0.1679,0.0614,0.1882,-0.0745,-0.0022,-0.0517,0.0108,-0.0577,0.0062,0.0258,0.0550,-0.1418,-0.0433,-0.0060,-0.0531,-0.0176,0.0199,0.0147,0.0023,0.0138,0.0208,-0.0141,-0.0807,0.0441,0.0017
17,Operating Income,-1800000,-1600000,-1800000,-4100000,-800000,-2600000,-11000000,-5700000,3996000,11246000,-5475000,-10487000,-10924000,-59084000,-18646000,-9479000,-23052000,-88458000,-41171000,-15466000,-16838000,-23297000,77000,1003000,-8738000,-2018000,3222000,-18624000,-52525000,-7940000,-10725000
18,Operating Income ratio,-6.0000,-0.1103,-0.0479,-0.0761,-0.0090,-0.0163,-0.0505,-0.0280,0.0145,0.0291,-0.0118,-0.0189,-0.0177,-0.0910,-0.0269,-0.0124,-0.0295,-0.1559,-0.0780,-0.0275,-0.0302,-0.0397,0.0001,0.0015,-0.0126,-0.0030,0.0050,-0.0312,-0.1047,-0.0175,-19.4599
19,Total Other Income Expenses (Gains),- -,- -,300000,-2100000,11900000,32300000,40600000,13200000,42775000,-48244000,-7543000,-34162000,-288000,1508000,4446000,7179000,46352000,-9302000,-929000,-10934000,-31162000,-4403000,-1377000,-1562000,-2712000,-5926000,-6524000,-3468000,-3760000,-5234000,10702084
20,Income Before Tax,- -,- -,- -,- -,11100000,29700000,29600000,7500000,46771000,-36998000,-13018000,-44649000,-11212000,-57576000,-14200000,-2300000,23300000,-97760000,-42100000,-26400000,-48000000,-27700000,-1300000,-559000,-11450000,-7944000,-3302000,-22092000,-56285000,-13174000,-22916
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1249,0.1862,0.1358,0.0368,0.1701,-0.0959,-0.0282,-0.0805,-0.0182,-0.0887,-0.0205,-0.0030,0.0298,-0.1723,-0.0797,-0.0470,-0.0860,-0.0472,-0.0020,-0.0008,-0.0165,-0.0119,-0.0051,-0.0370,-0.1122,-0.0290,-0.0416
22,Income Tax expense (Gain),- -,- -,- -,- -,100000,11600000,11500000,2900000,17441000,-7104000,-3858000,-5539000,180000,25000,-800000,100000,800000,33000,-100000,-600000,100000,- -,1200000,819000,834000,801000,-2062700,65000,11000,60000,110
23,Net Income,-1800000,-1700000,-1900000,-6100000,11000000,18100000,18100000,4600000,29330000,-29894000,-9489000,-39110000,-11392000,-57601000,-15800000,-2400000,22500000,-97793000,-42000000,-25900000,-48100000,-27700000,-2500000,-1378000,-12284000,-8745000,143000,-22157000,-56296000,-13234000,-23026
24,Net Income ratio,-6.0000,-0.1172,-0.0505,-0.1132,0.1237,0.1135,0.0830,0.0226,0.1067,-0.0775,-0.0205,-0.0705,-0.0185,-0.0887,-0.0228,-0.0031,0.0288,-0.1723,-0.0796,-0.0461,-0.0861,-0.0472,-0.0039,-0.0020,-0.0177,-0.0131,0.0002,-0.0371,-0.1122,-0.0291,-0.0418
25,EPS,-3.50,-2.30,-1.60,-2.20,3.80,5.29,5.70,1.80,8.90,-7.80,-2.50,-10.60,-3.20,-15.70,-4.30,-0.70,5.30,-29.20,-4.50,-7.80,-10.30,-5.70,-0.50,-0.30,-2.20,-1.50,0.02,-3.40,-7.54,-1.23,-1.14
26,EPS Diluted,-3.50,-2.30,-1.60,-2.20,3.80,5.29,5.70,1.80,7.30,-7.80,-2.50,-10.60,-3.20,-15.70,-4.30,-0.70,5.30,-29.20,-4.50,-7.80,-10.30,-5.70,-0.50,-0.30,-2.20,-1.50,0.02,-3.40,-7.54,-1.23,-1.14
27,Weighted Average Shares Outstanding,514286,739130,833333,2772727,2894737,2965517,3174543,2596334,3260253,3855975,3833637,3717345,3593360,3681504,3718171,3764616,4199216,3359817,3253784,3332620,4645126,4887484,4950489,5345866,5700432,5978459,6387004,6607320,7462380,10745916,19362062
28,Weighted Average Shares Outstanding Diluted,514286,739130,833333,2772727,2894737,3198446,3188822,2626681,4042692,3855975,3833637,3717345,3593360,3681504,3718171,3764616,4201097,3359817,3253784,3332620,4645126,4887484,4950489,5345866,5700432,5978459,6396829,6607320,7462380,10745916,19362062
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/870826/000095012401500611/0000950124-01-500611-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/870826/000095013707005617/0000950137-07-005617-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095013708006189/0000950137-08-006189-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095013709003043/0000950137-09-003043-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095012310035271/0000950123-10-035271-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095012311027830/c62337e10vk.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082612000004/vvtv10k01282012.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082613000002/0000870826-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082614000003/vvtv10k02012014.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082615000003/evlv10k01312015.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082616000013/0000870826-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082617000002/0000870826-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082618000004/0000870826-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082619000003/0000870826-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082620000003/0000870826-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/870826/000155837021004743/0001558370-21-004743-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,28600000,17200000,44300000,138221000,136045000,66144000,55109000,81033000,62640000,43100000,41500000,25600000,53845000,17000000,46500000,33000000,26500000,29200000,19828000,11897000,32647000,23940000,20485000,10287000,15485000,11295
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,156422000,108678000,165723000,113525000,46148000,37941000,39200000,29800000,33500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,28600000,17200000,44300000,294643000,244723000,231867000,168634000,127181000,100581000,82300000,71300000,59100000,53845000,17000000,46500000,33000000,26500000,29200000,19828000,11897000,32647000,23940000,20485000,10287000,15485000,11295
34,Net Receivables,- -,- -,- -,- -,- -,6500000,16400000,19500000,49070000,74590000,54104000,76734000,71166000,79405000,87500000,117200000,109500000,51310000,68900000,90200000,80300000,98400000,107400000,112275000,114949000,99062000,96559000,81763000,63594000,61951000,78627
35,Inventory,- -,- -,- -,- -,- -,28100000,20400000,21100000,22677000,34960000,40383000,61246000,67620000,54903000,67800000,66600000,79400000,51057000,44100000,39800000,43500000,37200000,51200000,61456000,65840000,70192000,68811000,65272000,78863000,68715000,116256
36,Other Current Assets,- -,- -,- -,- -,- -,36200000,25700000,13400000,16464000,13263000,10132000,7449000,5017000,5635000,8400000,5300000,4200000,5257000,9400000,8900000,6500000,8600000,8100000,7384000,6363000,5960000,5794000,9503000,8196000,27578000,47046
37,Total Current Assets,- -,- -,- -,- -,- -,99400000,79700000,98300000,382854000,367536000,336486000,314063000,270984000,240524000,246000000,260400000,252200000,161469000,139400000,185400000,163300000,170700000,195900000,200943000,199049000,207861000,195104000,177023000,160940000,173729000,253224
38,PP&E,- -,- -,- -,- -,- -,24300000,21400000,14100000,14350000,33982000,35972000,39905000,54511000,52725000,47000000,40100000,36600000,31723000,28300000,25800000,28000000,24700000,25000000,42759000,52629000,52715000,52048000,51118000,48448000,43104000,48225
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,10800000,6900000,6000000,64000,64087000,28367000,10684000,68405000,54248000,50100000,45900000,43400000,30492000,27300000,24000000,24300000,16000000,12000000,13085000,12000000,12000000,1450000,1284000,2774000,9387000,126440
41,Intangible Assets,- -,- -,- -,- -,- -,10800000,6900000,6000000,64000,64087000,28367000,10684000,68405000,54248000,50100000,45900000,43400000,30492000,27300000,24000000,24300000,16000000,12000000,13085000,12000000,12000000,1450000,1284000,2774000,9387000,126440
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1400000,4100000,26300000,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,2734000,3522000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,31900000,26800000,23400000,74587000,45092000,48865000,41622000,2691000,-201000,2600000,1500000,600000,1816000,1200000,3200000,2900000,700000,-400000,904000,-915000,-1318000,656000,562000,581000,417000,93888
45,Total Non-Current Assets,- -,- -,- -,- -,- -,67000000,55100000,43500000,89001000,143161000,113204000,92211000,125607000,109772000,101100000,91600000,106900000,80031000,56800000,53000000,55200000,41400000,37800000,56748000,66448000,66919000,54154000,52964000,51803000,52908000,268553
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,166400000,134800000,141800000,471855000,510697000,449690000,406274000,396591000,350296000,347100000,352000000,359100000,241500000,196200000,238400000,218500000,212100000,233700000,257691000,265497000,274780000,249258000,229987000,212743000,226637000,521777
48,Accounts Payable,- -,- -,- -,- -,- -,24900000,17600000,20700000,34937000,56033000,43489000,56961000,51482000,48012000,60600000,57200000,73100000,64615000,58800000,58300000,53400000,65700000,77300000,81457000,77779000,65796000,55614000,56157000,83659000,77995000,89046
49,Short-Term Debt,- -,- -,- -,- -,- -,400000,400000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1736000,2143000,3242000,2326000,2488000,3498000,3262000,2331
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648000,716000,728000,728000,85000,85000,85000,85000,85000,85000,35000,35000,141000,213000,427
52,Other Current Liabilities,- -,- -,- -,- -,- -,12400000,11600000,11600000,16650000,19338000,18708000,30536000,33355000,41062000,40200000,48100000,44652000,30657000,26472000,44772000,37915000,30615000,38515000,36683000,35342000,37858000,35646000,37374000,40170000,58596000,90718
53,Total Current Liabilities,- -,- -,- -,- -,- -,37700000,29600000,32700000,51587000,75371000,62197000,87497000,84837000,89074000,100800000,105300000,118400000,95988000,86000000,103800000,91400000,96400000,115900000,119961000,115349000,106981000,93621000,96054000,127468000,140066000,182522
54,Long-Term Debt,- -,- -,- -,- -,- -,1400000,1000000,700000,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,25000000,25000000,38000000,38100000,50971000,70271000,82146000,71573000,68932000,66312000,51331000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,507000,420000,335000,249000,164000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1900000,- -,6725000,- -,98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1158000,1946000,2734000,3522000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,42575000,44131000,44747000,44410000,100000,4200000,2300000,46040000,10700000,11800000,-7000,-20000,7000,36000,- -,428000,68000,50000,269000,8190000,267464
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1500000,2900000,700000,6725000,- -,42673000,44131000,44747000,44410000,200000,4200000,2300000,46040000,10700000,36800000,25500000,38400000,39600000,53202000,73169000,86096000,71641000,68982000,66581000,59521000,267464
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1669000,2002000,1380000,130000,- -,- -,- -,- -,- -,- -,- -,88000,36000,- -,- -,- -,- -,979000,1213000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,39200000,32500000,33400000,58312000,75371000,104870000,131628000,129584000,133484000,101000000,109500000,120700000,142028000,96700000,140600000,116900000,134800000,155500000,173163000,188518000,193077000,165262000,165036000,194049000,199587000,449986
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,382000,386000,381000,362000,365000,370000,400000,400000,300000,337000,300000,400000,500000,500000,500000,564000,571000,652000,653000,679000,82000,130000,213
64,Retained Earnings,- -,- -,- -,- -,- -,16600000,34700000,39300000,68460000,38288000,28519000,-10873000,-22335000,-93893000,-75600000,-89100000,-77500000,-187383000,-228700000,-254600000,-302700000,-330500000,-333000000,-334882000,-347166000,-355911000,-355768000,-377925000,-434221000,-447455000,-469463
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-6100000,-7600000,-10600000,-10600000,-15408000,-20765000,41023000,42834000,-353000,33875000,22972000,9587000,138000,-95700000,-105700000,-110100000,-105800000,-109100000,-108019000,-112003000,-106446000,-105078000,-110157000,-112479000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,116700000,75200000,79700000,355301000,412060000,336685000,244134000,246143000,310688000,244196000,264575000,262123000,286380000,412404000,443052000,513889000,513079000,519808000,526865000,535577000,543408000,544189000,552354000,565312000,474375000,541041
67,Total Stockholders Equity,- -,- -,- -,- -,- -,127200000,102300000,108400000,413543000,435326000,344820000,274646000,267007000,216812000,202871000,198847000,194510000,99472000,88304000,83152000,101589000,77279000,78208000,84528000,76979000,81703000,83996000,64951000,18694000,27050000,71791
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,166400000,134800000,141800000,471855000,510697000,449690000,406274000,396591000,350296000,303871000,308347000,315210000,241500000,185004000,223752000,218489000,212079000,233708000,257691000,265497000,274780000,249258000,229987000,212743000,226637000,521777
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43229000,43653000,43890000,- -,11196000,14648000,11000,21000,-8000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,166400000,134800000,141800000,471855000,510697000,449690000,406274000,396591000,350296000,347100000,352000000,359100000,241500000,196200000,238400000,218500000,212100000,233700000,257691000,265497000,274780000,249258000,229987000,212743000,226637000,521777
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/870826/000095012401500611/0000950124-01-500611-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/870826/000095013707005617/0000950137-07-005617-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095013708006189/0000950137-08-006189-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095013709003043/0000950137-09-003043-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095012310035271/0000950123-10-035271-index.html,https://www.sec.gov/Archives/edgar/data/870826/000095012311027830/c62337e10vk.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082612000004/vvtv10k01282012.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082613000002/0000870826-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082614000003/vvtv10k02012014.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082615000003/evlv10k01312015.htm,https://www.sec.gov/Archives/edgar/data/870826/000087082616000013/0000870826-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082617000002/0000870826-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082618000004/0000870826-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082619000003/0000870826-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/870826/000087082620000003/0000870826-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/870826/000155837021004743/0001558370-21-004743-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1800000,-1700000,-1900000,-6100000,11000000,18100000,18100000,4600000,29330000,-29894000,-9489000,-39110000,-11392000,-57601000,-15800000,-2400000,22500000,-97793000,-42000000,-25900000,-48100000,-27700000,-2500000,-1378000,-12284000,-8745000,143000,-22157000,-56296000,- -,- -
74,Depreciation and Amortization,100000,200000,600000,2300000,4800000,6000000,7000000,5000000,4966000,8243000,12341000,15937000,17846000,20120000,20871000,22120000,19706000,17297000,14320000,13337000,12827000,13424000,12585000,8872000,10327000,11209000,10307000,10164000,12014000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,-300000,-200000,1800000,-1400000,-55000,-3133000,-398000,4208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1158000,788000,788000,788000,-3522000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3205000,3350000,5007000,3257000,3217000,3860000,2275000,1946000,2888000,3064000,2204000,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,61700000,-11600000,15500000,265667000,-39102000,-17876000,-47723000,-40419000,-34697000,-6250000,9900000,-21300000,-68319000,-12081000,28200000,-9700000,2400000,5700000,982000,2718000,17180000,603000,-20514000,-47497000,-33592298,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17581000,-21292000,9909000,-18086000,-9026000,-4889000,-2674000,15978000,2503000,14796000,18285000,66948000,- -
79,Inventory,-300000,-1700000,-5300000,-600000,-1100000,-4500000,5700000,-2300000,-7515000,-12283000,-5423000,-19285000,-6374000,12717000,-12941000,1222000,-12822000,28387000,6980000,4277000,-3676000,6321000,-14007000,-10294000,-4384000,-3181000,1381000,3539000,-18816000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62234000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,61700000,50100000,65600000,331267000,292165000,274289000,226566000,186147000,151450000,145200000,155100000,133800000,65481000,53400000,81600000,71900000,74300000,80000000,80982000,83700000,100880000,101483000,80969000,33472000,70702,- -
82,Other Non-Cash Items,-100000,400000,-2000000,3300000,-13200000,-91400000,-34700000,-41800000,-301377000,94267000,38419000,70354000,37333000,54108000,-9195000,-26078000,-9717000,155915000,-1340000,-18660000,27017000,137000,-6207000,-14439000,-13235000,-15094000,-7141000,36655000,83418000,33592298,- -
83,Cash Provided by Operating Activities,-1800000,-1100000,-3300000,-500000,2300000,-5800000,-19400000,-18100000,-1469000,30381000,22997000,3666000,3368000,-18070000,-10374000,3542000,11189000,7100000,-37896000,327000,-12949000,-8482000,13953000,-1315000,-9411000,7284000,3278000,7212000,-6157000,- -,- -
84,CAPEX,-400000,-200000,-2400000,-14700000,-3000000,-4600000,-3600000,-1600000,-4036000,-24557000,-12525000,-16332000,-23489000,-14722000,-9750000,-11470000,-11789000,-8318000,-7578000,-7584000,-11096000,-10157000,-11077000,-25178000,-22014000,-10261000,-10499000,-8768000,-7146000,44932000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12307000,-33466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-508000,- -,- -,-638000,- -,- -
86,Purchases of Investments,- -,- -,-28100000,-23900000,-56500000,-84500000,-43900000,-12400000,-202107000,-198872000,-277933000,-121093000,-72969000,-128397000,-80454000,-21627000,-82913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,39000000,50100000,93400000,52500000,34500000,46884000,246520000,220888000,173290000,140346000,136604000,79193000,31535000,94227000,34464000,19356000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-400000,- -,-8800000,-6300000,-2000000,14900000,18100000,27600000,23362000,-57799000,-10509000,-4373000,12581000,4211000,900000,- -,- -,-1589000,-3471000,154000,3277000,-3898000,-2830000,-59000,1650000,- -,12738000,665000,- -,- -,- -
89,Cash Used for Investing Activites,-800000,-200000,-39300000,-5900000,-11400000,19200000,23100000,48100000,-135897000,-34708000,-80079000,19185000,23003000,-2304000,-10111000,-1562000,-475000,24557000,8307000,-7430000,-7819000,-10055000,-11077000,-25178000,-20364000,-10769000,2239000,-8103000,-7784000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25715000,-13000,-195000,-2128000,-2891000,-115580000,-247637000,-190659000,- -,- -
91,Common Stock Issued,4000000,- -,74600000,200000,8100000,1200000,300000,1700000,231478000,5073000,2944000,4392000,7137000,3024000,1869000,1435000,514000,- -,- -,17009000,55500000,- -,- -,- -,- -,12470000,4628000,- -,6000000,213000,- -
92,Common Stock Repurchased,-400000,- -,- -,- -,- -,-5800000,-15000000,-4300000,- -,-2922000,-15702000,-33806000,-6429000,- -,- -,-4699000,-26985000,-3317000,-7985000,-2500000,-40853000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-500000,1800000,-4600000,-400000,-600000,-300000,-300000,-400000,-155000,- -,-61000,-436000,-1155000,-1043000,-881000,-363000,-134000,-100000,729000,22065000,1522000,37772000,-163000,17339000,23972000,14656000,96728000,245073000,187952000,- -,- -
95,Cash Used/Provided by Financing Activities,3100000,1800000,70000000,-200000,7500000,-4900000,-15000000,-3000000,231323000,2151000,-12819000,-29850000,-447000,1981000,988000,-3627000,-26605000,-3417000,-7256000,36574000,7254000,12057000,-176000,17144000,21844000,24235000,-14224000,-2564000,3293000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
