,https://roic.ai/company/VZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.2559,0.2484,0.2278,0.2063,0.1758,0.2122,0.2057,0.1982,0.2154,0.2034,0.2298,0.2245,0.1769,0.2099,0.2561,0.2004,0.1716,0.2218,0.1106,0.1840,0.1972,0.1517,0.1667,0.1734,0.1301,0.1374,0.1162,0.1136,0.2652,0.1542,0.2512,0.2148,0.2175,0.1702,0.2304,0.2245,0.2429
19,Total Other Income Expenses (Gains),-421200000,-392300000,-391700000,-397700000,-467300000,-627500000,-529000000,-480500000,-524000000,-517800000,-76800000,-186000000,-1357400000,-1628300000,-1730000000,4854000000,-8766000000,-8795000000,-1150000000,-596000000,-1162000000,-1181000000,-1033000000,-970000000,-2459000000,-1961000000,-2397000000,-3263000000,-2691000000,-4329000000,-4820000000,-6073000000,-6820000000,-2655000000,-7645000000,-4831000000,-3028000000
20,Income Before Tax,1903300000,2071600000,1954400000,1846800000,1545500000,1982100000,1996400000,2025700000,2273600000,2286800000,3009400000,2750600000,3984100000,4998900000,6765000000,17819000000,2766000000,6202000000,6344000000,12521000000,13652000000,12192000000,14545000000,15914000000,11568000000,12684000000,10483000000,9897000000,29277000000,15270000000,28240000000,20986000000,20594000000,19623000000,22733000000,23967000000,29420000000
21,Income Before Tax Ratio,0.2095,0.2088,0.1898,0.1697,0.1350,0.1612,0.1626,0.1602,0.1750,0.1658,0.2241,0.2103,0.1320,0.1584,0.2039,0.2754,0.0412,0.0917,0.0936,0.1757,0.1818,0.1383,0.1556,0.1635,0.1073,0.1190,0.0945,0.0854,0.2429,0.1202,0.2146,0.1666,0.1634,0.1500,0.1724,0.1868,0.2202
22,Income Tax expense (Gain),810400000,904500000,714000000,530000000,471000000,669600000,664800000,643500000,792000000,884900000,1147600000,1011200000,1529200000,2008100000,2557000000,7009000000,2176000000,1618000000,1252000000,2851000000,3210000000,2674000000,3982000000,3331000000,1210000000,2467000000,285000000,-660000000,5730000000,3314000000,9865000000,7378000000,-9956000000,3584000000,2945000000,5619000000,6802000000
23,Net Income,1092900000,1167100000,1240400000,1316800000,1074500000,1312500000,1331600000,1340600000,1403400000,-754800000,1858300000,1739400000,2454900000,2965300000,4202000000,11797000000,389000000,4079000000,3077000000,7831000000,7397000000,6197000000,5521000000,6428000000,3651000000,2549000000,2404000000,875000000,11497000000,9625000000,17879000000,13127000000,30101000000,15528000000,19265000000,17801000000,22065000000
24,Net Income ratio,0.1203,0.1176,0.1204,0.1210,0.0939,0.1067,0.1084,0.1060,0.1080,-0.0547,0.1384,0.1330,0.0813,0.0939,0.1267,0.1823,0.0058,0.0603,0.0454,0.1099,0.0985,0.0703,0.0591,0.0660,0.0339,0.0239,0.0217,0.0076,0.0954,0.0757,0.1358,0.1042,0.2388,0.1187,0.1461,0.1388,0.1651
25,EPS,1.37,1.47,1.56,1.67,1.36,1.69,1.71,1.57,-0.42,-0.86,2.12,2.14,1.58,1.89,2.71,4.34,0.14,1.49,1.12,2.83,2.67,2.13,1.91,2.26,1.29,0.90,0.85,0.31,4.01,2.42,4.38,3.22,7.37,3.76,4.66,4.30,5.33
26,EPS Diluted,1.37,1.47,1.56,1.67,1.36,1.69,1.71,1.57,-0.42,-0.86,2.12,2.14,1.56,1.86,2.65,4.31,0.14,1.49,1.11,2.79,2.65,2.12,1.90,2.26,1.29,0.90,0.85,0.31,4.00,2.42,4.37,3.21,7.36,3.76,4.65,4.30,5.33
27,Weighted Average Shares Outstanding,797737226,793945578,795128205,788502994,790073529,776627219,778713450,853885350,868646617,874400000,876600000,879200000,1551800000,1553000000,1553000000,2713000000,2710000000,2729000000,2756000000,2770000000,2766000000,2912000000,2898000000,2849000000,2841000000,2830000000,2833000000,2853000000,2866000000,3974000000,4085000000,4080000000,4084000000,4128000000,4138000000,4140000000,4140000000
28,Weighted Average Shares Outstanding Diluted,797737226,793945578,795128205,788502994,790073529,776627219,778713450,853885350,868646617,876803279,876600000,946470588,1571100000,1578300000,1583000000,2737000000,2730000000,2745000000,2789000000,2831000000,2817000000,2938000000,2902000000,2850000000,2841000000,2833000000,2839000000,2862000000,2874000000,3981000000,4093000000,4086000000,4089000000,4132000000,4140000000,4142000000,4142000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732712/000095010995001028/0000950109-95-001028-index.html,- -,https://www.sec.gov/Archives/edgar/data/732712/000095010997002420/0000950109-97-002420-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732712/000095013403003953/0000950134-03-003953-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312504040305/0001193125-04-040305-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312505049044/0001193125-05-049044-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312506053710/0001193125-06-053710-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312507044126/0001193125-07-044126-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312508042027/0001193125-08-042027-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312509036349/0001193125-09-036349-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312510041685/0001193125-10-041685-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312511049476/0001193125-11-049476-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312512077846/0001193125-12-077846-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312513075713/0001193125-13-075713-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312514073266/0001193125-14-073266-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/0001193125-15-057710-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/0001193125-16-473367-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/0001193125-17-050292-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/0000732712-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/0000732712-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/0000732712-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/0000732712-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/0000732712-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,142900000,356800000,152500000,322800000,237100000,1097000000,757000000,979000000,1438000000,699000000,2290000000,776000000,3219000000,1153000000,9782000000,2009000000,6668000000,13362000000,3093000000,53528000000,10598000000,4470000000,2880000000,2079000000,2745000000,2594000000,22171000000,2921000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000000,1613000000,1991000000,2042000000,2172000000,2257000000,2498000000,2434000000,2244000000,509000000,490000000,545000000,592000000,470000000,601000000,555000000,350000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,142900000,356800000,152500000,322800000,237100000,1936000000,2370000000,2970000000,3480000000,2871000000,4547000000,3274000000,5653000000,3397000000,10291000000,2499000000,7213000000,13954000000,3563000000,54129000000,11153000000,4820000000,2880000000,2079000000,2745000000,2594000000,22171000000,2921000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2328100000,2386000000,2846800000,6340800000,6559900000,7025000000,14010000000,14254000000,12598000000,9905000000,9801000000,9171000000,10891000000,11736000000,11703000000,12573000000,11781000000,11776000000,12576000000,12439000000,13993000000,13457000000,17513000000,23493000000,25102000000,25429000000,23917000000,23846000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,274600000,132800000,148700000,550300000,566000000,664000000,1910000000,1968000000,1502000000,1283000000,1535000000,1780000000,1514000000,1729000000,2092000000,2289000000,1131000000,940000000,1075000000,1020000000,1153000000,1252000000,1202000000,1034000000,1336000000,1422000000,1796000000,3055000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1037700000,997100000,800000000,1786900000,1719300000,971000000,3831000000,3995000000,3341000000,4234000000,3596000000,2223000000,4480000000,1836000000,1989000000,5247000000,2223000000,4269000000,4021000000,3406000000,3324000000,2751000000,4800000000,3307000000,5453000000,8028000000,6710000000,6906000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3783300000,3872700000,3948000000,9000800000,9082300000,10596000000,22121000000,23187000000,20921000000,18293000000,19479000000,16448000000,22538000000,18698000000,26075000000,22608000000,22348000000,30939000000,21235000000,70994000000,29623000000,22280000000,26395000000,29913000000,34636000000,37473000000,54594000000,36728000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,16938100000,15921300000,15915700000,35039400000,36815500000,39299000000,69504000000,74419000000,74496000000,75316000000,74124000000,75305000000,82356000000,85294000000,86546000000,91466000000,87711000000,88434000000,88642000000,88956000000,89947000000,83541000000,84751000000,88568000000,89286000000,114609000000,117364000000,127579000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1389000000,837000000,836000000,5655000000,5245000000,6035000000,22472000000,21988000000,23357000000,24139000000,24634000000,24639000000,25331000000,27205000000,29172000000,24614000000,24389000000,24773000000,28603000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41990000000,44262000000,46739000000,45640000000,46611000000,52097000000,56099000000,55784000000,67173000000,78831000000,78826000000,79128000000,83677000000,81547000000,81069000000,94913000000,95570000000,98664000000,103905000000,104557000000,105510000000,159296000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41990000000,44262000000,46739000000,47029000000,47448000000,52933000000,61754000000,61029000000,73208000000,101303000000,100814000000,102485000000,107816000000,106181000000,105708000000,120244000000,122775000000,127836000000,128519000000,128946000000,130283000000,187899000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5789000000,5855000000,4604000000,4868000000,3372000000,8174000000,3535000000,3497000000,3448000000,3401000000,3432000000,802000000,796000000,1110000000,1039000000,671000000,558000000,589000000,1061000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11769000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3550400000,4362800000,4992500000,9923900000,9246100000,12719000000,31120000000,28927000000,25312000000,19541000000,19052000000,18840000000,17288000000,18566000000,-3420000000,8339000000,5635000000,5155000000,4128000000,4535000000,6628000000,17779000000,9149000000,9787000000,11717000000,10141000000,13651000000,13329000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20488500000,20284100000,20908200000,44963300000,46061600000,52018000000,142614000000,147608000000,146547000000,147675000000,146479000000,151682000000,166266000000,168261000000,176277000000,204643000000,197657000000,199522000000,203987000000,203104000000,203085000000,222360000000,217785000000,227230000000,230193000000,254254000000,261887000000,329868000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,24271800000,24156800000,24856200000,53964100000,55143900000,62614000000,164735000000,170795000000,167468000000,165968000000,165958000000,168130000000,188804000000,186959000000,202352000000,227251000000,220005000000,230461000000,225222000000,274098000000,232708000000,244640000000,244180000000,257143000000,264829000000,291727000000,316481000000,366596000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2220200000,2723500000,2902700000,5966400000,6105000000,6465000000,13965000000,5171000000,4917000000,4130000000,2827000000,2827000000,4392000000,4491000000,3856000000,4337000000,3936000000,4194000000,4740000000,4954000000,5598000000,6391000000,7084000000,7063000000,7232000000,7725000000,6667000000,8040000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2087600000,1930200000,2137300000,6342800000,2987600000,5455000000,14838000000,18669000000,9288000000,5967000000,3593000000,7141000000,7715000000,2954000000,4993000000,7205000000,7542000000,4849000000,4369000000,3933000000,2735000000,6489000000,2645000000,3453000000,7190000000,14038000000,9374000000,11302000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2741000000,3326000000,2605000000,2757000000,2270000000,2136000000,1444000000,1157000000,1078000000,1196000000,1556000000,1457000000,2054000000,1516000000,1483000000,1483000000,1771000000,1432000000,1624000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686000000,1899000000,1985000000,2226000000,2476000000,2651000000,2644000000,- -,- -,3554000000,2829000000,3125000000,2969000000,2914000000,3084000000,4207000000,4651000000,4843000000,6053000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1268900000,719300000,662800000,1355000000,1438600000,1547000000,5433000000,14180000000,12842000000,14787000000,14810000000,13110000000,17947000000,14820000000,14406000000,14950000000,19119000000,21718000000,14293000000,15334000000,16606000000,19203000000,17697000000,19437000000,19301000000,18454000000,18776000000,21765000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5576700000,5373000000,5702800000,13664200000,10531200000,13467000000,34236000000,38020000000,27047000000,26570000000,23129000000,25063000000,32280000000,24741000000,25906000000,29136000000,30597000000,30761000000,26956000000,27050000000,28064000000,35052000000,30340000000,33037000000,37930000000,44868000000,39660000000,47160000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6805700000,6407200000,5960200000,13265200000,17646400000,18463000000,42491000000,45657000000,44791000000,39413000000,35674000000,31869000000,28646000000,28203000000,46959000000,55051000000,45252000000,50303000000,47618000000,89658000000,110536000000,103705000000,105433000000,113642000000,105873000000,99932000000,141173000000,166628000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1305700000,1213900000,1229900000,2106200000,2253800000,3892000000,15260000000,16543000000,19468000000,21708000000,22532000000,22411000000,16270000000,14784000000,11769000000,19310000000,22818000000,25060000000,24677000000,28639000000,41578000000,45484000000,45964000000,31232000000,33795000000,34703000000,35711000000,40685000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4417400000,4479100000,4395500000,11027700000,11156900000,10253000000,16340000000,15887000000,19405000000,20463000000,22010000000,22353000000,34736000000,36362000000,38813000000,39387000000,34426000000,38429000000,40438000000,33335000000,38854000000,42557000000,38411000000,34545000000,32521000000,49389000000,30665000000,28923000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12528800000,12100200000,11585600000,26399100000,31057100000,32608000000,74091000000,78087000000,83664000000,81584000000,80216000000,76633000000,79652000000,79349000000,97541000000,113748000000,102496000000,113792000000,112733000000,151632000000,190968000000,191746000000,189808000000,179419000000,172189000000,184024000000,207549000000,236236000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22770000000,21485000000,27062000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18105500000,17473200000,17288400000,40063300000,41588300000,46075000000,108327000000,116107000000,110711000000,108154000000,103345000000,101696000000,111932000000,104090000000,123447000000,142884000000,133093000000,144553000000,139689000000,178682000000,219032000000,226798000000,220148000000,212456000000,210119000000,228892000000,247209000000,283396000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,436500000,- -,437800000,78800000,157600000,158000000,275000000,275000000,275000000,277000000,277000000,277000000,297000000,297000000,297000000,297000000,297000000,297000000,297000000,297000000,424000000,424000000,424000000,424000000,429000000,429000000,429000000,429000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144400000,1776500000,2381900000,1261700000,1370800000,2806000000,14667000000,10704000000,10536000000,9409000000,12984000000,15905000000,17324000000,17884000000,19250000000,17592000000,4368000000,1179000000,-3734000000,1782000000,2447000000,11246000000,15059000000,35635000000,43542000000,53147000000,60464000000,71993000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16807700000,-17632500000,-18842700000,-42397800000,-46248600000,-49939000000,-89453000000,-95167000000,-2662000000,-1250000000,-1053000000,-1783000000,-7530000000,-4506000000,-13372000000,-11479000000,1049000000,1269000000,2235000000,2358000000,1111000000,550000000,2673000000,2659000000,2370000000,998000000,-71000000,-927000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,21393100000,22539600000,23590800000,54958100000,58275800000,63514000000,130919000000,138876000000,24467000000,25030000000,25352000000,25281000000,38444000000,36906000000,35531000000,35196000000,32855000000,33225000000,34359000000,34399000000,8316000000,4208000000,4368000000,4378000000,6804000000,6821000000,7020000000,10295000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6166300000,6683600000,7567800000,13900800000,13555600000,16539000000,56408000000,54688000000,32616000000,33466000000,37560000000,39680000000,48535000000,50581000000,41706000000,41606000000,38569000000,35970000000,33157000000,38836000000,12298000000,16428000000,22524000000,43096000000,53145000000,61395000000,67842000000,81790000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,24271800000,24156800000,24856200000,53964100000,55143900000,62614000000,164735000000,170795000000,143327000000,141620000000,140905000000,141376000000,160467000000,154671000000,165153000000,184490000000,171662000000,180523000000,172846000000,217518000000,231330000000,243226000000,242672000000,255552000000,263264000000,290287000000,315051000000,365186000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24141000000,24348000000,25053000000,26754000000,28337000000,32288000000,37199000000,42761000000,48343000000,49938000000,52376000000,56580000000,1378000000,1414000000,1508000000,1591000000,1565000000,1440000000,1430000000,1410000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,24271800000,24156800000,24856200000,53964100000,55143900000,62614000000,164735000000,170795000000,167468000000,165968000000,165958000000,168130000000,188804000000,186959000000,202352000000,227251000000,220005000000,230461000000,225222000000,274098000000,232708000000,244640000000,244180000000,257143000000,264829000000,291727000000,316481000000,366596000000
